source_headword	HU	example_HU
everyday	mindennapi	Ez mindennapi angol.
everywhere	mindenhol	Virágok nőnek mindenhol.
evidence	bizonyíték	A bizonyíték egyértelmű.
exact	pontos	Add meg a pontos számot.
exactly	pontosan	Ez pontosan helyes.
excellent	kiváló	A munkád kiváló.
except	kivéve	Mindenki eljött, kivéve engem.
exist	létezik	Létezik ez a cím?
expect	vár; számít	Holnap esőt várok.
experience	tapasztalat	Van tapasztalatom gyerekekkel.
experiment	kísérlet	A kísérlet működött.
expert	szakértő	Kérj segítséget egy szakértőtől.
explanation	magyarázat	A magyarázata világos volt.
express	kifejez	Fejezd ki a véleményedet, kérlek.
expression	kifejezés	Ez a kifejezés gyakori.
extreme	szélsőséges	A hőség szélsőséges volt.
extremely	rendkívül	Rendkívül hideg van.
factor	tényező	Az ár egy tényező.
factory	gyár	A gyár ötkor bezár.
fail	elbukik; nem sikerül	Nem buktam el.
fair	igazságos; tisztességes	Az ár tisztességes.
fan	ventilátor; rajongó	Kapcsold be a ventilátort.
farming	gazdálkodás; mezőgazdaság	A gazdálkodás nehéz munka.
fashion	divat	A divat minden évben változik.
fear	félelem; fél	A félelem megállíthatja az embereket.
feature	jellemző; funkció	Ennek a telefonnak hasznos funkciója van.
feed	etet; táplál	Etesd meg most a macskát.
female	női; nő	A női sportoló nyert.
fiction	szépirodalom	Este szépirodalmat olvas.
field	mező; pálya	A mező zöld.
fight	harcol; veszekedik	Túl sokat veszekednek.
figure	ábra; szám	Nézd meg az ábrát.
finally	végre	Végre hazaértünk.
finger	ujj	Fáj az ujjam.
firstly	először	Először olvasd el a kérdést.
fishing	horgászat	A horgászat itt népszerű.
fit	illik; passzol	Ez a cipő jól passzol.
fix	megjavít	Javítsd meg a törött széket.
flu	influenza	Influenzám van.
flying	repülés	A repülés gyors.
focus	összpontosít; figyelem	Összpontosíts erre a feladatra.
following	következő	Olvasd el a következő mondatot.
foreign	külföldi; idegen	Idegen nyelven beszél.
forest	erdő	Az erdő csendes.
fork	villa	Használj villát.
formal	formális	Ez a levél formális.
fortunately	szerencsére	Szerencsére senki sem sérült meg.
forward	előre	Lassan haladj előre.
fresh	friss	A kenyér friss.
