simplified	SI	example_SI
词典	ශබ්දකෝෂය	මේ ශබ්දකෝෂය ඉතා ප්‍රයෝජනවත්.
聪明	බුද්ධිමත්	මේ දරුවා ගොඩක් බුද්ධිමත්.
打扫	පිරිසිදු කරනවා	සති අන්තයේ මම කාමරය පිරිසිදු කරනවා.
打算	සැලසුම; සැලසුම් කරනවා	හෙටට ඔයාගේ සැලසුම මොකක්ද?
带	ගෙන එනවා; රැගෙන යනවා	කරුණාකර ඔබේ ගමන් බලපත්‍රය රැගෙන එන්න.
担心	කනස්සල්ල වෙනවා	කනස්සල්ල වෙන්න එපා, මම ඔබට උදව් කරනවා.
蛋糕	කේක්	මේ කේක් එක ගොඩක් පැණිරසයි.
当然	නිසැකවම; අනිවාර්යයෙන්	නිසැකවම පුළුවන්.
地	ක්‍රියා විශේෂණ පදය	ඇය සතුටින් සිනාසුණා.
灯	විදුලි පහන; ආලෝකය	කරුණාකර විදුලි පහන දල්වන්න.
地方	තැන; ස්ථානය	මේ තැන ගොඩක් සන්සුන්.
地铁	භූගත දුම්රිය	මම සෑම දිනකම භූගත දුම්රියෙන් වැඩට යනවා.
地图	සිතියම	මම සිතියමේ පාසල සොයනවා.
电梯	විදුලි සෝපානය	විදුලි සෝපානය වම් පැත්තේ තියෙනවා.
电子邮件	විද්‍යුත් තැපෑල	මම ගුරුවරයාට විද්‍යුත් තැපෑලක් යවනවා.
东	නැගෙනහිර	හිරු නැගෙනහිරින් උදාවෙයි.
冬	ශීත කාලය	ශීත කාලයේ මම උණු තේ බොන්න කැමතියි.
动物	සත්වයා	පැන්ඩා චීනයේ ප්‍රසිද්ධ සත්වයෙක්.
短	කෙටි	මේ කලිසම අතිශයින් කෙටියි.
段	ඡේදය; කොටස	කරුණාකර මේ ඡේදය කියවන්න.
锻炼	ව්‍යායාම කරනවා; පුහුණු වෙනවා	මම සෑම උදෑසනකම ව්‍යායාම කරනවා.
多么	කොච්චර; කොතරම්	මෙතැන පරිසරය කොච්චර හොඳද!
饿	බඩගිනි	මට බඩගිනියි, පාන් කන්න ඕනේ.
耳朵	කන	මගේ කන ටිකක් රිදෙනවා.
发	යවනවා; නිකුත් කරනවා	සවස මම විද්‍යුත් තැපෑලක් යවනවා.
发烧	උණ තියෙනවා	ඇයට උණ තියෙන නිසා පාසලට යන්න බැහැ.
发现	සොයා ගන්නවා	මේ ක්‍රමය හොඳයි කියලා මම සොයා ගත්තා.
方便	පහසු	භූගත දුම්රියෙන් යාම ගොඩක් පහසුයි.
放	තබනවා; ඉඩ දෙනවා	කරුණාකර පොත මේසය මත තබන්න.
放心	සිත සන්සුන් කරනවා; බිය නොවෙනවා	සිත සන්සුන් කරගන්න, මම වේලාවට පැමිණෙනවා.
分	බෙදනවා	කරුණාකර කේක් එක හැමෝටම බෙදන්න.
复习	පුනරාවර්තනය කරනවා	විභාගයට පෙර මම පාඩම් පුනරාවර්තනය කළ යුතුයි.
附近	අසල; ආසන්නයේ	අසල අවන්හලක් තියෙනවා.
干净	පිරිසිදු	මේ කාමරය ගොඩක් පිරිසිදුයි.
感冒	සෙම්ප්‍රතිශ්‍යාව වැළඳෙනවා	මට සෙම්ප්‍රතිශ්‍යාව තියෙන නිසා විවේක ගන්න ඕනේ.
感兴趣	උනන්දුවක් දක්වනවා	මට චීන භාෂාව ගැන ගොඩක් උනන්දුවක් තියෙනවා.
刚才	දැන් ටිකකට පෙර	දැන් ටිකකට පෙර ඔයාට කවුද දුරකථනයෙන් කතා කළේ?
个子	උස; සිරුරේ හැඩය	ඔහු උස කෙනෙක්.
根据	අනුව; පදනම්ව	සිතියම අනුව පාසල නැගෙනහිර පැත්තේ තියෙනවා.
跟	සමග; පසුපස යනවා	මම මගේ මිතුරා සමග උද්‍යානයට යනවා.
更	තවත්; වඩා	අද ඊයේට වඩා තවත් සීතලයි.
公斤	කිලෝග්‍රෑම්	මේ ඇපල් කිලෝග්‍රෑම් එකක්.
公园	උද්‍යානය	දරුවෝ උද්‍යානයේ සෙල්ලම් කරනවා.
故事	කතාව	සීයා මට කතාවක් කියනවා.
刮风	සුළං හමනවා	අද සුළං හමනවා, පාපැදියෙන් යන්න එපා.
关	වහනවා; අක්‍රිය කරනවා	කරුණාකර දොර වහන්න.
关系	සම්බන්ධය	මගේ සගයා සමග මට හොඳ සම්බන්ධයක් තියෙනවා.
关心	සැලකිලි දක්වනවා	අම්මා මගේ සෞඛ්‍යය ගැන ගොඩක් සැලකිලි දක්වනවා.
关于	ගැන; සම්බන්ධයෙන්	මේ පොත චීන සංස්කෘතිය ගැනයි.
国家	රට; රාජ්‍යය	චීනය ඉතා විශාල රටක්.
过	අත්දැකීම් පදය; කලින් කර තිබීම	මම බෙයිජිංවල සිට තිබෙනවා.
过去	අතීතය; කලින්	කලින් මෙතැන භූගත දුම්රියක් තිබුණේ නැහැ.
还是	නැත්නම්; හෝ	ඔයා තේ බොනවද, නැත්නම් කෝපිද?
害怕	බය වෙනවා	මම විභාගයට බය නැහැ.
黑板	කළු පුවරුව	ගුරුවරයා කළු පුවරුවේ චීන අක්ෂර ලියනවා.
后来	පසුව	පසුව අපි උද්‍යානයට ගියා.
护照	ගමන් බලපත්‍රය	කරුණාකර ගමන් බලපත්‍රය රැගෙන එන්න.
96:花	වියදම් කරනවා; වැය වෙනවා	දුරකථනය මිලදී ගැනීමට යුවාන් දෙදහසක් වැය වුණා.
97:花	මල	මේසය මත මලක් තියෙනවා.
画	චිත්‍රය; අඳිනවා	මගේ නංගි පැන්ඩා අඳින්න කැමතියි.
坏	නරක; කැඩුණු	මගේ පරිගණකය කැඩිලා.
欢迎	සාදරයෙන් පිළිගන්නවා	මගේ ගෙදරට සාදරයෙන් පිළිගනිමු.
环境	පරිසරය; තත්ත්වය	මේ පාසලේ පරිසරය ඉතා හොඳයි.
还	ආපසු දෙනවා	කරුණාකර මගේ පොත හෙට ආපසු දෙන්න.
换	මාරු කරනවා; හුවමාරු කරනවා	මට කමිසය මාරු කරන්න ඕනේ.
黄河	හුවාංහේ ගඟ	හුවාංහේ ගඟ ඉතා දිගයි.
回答	පිළිතුරු දෙනවා	කරුණාකර මගේ ප්‍රශ්නයට පිළිතුරු දෙන්න.
会议	රැස්වීම	රැස්වීම නවයට ආරම්භ වෙනවා.
或者	හෝ; නැත්නම්	ඔයාට භූගත දුම්රියෙන් හෝ බස් රථයෙන් යන්න පුළුවන්.
几乎	පාහේ	ඔහු සෑම දිනකම වගේ ව්‍යායාම කරනවා.
机会	අවස්ථාව	මේක හොඳ අවස්ථාවක්.
极	අතිශයින්; ඉතා	ඇය අතිශයින් සතුටින් ඉන්නවා.
季节	කාලය; ඍතුව	සරත් කාලය මගේ ප්‍රියතම ඍතුවයි.
记得	මතක තියෙනවා	ක්‍රෙඩිට් කාඩ්පත රැගෙන එන්න මතකද?
检查	පරීක්ෂා කරනවා	වෛද්‍යවරයා මාව පරීක්ෂා කරනවා.
简单	සරල; පහසු	මේ වාක්‍යය ඉතා සරලයි.
健康	සෞඛ්‍යය; සෞඛ්‍යමත්	ව්‍යායාම කිරීම සෞඛ්‍යයට හොඳයි.
见面	හමු වෙනවා	අපි හෙට පාසලේදී හමු වෙමු.
讲	කියනවා; පැහැදිලි කරනවා	ගුරුවරයා ඉතා පැහැදිලිව පැහැදිලි කරනවා.
教	උගන්වනවා	ඇය මට චීන අක්ෂර ලියන්න උගන්වනවා.
脚	පාදය	මගේ පාදය ටිකක් රිදෙනවා.
角	කෝණය; මුල්ල	වෙළඳසැල වීදියේ මුල්ලේ තියෙනවා.
接	පිළිගන්නවා; හමුවීමට යනවා	මම මිතුරා පිළිගන්න ගුවන් තොටුපළට යනවා.
街道	වීදිය	මේ වීදිය ගොඩක් පිරිසිදුයි.
结婚	විවාහ වෙනවා	ඔවුන් ලබන අවුරුද්දේ විවාහ වෙනවා.
结束	අවසන් වෙනවා; අවසන් කරනවා	තරගය දැනටමත් අවසන් වෙලා.
节目	වැඩසටහන	මේ රූපවාහිනී වැඩසටහන ඉතා හොඳයි.
节日	උත්සවය; නිවාඩු දිනය	වසන්ත උත්සවය වැදගත් චීන උත්සවයක්.
解决	විසඳනවා	මේ ගැටලුව දැනටමත් විසඳලා.
借	ණයට ගන්නවා; ණයට දෙනවා	මට ඔයාගේ ශබ්දකෝෂය ණයට ගන්න ඕනේ.
经常	නිතර	මම නිතර පුස්තකාලයට යනවා.
经过	පසුකර යනවා; ක්‍රියාවලිය	මම සෑම දිනකම මේ උද්‍යානය අසලින් යනවා.
经理	කළමනාකරු	කළමනාකරු රැස්වීමක ඉන්නවා.
久	දිගු කාලයක්	මම මෙතැන දිගු කාලයක් ජීවත් වෙනවා.
旧	පැරණි; භාවිත කළ	මේ ඇඳුම ගොඩක් පැරණියි.
句子	වාක්‍යය	කරුණාකර වාක්‍යයක් ලියන්න.
决定	තීරණය; තීරණය කරනවා	මම චීන භාෂාව ඉගෙන ගන්න තීරණය කළා.
可爱	ලස්සන; ආදරණීය	මේ බළලා ගොඩක් ලස්සනයි.
渴	පිපාසයි	මට පිපාසයි, වතුර බොන්න ඕනේ.
刻	පහළොස් මිනිත්තුව; මොහොත	දැන් අටයි පහළොවයි.
客人	අමුත්තා; පාරිභෝගිකයා	අද අපේ ගෙදරට අමුත්තෙක් ආවා.
空调	වායු සමීකරණය	කරුණාකර වායු සමීකරණය දමන්න.
口	කට; ගණන් පදය	ඇය වතුර උගුරක් බිව්වා.
哭	අඬනවා	දරුවා ඇයි අඬන්නේ?
裤子	කලිසම	මේ කලිසම අලුත්.
筷子	චීන කෑමකූරු	මට කෑමකූරු වලින් කන්න පුළුවන්.
蓝	නිල්	අහස නිල්.
老	වයසක; පැරණි	මගේ ගුරුවරයා වයසක නැහැ.
离开	ඉවත්ව යනවා; පිටවෙනවා	ඔහු හෙට බෙයිජිංවලින් පිටවෙනවා.
礼物	තෑග්ග	මේක ඔයාට තෑග්ගක්.
历史	ඉතිහාසය	මම චීනයේ ඉතිහාසයට කැමතියි.
脸	මුහුණ	ඇගේ මුහුණ ගොඩක් රතුයි.
练习	ව්‍යායාමය; පුහුණු වෙනවා	කරුණාකර චීනෙන් කතා කිරීම තවත් පුහුණු වෙන්න.
辆	වාහන සඳහා ගණන් පදය	දොර ළඟ ටැක්සියක් තියෙනවා.
聊天	කතාබහ කරනවා	මම මිතුරා සමග කතාබහ කරනවා.
了解	තේරුම් ගන්නවා; දැනගන්නවා	මට චීන සංස්කෘතිය තේරුම් ගන්න ඕනේ.
邻居	අසල්වැසියා	මගේ අසල්වැසියා ගොඩක් හිතවත් කෙනෙක්.
留学	විදේශයේ ඉගෙන ගන්නවා	ඇය චීනයේ ඉගෙන ගන්නවා.
楼	ගොඩනැගිල්ල; මහල	කාර්යාලය තුන්වන මහලේ තියෙනවා.
绿	කොළ	වසන්තයේ ගස් කොළ පාට වෙනවා.
马	අශ්වයා	ඒ අශ්වයා ඉතා වේගයෙන් දුවනවා.
马上	වහාම; දැන්ම	මම වහාම ආපසු එනවා.
满意	සතුටු; තෘප්තිමත්	මම මේ කාමරයෙන් ගොඩක් තෘප්තිමත්.
帽子	තොප්පිය	මේ තොප්පිය ගොඩක් ලස්සනයි.
米	මීටරය; සහල්	මේ මේසය මීටර් දෙකක් දිගයි.
面包	පාන්	උදෑසන ආහාරයට මම පාන් කනවා.
明白	තේරෙනවා; පැහැදිලි	ඔයා අදහස් කරන දේ මට තේරෙනවා.
拿	ගන්නවා; අල්ලා ගන්නවා	කරුණාකර මට පොතක් ගන්න.
奶奶	ආච්චි	ආච්චි සංගීතය අහන්න කැමතියි.
南	දකුණ	පාසල නගරයේ දකුණේ තියෙනවා.
难	අමාරු	මේ ප්‍රශ්නය අමාරු නැහැ.
难过	දුකෙන් ඉන්නවා	ඇය අද ටිකක් දුකෙන් ඉන්නවා.
年级	ශ්‍රේණිය; පාසල් වසර	මගේ නංගි තුන්වන ශ්‍රේණියේ ඉන්නවා.
年轻	තරුණ	මේ කළමනාකරු ගොඩක් තරුණයි.
鸟	කුරුල්ලා	ගස මත කුරුල්ලෙක් ඉන්නවා.
努力	උත්සාහය; මහන්සි වෙනවා	ඔහු ඉතා මහන්සි වී ඉගෙන ගන්නවා.
爬山	කන්ද නැගීම	මේ සති අන්තයේ අපි කන්දක් නැගීමට යනවා.
盘子	පිඟාන	මේසය මත පිඟන් තුනක් තියෙනවා.
胖	මහත	මේ බල්ලා ටිකක් මහතයි.
啤酒	බියර්	තාත්තා බියර් බොන්නේ නැහැ.
皮鞋	ලෙදර් සපත්තු	මේ ලෙදර් සපත්තු යුගලය මිල අධිකයි.
瓶子	බෝතලය	බෝතලයේ වතුර තියෙනවා.
其实	ඇත්තටම	ඇත්තටම මම බියර්ට කැමති නැහැ.
其他	අනෙක්; වෙනත්	අනෙක් පන්තියේ මිතුරන් හැමෝම ඇවිත්.
奇怪	අමුතු	මේ ශබ්දය ගොඩක් අමුතුයි.
骑	පදින්නේ; සවාරි යනවා	ඇය සෑම දිනකම පාපැදියෙන් වැඩට යනවා.
起飞	ගුවන් ගත වෙනවා	ගුවන් යානය ඉක්මනින් ගුවන් ගත වෙනවා.
起来	නැගිටිනවා	කරුණාකර නැගිටින්න.
清楚	පැහැදිලි	ඔයා ඉතා පැහැදිලිව කතා කළා.
请假	නිවාඩු ඉල්ලනවා	ඇයට සෙම්ප්‍රතිශ්‍යාව තියෙන නිසා නිවාඩු ඉල්ලන්න ඕනේ.
秋	සරත් කාලය	සරත් කාලයේ කාලගුණය සුන්දරයි.
裙子	ස්කර්ට් එක	මේ ස්කර්ට් එක ගොඩක් ලස්සනයි.
然后	ඉන්පසු	මම මුලින් කනවා, ඉන්පසු ගෙදර වැඩ කරනවා.
热情	උණුසුම්; උද්යෝගිමත්	චීන මිතුරෝ ගොඩක් හිතවත්.
认为	සිතනවා; මතයක් දරනවා	මම හිතන්නේ මේ ක්‍රමය හොඳයි.
认真	ගම්භීර; හොඳින්	කරුණාකර ගුරුවරයාට හොඳින් සවන් දෙන්න.
容易	පහසු	මේ චීන අක්ෂරය ලියන්න පහසුයි.
如果	නම්; එසේ නම්	වැස්සොත් අපි භූගත දුම්රියෙන් යමු.
伞	කුඩය	වහිනවා, කරුණාකර කුඩයක් ගන්න.
上网	අන්තර්ජාලයට යනවා	සවස සිතියම බලන්න මම අන්තර්ජාලයට යනවා.
声音	ශබ්දය; කටහඬ	ඔයාගේ කටහඬ හොඳට ඇහෙනවා.
生气	කේන්ති යනවා	කේන්ති ගන්න එපා, මම ඒක හිතාමතා කළේ නැහැ.
世界	ලෝකය	ලෝකය ඉතා විශාලයි.
试	උත්සාහ කරනවා; අත්හදා බලනවා	මට මේ ලෙදර් සපත්තු යුගලය අත්හදා බලන්න ඕනේ.
瘦	කෙට්ටු	ඔහු කලින්ට වඩා කෙට්ටුයි.
叔叔	මාමා	මාමා මාව මෝටර් රථයෙන් පාසලට රැගෙන යනවා.
舒服	සුවපහසු; සනීප	මේ පුටුව සුවපහසුයි.
数学	ගණිතය	ගණිත පන්තිය රසවත්.
树	ගස	ගෙදර ඉදිරියේ ගසක් තියෙනවා.
刷牙	දත් මදිනවා	මම සෑම උදෑසනකම දත් මදිනවා.
双	යුගලය	මම ලෙදර් සපත්තු යුගලයක් මිලදී ගත්තා.
水平	මට්ටම	ඔහුගේ චීන භාෂා මට්ටම ඉහළයි.
司机	රියදුරු	රියදුරු අපිව දොර ළඟ බලා සිටිනවා.
太阳	හිරු	අද හිරු ඉතා තදයි.
特别	විශේෂයෙන්; විශේෂ	මේ වැඩසටහන විශේෂයෙන් රසවත්.
疼	රිදෙනවා	මගේ පාදය රිදෙනවා.
提高	ඉහළ නංවනවා; වැඩි දියුණු කරනවා	වැඩි වශයෙන් පුහුණු වීමෙන් චීන භාෂා මට්ටම වැඩි දියුණු කරගන්න පුළුවන්.
体育	ක්‍රීඩා; ශාරීරික අධ්‍යාපනය	මම ශාරීරික අධ්‍යාපන පන්තියට කැමතියි.
甜	පැණිරස	මේ පානය අතිශයින් පැණිරසයි.
条	දිග දේවල් සඳහා ගණන් පදය; තීරුව	මම ස්කර්ට් එකක් මිලදී ගත්තා.
同事	සගයා	මගේ සගයා ගොඩක් කාර්යබහුලයි.
同意	එකඟ වෙනවා	මම ඔයාගේ තීරණයට එකඟයි.
头发	හිසකෙස්	ඇගේ හිසකෙස් දිගයි.
突然	හදිසියේ	ඔහු හදිසියේම පිටවුණා.
图书馆	පුස්තකාලය	පුස්තකාලය අද විවෘත නැහැ.
腿	කකුල	කන්ද නැගීමෙන් පසු මගේ කකුල් රිදෙනවා.
完成	අවසන් කරනවා	මම ගෙදර වැඩ දැනටමත් අවසන් කළා.
碗	පාත්‍රය; බඳුන	මේසය මත පාත්‍ර දෙකක් තියෙනවා.
万	දස දහස	මේ නගරයේ මිනිසුන් දස දහසක් ඉන්නවා.
忘记	අමතක කරනවා	ගමන් බලපත්‍රය රැගෙන එන්න අමතක කරන්න එපා.
为	සඳහා; නිසා	මම ඔයා වෙනුවෙන් සතුටුයි.
为了	සඳහා; අරමුණින්	විභාගය සඳහා ඇය සෑම දිනකම පුනරාවර්තනය කරනවා.
位	මිනිසුන් සඳහා ගෞරවනීය ගණන් පදය	මේ ගුරුවරයා ඉතා ප්‍රසිද්ධයි.
文化	සංස්කෘතිය	මට චීන සංස්කෘතිය තේරුම් ගන්න ඕනේ.
西	බටහිර	බැංකුව පාසලේ බටහිර පැත්තේ තියෙනවා.
习惯	පුරුද්ද; පුරුදු වෙනවා	මම උදෑසන ව්‍යායාම කිරීමට පුරුදුයි.
洗手间	වැසිකිළිය	වැසිකිළිය දකුණු පැත්තේ තියෙනවා.
洗澡	නානවා	සවස මම නානවා.
夏	ගිම්හානය	ගිම්හානය ඉතා උණුසුම්.
先	මුලින්; පළමුව	ඔයා මුලින් කන්න.
相信	විශ්වාස කරනවා	ඔහු එයි කියලා මම විශ්වාස කරනවා.
香蕉	කෙසෙල්	මම කෙසෙල් තුනක් මිලදී ගත්තා.
像	වගේ; සමාන වෙනවා	මේ වලාකුළ කුරුල්ලෙක් වගේ.
向	දෙසට; දිශාව	කරුණාකර වමට යන්න.
小心	ප්‍රවේශම් වෙනවා	වහිනවා, පාරේ ප්‍රවේශම් වෙන්න.
校长	විදුහල්පති	විදුහල්පති කාර්යාලයේ ඉන්නවා.
新闻	පුවත්	තාත්තා සෑම දිනකම පුවත් බලනවා.
新鲜	නැවුම්	මේ පලතුර ගොඩක් නැවුම්.
信用卡	ක්‍රෙඩිට් කාඩ්පත	මට ක්‍රෙඩිට් කාඩ්පතෙන් ගෙවන්න පුළුවන්ද?
行李箱	ගමන් මල්ල	මගේ ගමන් මල්ල බරයි.
熊猫	පැන්ඩා	දරුවෝ පැන්ඩා බලන්න කැමතියි.
需要	අවශ්‍ය වෙනවා; ඕනේ	මට ඔයාගේ උදව් අවශ්‍යයි.
选择	තෝරා ගන්නවා; තේරීම	ඔයා තෝරා ගන්නේ කුමන කමිසයද?
要求	ඉල්ලනවා; අවශ්‍යතාවය	ගුරුවරයා ගෙදර වැඩ හොඳින් කරන්න කියලා ඉල්ලනවා.
爷爷	සීයා	සීයා සෑම දිනකම උද්‍යානයට යනවා.
一直	නිරන්තරයෙන්; දිගටම	ඔහු දිගු කාලයක් ඔයාව බලාගෙන ඉන්නවා.
一定	අනිවාර්යයෙන්; නිසැකව	මම අනිවාර්යයෙන්ම එන්නම්.
一共	එකතුව	මේ පොත් එකතුව කොපමණද?
一会儿	ටික වේලාවක්	කරුණාකර මාව ටික වේලාවක් බලා සිටින්න.
一样	එකම; සමාන	මේ කෝප්ප දෙක එකම ප්‍රමාණයයි.
以前	කලින්; පෙර	මම කලින් බෙයිජිංවල ජීවත් වුණා.
一般	සාමාන්‍ය; මධ්‍යම	මේ අවන්හලේ කෑම සාමාන්‍යයි.
一边	එක පැත්ත; එකවර	ඇය සංගීතය අහමින් ගෙදර වැඩ කරනවා.
音乐	සංගීතය	මම චීන සංගීතයට කැමතියි.
银行	බැංකුව	බැංකුව සුපිරි වෙළඳසැල අසල තියෙනවා.
饮料	පානය	මේ පානයේ රස හොඳයි.
应该	කළ යුතුයි; විය යුතුයි	ඔයා තවත් විවේක ගත යුතුයි.
影响	බලපෑම; බලපානවා	කාලගුණය තරගයට බලපායි.
用	භාවිත කරනවා	මම ගෙදර වැඩ කරන්න පරිගණකය භාවිත කරනවා.
游戏	ක්‍රීඩාව	දරුවෝ ක්‍රීඩාවක් සෙල්ලම් කරනවා.
有名	ප්‍රසිද්ධ	මේ අවන්හල ගොඩක් ප්‍රසිද්ධයි.
又	නැවත; යළිත්	ඔහු අද යළිත් පරක්කු වුණා.
遇到	හමුවෙනවා; මුහුණ දෙනවා	මම වීදියේදී ගුරුවරයා හමුවුණා.
元	යුවාන්	මේ ශබ්දකෝෂය යුවාන් පනහක් වටිනවා.
愿意	කැමති වෙනවා; සූදානම්	ඔබට සහභාගී වෙන්න කැමතිද?
月亮	චන්ද්‍රයා	අද රාත්‍රියේ චන්ද්‍රයා දීප්තිමත්.
越	වැඩි වන තරමට... තවත්...	චීන භාෂාව වැඩි වැඩියෙන් ඉගෙන ගන්න තරමට, එය තවත් රසවත් වෙනවා.
站	නැවතුම්පොළ; සිටගෙන ඉන්නවා	ඔහු දොර ළඟ සිටගෙන ඉන්නවා.
张	පැතලි දේවල් සඳහා ගණන් පදය	කරුණාකර මට සිතියමක් දෙන්න.
长	වැඩෙනවා	දරුවෝ ඉක්මනින් වැඩෙනවා.
着急	කලබල වෙනවා; ඉක්මන් වෙනවා	කලබල වෙන්න එපා, විදුලි සෝපානය ඉක්මනින් එයි.
照顾	බලා ගන්නවා; රැකබලා ගන්නවා	ඇය රෝගී ආච්චිව බලා ගන්නවා.
照片	ඡායාරූපය	මේ ඡායාරූපය හොඳින් පේනවා.
照相机	කැමරාව	මම කැමරාවෙන් ඡායාරූප ගන්නවා.
283:只	පමණක්	මම තේ කෝප්පයක් පමණක් බොනවා.
284:只	සතුන් සඳහා ගණන් පදය	මේසය යට බළලෙක් ඉන්නවා.
只有…才…	පමණක්... එවිට...	හොඳින් පුනරාවර්තනය කළොත් පමණක් විභාගයේ හොඳ ප්‍රතිඵලයක් ලබාගන්න පුළුවන්.
中间	මැද	මේසය කාමරයේ මැද තියෙනවා.
中文	චීන භාෂාව; චීන ලේඛනය	මම සෑම දිනකම චීන භාෂාව ඉගෙන ගන්නවා.
终于	අවසානයේ	අපි අවසානයේ පැමිණියා.
种	වර්ගය	ඔයා කැමති පානයේ වර්ගය මොකක්ද?
重要	වැදගත්	ගමන් බලපත්‍රය ඉතා වැදගත්.
周末	සති අන්තය	සති අන්තයේ මට උද්‍යානයට යන්න ඕනේ.
主要	ප්‍රධාන; මූලික	ඇගේ ප්‍රධාන විනෝදාංශය සංගීතයයි.
注意	අවධානය දෙනවා	කරුණාකර ගුරුවරයාට අවධානය දෙන්න.
自己	තමන්	මට ගෙදර වැඩ මමම කරන්න ඕනේ.
自行车	පාපැදිය	මගේ පාපැදිය පහළ තියෙනවා.
总是	හැමවිටම	ඔහු හැමවිටම කාර්යාලයට ඉක්මනින් පැමිණෙනවා.
嘴	කට	කරුණාකර කට අරින්න.
最后	අවසාන; අවසානයේ	අවසානයේ අපි හැමෝම එකඟ වුණා.
最近	මෑතකදී; මේ දවස්වල	මම මේ දවස්වල කාර්යබහුලයි.
作业	ගෙදර වැඩ; කාර්යය	මම තවම ගෙදර වැඩ අවසන් කරලා නැහැ.
