source_headword	MS	example_MS
kit	kit	Kit pembaikan termasuk skru.
ladder	tangga	Tangga itu bersandar pada dinding.
landing	pendaratan	Kapal terbang itu membuat pendaratan yang lancar.
lane	lorong	Kekal di lorong kanan.
lately	kebelakangan ini	Saya tidak tidur nyenyak kebelakangan ini.
leaflet	risalah	Risalah itu menerangkan perkhidmatan tersebut.
legend	legenda	Legenda menceritakan tentang bandar tersembunyi.
lens	lensa	Bersihkan lensa kamera dengan berhati-hati.
lifetime	seumur hidup	Dia menyimpan wang seumur hidup.
lighting	pencahayaan	Pencahayaan yang baik memperbaik bilik.
likewise	begitu juga	Dia tersenyum; dia juga begitu.
limitation	had	Pelan ini mempunyai satu had.
literally	secara harfiah	Dia secara harfiah berlari ke bas.
literary	sastera	Festival ini menghormati karya sastera.
litre	liter	Beli seliter susu.
litter	sampah	Jangan buang sampah.
logo	logo	Logo muncul pada setiap halaman.
lottery	loteri	Dia memenangi hadiah loteri kecil.
loyal	setia	Anjing itu setia kepada pemiliknya.
lyric	lirik	Lirik mengulangi idea utama.
magnificent	tersergam indah	Istana itu kelihatan tersergam indah.
make-up	alat solek	Dia memakai alat solek sederhana.
making	pembikinan	Pembikinan filem itu sukar.
manufacture	mengeluarkan	Kilang itu akan mengeluarkan telefon.
manufacturing	pembuatan	Pekerjaan pembuatan meningkat secara tempatan.
marathon	maraton	Dia menghabiskan maraton itu.
margin	jidar	Tulis nota di jidar.
marker	pen penanda	Gunakan pen penanda untuk label itu.
martial	mempertahankan diri	Dia belajar seni mempertahankan diri.
mate	rakan	Rakan sekolah lama saya menelefon semalam.
mayor	datuk bandar	Datuk bandar merasmikan perpustakaan.
mechanic	mekanik	Mekanik itu membaiki bas.
mechanical	mekanikal	Jam itu mempunyai kerosakan mekanikal.
mechanism	mekanisme	Mekanisme kunci itu mudah.
medal	pingat	Dia memenangi pingat emas.
medication	ubat	Ambil ubat dengan air.
membership	keahlian	Keahlian gim lebih murah dalam talian.
memorable	tidak dapat dilupakan	Perjalanan itu tidak dapat dilupakan.
metaphor	metafora	Puisi ini menggunakan metafora yang kuat.
miner	pelombong	Pelombong bekerja di bawah tanah.
miserable	sengsara	Hujan membuatkan perkelahan itu sengsara.
mode	mod	Tukar kamera ke mod malam.
modest	sederhana	Mereka tinggal di rumah yang sederhana.
monster	raksasa	Cerita ini mempunyai raksasa yang menakutkan.
monthly	bulanan	Kami membayar sewa secara bulanan.
monument	monumen	Monumen itu berdiri berhampiran sungai.
moreover	lebih-lebih lagi	Lebih-lebih lagi, rancangan ini menjimatkan wang.
mortgage	gadai janji	Mereka memohon untuk gadai janji.
mosque	masjid	Masjid itu berhampiran dengan pasar.
motion	gerakan	Penderia mengesan gerakan.
motivate	memotivasikan	Pujian boleh memotivasikan pelajar.
motivation	motivasi	Motivasinya kekal kuat.
moving	mengharukan	Ucapan itu sangat mengharukan.
myth	mitos	Mitos itu menerangkan nama gunung.
naked	bogel	Bayi itu berbogel selepas mandi.
nasty	teruk	Luka itu kelihatan teruk.
navigation	navigasi	Aplikasi ini memperbaik navigasi.
nearby	berdekatan	Kafe berdekatan dibuka awal.
necessity	keperluan	Air bersih adalah satu keperluan.
negotiate	merundingkan	Mereka merundingkan kontrak pada hari esok.
negotiation	rundingan	Rundingan itu berlangsung sepanjang pagi.
neutral	neutral	Hakim kekal neutral.
newly	baru	Pintu yang baru dicat itu kelihatan terang.
norm	kebiasaan	Bekerja dari jauh menjadi satu kebiasaan.
notebook	buku nota	Tulis nota dalam buku nota anda.
novelist	novelis	Novelis itu menandatangani bukunya.
nowadays	pada masa kini	Pada masa kini, ramai orang bekerja dalam talian.
nursing	kejururawatan	Dia sedang belajar kejururawatan.
nutrition	pemakanan	Pemakanan yang baik menyokong kesihatan.
obesity	obesiti	Obesiti meningkatkan risiko kesihatan.
observer	pemerhati	Pemerhati mencatatkan hasil.
obstacle	halangan	Pokok tumbang adalah satu halangan.
occupation	pekerjaan	Sila tulis pekerjaan anda di sini.
occupy	menduduki	Keluarga itu akan menduduki pangsapuri.
offender	pesalah	Pesalah meminta maaf di mahkamah.
ongoing	berterusan	Siasatan sedang berterusan.
openly	secara terbuka	Dia bercakap secara terbuka tentang ketakutannya.
opera	opera	Kami menonton opera di Milan.
operator	pengendali	Pengendali menyambungkan panggilan.
optimistic	optimis	Dia berasa optimis tentang masa depan.
orchestra	orkestra	Orkestra bermain dengan perlahan.
organic	organik	Mereka membeli sayur-sayuran organik.
outfit	pakaian	Pakaiannya sepadan dengan majlis itu.
output	pengeluaran	Pengeluaran mesin itu meningkat.
outstanding	cemerlang	Prestasinya adalah cemerlang.
overcome	mengatasi	Mereka mengatasi masalah bersama-sama.
overnight	semalaman	Pakej itu tiba semalaman.
overseas	luar negara	Dia mencari kerja di luar negara.
ownership	pemilikan	Pemilikan tanah itu berubah.
oxygen	oksigen	Tumbuhan menghasilkan oksigen.
packet	peket	Buka peket itu dengan teliti.
palm	tapak tangan	Pegang duit syiling di tapak tangan anda.
panic	panik	Panik merebak melalui orang ramai.
parade	perarakan	Perarakan bermula pada waktu tengah hari.
parallel	selari	Jalan raya itu berjalan selari.
participation	penyertaan	Penyertaan dalam kelas bertambah baik.
partnership	perkongsian	Perkongsian itu membantu kedua-dua syarikat.
part-time	sambilan	Dia mendapat kerja sambilan.
passionate	bersemangat	Dia bersemangat tentang muzik.
password	kata laluan	Pilih kata laluan yang kuat.
patience	kesabaran	Mengajar kanak-kanak memerlukan kesabaran.
pause	jeda	Jeda video sekarang.
peer	rakan sebaya	Tekanan rakan sebaya mempengaruhi pilihannya.
penalty	penalti	Pemain menerima penalti.
perceive	melihat	Orang melihat risiko secara berbeza.
perception	persepsi	Persepsinya tentang bahaya berubah.
permanently	secara kekal	Kedai itu ditutup secara kekal.
pill	pil	Ambil satu pil selepas sarapan.
pity	sangat disayangkan	Sangat disayangkan.
placement	penempatan	Penempatan sofa itu penting.
portion	bahagian	Hidangkan sebahagian kecil nasi.
potentially	berpotensi	Perubahan ini berpotensi berguna.
precede	mendahului	Awan gelap sering mendahului hujan.
precious	berharga	Cincin itu berharga.
precise	tepat	Arahan itu tepat.
precisely	dengan tepat	Ukur jarak dengan tepat.
predictable	boleh diramal	Kesudahannya boleh diramal.
preference	keutamaan	Dia menyatakan keutamaan untuk teh.
pride	kebanggaan	Dia berasa kebanggaan selepas selesai.
primarily	terutamanya	Kursus ini terutamanya dalam talian.
principal	pengetua	Pengetua menyambut pelajar baharu.
prior	terlebih dahulu	Kami memerlukan kelulusan terlebih dahulu.
probability	kebarangkalian	Kebarangkalian hujan adalah tinggi.
probable	mungkin	Hujan mungkin turun malam ini.
proceed	teruskan	Sila teruskan ke bilik seterusnya.
programming	pengaturcaraan	Pengaturcaraan memerlukan latihan.
progressive	progresif	Dasar ini progresif untuk zamannya.
prohibit	melarang	Peraturan melarang merokok.
promising	menjanjikan	Hasilnya kelihatan menjanjikan.
promotion	kenaikan pangkat	Dia mendapat kenaikan pangkat di tempat kerja.
prompt	segera	Respons yang segera menjimatkan masa.
proportion	bahagian	Sebilangan besar bahagian mengundi ya.
protein	protein	Kacang mengandungi protein.
protester	penunjuk perasaan	Penunjuk perasaan memegang papan tanda.
psychological	psikologi	Kemalangan itu menyebabkan tekanan psikologi.
publicity	publisiti	Acara itu mendapat publisiti.
publishing	penerbitan	Dia bekerja dalam penerbitan.
punk	punk	Muzik punk menjadi popular di sana.
purely	semata-mata	Pilihan itu semata-mata praktikal.
pursuit	pengejaran	Dia meneruskan pengejaran untuk keadilan.
puzzle	teka-teki	Teka-teki itu mengambil masa sejam.
questionnaire	soal selidik	Sila lengkapkan soal selidik.
racial	perkauman	Laporan itu membincangkan ketidaksamaan perkauman.
racism	rasisme	Rasisme membahayakan masyarakat.
racist	rasis	Komen itu rasis.
radiation	radiasi	Radiasi boleh merosakkan sel.
rail	susur tangan	Pegang susur tangan di tangga.
random	rawak	Komputer memilih nombor rawak.
rat	tikus	Seekor tikus berlari di belakang tong sampah.
rating	penarafan	Hotel itu mempunyai penarafan tinggi.
reasonably	munasabah	Bilik itu cukup bersih secara munasabah.
rebuild	membina semula	Mereka akan membina semula jambatan.
receiver	penerima	Penerima menangkap bola itu.
recession	kemelesetan ekonomi	Kemelesetan ekonomi mengurangkan perbelanjaan.
reckon	rasa	Saya rasa kereta api itu lewat.
recognition	pengiktirafan	Dia menerima pengiktirafan untuk kerjanya.
recovery	pemulihan	Pemulihan mengambil masa beberapa minggu.
recruit	merekrut	Syarikat itu akan merekrut jurutera.
recruitment	pengambilan pekerja	Pengambilan pekerja bermula pada Isnin depan.
referee	pengadil	Pengadil menghentikan perlawanan.
refugee	pelarian	Pelarian itu menemui rumah yang selamat.
registration	pendaftaran	Pendaftaran ditutup pada hari Jumaat.
regulate	mengawal selia	Undang-undang akan mengawal selia pelepasan.
reinforce	mengukuhkan	Rasuk tambahan mengukuhkan bumbung.
relieve	melegakan	Ubat boleh melegakan kesakitan.
relieved	lega	Dia berasa lega selepas panggilan itu.
remarkable	luar biasa	Pemulihan itu luar biasa.
remarkably	sangat	Dia pulih dengan sangat cepat.
reporting	pelaporan	Pelaporan yang tepat adalah penting.
resign	meletak jawatan	Pengurus akan meletak jawatan esok.
resolution	resolusi	Skrin itu mempunyai resolusi tinggi.
restore	memulihkan	Pekerja memulihkan lukisan lama.
restrict	mengehadkan	Peraturan mengehadkan tempat letak kereta.
restriction	sekatan	Sekatan akan berakhir pada esok.
retail	peruncitan	Jualan peruncitan meningkat.
retirement	persaraan	Dia merancang persaraannya dengan teliti.
revenue	hasil	Hasil tiket membayar untuk pembaikan.
revision	ulang kaji	Ulang kaji sangat membantu sebelum peperiksaan.
ridiculous	mengarut	Harga itu mengarut.
risky	berisiko	Rancangan itu kelihatan berisiko.
rival	pesaing	Pesaing kita membuka kedai baru.
rob	merompak	Lelaki tersebut cuba merompak bank.
robbery	rompakan	Rompakan itu berlaku pada waktu malam.
rocket	roket	Roket itu dilancarkan dengan jayanya.
romance	percintaan	Novel itu merangkumi percintaan.
rose	bunga mawar	Bunga mawar merah tumbuh di tepi pagar.
roughly	lebih kurang	Lebih kurang dua puluh orang hadir.
ruin	merosakkan	Hujan mungkin merosakkan perkelahan itu.
satisfaction	kepuasan	Kepuasan pelanggan meningkat.
scandal	skandal	Skandal itu merosakkan kerjayanya.
scare	menakutkan	Bunyi bising itu membuatkan saya terkejut.
scenario	senario	Senario terburuk tidak mungkin berlaku.
scholar	sarjana	Sarjana itu mengkaji teks purba.
scholarship	biasiswa	Dia memenangi biasiswa.
scratch	calar	Kucing itu meninggalkan kesan calar.
screening	saringan	Hospital itu menawarkan saringan kanser.
seeker	pencari	Pencari kerja menghantar permohonan.
seminar	seminar	Seminar bermula pada pukul sembilan.
settler	peneroka	Peneroka membina sebuah ladang kecil.
severely	teruk	Ribut itu merosakkan jalan dengan teruk.
sexy	seksi	Pakaian itu dianggap seksi.
shocking	mengejutkan	Berita itu mengejutkan.
shore	pantai	Kami berjalan di sepanjang pantai.
shortage	kekurangan	Bandar itu menghadapi kekurangan air.
shortly	sebentar lagi	Bas tiba sejurus selepas waktu tengah hari.
short-term	jangka pendek	Rancangan ini mempunyai faedah jangka pendek.
sibling	adik-beradik	Setiap adik-beradik menerima hadiah.
signature	tandatangan	Sila tambahkan tandatangan anda.
significance	kepentingan	Penemuan ini mempunyai kepentingan yang besar.
skilled	mahir	Pekerja mahir membaiki bumbung.
slogan	slogan	Kempen ini menggunakan slogan yang ringkas.
so-called	yang dipanggil	Pakar yang dipanggil itu melakukan kesilapan.
somehow	entah bagaimana	Entah bagaimana, kunci itu hilang.
sometime	pada suatu masa	Melawat kami pada suatu masa minggu depan.
sophisticated	canggih	Perisian ini canggih.
spare	ganti	Kami menyimpan kunci ganti.
specialize	mengkhusus	Doktor mengkhusus dalam pelbagai bidang.
specify	nyatakan	Sila nyatakan masa ketibaan anda.
spectacular	menakjubkan	Bunga api itu menakjubkan.
spectator	penonton	Setiap penonton menerima atur cara.
speculate	membuat spekulasi	Pakar membuat spekulasi tentang puncanya.
speculation	spekulasi	Artikel itu menggalakkan spekulasi.
spice	rempah	Tambahkan satu rempah pada satu masa.
spill	menumpahkan	Jangan tumpahkan jus.
spite	dendam / walaupun	Dia berjaya walaupun terdapat pelbagai masalah.
spoil	merosakkan	Terlalu banyak garam boleh merosakkan sup.
spokesman	jurucakap	Jurucakap itu menjawab soalan.
spokesperson	jurucakap	Jurucakap membacakan kenyataan.
spokeswoman	jurucakap wanita	Jurucakap wanita bercakap kepada akhbar.
sponsorship	penajaan	Pasukan itu memerlukan penajaan.
sporting	sukan	Bandar itu menjadi tuan rumah acara sukan.
stall	gerai	Gerai pasar menjual buah-buahan.
stance	pendirian	Menteri menukar pendiriannya.
starve	mati kelaparan	Tanpa makanan, haiwan boleh mati kelaparan.
steadily	secara berterusan	Syarikat berkembang secara berterusan.
steam	wap	Wap naik dari sup.
stimulate	merangsang	Warna terang boleh merangsang minat.
