source_headword	PT	example_PT
discrimination	a discriminação	A lei proíbe a discriminação nas contratações.
dismissal	a demissão	A demissão dele causou indignação pública.
displace	deslocar	A guerra pode deslocar milhares de pessoas.
disposal	o descarte	O descarte de resíduos continua sendo um problema local.
dispose	descartar	A empresa deve descartar os produtos químicos com segurança.
dispute	a disputa	A disputa durou meses.
disrupt	atrapalhar	O barulho pode atrapalhar a concentração.
disruption	a interrupção	A greve causou uma grande interrupção.
dissolve	dissolver	O açúcar se dissolve no chá quente.
distinction	a distinção	A distinção entre eles é importante.
distinctive	inconfundível	Ela tem uma voz distinta.
distort	distorcer	O espelho pode distorcer seu reflexo.
distress	a angústia	A ligação causou séria angústia.
disturbing	perturbador	O documentário mostrou cenas perturbadoras.
divert	desviar	A polícia teve que desviar o trânsito.
divine	divino	A capela tem uma atmosfera divina.
doctrine	a doutrina	O partido rejeitou a antiga doutrina.
documentation	a documentação	Preencha a documentação antes do lançamento.
domain	o domínio	O site usa um domínio seguro.
dominance	o domínio	O domínio da equipa durou uma década.
donor	o dador	O dador deu sangue hoje.
dose	a dose	Tome uma dose após o pequeno-almoço.
drain	drenar / escoar	A água escoará para o rio.
drift	pairar / derivar	O fumo começou a pairar sobre a estrada.
driving	principal / impulsionador	A chuva foi o fator principal dos atrasos.
drown	afogar	Nunca nade onde as correntes o possam afogar.
dual	duplo	O dispositivo tem uma dupla função.
dub	apelidar	Os críticos apelidam a cidade de capital cultural.
dumb	estúpido	Foi um erro estúpido.
duo	o duo / a dupla	A dupla de comediantes fez uma digressão pela Europa.
eager	ansioso / desejoso	Os alunos estavam ansiosos por começar.
earnings	os lucros / os rendimentos	Os lucros da empresa subiram acentuadamente.
ease	a facilidade / aliviar	A nova estrada aliviará o trânsito.
echo	ecoar / o eco	A voz dela ecoou no salão.
ecological	ecológico	O impacto ecológico permanece incerto.
educator	o educador	O educador concebeu um novo curso.
effectiveness	a eficácia	O estudo mediu a eficácia da vacina.
efficiency	a eficiência	Um software melhor melhorou a eficiência.
ego	o ego	O seu ego causou problemas no trabalho.
elaborate	elaborado	O traje elaborado demorou semanas.
electoral	eleitoral	O sistema eleitoral mudou no ano passado.
elevate	elevar	O prémio elevará o seu perfil.
eligible	elegível	Apenas os residentes são elegíveis para descontos.
elite	a elite	A elite treinou numa academia privada.
embark	embarcar	Eles vão embarcar numa longa viagem.
embarrassment	o embaraço / a vergonha	Ele riu para esconder o seu embaraço.
embassy	a embaixada	A embaixada emitiu novos conselhos de viagem.
embed	incorporar / integrar	O jornalista será integrado na unidade.
embody	encarnar / personificar	A estátua parece personificar a coragem.
emergence	a emergência / o surgimento	O surgimento dos telefones mudou a vida quotidiana.
empirical	empírico	O artigo baseia-se em evidências empíricas.
empower	capacitar / empoderar	A educação pode capacitar as comunidades locais.
enact	promulgar / decretar	O parlamento votou para decretar a reforma.
encompass	abranger / englobar	O curso abrangerá a história moderna.
encouragement	o encorajamento / o incentivo	O seu incentivo ajudou-o a continuar.
encouraging	encorajador / animador	Os primeiros resultados parecem animadores.
endeavour	o empreendimento / o esforço	O resgate foi um esforço difícil.
endless	infinito / interminável	O deserto parecia interminável.
endorse	apoiar / endossar	O sindicato recusou-se a apoiar o candidato.
endorsement	o apoio / o endosso	O seu apoio impulsionou a campanha dela.
endure	suportar / resistir	As plantas podem suportar invernos rigorosos.
enforce	aplicar / fazer cumprir	A polícia faz cumprir o limite de velocidade.
enforcement	a aplicação / a fiscalização	Uma fiscalização mais rigorosa reduziu o despejo ilegal.
engagement	o envolvimento / o engajamento	O envolvimento dos alunos melhorou este semestre.
engaging	envolvente / cativante	O orador deu uma palestra cativante.
enquire	perguntar / inquirir	Por favor, informe-se na receção.
enrich	enriquecer	Viajar pode enriquecer a sua compreensão.
enrol	inscrever-se / matricular-se	Os alunos devem matricular-se antes de setembro.
ensue	seguir-se / resultar	Pode seguir-se o caos após o anúncio.
enterprise	a empresa / o empreendimento	A empresa emprega artistas locais.
enthusiast	o entusiasta / o fã	Qualquer entusiasta do ciclismo conhece esta rota.
entitle	dar direito / intitular	O bilhete dar-lhe-á direito a entrada.
entity	a entidade	A empresa é uma entidade legal separada.
epidemic	a epidemia	A epidemia espalhou-se por várias regiões.
equality	a igualdade	O movimento lutou pela igualdade.
equation	a equação	A equação contém duas incógnitas.
erect	erguer / construir	Os trabalhadores vão erguer uma nova cerca.
escalate	intensificar-se / agravar-se	O conflito pode agravar-se rapidamente.
essence	a essência	O poema capta a essência da infância.
establishment	o sistema / o estabelecimento	O sistema opôs-se à reforma.
eternal	eterno	Eles prometeram amizade eterna.
evacuate	evacuar	Os bombeiros ajudaram os residentes a evacuar em segurança.
evoke	evocar / despertar	A canção pode evocar memórias fortes.
evolutionary	evolutivo	O fóssil mostra uma mudança evolutiva.
exaggerate	exagerar	Não exagere a sua experiência.
excellence	a excelência	A escola recompensa a excelência académica.
exceptional	excecional	Ela mostrou uma habilidade excecional.
excess	o excesso	O excesso de água inundou a cave.
exclusion	a exclusão	A exclusão social prejudica os jovens.
exclusive	exclusivo	O clube oferece acesso exclusivo.
exclusively	exclusivamente	Esta sala é usada exclusivamente por funcionários.
execute	executar	A equipa executará o plano com cuidado.
execution	a execução	A execução da estratégia demorou meses.
exert	exercer	Tem de exercer mais pressão.
exile	o exílio	O escritor viveu no exílio.
expenditure	a despesa / o gasto	A despesa pública aumentou no ano passado.
experimental	experimental	O tratamento ainda é experimental.
expire	expirar / caducar	O meu passaporte vai expirar em breve.
explicit	explícito	As instruções foram explícitas.
explicitly	explicitamente	As regras proíbem explicitamente fumar.
exploitation	a exploração	O relatório expôs a exploração dos trabalhadores.
explosive	explosivo	O dispositivo explosivo foi removido em segurança.
extremist	o extremista	O grupo extremista perdeu apoio.
facilitate	facilitar	A aplicação facilitará a aprendizagem à distância.
faction	a fação	Uma fação opôs-se ao líder.
faculty	o corpo docente / a faculdade	O corpo docente aprovou a proposta.
fade	desbotar / desvanecer	A tinta vai desbotar à luz do sol.
fairness	a justiça / a equidade	A justiça é importante em todas as competições.
fatal	fatal / mortal	O acidente causou ferimentos fatais.
fate	o destino / a sorte	Ninguém conhecia o seu destino.
favourable	favorável	A crítica foi favorável.
feat	o feito / a proeza	Escalar aquele pico foi um feito.
feminist	feminista	O movimento feminista mudou o debate público.
fibre	a fibra	Este pão contém fibra extra.
fierce	feroz / violento	A violenta tempestade danificou os telhados.
film-maker	o cineasta	O cineasta respondeu a perguntas depois.
filter	o filtro	O filtro remove o pó do ar.
fine	a multa	A empresa pagou uma multa.
firearm	a arma de fogo	O agente recuperou uma arma de fogo roubada.
fit	o caimento	Os sapatos novos têm o caimento perfeito.
fixture	a instalação	A lâmpada é uma instalação permanente.
flaw	a falha	O projeto tem uma falha grave.
flawed	defeituoso	O estudo defeituoso deu resultados falsos.
flee	fugir	As famílias tiveram de fugir dos combates.
fleet	a frota	A companhia aérea renovou a sua frota.
flesh	a carne	O espinho perfurou a sua carne.
flexibility	a flexibilidade	O trabalho remoto oferece mais flexibilidade.
flourish	prosperar	Os pequenos negócios podem prosperar aqui.
fluid	o líquido	Beba muito líquido após o exercício.
footage	as imagens	As imagens mostraram o acidente.
foreigner	o estrangeiro	O formulário pergunta se é estrangeiro.
forge	forjar	Eles tentaram forjar uma nova aliança.
formula	a fórmula	A fórmula resolveu o problema.
formulate	formular	Os cientistas formulam uma nova teoria.
forth	adiante	O rio levou o barco para a frente.
forthcoming	iminente	O relatório iminente explicará tudo.
foster	promover	O programa ajuda a promover a independência.
fragile	frágil	O vaso frágil precisa de ser manuseado com cuidado.
franchise	a franquia	O restaurante tornou-se uma franquia global.
frankly	francamente	Francamente, precisamos de mais tempo.
frustrated	frustrado	Os trabalhadores sentiram-se frustrados com o atraso.
frustrating	frustrante	A ligação lenta era frustrante.
frustration	a frustração	A frustração cresceu durante a reunião.
functional	funcional	A velha cozinha ainda é funcional.
fundraising	a angariação de fundos	A angariação de fundos começa na próxima semana.
funeral	o funeral	O funeral teve lugar na sexta-feira.
gallon	o galão	O tanque leva um galão.
gambling	o jogo de azar	O jogo de azar é restringido por lei.
gathering	o encontro	O encontro terminou pacificamente.
gaze	o olhar	Ela sustentou o olhar dele brevemente.
gear	o equipamento	Empacote o equipamento de segurança antes de escalar.
generic	genérico	A versão genérica custa menos.
genocide	o genocídio	O genocídio deixou um profundo trauma nacional.
glance	o olhar	Ele deu uma rápida olhadela.
glimpse	o vislumbre	Tive um vislumbre do mar.
glorious	glorioso	A equipa desfrutou de uma vitória gloriosa.
glory	a glória	Ela sonhava com a glória olímpica.
governance	a governação	Uma boa governação requer transparência.
grace	a graça	Ela aceitou a derrota com graça.
grasp	compreender	Ele não conseguiu compreender o conceito.
grave (for dead person)	a sepultura	A sepultura estava coberta de flores.
grave (serious)	grave	A situação permanece grave.
gravity	a gravidade	A gravidade atrai os objetos para a Terra.
grid	a grelha	O mapa usa uma grelha simples.
grief	o luto	O luto mudou toda a sua família.
grin	o sorriso	O rapaz deu um grande sorriso.
grind	moer	Os trabalhadores moem os grãos todas as manhãs.
grip	a aderência	Mantenha uma aderência firme na corda.
gross	bruto	O rendimento bruto subiu acentuadamente.
guerrilla	a guerrilha	Os combatentes da guerrilha esconderam-se nas colinas.
guidance	a orientação	O guia fornece orientação prática.
guilt	a culpa	Ela sentiu culpa depois de mentir.
gut	o instinto	Confie no seu instinto em escolhas difíceis.
hail	aclamar	Os aldeões aclamam o médico como um herói.
halfway	a meio caminho	Parámos a meio caminho da colina.
halt	parar	O comboio fez uma paragem brusca.
handful	o punhado	Um punhado de voluntários ficou até tarde.
handling	o manuseamento	O manuseamento adequado previne danos.
handy	útil	Esta ferramenta é útil para reparações.
harassment	o assédio	A empresa investigou queixas de assédio.
hardware	o hardware	A loja vende hardware de computador.
harmony	a harmonia	O coro cantou em perfeita harmonia.
harsh	severo	O juiz deu uma sentença severa.
harvest	a colheita	A colheita começa em setembro.
haunt	assombrar	A memória continuou a assombrá-lo.
hazard	o perigo	O gelo é um grave perigo na estrada.
heighten	aumentar	O discurso pode intensificar as tensões.
heritage	o património	O castelo faz parte do património local.
hierarchy	a hierarquia	A hierarquia do escritório está claramente definida.
high-profile	de grande visibilidade	O julgamento de grande visibilidade atraiu repórteres.
hint	a dica	Ela deu-me uma dica útil.
homeland	a pátria	Ele regressou à sua pátria.
hopeful	esperançoso	Os médicos estão esperançosos quanto à recuperação.
horizon	o horizonte	O sol desapareceu abaixo do horizonte.
horn	a buzina	A buzina do carro acordou toda a gente.
hostage	o refém	O refém regressou a casa.
hostile	hostil	A multidão tornou-se hostil.
hostility	a hostilidade	A hostilidade aberta acabou com as conversações.
humanitarian	humanitário	A missão humanitária entregou comida.
humanity	a humanidade	A humanidade enfrenta desafios partilhados.
humble	humilde	Ela permaneceu humilde após o sucesso.
hydrogen	o hidrogénio	O hidrogénio arde muito facilmente.
identification	a identificação	A identificação é necessária à entrada.
ideological	ideológico	A disputa tinha raízes ideológicas.
ideology	a ideologia	A sua ideologia moldou todos os discursos.
idiot	o idiota	Não chames idiota a ninguém.
ignorance	a ignorância	A ignorância pode espalhar o medo.
imagery	as imagens	O poema usa imagens vívidas.
immense	imenso	O projeto exigiu um esforço imenso.
imminent	iminente	Uma tempestade parecia iminente.
implementation	a implementação	A implementação da lei foi lenta.
imprison	prender	O regime tentou prender os críticos.
imprisonment	a prisão	A sua prisão durou cinco anos.
inability	a incapacidade	A sua incapacidade de se concentrar preocupou os professores.
inadequate	inadequado	O abrigo tinha aquecimento inadequado.
inappropriate	inapropriado	A sua piada foi inapropriada.
incidence	a incidência	A incidência de gripe aumentou.
inclined	propenso	Ela está inclinada a concordar.
inclusion	a inclusão	A escola promove a inclusão.
