source_headword	SI	example_SI
suppose	සිතන්න	ඔබ නිවැරදි යැයි මම සිතමි.
surprise	පුදුමය	පුදුමය ඇය සතුටු කළේය.
surprised	පුදුම වූ	ඇය අද පුදුම වූවාය.
surprising	පුදුමකාරී	ප්‍රතිඵලය පුදුමකාරී විය.
survey	සමීක්ෂණය	කරුණාකර සමීක්ෂණය සම්පූර්ණ කරන්න.
sweet	මිහිරි	මෙම තේ මිහිරිය.
symbol	සංකේතය	මෙම සංකේතය අනතුර අදහස් කරයි.
system	පද්ධතිය	පද්ධතිය හොඳින් වැඩ කරයි.
tablet	ටැබ්ලට් පරිගණකය	මගේ ටැබ්ලට් පරිගණකය මේසය මත ඇත.
target	ඉලක්කය	ඉලක්කයට සැලකිල්ලෙන් පහර දෙන්න.
task	කාර්යය	මෙම කාර්යය පහසුය.
taste	රස බලන්න	මුලින් සුප් එක රස බලන්න.
teaching	ඉගැන්වීම	ඉගැන්වීම දුෂ්කර වැඩකි.
technology	තාක්ෂණය	තාක්ෂණය ඉක්මනින් වෙනස් වේ.
teenage	නවයොවුන්	මගේ නවයොවුන් සහෝදරයා මහන්සි වී ඉගෙන ගනී.
temperature	උෂ්ණත්වය	උෂ්ණත්වය අඩුය.
term	වාරය	මෙම වාරය ඉක්මනින් අවසන් වේ.
themselves	ඔවුන්ම	ඔවුන්ම රාත්‍රී ආහාරය පිසූහ.
thick	ඝන	මෙම පොත ඝනය.
thief	සොරා	සොරා පලා ගියේය.
thin	සිහින්	කඩදාසිය සිහින්ය.
thinking	සිතීම	සිතීමට කාලය ගත වේ.
thought	සිතුවිල්ල	මට අමුතු සිතුවිල්ලක් තිබුණි.
throw	විසි කරන්න	පන්දුව මෘදුව විසි කරන්න.
tidy	පිළිවෙළට	ඔබේ කාමරය පිළිවෙළට තබන්න.
tie	බැඳන්න	ඔබේ සපත්තු දැන් බැඳන්න.
tip	බක්ශීෂය	සේවාව සඳහා බක්ශීෂයක් තබන්න.
tool	මෙවලම	නිවැරදි මෙවලම භාවිත කරන්න.
top	ඉහළ කොටස	ඉහළ රාක්කය පිරී ඇත.
touch	ස්පර්ශ කරන්න	වීදුරුව ස්පර්ශ කරන්න එපා.
tour	සංචාරය	අපි නගර සංචාරයක් කළෙමු.
tourism	සංචාරක කර්මාන්තය	සංචාරක කර්මාන්තය මෙම නගරයට උදව් කරයි.
towards	දෙසට	දුම්රිය ස්ථානය දෙසට ඇවිදින්න.
towel	තුවාය	පිරිසිදු තුවායක් ගෙන එන්න.
tower	කුළුණ	කුළුණ ඉතා පැරණිය.
toy	සෙල්ලම් බඩුව	සෙල්ලම් කාර් එක රතුය.
track	පථය	පථය උතුරට යයි.
tradition	සම්ප්‍රදාය	මෙම සම්ප්‍රදාය පැරණිය.
traditional	සම්ප්‍රදායික	ඇය සම්ප්‍රදායික ඇඳුම් ඇඳ සිටියාය.
trainer	පුහුණුකරු	මගේ පුහුණුකරු උදව්කාරීය.
training	පුහුණුව	පුහුණුව හෙට ආරම්භ වේ.
transport	ප්‍රවාහනය	පොදු ප්‍රවාහනය ප්‍රමාදය.
traveller	සංචාරකයා	සංචාරකයා උදව් ඉල්ලා සිටියේය.
trouble	කරදරය	අපට ඊයේ කරදරයක් ඇති විය.
truck	ට්‍රක් රථය	ට්‍රක් රථය පිටත ඇත.
twin	නිවුන්	මගේ නිවුන් සහෝදරිය උස වැඩිය.
typical	සාමාන්‍ය	මෙය සාමාන්‍ය දිනයකි.
underground	භූගත	දුම්රිය භූගතව ධාවනය වේ.
understanding	අවබෝධය	ඔබේ අවබෝධය නිවැරදිය.
unfortunately	අවාසනාවකට	අවාසනාවකට, වෙළඳසැල වසා ඇත.
unhappy	අසතුටු	ඔහු අසතුටු බව පෙනේ.
uniform	නිල ඇඳුම	ඇය පාසල් නිල ඇඳුමක් අඳියි.
unit	ඒකකය	මෙම ඒකකය කුඩාය.
united	එක්සත්	කණ්ඩායම එක්සත්ව සිටියේය.
unusual	අසාමාන්‍ය	ඒ ශබ්දය අසාමාන්‍යය.
used to modal	ඉස්සර පුරුදුව සිටියා	අපි ඉස්සර මෙහි ජීවත් වීමට පුරුදුව සිටියෙමු.
user	පරිශීලකයා	සෑම පරිශීලකයෙකුටම අංකයක් ඇත.
usual	සාමාන්‍ය	මම මගේ සාමාන්‍ය ආසනය ගත්තෙමි.
valley	නිම්නය	නිම්නය කොළ පැහැතිය.
van	වෑන් රථය	වෑන් රථය පිරී ඇත.
variety	විවිධත්වය	අපට තවත් විවිධත්වයක් අවශ්‍යයි.
vehicle	වාහනය	මෙම වාහනය සෙමිනි.
view	දර්ශනය	දර්ශනය ලස්සනය.
virus	වෛරසය	වෛරසයක් ඔහු අසනීප කළේය.
voice	හඬ	ඇගේ හඬ නිහඬය.
war	යුද්ධය	යුද්ධය වසර ගණනකට පෙර අවසන් විය.
washing	සේදූ රෙදි	සේදූ රෙදි පිටත ඇත.
wave	රැල්ල	රැල්ලක් බෝට්ටුවට වැදුණි.
weak	දුර්වල	මගේ කකුල් දුර්වල බව දැනේ.
web	වෙබ්	වෙබ් පිටුව විවෘතය.
wedding	විවාහ උත්සවය	විවාහ උත්සවය ඉක්මනින් ආරම්භ වේ.
weight	බර	මුලින් බර පරීක්ෂා කරන්න.
wet	තෙත්	මගේ සපත්තු තෙත්ය.
wheel	රෝදය	රෝදය කැඩී ඇත.
while	ටික වේලාවක්	ටික වේලාවක් මෙහි රැඳී සිටින්න.
whole	මුළු	මම මුළු ඇපල් ගෙඩියම කෑවෙමි.
whose	කාගේ	මෙම දුරකථනය කාගේද?
wide	පුළුල්	මාර්ගය පුළුල්ය.
wild	වල්	වල් සතුන් මෙහි ජීවත් වෙති.
wind1	සුළඟ	සුළඟ ශක්තිමත්ය.
winner	ජයග්‍රාහකයා	ජයග්‍රාහකයා සිනාසුණේය.
wish	ප්‍රාර්ථනාව	ප්‍රාර්ථනාවක් කරන්න.
wood	දැව	පුටුව දැවයෙන් සාදා ඇත.
wooden	දැවමය	දැවමය පෙට්ටිය බරය.
working	වැඩ කරන	වැඩ කරන දිනය අවසන් විය.
worried	කනස්සල්ලට පත්	මට අද කනස්සල්ලක් දැනේ.
worry	කනස්සල්ල වන්න	දැන් කනස්සල්ල වන්න එපා.
worse	වඩා නරක	මෙම වේදනාව වඩා නරකය.
worst	නරකම	එය නරකම දිනය විය.
wow	වාව්	වාව්, එය පුදුමයි!
yet	තවමත්	අපි තවමත් එහිද?
yours	ඔබගේ එක	මෙම පොත ඔබගේ එකයි.
zero	ශුන්‍යය	ශුන්‍යය දක්වා ගණන් කරන්න.
