source_headword	SL	example_SL
entertainment	zabava	Mesto ponuja zabavo zvečer.
entrance	vhod	Dobimo se pri vhodu.
entry	vstop	Vstop je za otroke brezplačen.
environmental	okoljski	Govorili smo o okoljskih težavah.
episode	epizoda	Zadnja epizoda je bila razburljiva.
equal	enak	Prejemajo enake plače.
equally	enako	Delo je enako razdeljeno.
escape	pobegniti	Zaporniki so poskušali pobegniti.
essential	nujen	Voda je nujna za življenje.
eventually	končno	Končno smo našli hotel.
examine	pregledati	Zdravnik mi je pregledal roko.
exchange	menjava	V trgovini smo opravili menjavo.
excitement	vznemirjenje	Igra je bila polna vznemirjenja.
exhibition	razstava	Umetniška razstava se odpre jutri.
expand	razširiti se	Podjetje se namerava razširiti.
expected	pričakovan	Pričakovani stroški so visoki.
expedition	odprava	Odprava je prečkala puščavo.
experienced	izkušen	Ona je izkušena medicinska sestra.
explode	eksplodirati	Steklenica lahko eksplodira zaradi vročine.
explore	raziskati	Raziskali smo staro mesto.
explosion	eksplozija	Eksplozija je razbila več oken.
export	izvoz	Kava je pomemben izvoz.
fairly	precej	Test je bil precej lahek.
familiar	znan	Njen obraz se je zdel znan.
fancy	želeti si	Si želiš kavo?
fascinating	navdušujoč	Zgodba je bila navdušujoča.
fashionable	moden	Ti čevlji so modni.
fasten	pripeti	Pripni varnostni pas.
favour	usluga	Ali mi lahko narediš uslugo?
fence	ograja	Ograja obdaja vrt.
fighting	boj	Boj se je končal ob zori.
file	datoteka	Shrani datoteko pred zapiranjem.
financial	finančni	Potrebujem finančni nasvet.
fitness	kondicija	Tek izboljša tvojo kondicijo.
fixed	fiksen	Cena je fiksna.
flag	zastava	Zastava je vihrala nad šolo.
flood	poplava	Poplava je poškodovala veliko hiš.
flour	moka	Dodaj moko v skledo.
flow	teči	Reka teče skozi mesto.
fold	prepogniti	Prepogni papir na polovico.
folk	ljudski	Ljudska glasba je napolnila dvorano.
force	sila	Veter je imel veliko silo.
forever	za vedno	To si bom zapomnil za vedno.
frame	okvir	Fotografija potrebuje okvir.
freeze	zmrzniti	Voda čez noč zmrzne.
frequently	pogosto	Pogosto obiskuje starše.
friendship	prijateljstvo	Njuno prijateljstvo je trajalo več let.
frighten	prestrašiti	Glasni zvoki prestrašijo otroka.
frightened	prestrašen	Otrok je bil videti prestrašen.
frightening	strašljiv	Nevihta je bila strašljiva.
frozen	zamrznjen	Jezero je bilo zamrznjeno.
fry	cvreti	Čebulo cvri pet minut.
fuel	gorivo	Avto potrebuje več goriva.
function	funkcija	Ta gumb ima eno funkcijo.
fur	kožuh	Mačka ima mehak kožuh.
garage	garaža	Avto je v garaži.
gather	zbrati se	Zbrali smo se okoli mize.
generally	običajno	Običajno pride zgodaj.
generation	generacija	Vsaka generacija se sreča z novimi težavami.
generous	radodaren	S svojim časom je radodaren.
gentle	nežen	Uporabi nežen glas.
gentleman	gospod	Gospod je odprl vrata.
ghost	duh	Zgodba omenja duha.
giant	velikanski	Velikanski zaslon je napolnil oder.
glad	vesel	Vesel sem, da si prišel.
global	globalen	Podnebne spremembe so globalen problem.
glove	rokavica	Izgubil sem eno rokavico.
goods	blago	Blago je prispelo pozno.
grade	ocena	Dobila je visoko oceno.
graduate	diplomant	On je nedavni diplomant.
grain	zrno	Eno zrno riža je padlo.
grateful	hvaležen	Hvaležen sem za tvojo podporo.
growth	rast	Rastlina je pokazala stalno rast.
guard	stražar	Stražar je preveril naše vozovnice.
guilty	kriv	Zaradi laži se je počutil krivega.
hang	obesiti	Obesi plašč tukaj.
happiness	sreča	Denar ne more kupiti sreče.
hardly	komaj	Komaj sem te slišal.
headline	naslov	Naslov je pritegnil mojo pozornost.
heating	ogrevanje	Ogrevanje je prenehalo delovati.
heavily	močno	Vso noč je močno deževalo.
helicopter	helikopter	Helikopter je pristal v bližini.
highlight	poudariti	Poudari glavno idejo.
highly	zelo	Ona je zelo cenjena.
hire	najeti	Moramo najeti avto.
historic	zgodovinski	Obiskali smo zgodovinsko stavbo.
historical	zgodovinski	Rada ima zgodovinske romane.
honest	iskren	Prosim, daj iskren odgovor.
horrible	grozen	Vonj je bil grozen.
horror	grozljivka	Rad ima grozljivke.
host	gostitelj	Gostitelj je pozdravil vsakega gosta.
