source_headword	RU	example_RU
plea	мольба	Его мольба о помощи была проигнорирована.
plead	признавать вину	Подозреваемый признает себя виновным.
pledge	обещать	Они обещают поддержку реформам.
plug	вставлять	Вставьте кабель в розетку.
plunge	резко падать	Цены могут резко упасть после скандала.
pole	столб	Флаг висел на столбе.
poll	опрос	Опрос показал изменение мнений.
pond	пруд	Утки перешли замерзший пруд.
pop	лопаться	Воздушные шары лопаются рядом с острыми предметами.
portfolio	портфолио	Ее портфолио включает несколько стартапов.
portray	изображать	Фильм покажет сельскую жизнь.
postpone	откладывать	Они решили отложить слушание.
post-war	послевоенный	Срочно требовалось послевоенное жилье.
practitioner	практикующий врач	Практикующий врач объяснил лечение.
preach	проповедовать	Священник будет проповедовать в воскресенье.
precedent	прецедент	Это постановление создало важный прецедент.
precision	точность	Машина режет с высокой точностью.
predator	хищник	Хищник ждал у реки.
predecessor	предшественник	Ее предшественник оставил подробные записи.
predominantly	преимущественно	Этот район преимущественно жилой.
pregnancy	беременность	Беременность требует регулярного медицинского ухода.
prejudice	предрассудок	Кампания бросила вызов расовым предрассудкам.
preliminary	предварительный	Предварительные результаты выглядят многообещающе.
premier	премьер-министр	Премьер-министр выступил сегодня в парламенте.
premise	предпосылка	Аргумент опирается на ложную предпосылку.
premium	надбавка	Клиенты платили надбавку за скорость.
prescribe	назначать	Врачи осторожно назначают антибиотики.
prescription	рецепт	Срок действия рецепта истекает в следующем месяце.
presently	в настоящее время	В настоящее время она недоступна.
preservation	сохранение	Сохранение защищает исторические здания.
preside	председательствовать	Судья будет председательствовать на суде.
presidency	президентство	Его президентство длилось восемь лет.
presidential	президентский	Президентские выборы привлекли внимание.
prestigious	престижный	Она выиграла престижную стипендию.
presumably	предположительно	Офис, предположительно, сегодня закрыт.
presume	предполагать	Мы предполагаем, что документы подлинные.
prevail	преобладать	Здравый смысл должен преобладать.
prevalence	распространенность	Распространенность астмы возросла.
prevention	профилактика	Профилактика обходится дешевле ремонта.
