source_headword	PL	example_PL
unite	zjednoczyć	Przywódcy próbowali zjednoczyć partię.
unity	jedność	Przemówienie wzywało do jedności narodowej.
universal	uniwersalny	Aplikacja wykorzystuje uniwersalny projekt.
urgent	pilny	Szpital otrzymał pilne wezwanie.
usage	użycie	Przewodnik wyjaśnia prawidłowe użycie.
useless	bezużyteczny	Zepsuta ładowarka jest bezużyteczna.
valid	ważny	Twój paszport jest nadal ważny.
variation	wahanie	Istnieją duże wahania cen.
vertical	pionowy	Wykres ma oś pionową.
viewpoint	punkt widzenia	Jej punkt widzenia zmienił się po debacie.
visa	wiza	Złożył wniosek o wizę studencką.
visible	widoczny	Znak jest stąd widoczny.
voluntary	dobrowolny	Kurs obejmuje dobrowolne warsztaty.
voting	głosowanie	Wczesne głosowanie rozpoczyna się w przyszłym tygodniu.
wander	wędrować	Turyści wędrują po starym rynku.
warming	ocieplenie	Globalne ocieplenie wpływa na poziom mórz.
weekly	cotygodniowy	Zespół odbywa cotygodniowe spotkanie.
weird	dziwny	Ten hałas brzmiał dziwnie.
welfare	opieka społeczna	Program wspiera dobrostan dzieci.
wheat	pszenica	Rolnik uprawia pszenicę.
whoever	ktokolwiek	Ktokolwiek przybędzie pierwszy, powinien poczekać na zewnątrz.
widespread	powszechny	Burza spowodowała rozległe zniszczenia.
wisdom	mądrość	Jej babcia dzieliła się praktyczną mądrością.
withdraw	wycofać	Postanowił wycofać swój wniosek.
workforce	siła robocza	Siła robocza potrzebuje nowych umiejętności.
workplace	miejsce pracy	Miejsce pracy ma jasne zasady bezpieczeństwa.
workshop	warsztat	Warsztat zaczyna się o dziesiątej.
worm	robak	Robak poruszał się po ziemi.
wrist	nadgarstek	Zraniła się w nadgarstek.
