simplified	IS	example_IS
必要	nauðsyn	Það er engin nauðsyn að hafa áhyggjur.
毕竟	þegar öllu er á botninn hvolft	Þegar öllu er á botninn hvolft er hann enn barn.
避免	forðast	Vinsamlegast forðastu að koma of seint.
编辑	ritstýra	Hann ber ábyrgð á að ritstýra þessari grein.
鞭炮	flugeldur	Á vorhátíðinni skjóta sumir upp flugeldum.
便	þá	Eftir að hafa borðað fór hann í tíma.
辩论	rökræða	Þeir eru að rökræða þessa spurningu.
标点	greinarmerki	Vinsamlegast gættu að greinarmerkjum.
标志	merki	Rautt ljós er merki um að stoppa.
表达	tjá	Hann tjáði sína skoðun.
表面	yfirborð	Yfirborð borðsins er mjög hreint.
表明	sýna	Niðurstaðan sýnir að hann hafði rétt fyrir sér.
表情	svipur	Svipur hennar er mjög alvarlegur.
表现	frammistaða	Hann stóð sig mjög vel í dag.
冰激凌	ís	Börnum finnst gott að borða ís.
病毒	veira	Þessi veira dreifist mjög hratt.
播放	spila	Vinsamlegast spilaðu þetta lag.
玻璃	gler	Glasið brotnaði.
博物馆	safn	Við förum á safn um helgina.
脖子	háls	Hálsinn á mér er svolítið aumur.
不断	stöðugt	Verð hækkar stöðugt.
不见得	ekki endilega	Þetta er ekki endilega slæmt.
不耐烦	óþolinmóður	Eftir að hafa beðið lengi varð hann svolítið óþolinmóður.
不要紧	skiptir ekki máli	Það er allt í lagi, það skiptir ekki máli.
补充	bæta við	Ég vil bæta einni skoðun við.
不安	órólegur	Eftir að hafa heyrt fréttina varð hún óróleg.
不得了	alvarlegur	Þetta mál er virkilega alvarlegt.
不然	annars	Flýttu þér af stað, annars kemurðu of seint.
不如	betra að	Frekar en að fara með farartæki er betra að ganga.
不足	ófullnægjandi	Það er ekki nóg vatn hér.
布	efni	Þetta efnisstykki er mjög mjúkt.
步骤	skref	Vinsamlegast fylgdu skrefunum.
部门	deild	Ég vinn í söludeildinni.
财产	eign	Þetta hús er eign hans.
彩虹	regnbogi	Regnbogi birtist eftir rigninguna.
踩	stíga á	Ekki stíga á grasið.
采访	taka viðtal	Blaðamaðurinn er að taka viðtal við lækni.
采取	grípa til	Við gripum til nýrrar aðferðar.
参考	hafa til hliðsjónar	Vinsamlegast hafðu þessa bók til hliðsjónar.
参与	taka þátt	Hann tekur virkan þátt í verkefnum.
惭愧	skömmustulegur	Ég skammast mín fyrir eigin mistök.
操场	íþróttavöllur	Nemendurnir hlaupa á íþróttavellinum.
操心	hafa áhyggjur	Ekki hafa áhyggjur af mér.
册	bindi	Ég keypti eina bók.
测验	próf	Það er lítið próf á morgun.
曾经	einu sinni	Ég bjó einu sinni í Peking.
叉子	gaffall	Ég borða salat með gaffli.
差距	bil	Það er bil milli borga og sveita.
插	setja	Vinsamlegast settu blómin í vasann.
拆	rífa niður	Verkamennirnir eru að rífa gamla húsið niður.
产品	vara	Þessi vara er mjög góð að gæðum.
产生	valda	Þetta mál hafði ný áhrif.
常识	almenn þekking	Þetta er almenn grunnþekking.
长途	langferð	Langferð er þreytandi.
抄	afrita	Vinsamlegast afritaðu ekki heimavinnu annarra.
超级	ofur-; stór	Þetta er stórmarkaður.
朝	konungsætt	Tang-konungsættin er mjög þekkt.
潮湿	rakur	Sumrin í suðri eru mjög rök.
吵	hávær	Það er mjög hávært úti.
吵架	rífast	Þau rifust aftur.
炒	steikja	Mamma er að steikja mat.
车库	bílskúr	Bíllinn er í bílskúrnum.
车厢	vagn	Þessi lestarvagn er mjög hljóðlátur.
彻底	rækilega	Hann skildi þetta rækilega.
沉默	þegja	Hann þagði allan tímann.
趁	meðan	Við skulum fara meðan það er ekki orðið dimmt.
称	vega	Vinsamlegast vigtaðu þennan pakka.
称呼	ávarpa	Ég veit ekki hvernig ég á að ávarpa hann.
称赞	hrósa	Kennarinn hrósaði framförum hans.
成分	innihaldsefni	Innihaldsefni þessa lyfs eru einföld.
成果	árangur	Þetta verkefni skilaði árangri.
成就	afrek	Hann hefur náð mörgum afrekum á ferlinum.
成立	stofna	Fyrirtækið var stofnað í fyrra.
成人	fullorðinn	Miði fyrir fullorðna er dýrari en barnamiði.
成熟	þroskaður	Eplin eru þegar þroskuð.
成语	orðtak	Þetta orðtak er oft notað.
成长	alast upp	Barnið er smám saman að alast upp.
承担	taka á sig	Hann er tilbúinn að taka á sig ábyrgð.
承认	viðurkenna	Hann viðurkenndi að hann hefði rangt fyrir sér.
承受	þola	Ég þoli ekki svona mikinn þrýsting.
程度	stig	Kínverskukunnátta hans er á háu stigi.
程序	ferli	Vinsamlegast afgreiddu þetta samkvæmt ferlinu.
诚恳	einlægur	Afstaða hans er mjög einlæg.
吃亏	tapa á einhverju	Skoðaðu vel áður en þú kaupir, svo þú tapir ekki á því.
持续	halda áfram	Rigningin hélt áfram í þrjá daga.
池塘	tjörn	Það eru margir fiskar í tjörninni.
迟早	fyrr eða síðar	Þú munt skilja þetta fyrr eða síðar.
尺子	reglustika	Vinsamlegast mældu þetta með reglustiku.
翅膀	vængur	Vængur fuglsins er særður.
充电器	hleðslutæki	Hleðslutækið mitt er bilað.
充分	nægilegur	Við undirbjuggum okkur nægilega vel.
充满	fullur af	Herbergið var fullt af hlátri.
冲	skola	Vinsamlegast skolaðu bollann með vatni.
重复	endurtaka	Vinsamlegast endurtaktu ekki sömu mistökin.
宠物	gæludýr	Hún á gæluhund.
抽屉	skúffa	Lykillinn er í skúffunni.
抽象	óhlutbundinn	Þetta hugtak er of óhlutbundið.
丑	ljótur	Þessi mynd er svolítið ljót.
臭	illa lyktandi	Sorpið lyktar illa.
出版	gefa út	Þessi bók kom út í fyrra.
出口	útgangur	Útgangurinn er fram undan.
出色	framúrskarandi	Frammistaða hennar er framúrskarandi.
出示	sýna	Vinsamlegast sýndu vegabréfið þitt.
出席	mæta	Hann mun mæta á fundinn.
初级	byrjendastig	Ég læri kínversku í byrjendahópi.
除非	nema	Nema það rigni förum við í fjallgöngu á morgun.
除夕	gamlárskvöld	Á gamlárskvöld borðar öll fjölskyldan saman.
处理	takast á við	Ég mun takast á við þetta vandamál.
传播	breiðast út	Þessi frétt breiddist mjög hratt út.
传染	smitast	Kvef smitast auðveldlega.
传说	goðsögn	Þetta er forn goðsögn.
传统	hefðbundinn	Vorhátíðin er hefðbundin kínversk hátíð.
窗帘	gardínur	Vinsamlegast dragðu gardínurnar frá.
闯	brjóta gegn	Hann fór óvart yfir á rauðu ljósi.
创造	skapa	Fólk skapaði ný verkfæri.
吹	blása	Vindurinn blæs mjög mikið.
词汇	orðaforði	Þetta orð er mjög algengt.
辞职	segja upp	Hann ákvað að segja upp starfinu.
此外	auk þess	Auk þess hef ég aðra spurningu.
刺激	spennandi	Þessi leikur er mjög spennandi.
次要	aukalegur	Þetta vandamál er aukaatriði.
匆忙	í flýti	Hann fór að heiman í flýti.
从此	upp frá því	Upp frá því æfði hann á hverjum degi.
从而	þannig	Hann lærði af kappi og náði þannig prófinu.
从前	áður	Áður var engin neðanjarðarlest hér.
从事	starfa við	Hún starfar við menntun.
粗糙	grófur	Þetta pappírsblað er mjög gróft.
促进	efla	Hreyfing getur eflt heilsuna.
促使	hvetja til	Þetta varð til þess að hann breytti áætluninni.
醋	edik	Ediki var bætt í réttinn.
催	reka á	Mamma rak á eftir mér að fara fljótt út.
存在	vera til	Þetta vandamál er enn til staðar.
措施	ráðstöfun	Skólinn gerði öryggisráðstafanir.
答应	samþykkja	Hann samþykkti að hjálpa mér.
达到	ná	Einkunnir hans náðu viðmiðinu.
打工	vinna hlutastarf	Hann vinnur hlutastarf á veitingastað í sumarfríinu.
打交道	eiga samskipti við	Ég á oft samskipti við viðskiptavini.
打喷嚏	hnerra	Hann er kvefaður og hnerrar stöðugt.
打听	spyrjast fyrir	Ég vil spyrjast fyrir um lestarmiða.
大方	örlátur	Hún er örlát þegar hún eyðir peningum.
大厦	stór bygging	Þessi stóra bygging er mjög há.
大象	fíll	Börnin horfa á fíla í dýragarðinum.
大型	stór	Hér á að byggja stóra verslunarmiðstöð.
呆	dvelja	Hann dvelur heima og les.
代表	tákna	Þetta blóm táknar vináttu.
代替	koma í staðinn fyrir	Í dag mæti ég á fundinn í hans stað.
待遇	kjör	Kjörin hjá þessu fyrirtæki eru góð.
贷款	lán	Þau sóttu um húsnæðislán.
单纯	einfaldur	Hugmynd hennar er mjög einföld.
单调	einhæfur	Þetta starf er svolítið einhæft.
单独	einn	Ég vil tala við þig einslega.
单位	stofnun	Hann vinnur hjá opinberri stofnun.
单元	kafli	Í dag lærum við þriðja kaflann.
担任	gegna	Hún gegnir ábyrgðarhlutverki í þessum viðburði.
耽误	sóa	Ekki sóa tíma allra.
胆小鬼	hugleysingi	Ekki kalla hann hugleysingja.
淡	bragðdaufur	Þessi súpa er svolítið bragðdauf.
当地	staðbundinn	Staðarbúar kunna allir vel við þennan markað.
当心	passa sig	Vegurinn er háll, passaðu þig.
挡	hindra	Þessi bíll hindrar innganginn.
倒霉	óheppinn	Í dag er ég virkilega óheppinn, ég týndi símanum.
导演	leikstjóri	Þessi leikstjóri er mjög frægur.
导致	valda	Mikil rigning olli umferðarteppu.
岛屿	eyja	Þetta land hefur margar eyjar.
到达	koma	Lestin kom til Shanghai á réttum tíma.
道德	siðferði	Maður ætti að hafa siðferðisreglur.
道理	rök	Það sem hann sagði er mjög rökrétt.
登记	skrá sig	Vinsamlegast skráðu þig fyrst í móttökunni.
等待	bíða	Við bíðum eftir niðurstöðunni.
等于	jafngilda	Fimm plús fimm jafngildir tíu.
滴	dropi	Einn vatnsdropi féll á borðið.
敌人	óvinur	Þau eru ekki óvinir.
的确	sannarlega	Þetta mál er sannarlega mjög mikilvægt.
地道	ekta	Hann talar ekta Peking-mállýsku.
地理	landafræði	Ég hef mikinn áhuga á landafræði Kína.
地区	svæði	Þetta svæði er mjög kalt á veturna.
地毯	teppi	Það liggur teppi í stofunni.
地位	staða	Menntun hefur mikilvæga stöðu í samfélaginu.
地震	jarðskjálfti	Hér varð jarðskjálfti í gærkvöldi.
递	rétta	Vinsamlegast réttu kennaranum þetta bréf.
点心	snarl	Síðdegis borðuðum við snarl.
电池	rafhlaða	Þetta leikfang þarf tvær rafhlöður.
电台	útvarpsstöð	Hann sér um þátt á útvarpsstöð.
钓	veiða	Afi finnst gaman að veiða við ána.
顶	talningarorð fyrir hatta	Hann er með svartan hatt.
冻	frjósa	Það er svo kalt úti að vatnið fraus.
动画片	teiknimynd	Börnin eru að horfa á teiknimyndir.
洞	gat	Það er lítið gat á veggnum.
豆腐	tófú	Þessi tófúréttur er mjög góður.
逗	fá til að hlæja	Orð hans fengu alla til að hlæja.
独立	sjálfstæður	Hún vill lifa sjálfstæðu lífi.
独特	einstakur	Þessi borg hefur einstaka menningu.
度过	eyða	Við eyddum fríinu við sjóinn.
断	brotna	Þetta reipi slitnaði.
堆	hrúgast	Mörg skjöl liggja í hrúgu á borðinu.
兑换	skipta	Ég vil skipta peningum í renminbi.
对比	bera saman	Vinsamlegast berðu þessar tvær áætlanir saman.
对待	meðhöndla	Við ættum að koma sanngjarnt fram við alla.
对方	hinn aðilinn	Vinsamlegast hlustaðu fyrst á skoðun hins aðilans.
对手	andstæðingur	Andstæðingur hans er mjög sterkur.
对象	viðfangsefni	Viðfangsefni rannsóknarinnar eru háskólanemar.
吨	tonn	Þessi vörubíll getur flutt þrjú tonn af vörum.
蹲	húka	Hann húkir á jörðinni og leitar að lyklunum.
顿	máltíð	Við borðuðum kvöldmat saman.
多亏	þökk sé	Þökk sé hjálp þinni gat ég lokið verkefninu.
多余	óþarfur	Þessi setning er óþörf.
朵	talningarorð fyrir blóm	Það er eitt blóm á borðinu.
躲藏	fela sig	Kettlingurinn felur sig undir rúminu.
恶劣	slæmur	Veðrið í dag er mjög slæmt.
耳环	eyrnalokkur	Hún er með eyrnalokka.
发表	tjá	Hann tjáði skoðun sína á fundinum.
发愁	hafa áhyggjur	Ekki hafa áhyggjur af þessu smámáli.
发达	þróaður	Samgöngur í þessari borg eru vel þróaðar.
发抖	skjálfa	Hann skalf stöðugt af kulda.
发挥	nota	Vinsamlegast notið ímyndunaraflið ykkar.
发明	uppfinning	Rafljósið er mikilvæg uppfinning.
发票	reikningur	Vinsamlegast gefðu mér reikning.
发言	taka til máls	Hann tók til máls á fundinum.
罚款	sekt	Ólögleg bílastöðun varðar sekt.
法院	dómstóll	Þetta mál var sent til dómstólsins.
翻	fletta	Vinsamlegast flettu bókinni á blaðsíðu tíu.
繁荣	blómstra	Efnahagslífið er smám saman að blómstra.
反而	þvert á móti	Hann varð ekki reiður, heldur hló þvert á móti.
反复	ítrekað	Þessa setningu þarf að æfa ítrekað.
反应	viðbragð	Viðbragð hans er fljótt.
反映	endurspegla	Þessi skýrsla endurspeglar raunverulega stöðu.
反正	allavega	Allavega hef ég tíma á morgun.
范围	svið	Vinsamlegast farðu ekki út fyrir þetta svið.
方	ferningur	Vinsamlegast teiknaðu ferning á blaðið.
方案	áætlun	Þessi áætlun er nokkuð skynsamleg.
方式	aðferð	Þessi námsaðferð er mjög áhrifarík.
妨碍	trufla	Vinsamlegast truflaðu ekki vinnu annarra.
仿佛	virðast	Hann virðist vita allt.
非	verða að	Þetta verður ekki gert án þín.
肥皂	sápa	Notaðu sápu þegar þú þværð hendurnar.
废话	vitleysa	Hættu að tala vitleysu og byrjaðu fljótt.
分别	kveðjast	Þau kvöddust á stöðinni.
分布	dreifast	Þessar verslanir dreifast um alla borgina.
分配	úthluta	Kennarinn úthlutaði nýju verkefni.
分手	hætta saman	Þau hættu saman í fyrra.
分析	greina	Við þurfum að greina ástæðurnar.
纷纷	hver á eftir öðrum	Allir lýstu samþykki hver á eftir öðrum.
奋斗	berjast	Ungt fólk ætti að berjast fyrir draumum sínum.
疯狂	brjálaður	Aðdáendurnir fögnuðu ákaflega.
风格	stíll	Stíll þessa veitingastaðar er mjög sérstakur.
风景	landslag	Landslagið á fjallinu er fallegt.
风俗	siður	Hver staður hefur sína siði.
风险	áhætta	Fjárfesting felur í sér ákveðna áhættu.
讽刺	hæða	Þessi grein hæddi samfélagsvandamál.
否定	neita	Hann neitaði þessari fullyrðingu.
否认	neita	Hann neitaði að hafa gert mistök.
幅	talningarorð fyrir myndir	Það hangir málverk á veggnum.
扶	styðja	Vinsamlegast hjálpaðu eldra fólkinu yfir götuna.
服装	fatnaður	Þessi búð selur barnaföt.
辅导	leiðbeina	Kennarinn leiðbeinir nemendum eftir tíma.
复制	afrita	Vinsamlegast afritaðu þetta skjal.
妇女	konur	Þetta sjúkrahús veitir konum þjónustu.
改革	umbætur	Skólinn er að gera umbætur í kennslu.
改进	bæta	Við þurfum að bæta þjónustugæði.
改善	bæta	Hreyfing getur bætt svefn.
改正	leiðrétta	Vinsamlegast leiðréttu mistök tímanlega.
概括	draga saman	Vinsamlegast dragðu efni greinarinnar saman.
概念	hugtak	Þetta hugtak er ekki mjög auðvelt að skilja.
盖	loka	Vinsamlegast lokaðu bollanum vel.
干脆	einfaldlega	Þú skalt einfaldlega ekki fara í dag.
干燥	þurr	Veturinn í norðri er mjög þurr.
感激	þakklátur	Ég er mjög þakklátur fyrir hjálp þína.
感受	tilfinning	Ég skil tilfinningar þínar.
感想	hugleiðing	Vinsamlegast segðu frá hugleiðingum þínum.
赶紧	flýta sér	Það er orðið seint, flýttu þér af stað.
赶快	fljótt	Lokaðu dyrunum fljótt.
干活儿	vinna	Hann er að vinna í garðinum.
钢铁	stál	Þessi brú er úr stáli.
高档	lúxus	Þetta er lúxushótel.
高级	framhaldsstig; háþróaður	Hún fór í framhaldsnámskeið í kínversku.
搞	skipuleggja	Hvers konar viðburð ertu að skipuleggja?
告别	kveðja	Við kvöddum vin okkar á flugvellinum.
格外	sérstaklega	Himinninn er sérstaklega blár í dag.
隔壁	næsta hús	Í næsta húsi býr kennari.
个别	einstakur	Nokkrir einstakir nemendur hafa ekki skilað heimavinnunni enn.
个人	persónulegur	Þetta er mín persónulega skoðun.
个性	persónuleiki	Hún hefur mikinn persónuleika.
各自	hver fyrir sig	Allir ljúka sínu verkefni hver fyrir sig.
根	talningarorð fyrir langa mjóa hluti	Það er vír undir borðinu.
根本	alls ekki	Þetta vandamál er alls ekki erfitt.
公布	tilkynna	Skólinn tilkynnti prófniðurstöðurnar.
公开	opinber	Þessi fundur er opinber.
公平	sanngjarn	Keppnin ætti að vera sanngjörn.
公寓	íbúð	Hún leigði litla íbúð.
公元	eftir Krist	Í ár er árið 2026 eftir Krist.
公主	prinsessa	Litla stúlkan hefur gaman af prinsessusögum.
功能	virkni	Þetta forrit hefur marga eiginleika.
工厂	verksmiðja	Þessi verksmiðja framleiðir bíla.
工程师	verkfræðingur	Eldri bróðir minn er verkfræðingur.
工具	verkfæri	Það þarf verkfæri til að gera við reiðhjól.
工人	verkamaður	Verkamennirnir eru að gera við veginn.
工业	iðnaður	Þessi borg byggist aðallega á iðnaði.
恭喜	til hamingju	Til hamingju með að hafa staðist prófið.
贡献	framlag	Hann lagði sitt af mörkum til fyrirtækisins.
沟通	samskipti	Góð samskipti eru mjög mikilvæg.
构成	mynda	Þessir hlutar mynda heild.
姑姑	föðursystir	Ég ætla að heimsækja föðursystur mína um helgina.
姑娘	ung kona	Þessi unga kona er mjög hjálpsöm.
古代	fornöld	Í fornöld voru engir farsímar.
古典	klassískur	Ég hef gaman af klassískri tónlist.
股票	hlutabréf	Hann keypti nokkur hlutabréf.
骨头	bein	Þetta bein er mjög hart.
鼓舞	hvetja	Þessi frétt er mjög hvetjandi.
鼓掌	klappa	Áhorfendur klöppuðu fyrir leikurunum.
固定	fastur	Ég hef fastan vinnutíma.
挂号	skrá sig	Áður en maður hittir lækni þarf að skrá sig.
乖	þægur	Þetta barn er mjög þægt.
拐弯	beygja	Beygðu til hægri á gatnamótunum fram undan.
怪不得	engin furða	Engin furða að þú sért svona þreyttur.
关闭	slökkva	Vinsamlegast slökktu á tölvunni áður en þú ferð.
官	embættismaður	Hann er ungur embættismaður.
观察	fylgjast með	Læknirinn fylgist með ástandi sjúklingsins.
观点	sjónarmið	Ég er sammála sjónarmiði þínu.
观念	hugmynd	Hugmyndir ungs fólks eru að breytast.
管子	rör	Þetta rör lekur vatni.
冠军	meistari	Hún varð meistari í keppninni.
光滑	slétur	Yfirborð þessa borðs er mjög slétt.
光临	heimsækja	Verið velkomin að koma aftur næst.
光明	bjartur	Framtíðin er björt.
光盘	diskur	Vinsamlegast vistaðu gögnin á diskinn.
广场	torg	Það er margt fólk á torginu.
广大	fjölmennur; víðtækur	Þessar fréttir nutu vinsælda meðal margra nemenda.
广泛	víðtækur	Þessi bók hefur víðtæk áhrif.
归纳	draga saman	Kennarinn hjálpaði okkur að draga aðalatriðin saman.
规矩	regla	Börn þurfa að kunna reglurnar.
规律	reglulegur	Lífið þarf að hafa reglulegan takt.
规模	umfang	Þetta fyrirtæki er mjög stórt að umfangi.
规则	regla	Keppnisreglurnar eru mjög skýrar.
柜台	afgreiðsluborð	Vinsamlegast greiddu við afgreiðsluborðið.
滚	sjóða	Vatnið er þegar farið að sjóða.
锅	pottur	Það er heit súpa í pottinum.
国庆节	þjóðhátíðardagur	Á þjóðhátíðardaginn fáum við frí.
国王	konungur	Konungurinn býr í höllinni.
果然	eins og búist var við	Hann kom á réttum tíma eins og búist var við.
果实	ávöxtur	Tréð er fullt af ávöxtum.
过分	óhóflegur	Krafa hans er svolítið óhófleg.
过敏	ofnæmi	Ég er með ofnæmi fyrir frjókornum.
过期	útrunninn	Þessi mjólkurflaska er þegar útrunnin.
哈	ha	Ha, ég skil þetta loksins.
海关	tollur	Við biðum í röð í tollinum til skoðunar.
海鲜	sjávarfang	Sjávarfangið á þessum veitingastað er mjög ferskt.
喊	hrópa	Ekki hrópa hátt í kennslustofunni.
行业	atvinnugrein	Ferðaþjónustan þróast hratt.
豪华	glæsilegur; lúxus	Þau dvelja á lúxushóteli.
好客	gestrisinn	Heimamenn eru mjög gestrisnir.
好奇	forvitinn	Börn eru mjög forvitin um heiminn.
何必	til hvers	Til hvers að reiðast yfir smámáli?
何况	auk þess; hvað þá	Það er kalt í dag og auk þess rignir.
合法	löglegur	Þessi samningur er löglegur.
合理	sanngjarn	Þetta verð er mjög sanngjarnt.
合同	samningur	Þau skrifuðu undir samning.
合影	hópmynd	Við tókum hópmynd við útskriftina.
合作	samstarf	Við kláruðum verkefnið með samstarfi.
和平	friður	Allir óska sér friðar.
核心	kjarni	Traust er kjarni samstarfs.
恨	sjá eftir	Hann sér eftir að hafa ekki lagt sig fyrr fram.
猴子	api	Það eru nokkrir apar í dýragarðinum.
后背	bak	Hann er svolítið aumur í bakinu.
后果	afleiðing	Þú þarft að hugsa um afleiðingarnar.
呼吸	anda	Vinsamlegast andaðu djúpt.
忽然	skyndilega	Himinninn dimmdi skyndilega.
忽视	hunsa	Ekki hunsa þetta vandamál.
壶	kanna	Það er tekanna á borðinu.
糊涂	ruglaður	Ég er svolítið ruglaður í dag.
胡说	tala vitleysu	Ekki tala vitleysu, þetta er ekki satt.
胡同	hutong; gömul gata	Í Peking eru margar gamlar hutong-götur.
蝴蝶	fiðrildi	Það er fiðrildi í garðinum.
花生	jarðhneta	Honum finnst gott að borða jarðhnetur.
华裔	af kínverskum uppruna	Hún er rithöfundur af kínverskum uppruna.
滑	háll	Gólfið er hált, farðu varlega.
划	róa	Þegar hann fer með báti sér hann um að róa.
化学	efnafræði	Hún lærði efnafræði í háskóla.
话题	umræðuefni	Þetta umræðuefni er mjög áhugavert.
怀念	sakna	Ég sakna háskólalífsins mjög mikið.
怀孕	ólétt	Hún er komin þrjá mánuði á leið.
缓解	draga úr	Hvíld getur dregið úr streitu.
幻想	ímynda sér	Hann ímyndar sér oft að ferðast út í geim.
慌张	fara í uppnám	Ekki fara í uppnám þegar þú lendir í vandamáli.
黄金	gull	Verð á gulli hefur hækkað aftur.
恢复	jafna sig	Líkami hans er að jafna sig.
挥	veifa	Hún veifaði hendinni.
灰	grár	Himinninn er grár.
灰尘	ryk	Það er mikið ryk á borðinu.
灰心	missa kjark	Ekki missa kjarkinn þótt þér mistakist.
汇率	gengi	Hvert er gengið í dag?
婚礼	brúðkaup	Brúðkaup þeirra var mjög einfalt.
婚姻	hjónaband	Hjónaband krefst gagnkvæms skilnings.
活跃	virkur	Hann er mjög virkur í kennslustundum.
伙伴	félagi	Hann er besti félagi minn.
火柴	eldspýta	Það er aðeins ein eldspýta eftir í kassanum.
或许	kannski	Kannski rignir á morgun.
基本	grunnur; grundvallar	Þetta eru grunnkröfur.
机器	vél	Þessi vél er biluð.
激烈	harður	Keppnin var mjög hörð.
肌肉	vöðvi	Vöðvarnir eru svolítið aumir eftir æfingu.
及格	ná prófi	Hann náði þessu prófi.
急忙	í flýti	Hann hljóp í flýti út úr kennslustofunni.
急诊	bráðamóttaka	Sjúklingurinn var sendur á bráðamóttöku.
极其	afar	Þetta mál er afar mikilvægt.
集合	safnast saman	Vinsamlegast safnist saman við innganginn klukkan átta.
集体	hópur	Þetta er hópviðburður.
集中	einbeita sér	Í tíma þarf maður að einbeita sér.
寂寞	einmana	Að búa einn getur stundum verið einmanalegt.
系领带	binda bindi	Hann bindur bindi á hverjum degi áður en hann fer í vinnu.
纪录	met	Hann sló skólametið.
纪律	agi	Agi í kennslustofunni er mjög mikilvægur.
纪念	minnast	Við tókum myndir til að minnast þessa dags.
计算	reikna	Vinsamlegast reiknaðu heildarkostnaðinn.
记录	skrá	Vinsamlegast skráðu efni fundarins.
记忆	minning	Þessi minning er mjög dýrmæt.
嘉宾	gestur	Gestur dagsins er rithöfundur.
夹子	klemma	Vinsamlegast haltu skjölunum saman með klemmu.
家庭	fjölskylda	Fjölskylda er mjög mikilvæg fyrir börn.
家务	heimilisstörf	Um helgina þarf ég að vinna heimilisstörf.
家乡	heimabær	Ég sakna heimabæjar míns mjög mikið.
假如	ef	Ef það rignir á morgun förum við ekki.
假设	gera ráð fyrir	Gerum ráð fyrir að þú sért kennari, hvað myndirðu gera?
假装	þykjast	Hann þóttist ekki hafa heyrt.
甲	aðili A	Aðili A þarf að greiða á réttum tíma.
价值	gildi; verðmæti	Þessi bók hefur mikið gildi.
嫁	giftast	Hún ætlar að giftast kærastanum sínum á næsta ári.
驾驶	aka	Aktu varlega þegar þú keyrir bíl.
兼职	hlutastarf	Hann vinnur hlutastarf á kvöldin.
坚决	ákveðinn	Hann er ákveðið ósammála þessari ákvörðun.
坚强	sterkur	Hún er sterk manneskja.
肩膀	öxl	Öxlin á honum er meidd.
艰巨	erfiður	Þetta er erfitt verkefni.
艰苦	erfiður	Þau gengu í gegnum erfitt líf.
剪刀	skæri	Vinsamlegast réttu mér skærin.
捡	taka upp	Hann tók upp veskið af jörðinni.
简历	ferilskrá	Áður en sótt er um starf þarf að undirbúa ferilskrá.
简直	einfaldlega	Þessar fréttir eru einfaldlega sláandi.
健身	rækt	Hann fer í ræktina þrisvar í viku.
建立	koma á	Við komum á nýju sambandi.
建设	uppbygging	Uppbygging borgarinnar þróast hratt.
建筑	bygging	Þessi bygging er mjög sérstök.
键盘	lyklaborð	Lyklaborðið mitt þarf að þrífa.
讲究	leggja áherslu á	Kínverjar leggja mikla áherslu á mat.
讲座	fyrirlestur	Í kvöld er fyrirlestur um kínversku.
酱油	sojasósa	Bættu smá sojasósu í réttinn.
交换	skipta	Við skiptumst á símanúmerum.
交际	samskipti	Þegar maður lærir tungumál þarf líka að æfa samskipti.
交往	vera saman	Þau hafa verið saman í tvö ár.
浇	vökva	Vinsamlegast vökvaðu blómin á hverjum degi.
胶水	lím	Ég notaði lím til að festa myndina.
