hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
2096:测试	测试	测试	ტესტირება; შემოწმება	ახალი პროგრამის ტესტირება ხვალ იწყება.	փորձարկել; թեստավորում անել	Նոր ծրագիրը վաղվանից կսկսեն փորձարկել։
2097:曾	曾	曾	ოდესღაც; ადრე	ის ადრე პეკინში სამი წელი მუშაობდა.	երբևէ; նախկինում	Նա նախկինում Պեկինում երեք տարի աշխատել է։
2104:产	产	产	წარმოება; შობა	ეს ხეხილის ბაღი ძირითადად ვაშლს იძლევა.	արտադրել; ծնունդ տալ	Այս այգին հիմնականում խնձոր է տալիս։
2105:产量	产量	产量	წარმოების მოცულობა; მოსავალი	წლევანდელი მარცვლეულის მოსავალი გაიზარდა.	արտադրանքի ծավալ; բերքատվություն	Այս տարվա հացահատիկի բերքատվությունը բարձրացել է։
2108:长处	长处	长处	ძლიერი მხარე	მოთმინება მისი ძლიერი მხარეა.	ուժեղ կողմ	Համբերությունը նրա ուժեղ կողմն է։
2109:长度	长度	长度	სიგრძე	ამ თოკის სიგრძე ზუსტად შესაფერისია.	երկարություն	Այս պարանի երկարությունը ճիշտ հարմար է։
2110:长久	长久	长久	ხანგრძლივი	ნამდვილი მეგობრობა შეიძლება ძალიან ხანგრძლივი იყოს.	երկարատև	Իսկական ընկերությունը կարող է երկարատև լինել։
2111:长期	长期	长期	გრძელვადიანი	გრძელვადიანი ვარჯიში სხეულისთვის სასარგებლოა.	երկարաժամկետ	Երկարաժամկետ մարզանքը օգտակար է մարմնի համար։
2115:长远	长远	长远	გრძელვადიანი; შორსმიმავალი	გადაწყვეტილების მიღებისას გრძელვადიანი გავლენა უნდა გაითვალისწინო.	երկարաժամկետ; հեռահար	Որոշում ընդունելիս պետք է հաշվի առնել երկարաժամկետ ազդեցությունը։
2117:超	超	超	გადაჭარბება; აჭარბებს	ამ თვის ხარჯებმა ბიუჯეტს გადააჭარბა.	գերազանցել; անցնել	Այս ամսվա ծախսերը գերազանցեցին բյուջեն։
2118:超出	超出	超出	გასცდეს; გადააჭარბოს	რეალურმა ხარჯმა ჩვენს გეგმას გადააჭარბა.	գերազանցել; դուրս գալ	Իրական ծախսը գերազանցեց մեր ծրագիրը։
2120:超速	超速	超速	სიჩქარის გადაჭარბება	ეს მანქანა სიჩქარის გადაჭარბების გამო დააჯარიმეს.	արագությունը գերազանցել	Այս մեքենան տուգանվեց արագությունը գերազանցելու համար։
2124:车祸	车祸	车祸	ავტოსაგზაო შემთხვევა	იმ ავტოსაგზაო შემთხვევას მძიმე დაშავება არ გამოუწვევია.	ավտովթար	Այդ ավտովթարը ծանր վնասվածքներ չպատճառեց։
2126:车辆	车辆	车辆	სატრანსპორტო საშუალება	კომპლექსის შესასვლელთან უცხო სატრანსპორტო საშუალებების შესვლა აკრძალულია.	տրանսպորտային միջոց	Թաղամասի մուտքի մոտ արտաքին տրանսպորտային միջոցների մուտքն արգելված է։
2128:车主	车主	车主	მანქანის მფლობელი	მანქანის მფლობელი უკვე დაუკავშირდა სადაზღვევო კომპანიას.	մեքենայի սեփականատեր	Մեքենայի սեփականատերը արդեն կապվել է ապահովագրական ընկերության հետ։
2130:沉	沉	沉	ჩაძირვა; მძიმე	ქვა წყალში ჩავარდა და მალე ჩაიძირა.	սուզվել; ծանր	Քարը ջրի մեջ ընկավ և շուտով սուզվեց։
2134:称为	称为	称为	ეწოდება	ამ ჩაის ადგილობრივად გაზაფხულის ჩაი ეწოდება.	կոչվել	Այս տեսակի թեյը տեղում կոչվում է գարնանային թեյ։
2143:成年1	成年1	成年	სრულწლოვანება; სრულწლოვანი გახდომა	ის წელს ახლახან გახდა სრულწლოვანი და საბუთებს თავად მოაგვარებს.	չափահաս դառնալ	Նա այս տարի նոր է չափահաս դարձել և կարող է գործերը ինքնուրույն կատարել։
2144:城区	城区	城区	ქალაქის უბანი	ძველი ქალაქის უბნის ქუჩები შედარებით ვიწროა.	քաղաքային շրջան	Հին քաղաքային շրջանի փողոցները համեմատաբար նեղ են։
2149:乘务员	乘务员	乘务员	მომსახურე პერსონალი; ეკიპაჟის წევრი	მომსახურე პერსონალმა ყველას უსაფრთხოების ღვედის შეკვრა შეახსენა.	սպասարկող աշխատակից; անձնակազմի անդամ	Սպասարկող աշխատակիցը բոլորին հիշեցրեց կապել անվտանգության գոտիները։
2153:橙子	橙子	橙子	ფორთოხალი	ეს ფორთოხალი ტკბილია და ძალიან წვნიანიცაა.	նարինջ	Այս նարինջը քաղցր է և շատ հյութալի։
2154:池	池	池	აუზი; ტბორი	ეზოში პატარა ტბორია.	լճակ; ավազան	Բակում փոքրիկ լճակ կա։
2159:充电	充电	充电	დამუხტვა	ტელეფონს თითქმის ენერგია აღარ აქვს და დამუხტვა სჭირდება.	լիցքավորել	Հեռախոսը գրեթե լիցք չունի և պետք է լիցքավորել։
2162:充值	充值	充值	ბალანსის შევსება	ავტობუსის ბარათზე ასი იუანი შევავსე.	համալրել; լիցքավորել	Ես ավտոբուսի քարտը համալրեցի հարյուր յուանով։
2165:虫子	虫子	虫子	მწერი; პატარა ბაღლინჯო	ყვავილის ქოთანში რამდენიმე პატარა მწერია.	միջատ; բզեզիկ	Ծաղկամանի մեջ մի քանի փոքր միջատ կա։
2167:抽	抽	抽	ამოღება; მოწევა; ამოტუმბვა	მან ყუთიდან ერთი ფურცელი ამოიღო.	քաշել; ծխել; պոմպել	Նա տուփից մեկ թուղթ քաշեց հանեց։
2170:初	初	初	დასაწყისი; ადრეული	შეხვედრა მომდევნო თვის დასაწყისშია დანიშნული.	սկիզբ; վաղ	Ժողովը նշանակված է հաջորդ ամսվա սկզբին։
2173:初期	初期	初期	საწყისი ეტაპი	პროექტის საწყის ეტაპზე მეტი დაფინანსებაა საჭირო.	սկզբնական փուլ	Նախագծի սկզբնական փուլում ավելի շատ միջոցներ են պետք։
2175:出售	出售	出售	გაყიდვა; გასაყიდად გამოტანა	ეს ბინა ახლა იყიდება.	վաճառել; վաճառքի հանել	Այս բնակարանը հիմա վաճառվում է։
2177:出自	出自	出自	მომდინარეობა; წარმოშობა	ეს წინადადება ძველი წიგნიდან მომდინარეობს.	ծագել; առաջ գալ	Այս նախադասությունը գալիս է մի հին գրքից։
2179:处	处	处	მოგვარება; დამუშავება	ის ამ რთულ საკითხს აგვარებს.	լուծել; զբաղվել	Նա զբաղվում է այս բարդ խնդրով։
2181:处于	处于	处于	მდგომარეობაში ყოფნა; მდებარეობა	კომპანია ამჟამად სწრაფი განვითარების ეტაპზეა.	գտնվել; լինել	Ընկերությունը այժմ արագ զարգացման փուլում է։
2182:处	处	处	ადგილი; წერტილი	ეს ძველი სახლი უკვე შეკეთებულია.	վայր; տեղ	Այս հին տունն արդեն վերանորոգված է։
2183:传	传	传	გადაცემა; გავრცელება	გთხოვთ ეს მასალა ყველას გადასცეთ.	փոխանցել; տարածել	Խնդրում եմ այս նյութը փոխանցել բոլորին։
2185:传递	传递	传递	გადაცემა; მიწოდება	ღიმილს მეგობრული ინფორმაციის გადაცემა შეუძლია.	փոխանցել	Ժպիտը կարող է ընկերական տեղեկություն փոխանցել։
2188:窗台	窗台	窗台	ფანჯრის რაფა	ფანჯრის რაფაზე ორი ქოთანი ყვავილი დგას.	լուսամուտագոգ	Լուսամուտագոգին երկու ծաղկաման է դրված։
2196:此后	此后	此后	ამის შემდეგ	ამის შემდეგ ის აღარასოდეს დაგვიანებულა.	դրանից հետո	Դրանից հետո նա այլևս երբեք չուշացավ։
2197:此前	此前	此前	მანამდე	მანამდე ჩვენ ეს საკითხი უკვე განვიხილეთ.	մինչ այդ	Մինչ այդ մենք արդեն քննարկել էինք այս հարցը։
2198:此时	此时	此时	ამ დროს	ამ დროს გარეთ წვიმა კიდევ უფრო გაძლიერდა.	այս պահին	Այս պահին դրսի անձրևը ավելի ուժեղացավ։
2200:从不	从不	从不	არასდროს	ის მუშაობის დროს ტელეფონით არასდროს თამაშობს.	երբեք	Նա աշխատանքի ժամանակ երբեք հեռախոսով չի խաղում։
2206:促销	促销	促销	აქცია; გაყიდვების ხელშეწყობა	სუპერმარკეტში შაბათ-კვირას აქციაა.	զեղչային ակցիա; խթանում	Սուպերմարկետում հանգստյան օրերին զեղչային ակցիա կա։
2208:存放	存放	存放	შენახვა	გთხოვთ ბარგი წინა დახლთან შეინახოთ.	պահել	Խնդրում եմ ուղեբեռը պահել ընդունարանում։
2209:存款	存款	存款	ანაბარი; დანაზოგი	ის ყოველ თვე გარკვეულ თანხას ინახავს.	ավանդ; խնայողություն	Նա ամեն ամիս որոշ գումար է խնայում։
2215:打断	打断	打断	შეწყვეტინება	გთხოვთ სხვებს საუბარი არ შეაწყვეტინოთ.	ընդհատել	Խնդրում եմ մի ընդհատեք ուրիշներին խոսելիս։
2216:打破	打破	打破	გატეხვა; დამსხვრევა	მან შემთხვევით ერთი ჭიქა გატეხა.	կոտրել	Նա պատահաբար մի բաժակ կոտրեց։
2218:大胆	大胆	大胆	გაბედული	მან გაბედული იდეა წამოაყენა.	համարձակ	Նա համարձակ գաղափար առաջարկեց։
2219:大多	大多	大多	უმეტესად; უმეტესობა	აქაური სტუდენტების უმეტესობა ადგილობრივია.	հիմնականում; մեծ մասը	Այստեղի ուսանողների մեծ մասը տեղացիներ են։
2220:大会	大会	大会	კრება; კონფერენცია	კომპანიის საერთო კრება პარასკევს დილით გაიმართება.	համաժողով; ընդհանուր ժողով	Ընկերության ընդհանուր ժողովը կանցկացվի ուրբաթ առավոտյան։
2221:大力	大力	大力	ძლიერად; აქტიურად	სკოლა აქტიურად უჭერს მხარს მოსწავლეების კონკურსში მონაწილეობას.	մեծապես; ուժեղ կերպով	Դպրոցը մեծապես աջակցում է աշակերտների մրցույթին մասնակցելուն։
2222:大妈	大妈	大妈	ხანდაზმული ქალი; დეიდა	ქვედა სართულის ხანდაზმული ქალი ყოველ დილით ცეკვაზე დადის.	տարեց կին; մորաքույր	Ներքևի տարեց կինը ամեն առավոտ գնում է պարելու։
2223:大米	大米	大米	ბრინჯი	სახლში ბრინჯი თითქმის გაგვითავდა.	բրինձ	Տանը բրինձը գրեթե վերջացել է։
2224:大脑	大脑	大脑	ტვინი	საკმარისი ძილი ტვინისთვის ძალიან მნიშვნელოვანია.	ուղեղ	Բավարար քունը շատ կարևոր է ուղեղի համար։
2225:大批	大批	大批	დიდი რაოდენობა; დიდი პარტია	სცენურ ზონაში დიდი რაოდენობით ტურისტი შევიდა.	մեծ քանակ; մեծ խումբ	Զբոսաշրջիկների մեծ խումբը մտավ տեսարժան վայրի տարածք։
2227:大事	大事	大事	დიდი საქმე; მნიშვნელოვანი მოვლენა	საცხოვრებლის შეცვლა მათი ოჯახისთვის დიდი საქმეა.	կարևոր իրադարձություն; մեծ գործ	Տուն փոխելը նրանց ընտանիքի համար մեծ գործ է։
2230:大爷	大爷	大爷	ხანდაზმული კაცი; ბიძია	ის ხანდაზმული კაცი ყოველდღე პარკში ჭადრაკს თამაშობს.	տարեց տղամարդ; քեռի	Այդ տարեց տղամարդը ամեն օր այգում շախմատ է խաղում։
2231:大于	大于	大于	მეტია	ხუთი სამზე მეტია, ეს მარტივი შედარებაა.	մեծ է	Հինգը երեքից մեծ է, սա պարզ համեմատություն է։
2232:大众	大众	大众	საზოგადოება; მასები	ეს ფილმი საზოგადოებაში ძალიან პოპულარულია.	հանրություն; զանգվածներ	Այս ֆիլմը հանրության շրջանում շատ սիրված է։
2233:代	代	代	თაობა; ეპოქა	ახალგაზრდა თაობას თავისი ცხოვრების წესი აქვს.	սերունդ; դարաշրջան	Երիտասարդ սերունդն ունի իր կյանքի ձևը։
2235:带动	带动	带动	წახალისება; ამოძრავება	ტურიზმმა ადგილობრივი ეკონომიკის განვითარება წაახალისა.	խթանել; առաջ մղել	Զբոսաշրջությունը խթանել է տեղական տնտեսության զարգացումը։
2238:单	单	单	სია; ანგარიში; ცალკე	ოფიციანტმა მენიუ მოგვაწოდა.	ցուցակ; հաշիվ; առանձին	Մատուցողը մեզ մենյուն տվեց։
2241:单一	单一	单一	ერთგვარი; ერთიანი	ამ პროდუქტის ფუნქცია შედარებით ერთგვარია.	միատեսակ; մեկ	Այս ապրանքի գործառույթը համեմատաբար միատեսակ է։
2243:胆小	胆小	胆小	მშიშარა; გაუბედავი	ბავშვობაში ის ძალიან მშიშარა იყო და სიბნელის ეშინოდა.	վախկոտ; երկչոտ	Փոքր ժամանակ նա շատ երկչոտ էր և վախենում էր մթությունից։
2246:当年	当年	当年	იმ წლებში; იმ დროს	იმ წლებში ისინი სოფელში ერთად მუშაობდნენ.	այն ժամանակ; այն տարում	Այն ժամանակ նրանք միասին աշխատում էին գյուղում։
2248:当中	当中	当中	შორის; შუაში	თანაკლასელებს შორის მისი ნიშნები საუკეთესოა.	միջև; մեջտեղում	Դասընկերների մեջ նրա գնահատականները ամենալավն են։
2251:当成	当成	当成	ჩათვლა; მიჩნევა	მან ეს მარცხი სასწავლო შესაძლებლობად ჩათვალა.	համարել; դիտել որպես	Նա այս ձախողումը համարեց սովորելու հնարավորություն։
2252:当作	当作	当作	მიჩნევა; აღქმა	მას ჩემს საუკეთესო მეგობრად მივიჩნევ.	համարել; ընդունել որպես	Ես նրան համարում եմ իմ լավագույն ընկեր։
2258:到期	到期	到期	ვადის გასვლა; დადგომა	ჩემს პასპორტს ვადა მომავალ თვეში გასდის.	ժամկետը լրանալ	Իմ անձնագրի ժամկետը լրանում է հաջորդ ամիս։
2259:登	登	登	ასვლა; გამოქვეყნება; შესვლა	ისინი დილით ადრე მთაზე ასასვლელად გაემგზავრნენ.	բարձրանալ; հրապարակել; մուտք գործել	Նրանք վաղ առավոտյան մեկնեցին լեռ բարձրանալու։
2260:灯光	灯光	灯光	განათება; შუქი	სცენაზე განათება ძალიან ლამაზია.	լուսավորություն; լույս	Բեմի լուսավորությունը շատ գեղեցիկ է։
2266:低头	低头	低头	თავის დახრა	მან თავი დახარა და ტელეფონს თვალი შეავლო.	գլուխը խոնարհել	Նա գլուխը խոնարհեց և մի հայացք գցեց հեռախոսին։
2271:地面	地面	地面	მიწის ზედაპირი; იატაკი	წვიმის შემდეგ მიწა სრიალაა, ამიტომ ფრთხილად იარე.	գետին; հատակի մակերես	Անձրևից հետո գետինը սայթաքուն է, զգույշ քայլիր։
2274:地下	地下	地下	მიწისქვეშა	ამ ქალაქს დიდი მიწისქვეშა ავტოსადგომი აქვს.	ստորգետնյա	Այս քաղաքում մեծ ստորգետնյա կայանատեղի կա։
2277:点赞	点赞	点赞	მოწონების დაჭერა	ბევრმა ინტერნეტმომხმარებელმა ამ ვიდეოს მოწონება დაუჭირა.	հավանել; հավանում տալ	Շատ համացանցային օգտատերեր հավանեցին այս տեսանյութը։
2279:电动	电动	电动	ელექტრო; ელექტროძრავიანი	მან ელექტრო ველოსიპედი იყიდა.	էլեկտրական	Նա էլեկտրական հեծանիվ գնեց։
2280:电器	电器	电器	ელექტრომოწყობილობა	სამზარეულოს ელექტრომოწყობილობები ყველა ახალია.	էլեկտրական սարք	Խոհանոցի էլեկտրական սարքերը բոլորը նոր են։
2281:电商	电商	电商	ელექტრონული ვაჭრობა	ელექტრონული ვაჭრობის პლატფორმებმა ბევრის საყიდლების ჩვევა შეცვალა.	էլեկտրոնային առևտուր	Էլեկտրոնային առևտրի հարթակները փոխել են շատերի գնումների սովորությունները։
2282:电视台	电视台	电视台	ტელეკომპანია	დამთავრების შემდეგ ის ტელეკომპანიაში წავიდა სამუშაოდ.	հեռուստաընկերություն	Ավարտելուց հետո նա աշխատանքի գնաց հեռուստաընկերություն։
2283:电子版	电子版	电子版	ელექტრონული ვერსია	შეხვედრის მასალებს ელექტრონული ვერსიაც აქვს და ქაღალდის ვერსიაც.	էլեկտրոնային տարբերակ	Հանդիպման նյութերն ունեն և էլեկտրոնային, և թղթային տարբերակ։
2284:调1	调1	调	გადაყვანა; გადატანა	მას მომავალ თვეში შანხაის ფილიალში გადაიყვანენ.	տեղափոխել; փոխադրել	Նրան հաջորդ ամիս կտեղափոխեն Շանհայի մասնաճյուղ։
2285:调研	调研	调研	კვლევა; გამოკითხვა	გუნდი ახალგაზრდების მოხმარების ჩვევებს იკვლევს.	ուսումնասիրել; հարցում անել	Թիմը ուսումնասիրում է երիտասարդների սպառման սովորությունները։
2287:丢失	丢失	丢失	დაკარგვა	თუ საბუთი დაიკარგა, რაც შეიძლება მალე პოლიციას შეატყობინე.	կորցնել	Եթե փաստաթուղթը կորել է, որքան հնարավոր է շուտ դիմիր ոստիկանությանը։
2290:动画	动画	动画	ანიმაცია	ბავშვებს ამ ანიმაციის ყურება უყვართ.	մուլտֆիլմ; անիմացիա	Երեխաները սիրում են դիտել այս մուլտֆիլմը։
2291:动人	动人	动人	ამაღელვებელი; გულში ჩამწვდომი	მისი ამბავი ძალიან ამაღელვებელია.	հուզիչ	Նրա պատմությունը շատ հուզիչ է։
2294:豆浆	豆浆	豆浆	სოიოს რძე	საუზმეზე ერთი ჭიქა ცხელი სოიოს რძე დავლიე.	սոյայի կաթ	Նախաճաշին ես մի բաժակ տաք սոյայի կաթ խմեցի։
2297:读音	读音	读音	წარმოთქმა	ამ იეროგლიფს ორი გავრცელებული წარმოთქმა აქვს.	արտասանություն	Այս գրանշանն ունի երկու տարածված արտասանություն։
2298:独自	独自	独自	მარტო; დამოუკიდებლად	მან ეს დავალება დამოუკიდებლად შეასრულა.	մենակ; ինքնուրույն	Նա այս առաջադրանքը ինքնուրույն կատարեց։
2299:堵	堵	堵	გაჭედვა; დაბლოკვა	დილის პიკის საათში ეს გზა ხშირად იჭედება.	խցանել; փակել	Առավոտյան պիկ ժամին այս ճանապարհը հաճախ խցանվում է։
2300:度	度	度	გრადუსი; ზომის ერთეული	დღეს ტემპერატურა მხოლოდ ათი გრადუსია.	աստիճան; չափման միավոր	Այսօր ջերմաստիճանը ընդամենը տասը աստիճան է։
2301:短处	短处	短处	სუსტი მხარე; ნაკლი	ყველას თავისი ძლიერი და სუსტი მხარე აქვს.	թույլ կողմ; թերություն	Յուրաքանչյուր մարդ ունի իր ուժեղ և թույլ կողմերը։
2302:短期	短期	短期	მოკლევადიანი	მოკლევადიანი გეგმა მარტივი და მკაფიო უნდა იყოს.	կարճաժամկետ	Կարճաժամկետ ծրագիրը պետք է լինի պարզ և հստակ։
2312:躲	躲	躲	დამალვა; თავის არიდება	ბავშვი კარის უკან დაიმალა და იცინოდა.	թաքնվել; խուսափել	Երեխան թաքնվեց դռան հետևում և ծիծաղեց։
2313:儿女	儿女	儿女	შვილები	მოხუცს სურს, რომ შვილები ხშირად ესტუმრონ სახლში.	զավակներ; որդիներ ու դուստրեր	Տարեց մարդը հույս ունի, որ զավակները հաճախ տուն կգան տեսնելու։
2314:二手	二手	二手	მეორადი	ეს მეორადი ველოსიპედია.	օգտագործված; երկրորդ ձեռքի	Սա օգտագործված հեծանիվ է։
2315:二维码	二维码	二维码	ქიუარ კოდი	გთხოვთ მაგიდაზე მდებარე ქიუარ კოდი დაასკანეროთ და კერძი შეუკვეთოთ.	քյուար կոդ	Խնդրում ենք սկանավորել սեղանի քյուար կոդը և պատվիրել ուտելիք։
2321:发起	发起	发起	დაწყება; წამოწყება	მათ გარემოს დაცვის აქცია წამოიწყეს.	նախաձեռնել; սկսել	Նրանք նախաձեռնել են բնապահպանական միջոցառում։
2323:发音	发音	发音	წარმოთქმა	მისი ჩინურის წარმოთქმა სულ უფრო მკაფიო ხდება.	արտասանել; արտասանություն	Նրա չինարենի արտասանությունը գնալով ավելի հստակ է դառնում։
2324:罚	罚	罚	დაჯარიმება; დასჯა	მძღოლი სიჩქარის გადაჭარბების გამო ორასი იუანით დააჯარიმეს.	տուգանել; պատժել	Վարորդը արագությունը գերազանցելու համար տուգանվեց երկու հարյուր յուանով։
2328:番茄	番茄	番茄	პომიდორი	მე პომიდვრით სუპის გაკეთება მიყვარს.	լոլիկ	Ես սիրում եմ լոլիկով ապուր պատրաստել։
2330:反	反	反	საპირისპირო; წინააღმდეგ	ის საპირისპირო მიმართულებით წავიდა, ამიტომ კარი ვერ იპოვა.	հակառակ; դեմ	Նա հակառակ ուղղությամբ գնաց, ուստի բնականաբար դուռը չգտավ։
2333:返回	返回	返回	დაბრუნება	ტურისტები შუადღის შემდეგ სასტუმროში დასასვენებლად დაბრუნდნენ.	վերադառնալ	Զբոսաշրջիկները կեսօրին վերադարձան հյուրանոց հանգստանալու։
2340:防	防	防	თავიდან აცილება; დაცვა	ზაფხულში მზისგან დაცვას ყურადღება უნდა მიაქციო.	կանխել; պաշտպանվել	Ամռանը պետք է ուշադրություն դարձնել արևից պաշտպանվելուն։
2341:房屋	房屋	房屋	სახლი; შენობა	ძლიერი წვიმის შემდეგ ზოგი სახლი შეკეთებას საჭიროებდა.	տուն; շենք	Հորդառատ անձրևից հետո որոշ տներ վերանորոգման կարիք ունեին։
2345:飞行	飞行	飞行	ფრენა	ამ ფრენას დაახლოებით ორი საათი სჭირდება.	թռիչք; թռչել	Այս թռիչքը մոտ երկու ժամ է տևում։
