simplified	FI	example_FI
常识	yleistieto; maalaisjärki	Tämä on perustason maalaisjärkeä.
长途	pitkän matkan	Pitkän matkan matkustaminen on väsyttävää.
抄	kopioida	Älä kopioi muiden läksyjä.
超级	super-; erittäin	Tämä on supermarketti.
朝	dynastia	Tang-dynastia on hyvin kuuluisa.
潮湿	kostea	Etelän kesä on hyvin kostea.
吵	meluisa	Ulkona on hyvin meluisaa.
吵架	riidellä	He riitelivät taas.
炒	paistaa; wokata	Äiti paistaa ruokaa.
车库	autotalli	Auto on pysäköity autotalliin.
车厢	vaunu	Tämä junavaunu on hyvin hiljainen.
彻底	perusteellinen; täysin	Hän ymmärsi asian täysin.
沉默	olla hiljaa	Hän oli koko ajan hiljaa.
趁	käyttää tilaisuus; sillä aikaa	Lähdetään, kun ei ole vielä pimeää.
称	punnita; kutsua	Punnitse tämä paketti.
称呼	puhutella	En tiedä, miten minun pitäisi puhutella häntä.
称赞	kehua	Opettaja kehui hänen edistymistään.
成分	ainesosa; koostumus	Tämän lääkkeen ainesosat ovat yksinkertaiset.
成果	tulos	Tämä projekti saavutti tuloksia.
成就	saavutus	Hänellä on urallaan paljon saavutuksia.
成立	perustaa	Yritys perustettiin viime vuonna.
成人	aikuinen	Aikuisten liput ovat lasten lippuja kalliimpia.
成熟	kypsä	Omenat ovat jo kypsiä.
成语	idiomi	Tätä idiomia käytetään usein.
成长	kasvaa	Lapsi kasvaa vähitellen.
承担	ottaa vastuulleen	Hän on valmis ottamaan vastuun.
承认	myöntää	Hän myönsi olleensa väärässä.
承受	kestää	En kestä näin suurta painetta.
程度	taso; aste	Hänen kiinan tasonsa on korkea.
程序	menettely; järjestys	Hoida asia menettelyn mukaan.
诚恳	vilpitön	Hänen asenteensa on hyvin vilpitön.
吃亏	kärsiä tappiota; jäädä häviölle	Katso tarkasti ennen ostamista, ettet jää tappiolle.
持续	jatkua	Sade jatkui kolme päivää.
池塘	lampi	Lammessa on paljon kaloja.
迟早	ennemmin tai myöhemmin	Ymmärrät sen ennemmin tai myöhemmin.
尺子	viivoitin	Mittaa se viivoittimella.
翅膀	siipi	Linnun siipi on loukkaantunut.
充电器	laturi	Laturini on rikki.
充分	riittävä; perusteellinen	Valmistauduimme perusteellisesti.
充满	olla täynnä	Huone oli täynnä naurua.
冲	huuhdella; kaataa vettä	Huuhtele kuppi vedellä.
重复	toistaa	Älä toista samaa virhettä.
宠物	lemmikki	Hänellä on lemmikkikoira.
抽屉	laatikko	Avain on laatikossa.
抽象	abstrakti	Tämä käsite on liian abstrakti.
丑	ruma	Tämä valokuva on vähän ruma.
臭	haiseva; paha haju	Roskat haisevat pahalta.
出版	julkaista	Tämä kirja julkaistiin viime vuonna.
出口	uloskäynti	Uloskäynti on edessä.
出色	erinomainen	Hänen suorituksensa on erinomainen.
出示	näyttää	Näytä passisi.
出席	osallistua; olla läsnä	Hän osallistuu kokoukseen.
初级	alkeis-; perustason	Opiskelen kiinaa alkeisryhmässä.
除非	ellei; paitsi jos	Menemme huomenna vuorille, ellei sada.
除夕	uudenvuodenaatto	Uudenvuodenaattona koko perheemme syö yhdessä.
处理	käsitellä; hoitaa	Hoidan tämän ongelman.
传播	levitä; levittää	Tämä uutinen levisi hyvin nopeasti.
传染	tarttua; tartuttaa	Flunssa tarttuu helposti.
传说	taru; legenda	Tämä on vanha legenda.
传统	perinne; perinteinen	Kevätjuhla on perinteinen kiinalainen juhla.
窗帘	verho	Avaa verhot.
闯	rynnätä; tehdä vahingossa	Hän ajoi vahingossa päin punaisia valoja.
创造	luoda	Ihmiset loivat uusia työkaluja.
吹	puhaltaa	Tuuli puhaltaa voimakkaasti.
词汇	sanasto	Tämä sana on hyvin yleinen.
辞职	erota työstä	Hän päätti erota työstä.
此外	lisäksi	Lisäksi minulla on vielä yksi kysymys.
刺激	jännittävä; ärsyttää	Tämä peli on hyvin jännittävä.
次要	toissijainen	Tämä ongelma on toissijainen.
匆忙	kiireinen; kiireessä	Hän lähti kotoa kiireessä.
从此	siitä lähtien	Siitä lähtien hän kuntoili joka päivä.
从而	siten; näin	Hän opiskeli ahkerasti ja läpäisi siten kokeen.
从前	ennen; aikaisemmin	Ennen täällä ei ollut metroa.
从事	työskennellä alalla; harjoittaa	Hän työskentelee opetusalalla.
粗糙	karkea	Tämä paperi on hyvin karheaa.
促进	edistää	Liikunta edistää terveyttä.
促使	saada aikaan; kannustaa	Tämä asia sai hänet muuttamaan suunnitelmaansa.
醋	etikka	Ruokaan lisättiin etikkaa.
催	kiirehtiä; hoputtaa	Äiti hoputti minua lähtemään nopeasti.
存在	olla olemassa	Tämä ongelma on yhä olemassa.
措施	toimenpide	Koulu ryhtyi turvatoimiin.
答应	suostua; luvata	Hän lupasi auttaa minua.
达到	saavuttaa	Hänen tuloksensa saavuttivat vaaditun tason.
打工	tehdä osa-aikatyötä	Hän tekee kesälomalla osa-aikatyötä ravintolassa.
打交道	olla tekemisissä	Olen usein tekemisissä asiakkaiden kanssa.
打喷嚏	aivastaa	Hänellä on flunssa ja hän aivastelee koko ajan.
打听	kysellä; tiedustella	Haluaisin kysellä junalipuista.
大方	antelias; tyylikäs	Hän käyttää rahaa hyvin anteliaasti.
大厦	suuri rakennus	Tuo suuri rakennus on hyvin korkea.
大象	norsu	Lapset katsovat norsuja eläintarhassa.
大型	suuri; laajamittainen	Tänne rakennetaan suuri ostoskeskus.
呆	oleskella; jäädä	Hän oleskelee kotona lukemassa.
代表	edustaa; edustaja	Tämä kukka edustaa ystävyyttä.
代替	korvata; jonkun puolesta	Tänään osallistun kokoukseen hänen puolestaan.
待遇	edut; kohtelu	Tässä yrityksessä on hyvät edut.
贷款	laina	He hakivat asuntolainaa.
单纯	yksinkertainen; puhdas	Hänen ajatuksensa on hyvin yksinkertainen.
单调	yksitoikkoinen	Tämä työ on vähän yksitoikkoista.
单独	yksin; kahden kesken	Haluan puhua kanssasi kahden kesken.
单位	yksikkö; työpaikka	Hän työskentelee julkisessa laitoksessa.
单元	yksikkö; oppijakso	Tänään opiskelemme kolmatta kappaletta.
担任	toimia tehtävässä	Hän toimii tämän tapahtuman vastuuhenkilönä.
耽误	viivyttää; tuhlata aikaa	Älä tuhlaa kaikkien aikaa.
胆小鬼	pelkuri	Älä kutsu häntä pelkuriksi.
淡	laimea; mauton	Tämä keitto on vähän mautonta.
当地	paikallinen	Paikalliset pitävät kaikki tästä torista.
当心	olla varovainen	Tie on liukas, ole varovainen.
挡	estää; tukkia	Tämä auto tukkii sisäänkäynnin.
倒霉	epäonninen	Tänään kävi todella huono tuuri: puhelimeni katosi.
导演	ohjaaja; ohjata	Tämä ohjaaja on hyvin kuuluisa.
导致	johtaa johonkin; aiheuttaa	Kova sade aiheutti liikenneruuhkan.
岛屿	saari	Tässä maassa on paljon saaria.
到达	saapua	Juna saapui Shanghaihin ajoissa.
道德	moraali; etiikka	Ihmisellä pitäisi olla moraaliset periaatteet.
道理	järki; peruste	Hänen sanoissaan on paljon järkeä.
登记	rekisteröityä; kirjautua	Ilmoittaudu ensin vastaanotossa.
等待	odottaa	Odotamme tulosta.
等于	olla yhtä kuin	Viisi plus viisi on yhtä kuin kymmenen.
滴	tippa	Vesitippa putosi pöydälle.
敌人	vihollinen	He eivät ole vihollisia.
的确	todellakin; tosiaan	Tämä asia on todellakin hyvin tärkeä.
地道	aito	Hän puhuu aitoa pekingiläistä murretta.
地理	maantiede	Olen hyvin kiinnostunut Kiinan maantieteestä.
地区	alue	Tällä alueella on talvella hyvin kylmä.
地毯	matot; matto	Olohuoneessa on matto.
地位	asema	Koulutuksella on tärkeä asema yhteiskunnassa.
地震	maanjäristys	Täällä tapahtui viime yönä maanjäristys.
递	ojentaa; antaa eteenpäin	Ojenna tämä kirje opettajalle.
点心	välipala; leivonnainen	Iltapäivällä söimme välipalaa.
电池	paristo; akku	Tämä lelu tarvitsee kaksi paristoa.
电台	radioasema	Hän tekee ohjelmaa radioasemalla.
钓	kalastaa	Isoisä käy mielellään joen rannalla kalastamassa.
顶	lakki; huippu	Hänellä on päässään musta hattu.
冻	jäätyä; palella	Ulkona on niin kylmä, että vesi on jäätynyt.
动画片	piirroselokuva; animaatio	Lapset katsovat piirrettyjä.
洞	reikä; luola	Seinässä on pieni reikä.
豆腐	tofu	Tämä tofuruoka on herkullista.
逗	hauskuuttaa; kiusata	Hänen sanansa saivat kaikki nauramaan.
独立	itsenäinen	Hän haluaa elää itsenäisesti.
独特	ainutlaatuinen	Tällä kaupungilla on ainutlaatuinen kulttuuri.
度过	viettää; selviytyä	Vietimme loman meren rannalla.
断	katketa	Tämä köysi katkesi.
堆	kasa; kasata	Pöydällä on kasa asiakirjoja.
兑换	vaihtaa valuuttaa	Haluaisin vaihtaa vähän renminbejä.
对比	verrata; vertailu	Vertaile näitä kahta suunnitelmaa.
对待	kohdella	Meidän pitäisi kohdella kaikkia reilusti.
对方	toinen osapuoli	Kuuntele ensin toisen osapuolen mielipide.
对手	vastustaja	Hänen vastustajansa on hyvin vahva.
对象	kohde; kumppani	Tutkimuksen kohteena ovat yliopisto-opiskelijat.
吨	tonni	Tämä kuorma-auto voi kuljettaa kolme tonnia tavaraa.
蹲	kyykistyä	Hän kyykistyy maassa etsimässä avaimiaan.
顿	ateria; kerta	Söimme yhdessä illallisen.
多亏	jonkun ansiosta	Sain tehtävän valmiiksi sinun apusi ansiosta.
多余	tarpeeton	Tämä lause on tarpeeton.
朵	kukan luokittelusana	Pöydällä on kukka.
躲藏	piiloutua	Pieni kissa piileskelee sängyn alla.
恶劣	huono; ankara	Tänään sää on hyvin huono.
耳环	korvakoru	Hänellä on korvissaan korvakorut.
发表	julkaista; esittää	Hän esitti mielipiteensä kokouksessa.
发愁	huolehtia; murehtia	Älä murehdi näin pientä asiaa.
发达	kehittynyt	Tämän kaupungin liikenne on hyvin kehittynyt.
发抖	vapista; täristä	Hän vapisee kylmästä.
发挥	käyttää; hyödyntää	Käyttäkää mielikuvitustanne.
发明	keksintö; keksiä	Sähkövalo on tärkeä keksintö.
发票	lasku; kuitti	Voisitko kirjoittaa minulle kuitin?
发言	puhua; puheenvuoro	Hän käytti puheenvuoron kokouksessa.
罚款	sakko; sakottaa	Laittomasta pysäköinnistä saa sakon.
法院	tuomioistuin	Tämä tapaus annettiin tuomioistuimen käsiteltäväksi.
翻	kääntää	Käännä kirja sivulle kymmenen.
繁荣	kukoistaa; vauras	Talous alkaa vähitellen kukoistaa.
反而	sen sijaan; päinvastoin	Hän ei suuttunut, vaan nauroi.
反复	toistuvasti	Tätä lausetta pitää harjoitella toistuvasti.
反应	reaktio	Hänen reaktionsa on nopea.
反映	heijastaa; kuvastaa	Tämä raportti kuvastaa todellista tilannetta.
反正	joka tapauksessa	Minulla on joka tapauksessa aikaa huomenna.
范围	laajuus; alue	Älä ylitä tätä rajaa.
方	neliö; neliönmuotoinen	Piirrä paperille neliö.
方案	suunnitelma	Tämä suunnitelma on melko järkevä.
方式	tapa	Tämä opiskelutapa on hyvin tehokas.
妨碍	estää; häiritä	Älä häiritse muiden työtä.
仿佛	ikään kuin; näyttää siltä	Hän näyttää tietävän kaiken.
非	välttämättä; ei-	Tämä asia onnistuu vain sinun avullasi.
肥皂	saippua	Käytä saippuaa käsienpesussa.
废话	turha puhe; hölynpöly	Lopeta turha puhe ja aloita nopeasti.
分别	erota; erikseen	He erosivat toisistaan asemalla.
分布	jakautua	Nämä kaupat ovat eri puolilla kaupunkia.
分配	jakaa; määrätä	Opettaja antoi uuden tehtävän.
分手	erota	He erosivat viime vuonna.
分析	analysoida	Meidän pitää analysoida syyt.
纷纷	yksi toisensa jälkeen	Kaikki ilmaisivat hyväksyntänsä yksi toisensa jälkeen.
奋斗	ponnistella; taistella	Nuorten pitäisi ponnistella unelmiensa eteen.
疯狂	hullu; villisti	Fanit hurrasivat villisti.
风格	tyyli	Tämän ravintolan tyyli on hyvin erityinen.
风景	maisema	Vuorella on kaunis maisema.
风俗	tapa; perinne	Jokaisella paikalla on omat tapansa.
风险	riski	Sijoittamiseen liittyy aina jonkin verran riskiä.
讽刺	satiiri; ivata	Tämä artikkeli ivasi yhteiskunnallisia ongelmia.
否定	kieltää	Hän kiisti tämän väitteen.
否认	kiistää	Hän kiisti tehneensä virheen.
幅	kuvan tai tekstiilin luokittelusana	Seinällä roikkuu maalaus.
扶	tukea; auttaa	Autathan vanhusta ylittämään tien.
服装	vaatetus; vaatteet	Tämä kauppa myy lastenvaatteita.
辅导	ohjata; antaa tukiopetusta	Opettaja antaa oppilaille tukiopetusta tunnin jälkeen.
复制	kopioida	Kopioi tämä asiakirja.
妇女	naiset	Tämä sairaala tarjoaa palveluja naisille.
改革	uudistaa; uudistus	Koulu toteuttaa opetusuudistusta.
改进	parantaa	Meidän pitää parantaa palvelun laatua.
改善	parantaa	Liikunta voi parantaa unta.
改正	korjata	Korjaa virheet ajoissa.
概括	tiivistää	Tiivistä artikkelin sisältö.
概念	käsite	Tätä käsitettä ei ole kovin helppo ymmärtää.
盖	peittää; kansi	Peitä kuppi kunnolla.
干脆	yksinkertaisesti; suoraan	Älä sitten mene tänään ollenkaan.
干燥	kuiva	Pohjoisen talvi on hyvin kuiva.
感激	olla kiitollinen	Olen hyvin kiitollinen avustasi.
感受	tunne; kokemus	Ymmärrän tunteesi.
感想	ajatukset; vaikutelmat	Kerro ajatuksistasi.
赶紧	kiirehtiä	Alkaa olla myöhä, kiirehditään lähtemään.
赶快	nopeasti; heti	Sulje ovi nopeasti.
干活儿	tehdä töitä	Hän tekee töitä pihalla.
钢铁	teräs	Tämä silta on tehty teräksestä.
高档	korkeatasoinen	Tämä on korkeatasoinen hotelli.
高级	edistynyt; korkeatasoinen	Hän osallistui edistyneen kiinan kurssille.
搞	järjestää; tehdä	Millaista tapahtumaa sinä järjestät?
告别	jättää hyvästit	Jätimme ystävälle hyvästit lentokentällä.
格外	erityisen	Taivas on tänään erityisen sininen.
隔壁	naapurissa	Naapurissa asuu opettaja.
个别	yksittäinen	Muutamat yksittäiset oppilaat eivät ole vielä palauttaneet läksyjä.
个人	henkilökohtainen	Tämä on henkilökohtainen näkemykseni.
个性	persoonallisuus	Hänellä on paljon persoonallisuutta.
各自	kukin erikseen	Kaikki tekevät oman tehtävänsä.
根	juuri; pitkän esineen luokittelusana	Pöydän alla on johto.
根本	ollenkaan; perustavanlaatuinen	Tämä ongelma ei ole lainkaan vaikea.
公布	julkaista; ilmoittaa	Koulu julkaisi koetulokset.
公开	julkinen	Tämä kokous on julkinen.
公平	reilu; oikeudenmukainen	Kilpailun pitäisi olla reilu.
公寓	huoneisto	Hän vuokrasi pienen huoneiston.
公元	jälkeen ajanlaskun alun	Nyt on vuosi 2026 jälkeen ajanlaskun alun.
公主	prinsessa	Pieni tyttö pitää prinsessatarinoista.
功能	toiminto	Tässä ohjelmistossa on paljon toimintoja.
工厂	tehdas	Tämä tehdas valmistaa autoja.
工程师	insinööri	Isoveljeni on insinööri.
工具	työkalu	Polkupyörän korjaamiseen tarvitaan työkaluja.
工人	työntekijä	Työntekijät korjaavat tietä.
工业	teollisuus	Tämä kaupunki perustuu pääasiassa teollisuuteen.
恭喜	onnittelut	Onnittelut kokeen läpäisemisestä.
贡献	osallistua; panos	Hän antoi panoksensa yritykselle.
沟通	viestintä; kommunikoida	Hyvä viestintä on hyvin tärkeää.
构成	muodostaa	Nämä osat muodostavat kokonaisuuden.
姑姑	isän sisko	Menen viikonloppuna tapaamaan isäni siskoa.
姑娘	nuori nainen	Tuo nuori nainen on hyvin avulias.
古代	muinaisaika	Muinaisaikana ei ollut matkapuhelimia.
古典	klassinen	Pidän klassisesta musiikista.
股票	osake	Hän osti osakkeita.
骨头	luu	Tämä luu on hyvin kova.
鼓舞	rohkaista; kannustava	Tämä uutinen on hyvin rohkaiseva.
鼓掌	taputtaa	Yleisö taputti näyttelijöille.
固定	kiinteä; säännöllinen	Minulla on säännölliset työajat.
挂号	ilmoittautua vastaanotolle	Ennen lääkärissä käyntiä pitää ilmoittautua vastaanotolle.
乖	tottelevainen; kiltti	Tämä lapsi on hyvin kiltti.
拐弯	kääntyä	Käänny oikealle edessä olevassa risteyksessä.
怪不得	ilmankos	Ilmankos olet näin väsynyt.
关闭	sulkea	Sulje tietokone ennen lähtöä.
官	virkamies	Hän on nuori virkamies.
观察	tarkkailla	Lääkäri tarkkailee potilaan tilaa.
观点	näkökulma	Olen samaa mieltä näkökulmastasi.
观念	ajatus; käsitys	Nuorten käsitykset ovat muuttumassa.
管子	putki	Tämä putki vuotaa.
冠军	mestari	Hän voitti kilpailun mestaruuden.
光滑	sileä	Tämän pöydän pinta on hyvin sileä.
光临	vierailla; tulla paikalle	Tervetuloa käymään uudelleen.
光明	valoisa; kirkas	Tulevaisuus on valoisa.
光盘	CD-levy; levy	Tallenna aineisto levylle.
广场	aukio	Aukiolla on paljon ihmisiä.
广大	laaja; suuri joukko	Tämä uutinen sai suuren opiskelijajoukon suosion.
广泛	laaja; laajasti vaikuttava	Tällä kirjalla on laaja vaikutus.
归纳	tiivistää; vetää yhteen	Opettaja auttoi meitä tiivistämään pääkohdat.
规矩	sääntö; tapa	Lasten pitää ymmärtää säännöt.
规律	säännöllisyys; kaava	Elämässä pitäisi olla säännöllinen rytmi.
规模	mittakaava	Tämän yrityksen mittakaava on suuri.
规则	sääntö	Kilpailun säännöt ovat hyvin selkeät.
柜台	tiski; palvelutiski	Maksa tiskillä.
滚	kiehua	Vesi kiehuu jo.
锅	kattila	Kattilassa on kuumaa keittoa.
国庆节	kansallispäivä	Meillä on vapaapäivä kansallispäivänä.
国王	kuningas	Kuningas asuu palatsissa.
果然	odotetusti	Hän saapui ajoissa, aivan kuten odotettiin.
果实	hedelmä; tulos	Puu on täynnä hedelmiä.
过分	liiallinen	Hänen vaatimuksensa on vähän liiallinen.
过敏	olla allerginen	Olen allerginen siitepölylle.
过期	vanhentua	Tämä maitopullo on jo vanhentunut.
哈	ha; hah	Ha, vihdoin ymmärsin.
海关	tulli	Jonotimme tullitarkastukseen.
海鲜	merenelävät	Tämän ravintolan merenelävät ovat hyvin tuoreita.
喊	huutaa	Älä huuda kovaa luokkahuoneessa.
行业	ala; toimiala	Matkailuala kehittyy nopeasti.
豪华	ylellinen	He yöpyvät ylellisessä hotellissa.
好客	vieraanvarainen	Paikalliset ovat hyvin vieraanvaraisia.
好奇	utelias	Lapset ovat hyvin uteliaita maailmasta.
何必	miksi pitäisi; ei ole tarpeen	Miksi suuttua pienestä asiasta?
何况	saati; puhumattakaan	Tänään on kylmä, ja kaiken lisäksi sataa.
合法	laillinen	Tämä sopimus on laillinen.
合理	järkevä; kohtuullinen	Tämä hinta on kohtuullinen.
合同	sopimus	He allekirjoittivat sopimuksen.
合影	ryhmäkuva	Valmistuessamme otimme ryhmäkuvan.
合作	yhteistyö; tehdä yhteistyötä	Saimme projektin valmiiksi yhteistyöllä.
和平	rauha	Kaikki toivovat rauhaa.
核心	ydin	Luottamus on yhteistyön ydin.
恨	vihata; katua	Hän katuu, ettei ponnistellut aikaisemmin.
猴子	apina	Eläintarhassa on useita apinoita.
后背	selkä	Hänen selkäänsä sattuu vähän.
后果	seuraus	Sinun pitää miettiä seurauksia.
呼吸	hengittää	Vedä syvään henkeä.
忽然	yhtäkkiä	Taivas pimeni yhtäkkiä.
忽视	jättää huomiotta	Älä jätä tätä ongelmaa huomiotta.
壶	kannu; teekannu	Pöydällä on kannullinen teetä.
糊涂	sekava	Olen tänään vähän sekava.
胡说	puhua hölynpölyä	Älä puhu hölynpölyä, tämä ei ole totta.
胡同	hutong; kuja	Pekingissä on paljon vanhoja hutongeja.
蝴蝶	perhonen	Puutarhassa on perhonen.
花生	maapähkinä	Hän pitää maapähkinöiden syömisestä.
华裔	kiinalaistaustainen	Hän on kiinalaistaustainen kirjailija.
滑	liukas	Lattia on liukas, ole varovainen.
划	soutaa	Veneessä hän vastaa soutamisesta.
化学	kemia	Hän opiskeli yliopistossa kemiaa.
话题	aihe	Tämä aihe on hyvin kiinnostava.
怀念	kaivata	Kaipaan yliopistoelämää todella paljon.
怀孕	olla raskaana	Hän on ollut raskaana kolme kuukautta.
缓解	lievittää	Lepo voi lievittää stressiä.
幻想	fantasia; haaveilla	Hän haaveilee usein matkasta avaruuteen.
慌张	joutua paniikkiin	Älä panikoi, kun kohtaat ongelman.
黄金	kulta	Kullan hinta nousi taas.
恢复	toipua; palautua	Hänen kehonsa on toipumassa.
挥	heiluttaa	Hän heilautti kättään.
灰	harmaa	Taivas on harmaa.
灰尘	pöly	Pöydällä on paljon pölyä.
灰心	menettää rohkeutensa	Älä lannistu, vaikka epäonnistuisit.
汇率	vaihtokurssi	Mikä on tämän päivän vaihtokurssi?
婚礼	häät	Heidän häänsä olivat hyvin yksinkertaiset.
婚姻	avioliitto	Avioliitto vaatii keskinäistä ymmärrystä.
活跃	aktiivinen	Hän on hyvin aktiivinen tunnilla.
伙伴	kumppani; toveri	Hän on paras kumppanini.
火柴	tulitikku	Rasiassa on jäljellä vain yksi tulitikku.
或许	ehkä	Ehkä huomenna sataa.
基本	perus-; perustava	Nämä ovat perusvaatimuksia.
机器	kone	Tämä kone on rikki.
激烈	kiivas; intensiivinen	Kilpailu oli hyvin kiivas.
肌肉	lihas	Lihakseni ovat vähän kipeät liikunnan jälkeen.
及格	päästä läpi	Hän pääsi tästä kokeesta läpi.
急忙	kiireesti	Hän juoksi kiireesti ulos luokkahuoneesta.
急诊	päivystys	Potilas vietiin päivystykseen.
极其	äärimmäisen	Tämä kysymys on äärimmäisen tärkeä.
集合	kokoontua	Kokoontukaa sisäänkäynnille kello kahdeksan.
集体	ryhmä; kollektiivinen	Tämä on ryhmätoimintaa.
集中	keskittää; keskittyä	Tunnilla pitää keskittyä.
寂寞	yksinäinen	Yksin asuminen voi joskus tuntua yksinäiseltä.
系领带	sitoa solmio	Hän sitoo solmion joka päivä ennen töihin lähtöä.
纪录	ennätys	Hän rikkoi koulun ennätyksen.
纪律	kuri	Luokkahuoneen kuri on hyvin tärkeää.
纪念	muistaa; juhlistaa	Otimme valokuvia tämän päivän muistoksi.
计算	laskea	Laske kokonaiskulut.
记录	kirjata; tallentaa	Kirjaa kokouksen sisältö.
记忆	muisto	Tämä muisto on hyvin arvokas.
嘉宾	vieras; kunniavieras	Tämän päivän vieraana on kirjailija.
夹子	klipsi; puristin	Pidä asiakirjat kiinni klipsillä.
家庭	perhe	Perhe on lapsille hyvin tärkeä.
家务	kotityöt	Viikonloppuna minun pitää tehdä kotitöitä.
