simplified	LV	example_LV
提高	paaugstināt; uzlabot	Vairāk prakses var uzlabot ķīniešu valodas līmeni.
体育	sports; fiziskā audzināšana	Man patīk sporta stunda.
甜	salds	Šis dzēriens ir pārāk salds.
条	skaitītājvārds gariem priekšmetiem; gabals	Es nopirku svārkus.
同事	kolēģis	Mans kolēģis ir ļoti aizņemts.
同意	piekrist	Es piekrītu tavam lēmumam.
头发	mati	Viņas mati ir gari.
突然	pēkšņs; pēkšņi	Viņš pēkšņi aizgāja.
图书馆	bibliotēka	Bibliotēka šodien nav atvērta.
腿	kāja	Pēc kāpšanas kalnā man sāp kājas.
完成	pabeigt	Es jau pabeidzu mājasdarbus.
碗	bļoda	Uz galda ir divas bļodas.
万	desmit tūkstoši; daudz	Šajā pilsētā ir desmit tūkstoši cilvēku.
忘记	aizmirst	Neaizmirsti paņemt pasi.
为	par; dēļ	Es priecājos par tevi.
为了	lai; dēļ	Eksāmena dēļ viņš katru dienu atkārto vielu.
位	pieklājīgs skaitītājvārds cilvēkiem	Šis skolotājs ir ļoti slavens.
文化	kultūra	Es gribu saprast ķīniešu kultūru.
西	rietumi	Banka ir uz rietumiem no skolas.
习惯	ieradums; pierast	Es esmu pieradis vingrot no rīta.
洗手间	tualete	Tualete ir pa labi.
洗澡	mazgāties; iet dušā	Vakarā es eju dušā.
夏	vasara	Vasara ir ļoti karsta.
先	vispirms; pirms	Tu ēd vispirms.
相信	ticēt	Es ticu, ka viņš atnāks.
香蕉	banāns	Es nopirku trīs banānus.
像	līdzināties; būt kā	Šis mākonis līdzinās putnam.
向	uz; virziens	Lūdzu, ejiet pa kreisi.
小心	uzmanīgs; piesargāties	Līst; esi uzmanīgs ceļā.
校长	skolas direktors	Skolas direktors ir birojā.
新闻	ziņas	Tētis katru dienu skatās ziņas.
新鲜	svaigs	Šie augļi ir ļoti svaigi.
信用卡	kredītkarte	Vai es varu maksāt ar kredītkarti?
行李箱	čemodāns	Mans čemodāns ir smags.
熊猫	panda	Bērniem patīk skatīties pandas.
需要	vajadzēt; būt nepieciešamam	Man vajadzīga tava palīdzība.
选择	izvēlēties; izvēle	Kuru kreklu tu izvēlies?
要求	prasīt; pieprasīt	Skolotājs prasa, lai mēs rūpīgi pildītu mājasdarbus.
爷爷	vectēvs no tēva puses; vectēvs	Vectēvs katru dienu iet uz parku.
一直	visu laiku; nepārtraukti	Viņš jau ilgi tevi gaida.
一定	noteikti; obligāti	Es noteikti atnākšu.
一共	kopā	Cik kopā maksā šīs grāmatas?
一会儿	mazliet laika; brīdis	Lūdzu, pagaidi mani mazliet.
一样	tāds pats; vienāds	Šīs divas krūzes ir vienāda lieluma.
以前	agrāk	Agrāk es dzīvoju Pekinā.
一般	parasts; vidējs	Ēdiens šajā restorānā ir vidējs.
一边	viena puse; kamēr	Viņš klausās mūziku, kamēr pilda mājasdarbus.
音乐	mūzika	Man patīk ķīniešu mūzika.
银行	banka	Banka ir blakus lielajam veikalam.
饮料	dzēriens	Šis dzēriens garšo labi.
应该	vajadzētu; vajadzēt	Tev vajadzētu vairāk atpūsties.
影响	ietekme; ietekmēt	Laikapstākļi ietekmēs spēli.
用	lietot; izmantot	Mājasdarbiem es izmantoju datoru.
游戏	spēle	Bērni spēlējas.
有名	slavens	Šis restorāns ir ļoti slavens.
又	atkal	Viņš šodien atkal nokavēja.
遇到	satikt; sastapt	Uz ielas es satiku skolotāju.
元	juaņa; naudas vienība	Šī vārdnīca maksā piecdesmit juaņas.
愿意	gribēt; būt gatavam	Vai tu esi gatavs piedalīties?
月亮	mēness	Šovakar mēness ir spožs.
越	jo vairāk... jo vairāk...	Jo vairāk mācos ķīniešu valodu, jo interesantāk kļūst.
站	stacija; stāvēt	Viņš stāv pie durvīm.
张	skaitītājvārds plakaniem priekšmetiem; lapa	Lūdzu, iedodiet man karti.
长	augt	Bērni ātri aug.
着急	uztraukties; nervozēt	Neuztraucies, lifts drīz atbrauks.
照顾	rūpēties	Viņa rūpējas par slimo vecmāmiņu.
照片	fotogrāfija	Šī fotogrāfija ir skaista.
照相机	fotoaparāts	Es izmantoju fotoaparātu fotografēšanai.
283:只	tikai	Es dzeru tikai vienu krūzi tējas.
284:只	skaitītājvārds dzīvniekiem	Zem galda ir kaķis.
只有…才…	tikai ja... tad...	Tikai tad, ja rūpīgi atkārtosi vielu, labi nokārtosi pārbaudījumu.
中间	vidus; starp	Galds ir istabas vidū.
中文	ķīniešu valoda; ķīniešu rakstība	Es katru dienu mācos ķīniešu valodu.
终于	beidzot	Mēs beidzot ieradāmies.
种	veids; tips	Kāds dzēriena veids tev patīk?
重要	svarīgs	Pase ir ļoti svarīga.
周末	nedēļas nogale	Nedēļas nogalē gribu iet uz parku.
主要	galvenais	Viņa galvenais vaļasprieks ir mūzika.
注意	pievērst uzmanību; piesargāties	Lūdzu, pievērsiet uzmanību skolotājam.
自己	pats; sevi	Es gribu pats izpildīt mājasdarbus.
自行车	velosipēds	Mans velosipēds ir lejā.
总是	vienmēr	Viņš vienmēr agri ierodas birojā.
嘴	mute	Lūdzu, atveriet muti.
最后	pēdējais; beigās	Beigās mēs visi piekritām.
最近	nesen; pēdējā laikā	Pēdējā laikā esmu aizņemts.
作业	mājasdarbi; uzdevums	Es vēl neesmu pabeidzis mājasdarbus.
