simplified	ID	example_ID
粗糙	kasar	Kertas ini sangat kasar.
促进	mendorong; meningkatkan	Olahraga dapat meningkatkan kesehatan.
促使	mendorong	Hal ini mendorongnya mengubah rencana.
醋	cuka	Cuka ditambahkan ke dalam masakan.
催	mendesak	Ibu mendesak saya cepat keluar.
存在	ada; eksis	Masalah ini masih ada.
措施	langkah; tindakan	Sekolah mengambil tindakan keamanan.
答应	setuju; berjanji	Dia setuju membantu saya.
达到	mencapai	Nilainya mencapai standar.
打工	bekerja paruh waktu	Saat liburan musim panas, dia bekerja paruh waktu di restoran.
打交道	berurusan; berhubungan	Saya sering berurusan dengan klien.
打喷嚏	bersin	Dia masuk angin dan terus bersin.
打听	menanyakan; mencari tahu	Saya ingin menanyakan tiket kereta.
大方	dermawan; murah hati	Dia sangat murah hati soal uang.
大厦	gedung besar	Gedung besar itu sangat tinggi.
大象	gajah	Anak-anak sedang melihat gajah di kebun binatang.
大型	berskala besar	Di sini akan dibangun pusat perbelanjaan besar.
呆	tinggal; bengong	Dia tinggal di rumah membaca buku.
代表	mewakili; wakil	Bunga ini melambangkan persahabatan.
代替	menggantikan	Hari ini saya akan menghadiri rapat menggantikannya.
待遇	perlakuan; tunjangan	Tunjangan di perusahaan ini bagus.
贷款	pinjaman	Mereka mengajukan pinjaman rumah.
单纯	sederhana; murni	Pikirannya sangat sederhana.
单调	monoton	Pekerjaan ini agak monoton.
单独	sendiri	Saya ingin berbicara denganmu sendiri.
单位	unit; instansi	Dia bekerja di instansi pemerintah.
单元	unit	Hari ini kami mempelajari Unit Tiga.
担任	menjabat; bertugas sebagai	Dia bertugas sebagai penanggung jawab acara ini.
耽误	menunda; membuang waktu	Jangan membuang waktu semua orang.
胆小鬼	penakut	Jangan menyebut dia penakut.
淡	hambar	Sup ini agak hambar.
当地	setempat	Orang setempat semua menyukai pasar ini.
当心	hati-hati	Jalannya licin, jadi hati-hati.
挡	menghalangi	Mobil ini menghalangi pintu masuk.
倒霉	sial	Hari ini benar-benar sial; ponsel saya hilang.
导演	sutradara	Sutradara ini sangat terkenal.
导致	menyebabkan	Hujan lebat menyebabkan kemacetan lalu lintas.
岛屿	pulau	Negara ini memiliki banyak pulau.
到达	tiba	Kereta tiba di Shanghai tepat waktu.
道德	moral	Seseorang harus memiliki prinsip moral.
道理	alasan; masuk akal	Apa yang dia katakan sangat masuk akal.
登记	mendaftar	Tolong daftar di meja depan terlebih dahulu.
等待	menunggu	Kami sedang menunggu hasilnya.
等于	sama dengan	Lima ditambah lima sama dengan sepuluh.
滴	setetes; menetes	Setetes air jatuh ke atas meja.
敌人	musuh	Mereka bukan musuh.
的确	memang	Hal ini memang sangat penting.
地道	asli; autentik	Dia berbicara dialek Beijing yang autentik.
地理	geografi	Saya sangat tertarik pada geografi Tiongkok.
地区	wilayah	Wilayah ini sangat dingin pada musim dingin.
地毯	karpet	Ada karpet di ruang tamu.
地位	kedudukan; status	Pendidikan memiliki kedudukan penting dalam masyarakat.
地震	gempa bumi	Tadi malam terjadi gempa bumi di sini.
递	menyerahkan; memberikan	Tolong berikan surat ini kepada guru.
点心	camilan; kudapan	Kami makan camilan pada sore hari.
电池	baterai	Mainan ini membutuhkan dua baterai.
电台	stasiun radio	Dia membawakan acara di stasiun radio.
钓	memancing	Kakek suka pergi memancing di tepi sungai.
顶	buah; puncak	Dia memakai sebuah topi hitam.
冻	membeku; kedinginan	Di luar sangat dingin sampai air membeku.
动画片	kartun; animasi	Anak-anak sedang menonton kartun.
洞	lubang	Ada lubang kecil di dinding.
豆腐	tahu	Masakan tahu ini enak.
逗	menggoda; membuat tertawa	Kata-katanya membuat semua orang tertawa.
独立	mandiri; independen	Dia ingin hidup mandiri.
独特	unik	Kota ini memiliki budaya yang unik.
度过	melewati; menghabiskan	Kami menghabiskan liburan di tepi laut.
断	putus; patah	Tali ini putus.
堆	tumpukan; menumpuk	Banyak dokumen menumpuk di atas meja.
兑换	menukar	Saya ingin menukar sedikit renminbi.
对比	membandingkan; perbandingan	Tolong bandingkan dua rencana ini.
对待	memperlakukan	Kita harus memperlakukan semua orang dengan adil.
对方	pihak lain	Tolong dengarkan pendapat pihak lain dulu.
对手	lawan	Lawannya sangat kuat.
对象	objek; sasaran	Subjek penelitian ini adalah mahasiswa.
吨	ton	Truk ini dapat mengangkut tiga ton barang.
蹲	jongkok	Dia berjongkok di tanah mencari kuncinya.
顿	kali; hidangan	Kami makan malam bersama.
多亏	berkat; untungnya	Berkat bantuanmu, saya menyelesaikan tugas itu.
多余	berlebihan; tidak perlu	Kalimat ini tidak perlu.
朵	kuntum	Ada sekuntum bunga di atas meja.
躲藏	bersembunyi	Anak kucing itu bersembunyi di bawah tempat tidur.
恶劣	buruk sekali	Cuaca hari ini sangat buruk.
耳环	anting-anting	Dia memakai sepasang anting-anting.
发表	menyampaikan; menerbitkan	Dia menyampaikan pendapatnya dalam rapat.
发愁	khawatir; cemas	Jangan khawatir tentang masalah kecil ini.
发达	maju	Transportasi di kota ini sangat maju.
发抖	gemetar	Dia gemetar karena kedinginan.
发挥	menggunakan; mengembangkan	Tolong gunakan imajinasimu.
发明	penemuan; menciptakan	Lampu listrik adalah penemuan penting.
发票	faktur; kuitansi	Tolong buatkan faktur untuk saya.
发言	berbicara; menyampaikan pendapat	Dia berbicara dalam rapat.
罚款	denda	Parkir ilegal akan dikenai denda.
法院	pengadilan	Perkara ini diserahkan ke pengadilan.
翻	membalik	Tolong buka buku ke halaman sepuluh.
繁荣	makmur; berkembang	Ekonomi secara bertahap menjadi makmur.
反而	sebaliknya	Dia tidak marah; sebaliknya, dia tertawa.
反复	berulang-ulang	Kalimat ini perlu dilatih berulang-ulang.
反应	reaksi; bereaksi	Reaksinya cepat.
反映	mencerminkan	Laporan ini mencerminkan keadaan sebenarnya.
反正	bagaimanapun juga	Bagaimanapun juga, besok saya punya waktu.
范围	lingkup; batas	Tolong jangan melampaui lingkup ini.
方	persegi	Tolong gambar sebuah persegi di atas kertas.
方案	rencana; rancangan	Rencana ini cukup masuk akal.
方式	cara	Cara belajar ini sangat efektif.
妨碍	mengganggu; menghalangi	Tolong jangan mengganggu pekerjaan orang lain.
仿佛	seolah-olah	Dia seolah-olah tahu segalanya.
非	tidak; harus	Hal ini tidak bisa dilakukan tanpa kamu.
肥皂	sabun	Gunakan sabun saat mencuci tangan.
废话	omong kosong	Jangan banyak omong kosong, cepat mulai.
分别	berpisah; membedakan	Mereka berpisah di stasiun.
分布	tersebar	Toko-toko ini tersebar di seluruh kota.
分配	membagikan; menugaskan	Guru memberikan tugas baru.
分手	putus; berpisah	Mereka putus tahun lalu.
分析	menganalisis	Kita perlu menganalisis alasannya.
纷纷	satu demi satu	Semua orang satu demi satu menyatakan setuju.
奋斗	berjuang	Anak muda harus berjuang demi impian mereka.
疯狂	gila; liar	Para penggemar bersorak dengan liar.
风格	gaya	Gaya restoran ini sangat khas.
风景	pemandangan	Pemandangan di gunung sangat indah.
风俗	adat istiadat	Setiap tempat memiliki adat istiadat sendiri.
风险	risiko	Investasi mengandung risiko tertentu.
讽刺	menyindir; satir	Artikel ini menyindir masalah sosial.
否定	menyangkal; meniadakan	Dia menyangkal pernyataan ini.
否认	menyangkal	Dia menyangkal bahwa dia telah melakukan kesalahan.
幅	lembar; bidang	Ada sebuah lukisan tergantung di dinding.
扶	membantu; menopang	Tolong bantu orang tua menyeberang jalan.
服装	pakaian	Toko ini menjual pakaian anak-anak.
辅导	membimbing; memberi les	Guru membimbing siswa setelah kelas.
复制	menyalin	Tolong salin dokumen ini.
妇女	perempuan	Rumah sakit ini menyediakan layanan untuk perempuan.
改革	reformasi; mereformasi	Sekolah sedang menjalankan reformasi pengajaran.
改进	memperbaiki; meningkatkan	Kita perlu meningkatkan kualitas layanan.
改善	memperbaiki; meningkatkan	Olahraga dapat memperbaiki tidur.
改正	memperbaiki; mengoreksi	Tolong segera perbaiki kesalahan.
概括	meringkas	Tolong ringkas isi artikel.
概念	konsep	Konsep ini tidak mudah dipahami.
盖	menutup; tutup	Tolong tutup cangkir itu dengan baik.
干脆	sekalian; terus terang	Sebaiknya kamu tidak pergi hari ini.
干燥	kering	Musim dingin di utara sangat kering.
感激	berterima kasih; bersyukur	Saya sangat berterima kasih atas bantuanmu.
感受	perasaan; merasakan	Saya bisa memahami perasaanmu.
感想	kesan; pemikiran	Tolong bicarakan kesanmu.
赶紧	segera; cepat	Sudah larut, cepatlah pergi.
赶快	cepat-cepat	Cepat tutup pintunya.
干活儿	bekerja	Dia sedang bekerja di halaman.
钢铁	baja	Jembatan ini terbuat dari baja.
高档	kelas atas; bermutu tinggi	Ini adalah hotel kelas atas.
高级	tingkat tinggi; lanjutan	Dia mengikuti kelas bahasa Mandarin lanjutan.
搞	mengadakan; melakukan	Kegiatan seperti apa yang sedang kamu adakan?
告别	berpamitan; mengucapkan selamat tinggal	Kami berpamitan kepada teman di bandara.
格外	terutama; sangat	Langit hari ini sangat biru.
隔壁	sebelah	Ada seorang guru tinggal di sebelah.
个别	beberapa; individual	Beberapa siswa belum menyerahkan PR.
个人	pribadi; individu	Ini adalah pandangan pribadi saya.
个性	kepribadian	Dia memiliki kepribadian yang kuat.
各自	masing-masing	Semua orang menyelesaikan tugas masing-masing.
根	akar; batang	Ada seutas kabel di bawah meja.
根本	sama sekali; mendasar	Masalah ini sama sekali tidak sulit.
公布	mengumumkan	Sekolah mengumumkan hasil ujian.
公开	terbuka; publik	Rapat ini terbuka untuk umum.
公平	adil	Kompetisi harus adil.
公寓	apartemen	Dia menyewa apartemen kecil.
公元	Masehi	Tahun ini adalah 2026 Masehi.
公主	putri	Gadis kecil itu suka cerita putri.
功能	fungsi	Perangkat lunak ini memiliki banyak fungsi.
工厂	pabrik	Pabrik ini memproduksi mobil.
工程师	insinyur	Kakak laki-laki saya adalah insinyur.
工具	alat	Memperbaiki sepeda membutuhkan alat.
工人	pekerja	Para pekerja sedang memperbaiki jalan.
工业	industri	Kota ini terutama bergantung pada industri.
恭喜	selamat	Selamat karena lulus ujian.
贡献	kontribusi; berkontribusi	Dia memberikan kontribusi kepada perusahaan.
沟通	berkomunikasi	Komunikasi yang baik sangat penting.
构成	membentuk	Bagian-bagian ini membentuk satu kesatuan.
姑姑	bibi dari pihak ayah	Akhir pekan ini saya akan mengunjungi bibi.
姑娘	gadis; perempuan muda	Gadis itu sangat baik hati.
古代	zaman kuno	Pada zaman kuno tidak ada ponsel.
古典	klasik	Saya suka musik klasik.
股票	saham	Dia membeli beberapa saham.
骨头	tulang	Tulang ini sangat keras.
鼓舞	mendorong semangat	Berita ini sangat menggugah semangat.
鼓掌	bertepuk tangan	Penonton bertepuk tangan untuk para aktor.
固定	tetap	Saya memiliki jam kerja tetap.
挂号	mendaftar di rumah sakit	Anda perlu mendaftar sebelum bertemu dokter.
乖	penurut; baik	Anak ini sangat penurut.
拐弯	berbelok	Belok kanan di persimpangan depan.
怪不得	pantas saja	Pantas saja kamu begitu lelah.
关闭	menutup; mematikan	Tolong matikan komputer sebelum pergi.
官	pejabat	Dia adalah pejabat muda.
观察	mengamati	Dokter sedang mengamati kondisi pasien.
观点	pandangan	Saya setuju dengan pandanganmu.
观念	gagasan; konsep	Gagasan anak muda sedang berubah.
管子	pipa	Pipa ini bocor.
冠军	juara	Dia menjadi juara dalam kompetisi.
光滑	halus; licin	Permukaan meja ini sangat halus.
光临	berkunjung; datang dengan hormat	Kami menyambut Anda untuk berkunjung lagi lain kali.
光明	cerah; terang	Masa depan itu cerah.
光盘	cakram; CD	Tolong simpan bahan-bahan itu ke dalam cakram.
广场	alun-alun; lapangan	Ada banyak orang di alun-alun.
广大	luas; banyak	Berita ini disambut oleh banyak siswa.
广泛	luas	Buku ini memiliki pengaruh yang luas.
归纳	merangkum; menyimpulkan	Guru membantu kami merangkum poin-poin penting.
规矩	aturan; tata tertib	Anak-anak harus memahami aturan.
规律	pola; keteraturan	Hidup sebaiknya memiliki ritme yang teratur.
规模	skala	Skala perusahaan ini besar.
规则	aturan	Aturan kompetisi sangat jelas.
柜台	loket; konter	Tolong bayar di konter.
滚	mendidih; berguling	Air sudah mendidih.
锅	panci; wajan	Ada sup panas di dalam panci.
国庆节	Hari Nasional	Pada Hari Nasional kami libur.
国王	raja	Raja tinggal di istana.
果然	ternyata; seperti dugaan	Ternyata dia tiba tepat waktu.
果实	buah; hasil	Pohon itu penuh buah.
过分	berlebihan	Permintaannya agak berlebihan.
过敏	alergi	Saya alergi terhadap serbuk sari.
过期	kedaluwarsa	Botol susu ini sudah kedaluwarsa.
哈	ha; tawa	Ha, akhirnya saya mengerti.
海关	bea cukai	Kami mengantre untuk pemeriksaan di bea cukai.
海鲜	makanan laut	Makanan laut di restoran ini sangat segar.
喊	berteriak	Jangan berteriak keras di kelas.
行业	industri	Industri pariwisata berkembang cepat.
豪华	mewah	Mereka menginap di hotel mewah.
好客	ramah tamah; suka menerima tamu	Orang setempat sangat ramah tamah.
好奇	penasaran	Anak-anak sangat penasaran terhadap dunia.
何必	untuk apa; tidak perlu	Untuk apa marah karena masalah kecil?
何况	apalagi	Hari ini dingin, apalagi sedang hujan.
合法	sah; legal	Kontrak ini sah.
合理	masuk akal; wajar	Harga ini wajar.
合同	kontrak	Mereka menandatangani kontrak.
合影	foto bersama	Kami berfoto bersama saat kelulusan.
合作	kerja sama; bekerja sama	Kami menyelesaikan proyek melalui kerja sama.
和平	perdamaian	Semua orang berharap akan perdamaian.
核心	inti	Kepercayaan adalah inti kerja sama.
恨	menyesal; membenci	Dia menyesal tidak belajar keras lebih awal.
猴子	monyet	Ada beberapa monyet di kebun binatang.
后背	punggung	Punggungnya agak sakit.
后果	akibat	Kamu perlu mempertimbangkan akibatnya.
呼吸	bernapas	Tolong tarik napas dalam-dalam.
忽然	tiba-tiba	Langit tiba-tiba menjadi gelap.
忽视	mengabaikan	Jangan mengabaikan masalah ini.
壶	teko	Ada seteko teh di atas meja.
糊涂	bingung	Hari ini saya agak bingung.
胡说	omong kosong	Jangan bicara omong kosong; ini tidak benar.
胡同	gang; lorong	Beijing memiliki banyak gang tua.
蝴蝶	kupu-kupu	Ada kupu-kupu di taman.
花生	kacang tanah	Dia suka makan kacang tanah.
华裔	keturunan Tionghoa	Dia adalah penulis keturunan Tionghoa.
滑	licin	Lantai licin, jadi hati-hati.
划	mendayung	Saat naik perahu, dia bertanggung jawab mendayung.
化学	kimia	Dia belajar kimia di universitas.
话题	topik	Topik ini sangat menarik.
怀念	merindukan; mengenang	Saya sangat merindukan kehidupan universitas.
怀孕	hamil	Dia hamil tiga bulan.
缓解	meredakan	Istirahat dapat meredakan stres.
幻想	berfantasi	Dia sering berfantasi bepergian ke luar angkasa.
慌张	panik	Jangan panik saat menghadapi masalah.
黄金	emas	Harga emas naik lagi.
恢复	pulih	Tubuhnya sedang pulih.
挥	melambaikan	Dia melambaikan tangannya.
灰	abu-abu	Langit berwarna abu-abu.
灰尘	debu	Ada banyak debu di atas meja.
灰心	putus asa	Jangan putus asa meskipun gagal.
汇率	kurs; nilai tukar	Berapa kurs hari ini?
婚礼	pernikahan; upacara pernikahan	Pernikahan mereka sangat sederhana.
婚姻	pernikahan	Pernikahan membutuhkan saling pengertian.
活跃	aktif	Dia sangat aktif di kelas.
伙伴	mitra; teman	Dia adalah mitra terbaik saya.
火柴	korek api	Hanya tersisa satu batang korek api di kotak.
或许	mungkin	Mungkin besok akan hujan.
基本	dasar; pokok	Ini adalah persyaratan dasar.
机器	mesin	Mesin ini rusak.
激烈	sengit; intens	Kompetisi itu sangat sengit.
肌肉	otot	Otot saya agak pegal setelah berolahraga.
及格	lulus ujian	Dia lulus ujian ini.
急忙	buru-buru	Dia buru-buru berlari keluar dari kelas.
急诊	unit gawat darurat	Pasien itu dibawa ke unit gawat darurat.
极其	sangat	Isu ini sangat penting.
集合	berkumpul	Tolong berkumpul di pintu masuk pukul delapan.
集体	kelompok; kolektif	Ini adalah kegiatan kelompok.
集中	berkonsentrasi	Kamu harus berkonsentrasi di kelas.
寂寞	kesepian	Hidup sendiri kadang-kadang bisa membuat kesepian.
系领带	mengikat dasi	Sebelum bekerja, dia mengikat dasi setiap hari.
纪录	rekor	Dia memecahkan rekor sekolah.
纪律	disiplin	Disiplin kelas sangat penting.
纪念	memperingati; mengenang	Kami mengambil foto untuk memperingati hari ini.
计算	menghitung	Tolong hitung biaya totalnya.
记录	mencatat; catatan	Tolong catat isi rapat.
记忆	ingatan	Ingatan ini sangat berharga.
嘉宾	tamu kehormatan	Tamu kehormatan hari ini adalah seorang penulis.
夹子	klip; penjepit	Tolong jepit dokumen dengan klip.
家庭	keluarga	Keluarga sangat penting bagi anak-anak.
家务	pekerjaan rumah tangga	Saya perlu mengerjakan pekerjaan rumah tangga pada akhir pekan.
家乡	kampung halaman	Saya sangat merindukan kampung halaman.
假如	jika	Jika besok hujan, kami tidak akan pergi.
假设	seandainya; asumsi	Seandainya kamu adalah guru, apa yang akan kamu lakukan?
假装	berpura-pura	Dia berpura-pura tidak mendengar.
甲	pihak A	Pihak A perlu membayar tepat waktu.
价值	nilai	Buku ini sangat bernilai.
嫁	menikah	Dia akan menikah dengan pacarnya tahun depan.
驾驶	mengemudi	Mengemudilah dengan hati-hati saat membawa mobil.
兼职	pekerjaan paruh waktu	Dia bekerja paruh waktu pada malam hari.
坚决	tegas	Dia dengan tegas tidak setuju dengan keputusan ini.
坚强	kuat	Dia orang yang kuat.
肩膀	bahu	Bahunya terluka.
艰巨	berat; sulit	Ini tugas yang berat.
艰苦	sulit; keras	Mereka mengalami kehidupan yang sulit.
剪刀	gunting	Tolong berikan gunting kepada saya.
捡	memungut	Dia memungut dompet dari tanah.
简历	riwayat hidup; CV	Siapkan CV sebelum melamar pekerjaan.
简直	benar-benar	Berita ini benar-benar mengejutkan.
健身	berolahraga; kebugaran	Dia pergi berolahraga tiga kali seminggu.
建立	mendirikan; membangun	Kami membangun hubungan baru.
建设	pembangunan	Pembangunan kota berkembang cepat.
建筑	bangunan	Bangunan ini memiliki ciri khas.
键盘	papan ketik	Papan ketik saya perlu dibersihkan.
讲究	memperhatikan dengan saksama; mementingkan	Orang Tionghoa sangat memperhatikan makanan.
