source_headword	ZH	example_ZH
nutrition	营养	良好的营养支持健康。
obesity	肥胖	肥胖增加了健康风险。
observer	观察员	观察员记录了结果。
obstacle	障碍	倒下的树是一个障碍。
occupation	职业	请在这里写下你的职业。
occupy	占据	这家人将占据这套公寓。
offender	罪犯	罪犯在法庭上道了歉。
ongoing	正在进行的	调查正在进行中。
openly	公开地	她公开地谈论了她的恐惧。
opera	歌剧	我们在米兰看了一场歌剧。
operator	接线员	接线员接通了电话。
optimistic	乐观的	她对未来感到乐观。
orchestra	管弦乐队	管弦乐队轻柔地演奏着。
organic	有机的	他们买了有机蔬菜。
outfit	全套服装	她的服装很适合这个场合。
output	产量	机器的产量增加了。
outstanding	杰出的	他的表现很杰出。
overcome	克服	他们一起克服了问题。
overnight	在夜间	包裹在夜间到达了。
overseas	在海外	他在海外找到了工作。
ownership	所有权	土地的所有权改变了。
oxygen	氧气	植物产生氧气。
packet	小包	小心打开这个小包。
palm	手掌	把硬币握在手掌里。
panic	恐慌	恐慌在人群中蔓延。
parade	游行	游行在中午开始。
parallel	平行的	这些道路是平行的。
participation	参与	课堂参与度提高了。
partnership	合作关系	这种合作关系帮助了两家公司。
part-time	兼职的	她找到了一份兼职工作。
passionate	热情的	他对音乐很热情。
password	密码	选择一个强密码。
patience	耐心	教幼儿需要耐心。
pause	暂停	现在暂停视频。
peer	同龄人	同龄人的压力影响了他的选择。
penalty	惩罚	这名球员受到了惩罚。
perceive	察觉	人们对风险的察觉是不同的。
perception	认知	他对危险的认知改变了。
permanently	永久地	这家商店永久关闭了。
pill	药丸	早饭后吃一颗药丸。
pity	遗憾	真遗憾。
placement	放置	沙发的放置很重要。
portion	一份	盛一小份米饭。
potentially	潜在地	这一变化潜在地很有用。
precede	在...之前	乌云通常在下雨之前出现。
precious	珍贵的	这枚戒指很珍贵。
precise	精确的	这些指示很精确。
precisely	精确地	精确测量距离。
predictable	可预测的	结局是可预测的。
preference	偏好	她表达了对茶的偏好。
pride	骄傲	完成后他感到了骄傲。
primarily	主要地	这门课程主要在网上进行。
principal	校长	校长迎接了新学生。
prior	事先的	我们需要事先的批准。
probability	概率	下雨的概率很高。
probable	可能的	今晚可能会下雨。
proceed	前进	请前进到下一个房间。
programming	编程	编程需要练习。
progressive	进步的	这项政策在当时是进步的。
prohibit	禁止	规则禁止吸烟。
promising	有前途的	结果看起来很有前途。
promotion	晋升	她在工作中获得了晋升。
prompt	迅速的	迅速的回复节省了时间。
proportion	比例	很大比例的人投了赞成票。
protein	蛋白质	豆类含有蛋白质。
protester	抗议者	抗议者举着一个牌子。
psychological	心理的	事故引起了心理压力。
publicity	宣传	这次活动得到了宣传。
publishing	出版业	她在出版业工作。
punk	朋克	朋克音乐在那里变得很流行。
purely	纯粹地	这个选择纯粹是出于实际考虑。
pursuit	追求	他继续着对正义的追求。
puzzle	拼图	拼图花了一个小时。
questionnaire	问卷	请完成这份问卷。
racial	种族的	报告讨论了种族不平等。
racism	种族主义	种族主义伤害了社区。
racist	种族主义的	这一评论是种族主义的。
radiation	辐射	辐射会破坏细胞。
rail	扶手	在楼梯上要抓住扶手。
random	随机的	电脑选择了一个随机数。
rat	老鼠	一只老鼠从垃圾桶后面跑过。
rating	评级	这家酒店的评级很高。
reasonably	相当地	房间相当干净。
rebuild	重建	他们将重建这座桥。
receiver	接球手	接球手接住了球。
recession	衰退	经济衰退减少了支出。
reckon	认为	我认为火车晚点了。
recognition	认可	她因自己的工作获得了认可。
recovery	恢复	恢复花了几个星期。
recruit	招募	公司将招募工程师。
recruitment	招聘	招聘下周一开始。
referee	裁判	裁判停止了比赛。
refugee	难民	难民找到了一个安全的家。
registration	注册	注册在周五关闭。
regulate	监管	法律将监管排放。
reinforce	加固	额外的横梁加固了屋顶。
relieve	缓解	药物可以缓解疼痛。
relieved	感到宽慰的	打完电话后她感到很宽慰。
remarkable	显著的	恢复得非常显著。
remarkably	非常地	他恢复得非常快。
reporting	报道	准确的报道很重要。
resign	辞职	经理明天将辞职。
resolution	分辨率	这个屏幕有很高的分辨率。
restore	修复	工人们修复了这幅古老的画。
restrict	限制	规定限制停车。
restriction	限制	限制明天结束。
retail	零售	零售额增加了。
retirement	退休	她仔细规划了她的退休生活。
revenue	收入	门票收入支付了维修费用。
revision	复习	考前复习很有帮助。
ridiculous	荒谬的	这个价格很荒谬。
risky	冒险的	这个计划似乎很冒险。
rival	竞争对手	我们的竞争对手开了一家新店。
rob	抢劫	那些人试图抢劫银行。
robbery	抢劫案	抢劫案发生在晚上。
rocket	火箭	火箭发射成功。
romance	爱情故事	这部小说包含一个爱情故事。
rose	玫瑰	栅栏边长着一朵红玫瑰。
roughly	大约	大约有二十人参加。
ruin	毁坏	下雨可能会毁了野餐。
satisfaction	满意度	客户满意度提高了。
scandal	丑闻	丑闻损害了他的事业。
scare	惊吓	巨大的噪音吓了我一跳。
scenario	设想	最坏的设想是不太可能发生的。
scholar	学者	这位学者研究了古代文献。
scholarship	奖学金	她得了一项奖学金。
scratch	抓痕	猫留下了一道抓痕。
screening	筛查	医院提供癌症筛查。
seeker	寻找者	求职者发送了申请。
seminar	研讨会	研讨会九点开始。
settler	定居者	定居者建了一个小农场。
severely	严重地	暴风雨严重破坏了道路。
sexy	性感的	这件裙子被认为是性感的。
shocking	令人震惊的	这个消息令人震惊。
shore	海岸	我们沿着海岸散步。
shortage	短缺	这个城市面临水资源短缺。
shortly	不久	公交车在中午过后不久就到了。
short-term	短期的	该计划有短期的好处。
sibling	兄弟姐妹	每个兄弟姐妹都收到了一份礼物。
signature	签名	请加上你的签名。
significance	意义	这一发现具有重大意义。
skilled	熟练的	熟练的工人修理了屋顶。
slogan	口号	这个运动使用了一个简单的口号。
so-called	所谓的	所谓的专家犯了错误。
somehow	不知怎么地	不知怎么地，钥匙不见了。
sometime	某时	下周某时来拜访我们吧。
sophisticated	复杂的	这个软件很复杂。
spare	备用的	我们留了一把备用钥匙。
specialize	专攻	医生专攻不同的领域。
specify	具体说明	请具体说明你的到达时间。
spectacular	壮观的	烟火很壮观。
spectator	观众	每位观众都收到了一份节目单。
speculate	推测	专家们推测了原因。
speculation	猜测	这篇文章鼓励了猜测。
spice	香料	一次加一种香料。
spill	洒出	不要把果汁洒出来。
spite	怨恨	尽管有问题，他还是成功了。
spoil	毁坏	太多盐会毁了这锅汤。
spokesman	发言人	发言人回答了问题。
spokesperson	发言人	发言人宣读了一份声明。
spokeswoman	女发言人	女发言人向媒体发表了讲话。
sponsorship	赞助	球队需要赞助。
sporting	体育的	这座城市举办体育赛事。
stall	摊位	市场摊位卖水果。
stance	立场	部长改变了他的立场。
starve	挨饿	没有食物，动物可能会饿死。
steadily	稳定地	公司稳定地发展。
steam	蒸汽	蒸汽从汤里升起。
stimulate	刺激	鲜艳的颜色可以刺激兴趣。
