hsk_key	source_word	simplified	TE	example_TE	KN	example_KN
564:出院	出院	出院	ఆసుపత్రి నుంచి బయటకు రావడం	అతను ఈ రోజు ఆసుపత్రి నుంచి బయటకు రావచ్చు.	ಆಸ್ಪತ್ರೆಯಿಂದ ಬಿಡುಗಡೆಯಾಗುವುದು	ಅವರು ಇಂದು ಆಸ್ಪತ್ರೆಯಿಂದ ಬಿಡುಗಡೆಯಾಗಬಹುದು.
565:初中	初中	初中	జూనియర్ హై స్కూల్	నా చెల్లెలు జూనియర్ హై స్కూల్‌లో చదువుతుంది.	ಕಿರಿಯ ಪ್ರೌಢಶಾಲೆ	ನನ್ನ ತಂಗಿ ಕಿರಿಯ ಪ್ರೌಢಶಾಲೆಯಲ್ಲಿ ಓದುತ್ತಾಳೆ.
568:春天	春天	春天	వసంతం	వసంతం వచ్చింది, పూలు వికసించాయి.	ವಸಂತ ಕಾಲ	ವಸಂತ ಬಂದಿದೆ, ಹೂಗಳು ಅರಳಿವೆ.
574:大人	大人	大人	వయోజనుడు	వయోజనులు హాల్లో మాట్లాడుకుంటున్నారు.	ವಯಸ್ಕ	ವಯಸ್ಕರು ಸಭಾಂಗಣದಲ್ಲಿ ಮಾತನಾಡುತ್ತಿದ್ದಾರೆ.
575:大小	大小	大小	పరిమాణం	ఈ రెండు బట్టల పరిమాణం ఒకటే.	ಗಾತ್ರ	ಈ ಎರಡು ಬಟ್ಟೆಗಳ ಗಾತ್ರ ಒಂದೇ.
576:大熊猫	大熊猫	大熊猫	పెద్ద పాండా	పెద్ద పాండా వెదురు తింటోంది.	ದೊಡ್ಡ ಪಾಂಡಾ	ದೊಡ್ಡ ಪಾಂಡಾ ಬಿದಿರು ತಿನ್ನುತ್ತಿದೆ.
577:大衣	大衣	大衣	ఓవర్‌కోట్; బరువైన కోటు	చలిగా ఉండడంతో నేను ఓవర్‌కోట్ వేసుకున్నాను.	ದಪ್ಪ ಕೋಟು	ಚಳಿ ಇರುವುದರಿಂದ ನಾನು ದಪ್ಪ ಕೋಟು ಧರಿಸಿದೆ.
583:得	得	得	పొందడం	అతను కష్టపడి చదివి చివరికి ఎక్కువ మార్కులు పొందాడు.	ಪಡೆಯುವುದು	ಅವನು ಕಷ್ಟಪಟ್ಟು ಓದಿ ಕೊನೆಗೆ ಹೆಚ್ಚಿನ ಅಂಕಗಳನ್ನು ಪಡೆದ.
584:得到	得到	得到	పొందడం; లభించడం	నాకు గురువు నుండి సహాయం లభించింది.	ಪಡೆಯುವುದು; ದೊರಕುವುದು	ನನಗೆ ಶಿಕ್ಷಕರಿಂದ ಸಹಾಯ ದೊರಕಿತು.
585:得分	得分	得分	మార్కులు సాధించడం; స్కోరు	ఈ ఆటలో అతనే ఎక్కువ పాయింట్లు సాధించాడు.	ಅಂಕ ಗಳಿಸುವುದು; ಅಂಕ	ಈ ಆಟದಲ್ಲಿ ಅವನೇ ಅತಿ ಹೆಚ್ಚು ಅಂಕ ಗಳಿಸಿದ.
586:的话	的话	的话	అయితే; అలా అయితే	నీకు సమయం ఉంటే మనం కలిసి వెళ్దాం.	ಆದರೆ; ಹಾಗಿದ್ದರೆ	ನಿನಗೆ ಸಮಯ ಇದ್ದರೆ ನಾವು ಒಟ್ಟಿಗೆ ಹೋಗೋಣ.
589:地	地	地	భూమి; నేల	ఈ భూమిని కూరగాయలు పెంచడానికి ఉపయోగించవచ్చు.	ಭೂಮಿ; ನೆಲ	ಈ ಭೂಮಿಯನ್ನು ತರಕಾರಿ ಬೆಳೆಸಲು ಬಳಸಬಹುದು.
593:电	电	电	విద్యుత్	గదిలో విద్యుత్ లేదు.	ವಿದ್ಯುತ್	ಕೊಠಡಿಯಲ್ಲಿ ವಿದ್ಯುತ್ ಇಲ್ಲ.
595:电子书	电子书	电子书	ఈ-పుస్తకం	నేను ఫోన్‌లో ఈ-పుస్తకాలు చదువుతాను.	ಇ-ಪುಸ್ತಕ	ನಾನು ಫೋನ್‌ನಲ್ಲಿ ಇ-ಪುಸ್ತಕಗಳನ್ನು ಓದುತ್ತೇನೆ.
598:东北	东北	东北	ఈశాన్యం	నా ఇల్లు నగర ఈశాన్య భాగంలో ఉంది.	ಈಶಾನ್ಯ	ನನ್ನ ಮನೆ ನಗರದ ಈಶಾನ್ಯ ಭಾಗದಲ್ಲಿದೆ.
599:东方	东方	东方	తూర్పు; తూర్పు ప్రాంతం	సూర్యుడు తూర్పున ఉదయిస్తాడు.	ಪೂರ್ವ; ಪೂರ್ವ ಭಾಗ	ಸೂರ್ಯ ಪೂರ್ವದಲ್ಲಿ ಉದಯಿಸುತ್ತಾನೆ.
600:东南	东南	东南	ఆగ్నేయం	పాఠశాల నగర ఆగ్నేయ భాగంలో ఉంది.	ಆಗ್ನೇಯ	ಶಾಲೆ ನಗರದ ಆಗ್ನೇಯ ಭಾಗದಲ್ಲಿದೆ.
601:冬天	冬天	冬天	శీతాకాలం	ఇక్కడ శీతాకాలంలో చాలా చలి ఉంటుంది.	ಚಳಿಗಾಲ	ಇಲ್ಲಿ ಚಳಿಗಾಲದಲ್ಲಿ ತುಂಬ ಚಳಿ ಇರುತ್ತದೆ.
602:懂得	懂得	懂得	తెలుసుకోవడం; అర్థం చేసుకోవడం	ఇతరులను ఎలా చూసుకోవాలో అతనికి తెలుసు.	ತಿಳಿದುಕೊಳ್ಳುವುದು; ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವುದು	ಇತರರನ್ನು ಹೇಗೆ ನೋಡಿಕೊಳ್ಳಬೇಕು ಎಂದು ಅವನಿಗೆ ಗೊತ್ತು.
604:动物园	动物园	动物园	జంతుప్రదర్శనశాల	ఈ వారాంతంలో మేము జంతుప్రదర్శనశాలకు వెళ్తున్నాము.	ಮೃಗಾಲಯ	ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ನಾವು ಮೃಗಾಲಯಕ್ಕೆ ಹೋಗುತ್ತಿದ್ದೇವೆ.
606:短裤	短裤	短裤	చిన్న ప్యాంటు	వేసవిలో నేను తరచుగా చిన్న ప్యాంటు ధరిస్తాను.	ಚಿಕ್ಕ ಪ್ಯಾಂಟ್	ಬೇಸಿಗೆಯಲ್ಲಿ ನಾನು ಆಗಾಗ್ಗೆ ಚಿಕ್ಕ ಪ್ಯಾಂಟ್ ಧರಿಸುತ್ತೇನೆ.
611:而且	而且	而且	అంతేకాక	ఈ దుకాణం చౌకగా ఉంది, అంతేకాక సేవ బాగుంది.	ಮತ್ತು; ಜೊತೆಗೆ	ಈ ಅಂಗಡಿ ಅಗ್ಗವಾಗಿದೆ, ಜೊತೆಗೆ ಸೇವೆ ಚೆನ್ನಾಗಿದೆ.
613:耳机	耳机	耳机	ఇయర్‌ఫోన్లు	నా ఇయర్‌ఫోన్లు మెజపై ఉన్నాయి.	ಕಿವಿಹೆಡ್‌ಫೋನ್‌ಗಳು	ನನ್ನ ಕಿವಿಹೆಡ್‌ಫೋನ್‌ಗಳು ಮೇಜಿನ ಮೇಲೆ ಇವೆ.
620:方便面	方便面	方便面	క్షణిక నూడుల్స్	నేను అప్పుడప్పుడు క్షణిక నూడుల్స్ తింటాను.	ತಕ್ಷಣದ ನೂಡಲ್ಸ್	ನಾನು ಕೆಲವೊಮ್ಮೆ ತಕ್ಷಣದ ನೂಡಲ್ಸ್ ತಿನ್ನುತ್ತೇನೆ.
623:房子	房子	房子	ఇల్లు; అపార్ట్‌మెంట్	ఈ అపార్ట్‌మెంట్ చాలా శుభ్రంగా ఉంది.	ಮನೆ; ಅಪಾರ್ಟ್‌ಮೆಂಟ್	ಈ ಅಪಾರ್ಟ್‌ಮೆಂಟ್ ತುಂಬ ಸ್ವಚ್ಛವಾಗಿದೆ.
625:放假	放假	放假	సెలవు ఉండడం	వచ్చే వారం మాకు మూడు రోజులు సెలవు ఉంది.	ರಜೆ ಇರುವುದು	ಮುಂದಿನ ವಾರ ನಮಗೆ ಮೂರು ದಿನ ರಜೆ ಇದೆ.
627:放学	放学	放学	పాఠశాల ముగియడం	పాఠశాల ముగిసిన తర్వాత నేను గ్రంథాలయానికి వెళ్తాను.	ಶಾಲೆ ಮುಗಿಯುವುದು	ಶಾಲೆ ಮುಗಿದ ನಂತರ ನಾನು ಗ್ರಂಥಾಲಯಕ್ಕೆ ಹೋಗುತ್ತೇನೆ.
628:分开	分开	分开	వేరు చేయడం	దయచేసి ఈ పుస్తకాలను వేరు చేయండి.	ಬೇರ್ಪಡಿಸುವುದು	ದಯವಿಟ್ಟು ಈ ಪುಸ್ತಕಗಳನ್ನು ಬೇರ್ಪಡಿಸಿ.
629:风	风	风	గాలి	ఈ రోజు గాలి చాలా బలంగా వీయుతోంది.	ಗಾಳಿ	ಇಂದು ಗಾಳಿ ತುಂಬ ಬಲವಾಗಿ ಬೀಸುತ್ತಿದೆ.
630:封	封	封	లేఖలకు గణక పదం	నాకు ఒక లేఖ వచ్చింది.	ಪತ್ರಗಳಿಗೆ ಎಣಿಕೆಪದ	ನನಗೆ ಒಂದು ಪತ್ರ ಬಂದಿದೆ.
631:夫妻	夫妻	夫妻	భార్యాభర్తలు; దంపతులు	ఈ దంపతులు చాలా స్నేహపూర్వకంగా ఉన్నారు.	ಗಂಡ ಹೆಂಡತಿ; ದಂಪತಿ	ಈ ದಂಪತಿ ತುಂಬ ಸ್ನೇಹಪರರು.
632:服务	服务	服务	సేవ; సేవ చేయడం	ఈ రెస్టారెంట్‌లో సేవ చాలా బాగుంది.	ಸೇವೆ; ಸೇವೆ ಮಾಡುವುದು	ಈ ಉಪಹಾರಗೃಹದ ಸೇವೆ ತುಂಬ ಚೆನ್ನಾಗಿದೆ.
635:该1	该1	该	చేయాలి; కావాలి	మనం ఇప్పుడు వెళ్లాలి.	ಮಾಡಬೇಕು; ಬೇಕು	ನಾವು ಈಗ ಹೋಗಬೇಕು.
638:感到	感到	感到	అనిపించడం	నాకు కొంచెం అలసటగా అనిపిస్తోంది.	ಅನಿಸುವುದು	ನನಗೆ ಸ್ವಲ್ಪ ದಣಿವಾಗಿದೆ ಎಂದು ಅನಿಸುತ್ತದೆ.
643:刚刚	刚刚	刚刚	ఇప్పుడే	అతను ఇప్పుడే తరగతి గది నుంచి వెళ్లిపోయాడు.	ಇಷ್ಟೇ ಈಗ	ಅವನು ಇಷ್ಟೇ ಈಗ ತರಗತಿ ಕೊಠಡಿಯಿಂದ ಹೊರಟ.
644:高铁	高铁	高铁	అధివేగ రైలు	రేపు నేను అధివేగ రైలులో బీజింగ్‌కు వెళ్తాను.	ಅತಿ ವೇಗದ ರೈಲು	ನಾನು ನಾಳೆ ಅತಿ ವೇಗದ ರೈಲಿನಲ್ಲಿ ಬೀಜಿಂಗ್‌ಗೆ ಹೋಗುತ್ತೇನೆ.
649:工作日	工作日	工作日	పని రోజు	పని రోజుల్లో నేను ఉదయం ఏడు గంటలకు లేస్తాను.	ಕೆಲಸದ ದಿನ	ಕೆಲಸದ ದಿನಗಳಲ್ಲಿ ನಾನು ಬೆಳಿಗ್ಗೆ ಏಳು ಗಂಟೆಗೆ ಎದ್ದೇಳುತ್ತೇನೆ.
651:刮	刮	刮	వీయడం; గీసడం	బయట బలమైన గాలి వీయుతోంది.	ಬೀಸುವುದು; ಕೊರೆಯುವುದು	ಹೊರಗೆ ಬಲವಾದ ಗಾಳಿ ಬೀಸುತ್ತಿದೆ.
653:关机	关机	关机	ఆఫ్ చేయడం	తరగతి సమయంలో దయచేసి మీ ఫోన్ ఆఫ్ చేయండి.	ಆಫ್ ಮಾಡುವುದು	ತರಗತಿಯ ಸಮಯದಲ್ಲಿ ದಯವಿಟ್ಟು ನಿಮ್ಮ ಫೋನ್ ಆಫ್ ಮಾಡಿ.
657:关注	关注	关注	దృష్టి పెట్టడం	నేను నా బిడ్డ చదువుపై ఎక్కువ దృష్టి పెడతాను.	ಗಮನ ಕೊಡುವುದು	ನಾನು ನನ್ನ ಮಗುವಿನ ಓದಿಗೆ ಹೆಚ್ಚು ಗಮನ ಕೊಡುತ್ತೇನೆ.
659:过节	过节	过节	పండుగ జరుపుకోవడం	పండుగ జరుపుకునేప్పుడు ఇల్లు ఉత్సాహంగా ఉంటుంది.	ಹಬ್ಬ ಆಚರಿಸುವುದು	ಹಬ್ಬ ಆಚರಿಸುವಾಗ ಮನೆ ತುಂಬ ಚಟುವಟಿಕೆಯಿಂದಿರುತ್ತದೆ.
661:海	海	海	సముద్రం	నాకు సముద్రతీరానికి ప్రయాణం చేయాలని ఉంది.	ಸಮುದ್ರ	ನಾನು ಸಮುದ್ರ ತೀರಕ್ಕೆ ಪ್ರಯಾಣ ಮಾಡಲು ಬಯಸುತ್ತೇನೆ.
663:好多	好多	好多	చాలా; అనేక	దుకాణంలో చాలా కొత్త పుస్తకాలు ఉన్నాయి.	ಬಹಳಷ್ಟು; ಅನೇಕ	ಅಂಗಡಿಯಲ್ಲಿ ಬಹಳಷ್ಟು ಹೊಸ ಪುಸ್ತಕಗಳಿವೆ.
664:好久	好久	好久	చాలా కాలం	మనం చాలా కాలంగా ఒకరినొకరు చూడలేదు.	ಬಹಳ ಕಾಲ	ನಾವು ಬಹಳ ಕಾಲದಿಂದ ಒಬ್ಬರನ್ನೊಬ್ಬರು ನೋಡಿಲ್ಲ.
667:河	河	河	నది	ఈ నది వెడల్పుగా ఉంది.	ನದಿ	ಈ ನದಿ ಅಗಲವಾಗಿದೆ.
670:红绿灯	红绿灯	红绿灯	ట్రాఫిక్ లైట్	రోడ్డు దాటేటప్పుడు ట్రాఫిక్ లైట్ చూడండి.	ಸಂಚಾರ ದೀಪ	ರಸ್ತೆ ದಾಟುವಾಗ ಸಂಚಾರ ದೀಪ ನೋಡಿ.
672:后年	后年	后年	మరుసటి సంవత్సరం తర్వాతి సంవత్సరం	మరుసటి సంవత్సరం తర్వాతి సంవత్సరంలో నేను చైనాకు వెళ్లి చదవాలనుకుంటున్నాను.	ಮುಂದಿನ ವರ್ಷದ ನಂತರದ ವರ್ಷ	ಮುಂದಿನ ವರ್ಷದ ನಂತರದ ವರ್ಷ ನಾನು ಚೀನಾಗೆ ಹೋಗಿ ಓದಲು ಬಯಸುತ್ತೇನೆ.
673:后天	后天	后天	ఎల్లుండి	ఎల్లుండి మాకు పరీక్ష ఉంది.	ನಾಡಿದ್ದು	ನಾಡಿದ್ದು ನಮಗೆ ಪರೀಕ್ಷೆ ಇದೆ.
675:花园	花园	花园	తోట	తోటలో చాలా పూలు ఉన్నాయి.	ತೋಟ	ತೋಟದಲ್ಲಿ ಬಹಳಷ್ಟು ಹೂಗಳು ಇವೆ.
676:画家	画家	画家	చిత్రకారుడు	ఈ చిత్రకారుడు చాలా ప్రసిద్ధుడు.	ಚಿತ್ರಕಾರ	ಈ ಚಿತ್ರಕಾರ ತುಂಬ ಪ್ರಸಿದ್ಧ.
681:黄色	黄色	黄色	పసుపు రంగు	నేను పసుపు రంగు పైదుస్తి కొనుగోలు చేశాను.	ಹಳದಿ ಬಣ್ಣ	ನಾನು ಹಳದಿ ಬಣ್ಣದ ಮೇಲಂಗಿ ಖರೀದಿಸಿದೆ.
685:或	或	或	లేదా	మీరు కారులో లేదా నడుచుకుంటూ వెళ్లవచ్చు.	ಅಥವಾ	ನೀವು ಕಾರಿನಲ್ಲಿ ಅಥವಾ ನಡೆದು ಹೋಗಬಹುದು.
687:鸡	鸡	鸡	కోడి; చికెన్	అమ్మమ్మ ఇంట్లో కొన్ని కోళ్లు పెంచుతున్నారు.	ಕೋಳಿ	ಅಜ್ಜಿ ಮನೆಯಲ್ಲಿ ಕೆಲವು ಕೋಳಿಗಳನ್ನು ಸಾಕುತ್ತಾರೆ.
691:急	急	急	ఆతురం; అత్యవసరం	ఆతురపడకండి. కారు ఇంకా రాలేదు.	ಆತುರ; ತುರ್ತು	ಆತುರಪಡಬೇಡಿ. ಕಾರು ಇನ್ನೂ ಬಂದಿಲ್ಲ.
692:记	记	记	గుర్తుంచుకోవడం; రాసుకోవడం	దయచేసి నా ఫోన్ నంబర్ రాసుకోండి.	ನೆನಪಿಡುವುದು; ಬರೆದುಕೊಳ್ಳುವುದು	ದಯವಿಟ್ಟು ನನ್ನ ಫೋನ್ ಸಂಖ್ಯೆಯನ್ನು ಬರೆದುಕೊಳ್ಳಿ.
693:季	季	季	ఋతువు	ఒక సంవత్సరంలో నాలుగు ఋతువులు ఉంటాయి.	ಋತು	ಒಂದು ವರ್ಷದಲ್ಲಿ ನಾಲ್ಕು ಋತುಗಳಿವೆ.
695:加	加	加	జోడించడం	దయచేసి నాకు కొంచెం నీరు జోడించండి.	ಸೇರಿಸುವುದು	ದಯವಿಟ್ಟು ನನಗೆ ಸ್ವಲ್ಪ ನೀರು ಸೇರಿಸಿ.
696:假期	假期	假期	సెలవు	సెలవులో నేను విశ్రాంతి తీసుకోవాలనుకుంటున్నాను.	ರಜೆ	ರಜೆಯ ಸಮಯದಲ್ಲಿ ನಾನು ವಿಶ್ರಾಂತಿ ಪಡೆಯಲು ಬಯಸುತ್ತೇನೆ.
700:检票	检票	检票	టికెట్లు తనిఖీ చేయడం	స్టేషన్‌లోకి వెళ్లే ముందు టికెట్లు తనిఖీ చేయాలి.	ಟಿಕೆಟ್ ಪರಿಶೀಲಿಸುವುದು	ನಿಲ್ದಾಣಕ್ಕೆ ಒಳಹೋಗುವ ಮೊದಲು ಟಿಕೆಟ್ ಪರಿಶೀಲಿಸಬೇಕು.
707:街	街	街	వీధి	ఈ వీధి చాలా సందడిగా ఉంది.	ಬೀದಿ	ಈ ಬೀದಿ ತುಂಬ ಚಟುವಟಿಕೆಯಿಂದಿದೆ.
714:姐妹	姐妹	姐妹	అక్కాచెల్లెళ్లు	వారు అక్కాచెల్లెళ్లు.	ಸಹೋದರಿಯರು	ಅವರು ಸಹೋದರಿಯರು.
716:斤	斤	斤	జిన్; అర కిలో కొలమానం	నేను సుమారు ఒక కిలో ఆపిల్లు కొనుగోలు చేశాను.	ಜಿನ್; ಅರ್ಧ ಕಿಲೋ ಅಳತೆ	ನಾನು ಸುಮಾರು ಒಂದು ಕಿಲೋ ಸೇಬುಗಳನ್ನು ಖರೀದಿಸಿದೆ.
720:酒	酒	酒	మద్యం	నాన్న సాయంత్రం మద్యం తాగరు.	ಮದ್ಯ	ಅಪ್ಪ ಸಂಜೆ ಮದ್ಯ ಕುಡಿಯುವುದಿಲ್ಲ.
722:句	句	句	వాక్యం; వాక్యాలకు గణక పదం	దయచేసి ఇంకో వాక్యం చెప్పండి.	ವಾಕ್ಯ; ವಾಕ್ಯಗಳಿಗೆ ಎಣಿಕೆಪದ	ದಯವಿಟ್ಟು ಇನ್ನೊಂದು ವಾಕ್ಯ ಹೇಳಿ.
725:卡	卡	卡	కార్డు	నా కార్డు నా సంచిలో ఉంది.	ಕಾರ್ಡ್	ನನ್ನ ಕಾರ್ಡ್ ನನ್ನ ಚೀಲದಲ್ಲಿದೆ.
726:开花	开花	开花	పూయడం	వసంతంలో చెట్లు అన్నీ పూస్తాయి.	ಹೂ ಬೀಳುವುದು	ವಸಂತದಲ್ಲಿ ಮರಗಳೆಲ್ಲ ಹೂ ಬೀಳುತ್ತವೆ.
727:开会	开会	开会	సమావేశం జరపడం	ఈ మధ్యాహ్నం మూడు గంటలకు నాకు సమావేశం ఉంది.	ಸಭೆ ನಡೆಸುವುದು	ಇಂದು ಮಧ್ಯಾಹ್ನ ಮೂರು ಗಂಟೆಗೆ ನನಗೆ ಸಭೆ ಇದೆ.
