source_headword	PT	example_PT
discovery	a descoberta	A descoberta mudou a ciência.
discussion	a discussão	A discussão terminou cedo.
disease	a doença	Esta doença é séria.
distance	a distância	A distância é curta.
divorced	divorciado	Os pais dela são divorciados.
document	o documento; documentar	Guarda este documento agora.
double	duplo; o quarto duplo	Preciso de um quarto duplo.
download	descarregar; a transferência	Descarrega a aplicação hoje.
drama	o drama	O drama começa esta noite.
drawing	o desenho	O desenho dela é bonito.
dream	o sonho; sonhar	Tive um sonho estranho.
driving	a condução	Conduzir à noite é difícil.
drop	deixar cair; a gota	Não deixes cair o copo.
drug	o medicamento; a droga	O medicamento ajudou-o.
dry	seco; secar	A toalha está seca.
earn	ganhar	Ganho dinheiro no trabalho.
earth	a Terra	A Terra é redonda.
easily	facilmente	Ela aprende facilmente.
education	a educação; o ensino	A educação é importante.
effect	o efeito	O efeito foi claro.
either	um dos dois; também não	Uma das duas respostas serve.
electric	elétrico	Este carro é elétrico.
electrical	elétrico	A instalação elétrica é segura.
electricity	a eletricidade	A eletricidade é cara aqui.
electronic	eletrónico	Este bilhete eletrónico funciona.
employ	empregar; contratar	Eles contratam cinco pessoas.
employee	o empregado; a empregada	O empregado trabalha muito.
employer	o empregador; a empregadora	O meu empregador é justo.
empty	vazio; esvaziar	O quarto está vazio.
ending	o fim; o final	O final foi inesperado.
energy	a energia	Hoje não tenho energia.
engine	o motor	O motor é barulhento.
engineer	o engenheiro; a engenheira	A engenheira reparou a ponte.
enormous	enorme	O edifício é enorme.
enter	entrar; inserir	Entra na sala em silêncio.
environment	o ambiente	Protege o ambiente.
equipment	o equipamento	Este equipamento é caro.
error	o erro	Encontrei um erro.
especially	especialmente	Gosto especialmente desta canção.
essay	o ensaio; a redação	Escreve uma redação esta noite.
everyday	quotidiano; de todos os dias	Isto é inglês quotidiano.
everywhere	em todo o lado	As flores crescem em todo o lado.
evidence	a prova; as provas	As provas são claras.
exact	exato	Diz-me o número exato.
exactly	exatamente	Isto está exatamente certo.
excellent	excelente	O teu trabalho é excelente.
except	exceto	Todos vieram exceto eu.
exist	existir	Este endereço existe?
expect	esperar	Espero chuva amanhã.
experience	a experiência	Tenho experiência com crianças.
experiment	a experiência; o experimento	A experiência correu bem.
expert	o especialista; a especialista	Pede ajuda a uma especialista.
explanation	a explicação	A explicação dela foi clara.
express	exprimir; expressar	Exprime a tua opinião, por favor.
expression	a expressão	Esta expressão é comum.
extreme	extremo	O calor foi extremo.
extremely	extremamente	Está extremamente frio.
factor	o fator	O custo é um fator.
factory	a fábrica	A fábrica fecha às cinco.
fail	falhar; chumbar	Não chumbei no exame.
fair	justo	O preço é justo.
fan	a ventoinha; o fã	Liga a ventoinha.
farming	a agricultura	A agricultura é trabalho duro.
fashion	a moda	A moda muda todos os anos.
fear	o medo; temer	O medo pode travar as pessoas.
feature	a característica; a função	Este telefone tem uma função útil.
feed	alimentar; dar de comer	Dá de comer ao gato agora.
female	feminino; a fêmea	A atleta feminina ganhou.
fiction	a ficção; a literatura	Ela lê ficção à noite.
field	o campo; a área	O campo é verde.
fight	lutar; a luta	Eles discutem demasiado.
figure	a figura; o número	Olha para a figura.
finally	finalmente	Finalmente chegámos a casa.
finger	o dedo	Dói-me o dedo.
firstly	em primeiro lugar	Em primeiro lugar, lê a pergunta.
fishing	a pesca	A pesca é popular aqui.
fit	servir; ajustar-se	Estes sapatos servem bem.
fix	reparar; fixar	Repara a cadeira partida.
flu	a gripe	Estou com gripe.
flying	o voo; voador	O voo é rápido.
focus	concentrar-se; o foco	Concentra-te nesta tarefa.
following	seguinte	Lê a frase seguinte.
foreign	estrangeiro	Ela fala uma língua estrangeira.
forest	a floresta; o bosque	A floresta está silenciosa.
fork	o garfo	Usa o garfo.
formal	formal	Esta carta é formal.
fortunately	felizmente	Felizmente, ninguém se magoou.
forward	para a frente	Move-te devagar para a frente.
fresh	fresco	O pão está fresco.
