source_headword	ES-419	example_ES-419
civil	civil	La protesta se mantuvo civil.
classic	clásico	Esta película es un clásico.
closely	de cerca	Observa el proceso de cerca.
collapse	derrumbarse	El viejo puente podría derrumbarse.
combination	la combinación	La combinación funcionó bien.
comfort	el consuelo	Sus palabras dieron consuelo.
command	la orden	El oficial dio una orden.
commission	la comisión	La comisión revisó el caso.
commitment	el compromiso	El trabajo necesita compromiso.
committee	el comité	El comité se reúne semanalmente.
commonly	comúnmente	Esta planta se cultiva comúnmente.
complicated	complicado	Las instrucciones son complicadas.
component	el componente	Un componente falló.
concentration	la concentración	El ruido rompe mi concentración.
concept	el concepto	El concepto es simple.
concern	la preocupación	La seguridad es nuestra principal preocupación.
concerned	preocupado	Los padres estaban profundamente preocupados.
conduct	realizar	Ellos realizan investigaciones localmente.
confidence	la confianza	La práctica genera confianza.
conflict	el conflicto	El conflicto duró años.
confusing	confuso	El mapa era confuso.
conscious	consciente	Ella se mantuvo consciente.
conservative	conservador	Sus puntos de vista son conservadores.
consideration	la consideración	El costo es una consideración importante.
consistent	consistente	Sus resultados son consistentes.
constant	constante	El ruido constante nos agotó.
constantly	constantemente	Él revisa constantemente su teléfono.
construct	construir	Los trabajadores construyeron un puente nuevo.
construction	la construcción	La construcción comienza el próximo mes.
contemporary	contemporáneo	La galería muestra arte contemporáneo.
contest	el concurso	Ella se inscribió en el concurso.
contract	el contrato	Lee el contrato con atención.
contribute	contribuir	Todos pueden contribuir con ideas.
contribution	la contribución	Su contribución fue valiosa.
convert	convertir	Ellos convirtieron el garaje.
convinced	convencido	Estoy convencido de que mintió.
core	el centro	La confianza es el problema central.
corporate	corporativo	Las reglas corporativas cambiaron de nuevo.
council	el consejo	El consejo aprobó el plan.
county	el condado	El condado reparó la calle.
courage	el coraje	Ella mostró verdadero coraje.
crash	el choque	El choque bloqueó el tráfico.
creation	la creación	La creación tomó seis meses.
creature	la criatura	La criatura se movió en silencio.
crew	la tripulación	La tripulación preparó el barco.
crisis	la crisis	La crisis cambió todo.
criterion	el criterio	El precio es un criterio.
critic	el crítico	El crítico elogió la obra.
critical	crítico	Su condición es crítica.
criticism	la crítica	Ella aceptó la crítica con calma.
criticize	criticar	No critiques cada error.
crop	la cosecha	La cosecha fracasó este año.
crucial	crucial	El tiempo es crucial aquí.
cure	la cura	Los médicos encontraron una cura.
curve	la curva	El camino sigue una curva.
curved	curvo	La pared está un poco curva.
debate	el debate	El debate continuó por horas.
debt	la deuda	Él pagó la deuda.
decent	decente	Ellos encontraron un apartamento decente.
declare	declarar	Ellos declararon el resultado.
decline	disminuir	Las ventas continuaron disminuyendo.
decoration	la decoración	La decoración se veía costosa.
decrease	disminuir	Los precios podrían disminuir pronto.
deeply	profundamente	A ella le importaba profundamente la justicia.
defeat	la derrota	La derrota sorprendió al equipo.
defence	la defensa	La defensa cuestionó la evidencia.
defend	defender	Él intentó defenderse.
delay	el retraso / retrasar	El mal tiempo causó un retraso.
deliberate	deliberado	Fue una elección deliberada.
deliberately	deliberadamente	Ella ignoró la advertencia deliberadamente.
delight	el deleite / encantar	La noticia encantó a todos.
delighted	encantado	Estuvimos encantados con el regalo.
delivery	la entrega	La entrega llegó temprano.
demand	la demanda / exigir	Los trabajadores exigen un pago mejor.
demonstrate	demostrar	Él demostró el nuevo software.
deny	negar	Ella negó la acusación.
depressed	deprimido	Él se sintió deprimido después de perder.
depressing	deprimente	La película era deprimente.
depth	la profundidad	La piscina tiene una gran profundidad.
deserve	merecer	Te mereces un descanso.
desire	el deseo / desear	Ella expresó el deseo de viajar.
desperate	desesperado	Ellos hicieron una llamada desesperada.
detailed	detallado	La guía es muy detallada.
detect	detectar	Los perros pueden detectar humo.
dig	cavar	Ellos cavan pozos en verano.
disc	el disco	El disco estaba rayado.
discipline	la disciplina	La disciplina ayuda a los atletas a mejorar.
dishonest	deshonesto	Su respuesta sonó deshonesta.
dismiss	desestimar	El gerente desestimó la queja.
display	la exhibición / mostrar	La pantalla muestra la puntuación.
distribute	distribuir	Los voluntarios distribuyeron agua limpia.
distribution	la distribución	La distribución comenzó después del amanecer.
district	el distrito	El distrito eligió a un alcalde.
division	la división	La división maneja casos legales.
domestic	doméstico	Los vuelos domésticos son más baratos.
dominate	dominar	Una empresa puede dominar el mercado.
downwards	hacia abajo	El camino se inclina hacia abajo.
dozen	la docena	Ella compró una docena de huevos.
draft	el borrador / redactar	Por favor, revisa el borrador.
drag	arrastrar	No arrastres la mesa.
dramatic	dramático	Los resultados fueron dramáticos.
edit	editar	Ella editó el artículo.
edition	la edición	Esta edición incluye nuevas fotos.
efficient	eficiente	El sistema es eficiente.
elderly	anciano	Los residentes ancianos necesitan apoyo.
elect	elegir	Los votantes eligen un nuevo consejo.
elsewhere	en otro lugar	Buscamos ayuda en otro lugar.
emerge	surgir	Los detalles surgieron después de la medianoche.
emotional	emocional	El discurso fue emocional.
emphasis	el énfasis	Pon énfasis en la seguridad.
emphasize	enfatizar	Los profesores enfatizan la práctica diaria.
enable	permitir	La aplicación permite pagos rápidos.
encounter	el encuentro / encontrar	Encontramos tráfico pesado.
engage	involucrar	El curso involucra a estudiantes adultos.
enhance	mejorar	La iluminación puede mejorar la habitación.
enquiry	la investigación	La investigación duró tres meses.
ensure	asegurar	Revisa dos veces para asegurar la precisión.
enthusiasm	el entusiasmo	Su entusiasmo animó al grupo.
enthusiastic	entusiasmado	Los voluntarios estaban entusiasmados.
entire	entero	El pueblo entero perdió la energía.
entirely	completamente	La historia es completamente falsa.
establish	establecer	Ellos establecieron reglas claras.
estate	la propiedad	La propiedad incluye varias granjas.
estimate	estimar	Estimamos diez mil visitantes.
ethical	ético	La decisión planteó cuestiones éticas.
evaluate	evaluar	Los expertos evaluarán el diseño.
evil	malvado	El rey temía a los espíritus malvados.
examination	el examen	El examen duró una hora.
excuse	la excusa	Esa excusa sonó débil.
executive	el ejecutivo	El ejecutivo aprobó el trato.
existence	la existencia	Su existencia era desconocida.
expectation	la expectativa	La expectativa era alta antes del lanzamiento.
expense	el gasto	Los viajes son nuestro mayor gasto.
exploration	la exploración	La exploración espacial inspira a los niños.
expose	exponer	El artículo expuso la corrupción.
extend	extender	Ellos extendieron el plazo.
extent	la magnitud	Conocimos la magnitud más tarde.
external	externo	La presión externa los influenció.
extraordinary	extraordinario	Su recuperación fue extraordinaria.
facility	la instalación	La instalación abrió en junio.
failure	el fracaso	El fracaso le enseñó paciencia.
faith	la fe	Ella mantuvo la fe en él.
fault	la culpa	El accidente fue mi culpa.
feather	la pluma	Una pluma cayó de la almohada.
fee	la tarifa	La tarifa incluye el almuerzo.
feedback	la retroalimentación	La retroalimentación ayudó a mejorar el curso.
fellow	compañero	Los compañeros de trabajo la apoyaron.
finance	las finanzas	El banco financiará la expansión.
finding	el hallazgo	El hallazgo sorprendió a los investigadores.
firm	la firma	La firma contrató nuevo personal.
flame	la llama	Una pequeña llama apareció.
flash	el destello	Un destello iluminó el cielo.
flexible	flexible	El horario es flexible.
float	flotar	Las hojas flotan en el agua.
folding	plegable	Él llevaba una silla plegable.
forgive	perdonar	¿Puedes perdonarlo?
former	anterior	El alcalde anterior regresó.
fortune	la fortuna	Perdieron una fortuna.
found	fundar	Fundaron una pequeña organización benéfica.
freedom	la libertad	La libertad requiere responsabilidad.
frequency	la frecuencia	La frecuencia aumentó en invierno.
fully	completamente	El hotel está completamente reservado.
fund	el fondo	El fondo apoya a las escuelas locales.
fundamental	fundamental	El respeto es fundamental aquí.
funding	el financiamiento	El financiamiento terminó el año pasado.
furthermore	además	Además, los costos están subiendo.
gain	ganar	Los estudiantes ganan confianza rápidamente.
gang	la pandilla	Una pandilla controlaba la calle.
generate	generar	Los paneles solares generan energía.
genre	el género	La comedia es su género favorito.
govern	regir / gobernar	Las leyes rigen el gasto público.
grab	agarrar	Él me agarró el brazo.
gradually	gradualmente / poco a poco	El dolor desapareció gradualmente.
grand	grandioso / imponente	El hotel tiene una entrada imponente.
grant	la subvención / conceder	La subvención pagó por el equipo.
guarantee	garantizar	El boleto garantiza la entrada.
handle	manejar / lidiar	Ella manejó la queja con calma.
harm	dañar / el daño	Fumar puede dañar la salud.
harmful	dañino / perjudicial	Ese químico es dañino.
hearing	la audición	Su audición mejoró.
heaven	el cielo / el paraíso	Ellos imaginaron el cielo arriba.
heel	el talón	Le dolía mucho el talón.
hell	el infierno	El viaje fue un infierno.
hesitate	dudar / vacilar	No dudes en preguntar.
hollow	hueco	El árbol estaba hueco por dentro.
holy	sagrado / santo	Ellos visitaron un lugar sagrado.
honour	el honor	Ellos lucharon por el honor.
household	el hogar	Cada hogar recibió agua.
housing	la vivienda	Los costos de vivienda siguen subiendo.
humorous	gracioso / humorístico	Su historia era graciosa.
humour	el humor	El humor ayudó a reducir la tensión.
hunting	la caza	La caza está prohibida aquí.
illustrate	ilustrar	Los ejemplos ilustran la regla.
illustration	la ilustración	La ilustración muestra el proceso.
imagination	la imaginación	Los niños usan la imaginación libremente.
impatient	impaciente	Los conductores se volvieron impacientes.
imply	implicar / insinuar	Su silencio puede implicar acuerdo.
impose	imponer	El tribunal impuso una multa.
impress	impresionar	Su valentía impresionó a todos.
impressed	impresionado	Quedé impresionado por su trabajo.
inch	la pulgada	Muévelo una pulgada a la izquierda.
incident	el incidente	El incidente causó preocupación.
income	el ingreso	Sus ingresos aumentaron lentamente.
increasingly	cada vez más	La vivienda es cada vez más cara.
industrial	industrial	El pueblo tiene raíces industriales.
infection	la infección	La infección se propagó rápidamente.
inform	informar	Por favor, informe al gerente.
initial	inicial	El costo inicial fue alto.
initially	inicialmente	Inicialmente, nadie le creyó.
initiative	la iniciativa	Ella lanzó una nueva iniciativa.
inner	interior	La puerta interior estaba cerrada con llave.
insight	la perspectiva	El informe ofrece una perspectiva útil.
insist	insistir	Ellos insisten en los controles de seguridad.
inspire	inspirar	Su historia puede inspirar a otros.
install	instalar	Ellos instalaron un nuevo calentador.
instance	el ejemplo / el caso	Este es un ejemplo claro.
