source_headword	ET	example_ET
resignation	tagasiastumine	Tema tagasiastumine šokeeris juhatust.
resistance	vastupanu	Vastupanu muutustele oli tugev.
respective	vastav	Nad naasid oma vastavatesse kontoritesse.
respectively	vastavalt	Tulemused olid vastavalt 80 ja 90.
restoration	restaureerimine	Hoone restaureerimine võttis aastaid.
restraint	vaoshoitus	Politsei näitas üles vaoshoitust.
resume	jätkuma	Tunnid jätkuvad järgmisel nädalal.
retreat	taganemine	Armee alustas taganemist.
retrieve	kätte saama	Ta sai faili kätte.
revelation	paljastus	Paljastus kahjustas tema mainet.
revenge	kättemaks	Ta tahtis solvangu eest kättemaksu.
reverse	tühistama	Kohus tühistas otsuse.
revival	elavnemine	Linn nägi majanduslikku elavnemist.
revive	elustama	Festival aitas elustada kohalikke traditsioone.
revolutionary	revolutsiooniline	Leiutis oli revolutsiooniline.
rhetoric	retoorika	Tema retoorika kõlas agressiivselt.
rifle	vintpüss	Vintpüssi hoiti turvaliselt.
riot	mäss	Mäss kestis mitu tundi.
rip	rebima	Rebi paberit ettevaatlikult.
ritual	rituaal	See rituaal tähistab lõikusaega.
robust	tugev	Süsteem on töökindel.
rock	raputama	Plahvatus raputas küla.
rod	varras	Kardin ripub varda küljes.
rotate	pöörama	Pööra käepidet aeglaselt.
rotation	rotatsioon	Külvikord kaitseb mulda.
ruling	otsus	Kohus langetas otsuse.
rumour	kuulujutt	Kuulujutt levis kiiresti.
sack	vallandama	Juhatus võib treeneri vallandada.
sacred	püha	Tempel on püha.
sacrifice	ohverdus	Vanemad toovad sageli ohvreid.
saint	pühak	Kirik austab kohalikku pühakut.
sake	pärast	Ta jäi tema pärast.
sanction	sanktsioon	Sanktsioon mõjutas rahvusvahelist kaubandust.
say	sõnaõigus	Töötajatel oli graafiku koostamisel sõnaõigus.
scattered	laialipillutatud	Laialipillutatud paberid katsid lauda.
sceptical	skeptiline	Ta jäi väite suhtes skeptiliseks.
scope	ulatus	Projekti ulatus laienes.
screw	kruvi	Pinguta kruvi ettevaatlikult.
scrutiny	järelevalve	Tehing sattus avalikkuse teravdatud tähelepanu alla.
seal	sulgema	Sulge ümbrik enne postitamist.
secular	ilmalik	Kool järgib ilmalikku õppekava.
seemingly	näiliselt	Ülesanne oli näiliselt lihtne.
segment	segment	Viimane segment oli lühem.
seize	konfiskeerima	Politsei konfiskeeris dokumendid.
seldom	harva	Ta puudub tunnist harva.
selective	valikuline	Programm on väga valikuline.
senator	senaator	Senaator toetas eelnõu.
sensation	sensatsioon	Avastus tekitas sensatsiooni.
sensitivity	tundlikkus	See teema nõuab tundlikkust.
sentiment	meelsus	Avalik meelsus muutus kiiresti.
separation	lahkuminek	Lahkuminek oli raske.
serial	seeria-	Seerianumber on puudu.
settlement	kokkulepe	Kokkulepe lõpetas vaidluse.
set-up	seadistamine	Seadistamine võttis terve hommiku.
sexuality	seksuaalsus	Kursusel arutatakse identiteedi ja seksuaalsuse üle.
shareholder	aktsionär	Aktsionär esitas juhatusele küsimusi.
shatter	purustama	Uudised purustasid ta enesekindluse.
shed	koondama	Ettevõte koondab töökohti.
sheer	puhas	Selle tohutu suurus üllatas kõiki.
shipping	transport	Transpordikulud suurenesid.
shoot	pildistamine	Pildistamine lõppes varem.
shrink	kokku tõmbuma	Särk võib kokku tõmbuda.
shrug	õlgu kehitama	Ta kehitas kergelt õlgu.
sigh	ohkama	Ta ohkas kergendatult.
simulate	simuleerima	Tarkvara suudab simuleerida liiklust.
simulation	simulatsioon	Simulatsioon ennustas üleujutust.
simultaneously	samaaegselt	Kaks äratuskella helisesid samaaegselt.
sin	patt	Uhkust peetakse patuks.
situated	asuv	Hotell asub kesklinnas.
sketch	visand	Ta tegi kiire visandi.
skip	vahele jätma	Ärge jätke hommikusööki vahele.
slam	paugutama	Ta võib ust paugutada.
slap	laksama	Ärge laksake vastu lauda.
slavery	orjus	Orjus kujundas piirkonna ajalugu.
slot	ajavahemik	Broneerige ajavahemik veebis.
smash	purunema	Klaas purunes põrandal.
snap	murduma	Oks murdus tuules.
soak	leotama	Leotage ube üleöö.
soar	hüppeliselt tõusma	Kütusehinnad võivad hüppeliselt tõusta.
socialist	sotsialistlik	Partei toetab sotsialistlikku poliitikat.
sole	ainus	Ta oli ainus ellujääja.
solely	ainult	Otsus oli ainult tema teha.
solicitor	jurist	Jurist valmistas lepingu ette.
solidarity	solidaarsus	Töötajad väljendasid solidaarsust.
solo	soolo	Ta andis välja sooloalbumi.
sound	mõistlik	Plaan on mõistlik ja praktiline.
sovereignty	suveräänsus	Leping kaitses riiklikku suveräänsust.
spam	rämpspost	Rämpspost täitis postkasti.
span	ulatuma üle	Sild ulatub üle jõe.
spark	vallandama	Väike märkus vallandas arutelu.
specialized	spetsialiseeritud	Kliinik pakub spetsialiseeritud ravi.
specification	spetsifikatsioon	Disain vastab igale spetsifikatsioonile.
specimen	proov	Proovi hoiti turvaliselt.
spectacle	vaatepilt	Paraad oli elav vaatepilt.
spectrum	spekter	Arvamused katavad laia spektri.
spell	periood	Kuiv periood kestis nädalaid.
sphere	valdkond	Poliitika sisenes kultuurivaldkonda.
spin	pöörlema	Rattad hakkasid pöörlema.
spine	selgroog	Vigastus mõjutas tema selgroogu.
spotlight	tähelepanu keskpunkt	Skandaal asetas ta tähelepanu keskpunkti.
spouse	abikaasa	Tema abikaasa osales tseremoonial.
spy	spioon	Spioon saatis kodeeritud sõnumeid.
squad	meeskond	Päästemeeskond saabus kiiresti.
squeeze	pigistama	Pigistage käepidet õrnalt.
stab	pussama	Aruanne kirjeldas torkehaava.
stability	stabiilsus	Poliitika tõi stabiilsuse.
stabilize	stabiliseerima	Ravim aitas teda stabiliseerida.
stake	osalus	Investoritel on siin osalus.
standing	positsioon	Tema positsioon erakonnas tõusis.
stark	tugev	Tulemused näitasid tugevat kontrasti.
statistical	statistiline	Uuringus kasutati statistilisi meetodeid.
steer	suunama	Ta proovis arutelu suunata.
stem	vars	Vars murdus tormis.
stereotype	stereotüüp	Film esitas stereotüübile väljakutse.
stimulus	stiimul	Pakett pakkus majanduslikku stiimulit.
stir	segama	Segage kastet aeglaselt.
storage	hoiustamine	Rajatis pakub turvalist hoiustamist.
straightforward	arusaadav	Juhised olid arusaadavad.
strain	pinge	Pikk viivitus põhjustas pingeid.
strand	salk	Juuksesalk langes.
strategic	strateegiline	Ettevõte tegi strateegilise investeeringu.
strip (long narrow piece)	riba	Lõigake kitsas pabeririba.
strip (remove clothes/a layer)	eemaldama	Eemaldage vana värv ettevaatlikult.
strive	püüdlema	Nad püüdlevad tipptaseme poole.
structural	struktuurne	Sillal on struktuursed kahjustused.
stumble	komistama	Ta komistas trepil.
stun	jahmatama	Uudised võivad inimesi jahmatada.
submission	esitamine	Esitamise tähtaeg on möödas.
subscriber	tellija	Iga tellija saab uuendusi.
subscription	tellimus	Tellimus uueneb automaatselt.
subsidy	toetus	Toetus vähendas kütusekulusid.
substantial	märkimisväärne	Projekt vajab märkimisväärset rahastamist.
substantially	märkimisväärselt	Hind tõusis märkimisväärselt.
substitute	asendaja	Kasutage piima asendajana.
substitution	asendamine	Asendamine muutis retsepti.
subtle	peen	Maalil on peened detailid.
suburban	äärelinna	Nad kolisid äärelinna.
succession	jada	Kriis järgnes ebaõnnestumiste jadale.
successive	järjestikune	Järjestikused valitsused eirasid seda probleemi.
successor	järeltulija	Järeltulija alustab esmaspäeval.
suck	imema	Masin suudab tolmu imeda.
sue	kohtusse kaebama	Ta otsustas ettevõtte kohtusse kaevata.
suicide	enesetapp	Enesetappude ennetamine vajab püsivat rahastamist.
suite	sviit	Hotellisviidist avanes vaade jõele.
summit	tippkohtumine	Juhid kohtusid tippkohtumisel.
superb	suurepärane	Esitus oli suurepärane.
superior	parem	Uus mudel on parem.
supervise	järelevalvet teostama	Ta hakkab praktikantide üle järelevalvet teostama.
supervision	järelevalve	Lapsed vajavad täiskasvanu järelevalvet.
supervisor	juhendaja	Küsige kõigepealt oma juhendajalt.
supplement	lisa	Aruanne sisaldab lisa.
supportive	toetav	Tema perekond oli toetav.
supposedly	arvatavasti	Fail oli arvatavasti kustutatud.
suppress	maha suruma	Režiim püüdis proteste maha suruda.
supreme	ülem	Ülemkohus arutas asja.
surge	pinge tõus	Äkiline pinge tõus kahjustas seadmeid.
surgical	kirurgiline	Patsient vajab kirurgilist ravi.
surplus	ülejääk	Laos on ülejääk.
surrender	alla andma	Sõdurid nõustusid alla andma.
surveillance	valve	Valvekaamerad salvestasid sissepääsu.
suspension	peatamine	Peatamine kestis kaks nädalat.
suspicion	kahtlus	Tema käitumine äratas kahtlust.
suspicious	kahtlane	Pakk tundus kahtlane.
sustain	säilitama	Projekt suudab säilitada kohalikke töökohti.
swing	kiikuma	Uks hakkas kiikuma.
sword	mõõk	Mõõk rippus seinal.
symbolic	sümboolne	Žest oli sümboolne.
syndrome	sündroom	Sündroom mõjutab mälu.
synthesis	süntees	Peatükk pakub sünteesi.
systematic	süstemaatiline	Ülevaade oli süstemaatiline.
tactic	taktika	Taktika ebaõnnestus kiiresti.
tactical	taktikaline	Meeskond tegi taktikalise muudatuse.
taxpayer	maksumaksja	Maksumaksja raha rahastas silda.
tempt	ahvatlema	Pakkumine võib investoreid ahvatleda.
tenant	üürnik	Üürnik maksis üüri varem.
tender	õrn	Ta naeratas õrnalt.
tenure	ametiaeg	Tema ametiaeg kestis kuus aastat.
terminal	parandamatu	Patsiendil oli parandamatu haigus.
terminate	lõpetama	Ettevõte võib lepingu lõpetada.
terrain	maastik	Maastik oli keeruline.
terrific	vapustav	Vaade oli vapustav.
testify	tunnistama	Ta nõustus tunnistama.
testimony	tunnistus	Tema tunnistus oli üksikasjalik.
texture	tekstuur	Kangal on kare tekstuur.
thankfully	õnneks	Õnneks keegi viga ei saanud.
theatrical	teatraalne	Kõne kõlas teatraalselt.
theology	teoloogia	Ta õppis ülikoolis teoloogiat.
theoretical	teoreetiline	Mudel on puhtalt teoreetiline.
thereafter	seejärel	Seejärel reeglid muutusid.
thereby	seeläbi	Muudatus vähendas kulusid, päästes seeläbi töökohti.
thoughtful	läbimõeldud	Tema vastus oli läbimõeldud.
thought-provoking	mõtlemapanev	Artikkel oli mõtlemapanev.
thread	niit	Niit katkes kergesti.
threshold	künnis	Hääletus ületas künnise.
thrilled	vaimustatud	Ta oli uudistest vaimustatud.
thrive	õitsema	Väikeettevõtted võivad siin õitseda.
tide	tõusulaine	Tõusulaine tõusis kiiresti.
tighten	kinni keerama	Keerake kaas kõvasti kinni.
timber	puit	Maja kasutab kohalikku puitu.
timely	õigeaegne	Hoiatus oli õigeaegne.
tobacco	tubakas	Tubakamüük vähenes.
tolerance	sallivus	Poliitika soodustab sallivust.
tolerate	taluma	Me ei saa taluda väärkohtlemist.
toll	lõiv	Torm nõudis ränka lõivu.
top	ületama	Müük võib ületada eelmise aasta rekordi.
torture	piinamine	Leping keelustab piinamise absoluutselt.
