source_headword	MS	example_MS
conclusion	kesimpulan	Kesimpulannya kelihatan munasabah.
confident	yakin	Dia berasa yakin sebelum temu duga.
confirm	mengesahkan	Sila sahkan alamat e-mel kamu.
confuse	mengelirukan	Dua nama ini mengelirukan saya.
confused	keliru	Saya berasa keliru dengan peta itu.
connection	sambungan	Sambungan internet itu perlahan.
consequence	akibat	Kurang tidur mempunyai akibat.
consist	terdiri	Hidangan itu terdiri daripada tiga sajian.
consume	menggunakan	Kereta besar menggunakan lebih banyak bahan api.
consumer	pengguna	Pengguna mahukan maklumat yang jelas.
contact	hubungi	Hubungi saya selepas makan tengah hari.
container	bekas	Masukkan sup ke dalam bekas.
content1	kandungan	Kandungan kursus itu berguna.
continuous	berterusan	Mesin itu mengeluarkan bunyi berterusan.
contrast	kontras	Kontras antara mereka jelas.
convenient	mudah	Stesen itu sangat mudah.
convince	meyakinkan	Dia meyakinkannya untuk mencuba lagi.
costume	kostum	Dia memakai kostum lanun.
cottage	kotej	Mereka menyewa kotej kecil.
cotton	kapas	Baju ini dibuat daripada kapas.
countryside	desa	Kami berjalan melalui desa.
court	mahkamah	Kes itu dibawa ke mahkamah.
covered	tertutup	Meja itu tertutup dengan kertas.
cruel	kejam	Mentertawakannya adalah kejam.
cultural	budaya	Muzium itu menawarkan acara budaya.
currency	mata wang	Mata wang tempatan ialah euro.
current	semasa	Keadaan semasa sukar.
currently	pada masa ini	Dia pada masa ini belajar di luar negara.
curtain	langsir	Tutup langsir pada waktu malam.
custom	adat	Adat ini sangat lama.
damage	kerosakan	Ribut itu menyebabkan kerosakan serius.
decade	dekad	Mereka tinggal di sana selama satu dekad.
decorate	menghias	Kami menghias bilik itu bersama-sama.
define	mentakrifkan	Bolehkah kamu mentakrifkan istilah ini?
definite	pasti	Kami memerlukan jawapan yang pasti.
definition	definisi	Tulis definisi itu dalam buku nota kamu.
deliver	menghantar	Mereka menghantar makanan ke rumah kami.
departure	pelepasan	Masa pelepasan berubah.
despite	walaupun	Walaupun hujan, kami berjalan.
destination	destinasi	Paris ialah destinasi akhir mereka.
determine	menentukan	Ujian menentukan tahap kamu.
determined	berazam	Dia berazam untuk berjaya.
development	pembangunan	Pembangunan bandar itu pesat.
diagram	rajah	Lukis rajah yang mudah.
diamond	berlian	Cincin itu mempunyai berlian kecil.
difficulty	kesukaran	Dia mengalami kesukaran membuka pintu.
directly	secara langsung	Sila bercakap secara langsung dengan saya.
dirt	kotoran	Kasutnya diliputi kotoran.
disadvantage	kekurangan	Perjalanan panjang itu ialah kekurangan.
disappointed	kecewa	Dia berasa kecewa dengan keputusan itu.
disappointing	mengecewakan	Pengakhiran itu mengecewakan.
discount	diskaun	Pelajar mendapat diskaun di sini.
dislike	tidak suka	Saya tidak suka muzik yang sangat kuat.
divide	membahagikan	Bahagikan kek itu kepada beberapa keping.
documentary	dokumentari	Kami menonton dokumentari tentang angkasa.
donate	menderma	Ramai orang menderma pakaian lama.
doubt	keraguan	Saya tiada keraguan tentang perkara itu.
dressed	berpakaian	Dia berpakaian hitam.
drum	gendang	Bunyi gendang kedengaran di seluruh bilik.
drunk	mabuk	Pemandu itu mabuk.
due	kena hantar	Laporan itu kena hantar esok.
dust	habuk	Habuk menutupi buku-buku lama.
duty	tugas	Menolong ialah tugas saya.
earthquake	gempa bumi	Gempa bumi itu merosakkan jambatan.
eastern	timur	Pantai timur berangin.
economic	ekonomi	Negara itu menghadapi masalah ekonomi.
economy	ekonomi	Ekonomi berkembang tahun ini.
edge	tepi	Berdiri jauh dari tepi.
editor	penyunting	Penyunting memeriksa artikel itu.
educate	mendidik	Sekolah mendidik orang muda.
educated	berpendidikan	Dia sangat berpendidikan.
educational	pendidikan	Permainan itu bersifat pendidikan.
effective	berkesan	Ubat ini berkesan.
effectively	dengan berkesan	Dia menerangkan peraturan itu dengan berkesan.
effort	usaha	Usaha kamu membuat perbezaan.
election	pilihan raya	Keputusan pilihan raya itu rapat.
element	unsur	Kepercayaan ialah unsur penting.
embarrassed	malu	Dia berasa malu selepas jatuh.
embarrassing	memalukan	Itu ialah kesilapan yang memalukan.
emergency	kecemasan	Hubungi nombor ini dalam kecemasan.
emotion	emosi	Takut ialah emosi yang kuat.
employment	pekerjaan	Pekerjaan meningkat bulan ini.
encourage	menggalakkan	Guru menggalakkan pelajar membaca.
enemy	musuh	Dua negara itu ialah musuh.
engaged	bertunang	Mereka bertunang pada musim bunga lalu.
engineering	kejuruteraan	Dia belajar kejuruteraan di universiti.
entertain	menghiburkan	Penyanyi itu akan menghiburkan tetamu.
entertainment	hiburan	Bandar itu menawarkan hiburan malam.
entrance	pintu masuk	Temui saya di pintu masuk.
entry	kemasukan	Kemasukan percuma untuk kanak-kanak.
environmental	alam sekitar	Kami membincangkan masalah alam sekitar.
episode	episod	Episod terakhir itu mengujakan.
equal	sama	Mereka menerima gaji yang sama.
equally	sama rata	Kerja itu dikongsi sama rata.
escape	melarikan diri	Para banduan cuba melarikan diri.
essential	penting	Air penting untuk kehidupan.
eventually	akhirnya	Akhirnya, kami menjumpai hotel itu.
examine	memeriksa	Doktor memeriksa lengan saya.
exchange	pertukaran	Kami membuat pertukaran di kedai.
excitement	keterujaan	Permainan itu penuh dengan keterujaan.
exhibition	pameran	Pameran seni itu dibuka esok.
expand	berkembang	Syarikat itu merancang untuk berkembang.
expected	dijangka	Kos yang dijangka adalah tinggi.
expedition	ekspedisi	Ekspedisi itu melintasi gurun.
experienced	berpengalaman	Dia jururawat yang berpengalaman.
explode	meletup	Botol itu mungkin meletup di bawah panas.
explore	meneroka	Kami meneroka bandar lama itu.
explosion	letupan	Letupan itu memecahkan beberapa tingkap.
export	eksport	Kopi ialah eksport yang penting.
fairly	agak	Ujian itu agak mudah.
familiar	biasa	Wajahnya kelihatan biasa.
fancy	mahu	Adakah kamu mahu kopi?
fascinating	menarik	Cerita itu menarik.
fashionable	bergaya	Kasut itu bergaya.
fasten	mengikat	Ikat tali pinggang keledar kamu.
favour	bantuan	Bolehkah kamu menolong saya?
fence	pagar	Pagar itu mengelilingi taman.
fighting	pertempuran	Pertempuran berhenti pada waktu subuh.
file	fail	Simpan fail itu sebelum menutup.
financial	kewangan	Dia memerlukan nasihat kewangan.
fitness	kecergasan	Berlari meningkatkan kecergasan kamu.
fixed	tetap	Harga itu tetap.
flag	bendera	Bendera itu berkibar di atas sekolah.
flood	banjir	Banjir itu merosakkan banyak rumah.
flour	tepung	Tambah tepung ke dalam mangkuk.
flow	mengalir	Sungai itu mengalir melalui bandar.
fold	melipat	Lipat kertas itu separuh.
folk	rakyat	Muzik rakyat memenuhi dewan.
force	daya	Angin itu mempunyai daya yang besar.
forever	selamanya	Saya akan mengingati ini selamanya.
frame	bingkai	Foto itu memerlukan bingkai.
freeze	membeku	Air akan membeku semalaman.
frequently	kerap	Dia kerap melawat ibu bapanya.
friendship	persahabatan	Persahabatan mereka berlangsung selama bertahun-tahun.
frighten	menakutkan	Bunyi kuat menakutkan bayi itu.
frightened	takut	Kanak-kanak itu kelihatan takut.
frightening	menakutkan	Ribut itu menakutkan.
frozen	beku	Tasik itu beku.
fry	menggoreng	Goreng bawang itu selama lima minit.
fuel	bahan api	Kereta itu memerlukan lebih banyak bahan api.
function	fungsi	Butang ini mempunyai satu fungsi.
fur	bulu	Kucing itu mempunyai bulu lembut.
garage	garaj	Kereta itu berada di garaj.
gather	berkumpul	Kami berkumpul di sekeliling meja.
generally	secara umum	Dia secara umum tiba awal.
generation	generasi	Setiap generasi menghadapi masalah baharu.
generous	pemurah	Dia pemurah dengan masanya.
gentle	lembut	Gunakan suara yang lembut.
gentleman	tuan	Lelaki itu membuka pintu.
ghost	hantu	Cerita itu menyebut hantu.
giant	gergasi	Skrin gergasi memenuhi pentas.
glad	gembira	Saya gembira kamu datang.
global	global	Perubahan iklim ialah isu global.
glove	sarung tangan	Saya kehilangan satu sarung tangan.
goods	barang	Barang itu tiba lewat.
grade	gred	Dia mendapat gred tinggi.
graduate	graduan	Dia graduan baru.
grain	butir	Sebutir beras jatuh.
grateful	berterima kasih	Saya berterima kasih atas sokongan kamu.
growth	pertumbuhan	Tumbuhan itu menunjukkan pertumbuhan yang stabil.
guard	pengawal	Pengawal memeriksa tiket kami.
guilty	bersalah	Dia berasa bersalah kerana berbohong.
hang	menggantung	Gantung kot kamu di sini.
happiness	kebahagiaan	Wang tidak dapat membeli kebahagiaan.
hardly	hampir tidak	Saya hampir tidak dapat mendengar kamu.
headline	tajuk utama	Tajuk utama itu menarik perhatian saya.
heating	pemanasan	Pemanasan berhenti berfungsi.
heavily	dengan lebat	Hujan turun dengan lebat sepanjang malam.
helicopter	helikopter	Sebuah helikopter mendarat berhampiran.
highlight	menyerlahkan	Sila serlahkan idea utama.
highly	sangat	Dia sangat dihormati.
hire	menyewa	Kami perlu menyewa kereta.
historic	bersejarah	Kami melawat bangunan bersejarah.
historical	sejarah	Dia suka novel sejarah.
honest	jujur	Sila berikan jawapan yang jujur.
horrible	mengerikan	Bau itu mengerikan.
horror	seram	Dia suka filem seram.
host	tuan rumah	Tuan rumah menyambut setiap tetamu.
