simplified	FR	example_FR
不惜	ne pas hésiter à; ne pas ménager	Pour sauver quelqu'un, il n'a pas hésité à prendre des risques.
不相上下	à égalité; de force égale	Les deux équipes sont de force égale.
不言而喻	aller de soi	L'importance de l'honnêteté va de soi.
不由得	ne pas pouvoir s'empêcher de	En voyant cette vieille photo, je n'ai pas pu m'empêcher de penser à mon enfance.
不择手段	utiliser tous les moyens	Pour gagner de l'argent, il utilise tous les moyens.
不止	plus de; ne pas se limiter à	Plus de cent personnes ont assisté à la réunion.
布告	avis; annonce	Un avis a été affiché à l'entrée de l'école.
布局	agencement; disposition	L'agencement de cet appartement est très raisonnable.
布置	arranger; assigner	Le professeur a donné de nouveaux devoirs.
步伐	pas; rythme	L'équipe avançait d'un pas régulier.
部署	déployer; mettre en place	L'entreprise met en place un nouveau plan de vente.
部位	partie; zone	Le médecin a examiné la zone blessée.
才干	talent; compétence	Elle a beaucoup de talent en gestion.
裁缝	tailleur; couturier	Ce tailleur est très habile.
裁判	arbitre	L'arbitre a annoncé la pause du match.
裁员	licencier du personnel	L'entreprise a décidé de licencier du personnel à cause des pertes.
财富	richesse	La connaissance est aussi une forme de richesse.
财务	finances; affaires financières	Le service financier vérifie les comptes.
财政	finances publiques	Les recettes fiscales ont quelque peu augmenté cette année.
彩票	billet de loterie	Il achète parfois un billet de loterie.
采购	acheter; approvisionner	L'entreprise a envoyé quelqu'un acheter du matériel.
采集	collecter; recueillir	Les chercheurs ont collecté des échantillons dans la forêt.
采纳	adopter; accepter	Le dirigeant a adopté notre suggestion.
参谋	conseiller; donner des conseils	Il conseille souvent le directeur.
参照	se référer à	Veuillez remplir le formulaire selon ce modèle.
残疾	handicapé	Cette gare fournit de l'aide aux passagers handicapés.
残酷	cruel	La guerre est très cruelle.
残留	rester; subsister	Il reste encore une odeur de café dans la tasse.
残忍	cruel; impitoyable	Maltraiter les animaux est un acte cruel.
灿烂	éclatant; radieux	Elle a affiché un sourire radieux.
仓促	précipité; hâtif	Cette décision a été prise trop hâtivement.
仓库	entrepôt	Les marchandises ont déjà été livrées à l'entrepôt.
舱	cabine	Les passagers entrent dans la cabine.
苍白	pâle	Son visage paraissait très pâle.
操劳	travailler dur; se donner du mal	Sa mère s'est donnée du mal pour cette famille pendant des années.
操练	s'exercer; entraînement	Les soldats s'entraînent chaque matin.
操纵	contrôler; manipuler	Cette machine est contrôlée par ordinateur.
操作	faire fonctionner; opérer	Veuillez faire fonctionner l'équipement selon les instructions.
嘈杂	bruyant	La gare est très bruyante.
草案	projet; ébauche	Le comité discute du projet.
草率	imprudent; négligent	Une décision aussi importante ne peut pas être prise à la légère.
侧面	côté; aspect	Vu de côté, ce bâtiment semble plus haut.
测量	mesurer	L'ingénieur mesure la longueur du pont.
策划	planifier; organiser	Ils ont planifié un grand événement.
策略	stratégie	Cette stratégie a aidé l'entreprise à réduire les coûts.
层出不穷	apparaître sans cesse	De nouveaux problèmes apparaissent sans cesse.
层次	structure; niveau	La structure de cet article est très claire.
差别	différence	Il n'y a pas beaucoup de différence entre les deux méthodes.
插座	prise électrique	Il n'y a pas assez de prises dans cette pièce.
查获	saisir; découvrir	La douane a saisi un lot de marchandises contrefaites.
刹那	instant	En un instant, toutes les lumières se sont éteintes.
岔	se séparer; bifurcation	Les voitures se sont séparées au carrefour devant.
诧异	surpris; étonné	Sa décision a beaucoup surpris tout le monde.
柴油	diesel; gazole	Ce camion utilise du diesel.
搀	soutenir par le bras	L'infirmière a soutenu la personne âgée pour entrer dans la chambre.
缠绕	s'enrouler; s'entrelacer	Les lianes s'enroulent autour des branches.
馋	avoir envie de manger	En voyant le gâteau, l'enfant en avait envie.
产业	industrie	Le tourisme est une industrie importante ici.
阐述	exposer; expliquer en détail	Le professeur a expliqué son point de vue en détail.
颤抖	trembler	Elle tremblait de froid de tout son corps.
昌盛	prospère	Nous espérons que le pays sera prospère.
偿还	rembourser	Il a remboursé le prêt à temps.
尝试	essayer	Nous pouvons essayer une nouvelle méthode.
场合	occasion; situation	Ce genre d'occasion ne convient pas aux plaisanteries.
场面	scène; ambiance	La scène du mariage était très animée.
场所	lieu	C'est un lieu public, veuillez ne pas fumer.
敞开	ouvrir grand	Veuillez laisser la fenêtre grande ouverte un moment.
倡导	préconiser; promouvoir	L'école préconise un mode de vie sain.
倡议	initiative; proposer	Cette initiative écologique a reçu du soutien.
畅通	fluide; dégagé	Après l'arrêt de la pluie, la route est redevenue dégagée.
畅销	se vendre très bien	Ce roman se vend très bien.
超越	dépasser; surpasser	Il a enfin dépassé son propre record.
钞票	billet de banque	Il ne restait que quelques billets dans le portefeuille.
嘲笑	se moquer de	Ne te moque pas des défauts des autres.
巢穴	nid; repaire	Le chasseur a découvert le repaire de l'animal.
朝代	dynastie	La dynastie Tang est une dynastie de l'histoire chinoise.
潮流	tendance; courant	Les jeunes suivent de près les tendances de la mode.
撤退	battre en retraite; se retirer	Les troupes se sont retirées après avoir reçu l'ordre.
撤销	révoquer; annuler	Le tribunal a annulé le jugement initial.
沉淀	se déposer; précipiter	La vase se déposera lentement.
沉闷	lourd; oppressant	Le temps aujourd'hui est chaud et lourd.
沉思	méditer; être plongé dans ses pensées	Il était assis près de la fenêtre, plongé dans ses pensées.
沉重	lourd; grave	Cette nouvelle a rendu tout le monde le coeur lourd.
沉着	calme; posé	Il faut rester calme face au danger.
陈旧	vieilli; démodé	Cette machine est déjà très démodée.
陈列	exposer; présenter	De nombreux objets culturels sont exposés dans la salle d'exposition.
陈述	exposer; déclarer	Veuillez exposer clairement les faits.
称心如意	satisfaisant; conforme aux souhaits	Ce travail lui donne entière satisfaction.
衬托	mettre en valeur	Le mur blanc met en valeur la couleur des fleurs.
称号	titre	Il a reçu le titre d'enseignant remarquable.
乘	prendre; utiliser	Je prends le métro pour aller au travail tous les jours.
呈现	présenter; prendre	Le ciel a pris une légère couleur rouge.
城堡	château	Il y a un vieux château au sommet de la montagne.
惩罚	punir; sanction	L'école punira les élèves qui trichent.
成本	coût	La hausse du prix des matières premières a augmenté les coûts.
成交	conclure une affaire	Cette affaire commerciale a finalement été conclue.
成天	toute la journée; tout le temps	Il reste assis devant l'ordinateur toute la journée.
成效	effet; résultat	La nouvelle méthode de gestion a rapidement produit des résultats.
成心	intentionnel; exprès	Il ne t'a pas embarrassé exprès.
成员	membre	Chaque membre doit assister à la réunion.
承办	organiser; prendre en charge	Cette entreprise a organisé l'exposition.
承包	prendre en charge par contrat	Ils ont pris en charge ce projet par contrat.
承诺	promettre; engagement	Il a promis de terminer la tâche à temps.
橙	orange	J'ai acheté plusieurs oranges fraîches.
澄清	clarifier	Le directeur est venu clarifier le malentendu.
盛	servir; contenir	Elle a servi un bol de soupe à l'invité.
诚挚	sincère; chaleureux	Veuillez accepter mes remerciements sincères.
秤	balance	Cette balance n'est pas très précise.
吃苦	endurer les difficultés	Les jeunes devraient apprendre à endurer les difficultés.
吃力	demander beaucoup d'efforts	Déplacer cette boîte demande beaucoup d'efforts.
持久	durable; persistant	Le succès exige des efforts durables.
迟钝	lent; peu réactif	Ses réactions sont un peu lentes récemment.
迟缓	lent; ralenti	Après la pluie, la circulation est devenue lente.
迟疑	hésiter	Elle a hésité un moment avant de répondre.
赤道	équateur	Il fait chaud toute l'année près de l'équateur.
赤字	déficit	L'entreprise a enregistré un déficit cette année.
充当	servir de; jouer le rôle de	Il a servi de coordinateur dans le projet.
充沛	abondant; plein d'énergie	Les enfants sont pleins d'énergie.
充实	enrichissant; rendre plus riche	Cette expérience a rendu ma vie plus enrichissante.
充足	suffisant; abondant	Préparez suffisamment d'eau avant le voyage.
冲动	impulsion	Ne prends pas de décision sous le coup d'une impulsion.
冲击	impact; choc	Les nouvelles technologies ont eu un impact sur les industries traditionnelles.
冲突	conflit	Les deux parties ont essayé d'éviter le conflit.
崇拜	admirer; vénérer	Beaucoup de jeunes admirent ce scientifique.
崇高	noble; sublime	Le devoir d'un médecin est noble.
崇敬	respecter profondément	Tous les élèves respectent beaucoup ce professeur.
重叠	se chevaucher	Ces deux tâches se chevauchent en partie.
稠密	dense	La population ici est très dense.
筹备	préparer	Ils préparent le mariage.
丑恶	laid; ignoble	Il a révélé la vérité ignoble derrière l'incident.
出路	issue; voie d'avenir	L'éducation peut offrir plus de voies d'avenir aux jeunes.
出卖	trahir; vendre	Il ne trahirait pas ses amis.
出身	origine familiale	Il vient d'une famille ordinaire.
出神	être absorbé	Elle était absorbée par la musique.
出息	perspectives; avenir prometteur	Cet enfant aura un avenir prometteur.
初步	préliminaire	Nous avons déjà conclu un accord préliminaire.
除	sauf; exclure	Tout le monde est arrivé sauf lui.
储备	réserver; réserve	L'entreprise doit réserver davantage de fonds.
储存	stocker	Ces données seront stockées automatiquement.
储蓄	épargner; épargne	Il épargne une partie de son salaire chaque mois.
处分	sanction disciplinaire	L'école lui a infligé une sanction disciplinaire sévère.
处境	situation difficile	Leur situation actuelle est très difficile.
处置	traiter; gérer	Ces anciens équipements doivent être traités correctement.
触犯	violer; enfreindre	Faire cela violera la loi.
川流不息	flux incessant	Les véhicules circulent sans cesse dans la rue.
穿越	traverser	Le train a traversé le long tunnel.
传达	transmettre; communiquer	Veuillez transmettre ce message à tout le monde.
传单	tract; prospectus	Les bénévoles distribuaient des tracts dans la rue.
传授	transmettre; enseigner	Le professeur a transmis son expérience aux élèves.
船舶	navire	De nombreux navires sont amarrés dans le port.
喘气	haleter	Il haletait sans arrêt après avoir couru.
串	enfiler; enchaîner	Elle a enfilé les perles pour en faire un collier.
床单	drap	Veuillez changer le drap.
创立	fonder	Ils ont fondé cette entreprise ensemble.
创新	innover; innovation	Le développement de l'entreprise exige une innovation constante.
创业	entreprendre; créer une entreprise	Beaucoup de jeunes choisissent de créer leur entreprise.
创作	créer; composer	L'écrivain est en train d'écrire un long roman.
吹牛	se vanter	Ne te vante pas, apporte des preuves.
吹捧	encenser; flatter	Les médias ont trop encensé ce produit.
炊烟	fumée des cuisines	Au crépuscule, la fumée des cuisines s'est élevée dans le village.
垂直	vertical; perpendiculaire	Ces deux lignes sont perpendiculaires.
锤	marteau	L'ouvrier frappe la plaque de fer avec un marteau.
纯粹	purement; pur	Son aide venait purement d'une bonne intention.
纯洁	pur; innocent	Le coeur des enfants est très pur.
慈善	charité; caritatif	Cette entreprise participe souvent à des activités caritatives.
慈祥	bienveillant; doux	Le sourire de grand-mère est très bienveillant.
磁带	cassette; bande magnétique	Cette vieille cassette peut encore être lue.
雌雄	mâle et femelle	Chez cet oiseau, le mâle et la femelle ont des couleurs différentes.
伺候	servir; s'occuper de	L'infirmière s'occupe soigneusement du patient.
刺	épine; piquer	Il y a beaucoup d'épines sur les branches du rosier.
次品	produit défectueux	Ces produits défectueux ne peuvent pas être vendus.
次序	ordre; séquence	Veuillez faire la queue dans l'ordre.
丛	touffe; groupe	Il y a une touffe de fleurs sauvages au bord de la route.
从容	calme; sans hâte	Elle a répondu calmement à la question.
凑合	se débrouiller; faire avec	La chambre n'est pas grande, mais on peut quand même y vivre provisoirement.
粗鲁	grossier; rude	Il parle de façon trop grossière.
窜	filer; se précipiter	Le chat a filé dans la maison d'un coup.
摧残	ravager; détruire	Une pollution prolongée ravagera cette forêt.
脆弱	fragile; vulnérable	Les objets en verre sont très fragiles.
搓	frotter; rouler entre les mains	Il s'est frotté les mains glacées.
磋商	négocier; consulter	Les deux parties continueront à négocier.
挫折	revers; échec	Tout le monde rencontre des revers.
搭	prendre; monter	Nous prenons le bus pour aller à l'aéroport.
搭档	partenaire	Il est mon partenaire de travail depuis de nombreuses années.
搭配	assortir; aller ensemble	Cette veste va bien avec ce pantalon.
答辩	soutenance; répondre	Le doctorant prépare sa soutenance.
答复	réponse; répondre	Veuillez me donner une réponse dès que possible.
达成	parvenir à; conclure	Les deux parties ont enfin conclu un accord.
打包	emballer; emporter	Le serveur nous a aidés à emballer les restes.
打官司	intenter un procès	Ils ont intenté un procès à cause d'un problème de contrat.
打击	coup; frapper	Cet échec lui a porté un grand coup.
打架	se battre	Les élèves qui se battent sur le campus seront sanctionnés.
打量	examiner; dévisager	Elle m'a examiné de haut en bas.
打猎	chasser	La chasse est interdite ici.
打仗	faire la guerre; combattre	Personne ne veut faire la guerre.
大不了	au pire	Au pire, nous réessaierons demain.
大臣	ministre	Le roi a convoqué plusieurs ministres.
大伙儿	tout le monde	Tout le monde attend ta décision.
大肆	massivement; sans retenue	Les commerçants font massivement la promotion du nouveau produit.
大体	dans l'ensemble; globalement	Dans l'ensemble, le plan ne pose pas de problème.
大意	idée générale	Veuillez d'abord expliquer l'idée générale de cet article.
大致	approximativement; à peu près	J'ai à peu près compris le déroulement de l'affaire.
歹徒	malfaiteur; gangster	La police a rapidement arrêté le malfaiteur.
代价	prix; coût	Le succès exige souvent de payer un prix.
代理	remplacer; agir comme agent	Il remplace temporairement le directeur.
带领	guider; diriger	Le professeur a guidé les élèves dans la visite du musée.
怠慢	négliger; manquer d'égards	Nous ne pouvons pas manquer d'égards envers les invités.
逮捕	arrêter; arrestation	La police a arrêté le principal suspect.
担保	garantir; se porter garant	La banque exige que quelqu'un se porte garant.
胆怯	timide; craintif	Il était un peu craintif lors de son premier discours.
淡季	basse saison	Les billets d'avion sont moins chers en basse saison touristique.
淡水	eau douce	Ce poisson ne peut vivre qu'en eau douce.
蛋白质	protéine	Les oeufs contiennent beaucoup de protéines.
诞辰	anniversaire de naissance	Aujourd'hui est l'anniversaire de naissance de cet écrivain.
诞生	naître; voir le jour	Cette idée est née pendant la discussion.
当场	sur-le-champ; sur place	Il a reconnu son erreur sur-le-champ.
当初	à l'époque; au début	À l'époque, nous soutenions tous cette décision.
当代	contemporain; époque actuelle	La société contemporaine change très vite.
当面	en face; en personne	S'il y a un problème, mieux vaut l'expliquer en personne.
当前	actuel; présent	Actuellement, le plus important est d'assurer la sécurité.
当事人	partie concernée; personne impliquée	La police interroge les personnes impliquées.
当务之急	priorité absolue	Résoudre le problème du logement est la priorité absolue.
当选	être élu	Elle a été élue présidente sans difficulté.
党	parti	Ce parti a proposé une nouvelle politique.
档案	dossier; archives	L'école conserve les dossiers des élèves.
档次	niveau; catégorie	Cet hôtel est de très haut niveau.
倒闭	faire faillite; fermer	Ce petit magasin a fait faillite l'année dernière.
导弹	missile	Les nouvelles ont rapporté un essai de missile.
导航	navigation; GPS	Veuillez ouvrir le GPS du téléphone.
导向	orientation; orienté vers	La politique éducative devrait être orientée vers l'équité.
捣乱	perturber; semer le trouble	Ne perturbez pas le cours, s'il vous plaît.
盗窃	vol; voler	Le centre commercial a renforcé les mesures pour prévenir le vol.
稻谷	riz non décortiqué	Les paysans récoltent le riz.
得不偿失	ne pas valoir la peine; les pertes dépassent les gains	Acheter des matériaux de mauvaise qualité pour économiser ne vaut pas la peine.
得力	compétent; efficace	Il est l'assistant efficace du directeur.
得天独厚	avantagé par des conditions exceptionnelles	Cette ville bénéficie d'avantages géographiques exceptionnels.
得罪	offenser; froisser	Je ne veux pas froisser mes collègues pour une petite affaire.
灯笼	lanterne	Des lanternes rouges sont suspendues à l'entrée pendant la Fête du Printemps.
登录	se connecter	Veuillez d'abord vous connecter à votre compte.
登陆	toucher terre; débarquer	Le typhon pourrait toucher la côte ce soir.
蹬	appuyer du pied; pousser du pied	Il a poussé fort du pied et le vélo a démarré.
等候	attendre	Les passagers attendent l'embarquement dans le hall.
等级	niveau; grade	Ce logiciel propose différents niveaux d'abonnement.
瞪	fixer du regard; regarder avec colère	Il m'a lancé un regard furieux.
堤坝	digue; barrage	Après la forte pluie, la digue doit être soigneusement inspectée.
敌视	hostilité; traiter en ennemi	Nous ne devrions pas traiter les opinions différentes avec hostilité.
抵达	arriver; atteindre	L'avion est arrivé à Pékin à l'heure.
抵抗	résister; résistance	Les villageois ont résisté ensemble à l'inondation.
抵制	boycotter; résister	Les consommateurs commencent à boycotter les produits de mauvaise qualité.
地步	état; situation	La situation n'est pas encore arrivée à ce point de gravité.
地势	relief; terrain	Le terrain est assez élevé ici, donc l'eau s'accumule difficilement.
地质	géologie	Les experts étudient la géologie locale.
递增	augmenter progressivement	Les ventes ont augmenté progressivement pendant trois mois de suite.
颠簸	secouer; cahoter	La route de montagne est très cahoteuse, il faut conduire prudemment.
颠倒	inverser; mettre à l'envers	Tu as inversé l'ordre des deux chiffres.
典礼	cérémonie	La cérémonie de remise des diplômes aura lieu dans l'auditorium.
典型	typique; cas représentatif	C'est un exemple typique de réussite.
点缀	décorer; orner	Quelques petites fleurs décorent la table.
垫	coussin; mettre dessous	Veuillez mettre cette feuille sous le verre.
奠定	jeter les bases; établir	Cette coopération a jeté les bases d'une relation durable.
惦记	se soucier de; penser avec inquiétude	La mère pense toujours avec inquiétude à son enfant au loin.
电源	alimentation électrique	Veuillez couper l'alimentation avant de sortir.
叼	tenir dans la bouche	Ce chien tient un os dans sa bouche.
雕刻	sculpter; graver	Il aime sculpter des motifs dans le bois.
雕塑	sculpture	Il y a une sculpture au centre de la place.
吊	suspendre; soulever	Les ouvriers soulèvent la poutre d'acier avec une machine.
调动	muter; transférer	L'entreprise l'a muté à Shanghai.
跌	baisser; tomber	Le prix des actions a encore baissé aujourd'hui.
丁	dé; petit morceau	La recette dit de couper les pommes de terre en dés.
