simplified	NE	example_NE
家	घर; परिवार	मेरो घर बेइजिङमा छ।
叫	भनिनु; बोलाउनु	तिम्रो नाम के हो?
今天	आज	आज गर्मी छ।
九	नौ	अहिले नौ बजेको छ।
开	खोल्नु; खोलिनु; चलाउनु	म कम्प्युटर खोल्छु।
看	हेर्नु; पढ्नु	म किताब पढ्छु।
看见	देख्नु	म शिक्षकलाई देख्छु।
块	टुक्रा; युआन	यो किताब दस युआन पर्छ।
来	आउनु	ऊ स्कूल आउँछ।
老师	शिक्षक; गुरु	शिक्षक स्कूलमा हुनुहुन्छ।
了	पूर्णता सूचक कण	मैले भात खाएँ।
冷	चिसो	आज चिसो छ।
里	भित्र; मा	कपमा पानी छ।
零	शून्य	शून्य एक होइन।
六	छ	अहिले छ बजेको छ।
妈妈	आमा	आमा चिया पिउनुहुन्छ।
吗	प्रश्नसूचक कण	के तिमी विद्यार्थी हौ?
买	किन्नु	म स्याउ किन्छु।
猫	बिरालो	बिरालो कुर्सीमा छ।
没	छैन; गरेको छैन	मसँग पैसा छैन।
没关系	केही छैन; फरक पर्दैन	केही छैन।
米饭	भात	म भात खान्छु।
名字	नाम	तिम्रो नाम के हो?
明天	भोलि	भोलि म बेइजिङ जान्छु।
哪	कुन; कहाँ	तिमी कहाँ जाँदै छौ?
那	त्यो; ती	उहाँ मेरो शिक्षक हुनुहुन्छ।
呢	प्रश्नसूचक कण; चाहिँ	तिमी चाहिँ?
能	सक्नु	के म जान सक्छु?
你	तिमी; तपाईं	तिमी सन्चै छौ?
年	वर्ष	एक वर्षमा बाह्र महिना हुन्छन्।
女儿	छोरी	उसकी छोरी धेरै राम्री छ।
朋友	साथी	ऊ मेरो साथी हो।
漂亮	सुन्दर; राम्रो; राम्री	उनी धेरै राम्री छिन्।
苹果	स्याउ	मलाई स्याउ मन पर्छ।
七	सात	अहिले सात बजेको छ।
前面	अगाडि	रेस्टुरेन्ट पसलको अगाडि छ।
钱	पैसा	मसँग पैसा छैन।
请	कृपया; निम्त्याउनु; सोध्नु	कृपया चिया पिउनुहोस्।
去	जानु	म स्कूल जान्छु।
热	तातो; गर्मी	आज गर्मी छ।
人	मान्छे; व्यक्ति; मानिसहरू	स्कूलमा धेरै मानिसहरू छन्।
认识	चिन्नु; थाहा हुनु	म उसलाई चिन्छु।
日	दिन; तारिख	आज मार्च एक तारिख हो।
三	तीन	मसँग तीनवटा कप छन्।
商店	पसल	पसल स्कूलको अगाडि छ।
上	माथि; मा	किताब टेबलमा छ।
上午	बिहान; पूर्वाह्न	बिहान म चिनियाँ भाषा पढ्छु।
少	थोरै	विद्यार्थीहरू थोरै छन्।
什么	के	यो के हो?
十	दस	मसँग दसवटा किताब छन्।
时候	समय; बेला	तिमी कहिले आउँछौ?
是	हुनु; हो	म विद्यार्थी हुँ।
书	किताब; पुस्तक	म किताब पढ्छु।
谁	को	ऊ को हो?
水	पानी	म पानी पिउँछु।
水果	फलफूल	म फलफूल किन्छु।
睡觉	सुत्नु	म सुत्न जान्छु।
说话	बोल्नु; कुरा गर्नु	शिक्षक बोल्दै हुनुहुन्छ।
四	चार	मसँग चार जना साथी छन्।
岁	वर्षको	म दस वर्षको छु।
他	ऊ; उनी	ऊ शिक्षक हो।
她	उनी; ऊ	उनी विद्यार्थीनी हुन्।
太	अति; धेरै	यो कप अति ठूलो छ।
天气	मौसम	आज मौसम राम्रो छ।
听	सुन्नु	म शिक्षकले बोलेको कुरा सुन्छु।
同学	सहपाठी	ऊ मेरो सहपाठी हो।
喂	हेलो	हेलो, नमस्ते।
我	म; मलाई	म डाक्टर हुँ।
我们	हामी	हामी स्कूल जान्छौँ।
五	पाँच	मसँग पाँचवटा स्याउ छन्।
喜欢	मन पराउनु	मलाई चिया पिउन मन पर्छ।
下	तल; मुनि; अर्को	किताब टेबलमुनि छ।
下午	दिउँसो; अपराह्न	दिउँसो म पसल जान्छु।
下雨	पानी पर्नु; वर्षा हुनु	आज पानी परिरहेको छ।
先生	सर; श्रीमान्; पति	सर, नमस्ते।
现在	अहिले	अहिले म स्कूलमा छु।
想	चाहनु; सोच्नु; सम्झनु	म पानी पिउन चाहन्छु।
小	सानो; सानी; साना	यो कप सानो छ।
小姐	मिस; सुश्री; युवती	मिस, नमस्ते।
些	केही; अलि	मसँग केही किताब छन्।
写	लेख्नु	म अक्षर लेख्छु।
谢谢	धन्यवाद	धन्यवाद।
星期	हप्ता; बार	आज सोमबार हो।
学生	विद्यार्थी; विद्यार्थीनी	म विद्यार्थी हुँ।
学习	पढ्नु; सिक्नु	म चिनियाँ भाषा सिक्छु।
学校	स्कूल; विद्यालय	स्कूल ठूलो छ।
一	एक	मसँग एउटा कप छ।
衣服	कपडा	म कपडा किन्छु।
医生	डाक्टर; चिकित्सक	उनी डाक्टर हुन्।
医院	अस्पताल	अस्पताल स्कूलको अगाडि छ।
椅子	कुर्सी	कुर्सी टेबलको पछाडि छ।
有	हुनु; सँग हुनु	मेरा साथीहरू छन्।
月	महिना; चन्द्रमा	आज मे चार तारिख हो।
再见	बिदा; फेरि भेटौँला	सर, बिदा।
在	मा; मा हुनु; गर्दै	म घरमा छु।
怎么	कसरी	यो अक्षर कसरी पढिन्छ?
怎么样	कस्तो; कस्तो छ	आज तिमीलाई कस्तो छ?
这	यो; यी	यो मेरो किताब हो।
中国	चीन	म चीन जान्छु।
中午	मध्याह्न; दिउँसो	मध्याह्नमा म भात खान्छु।
住	बस्नु; रहनु	म बेइजिङमा बस्छु।
桌子	टेबल; मेज	किताब टेबलमा छ।
字	अक्षर; शब्द	यो अक्षर सानो छ।
昨天	हिजो	हिजो मैले चलचित्र हेरेँ।
坐	बस्नु; सवारी चढ्नु	म हवाईजहाज चढेर बेइजिङ जान्छु।
做	गर्नु; बनाउनु	म खाना पकाउँछु।
