source_headword	KM	example_KM
outdoor	ក្រៅអគារ	យើងបានទិញគ្រឿងសង្ហារិមក្រៅអគារ។
outdoors	នៅខាងក្រៅ	កុមារគួរលេងនៅខាងក្រៅ។
package	កញ្ចប់	កញ្ចប់បានមកដល់ព្រឹកនេះ។
painful	ឈឺចាប់	មុខរបួសឈឺចាប់។
pale	ស្លេក	មុខរបស់គាត់មើលទៅស្លេក។
pan	ខ្ទះ	កំដៅខ្ទះជាមុនសិន។
participate	ចូលរួម	មនុស្សគ្រប់គ្នាអាចចូលរួម។
particularly	ជាពិសេស	ខ្ញុំជាពិសេសចូលចិត្តបទចម្រៀងនេះ។
passion	ចំណង់ចំណូលចិត្តខ្លាំង	តន្ត្រីជាចំណង់ចំណូលចិត្តខ្លាំងរបស់នាង។
path	ផ្លូវ	ដើរតាមផ្លូវកាត់សួន។
payment	ការបង់ប្រាក់	ការបង់ប្រាក់ដល់កំណត់ថ្ងៃស្អែក។
peaceful	ស្ងប់ស្ងាត់	សួនច្បារស្ងប់ស្ងាត់។
percentage	ភាគរយ	ភាគរយតិចតួចបានយល់ព្រម។
perfectly	យ៉ាងល្អឥតខ្ចោះ	ផែនការដំណើរការយ៉ាងល្អឥតខ្ចោះ។
performance	ការសម្តែង	ការសម្តែងរបស់នាងល្អឥតខ្ចោះ។
personally	ផ្ទាល់ខ្លួន	ផ្ទាល់ខ្លួនខ្ញុំចូលចិត្តតែជាង។
persuade	បញ្ចុះបញ្ចូល	តើអ្នកអាចបញ្ចុះបញ្ចូលគាត់ឱ្យចូលរួមបានទេ។
photographer	អ្នកថតរូប	អ្នកថតរូបបានថតរូបជាច្រើន។
photography	ការថតរូប	ការថតរូបជាចំណង់ចំណូលចិត្តដែលគាត់ចូលចិត្តបំផុត។
pin	ម្ជុលខ្ទាស់	ដាក់ម្ជុលខ្ទាស់លើផែនទី។
pipe	បំពង់	បំពង់ដឹកទឹក។
planning	ការធ្វើផែនការ	ការធ្វើផែនការចំណាយពេល។
pleasant	រីករាយ	យើងមានល្ងាចរីករាយមួយ។
pleasure	សេចក្តីរីករាយ	វាជាសេចក្តីរីករាយដែលបានជួបអ្នក។
plenty	ច្រើនគ្រប់គ្រាន់	យើងមានពេលច្រើនគ្រប់គ្រាន់។
plot	គ្រោងរឿង	គ្រោងរឿងងាយស្រួលតាមដាន។
plus1	បូក	ពីរបូកបីគឺប្រាំ។
poem	កំណាព្យ	នាងបានសរសេរកំណាព្យខ្លីមួយ។
poet	កវី	កវីបានអានដោយសំឡេងខ្លាំង។
poetry	កំណាព្យ	គាត់ចូលចិត្តកំណាព្យសម័យទំនើប។
poison	ពុល	ទុកពុលឱ្យឆ្ងាយពីកុមារ។
poisonous	មានពុល	ផ្សិតខ្លះមានពុល។
policy	គោលការណ៍	ក្រុមហ៊ុនបានផ្លាស់ប្តូរគោលការណ៍របស់ខ្លួន។
political	នយោបាយ	សុន្ទរកថានោះមានលក្ខណៈនយោបាយ។
politician	អ្នកនយោបាយ	អ្នកនយោបាយបានឆ្លើយសំណួរ។
politics	នយោបាយ	នយោបាយអាចស្មុគស្មាញ។
port	កំពង់ផែ	នាវាបានចូលកំពង់ផែ។
portrait	រូបគំនូរបុគ្គល	រូបគំនូរបុគ្គលព្យួរនៅសាល។
possibly	ប្រហែលជា	នាងប្រហែលជាមកដល់យឺត។
pot	ផើង	រុក្ខជាតិត្រូវការផើងធំជាងនេះ។
pour	ចាក់	ចាក់ទឹកដោះគោយឺតៗ។
poverty	ភាពក្រីក្រ	គ្រួសារជាច្រើនរស់នៅក្នុងភាពក្រីក្រ។
powder	ម្សៅ	បន្ថែមម្សៅទៅក្នុងទឹក។
powerful	មានកម្លាំងខ្លាំង	ម៉ាស៊ីនមានកម្លាំងខ្លាំង។
practical	ជាក់ស្តែង	នេះជាដំណោះស្រាយជាក់ស្តែង។
pray	អធិស្ឋាន	ពួកគេអធិស្ឋានរៀងរាល់ព្រឹក។
prayer	ការអធិស្ឋាន	នាងបាននិយាយការអធិស្ឋានស្ងាត់មួយ។
prediction	ការព្យាករ	ការព្យាកររបស់គាត់ត្រឹមត្រូវ។
prepared	ត្រៀមរួច	ខ្ញុំត្រៀមរួចសម្រាប់ការប្រឡង។
presentation	បទបង្ហាញ	បទបង្ហាញរបស់នាងច្បាស់លាស់។
press	ចុច	ចុចប៊ូតុងម្តង។
pressure	សម្ពាធ	សម្ពាធអាចប៉ះពាល់ដល់សុខភាពរបស់អ្នក។
pretend	ធ្វើពុត	កុំធ្វើពុតថាកំពុងដេក។
previous	មុន	មេរៀនមុនងាយជាង។
previously	ពីមុន	យើងពីមុនរស់នៅរ៉ូម។
priest	បូជាចារ្យ	បូជាចារ្យបាននិយាយយ៉ាងទន់ភ្លន់។
primary	ចម្បង	សុខភាពជាកង្វល់ចម្បងរបស់យើង។
prince	ព្រះអង្គម្ចាស់	ព្រះអង្គម្ចាស់បានទៅទស្សនាសាលា។
princess	ព្រះនាង	ព្រះនាងពាក់រ៉ូបពណ៌ខៀវ។
printing	ការបោះពុម្ព	ការបោះពុម្ពរបាយការណ៍ចំណាយពេលប៉ុន្មាននាទី។
prisoner	អ្នកទោស	អ្នកទោសបានរត់គេចនៅពេលយប់។
private	ឯកជន	នេះជាការសន្ទនាឯកជន។
producer	អ្នកផលិត	អ្នកផលិតចូលចិត្តភាពយន្តនោះ។
production	ការផលិត	ការផលិតចាប់ផ្តើមសប្តាហ៍ក្រោយ។
profession	វិជ្ជាជីវៈ	ការបង្រៀនជាវិជ្ជាជីវៈដែលគួរឱ្យគោរព។
profit	ប្រាក់ចំណេញ	ហាងបានរកប្រាក់ចំណេញ។
promote	លើកកម្ពស់	ពួកគេលើកកម្ពស់ការញ៉ាំអាហារដែលមានសុខភាពល្អ។
proper	ត្រឹមត្រូវ	ពាក់ស្បែកជើងត្រឹមត្រូវសម្រាប់ការឡើងភ្នំ។
properly	យ៉ាងត្រឹមត្រូវ	បិទទ្វារយ៉ាងត្រឹមត្រូវ។
property	ទ្រព្យសម្បត្តិ	ពួកគេទិញទ្រព្យសម្បត្តិនៅជិតទន្លេ។
protest	ការតវ៉ា	ការតវ៉ាបានបញ្ចប់ដោយសន្តិភាព។
proud	មានមោទនភាព	នាងមានមោទនភាពចំពោះកូនប្រុសរបស់នាង។
prove	បញ្ជាក់	តើអ្នកអាចបញ្ជាក់ចម្លើយរបស់អ្នកបានទេ។
punish	ដាក់ទណ្ឌកម្ម	គ្រូមិនបានដាក់ទណ្ឌកម្មគាត់ទេ។
punishment	ទណ្ឌកម្ម	ទណ្ឌកម្មមើលទៅយុត្តិធម៌។
qualification	គុណវុឌ្ឍិ	អ្នកត្រូវការគុណវុឌ្ឍិសម្រាប់ការងារនេះ។
qualified	មានគុណវុឌ្ឍិ	នាងជាគិលានុបដ្ឋាយិកាមានគុណវុឌ្ឍិ។
qualify	មានសិទ្ធិ	ក្រុមរបស់យើងអាចមានសិទ្ធិ។
queue	ជួរ	យើងបានរង់ចាំក្នុងជួរវែងមួយ។
quit	បោះបង់	គាត់សម្រេចចិត្តបោះបង់ការជក់បារី។
quotation	សម្រង់	អត្ថបទចាប់ផ្តើមដោយសម្រង់មួយ។
quote	ដកស្រង់	តើខ្ញុំអាចដកស្រង់ពាក្យរបស់អ្នកបានទេ។
race (people)	ជាតិសាសន៍	សំណុំបែបបទសួរអំពីជាតិសាសន៍។
racing	ការប្រណាំង	ការប្រណាំងសេះពេញនិយមនៅទីនោះ។
range	ជួរ	ហាងលក់ទំនិញជួរធំទូលាយ។
rare	កម្រ	បក្សីនេះកម្រ។
rarely	កម្រណាស់	យើងកម្រញ៉ាំអាហារខាងក្រៅ។
reaction	ប្រតិកម្ម	ប្រតិកម្មរបស់នាងធ្វើឱ្យខ្ញុំភ្ញាក់ផ្អើល។
reality	ការពិត	ការពិតខុសពីក្តីសុបិនរបស់គាត់។
receipt	បង្កាន់ដៃ	រក្សាទុកបង្កាន់ដៃ។
recommendation	អនុសាសន៍	សូមអរគុណសម្រាប់អនុសាសន៍។
reference	ឯកសារយោង	បន្ថែមឯកសារយោងនៅចុងក្រោយ។
reflect	ឆ្លុះបញ្ចាំង	កញ្ចក់អាចឆ្លុះបញ្ចាំងពន្លឺ។
regularly	ជាប្រចាំ	នាងហាត់ប្រាណជាប្រចាំ។
reject	បដិសេធ	ពួកគេអាចបដិសេធការផ្តល់ជូន។
relate	ពាក់ព័ន្ធ	ខ្ញុំអាចពាក់ព័ន្ធនឹងរឿងនោះ។
related	ពាក់ព័ន្ធ	បញ្ហាទាំងពីរពាក់ព័ន្ធគ្នា។
relation	ទំនាក់ទំនង	មានទំនាក់ទំនងរវាងពួកគេ។
relative	ទាក់ទងប្រៀបធៀប	ល្បឿនគឺទាក់ទងប្រៀបធៀប។
relaxed	សម្រាកស្រួល	គាត់មានអារម្មណ៍សម្រាកស្រួលបន្ទាប់ពីអាហារពេលល្ងាច។
relaxing	ធ្វើឱ្យសម្រាក	តន្ត្រីធ្វើឱ្យសម្រាក។
release	ចេញផ្សាយ	ពួកគេនឹងចេញផ្សាយភាពយន្តឆាប់ៗនេះ។
reliable	គួរឱ្យទុកចិត្ត	ឡានក្រុងនេះជាធម្មតាគួរឱ្យទុកចិត្ត។
religion	សាសនា	សាសនាសំខាន់សម្រាប់នាង។
religious	សាសនា	ពួកគេបានទៅទស្សនាអគារសាសនា។
remain	នៅតែ	សូមនៅតែស្ងប់ស្ងាត់។
remind	រំលឹក	រំលឹកខ្ញុំនៅថ្ងៃស្អែក។
remote	ឆ្ងាយ	ពួកគេរស់នៅក្នុងភូមិឆ្ងាយ។
rent	ថ្លៃជួល	ថ្លៃជួលដល់កំណត់ថ្ងៃនេះ។
repeated	ដដែលៗ	កំហុសដដែលៗធ្វើឱ្យការងារយឺត។
represent	តំណាង	ផ្កាយតំណាងឱ្យសេចក្តីសង្ឃឹម។
require	ត្រូវការ	ការងារនេះនឹងត្រូវការការបណ្តុះបណ្តាល។
reservation	ការកក់ទុក	ខ្ញុំបានធ្វើការកក់ទុក។
resource	ធនធាន	បណ្ណាល័យជាធនធានមានប្រយោជន៍។
respect	គោរព	គោរពមិត្តរួមថ្នាក់របស់អ្នក។
responsibility	ការទទួលខុសត្រូវ	ការថែទាំកុមារជាការទទួលខុសត្រូវធំ។
responsible	ទទួលខុសត្រូវ	នាងទទួលខុសត្រូវចំពោះសំបុត្រ។
retire	ចូលនិវត្តន៍	ឪពុកខ្ញុំនឹងចូលនិវត្តន៍ឆាប់ៗនេះ។
retired	ចូលនិវត្តន៍ហើយ	គាត់ជាគ្រូចូលនិវត្តន៍ហើយ។
revise	កែសម្រួល	កែសម្រួលអត្ថបទរបស់អ្នកយប់នេះ។
risk	ហានិភ័យ	មានហានិភ័យនៃភ្លៀង។
robot	មនុស្សយន្ត	មនុស្សយន្តបានសម្អាតជាន់។
roll	រមៀល	រមៀលបាល់មកខ្ញុំ។
romantic	រ៉ូមែនទិក	ពួកគេមានអាហារពេលល្ងាចរ៉ូមែនទិក។
rope	ខ្សែពួរ	ចងខ្សែពួរឱ្យតឹង។
rough	រដុប	ផ្លូវរដុប។
row1	ជួរ	អង្គុយនៅជួរខាងមុខ។
royal	រាជវង្ស	គ្រួសាររាជវង្សបានមកដល់។
rugby	បាល់ឱប	យើងបានមើលបាល់ឱបតាមទូរទស្សន៍។
safety	សុវត្ថិភាព	សុវត្ថិភាពសំខាន់នៅកន្លែងធ្វើការ។
sailor	នាវិក	នាវិកបានជួសជុលទូក។
sample	គំរូ	គិលានុបដ្ឋាយិកាបានយកគំរូឈាម។
sand	ខ្សាច់	ខ្សាច់គ្របស្បែកជើងរបស់ខ្ញុំ។
scan	ស្កេន	ស្កេនឯកសារជាមុនសិន។
scientific	វិទ្យាសាស្ត្រ	នេះជាវិធីសាស្ត្រវិទ្យាសាស្ត្រ។
script	ស្គ្រីប	តារាសម្តែងបានអានស្គ្រីប។
sculpture	រូបចម្លាក់	រូបចម្លាក់ឈរនៅខាងក្រៅ។
secondary	បន្ទាប់បន្សំ	នេះជាបញ្ហាបន្ទាប់បន្សំ។
security	សន្តិសុខ	សន្តិសុខបានពិនិត្យកាបូបរបស់យើង។
seed	គ្រាប់ពូជ	ដាំគ្រាប់ពូជក្នុងដី។
sensible	មានហេតុផល	នោះជាគំនិតមានហេតុផល។
seriously	យ៉ាងធ្ងន់ធ្ងរ	យកបញ្ហានេះយ៉ាងធ្ងន់ធ្ងរ។
servant	អ្នកបម្រើ	អ្នកបម្រើបានបើកទ្វារ។
set (put)	ដាក់	ដាក់កែវលើតុ។
set (group)	សំណុំ	សំណុំនេះមានពែងប្រាំមួយ។
setting	បរិបទ	រឿងនេះមានបរិបទទីក្រុង។
sex	ភេទ	សំណុំបែបបទសួរអាយុនិងភេទ។
sexual	ផ្លូវភេទ	ថ្នាក់បានពិភាក្សាអំពីសុខភាពផ្លូវភេទ។
sharp	មុត	កាំបិតនេះមុត។
shelf	ធ្នើ	ដាក់សៀវភៅលើធ្នើ។
shell	សំបក	សំបកទទេ។
shift	វេនការងារ	វេនការងាររបស់ខ្ញុំចាប់ផ្តើមនៅម៉ោងប្រាំបី។
shine	ចាំង	ផ្កាយចាំងនៅពេលយប់។
shiny	ភ្លឺរលោង	ស្បែកជើងរបស់នាងភ្លឺរលោង។
shoot	ថត	អ្នកថតរូបនឹងថតឈុតនោះ។
shy	អៀន	គាត់អៀនជាមួយមនុស្សចម្លែក។
sight	ទិដ្ឋភាព	ភ្នំជាទិដ្ឋភាពស្រស់ស្អាត។
signal	សញ្ញា	សញ្ញាខ្សោយ។
silent	ស្ងាត់	បន្ទប់ក្លាយជាស្ងាត់។
silly	ឆ្កួតៗ	នោះជាកំហុសឆ្កួតៗ។
similarity	ភាពស្រដៀង	មានភាពស្រដៀងច្បាស់។
similarly	ដូចគ្នានេះ	ផែនការទីពីរដំណើរការដូចគ្នានេះ។
simply	គ្រាន់តែ	គ្រាន់តែចុចប៊ូតុងនេះ។
sink	លិច	ថ្មធ្ងន់លិចយ៉ាងលឿន។
slice	ចំណិត	ខ្ញុំបានញ៉ាំនំមួយចំណិត។
slightly	បន្តិច	បន្ទប់ក្តៅជាងបន្តិច។
smart	ស្អាតបាត	នាងពាក់អាវក្រៅស្អាតបាត។
smooth	រលោង	ផ្លូវរលោង។
software	សូហ្វវែរ	សូហ្វវែរត្រូវការការអាប់ដេត។
soil	ដី	ដីស្ងួត។
solid	រឹងមាំ	ជញ្ជាំងរឹងមាំ។
southern	ភាគខាងត្បូង	ពួកគេរស់នៅលើឆ្នេរភាគខាងត្បូង។
specifically	ជាក់លាក់	ខ្ញុំបានស្នើសុំតែជាក់លាក់។
spending	ការចំណាយ	ការចំណាយរដ្ឋាភិបាលកើនឡើង។
spicy	ហឹរ	ការីនេះហឹរ។
spirit	ស្មារតី	ក្រុមបានបង្ហាញស្មារតីខ្លាំង។
spoken	និយាយ	អង់គ្លេសនិយាយប្រសើរឡើងដោយការអនុវត្ត។
spot	កន្លែង	កន្លែងនេះល្អឥតខ្ចោះ។
spread	លាប	លាបប៊ឺលើនំប៉័ង។
stadium	ពហុកីឡដ្ឋាន	ពហុកីឡដ្ឋានពេញមនុស្ស។
staff	បុគ្គលិក	បុគ្គលិកមានប្រយោជន៍។
standard	ស្តង់ដារ	ស្តង់ដារខ្ពស់។
statistic	ស្ថិតិ	ស្ថិតិនេះគួរឱ្យភ្ញាក់ផ្អើល។
statue	រូបសំណាក	រូបសំណាកឈរនៅការ៉េ។
stick (push into/attach)	បិទភ្ជាប់	បិទភ្ជាប់ស្លាកលើប្រអប់។
stick (piece of wood)	ដំបង	គាត់បានរើសដំបងមួយ។
