simplified	PL	example_PL
称呼	zwracać się do kogoś; forma zwracania się	Nie wiem, jak się do niego zwracać.
称赞	chwalić	Nauczyciel pochwalił jego postępy.
成分	składnik; skład	Skład tego leku jest prosty.
成果	wynik; osiągnięcie	Ten projekt przyniósł wyniki.
成就	osiągnięcie	On ma wiele osiągnięć w karierze.
成立	założyć; powstać	Firma powstała w zeszłym roku.
成人	dorosły	Bilety dla dorosłych są droższe niż bilety dla dzieci.
成熟	dojrzały	Jabłka są już dojrzałe.
成语	idiom chiński	Ten idiom jest często używany.
成长	dorastać; rozwijać się	Dziecko powoli dorasta.
承担	brać na siebie; ponosić	On jest gotów wziąć odpowiedzialność.
承认	przyznać	On przyznał, że się mylił.
承受	znosić; wytrzymywać	Nie mogę znieść tak dużej presji.
程度	poziom; stopień	Jego poziom chińskiego jest bardzo wysoki.
程序	procedura; kolejność	Proszę załatwić to zgodnie z procedurą.
诚恳	szczery; serdeczny	Jego postawa jest bardzo szczera.
吃亏	ponieść stratę; wyjść na tym gorzej	Przy zakupach dobrze się przyjrzyj, żeby nie wyjść na tym gorzej.
持续	trwać; utrzymywać się	Deszcz trwał przez trzy dni.
池塘	staw	W stawie jest dużo ryb.
迟早	prędzej czy później	Prędzej czy później to zrozumiesz.
尺子	linijka	Proszę zmierzyć to linijką.
翅膀	skrzydło	Skrzydło ptaka jest zranione.
充电器	ładowarka	Moja ładowarka się zepsuła.
充分	pełny; wystarczający	Zrobiliśmy pełne przygotowania.
充满	być pełnym; wypełniać się	Pokój był pełen śmiechu.
冲	płukać; zalewać wodą	Proszę wypłukać kubek wodą.
重复	powtarzać	Proszę nie powtarzać tego samego błędu.
宠物	zwierzę domowe	Ona ma psa jako zwierzę domowe.
抽屉	szuflada	Klucz jest w szufladzie.
抽象	abstrakcyjny	To pojęcie jest zbyt abstrakcyjne.
丑	brzydki	To zdjęcie jest trochę brzydkie.
臭	śmierdzący; smród	Śmieci brzydko pachną.
出版	publikować; wydać	Ta książka została wydana w zeszłym roku.
出口	wyjście; eksportować	Wyjście jest z przodu.
出色	znakomity; wybitny	Jej występ jest znakomity.
出示	okazać; pokazać	Proszę okazać paszport.
出席	uczestniczyć; być obecnym	On weźmie udział w spotkaniu.
初级	początkowy; podstawowy	Uczę się chińskiego w grupie początkującej.
除非	chyba że; tylko jeśli	Jeśli nie będzie padać, jutro pójdziemy w góry.
除夕	wigilia Nowego Roku	W wigilię Nowego Roku cała nasza rodzina je razem.
处理	zajmować się; rozwiązywać	Zajmę się tym problemem.
传播	rozpowszechniać się; szerzyć się	Ta wiadomość rozeszła się bardzo szybko.
传染	zarażać; być zakaźnym	Przeziębienie łatwo się rozprzestrzenia.
传说	legenda	To jest dawna legenda.
传统	tradycja; tradycyjny	Święto Wiosny to tradycyjne chińskie święto.
窗帘	zasłony	Proszę odsłonić zasłony.
闯	wtargnąć; przedrzeć się	On przypadkiem przejechał na czerwonym świetle.
创造	tworzyć; stworzyć	Ludzie stworzyli nowe narzędzia.
吹	dmuchać; wiać	Wiatr wieje bardzo mocno.
词汇	słownictwo	To słowo jest często używane.
辞职	zrezygnować z pracy	On postanowił zrezygnować z pracy.
此外	ponadto; oprócz tego	Ponadto mam jeszcze jedno pytanie.
刺激	pobudzać; ekscytujący	Ta gra jest bardzo ekscytująca.
次要	drugorzędny	Ten problem jest drugorzędny.
匆忙	w pośpiechu; pośpieszny	On wyszedł z domu w pośpiechu.
从此	odtąd; od tego czasu	Od tego czasu codziennie ćwiczył.
从而	w ten sposób; dzięki temu	On pilnie się uczył i dzięki temu zdał egzamin.
从前	dawniej; kiedyś	Dawniej nie było tu metra.
从事	zajmować się; pracować w	Ona pracuje w edukacji.
粗糙	szorstki; niedopracowany	Ta kartka papieru jest bardzo szorstka.
促进	wspierać; sprzyjać	Ćwiczenia mogą sprzyjać zdrowiu.
促使	skłonić; spowodować	Ta sprawa skłoniła go do zmiany planu.
醋	ocet	Do potrawy dodano ocet.
催	ponaglać	Mama ponagliła mnie, żebym szybko wyszedł.
存在	istnieć	Ten problem nadal istnieje.
措施	środek; działania	Szkoła podjęła środki bezpieczeństwa.
答应	zgodzić się; obiecać	On zgodził się mi pomóc.
达到	osiągnąć; dojść do	Jego oceny osiągnęły wymagany poziom.
打工	pracować dorywczo	On w wakacje pracuje dorywczo w restauracji.
打交道	mieć do czynienia; kontaktować się	Często mam do czynienia z klientami.
打喷嚏	kichać	On jest przeziębiony i ciągle kicha.
打听	dowiadywać się; wypytywać	Chciałbym dowiedzieć się o bilety kolejowe.
大方	hojny; gustowny	Ona jest bardzo hojna, jeśli chodzi o pieniądze.
大厦	wysoki budynek; gmach	Ten wysoki budynek jest bardzo wysoki.
大象	słoń	Dzieci oglądają słonie w zoo.
大型	duży; na dużą skalę	Tutaj powstanie duże centrum handlowe.
呆	przebywać; siedzieć	On siedzi w domu i czyta.
代表	reprezentować; przedstawiciel	Ten kwiat symbolizuje przyjaźń.
代替	zastąpić; w czyimś imieniu	Dziś pójdę na spotkanie zamiast niego.
待遇	warunki; wynagrodzenie	Warunki w tej firmie są dobre.
贷款	kredyt; pożyczka	Oni złożyli wniosek o kredyt mieszkaniowy.
单纯	prosty; nieskomplikowany	Jej pomysł jest bardzo prosty.
单调	monotonny	Ta praca jest trochę monotonna.
单独	sam; osobno	Chcę porozmawiać z tobą sam na sam.
单位	jednostka; instytucja	On pracuje w instytucji publicznej.
单元	rozdział; jednostka	Dzisiaj uczymy się trzeciego rozdziału.
担任	pełnić funkcję; objąć stanowisko	Ona pełni funkcję osoby odpowiedzialnej za to wydarzenie.
耽误	opóźniać; tracić czas	Nie marnuj czasu wszystkich.
胆小鬼	tchórz	Nie nazywaj go tchórzem.
淡	blady; mdły; słaby	Ta zupa jest trochę mdła.
当地	lokalny	Miejscowi wszyscy lubią ten targ.
当心	uważać; być ostrożnym	Droga jest śliska, więc uważaj.
挡	blokować; zasłaniać	Ten samochód blokuje wejście.
倒霉	mieć pecha	Dziś naprawdę mam pecha; zgubiłem telefon.
导演	reżyser; reżyserować	Ten reżyser jest bardzo znany.
导致	prowadzić do; spowodować	Ulewny deszcz spowodował korek.
岛屿	wyspa	Ten kraj ma wiele wysp.
到达	dotrzeć; przybyć	Pociąg dotarł do Szanghaju punktualnie.
道德	moralność; etyka	Człowiek powinien mieć zasady moralne.
道理	sens; racja	To, co powiedział, ma dużo sensu.
登记	zarejestrować się; zameldować się	Proszę najpierw zarejestrować się w recepcji.
等待	czekać na	Czekamy na wynik.
等于	równać się	Pięć plus pięć równa się dziesięć.
滴	kropla; kapać	Kropla wody spadła na stół.
敌人	wróg	Oni nie są wrogami.
的确	rzeczywiście; naprawdę	Ta sprawa rzeczywiście jest bardzo ważna.
地道	autentyczny; prawdziwy	On mówi autentycznym dialektem pekińskim.
地理	geografia	Bardzo interesuję się geografią Chin.
地区	region; obszar	W tym regionie zimą jest bardzo zimno.
地毯	dywan	W salonie leży dywan.
地位	pozycja; status	Edukacja ma ważną pozycję w społeczeństwie.
地震	trzęsienie ziemi	Wczoraj wieczorem było tu trzęsienie ziemi.
递	podać; przekazać	Proszę przekazać ten list nauczycielowi.
点心	przekąska; dim sum	Po południu zjedliśmy przekąski.
电池	bateria	Ta zabawka potrzebuje dwóch baterii.
电台	stacja radiowa	On prowadzi program w stacji radiowej.
钓	łowić ryby	Dziadek lubi chodzić nad rzekę łowić ryby.
顶	wierzch; czubek; sztuka	Ma na głowie czarny kapelusz.
冻	zamarzać; marznąć	Na zewnątrz jest tak zimno, że woda zamarzła.
动画片	kreskówka; film animowany	Dzieci oglądają kreskówki.
洞	dziura; jaskinia	W ścianie jest mała dziura.
豆腐	tofu	To danie z tofu jest smaczne.
逗	droczyć się; rozśmieszać	Jego słowa rozśmieszyły wszystkich.
独立	niezależny; niezależność	Ona chce żyć samodzielnie.
独特	wyjątkowy; unikalny	To miasto ma wyjątkową kulturę.
度过	spędzić; przetrwać	Spędziliśmy wakacje nad morzem.
断	zerwać się; pęknąć	Ta lina pękła.
堆	stos; układać w stos	Na stole leży stos dokumentów.
兑换	wymieniać	Chciałbym wymienić trochę renminbi.
对比	porównanie; porównać	Proszę porównać te dwa plany.
对待	traktować	Powinniśmy traktować wszystkich sprawiedliwie.
对方	druga strona; druga osoba	Proszę najpierw wysłuchać opinii drugiej strony.
对手	przeciwnik; rywal	Jego przeciwnik jest bardzo silny.
对象	obiekt; partner; osoba	Tymi obiektami badań są studenci.
吨	tona	Ta ciężarówka może przewieźć trzy tony towaru.
蹲	kucać	On kuca na ziemi i szuka kluczy.
顿	raz; posiłek	Zjedliśmy razem kolację.
多亏	dzięki; na szczęście	Dzięki twojej pomocy ukończyłem zadanie.
多余	zbędny; nadmiarowy	To zdanie jest zbędne.
朵	kwiatek; klasyfikator dla kwiatów	Na stole leży kwiat.
躲藏	chować się; ukrywać się	Kotek chowa się pod łóżkiem.
恶劣	bardzo zły; fatalny	Dzisiejsza pogoda jest bardzo zła.
耳环	kolczyk	Ona ma na sobie parę kolczyków.
发表	opublikować; wypowiedzieć	On wyraził swoją opinię na spotkaniu.
发愁	martwić się	Nie martw się taką drobnostką.
发达	rozwinięty; kwitnący	Transport w tym mieście jest dobrze rozwinięty.
发抖	drżeć; trząść się	On drży z zimna.
发挥	wykorzystać; pokazać	Proszę wykorzystać swoją wyobraźnię.
发明	wynaleźć; wynalazek	Żarówka to ważny wynalazek.
发票	faktura; paragon	Proszę wystawić mi fakturę.
发言	zabrać głos; wypowiedź	On zabrał głos na spotkaniu.
罚款	mandat; grzywna	Za nielegalne parkowanie grozi mandat.
法院	sąd	Ta sprawa została przekazana do sądu.
翻	przewrócić; odwrócić	Proszę otworzyć książkę na stronie dziesiątej.
繁荣	dobrze prosperujący; rozkwitać	Gospodarka stopniowo się rozwija.
反而	przeciwnie; zamiast tego	On się nie rozgniewał, przeciwnie, roześmiał się.
反复	wielokrotnie; powtarzanie	To zdanie trzeba wielokrotnie ćwiczyć.
反应	reakcja; reagować	On reaguje szybko.
反映	odzwierciedlać	Ten raport odzwierciedla prawdziwą sytuację.
反正	w każdym razie	W każdym razie jutro mam czas.
范围	zakres	Proszę nie wychodzić poza ten zakres.
方	kwadrat; kwadratowy	Proszę narysować na papierze kwadrat.
方案	plan; propozycja	Ten plan jest dość rozsądny.
方式	sposób; metoda	Ten sposób nauki jest bardzo skuteczny.
妨碍	przeszkadzać; utrudniać	Proszę nie przeszkadzać innym w pracy.
仿佛	jakby; wydawać się	On wydaje się wszystko wiedzieć.
非	nie-; bez	Tej sprawy nie da się zrobić bez ciebie.
肥皂	mydło	Używaj mydła podczas mycia rąk.
废话	bzdury; puste gadanie	Dość gadania, zacznijmy szybko.
分别	rozstać się; rozróżniać	Oni rozstali się na dworcu.
分布	rozmieszczać; rozmieszczenie	Te sklepy są rozmieszczone w całym mieście.
分配	przydzielać; rozdzielać	Nauczyciel przydzielił nowe zadanie.
分手	rozstać się; zerwać	Oni rozstali się w zeszłym roku.
分析	analizować; analiza	Musimy przeanalizować przyczyny.
纷纷	jeden po drugim; kolejno	Wszyscy kolejno wyrazili zgodę.
奋斗	walczyć; dążyć	Młodzi ludzie powinni dążyć do swoich marzeń.
疯狂	szalony; gwałtowny	Kibice wiwatowali jak szaleni.
风格	styl	Styl tej restauracji jest bardzo charakterystyczny.
风景	krajobraz; widok	Widok w górach jest piękny.
风俗	zwyczaj	Każde miejsce ma własne zwyczaje.
风险	ryzyko	Inwestowanie wiąże się z pewnym ryzykiem.
讽刺	satyryzować; wyśmiewać	Ten artykuł wyśmiał problemy społeczne.
否定	negować; zaprzeczenie	On zaprzeczył temu twierdzeniu.
否认	zaprzeczyć	On zaprzeczył, że popełnił błąd.
幅	klasyfikator dla obrazów i tkanin	Na ścianie wisi obraz.
扶	podtrzymać; pomóc wstać	Proszę pomóc starszej osobie przejść przez ulicę.
服装	odzież; ubrania	Ten sklep sprzedaje odzież dziecięcą.
辅导	korepetycje; pomagać w nauce	Nauczyciel pomaga uczniom po lekcjach.
复制	kopiować; zrobić kopię	Proszę skopiować ten dokument.
妇女	kobiety	Ten szpital świadczy usługi dla kobiet.
改革	reforma; reformować	Szkoła przeprowadza reformę nauczania.
改进	ulepszać; poprawiać	Musimy poprawić jakość obsługi.
改善	poprawiać	Ćwiczenia mogą poprawić sen.
改正	poprawić; skorygować	Proszę szybko poprawić błędy.
概括	podsumować; ująć ogólnie	Proszę streścić treść artykułu.
概念	pojęcie	To pojęcie nie jest łatwe do zrozumienia.
盖	przykrywać; pokrywka	Proszę dobrze przykryć kubek.
干脆	po prostu; bezpośredni	Może po prostu dziś nie idź.
干燥	suchy	Zimy na północy są bardzo suche.
感激	być wdzięcznym	Jestem bardzo wdzięczny za twoją pomoc.
感受	odczucie; czuć	Rozumiem twoje odczucia.
感想	przemyślenia; wrażenia	Proszę opowiedzieć o swoich przemyśleniach.
赶紧	pośpieszyć się	Robi się późno, więc szybko wychodź.
赶快	szybko; natychmiast	Szybko zamknij drzwi.
干活儿	pracować fizycznie	On pracuje na podwórku.
钢铁	stal	Ten most jest zrobiony ze stali.
高档	wysokiej klasy	To jest hotel wysokiej klasy.
高级	zaawansowany; wysoki	Ona dołączyła do zaawansowanej grupy chińskiego.
搞	robić; organizować	Jakie wydarzenie organizujesz?
告别	pożegnać się	Pożegnaliśmy przyjaciela na lotnisku.
格外	szczególnie	Dzisiejsze niebo jest szczególnie błękitne.
隔壁	po sąsiedzku; obok	Obok mieszka nauczyciel.
个别	pojedynczy; indywidualny	Kilka pojedynczych osób jeszcze nie oddało pracy domowej.
个人	osobisty; indywidualny	To jest mój osobisty pogląd.
个性	osobowość	Ona ma wyrazistą osobowość.
各自	każdy swój; odpowiednio	Każdy wykonuje swoje zadanie.
根	korzeń; klasyfikator dla długich cienkich przedmiotów	Pod stołem jest przewód.
根本	podstawowy; wcale	Ten problem wcale nie jest trudny.
公布	ogłosić; podać do wiadomości	Szkoła ogłosiła wyniki egzaminu.
公开	publiczny; jawny	To spotkanie jest publiczne.
公平	sprawiedliwy	Konkurs powinien być sprawiedliwy.
公寓	mieszkanie; apartament	Ona wynajęła małe mieszkanie.
公元	naszej ery	Ten rok to 2026 naszej ery.
公主	księżniczka	Mała dziewczynka lubi historie o księżniczkach.
功能	funkcja	To oprogramowanie ma wiele funkcji.
工厂	fabryka	Ta fabryka produkuje samochody.
工程师	inżynier	Mój starszy brat jest inżynierem.
工具	narzędzie	Do naprawy roweru potrzebne są narzędzia.
工人	robotnik	Robotnicy naprawiają drogę.
工业	przemysł	To miasto opiera się głównie na przemyśle.
恭喜	gratulacje	Gratulacje z okazji zdania egzaminu.
贡献	wkład; przyczyniać się	On wniósł wkład w rozwój firmy.
沟通	komunikacja; komunikować się	Dobra komunikacja jest bardzo ważna.
构成	tworzyć; składać się	Te części tworzą całość.
姑姑	ciocia ze strony ojca	W ten weekend jadę odwiedzić ciocię.
姑娘	dziewczyna; młoda kobieta	Ta młoda kobieta jest bardzo serdeczna.
古代	starożytność; dawne czasy	W dawnych czasach nie było telefonów komórkowych.
古典	klasyczny	Lubię muzykę klasyczną.
股票	akcje	On kupił trochę akcji.
骨头	kość	Ta kość jest bardzo twarda.
鼓舞	zachęcać; podnosić na duchu	Ta wiadomość jest bardzo pokrzepiająca.
鼓掌	klaskać	Publiczność klaskała aktorom.
固定	stały; ustalony	Mam stałe godziny pracy.
挂号	zarejestrować się u lekarza	Przed wizytą u lekarza trzeba się zarejestrować.
乖	grzeczny; posłuszny	To dziecko jest bardzo grzeczne.
拐弯	skręcić	Na skrzyżowaniu przed nami skręć w prawo.
怪不得	nic dziwnego; dlatego	Nic dziwnego, że jesteś taki zmęczony.
关闭	zamknąć; wyłączyć	Przed wyjściem proszę wyłączyć komputer.
官	urzędnik	On jest młodym urzędnikiem.
观察	obserwować	Lekarz obserwuje stan pacjenta.
观点	punkt widzenia; pogląd	Zgadzam się z twoim punktem widzenia.
观念	pogląd; koncepcja	Poglądy młodych ludzi się zmieniają.
管子	rura; rurka	Ta rura przecieka.
冠军	mistrz; zwycięzca	Ona zdobyła mistrzostwo w konkursie.
光滑	gładki	Powierzchnia tego stołu jest bardzo gładka.
光临	zawitać; zaszczycić obecnością	Zapraszamy ponownie następnym razem.
光明	jasny; świetlany	Przyszłość jest świetlana.
光盘	płyta; dysk	Proszę zapisać materiały na płycie.
广场	plac	Na placu jest dużo ludzi.
广大	liczny; rozległy	Ta wiadomość została dobrze przyjęta przez wielu studentów.
广泛	szeroki; rozległy	Ta książka ma szeroki wpływ.
归纳	podsumować; uogólnić	Nauczyciel pomógł nam podsumować najważniejsze punkty.
规矩	reguła; zasady	Dzieci powinny rozumieć zasady.
规律	prawidłowość; regularny rytm	Życie powinno mieć regularny rytm.
规模	skala	Ta firma ma dużą skalę działania.
规则	reguła; przepisy	Zasady konkursu są bardzo jasne.
柜台	lada; stanowisko	Proszę zapłacić przy ladzie.
滚	toczyć się; wrzeć	Woda już wrze.
锅	garnek; patelnia	W garnku jest gorąca zupa.
国庆节	Święto Narodowe	W Święto Narodowe mamy wolne.
国王	król	Król mieszka w pałacu.
果然	zgodnie z oczekiwaniami; rzeczywiście	On przybył punktualnie, zgodnie z oczekiwaniami.
果实	owoc; rezultat	Drzewo jest pełne owoców.
过分	przesadny; nadmierny	Jego żądanie jest trochę przesadne.
过敏	alergia; być uczulonym	Jestem uczulony na pyłki.
过期	stracić ważność; przeterminować się	Ta butelka mleka jest już przeterminowana.
哈	ha; śmiech	Ha, wreszcie rozumiem.
海关	urząd celny; kontrola celna	Staliśmy w kolejce do kontroli celnej.
海鲜	owoce morza	Owoce morza w tej restauracji są bardzo świeże.
喊	krzyczeć; wołać	Nie krzycz głośno w klasie.
行业	branża	Branża turystyczna szybko się rozwija.
豪华	luksusowy	Oni mieszkają w luksusowym hotelu.
好客	gościnny	Miejscowi są bardzo gościnni.
好奇	ciekawy; ciekawski	Dzieci są bardzo ciekawe świata.
何必	po co; nie ma potrzeby	Po co złościć się z powodu drobiazgu?
何况	nie mówiąc już o	Dziś jest zimno, nie mówiąc już o tym, że pada.
合法	legalny	Ta umowa jest legalna.
合理	rozsądny; sprawiedliwy	Ta cena jest rozsądna.
合同	umowa; kontrakt	Oni podpisali umowę.
合影	zdjęcie grupowe	Na zakończenie szkoły zrobiliśmy zdjęcie grupowe.
合作	współpracować; współpraca	Ukończyliśmy projekt dzięki współpracy.
和平	pokój	Wszyscy mają nadzieję na pokój.
核心	rdzeń; sedno	Zaufanie jest sednem współpracy.
恨	żałować; nienawidzić	On żałuje, że wcześniej nie pracował pilnie.
猴子	małpa	W zoo jest kilka małp.
后背	plecy	Trochę bolą go plecy.
后果	konsekwencje	Musisz wziąć pod uwagę konsekwencje.
呼吸	oddychać	Proszę wziąć głęboki oddech.
忽然	nagle	Niebo nagle pociemniało.
忽视	ignorować; lekceważyć	Nie ignoruj tego problemu.
壶	dzbanek; czajniczek	Na stole stoi dzbanek herbaty.
糊涂	zdezorientowany; nierozsądny	Dzisiaj jestem trochę zdezorientowany.
胡说	mówić bzdury	Nie mów bzdur; to nieprawda.
胡同	hutong; zaułek	W Pekinie jest wiele starych hutongów.
蝴蝶	motyl	W ogrodzie jest motyl.
花生	orzeszek ziemny	On lubi jeść orzeszki ziemne.
华裔	osoba chińskiego pochodzenia	Ona jest pisarką chińskiego pochodzenia.
滑	ślizgać się; śliski	Podłoga jest śliska, więc uważaj.
划	wiosłować	Gdy płyniemy łodzią, on odpowiada za wiosłowanie.
化学	chemia	Ona studiowała chemię na uniwersytecie.
话题	temat	Ten temat jest bardzo interesujący.
怀念	tęsknić; wspominać	Bardzo tęsknię za życiem na uniwersytecie.
怀孕	być w ciąży	Ona jest w trzecim miesiącu ciąży.
缓解	łagodzić; ulżyć	Odpoczynek może złagodzić stres.
幻想	fantazjować; fantazja	On często fantazjuje o podróży w kosmos.
慌张	panikować; być zdenerwowanym	Nie panikuj, kiedy napotkasz problem.
黄金	złoto	Cena złota znowu wzrosła.
恢复	wyzdrowieć; przywrócić	Jego organizm wraca do zdrowia.
挥	machać; wymachiwać	Ona pomachała ręką.
灰	szary; popiół	Niebo jest szare.
灰尘	kurz	Na stole jest dużo kurzu.
灰心	tracić otuchę	Nie trać otuchy, nawet jeśli poniesiesz porażkę.
汇率	kurs wymiany	Jaki jest dzisiejszy kurs wymiany?
婚礼	ślub; ceremonia ślubna	Ich ślub był bardzo prosty.
婚姻	małżeństwo	Małżeństwo wymaga wzajemnego zrozumienia.
活跃	aktywny	On jest bardzo aktywny na lekcji.
伙伴	partner; towarzysz	On jest moim najlepszym partnerem.
火柴	zapałka	W pudełku została tylko jedna zapałka.
或许	być może	Być może jutro będzie padać.
基本	podstawowy	To są podstawowe wymagania.
机器	maszyna	Ta maszyna jest zepsuta.
激烈	intensywny; zacięty	Rywalizacja była bardzo zacięta.
肌肉	mięsień	Po ćwiczeniach trochę bolą mnie mięśnie.
及格	zdać egzamin	On zdał ten egzamin.
急忙	w pośpiechu	On wybiegł z klasy w pośpiechu.
急诊	ostry dyżur; pomoc doraźna	Pacjent został wysłany na ostry dyżur.
极其	niezwykle	Ta sprawa jest niezwykle ważna.
集合	zebrać się; zbiórka	Proszę zebrać się przy wejściu o ósmej.
集体	grupa; zbiorowy	To jest zajęcie grupowe.
集中	skupiać się; koncentrować się	Na lekcji powinieneś się skupić.
寂寞	samotny	Życie w pojedynkę czasem bywa samotne.
