source_headword	KM	example_KM
interfere	ជ្រៀតជ្រែក	កុំជ្រៀតជ្រែកក្នុងការស៊ើបអង្កេត។
interference	ការជ្រៀតជ្រែក	ការជ្រៀតជ្រែកនៃសញ្ញាបានរំខានដល់ការហៅទូរស័ព្ទ។
interim	បណ្ដោះអាសន្ន	របាយការណ៍បណ្ដោះអាសន្ននឹងមកដល់នៅថ្ងៃស្អែក។
interior	ផ្នែកខាងក្នុង	ជញ្ជាំងខាងក្នុងត្រូវការលាបថ្នាំ។
intermediate	មធ្យម	នាងបានចូលរៀនថ្នាក់មធ្យម។
intervene	អន្តរាគមន៍	ប៉ូលីសត្រូវអន្តរាគមន៍យ៉ាងឆាប់រហ័ស។
intervention	ការអន្តរាគមន៍	ការអន្តរាគមន៍ទាន់ពេលវេលបានជួយអ្នកជំងឺ។
intimate	ជិតស្និទ្ធ	ពួកគេបានរៀបចំពិធីគ្រួសារដ៏ជិតស្និទ្ធមួយ។
intriguing	គួរឱ្យចាប់អារម្មណ៍	ទិន្នន័យបានបង្ហាញពីលំនាំដ៏គួរឱ្យចាប់អារម្មណ៍មួយ។
investigator	អ្នកស៊ើបអង្កេត	អ្នកស៊ើបអង្កេតបានសម្ភាសសាក្សីនីមួយៗ។
invisible	មើលមិនឃើញ	ឧស្ម័ននេះមើលមិនឃើញ និងមានគ្រោះថ្នាក់។
invoke	អំពាវនាវ	មេធាវីបានព្យាយាមប្រើប្រាស់និទស្សន៍។
involvement	ការចូលរួម	ការចូលរួមរបស់គាត់នៅតែមិនច្បាស់លាស់។
ironic	បញ្ឆិតបញ្ឆៀង	មតិបញ្ឆិតបញ្ឆៀងបានធ្វើឱ្យមនុស្សគ្រប់គ្នាសើច។
ironically	គួរឱ្យអស់សំណើច	គួរឱ្យអស់សំណើចណាស់ផ្លូវនេះចំណាយពេលយូរជាង។
irony	ភាពបញ្ឆិតបញ្ឆៀង	ភាពបញ្ឆិតបញ្ឆៀងនេះច្បាស់ណាស់សម្រាប់មនុស្សគ្រប់គ្នា។
irrelevant	មិនទាក់ទង	ព័ត៌មានលម្អិតនោះមិនទាក់ទងនៅទីនេះទេ។
isolation	ការនៅឯកោ	ការនៅឯកោអាចប៉ះពាល់ដល់សុខភាពផ្លូវចិត្ត។
judicial	តុលាការ	ការត្រួតពិនិត្យរបស់តុលាការចាប់ផ្តើមនៅថ្ងៃចន្ទ។
junction	ផ្លូវបំបែក	បត់ឆ្វេងនៅផ្លូវបំបែក។
jurisdiction	យុត្តាធិការ	តុលាការមានយុត្តាធិការមានកំណត់។
just	យុត្តិធម៌	ចៅក្រមបានធ្វើការសម្រេចចិត្តដោយយុត្តិធម៌។
justification	ការបង្ហាញភាពត្រឹមត្រូវ	យើងត្រូវការការបង្ហាញភាពត្រឹមត្រូវច្បាស់លាស់សម្រាប់ការចំណាយ។
kidnap	ចាប់ជម្រិត	ឧក្រិដ្ឋជនបានព្យាយាមចាប់ជម្រិតអ្នកការទូត។
kidney	តម្រងនោម	មុខងារតម្រងនោមរបស់នាងបានប្រសើរឡើង។
kingdom	ព្រះរាជាណាចក្រ	ព្រះរាជាណាចក្របានពង្រីកក្រោមការគ្រប់គ្រងរបស់ទ្រង់។
lad	ក្មេងប្រុស	ក្មេងប្រុសវ័យក្មេងបានយួរកាបូប។
landlord	ម្ចាស់ផ្ទះ	ម្ចាស់ផ្ទះបានជួសជុលម៉ាស៊ីនកម្តៅ។
landmark	កន្លែងសម្គាល់	ប៉មនេះបានក្លាយជាកន្លែងសម្គាល់របស់ទីក្រុង។
lap	ភ្លៅ	ក្មេងអង្គុយនៅលើភ្លៅរបស់នាង។
large-scale	ទ្រង់ទ្រាយធំ	ទីក្រុងបានគ្រោងជួសជុលទ្រង់ទ្រាយធំ។
laser	ឡាស៊ែរ	ឡាស៊ែរបានវាស់ចម្ងាយ។
latter	ក្រោយ	ជម្រើសក្រោយហាក់ដូចជាមានសុវត្ថិភាពជាង។
lawn	វាលស្មៅ	កុមារបានលេងនៅលើវាលស្មៅ។
lawsuit	បណ្តឹង	ក្រុមហ៊ុនបានដោះស្រាយបណ្តឹងនេះ។
layout	ប្លង់	ប្លង់ទំព័រមើលទៅច្បាស់ជាងមុន។
leak	លេចធ្លាយ	ការលេចធ្លាយបំពង់ទឹកបានជន់លិចផ្ទះបាយ។
leap	ការលោត	ការលក់បានកើនឡើងយ៉ាងរហ័ស។
legacy	កេរដំណែល	កេរដំណែលរបស់នាងបានរៀបចំសាកលវិទ្យាល័យ។
legendary	ល្បីល្បាញ	អ្នកចម្រៀងដ៏ល្បីល្បាញបានត្រលប់មកឆាកវិញ។
legislation	ច្បាប់	ច្បាប់ថ្មីការពារអ្នកជួល។
legislative	នីតិបញ្ញត្តិ	គណៈកម្មាធិការនីតិបញ្ញត្តិបានប្រជុំនៅថ្ងៃនេះ។
legislature	អង្គនីតិបញ្ញត្តិ	អង្គនីតិបញ្ញត្តិបានអនុម័តថវិកា។
legitimate	ស្របច្បាប់	ពួកគេបានលើកឡើងនូវក្តីបារម្ភស្របច្បាប់។
lengthy	យូរ	ការពិភាក្សាដ៏យូរបានពន្យារពេលការបោះឆ្នោត។
lesbian	អ្នកស្រឡាញ់ភេទដូចគ្នា	សកម្មជនអ្នកស្រឡាញ់ភេទដូចគ្នាបាននិយាយនៅក្នុងវេទិកានេះ។
lesser	តិចជាង	ជ្រើសរើសហានិភ័យដែលតិចជាង។
lethal	អាចបណ្តាលឱ្យស្លាប់	សារធាតុគីមីអាចបណ្តាលឱ្យស្លាប់។
liable	ទទួលខុសត្រូវ	អ្នកបើកបរត្រូវទទួលខុសត្រូវចំពោះការខូចខាត។
liberal	សេរីនិយម	គាត់គាំទ្រគោលនយោបាយសង្គមសេរី។
liberation	ការរំដោះ	ការរំដោះបានផ្លាស់ប្តូរអនាគតរបស់ប្រទេស។
liberty	សេរីភាព	ច្បាប់ការពារសេរីភាពផ្ទាល់ខ្លួន។
license	ផ្តល់អាជ្ញាប័ណ្ណ	រដ្ឋអាចផ្តល់អាជ្ញាប័ណ្ណដល់គ្លីនិកថ្មី។
lifelong	ពេញមួយជីវិត	នាងមានមិត្តភក្តិពេញមួយជីវិតនៅទីនោះ។
likelihood	លទ្ធភាព	លទ្ធភាពនៃភ្លៀងបានកើនឡើង។
limb	អវយវៈ	អវយវៈដែលរងរបួសបានជាសះស្បើយយឺតៗ។
linear	លីនេអ៊ែរ	តារាងបង្ហាញពីនិន្នាការលីនេអ៊ែរ។
line-up	បញ្ជីឈ្មោះ	បញ្ជីឈ្មោះពិធីបុណ្យរួមមានក្រុមតន្ត្រីក្នុងស្រុក។
linger	ស្នាក់នៅយូរ	ក្លិននេះអាចជាប់នៅរាប់ម៉ោង។
listing	បញ្ជី	បញ្ជីអាផាតមិនមើលទៅត្រឹមត្រូវ។
literacy	អក្ខរកម្ម	កម្មវិធីអក្ខរកម្មមនុស្សពេញវ័យបានពង្រីក។
liver	ថ្លើម	ថ្លើមច្រោះសារធាតុគ្រោះថ្នាក់។
lobby	កន្លែងទទួលភ្ញៀវ	កន្លែងទទួលភ្ញៀវមានមនុស្សកកកុញនៅពេលរសៀល។
log	កំណត់ហេតុ	ប្រព័ន្ធរក្សាកំណត់ហេតុប្រចាំថ្ងៃ។
logic	តក្កវិជ្ជា	តក្កវិជ្ជានៃអំណះអំណាងរបស់គាត់បានបរាជ័យ។
long-standing	ដែលមានរយៈពេលយូរ	ពួកគេបានដោះស្រាយជម្លោះដែលមានរយៈពេលយូរ។
long-time	ជាយូរមកហើយ	នាងគឺជាអ្នកស្ម័គ្រចិត្តជាយូរមកហើយ។
loom	លេចឡើងយ៉ាងព្រិលៗ	ពពកខ្មៅលេចឡើងនៅលើជ្រលងភ្នំ។
loop	រង្វិលជុំ	ផ្លូវនេះបង្កើតជារង្វិលជុំ។
loyalty	ភាពស្មោះត្រង់	ភាពស្មោះត្រង់របស់គាត់បានធ្វើឱ្យក្រុមចាប់អារម្មណ៍។
machinery	គ្រឿងម៉ាស៊ីន	រោងចក្របានដំឡើងគ្រឿងម៉ាស៊ីនថ្មី។
magical	វេទមន្ត	សួនច្បារមើលទៅហាក់ដូចជាមានវេទមន្តនៅពេលយប់។
magistrate	ចៅក្រម	ចៅក្រមបានស្តាប់រឿងក្តី។
magnetic	ម៉ាញេទិក	ដែនម៉ាញេទិកបានប៉ះពាល់ដល់ត្រីវិស័យ។
magnitude	ទំហំ	ទំហំនៃការខូចខាតគឺច្បាស់លាស់។
mainland	ដីគោក	កប៉ាល់ចម្លងតភ្ជាប់កោះទៅនឹងដីគោក។
mainstream	ចរន្តគំនិតសំខាន់	គំនិតនេះបានចូលទៅក្នុងនយោបាយចរន្តសំខាន់។
maintenance	ការថែទាំ	ការថែទាំជាប្រចាំការពារការខូចខាត។
mandate	អាណត្តិ	ប្រធានាធិបតីបានអះអាងពីអាណត្តិដ៏រឹងមាំ។
mandatory	ជាកាតព្វកិច្ច	ការចូលរួមគឺជាកាតព្វកិច្ចសម្រាប់អ្នកហ្វឹកហាត់។
manifest	បង្ហាញឱ្យឃើញ	រោគសញ្ញាអាចបង្ហាញឱ្យឃើញបន្ទាប់ពីច្រើនសប្តាហ៍។
manipulate	រៀបចំ	កុំរៀបចំលទ្ធផលនៃការស្ទង់មតិ។
manipulation	ការរៀបចំ	ការរៀបចំទិន្នន័យត្រូវបានរកឃើញ។
manuscript	សាត្រាស្លឹករឹត	អ្នកបោះពុម្ពផ្សាយបានទទួលយកសាត្រាស្លឹករឹតរបស់នាង។
march	ដើរក្បួន	អ្នកតវ៉ានឹងដើរក្បួនទៅកណ្តាលទីក្រុង។
marginal	បន្តិចបន្តួច	ការផ្លាស់ប្តូរនេះមានអត្ថប្រយោជន៍បន្តិចបន្តួច។
marine	សមុទ្រ	ជីវិតក្នុងសមុទ្រត្រូវការទឹកស្អាត។
marketplace	ទីផ្សារ	ទីផ្សារអនឡាញបានពង្រីកយ៉ាងឆាប់រហ័ស។
mask	ម៉ាស	កម្មករត្រូវតែពាក់ម៉ាស។
massacre	ការសម្លាប់រង្គាល	ការសម្លាប់រង្គាលបានធ្វើឱ្យតំបន់ទាំងមូលរន្ធត់។
mathematical	គណិតវិទ្យា	ម៉ូដែលគណិតវិទ្យាបានព្យាករណ៍ពីតម្រូវការ។
mature	ចាស់ទុំ	ដើមឈើចាស់ទុំផ្តល់ម្លប់។
maximize	ពង្រីកអតិបរមា	ការធ្វើបច្ចុប្បន្នភាពនឹងពង្រីកអាយុកាលថ្មអតិបរមា។
meaningful	ដែលមានអត្ថន័យ	ពួកគេមានការសន្ទនាដ៏មានអត្ថន័យ។
meantime	ក្នុងពេលជាមួយគ្នានេះ	ក្នុងពេលជាមួយគ្នានេះ សូមរង់ចាំនៅខាងក្រៅ។
medieval	សម័យកណ្តាល	ប្រាសាទនេះមានជញ្ជាំងសម័យកណ្តាល។
meditation	ការសមាធិ	ការសមាធិប្រចាំថ្ងៃធ្វើឱ្យចិត្តនាងស្ងប់។
melody	បទភ្លេង	បទភ្លេងនេះស្ថិតនៅក្នុងក្បាលរបស់ខ្ញុំ។
memo	អនុស្សរណៈ	អនុស្សរណៈបានពន្យល់ពីគោលការណ៍។
memoir	កំណត់ហេតុផ្ទាល់ខ្លួន	កំណត់ហេតុផ្ទាល់ខ្លួនរបស់នាងពណ៌នាអំពីការនិរទេសកាលពីកុមារភាព។
memorial	ស្នាដៃរំលឹកគុណ	ស្នាដៃរំលឹកគុណផ្តល់កិត្តិយសដល់ទាហានក្នុងតំបន់។
mentor	អ្នកណែនាំ	អ្នកណែនាំរបស់នាងបានពិនិត្យមើលសំណើ។
merchant	ពាណិជ្ជករ	ពាណិជ្ជករបានលក់សូត្រ និងគ្រឿងទេស។
mercy	សេចក្តីមេត្តាករុណា	ចៅក្រមបានបង្ហាញសេចក្តីមេត្តាករុណា។
mere	គ្រាន់តែ	ការមើលមួយភ្លែតគ្រាន់តែបង្ហាញពីកំហុសប៉ុណ្ណោះ។
merely	ត្រឹមតែ	នាងគ្រាន់តែនិយាយឡើងវិញនូវការណែនាំ។
merge	បញ្ចូលគ្នា	ក្រុមហ៊ុនទាំងពីរនឹងបញ្ចូលគ្នា។
merger	ការរួមបញ្ចូលគ្នា	ការរួមបញ្ចូលគ្នាបានបង្កើតធនាគារធំជាងមុន។
merit	គុណសម្បត្តិ	សំណើនេះមានគុណសម្បត្តិច្បាស់លាស់។
methodology	វិធីសាស្រ្ត	ការសិក្សាពន្យល់ពីវិធីសាស្រ្តរបស់វា។
midst	កណ្តាល	ពួកគេធ្វើការនៅកណ្តាលភាពវឹកវរ។
migration	ការធ្វើចំណាកស្រុក	ការធ្វើចំណាកស្រុករដូវកាលប៉ះពាល់ដល់ការងារក្នុងតំបន់។
militant	ក្រុមប្រដាប់អាវុធ	ក្រុមប្រដាប់អាវុធបានបដិសេធការចរចា។
militia	កងនគរបាល	កងនគរបាលបានគ្រប់គ្រងផ្លូវ។
mill	រោងម៉ាស៊ីន	រោងម៉ាស៊ីនចាស់បានក្លាយជាសារមន្ទីរ។
minimal	អប្បបរមា	ផែនការនេះទាមទារការខិតខំប្រឹងប្រែងអប្បបរមា។
minimize	កាត់បន្ថយ	យើងត្រូវកាត់បន្ថយហានិភ័យដែលមិនចាំបាច់។
mining	ការជីកយករ៉ែ	ការជីកយករ៉ែបានបំផ្លាញជ្រលងទន្លេ។
ministry	ក្រសួង	ក្រសួងបានប្រកាសវិធានការថ្មី។
minute2	តូចតាច	ស្នាមប្រេះតូចមួយបានលេចឡើងនៅលើកញ្ចក់។
miracle	អព្ភូតហេតុ	ការជាសះស្បើយរបស់គាត់ហាក់ដូចជាអព្ភូតហេតុមួយ។
misery	ភាពសោកសៅ	ជនភៀសខ្លួនស៊ូទ្រាំនឹងភាពសោកសៅជាច្រើនឆ្នាំ។
misleading	ដែលនាំឱ្យយល់ខុស	គំនូសតាងដែលនាំឱ្យយល់ខុសបានធ្វើឱ្យអ្នកអានមានការភាន់ច្រឡំ។
missile	មីស៊ីល	ការសាកល្បងមីស៊ីលបានបង្កើនភាពតានតឹង។
mob	ហ្វូងមនុស្ស	ហ្វូងមនុស្សខឹងសម្បារបានរារាំងចរាចរណ៍។
mobility	ភាពចល័ត	ឡានក្រុងល្អជាងមុនធ្វើឱ្យប្រសើរឡើងនូវភាពចល័តក្នុងទីក្រុង។
mobilize	ប្រមូលផ្តុំ	មេដឹកនាំប្រមូលផ្តុំអ្នកស្ម័គ្រចិត្តយ៉ាងឆាប់រហ័ស។
moderate	មធ្យម	បេក្ខជនមានទស្សនៈមធ្យម។
modification	ការកែប្រែ	ការរចនាត្រូវការការកែប្រែមួយ។
momentum	សន្ទុះ	យុទ្ធនាការនេះទទួលបានសន្ទុះយ៉ាងឆាប់រហ័ស។
monk	ព្រះសង្ឃ	ព្រះសង្ឃរស់នៅក្នុងភាពស្ងៀមស្ងាត់។
monopoly	ភាពផ្តាច់មុខ	ក្រុមហ៊ុននេះមានភាពផ្តាច់មុខ។
morality	សីលធម៌	វគ្គសិក្សានេះពិនិត្យមើលសីលធម៌សាធារណៈ។
motive	គោលគំនិត	ប៉ូលីសបានសួរអំពីគោលគំនិតរបស់គាត់។
motorist	អ្នកបើកបរម៉ូតូ	អ្នកបើកបរបានឈប់នៅភ្លើងក្រហម។
municipal	ក្រុង	សេវាកម្មក្រុងបានប្រសើរឡើងនៅឆ្នាំនេះ។
mutual	ទៅវិញទៅមក	ពួកគេឈានដល់កិច្ចព្រមព្រៀងទៅវិញទៅមក។
namely	ពោលគឺ	បញ្ហាមួយនៅតែមានពោលគឺការផ្តល់មូលនិធិ។
nationwide	ទូទាំងប្រទេស	កូដកម្មនេះបណ្តាលឱ្យមានការពន្យារពេលទូទាំងប្រទេស។
naval	កងទ័ពជើងទឹក	មូលដ្ឋានកងទ័ពជើងទឹកបានបិទកាលពីឆ្នាំមុន។
neglect	មិនយកចិត្តទុកដាក់	កុំមិនយកចិត្តទុកដាក់លើសុវត្ថិភាពមូលដ្ឋាន។
neighbouring	ដែលនៅជិតខាង	ទីក្រុងដែលនៅជិតខាងបានចែករំលែកមន្ទីរពេទ្យ។
nest	សំបុក	សត្វស្លាបបានសាងសង់សំបុក។
net	សុទ្ធ	ប្រាក់ចំណេញសុទ្ធបានកើនឡើងយ៉ាងខ្លាំង។
newsletter	ព្រឹត្តិបត្រព័ត៌មាន	ព្រឹត្តិបត្រព័ត៌មានមកដល់រៀងរាល់ថ្ងៃសុក្រ។
niche	ទីផ្សារជាក់លាក់	ក្រុមហ៊ុនបានរកឃើញទីផ្សារជាក់លាក់ដែលរកប្រាក់ចំណេញ។
noble	ថ្លៃថ្នូរ	កាយវិការដ៏ថ្លៃថ្នូររបស់នាងបានធ្វើឱ្យគ្រប់គ្នាចាប់អារម្មណ៍។
nod	ងក់ក្បាល	សូមងក់ក្បាលប្រសិនបើអ្នកយល់។
nominate	តែងតាំង	ពួកគេនឹងតែងតាំងប្រធានថ្មី។
nomination	ការតែងតាំង	ការតែងតាំងរបស់នាងធ្វើឱ្យគណៈកម្មាធិការភ្ញាក់ផ្អើល។
nominee	បេក្ខជនដែលត្រូវបានតែងតាំង	បេក្ខជនដែលត្រូវបានតែងតាំងបានឆ្លើយសំណួរពិបាកៗ។
nonetheless	ទោះយ៉ាងណាក៏ដោយ	ទោះយ៉ាងណាក៏ដោយផែនការបានឈានទៅមុខ។
non-profit	មិនរកប្រាក់ចំណេញ	នាងធ្វើការឱ្យគ្លីនិកមិនរកប្រាក់ចំណេញ។
nonsense	រឿងមិនសមហេតុផល	ពាក្យចចាមអារ៉ាមនោះគឺជារឿងមិនសមហេតុផលទាំងស្រុង។
noon	ថ្ងៃត្រង់	ការប្រជុំចាប់ផ្តើមនៅពេលថ្ងៃត្រង់។
notable	គួរឱ្យកត់សម្គាល់	របាយការណ៍នេះមានការរីកចម្រើនគួរឱ្យកត់សម្គាល់។
notably	ជាពិសេស	ជាពិសេសការចំណាយបានធ្លាក់ចុះនៅខែឧសភា។
notify	ជូនដំណឹង	សូមជូនដំណឹងដល់បុគ្គលិកមុនពេលចាកចេញ។
notorious	ល្បីខាងអាក្រក់	ផ្លូវនេះល្បីខាងអាក្រក់ដោយសារមានគ្រោះថ្នាក់ចរាចរណ៍ច្រើន។
novel	ថ្មី	ពួកគេបានស្នើសុំដំណោះស្រាយថ្មីមួយ។
nursery	កន្លែងថែទាំកុមារ	កន្លែងថែទាំកុមារមើលថែទារក។
objection	ការជំទាស់	មេធាវីបានលើកឡើងនូវការជំទាស់មួយ។
oblige	បង្ខំ	ច្បាប់បង្ខំឲ្យអ្នកបើកបរឈប់។
obsess	ងប់ងុល	កុំងប់ងុលនឹងកំហុសតូចតាចអី។
obsession	ការងប់ងុល	ការងប់ងុលរបស់គាត់បានបំផ្លាញការងារគាត់។
occasional	យូរៗម្តង	ការយឺតយ៉ាវយូរៗម្តងគឺជារឿងដែលត្រូវបានរំពឹងទុក។
occurrence	ហេតុការណ៍	ហេតុការណ៍បែបនេះគឺកម្រណាស់។
odds	ឱកាស	ឱកាសនៃភាពជោគជ័យមានភាពប្រសើរឡើង។
offering	ការផ្តល់ជូន	សាកលវិទ្យាល័យបានពង្រីកការផ្តល់ជូនរបស់ខ្លួន។
offspring	កូនចៅ	កញ្ជ្រោងបានការពារកូនៗរបស់វា។
operational	ដែលអាចដំណើរការបាន	ប្រព័ន្ធថ្មីនេះអាចដំណើរការបានហើយ។
opt	ជ្រើសរើស	សិស្សជាច្រើនជ្រើសរើសរៀនតាមអនឡាញ។
optical	ទាក់ទងនឹងភ្នែក	កញ្ចក់ភ្នែកនេះត្រូវការសម្អាត។
optimism	សុទិដ្ឋិនិយម	សុទិដ្ឋិនិយមបានវិលត្រឡប់មកវិញបន្ទាប់ពីការប្រកាស។
oral	ដោយផ្ទាល់មាត់	ការប្រឡងផ្ទាល់មាត់ចាប់ផ្តើមនៅថ្ងៃស្អែក។
organizational	ទាក់ទងនឹងស្ថាប័ន	ការផ្លាស់ប្តូរស្ថាប័នបានចាប់ផ្តើមភ្លាមៗ។
orientation	ការតម្រង់ទិស	សិក្ខាសាលាបានគ្របដណ្តប់លើការតម្រង់ទិសបុគ្គលិក។
originate	មានប្រភព	ប្រពៃណីជាច្រើនមានប្រភពចេញពីភូមិនៅជនបទ។
outbreak	ការផ្ទុះឡើង	ការផ្ទុះឡើងនៃជំងឺនេះបានរាលដាលពាសពេញទីក្រុង។
outing	ការដើរកម្សាន្ត	សិស្សក្នុងថ្នាក់រីករាយនឹងការដើរកម្សាន្តនៅសារមន្ទីរ។
outlet	កន្លែងលក់ទំនិញ	កន្លែងលក់ទំនិញលក់សម្លៀកបំពាក់បញ្ចុះតម្លៃ។
outlook	ទស្សនវិស័យ	ទស្សនវិស័យសេដ្ឋកិច្ចនៅតែមិនច្បាស់លាស់។
outrage	ការខឹងសម្បារ	ការសម្រេចចិត្តនេះបណ្តាលឲ្យមានការខឹងសម្បារពីសាធារណជន។
outsider	អ្នកខាងក្រៅ	ក្នុងនាមជាអ្នកខាងក្រៅ នាងបានកត់សម្គាល់ឃើញពីបញ្ហាជាច្រើន។
overlook	មើលរំលង	កុំមើលរំលងព័ត៌មានលម្អិតតូចតាចអី។
overly	ហួសហេតុ	ការណែនាំទាំងនោះស្មុគស្មាញហួសហេតុ។
oversee	ត្រួតពិនិត្យ	នាងនឹងត្រួតពិនិត្យគម្រោងនេះ។
overturn	បដិសេធ	តុលាការអាចនឹងបដិសេធសេចក្តីសម្រេចនេះ។
overwhelm	ធ្វើឲ្យលិចលង់	ព័ត៌មានច្រើនពេកអាចធ្វើឲ្យអ្នកសិក្សាគិតមិនទាន់។
overwhelming	យ៉ាងលើសលប់	ភស្តុតាងមានច្រើនយ៉ាងលើសលប់។
pad	ទ្រនាប់	ប្រើទ្រនាប់នេះដើម្បីការពារជង្គង់។
parameter	ប៉ារ៉ាម៉ែត្រ	កែតម្រូវប៉ារ៉ាម៉ែត្រម្តងមួយៗ។
parental	របស់មាតាបិតា	ការគាំទ្ររបស់មាតាបិតាបានធ្វើឲ្យវត្តមានមានភាពប្រសើរឡើង។
parish	សហគមន៍កាតូលិក	សហគមន៍កាតូលិកបានរៀបចំអាហារពេលល្ងាចសប្បុរសធម៌មួយ។
parliamentary	នៃសភា	ការជជែកដេញដោលក្នុងសភាមានរយៈពេលជាច្រើនម៉ោង។
partial	មួយផ្នែក	របាយការណ៍បានផ្តល់ចម្លើយមួយផ្នែក។
partially	ដោយផ្នែក	បង្អួចបានបើកចំហរដោយផ្នែក។
passing	ការស្លាប់	ការស្លាប់របស់នាងកើតឡើងភ្លាមៗ។
passive	អសកម្ម	អ្នកវិនិយោគអសកម្មបានទទួលយកប្រាក់ចំណេញថេរ។
pastor	គ្រូគង្វាល	គ្រូគង្វាលបានទៅសួរសុខទុក្ខគ្រួសារនោះ។
patch	បំណះ	អាវធំនេះត្រូវការបំណះតូចមួយ។
