simplified	KM	example_KM
宝贵	មានតម្លៃ	ពេលវេលាមានតម្លៃខ្លាំងណាស់។
报到	មកចុះឈ្មោះ	សិស្សថ្មីមកសាលាដើម្បីចុះឈ្មោះថ្ងៃនេះ។
报道	រាយការណ៍ព័ត៌មាន	ព័ត៌មានបានរាយការណ៍អំពីរឿងនេះ។
报告	របាយការណ៍; រាយការណ៍	គាត់កំពុងធ្វើរបាយការណ៍។
报社	ការិយាល័យកាសែត	នាងធ្វើការនៅការិយាល័យកាសែត។
抱怨	ត្អូញត្អែរ	គាត់តែងតែត្អូញត្អែរថាការងារច្រើនពេក។
悲观	ទុទិដ្ឋិនិយម	កុំទុទិដ្ឋិនិយមពេក។
背	ខ្នង	គាត់កំពុងអង្គុយបែរខ្នងទៅទ្វារ។
背景	ផ្ទៃខាងក្រោយ; ប្រវត្តិ	សូមណែនាំប្រវត្តិរបស់អ្នកដោយខ្លី។
被子	ភួយ	ភួយនេះកក់ក្តៅណាស់។
本科	ថ្នាក់បរិញ្ញាបត្រ	គាត់ជានិស្សិតថ្នាក់បរិញ្ញាបត្រ។
本领	ជំនាញ; សមត្ថភាព	គាត់បានរៀនជំនាញថ្មីមួយ។
本质	សារសំខាន់; ធាតុពិត	សារសំខាន់នៃបញ្ហានេះសាមញ្ញណាស់។
彼此	គ្នាទៅវិញទៅមក	យើងគួរគោរពគ្នាទៅវិញទៅមក។
比例	សមាមាត្រ	សមាមាត្របុរសនិងស្ត្រីប្រហាក់ប្រហែលគ្នា។
必然	ជៀសមិនរួច	ការខិតខំប្រឹងប្រែងនឹងនាំមកនូវលទ្ធផលជៀសមិនរួច។
必要	ចាំបាច់	មិនចាំបាច់ព្រួយបារម្ភទេ។
毕竟	យ៉ាងណាមិញ	យ៉ាងណាមិញ គាត់នៅតែជាកុមារ។
避免	ជៀសវាង	សូមជៀសវាងការមកយឺត។
编辑	កែសម្រួល; និពន្ធនាយក	គាត់ទទួលខុសត្រូវកែសម្រួលអត្ថបទនេះ។
鞭炮	ផាវ	ពេលបុណ្យចូលឆ្នាំចិន មនុស្សខ្លះបាញ់ផាវ។
便	បន្ទាប់មក; ងាយស្រួល	បន្ទាប់ពីញ៉ាំអាហារ គាត់ទៅរៀន។
辩论	ជជែកដេញដោល	ពួកគេកំពុងជជែកដេញដោលអំពីសំណួរនេះ។
标点	វណ្ណយុត្តិ	សូមប្រុងប្រយ័ត្នវណ្ណយុត្តិ។
标志	សញ្ញា	ភ្លើងក្រហមជាសញ្ញាឲ្យឈប់។
表达	បង្ហាញ; ថ្លែង	គាត់បានបង្ហាញទស្សនៈរបស់ខ្លួន។
表面	ផ្ទៃខាងក្រៅ	ផ្ទៃតុស្អាតណាស់។
表明	បង្ហាញថា	លទ្ធផលបង្ហាញថាគាត់ត្រឹមត្រូវ។
表情	ទឹកមុខ	ទឹកមុខរបស់នាងមើលទៅតឹងរឹងណាស់។
表现	ការបង្ហាញខ្លួន; សម្តែង	ថ្ងៃនេះគាត់ធ្វើបានល្អណាស់។
冰激凌	ការ៉េម	កុមារចូលចិត្តញ៉ាំការ៉េម។
病毒	មេរោគ	មេរោគប្រភេទនេះឆ្លងរាលដាលលឿនណាស់។
播放	ចាក់ផ្សាយ; ចាក់	សូមចាក់បទចម្រៀងនេះ។
玻璃	កញ្ចក់	កែវកញ្ចក់បានបែក។
博物馆	សារមន្ទីរ	ចុងសប្តាហ៍នេះយើងនឹងទៅសារមន្ទីរ។
脖子	ក	ករបស់ខ្ញុំឈឺបន្តិច។
不断	ជាបន្តបន្ទាប់	តម្លៃកើនឡើងជាបន្តបន្ទាប់។
不见得	មិនប្រាកដថា	នេះមិនប្រាកដថាជារឿងអាក្រក់ទេ។
不耐烦	អស់អត់ធ្មត់	បន្ទាប់ពីរង់ចាំយូរ គាត់អស់អត់ធ្មត់បន្តិច។
不要紧	មិនអីទេ; មិនសំខាន់	មិនអីទេ វាមិនសំខាន់ទេ។
补充	បន្ថែម	ខ្ញុំចង់បន្ថែមមតិមួយ។
不安	មិនស្ងប់ចិត្ត	បន្ទាប់ពីឮព័ត៌មាននេះ នាងមានអារម្មណ៍មិនស្ងប់ចិត្ត។
不得了	ធ្ងន់ធ្ងរណាស់	រឿងនេះធ្ងន់ធ្ងរណាស់។
不然	បើមិនដូច្នោះទេ	ចេញទៅឲ្យលឿន បើមិនដូច្នោះទេអ្នកនឹងយឺត។
不如	មិនស្មើនឹង; ប្រសើរជាង	ជាជាងជិះយានជំនិះ ដើរទៅប្រសើរជាង។
不足	មិនគ្រប់គ្រាន់	ទីនេះទឹកមិនគ្រប់គ្រាន់ទេ។
布	ក្រណាត់	ក្រណាត់មួយដុំនេះទន់ណាស់។
步骤	ជំហាន	សូមអនុវត្តតាមជំហាន។
部门	នាយកដ្ឋាន	ខ្ញុំធ្វើការនៅនាយកដ្ឋានលក់។
财产	ទ្រព្យសម្បត្តិ	ផ្ទះនេះជាទ្រព្យសម្បត្តិរបស់គាត់។
彩虹	ឥន្ទធនូ	បន្ទាប់ពីភ្លៀង ឥន្ទធនូបានលេចឡើង។
踩	ជាន់	កុំជាន់ស្មៅ។
采访	សម្ភាសន៍	អ្នកយកព័ត៌មានកំពុងសម្ភាសន៍វេជ្ជបណ្ឌិត។
采取	អនុវត្ត; ប្រើប្រាស់	យើងបានអនុវត្តវិធីសាស្ត្រថ្មីមួយ។
参考	យោង	សូមយោងសៀវភៅនេះ។
参与	ចូលរួម	គាត់ចូលរួមសកម្មភាពយ៉ាងសកម្ម។
惭愧	អៀនខ្មាស	ខ្ញុំអៀនខ្មាសចំពោះកំហុសរបស់ខ្លួន។
操场	ទីលានកីឡា	សិស្សកំពុងរត់នៅទីលានកីឡា។
操心	បារម្ភ	កុំបារម្ភពីខ្ញុំ។
册	ក្បាល; ភាគ	ខ្ញុំបានទិញសៀវភៅមួយក្បាល។
测验	តេស្តខ្លី	ថ្ងៃស្អែកមានតេស្តខ្លីមួយ។
曾经	ធ្លាប់	ខ្ញុំធ្លាប់រស់នៅប៉េកាំង។
叉子	សម	ខ្ញុំញ៉ាំសាឡាត់ដោយប្រើសម។
差距	គម្លាត	មានគម្លាតរវាងទីក្រុងនិងជនបទ។
插	ដោត; ដាក់ចូល	សូមដាក់ផ្កាចូលក្នុងថូ។
拆	រុះរើ	កម្មករកំពុងរុះរើផ្ទះចាស់។
产品	ផលិតផល	ផលិតផលនេះមានគុណភាពល្អណាស់។
产生	បង្កើត; កើតឡើង	បញ្ហានេះបានបង្កើតផលប៉ះពាល់ថ្មីមួយ។
常识	ចំណេះដឹងទូទៅ	នេះជាចំណេះដឹងទូទៅមូលដ្ឋាន។
长途	ផ្លូវឆ្ងាយ	ការធ្វើដំណើរផ្លូវឆ្ងាយធ្វើឲ្យនឿយហត់។
抄	ចម្លង	សូមកុំចម្លងកិច្ចការផ្ទះរបស់អ្នកដទៃ។
超级	អស្ចារ្យ; ធំខ្លាំង	នេះជាផ្សារទំនើប។
朝	រាជវង្ស	រាជវង្សថាងល្បីល្បាញណាស់។
潮湿	សើម	រដូវក្តៅនៅភាគខាងត្បូងសើមខ្លាំងណាស់។
吵	រំខាន; ឮសំឡេងខ្លាំង	ខាងក្រៅរំខានខ្លាំងណាស់។
吵架	ឈ្លោះគ្នា	ពួកគេឈ្លោះគ្នាម្តងទៀតហើយ។
炒	ឆា	ម៉ាក់កំពុងឆាអាហារ។
车库	យានដ្ឋាន	ឡានចតនៅក្នុងយានដ្ឋាន។
车厢	ទូរថភ្លើង	ទូរថភ្លើងនេះស្ងាត់ណាស់។
彻底	យ៉ាងពេញលេញ; ដាច់ខាត	គាត់យល់យ៉ាងពេញលេញ។
沉默	ស្ងៀមស្ងាត់	គាត់បានស្ងៀមស្ងាត់ពេញមួយពេល។
趁	ឆ្លៀតពេល	យើងចេញទៅខណៈពេលមិនទាន់ងងឹតចុះ។
称	ថ្លឹង	សូមថ្លឹងកញ្ចប់នេះ។
称呼	ហៅថា; របៀបហៅ	ខ្ញុំមិនដឹងថាត្រូវហៅគាត់យ៉ាងដូចម្តេចទេ។
称赞	សរសើរ	គ្រូបានសរសើរការរីកចម្រើនរបស់គាត់។
成分	សមាសធាតុ	សមាសធាតុនៃថ្នាំនេះសាមញ្ញណាស់។
成果	លទ្ធផល	គម្រោងនេះទទួលបានលទ្ធផល។
成就	សមិទ្ធផល	គាត់មានសមិទ្ធផលជាច្រើនក្នុងអាជីពរបស់គាត់។
成立	បង្កើតឡើង	ក្រុមហ៊ុននេះត្រូវបានបង្កើតឡើងកាលពីឆ្នាំមុន។
成人	មនុស្សពេញវ័យ	សំបុត្រមនុស្សពេញវ័យថ្លៃជាងសំបុត្រកុមារ។
成熟	ទុំ; ពេញវ័យ	ផ្លែប៉ោមទុំរួចហើយ។
成语	សុភាសិតចិន	សុភាសិតចិននេះត្រូវបានប្រើញឹកញាប់។
成长	ធំឡើង	កុមារកំពុងធំឡើងយឺតៗ។
承担	ទទួលខុសត្រូវ	គាត់ស្ម័គ្រចិត្តទទួលខុសត្រូវ។
承认	ទទួលស្គាល់	គាត់បានទទួលស្គាល់ថាគាត់ខុស។
承受	ទ្រាំទ្រ	ខ្ញុំមិនអាចទ្រាំទ្រសម្ពាធធំបែបនេះបានទេ។
程度	កម្រិត	កម្រិតភាសាចិនរបស់គាត់ខ្ពស់ណាស់។
程序	នីតិវិធី; កម្មវិធី	សូមដោះស្រាយវាតាមនីតិវិធី។
诚恳	ស្មោះត្រង់	អាកប្បកិរិយារបស់គាត់ស្មោះត្រង់ណាស់។
吃亏	ខាតបង់	មុនទិញរបស់ សូមមើលឲ្យច្បាស់ ដើម្បីកុំឲ្យខាតបង់។
持续	បន្ត	ភ្លៀងបានបន្តធ្លាក់បីថ្ងៃ។
池塘	ស្រះ	ក្នុងស្រះមានត្រីជាច្រើន។
迟早	មិនយូរមិនឆាប់	មិនយូរមិនឆាប់ អ្នកនឹងយល់។
尺子	បន្ទាត់វាស់	សូមវាស់វាដោយបន្ទាត់វាស់។
翅膀	ស្លាប	ស្លាបរបស់បក្សីរងរបួស។
充电器	ឆ្នាំងសាក	ឆ្នាំងសាករបស់ខ្ញុំខូចហើយ។
充分	គ្រប់គ្រាន់; ពេញលេញ	យើងបានរៀបចំយ៉ាងគ្រប់គ្រាន់។
充满	ពេញទៅដោយ	បន្ទប់ពេញទៅដោយសំឡេងសើច។
冲	លាង; បុកទៅមុខ	សូមលាងកែវដោយទឹក។
重复	ធ្វើម្តងទៀត	សូមកុំធ្វើកំហុសដដែលម្តងទៀត។
宠物	សត្វចិញ្ចឹម	នាងចិញ្ចឹមឆ្កែជាសត្វចិញ្ចឹម។
抽屉	ថតតុ	កូនសោនៅក្នុងថតតុ។
抽象	អរូបី	គំនិតនេះអរូបីពេក។
丑	អាក្រក់	រូបថតនេះអាក្រក់បន្តិច។
臭	ស្អុយ	សំរាមមានក្លិនស្អុយ។
出版	បោះពុម្ពផ្សាយ	សៀវភៅនេះត្រូវបានបោះពុម្ពផ្សាយកាលពីឆ្នាំមុន។
出口	ច្រកចេញ	ច្រកចេញនៅខាងមុខ។
出色	លេចធ្លោ; អស្ចារ្យ	ការសម្តែងរបស់នាងលេចធ្លោណាស់។
出示	បង្ហាញ	សូមបង្ហាញលិខិតឆ្លងដែនរបស់អ្នក។
出席	ចូលរួម	គាត់នឹងចូលរួមកិច្ចប្រជុំ។
初级	កម្រិតដំបូង	ខ្ញុំរៀនភាសាចិននៅថ្នាក់កម្រិតដំបូង។
除非	លុះត្រាតែ	លុះត្រាតែភ្លៀងធ្លាក់ បើមិនដូច្នោះទេយើងនឹងទៅឡើងភ្នំនៅថ្ងៃស្អែក។
除夕	យប់ចូលឆ្នាំ	នៅយប់ចូលឆ្នាំ គ្រួសារយើងទាំងមូលញ៉ាំអាហារជាមួយគ្នា។
处理	ដោះស្រាយ	ខ្ញុំនឹងដោះស្រាយបញ្ហានេះ។
传播	ផ្សព្វផ្សាយ; រាលដាល	ព័ត៌មាននេះរាលដាលលឿនណាស់។
传染	ឆ្លង	ជំងឺផ្តាសាយងាយឆ្លង។
传说	រឿងព្រេង	នេះជារឿងព្រេងបុរាណមួយ។
传统	ប្រពៃណី	បុណ្យចូលឆ្នាំចិនជាថ្ងៃឈប់សម្រាកប្រពៃណីរបស់ចិន។
窗帘	វាំងនន	សូមបើកវាំងនន។
闯	បើកឆ្លងដោយខុស; លួចចូល	គាត់បើកឆ្លងភ្លើងក្រហមដោយចៃដន្យ។
创造	បង្កើត	មនុស្សបានបង្កើតឧបករណ៍ថ្មីៗ។
吹	ផ្លុំ	ខ្យល់កំពុងផ្លុំខ្លាំង។
词汇	វាក្យសព្ទ	វាក្យសព្ទនេះត្រូវបានប្រើញឹកញាប់។
辞职	លាឈប់ពីការងារ	គាត់សម្រេចចិត្តលាឈប់ពីការងារ។
此外	លើសពីនេះ	លើសពីនេះ ខ្ញុំមានសំណួរមួយទៀត។
刺激	រំភើប; ជំរុញ	ល្បែងនេះរំភើបណាស់។
次要	បន្ទាប់បន្សំ	បញ្ហានេះជាបញ្ហាបន្ទាប់បន្សំ។
匆忙	ប្រញាប់ប្រញាល់	គាត់ចេញពីផ្ទះយ៉ាងប្រញាប់ប្រញាល់។
从此	ចាប់ពីពេលនោះមក	ចាប់ពីពេលនោះមក គាត់ហាត់ប្រាណរាល់ថ្ងៃ។
从而	ដូច្នេះហើយ	គាត់រៀនខ្លាំង ដូច្នេះហើយបានជាប់ប្រឡង។
从前	ពីមុន	ពីមុនទីនេះគ្មានរថភ្លើងក្រោមដីទេ។
从事	ប្រកបការងារ	នាងប្រកបការងារផ្នែកអប់រំ។
粗糙	រដុប	ក្រដាសសន្លឹកនេះរដុបណាស់។
促进	ជំរុញ	ការហាត់ប្រាណអាចជំរុញសុខភាព។
促使	ជំរុញឲ្យ	រឿងនេះបានជំរុញឲ្យគាត់ផ្លាស់ប្តូរផែនការ។
醋	ទឹកខ្មេះ	បានបន្ថែមទឹកខ្មេះទៅក្នុងម្ហូប។
催	ជំរុញឲ្យប្រញាប់	ម៉ាក់ជំរុញឲ្យខ្ញុំចេញទៅឲ្យលឿន។
存在	មានស្រាប់	បញ្ហានេះនៅតែមានស្រាប់។
措施	វិធានការ	សាលាបានចាត់វិធានការសុវត្ថិភាព។
答应	យល់ព្រម	គាត់យល់ព្រមជួយខ្ញុំ។
达到	ឈានដល់	ពិន្ទុរបស់គាត់ឈានដល់ស្តង់ដារ។
打工	ធ្វើការក្រៅម៉ោង	គាត់ធ្វើការក្រៅម៉ោងនៅភោជនីយដ្ឋានក្នុងវិស្សមកាលរដូវក្តៅ។
打交道	ទាក់ទងការងារ	ខ្ញុំតែងតែទាក់ទងការងារជាមួយអតិថិជន។
打喷嚏	កណ្តាស់	គាត់ផ្តាសាយ ហើយកណ្តាស់មិនឈប់។
打听	សួររកព័ត៌មាន	ខ្ញុំចង់សួររកព័ត៌មានអំពីសំបុត្ររថភ្លើង។
大方	ចិត្តទូលាយ	នាងចិត្តទូលាយណាស់ចំពោះលុយ។
大厦	អគារធំ	អគារធំនោះខ្ពស់ណាស់។
大象	ដំរី	កុមារកំពុងមើលដំរីនៅសួនសត្វ។
大型	ខ្នាតធំ	ទីនេះនឹងសាងសង់ផ្សារទំនើបខ្នាតធំមួយ។
呆	នៅ; ស្នាក់នៅ	គាត់នៅផ្ទះអានសៀវភៅ។
代表	តំណាងឲ្យ	ផ្កានេះតំណាងឲ្យមិត្តភាព។
代替	ជំនួស	ថ្ងៃនេះខ្ញុំនឹងចូលរួមកិច្ចប្រជុំជំនួសគាត់។
待遇	អត្ថប្រយោជន៍ការងារ	អត្ថប្រយោជន៍ការងារនៅក្រុមហ៊ុននេះល្អ។
贷款	ប្រាក់កម្ចី	ពួកគេបានដាក់ពាក្យសុំប្រាក់កម្ចីទិញផ្ទះ។
单纯	សាមញ្ញ	គំនិតរបស់នាងសាមញ្ញណាស់។
单调	ឯកតា; គ្មានភាពចម្រុះ	ការងារនេះឯកតាបន្តិច។
单独	តែម្នាក់ឯង; ដាច់ដោយឡែក	ខ្ញុំចង់និយាយជាមួយអ្នកតែពីរនាក់។
单位	អង្គភាព	គាត់ធ្វើការនៅអង្គភាពសាធារណៈមួយ។
单元	មេរៀន; ឯកតា	ថ្ងៃនេះយើងកំពុងរៀនមេរៀនទីបី។
担任	កាន់តួនាទី	នាងកំពុងកាន់តួនាទីជាអ្នកទទួលខុសត្រូវសកម្មភាពនេះ។
耽误	ពន្យារពេល; ខ្ជះខ្ជាយពេល	កុំខ្ជះខ្ជាយពេលវេលារបស់មនុស្សគ្រប់គ្នា។
胆小鬼	មនុស្សកំសាក	កុំហៅគាត់ថាមនុស្សកំសាក។
淡	សាប	ស៊ុបចាននេះសាបបន្តិច។
当地	ក្នុងតំបន់	មនុស្សក្នុងតំបន់ទាំងអស់ចូលចិត្តផ្សារនេះ។
当心	ប្រយ័ត្ន	ផ្លូវរអិល ដូច្នេះសូមប្រយ័ត្ន។
挡	រារាំង; បាំង	ឡាននេះកំពុងរារាំងច្រកចូល។
倒霉	ស៊យ	ថ្ងៃនេះស៊យណាស់ ខ្ញុំបាត់ទូរស័ព្ទ។
导演	អ្នកដឹកនាំរឿង	អ្នកដឹកនាំរឿងនេះល្បីណាស់។
导致	បណ្តាលឲ្យ	ភ្លៀងធំបានបណ្តាលឲ្យស្ទះចរាចរណ៍។
岛屿	កោះ	ប្រទេសនេះមានកោះជាច្រើន។
到达	ទៅដល់	រថភ្លើងបានទៅដល់សៀងហៃទាន់ពេល។
道德	សីលធម៌	មនុស្សគួរតែមានគោលការណ៍សីលធម៌។
道理	ហេតុផល	អ្វីដែលគាត់និយាយមានហេតុផលច្រើន។
登记	ចុះឈ្មោះ	សូមចុះឈ្មោះនៅតុទទួលភ្ញៀវជាមុន។
等待	រង់ចាំ	យើងកំពុងរង់ចាំលទ្ធផល។
等于	ស្មើនឹង	ប្រាំបូកប្រាំស្មើនឹងដប់។
滴	តំណក់	តំណក់ទឹកមួយធ្លាក់លើតុ។
敌人	សត្រូវ	ពួកគេមិនមែនជាសត្រូវទេ។
的确	ពិតជា	រឿងនេះពិតជាសំខាន់ណាស់។
地道	ត្រឹមត្រូវតាមដើម; សុទ្ធ	គាត់និយាយភាសាប៉េកាំងបានសុទ្ធណាស់។
地理	ភូមិសាស្ត្រ	ខ្ញុំចាប់អារម្មណ៍ខ្លាំងចំពោះភូមិសាស្ត្រចិន។
地区	តំបន់	រដូវរងានៅតំបន់នេះត្រជាក់ខ្លាំងណាស់។
地毯	កម្រាលព្រំ	មានកម្រាលព្រំមួយនៅក្នុងបន្ទប់ទទួលភ្ញៀវ។
地位	ឋានៈ; តួនាទី	ការអប់រំមានតួនាទីសំខាន់ក្នុងសង្គម។
地震	រញ្ជួយដី	យប់មិញមានរញ្ជួយដីកើតឡើងនៅទីនេះ។
递	ហុច	សូមហុចសំបុត្រនេះទៅគ្រូ។
点心	អាហារសម្រន់	ពេលរសៀលយើងបានញ៉ាំអាហារសម្រន់។
电池	ថ្ម	ប្រដាប់លេងនេះត្រូវការថ្មពីរគ្រាប់។
电台	ស្ថានីយវិទ្យុ	គាត់ធ្វើជាពិធីករកម្មវិធីនៅស្ថានីយវិទ្យុ។
钓	ស្ទូចត្រី	លោកតាចូលចិត្តទៅស្ទូចត្រីក្បែរទន្លេ។
顶	មួក; ក្បាល	គាត់កំពុងពាក់មួកខ្មៅមួយ។
冻	កក	ខាងក្រៅត្រជាក់ខ្លាំងដល់ថ្នាក់ទឹកកក។
动画片	គំនូរជីវចល	កុមារកំពុងមើលគំនូរជីវចល។
洞	រន្ធ	មានរន្ធតូចមួយនៅលើជញ្ជាំង។
豆腐	តៅហ៊ូ	ម្ហូបតៅហ៊ូនេះឆ្ងាញ់ណាស់។
逗	ធ្វើឲ្យសើច	ពាក្យរបស់គាត់បានធ្វើឲ្យមនុស្សគ្រប់គ្នាសើច។
独立	ឯករាជ្យ	នាងចង់រស់នៅដោយឯករាជ្យ។
独特	ពិសេស; មានលក្ខណៈខ្លួនឯង	ទីក្រុងនេះមានវប្បធម៌ពិសេស។
度过	ចំណាយពេល	យើងបានចំណាយថ្ងៃឈប់សម្រាកនៅមាត់សមុទ្រ។
断	ដាច់	ខ្សែនេះដាច់ហើយ។
堆	គំនរ	ឯកសារជាច្រើនគរលើតុ។
兑换	ប្តូរប្រាក់	ខ្ញុំចង់ប្តូរប្រាក់យន់ខ្លះ។
对比	ប្រៀបធៀប	សូមប្រៀបធៀបផែនការទាំងពីរនេះ។
对待	ប្រព្រឹត្តចំពោះ	យើងគួរប្រព្រឹត្តចំពោះមនុស្សគ្រប់គ្នាដោយយុត្តិធម៌។
对方	ភាគីម្ខាងទៀត	សូមស្តាប់មតិរបស់ភាគីម្ខាងទៀតជាមុន។
对手	គូប្រជែង	គូប្រជែងរបស់គាត់ខ្លាំងណាស់។
对象	វត្ថុស្រាវជ្រាវ; មនុស្សគោលដៅ	វត្ថុស្រាវជ្រាវគឺនិស្សិតសាកលវិទ្យាល័យ។
吨	តោន	ឡានដឹកទំនិញនេះអាចដឹកទំនិញបានបីតោន។
蹲	អង្គុយចុះ	គាត់អង្គុយចុះលើដីរកកូនសោ។
顿	ពេលអាហារ; ម្តង	យើងបានញ៉ាំអាហារពេលល្ងាចជាមួយគ្នា។
多亏	អរគុណដល់	អរគុណដល់ជំនួយរបស់អ្នក ខ្ញុំបានបញ្ចប់ភារកិច្ច។
多余	លើស; មិនចាំបាច់	ប្រយោគនេះមិនចាំបាច់ទេ។
朵	ទង; ផ្កា	មានផ្កាមួយទងនៅលើតុ។
躲藏	លាក់ខ្លួន	កូនឆ្មាកំពុងលាក់ខ្លួនក្រោមគ្រែ។
恶劣	អាក្រក់ខ្លាំង	អាកាសធាតុថ្ងៃនេះអាក្រក់ខ្លាំងណាស់។
耳环	ក្រវិល	នាងពាក់ក្រវិលមួយគូ។
发表	ថ្លែង; បោះពុម្ពផ្សាយ	គាត់បានថ្លែងមតិនៅកិច្ចប្រជុំ។
发愁	ព្រួយបារម្ភ	កុំបារម្ភពីរឿងតូចនេះ។
发达	អភិវឌ្ឍន៍	ការដឹកជញ្ជូននៅទីក្រុងនេះអភិវឌ្ឍន៍ល្អ។
发抖	ញ័រ	គាត់ញ័រព្រោះត្រជាក់។
发挥	ប្រើប្រាស់ឲ្យបានល្អ	សូមប្រើការស្រមៃរបស់អ្នកឲ្យបានល្អ។
发明	ការបង្កើតថ្មី	អំពូលភ្លើងអគ្គិសនីជាការបង្កើតថ្មីសំខាន់មួយ។
发票	វិក្កយបត្រ	សូមចេញវិក្កយបត្រឲ្យខ្ញុំ។
发言	ថ្លែងសុន្ទរកថា	គាត់បានថ្លែងនៅកិច្ចប្រជុំ។
罚款	ពិន័យប្រាក់	ការចតឡានខុសច្បាប់នឹងត្រូវពិន័យប្រាក់។
法院	តុលាការ	ករណីនេះត្រូវបានប្រគល់ទៅតុលាការ។
翻	ត្រឡប់; បើកទំព័រ	សូមបើកសៀវភៅទៅទំព័រទីដប់។
繁荣	រីកចម្រើន	សេដ្ឋកិច្ចកំពុងរីកចម្រើនបន្តិចម្តងៗ។
反而	ផ្ទុយទៅវិញ	គាត់មិនខឹងទេ ផ្ទុយទៅវិញគាត់សើច។
反复	ម្តងហើយម្តងទៀត	ប្រយោគនេះត្រូវការហាត់ម្តងហើយម្តងទៀត។
反应	ប្រតិកម្ម	ប្រតិកម្មរបស់គាត់រហ័ស។
反映	ឆ្លុះបញ្ចាំង	របាយការណ៍នេះឆ្លុះបញ្ចាំងស្ថានភាពពិត។
反正	យ៉ាងណាក៏ដោយ	យ៉ាងណាក៏ដោយ ថ្ងៃស្អែកខ្ញុំមានពេល។
范围	វិសាលភាព	សូមកុំលើសពីវិសាលភាពនេះ។
方	ការ៉េ; ជ្រុង	សូមគូរការ៉េមួយលើក្រដាស។
方案	ផែនការ	ផែនការនេះសមហេតុផលគួរសម។
方式	របៀប	របៀបរៀននេះមានប្រសិទ្ធភាពណាស់។
妨碍	រារាំង	សូមកុំរារាំងការងាររបស់អ្នកដទៃ។
仿佛	ហាក់ដូចជា	គាត់ហាក់ដូចជាដឹងអ្វីៗទាំងអស់។
非	មិនអាចខ្វះ	រឿងនេះមិនអាចធ្វើបានដោយគ្មានអ្នកទេ។
肥皂	សាប៊ូ	ប្រើសាប៊ូនៅពេលលាងដៃ។
废话	ពាក្យឥតប្រយោជន៍	ឈប់និយាយពាក្យឥតប្រយោជន៍ ហើយចាប់ផ្តើមឲ្យលឿន។
分别	បែកគ្នា	ពួកគេបានបែកគ្នានៅស្ថានីយ។
分布	ចែកចាយ; រាយប៉ាយ	ហាងទាំងនេះរាយប៉ាយពេញទីក្រុង។
分配	បែងចែក	គ្រូបានបែងចែកភារកិច្ចថ្មីមួយ។
分手	បែកគ្នា	ពួកគេបានបែកគ្នាកាលពីឆ្នាំមុន។
分析	វិភាគ	យើងត្រូវវិភាគមូលហេតុ។
纷纷	ជាបន្តបន្ទាប់	មនុស្សគ្រប់គ្នាបានបង្ហាញការយល់ព្រមជាបន្តបន្ទាប់។
奋斗	តស៊ូខិតខំ	យុវជនគួរតស៊ូខិតខំសម្រាប់ក្តីសុបិន។
疯狂	ឆ្កួតៗ; យ៉ាងខ្លាំង	អ្នកគាំទ្របានហ៊ោកញ្ជ្រៀវយ៉ាងខ្លាំង។
