source_headword	LO	example_LO
audio	ສຽງ	ການບັນທຶກສຽງໄດ້ຍິນຊັດເຈນ.
automatic	ອັດຕະໂນມັດ	ປະຕູມີຕົວລັອກອັດຕະໂນມັດ.
automatically	ໂດຍອັດຕະໂນມັດ	ດອກໄຟເປີດຢ່າງອັດຕະໂນມັດ.
awareness	ຄວາມຮັບຮູ້	ການໂຄສະນາໄດ້ຍົກລະດັບການຮັບຮູ້ຂອງມວນຊົນ.
awkward	ອຶດອັດ	ຄວາມງຽບສະຫງັດເຮັດໃຫ້ຮູ້ສຶກອຶດອັດ.
badge	ກາໝາຍ	ຜູ້ມາຢ້ຽມຢາມຕ້ອງໃສ່ປ້າຍຊື່.
balanced	ສົມດຸນ	ອາຫານທີ່ສົມດຸນປະກອບມີຜັກ.
ballet	ບັລເລ້	ລາວຮຽນບາເລ່ຫຼັງເລີກຮຽນ.
balloon	ປູມເປົ້າ	ປຸມເປົ້າລອຍຢູ່ເທິງໂຕະ.
barely	ແທບຈະບໍ່	ລາວແທບຈະບໍ່ໄດ້ຍິນສຽງປະກາດ.
bargain	ການຕໍ່ລອງ	ເສື້ອກັນໜາວນັ້ນເປັນຂອງຖືກແທ້ໆ.
basement	ຊັ້ນໃຕ້ດິນ	ກ່ອງຢູ່ໃນຫ້ອງໃຕ້ດິນ.
basket	ກະຕ່າ	ລາວເອົາໝາກແອັບເປີ້ນໃສ່ໃນກະຕ່າ.
bat	ໄມ້ຕີ	ເຈຍບິນອອກມາຈາກຖ້ຳ.
beneficial	ເປັນປະໂຫຍດ	ການອອກກຳລັງກາຍເປັນປະຈຳເປັນປະໂຫຍດຕໍ່ສຸຂະພາບ.
beside	ຢູ່ຂ້າງ	ໂຄມໄຟຕັ້ງຢູ່ຂ້າງໂຊຟາ.
besides	ນອກຈາກນັ້ນ	ນອກຈາກຄະນິດສາດແລ້ວ, ລາວຮຽນເຄມີສາດ.
bias	ຄວາມລຳອຽງ	ບົດຄວາມສະແດງໃຫ້ເຫັນເຖິງຄວາມລຳອຽງຢ່າງຊັດເຈນ.
bid	ການປະມູນ	ບໍລິສັດໄດ້ສະເໜີລາຄາປະມູນທີ່ສູງກວ່າ.
biological	ທາງຊີວະວິທະຍາ	ການທົດສອບທາງຊີວະວິທະຍາໄດ້ຢືນຢັນຜົນ.
blanket	ຜ້າຫົ່ມ	ເດັກນ້ອຍນອນຢູ່ກ້ອງຜ້າຫົ່ມ.
blow	ການຕີ	ແຮງພັດອັນແຮງໄດ້ເຮັດໃຫ້ປ່ອງຢ້ຽມແຕກ.
bold	ກ້າຫານ	ຫົວຂໍ້ຂ່າວໃຊ້ຕົວໜັງສືເຂັ້ມ.
bombing	ການວາງລະເບີດ	ການວາງລະເບີດໄດ້ສ້າງຄວາມເສຍຫາຍຕໍ່ອາຄານຫຼາຍຫຼັງ.
booking	ການຈອງ	ຂ້ອຍໄດ້ຢືນຢັນການຈອງໂຮງແຮມແລ້ວ.
boost	ການຊຸກຍູ້	ໄຊຊະນະໄດ້ເພີ່ມຄວາມໝັ້ນໃຈໃຫ້ກັບທີມ.
bound	ຜູກມັດ	ພັດສະດຸຖືກຜູກມັດດ້ວຍເຊືອກ.
brick	ດິນຈີ່	ກຳແພງເຮັດດ້ວຍດິນຈີ່.
briefly	ໂດຍຫຍໍ້	ລາວເວົ້າສັ້ນໆຫຼັງອາຫານທ່ຽງ.
broadcaster	ຜູ້ປະກາດຂ່າວ	ນັກກະຈາຍສຽງໄດ້ສຳພາດເຈົ້າເມືອງ.
broadly	ຢ່າງກວ້າງຂວາງ	ສອງແຜນການແມ່ນຄ້າຍຄືກັນໂດຍທົ່ວໄປ.
bug	ຂໍ້ບົກພ່ອງ	ແອັບຯເກີດຂໍ້ຜິດພາດຍ້ອນບັກ.
cabin	ຫ້ອງໂດຍສານ	ພວກເຮົາພັກຢູ່ໃນກະຕູບນ້ອຍໆ.
canal	ຄອງນ້ຳ	ເຮືອເຄື່ອນທີ່ຢ່າງຊ້າໆຕາມຄອງ.
candle	ທຽນ	ທຽນໃຕ້ຢູ່ເທິງໂຕະ.
carbon	ຄາບອນ	ຕົ້ນໄມ້ດູດຊຶມຄາບອນຈາກອາກາດ.
casual	ບໍ່ເປັນທາງການ	ລາວໃສ່ຊຸດບໍ່ເປັນທາງການໄປເຮັດວຽກ.
cave	ຖ້ຳ	ນັກຍ່າງປ່າໄດ້ເຂົ້າໄປໃນຖ້ຳ.
certainty	ຄວາມແນ່ນອນ	ພວກເຮົາບໍ່ສາມາດຮູ້ດ້ວຍຄວາມແນ່ນອນ.
certificate	ໃບຢັ້ງຢືນ	ລາວໄດ້ຮັບໃບຢັ້ງຢືນການຝຶກອົບຮົມ.
challenging	ທ້າທາຍ	ຫຼັກສູດນີ້ມີຄວາມທ້າທາຍແຕ່ເປັນປະໂຫຍດ.
championship	ການແຂ່ງຂັນຊິງແຊ້ມ	ທີມຂອງພວກເຮົາເຂົ້າເຖິງຮອບຊີງແຊ້ມ.
charming	ມີສະເໜ່	ຖະໜົນເກົ່າເບິ່ງຄືວ່າມີສະເໜ່.
chase	ການໄລ່ລ່າ	ໝາໄລ່ຕາມໝາກບານ.
cheek	ແກ້ມ	ນ້ຳຕາໄຫຼລົງອາບແກ້ມຂອງລາວ.
cheer	ການໃຫ້ກຳລັງໃຈ	ຝູງຊົນເລີ່ມໂຮ່ຮ້ອງສຽງດັງ.
choir	ຄະນະນັກຮ້ອງປະສານສຽງ	ຄະນະນັກຮ້ອງປະສານສຽງຮ້ອງເພງມ່ວນຫຼາຍ.
chop	ສັບ	ຟັກຫົວຜັກບົ່ວໃຫ້ເປັນປ່ຽງນ້ອຍໆ.
circuit	ວົງຈອນ	ນັກແລ່ນແລ່ນຈົບຮອບ.
civilization	ອາລະຍະທຳ	ອະລິຍະທຳບູຮານໄດ້ສ້າງພາກພື້ນນີ້.
clarify	ຊີ້ແຈງ	ກະລຸນາອະທິບາຍຈຸດສຸດທ້າຍໃຫ້ຈະແຈ້ງ.
classify	ຈັດປະເພດ	ນັກວິທະຍາສາດຈັດປະເພດສັດຕາມສາຍພັນ.
clerk	ເສໝຽນ	ສະໝຽນພິມໃບຮັບເງິນ.
cliff	ໜ້າຜາ	ເສັ້ນທາງສິ້ນສຸດລົງໃກ້ກັບໜ້າຜາ.
clinic	ຄລີນິກ	ຄລີນິກເປີດຕອນແປດໂມງ.
clip	ຄລິບ	ລາວໜີບຄລິບໃສ່ເຈ້ຍ.
coincidence	ຄວາມບັງເອີນ	ການພົບລາວຢູ່ທີ່ນັ້ນແມ່ນຄວາມບັງເອີນ.
collector	ນັກສະສົມ	ນັກສະສົມໄດ້ຊື້ຫຼຽນທີ່ຫາຍາກ.
colony	ອານານິຄົມ	ພວກມົດໄດ້ສ້າງອານານິຄົມຂະໜາດໃຫຍ່.
colourful	ມີສີສັນ	ຕະຫຼາດມີຄວາມສົດໃສແລະມີສີສັນ.
comic	ຕະຫລົກ	ສາກຕະຫຼົກເຮັດໃຫ້ພວກເຮົາຫົວ.
commander	ຜູ້ບັນຊາການ	ຜູ້ບັນຊາການໄດ້ໃຫ້ຄຳສັ່ງທີ່ຊັດເຈນ.
comparative	ປຽບທຽບ	ບົດຄວາມໃຊ້ຂໍ້ມູນປຽບທຽບ.
completion	ການເຮັດໃຫ້ສຳເລັດ	ຂົວໃກ້ຈະສຳເລັດແລ້ວ.
compose	ປະກອບ	ລາວຈະປະພັນເພງສຳລັບຮູບເງົາ.
composer	ນັກປະພັນ	ນັກປະພັນໄດ້ແຕ່ງເພງໃໝ່.
compound	ທາດປະສົມ	ສານປະກອບມີສານເຄມີສອງຊະນິດ.
comprehensive	ຄົບຖ້ວນ	ຄູ່ມືໃຫ້ຄຳແນະນຳທີ່ຄອບຄຸມ.
comprise	ປະກອບດ້ວຍ	ທີມງານປະກອບດ້ວຍສະມາຊິກຫ້າຄົນ.
compulsory	ບັງຄັບ	ການເຂົ້າຮຽນແມ່ນພາກບັງຄັບສຳລັບຫ້ອງຮຽນນີ້.
concrete	ຄອນກຣີດ	ພື້ນເຮືອນເຮັດດ້ວຍຊີມັງ.
confess	ສາລະພາບ	ລາວໄດ້ສາລະພາບຄວາມຜິດກັບນາຍຄູຂອງລາວ.
confusion	ຄວາມສັບສົນ	ຄວາມຊັກຊ້າເຮັດໃຫ້ເກີດຄວາມສັບສົນ.
consequently	ດັ່ງນັ້ນ	ຝົນຕົກດັ່ງນັ້ນການແຂ່ງຂັນຈຶ່ງຢຸດລົງ.
conservation	ການອະນຸລັກ	ການອະນຸລັກປົກປ້ອງສັດທີ່ຫາຍາກ.
considerable	ຫຼາຍ	ການສ້ອມແປງໃຊ້ເວລາຫຼາຍສົມຄວນ.
considerably	ຢ່າງຫຼວງຫຼາຍ	ລາຄາເພີ່ມຂຶ້ນຢ່າງຫຼວງຫຼາຍໃນປີນີ້.
consistently	ຢ່າງສະໝໍ່າສະເໝີ	ນາງເຮັດໄດ້ດີຢ່າງສະໝ່ຳສະເໝີ.
conspiracy	ການສົມຮູ້ຮ່ວມຄິດ	ຕຳຫຼວດໄດ້ສືບສວນການສົມຮູ້ຮ່ວມຄິດ.
consult	ປຶກສາ	ປຶກສາແພດຂອງທ່ານກ່ອນກິນຢາ.
consultant	ທີ່ປຶກສາ	ທີ່ປຶກສາໄດ້ສະເໜີຍຸດທະສາດໃໝ່.
consumption	ການບໍລິໂພກ	ການບໍລິໂພກພະລັງງານຫຼຸດລົງໃນເດືອນແລ້ວນີ້.
controversial	ເປັນທີ່ຖົກຖຽງ	ນະໂຍບາຍຍັງຄົງເປັນຂໍ້ໂຕ້ແຍ້ງ.
controversy	ການຂັດແຍ້ງ	ການຕັດສິນໃຈເຮັດໃຫ້ເກີດຄວາມຂັດແຍ້ງ.
convenience	ຄວາມສະດວກ	ຮ້ານສະໜອງຄວາມສະດວກສະບາຍຫຼາຍ.
convention	ສົນທິສັນຍາ	ການປະຊຸມປະຈຳປີເລີ່ມຕົ້ນວັນຈັນ.
conventional	ແບບດັ້ງເດີມ	ລາວເລືອກການອອກແບບແບບດັ້ງເດີມ.
convey	ຖ່າຍທອດ	ຂໍ້ຄວາມໄດ້ຖ່າຍທອດຄວາມເຫັນໃຈ.
convincing	ເປັນໜ້າເຊື່ອຖື	ຄຳອະທິບາຍຂອງນາງແມ່ນໜ້າເຊື່ອຖື.
cope	ຮັບມື	ນາງໄດ້ຮຽນຮູ້ທີ່ຈະຮັບມືກັບຄວາມເຄັ່ງຕຶງ.
corporation	ບໍລິສັດ	ບໍລິສັດໄດ້ເປີດຫ້ອງການໃໝ່.
corridor	ແລວທາງ	ແລວທາງແຄບແລະງຽບ.
counter (long flat surface)	ເຄົາເຕີ	ກະແຈຢູ່ເທິງເຄົາເຕີເຮືອນຄົວ.
coverage	ການຄຸ້ມຄອງ	ການລາຍງານຂ່າວແກ່ຍາວຕະຫຼອດຕອນແລງ.
crack	ຮອຍແຕກ	ຮອຍແຕກປະກົດຂຶ້ນຢູ່ເທິງກຳແພງ.
craft	ງານຫັດຖະກຳ	ນາງຂາຍງານຝີມືທາງອອນລາຍ.
creativity	ຄວາມຄິດສ້າງສັນ	ຄວາມຄິດສ້າງສັນຊ່ວຍແກ້ໄຂບັນຫາ.
critically	ຢ່າງຈິງຈັງ	ບົດຄວາມມີຄວາມສຳຄັນຢ່າງຍິ່ງ.
cruise	ການລ່ອງເຮືອ	ພວກເຂົາຈອງການລ່ອງເຮືອໄປປະເທດເກຣັກ.
cue	ສັນຍານ	ນັກສະແດງພາດສັນຍານຂອງລາວ.
curious	ຢາກຮູ້ຢາກເຫັນ	ເດັກນ້ອຍຢາກຮູ້ຢາກເຫັນກ່ຽວກັບອະວະກາດ.
curriculum	ຫຼັກສູດ	ໂຮງຮຽນໄດ້ປັບປຸງຫຼັກສູດ.
cute	ໜ້າຮັກ	ໝານ້ອຍເບິ່ງຄືໜ້າຮັກ.
dairy	ນົມ	ຟາມຜະລິດຜະລິດຕະພັນນົມ.
dare	ກ້າ	ຂ້ອຍທ້າໃຫ້ເຈົ້າລອງເຮັດເບິ່ງ.
darkness	ຄວາມມືດ	ຫ້ອງເຕັມໄປດ້ວຍຄວາມມືດ.
database	ຖານຂໍ້ມູນ	ຖານຂໍ້ມູນເກັບຮັກສາບັນທຶກຂອງລູກຄ້າ.
deadline	ກໍານົດເວລາ	ກຳນົດເວລາແມ່ນວັນສຸກ.
deadly	ຮ້າຍແຮງເຖິງຕາຍ	ງູມີພິດອັນຕະລາຍເຖິງຕາຍ.
dealer	ຜູ້ຄ້າຂາຍ	ຕົວແທນຈຳໜ່າຍລົດສະເໜີສ່ວນຫຼຸດ.
deck	ຊັ້ນດາດຟ້າ	ຕັ່ງອີ້ຢູ່ເທິງລະບຽງ.
defender	ຜູ້ປ້ອງກັນ	ກອງຫຼັງປ້ອງກັນການຍິງໄວ້ໄດ້.
delete	ລຶບ	ລຶບຂໍ້ຄວາມເກົ່າ.
democracy	ປະຊາທິປະໄຕ	ປະຊາທິປະໄຕແມ່ນຂຶ້ນກັບການເລືອກຕັ້ງທີ່ເສລີ.
democratic	ກ່ຽວກັບປະຊາທິປະໄຕ	ການລົງຄະແນນສຽງແມ່ນເປັນໄປຕາມກົດລະບຽບປະຊາທິປະໄຕ.
demonstration	ການປະທ້ວງ	ນັກຮຽນໄດ້ເຂົ້າຮ່ວມການປະທ້ວງ.
depart	ອອກເດີນທາງ	ລົດໄຟຈະອອກເດີນທາງໃນຕອນທ່ຽງ.
dependent	ຂຶ້ນກັບ	ເດັກນ້ອຍເພິ່ງພາອາໄສຜູ້ໃຫຍ່.
deposit	ເງິນຝາກ	ລາວໄດ້ຈ່າຍເງິນມັດຈຳສຳລັບຫ້ອງແຖວ.
depression	ພະຍາດຊຶມເສົ້າ	ພະຍາດຊຶມເສົ້າຕ້ອງການການຊ່ວຍເຫຼືອຈາກຜູ້ຊ່ຽວຊານ.
derive	ໄດ້ຮັບມາຈາກ	ຫຼາຍຄໍາມາຈາກພາສາລາຕິນ.
desperately	ຢ່າງສິ້ນຫວັງ	ລາວຕ້ອງການນໍ້າຢ່າງໜັກ.
destruction	ການທໍາລາຍ	ພາຍຸໄດ້ສ້າງຄວາມເສຍຫາຍເປັນວົງກວ້າງ.
determination	ຄວາມຕັ້ງໃຈ	ຄວາມຕັ້ງໃຈຂອງລາວເຮັດໃຫ້ຄູຝຶກປະທັບໃຈ.
devote	ອຸທິດ	ລາວອຸທິດທ້າຍອາທິດໃຫ້ກັບການຮຽນ.
differ	ແຕກຕ່າງກັນ	ຄວາມຄິດເຫັນຂອງພວກເຂົາແຕກຕ່າງກັນຫຼາຍ.
disability	ຄວາມພິການ	ອາຄານນີ້ມີທາງເຂົ້າສຳລັບຄົນພິການ.
disabled	ພິການ	ນັກກິລາພິການໄດ້ຮັບຫຼຽນລາງວັນ.
disagreement	ຄວາມບໍ່ເຫັນດີ	ກອງປະຊຸມຈົບລົງດ້ວຍຄວາມຂັດແຍ້ງ.
disappoint	ເຮັດໃຫ້ຜິດຫວັງ	ຜົນໄດ້ຮັບອາດເຮັດໃຫ້ແຟນໆຜິດຫວັງ.
disappointment	ຄວາມຜິດຫວັງ	ລາວຮູ້ສຶກຜິດຫວັງຢ່າງເລິກເຊິ່ງ.
discourage	ເຮັດໃຫ້ທໍ້ແທ້	ຢ່າເຮັດໃຫ້ນັກຮຽນໄວໜຸ່ມທໍ້ແທ້.
disorder	ຄວາມຜິດປົກກະຕິ	ທ່ານໝໍໄດ້ກວດພົບຄວາມຜິດປົກກະຕິໃນການນອນ.
distant	ຫ່າງໄກ	ພູເຂົາເບິ່ງຄືວ່າຢູ່ຫ່າງໄກ.
distinct	ຊັດເຈນ	ສຽງທັງສອງແຕກຕ່າງກັນຊັດເຈນ.
distinguish	ຈໍາແນກ	ເຈົ້າສາມາດແຍກແຍະສີເຫຼົ່ານີ້ໄດ້ບໍ?
distract	ເຮັດໃຫ້ເສຍສະມາທິ	ສຽງລົບກວນສາມາດດຶງຄວາມສົນໃຈຂອງນັກຮຽນໄດ້.
disturb	ລົບກວນ	ກະລຸນາຢ່າລົບກວນຄົນເຈັບ.
dive	ການດຳນ້ຳ	ພວກເຂົາຈະດຳນໍ້າໃກ້ກັບກ່ຽວຫີນປະກາລັງ.
diverse	ຫຼາກຫຼາຍ	ເມືອງມີວັດທະນະທຳທີ່ຫຼາກຫຼາຍ.
diversity	ຄວາມຫຼາກຫຼາຍ	ພວກເຮົາສະເຫຼີມສະຫຼອງຄວາມຫຼາກຫຼາຍທາງວັດທະນະທຳ.
divorce	ການຢ່າຮ້າງ	ການຢ່າຮ້າງເປັນເລື່ອງຍາກສຳລັບທຸກຄົນ.
dominant	ເດັ່ນ	ທີມທີ່ເໜືອກວ່າໄດ້ຄວບຄຸມເກມ.
donation	ການບໍລິຈາກ	ອົງການການກຸສົນໄດ້ຮັບການບໍລິຈາກ.
dot	ຈຸດ	ໃສ່ຈຸດຫຼັງຈາກຕົວເລກ.
downtown	ໃຈກາງເມືອງ	ພວກເຮົາພົບກັນໃນຕົວເມືອງຫຼັງຈາກເລີກວຽກ.
dramatically	ຢ່າງຫຼວງຫຼາຍ	ລາຄາຫຼຸດລົງຢ່າງຫຼວງຫຼາຍ.
drought	ໄພແຫ້ງແລ້ງ	ໄພແຫ້ງແລ້ງສ້າງຄວາມເສຍຫາຍຕໍ່ພືດຜົນ.
dull	ໜ້າເບື່ອ	ການບັນຍາຍແມ່ນໜ້າເບື່ອ.
dump	ຖິ້ມ	ຢ່າຖິ້ມຂີ້ເຫຍື້ອຢູ່ທີ່ນີ້.
duration	ໄລຍະເວລາ	ໄລຍະເວລາການບິນແມ່ນສາມຊົ່ວໂມງ.
dynamic	ແບບເຄື່ອນໄຫວ	ຫ້ອງຮຽນຮູ້ສຶກມີພະລັງ.
economics	ເສດຖະສາດ	ລາວຮຽນເສດຖະສາດຢູ່ມະຫາວິທະຍາໄລ.
economist	ນັກເສດຖະສາດ	ນັກເສດຖະສາດຄາດຄະເນການເຕີບໂຕທີ່ຊ້າລົງ.
editorial	ບົດບັນນາທິການ	ບົດບັນນາທິການວິຈານກົດໝາຍດັ່ງກ່າວ.
efficiently	ຢ່າງມີປະສິດທິພາບ	ທີມງານເຮັດວຽກຢ່າງມີປະສິດທິພາບ.
elbow	ສອກ	ລາວເຮັດໃຫ້ຂໍ້ສອກຂອງລາວບາດເຈັບ.
electronics	ເອເລັກໂຕຣນິກ	ຮ້ານຂາຍເຄື່ອງເອເລັກໂຕຣນິກ.
elegant	ສະຫງ່າງາມ	ຊຸດເບິ່ງສະຫງ່າງາມ.
elementary	ພື້ນຖານ	ປຶ້ມອະທິບາຍໄວຍາກອນຂັ້ນພື້ນຖານ.
eliminate	ກຳຈັດ	ທີມງານໄດ້ກຳຈັດຂໍ້ຜິດພາດຫຼາຍຢ່າງ.
embrace	ຮັບເອົາ	ລາວຍອມຮັບແນວຄວາມຄິດໃໝ່.
emission	ການປ່ອຍອາຍພິດ	ລະດັບການປ່ອຍອາຍພິດລົດຍົນໄດ້ຫຼຸດລົງ.
emotionally	ທາງອາລົມ	ລາວເວົ້າດ້ວຍຄວາມຮູ້ສຶກກ່ຽວກັບຄອບຄົວຂອງລາວ.
empire	ອານາຈັກ	ອານາຈັກຍືນຍົງມາເປັນເວລາຫຼາຍສະຕະວັດ.
enjoyable	ເປັນຕາໜ້າພໍໃຈ	ການເດີນທາງເປັນທີ່ໜ້າເພີດເພີນ.
entertaining	ມ່ວນຊື່ນ	ການສະແດງເປັນທີ່ໃຫ້ຄວາມບັນເທີງ.
entrepreneur	ຜູ້ປະກອບການ	ຜູ້ປະກອບການໄດ້ເປີດຮ້ານກາເຟ.
envelope	ຊອງຈົດໝາຍ	ເອົາຈົດໝາຍໃສ່ໃນຊອງຈົດໝາຍ.
equip	ປະກອບ	ໂຮງຮຽນຈະປະກອບອຸປະກອນໃຫ້ຫ້ອງທົດລອງ.
equivalent	ສິ່ງທຽບເທົ່າ	ໜຶ່ງໂດລາບໍ່ທຽບເທົ່າຢູ່ທີ່ນີ້.
era	ຍຸກ	ການຄົ້ນພົບໄດ້ເລີ່ມຕົ້ນຍຸກໃໝ່.
erupt	ລະເບີດຂຶ້ນ	ພູເຂົາໄຟອາດຈະລະເບີດໃນໄວໆນີ້.
essentially	ໂດຍພື້ນຖານແລ້ວ	ສອງວິທີນີ້ຄືກັນໂດຍພື້ນຖານແລ້ວ.
ethic	ຈັນຍາບັນ	ຈະລິຍະທຳໃນການເຮັດວຽກຂອງລາວແມ່ນເຂັ້ມແຂງ.
ethnic	ຊົນເຜົ່າ	ງານເທດສະການສະເຫຼີມສະຫຼອງປະເພນີຊົນເຜົ່າ.
evaluation	ການປະເມີນຜົນ	ຫຼັກສູດລວມມີການປະເມີນຜົນຂັ້ນສຸດທ້າຍ.
evident	ຊັດເຈນ	ຄວາມປະໝ່າຂອງລາວແມ່ນເຫັນໄດ້ຊັດເຈນ.
evolution	ວິວັດທະນາການ	ວິວັດທະນາການອະທິບາຍການປ່ຽນແປງທາງຊີວະວິທະຍາຫຼາຍຢ່າງ.
evolve	ພັດທະນາ	ພາສາພັດທະນາໄປຕາມການເວລາ.
exceed	ເກີນ	ຄວາມຕ້ອງການອາດຈະເກີນການສະໜອງ.
exception	ຂໍ້ຍົກເວັ້ນ	ມີຂໍ້ຍົກເວັ້ນໜຶ່ງຂໍ້.
excessive	ເກີນໄປ	ສຽງດັງຫຼາຍເກີນໄປລົບກວນເພື່ອນບ້ານ.
exclude	ກີດກັນ	ລາຍຊື່ບໍ່ລວມເອົາພະນັກງານຊົ່ວຄາວ.
exhibit	ງານວາງສະແດງ	ຫໍພິພິທະພັນຈະວາງສະແດງຮູບພາບທີ່ຫາຍາກ.
exit	ທາງອອກ	ທາງອອກຢູ່ຫຼັງເວທີ.
exotic	ແປກໃໝ່	ຮ້ານຂາຍໝາກໄມ້ທີ່ແປກຕາ.
expansion	ການຂະຫຍາຍຕົວ	ບໍລິສັດໄດ້ວາງແຜນການຂະຫຍາຍຕົວ.
expertise	ຄວາມຊ່ຽວຊານ	ຄວາມຊ່ຽວຊານຂອງລາວໄດ້ປັບປຸງໂຄງການ.
exploit	ຂູດຮີດ	ອາດຊະຍາກອນສວຍໃຊ້ປະໂຫຍດຈາກລະຫັດຜ່ານທີ່ອ່ອນແອ.
