source_headword	TR	example_TR
layer	katman	Bir kat daha boya ekle.
leading	önde gelen	O önde gelen bir bilim insanıdır.
leaf	yaprak	Bir yaprak paltomun üzerine düştü.
leather	deri	Çantası deriden yapılmış.
legal	hukuki	Hukuki tavsiyeye ihtiyacımız var.
leisure	boş zaman	Okumak en sevdiğim boş zaman etkinliğidir.
length	uzunluk	Odanın uzunluğunu ölç.
lie2 (tell a lie)	yalan söylemek	Anne babana yalan söyleme.
limit	sınır	Hız sınırı ellidir.
lip	dudak	Dudağını ısırdı.
liquid	sıvı	Su berrak bir sıvıdır.
literature	edebiyat	Fransız edebiyatı okuyor.
live2	canlı	Grup dün gece canlı çaldı.
living	canlı	Canlı bitkilerin ışığa ihtiyacı vardır.
locate	yerini bulmak	Dosyayı bulabilir misin?
located	bulunan	Ofis şehir merkezinde bulunuyor.
location	konum	Bu iyi bir konum.
lonely	yalnız	Taşındıktan sonra kendini yalnız hissetti.
loss	kayıp	Kayıp herkes için zordu.
luxury	lüks	Otel gerçek lüks sunuyor.
mad	kızgın	Gecikme yüzünden kızgındı.
magic	sihir	Gösteri sihirle doluydu.
mainly	çoğunlukla	Grup çoğunlukla öğrencilerden oluşuyor.
mall	alışveriş merkezi	Alışveriş merkezinde buluştuk.
management	yönetim	İyi yönetim zaman kazandırır.
marketing	pazarlama	Pazarlama ürünü satmaya yardımcı olur.
marriage	evlilik	Evlilikleri otuz yıl sürdü.
meanwhile	bu arada	Bu arada akşam yemeği pişirdim.
measure	ölçmek	Masayı dikkatlice ölç.
medium	orta	Orta boy pizza sipariş ettim.
mental	zihinsel	Stres zihinsel sağlığı etkiler.
mess	dağınıklık	Bu dağınıklığı temizle.
mild	hafif	Çorbanın hafif bir tadı var.
mine (hole in the ground)	maden	Maden geçen yıl kapandı.
mix	karıştırmak	Yumurtaları sütle karıştır.
mixture	karışım	Karışım koyulaştı.
mood	ruh hali	Müzik onun ruh halini değiştirdi.
mud	çamur	Ayakkabıları çamurla kaplandı.
murder	cinayet	Cinayet gece oldu.
muscle	kas	Egzersiz kas geliştirir.
mystery	gizem	Eski ev bir gizemdir.
nail	tırnak	Bir tırnağımı kırdım.
narrative	anlatı	Romanın açık bir anlatısı var.
nation	ulus	Bütün ulus kutlama yaptı.
native	ana dil	İspanyolca onun ana dilidir.
naturally	doğal olarak	Çocuklar oyun yoluyla doğal olarak öğrenir.
necessarily	mutlaka	Pahalı yemek mutlaka daha iyi değildir.
needle	iğne	İğne çok keskindir.
neighbourhood	mahalle	Sessiz bir mahallede yaşıyorlar.
net	ağ	Balıkçı ağını onardı.
nor	ne de	Ne gülümsedi ne de konuştu.
northern	kuzey	Onlar kuzey kıyısını ziyaret etti.
nuclear	nükleer	Tartışma nükleer enerji hakkındaydı.
obvious	açık	Cevap açıktı.
obviously	belli ki	Belli ki daha fazla zamana ihtiyacımız var.
occasion	fırsat	Bu özel bir fırsat.
occur	meydana gelmek	Kazalar her yerde meydana gelebilir.
odd	tuhaf	Bu tuhaf bir soruydu.
official	resmi	Resmi sonuç bugün geldi.
old-fashioned	eski moda	Telefonu eski moda görünüyor.
operation	ameliyat	Ameliyat iki saat sürdü.
organized	düzenli	Masası çok düzenli.
organizer	organizatör	Organizatör konukları karşıladı.
originally	aslen	O aslen Kanada'dan geldi.
ought modal	gerekmek	Dinlenmen gerekir.
ours	bizimki	Bu masa bizimki.
outdoor	açık hava	Açık hava mobilyası aldık.
outdoors	dışarıda	Çocuklar dışarıda oynamalı.
package	paket	Paket bu sabah geldi.
painful	ağrılı	Kesik ağrılıydı.
pale	solgun	Yüzü solgun görünüyordu.
pan	tava	Önce tavayı ısıt.
participate	katılmak	Herkes katılabilir.
particularly	özellikle	Bu şarkıyı özellikle seviyorum.
passion	tutku	Müzik onun tutkusudur.
path	patika	Parktaki patikayı takip et.
payment	ödeme	Ödeme yarın yapılmalı.
peaceful	huzurlu	Bahçe huzurlu.
percentage	yüzde	Küçük bir yüzde kabul etti.
perfectly	mükemmel şekilde	Plan mükemmel şekilde işledi.
performance	performans	Performansı mükemmeldi.
personally	şahsen	Şahsen çayı tercih ederim.
persuade	ikna etmek	Onu katılmaya ikna edebilir misin?
photographer	fotoğrafçı	Fotoğrafçı birçok fotoğraf çekti.
photography	fotoğrafçılık	Fotoğrafçılık onun en sevdiği hobidir.
pin	iğne	Haritanın üzerine bir iğne koy.
pipe	boru	Boru su taşır.
planning	planlama	Planlama zaman alır.
pleasant	hoş	Hoş bir akşam geçirdik.
pleasure	zevk	Seninle tanışmak bir zevkti.
plenty	bol	Bol zamanımız var.
plot	olay örgüsü	Olay örgüsünü takip etmek kolaydı.
plus1	artı	İki artı üç beş eder.
poem	şiir	Kısa bir şiir yazdı.
poet	şair	Şair yüksek sesle okudu.
poetry	şiir	Modern şiirden hoşlanır.
poison	zehir	Zehri çocuklardan uzak tut.
poisonous	zehirli	Bazı mantarlar zehirlidir.
policy	politika	Şirket politikasını değiştirdi.
political	siyasi	Konuşma siyasiydi.
politician	siyasetçi	Siyasetçi soruları yanıtladı.
politics	siyaset	Siyaset karmaşık olabilir.
port	liman	Gemi limana girdi.
portrait	portre	Portre salonda asılı.
possibly	muhtemelen	Muhtemelen geç gelecek.
pot	saksı	Bitkinin daha büyük bir saksıya ihtiyacı var.
pour	dökmek	Sütü yavaşça dök.
poverty	yoksulluk	Birçok aile yoksulluk içinde yaşıyor.
powder	toz	Tozu suya ekle.
powerful	güçlü	Motor güçlüdür.
practical	pratik	Bu pratik bir çözümdür.
pray	dua etmek	Her sabah dua ederler.
prayer	dua	Sessiz bir dua etti.
prediction	tahmin	Tahmini doğruydu.
prepared	hazır	Sınava hazırım.
presentation	sunum	Sunumu açıktı.
press	basmak	Düğmeye bir kez bas.
pressure	baskı	Baskı sağlığını etkileyebilir.
pretend	numara yapmak	Uyuyormuş gibi yapma.
previous	önceki	Önceki ders daha kolaydı.
previously	daha önce	Daha önce Roma'da yaşadık.
priest	rahip	Rahip yumuşakça konuştu.
primary	birincil	Sağlık birincil kaygımızdır.
prince	prens	Prens okulu ziyaret etti.
princess	prenses	Prenses mavi bir elbise giydi.
printing	baskı	Raporun baskısı birkaç dakika sürdü.
prisoner	mahkum	Mahkum gece kaçtı.
private	özel	Bu özel bir konuşma.
producer	yapımcı	Yapımcı filmi beğendi.
production	üretim	Üretim gelecek hafta başlıyor.
profession	meslek	Öğretmenlik saygın bir meslektir.
profit	kar	Dükkan kar etti.
promote	teşvik etmek	Sağlıklı beslenmeyi teşvik ediyorlar.
proper	uygun	Yürüyüş için uygun ayakkabılar giy.
properly	düzgün	Kapıyı düzgün kapat.
property	mülk	Nehir yakınında mülk satın aldılar.
protest	protesto	Protesto barışçıl sona erdi.
proud	gururlu	Oğluyla gurur duydu.
prove	kanıtlamak	Cevabını kanıtlayabilir misin?
punish	cezalandırmak	Öğretmen onu cezalandırmadı.
punishment	ceza	Ceza adil görünüyordu.
qualification	nitelik	Bu iş için bir nitelik gerekir.
qualified	nitelikli	O nitelikli bir hemşiredir.
qualify	hak kazanmak	Takımımız hak kazanabilir.
queue	kuyruk	Uzun bir kuyrukta bekledik.
quit	bırakmak	Sigarayı bırakmaya karar verdi.
quotation	alıntı	Kompozisyon bir alıntıyla başlıyor.
quote	alıntı yapmak	Sözlerinden alıntı yapabilir miyim?
race (people)	ırk	Form ırk hakkında soru soruyor.
racing	yarış	At yarışı orada popülerdir.
range	çeşit	Mağaza geniş bir çeşit satar.
rare	nadir	Bu kuş nadirdir.
rarely	nadiren	Nadiren dışarıda yemek yeriz.
reaction	tepki	Tepkisi beni şaşırttı.
reality	gerçeklik	Gerçeklik onun hayalinden farklıydı.
receipt	makbuz	Makbuzu sakla.
recommendation	tavsiye	Tavsiye için teşekkür ederim.
reference	kaynak	Sona bir kaynak ekle.
reflect	yansıtmak	Ayna ışığı yansıtabilir.
regularly	düzenli olarak	Düzenli olarak egzersiz yapar.
reject	reddetmek	Teklifi reddedebilirler.
relate	bağ kurmak	Bu hikayeyle bağ kurabiliyorum.
related	ilgili	İki sorun birbiriyle ilgili.
relation	ilişki	Aralarında bir ilişki var.
relative	göreceli	Hız görecelidir.
relaxed	rahat	Akşam yemeğinden sonra rahat hissetti.
relaxing	rahatlatıcı	Müzik rahatlatıcıydı.
release	yayınlamak	Filmi yakında yayınlayacaklar.
reliable	güvenilir	Bu otobüs genellikle güvenilirdir.
religion	din	Din onun için önemlidir.
religious	dini	Dini bir binayı ziyaret ettiler.
remain	kalmak	Lütfen sakin kal.
remind	hatırlatmak	Yarın bana hatırlat.
remote	uzak	Uzak bir köyde yaşıyorlar.
rent	kira	Kira bugün ödenmeli.
repeated	tekrarlanan	Tekrarlanan hatalar işi yavaşlattı.
represent	temsil etmek	Yıldız umudu temsil eder.
require	gerektirmek	Bu iş eğitim gerektirecek.
reservation	rezervasyon	Rezervasyon yaptım.
resource	kaynak	Kütüphane faydalı bir kaynaktır.
respect	saygı	Sınıf arkadaşlarına saygı göster.
responsibility	sorumluluk	Çocuk bakımı büyük bir sorumluluktur.
responsible	sorumlu	Biletlerden o sorumludur.
retire	emekli olmak	Babam yakında emekli olacak.
retired	emekli	O emekli bir öğretmendir.
revise	gözden geçirmek	Bu gece kompozisyonunu gözden geçir.
risk	risk	Yağmur riski var.
robot	robot	Robot zemini temizledi.
roll	yuvarlamak	Topu bana doğru yuvarla.
romantic	romantik	Romantik bir akşam yemeği yediler.
rope	ip	İpi sıkıca bağla.
rough	pürüzlü	Yol pürüzlüydü.
row1	sıra	Ön sıraya otur.
royal	kraliyet	Kraliyet ailesi geldi.
rugby	ragbi	Televizyonda ragbi izledik.
safety	güvenlik	İşte güvenlik önemlidir.
sailor	denizci	Denizci tekneyi onardı.
sample	örnek	Hemşire kan örneği aldı.
sand	kum	Kum ayakkabılarımı kapladı.
scan	taramak	Önce belgeyi tara.
scientific	bilimsel	Bu bilimsel bir yöntemdir.
script	senaryo	Oyuncu senaryoyu okudu.
sculpture	heykel	Heykel dışarıda duruyor.
secondary	ikincil	Bu ikincil bir sorun.
security	güvenlik	Güvenlik çantalarımızı kontrol etti.
seed	tohum	Tohumu toprağa ek.
sensible	mantıklı	Bu mantıklı bir fikir.
seriously	ciddiye almak	Bu sorunu ciddiye al.
servant	hizmetçi	Hizmetçi kapıyı açtı.
set (put)	koymak	Bardağı masanın üzerine koy.
set (group)	set	Bu set altı fincan içerir.
setting	ortam	Hikayenin şehir ortamı var.
sex	cinsiyet	Form yaş ve cinsiyet soruyor.
sexual	cinsel	Sınıf cinsel sağlığı tartıştı.
sharp	keskin	Bu bıçak keskindir.
shelf	raf	Kitabı rafa koy.
shell	kabuk	Kabuk boştu.
shift	vardiya	Vardiyam sekizde başlıyor.
shine	parlamak	Yıldızlar gece parlar.
shiny	parlak	Ayakkabıları parlak.
shoot	çekmek	Fotoğrafçı sahneyi çekecek.
shy	utangaç	Yabancıların yanında utangaçtır.
sight	manzara	Dağ güzel bir manzaraydı.
signal	sinyal	Sinyal zayıftı.
silent	sessiz	Oda sessiz oldu.
silly	aptalca	Bu aptalca bir hataydı.
similarity	benzerlik	Açık bir benzerlik var.
similarly	benzer şekilde	İkinci plan benzer şekilde işler.
simply	basitçe	Basitçe bu düğmeye bas.
sink	batmak	Ağır taşlar hızlıca batar.
slice	dilim	Bir dilim kek yedim.
slightly	biraz	Oda biraz daha sıcak.
smart	şık	Şık bir ceket giydi.
smooth	pürüzsüz	Yol pürüzsüzdür.
software	yazılım	Yazılımın güncellenmesi gerekiyor.
soil	toprak	Toprak kuru.
solid	katı	Duvar katıdır.
southern	güney	Güney kıyısında yaşıyorlar.
specifically	özellikle	Özellikle çay istedim.
spending	harcama	Devlet harcamaları arttı.
spicy	baharatlı	Bu köri baharatlı.
spirit	ruh	Takım büyük ruh gösterdi.
spoken	konuşulan	Konuşulan İngilizce pratikle gelişir.
spot	yer	Bu yer mükemmel.
spread	sürmek	Ekmeğin üzerine tereyağı sür.
stadium	stadyum	Stadyum doluydu.
staff	personel	Personel yardımcı oldu.
standard	standart	Standart yüksekti.
statistic	istatistik	Bu istatistik şaşırtıcı.
statue	heykel	Heykel meydanda duruyor.
stick (push into/attach)	yapıştırmak	Etiketi kutunun üzerine yapıştır.
stick (piece of wood)	sopa	Bir sopa aldı.
