source_headword	DE	example_DE
variety	die Vielfalt	Wir brauchen mehr Vielfalt.
vehicle	das Fahrzeug	Dieses Fahrzeug ist langsam.
view	die Aussicht	Die Aussicht ist schön.
virus	das Virus	Ein Virus machte ihn krank.
voice	die Stimme	Ihre Stimme ist leise.
war	der Krieg	Der Krieg endete vor Jahren.
washing	die Wäsche	Die Wäsche ist draußen.
wave	die Welle	Eine Welle traf das Boot.
weak	schwach	Meine Beine fühlen sich schwach an.
web	das Web	Die Webseite ist geöffnet.
wedding	die Hochzeit	Die Hochzeit beginnt bald.
weight	das Gewicht	Prüfe zuerst das Gewicht.
wet	nass	Meine Schuhe sind nass.
wheel	das Rad	Das Rad ist kaputt.
while	eine Weile	Warte hier eine Weile.
whole	ganz	Ich habe den ganzen Apfel gegessen.
whose	wessen	Wessen Handy ist das?
wide	breit	Die Straße ist breit.
wild	wild	Wilde Tiere leben hier.
wind1	der Wind	Der Wind ist stark.
winner	der Gewinner	Der Gewinner lächelte.
wish	der Wunsch	Äußere einen Wunsch.
wood	das Holz	Der Stuhl ist aus Holz.
wooden	hölzern	Die hölzerne Kiste ist schwer.
working	Arbeits-	Der Arbeitstag ist beendet.
worried	besorgt	Ich fühle mich heute besorgt.
worry	sich Sorgen machen	Mach dir jetzt keine Sorgen.
worse	schlimmer	Dieser Schmerz ist schlimmer.
worst	am schlimmsten	Das war der schlimmste Tag.
wow	wow	Wow, das ist erstaunlich!
yet	schon	Sind wir schon da?
yours	deins	Dieses Buch ist deins.
zero	null	Zähle bis null.
