source_headword	LV	example_LV
decoration	dekors	Dekors izskatījās dārgs.
decrease	samazināties	Cenas drīz var samazināties.
deeply	dziļi	Viņai dziļi rūpēja taisnīgums.
defeat	sakāve	Komanda pieņēma sakāvi.
defence	aizsardzība	Aizsardzība bija labi sagatavota.
defend	aizstāvēt	Viņa aizstāvēja savu lēmumu.
delay	kavēšanās	Slikti laikapstākļi izraisīja kavēšanos.
deliberate	apzināts	Tā bija apzināta izvēle.
deliberately	apzināti	Viņa apzināti ignorēja brīdinājumu.
delight	iepriecināt	Ziņa iepriecināja visus.
delighted	iepriecināts	Dāvana mūs iepriecināja.
delivery	piegāde	Piegāde ieradās agri.
demand	pieprasīt	Strādnieki pieprasa labāku samaksu.
demonstrate	parādīt	Viņš parādīja jauno programmatūru.
deny	noliegt	Viņa noliedza apsūdzību.
depressed	nomākts	Pēc zaudējuma viņš jutās nomākts.
depressing	nomācošs	Filma bija nomācoša.
depth	dziļums	Baseinam ir liels dziļums.
deserve	pelnīt	Tu pelni pārtraukumu.
desire	vēlme	Viņa izteica vēlmi ceļot.
desperate	izmisīgs	Viņi veica izmisīgu zvanu.
detailed	detalizēts	Rokasgrāmata ir ļoti detalizēta.
detect	atklāt	Suņi var atklāt dūmus.
dig	rakt	Vasarā viņi rok akas.
disc	disks	Disks bija saskrāpēts.
discipline	disciplīna	Disciplīna palīdz sportistiem pilnveidoties.
dishonest	negodīgs	Viņa atbilde skanēja negodīgi.
dismiss	noraidīt	Vadītājs noraidīja sūdzību.
display	parādīt	Ekrāns parāda rezultātu.
distribute	izdalīt	Brīvprātīgie izdalīja tīru ūdeni.
distribution	izplatīšana	Izplatīšana sākās pēc saullēkta.
district	rajons	Rajons ievēlēja mēru.
division	nodaļa	Nodaļa risina juridiskas lietas.
domestic	vietējais	Vietējie lidojumi ir lētāki.
dominate	dominēt	Viena kompānija var dominēt tirgū.
downwards	lejup	Taka slīp lejup.
dozen	ducis	Viņa nopirka duci olu.
draft	melnraksts	Lūdzu, pārskati melnrakstu.
drag	vilkt	Nevelc galdu.
dramatic	dramatisks	Rezultāti bija dramatiski.
edit	rediģēt	Viņa rediģēja rakstu.
edition	izdevums	Šajā izdevumā ir jaunas fotogrāfijas.
efficient	efektīvs	Sistēma ir efektīva.
elderly	gados vecs	Gados veciem iedzīvotājiem vajadzīgs atbalsts.
elect	ievēlēt	Vēlētāji ievēl jaunu padomi.
elsewhere	citur	Mēs meklējām palīdzību citur.
emerge	parādīties	Detaļas parādījās pēc pusnakts.
emotional	emocionāls	Runa bija emocionāla.
emphasis	uzsvars	Liec uzsvaru uz drošību.
emphasize	uzsvērt	Skolotāji uzsver ikdienas praksi.
enable	ļaut	Lietotne ļauj ātri maksāt.
encounter	sastapt	Mēs sastapām smagu satiksmi.
engage	iesaistīt	Kurss iesaista pieaugušos audzēkņus.
enhance	uzlabot	Apgaismojums var uzlabot istabu.
enquiry	izmeklēšana	Izmeklēšana ilga trīs mēnešus.
ensure	nodrošināt	Pārbaudi divreiz, lai nodrošinātu precizitāti.
enthusiasm	entuziasms	Viņas entuziasms iedrošināja grupu.
enthusiastic	entuziasma pilns	Brīvprātīgie bija entuziasma pilni.
entire	viss	Viss ciems zaudēja elektrību.
entirely	pilnīgi	Stāsts ir pilnīgi nepatiess.
establish	izveidot	Viņi izveidoja skaidrus noteikumus.
estate	īpašums	Īpašums ietver vairākas saimniecības.
estimate	novērtēt	Mēs novērtējam desmit tūkstošus apmeklētāju.
ethical	ētisks	Lēmums radīja ētiskus jautājumus.
evaluate	izvērtēt	Eksperti izvērtēs dizainu.
evil	ļauns	Karalis baidījās no ļauniem gariem.
examination	pārbaude	Pārbaude ilga vienu stundu.
excuse	attaisnojums	Tas attaisnojums skanēja vāji.
executive	vadītājs	Vadītājs apstiprināja darījumu.
existence	pastāvēšana	Viņu pastāvēšana nebija zināma.
expectation	gaidas	Pirms palaišanas gaidas bija lielas.
expense	izdevumi	Ceļojums ir mūsu lielākie izdevumi.
exploration	izpēte	Kosmosa izpēte iedvesmo bērnus.
expose	atklāt	Raksts atklāja korupciju.
extend	pagarināt	Viņi pagarināja termiņu.
extent	apmērs	Apjomu uzzinājām vēlāk.
external	ārējs	Ārējais spiediens viņus ietekmēja.
extraordinary	neparasts	Viņas atveseļošanās bija neparasta.
facility	iestāde	Iestāde atvērās jūnijā.
failure	neveiksme	Neveiksme iemācīja viņam pacietību.
faith	ticība	Viņa saglabāja ticību viņam.
fault	vaina	Avārija bija mana vaina.
feather	spalva	Spalva nokrita no spilvena.
fee	maksa	Maksa ietver pusdienas.
feedback	atsauksmes	Atsauksmes palīdzēja uzlabot kursu.
fellow	kolēģis	Kolēģi viņu atbalstīja.
finance	finanses	Banka finansēs paplašināšanu.
finding	atklājums	Atklājums pārsteidza pētniekus.
firm	uzņēmums	Uzņēmums pieņēma jaunus darbiniekus.
flame	liesma	Parādījās maza liesma.
flash	zibsnis	Zibsnis apgaismoja debesis.
flexible	elastīgs	Grafiks ir elastīgs.
float	peldēt	Lapas peld uz ūdens.
folding	saliekams	Viņš nesa saliekamu krēslu.
forgive	piedot	Vai vari viņam piedot?
former	bijušais	Bijušais mērs atgriezās.
fortune	bagātība	Viņi zaudēja bagātību.
found	dibināt	Viņi dibināja mazu labdarības organizāciju.
freedom	brīvība	Brīvība prasa atbildību.
frequency	biežums	Biežums palielinājās ziemā.
fully	pilnībā	Viesnīca ir pilnībā rezervēta.
fund	fonds	Fonds atbalsta vietējās skolas.
fundamental	pamata	Cieņa šeit ir pamata lieta.
funding	finansējums	Finansējums beidzās pagājušajā gadā.
furthermore	turklāt	Turklāt izmaksas pieaug.
gain	iegūt	Studenti ātri iegūst pārliecību.
gang	banda	Banda kontrolēja ielu.
generate	ģenerēt	Saules paneļi ģenerē enerģiju.
genre	žanrs	Komēdija ir viņas mīļākais žanrs.
govern	pārvaldīt	Likumi pārvalda publiskos izdevumus.
grab	sagrābt	Viņš sagrāba manu roku.
gradually	pakāpeniski	Sāpes pakāpeniski pazuda.
grand	grandiozs	Viesnīcai ir grandioza ieeja.
grant	grants	Grants apmaksāja aprīkojumu.
guarantee	garantēt	Biļete garantē ieeju.
handle	risināt	Viņa mierīgi risināja sūdzību.
harm	kaitējums	Smēķēšana var kaitēt veselībai.
harmful	kaitīgs	Šī ķīmiskā viela ir kaitīga.
hearing	dzirde	Viņas dzirde uzlabojās.
heaven	debesis	Viņi iedomājās debesis virs sevis.
heel	papēdis	Viņam ļoti sāpēja papēdis.
hell	elle	Ceļojums bija elle.
hesitate	vilcināties	Nevilcinies jautāt.
hollow	dobs	Koks iekšpusē bija dobs.
holy	svēts	Viņi apmeklēja svētu vietu.
honour	gods	Viņi cīnījās par godu.
household	mājsaimniecība	Katra mājsaimniecība saņēma ūdeni.
housing	mājokļi	Mājokļu izmaksas turpina augt.
humorous	humoristisks	Viņa stāsts bija humoristisks.
humour	humors	Humors palīdzēja mazināt spriedzi.
hunting	medības	Medības šeit ir aizliegtas.
illustrate	ilustrēt	Piemēri ilustrē noteikumu.
illustration	ilustrācija	Ilustrācija rāda procesu.
imagination	iztēle	Bērni brīvi izmanto iztēli.
impatient	nepacietīgs	Šoferi kļuva nepacietīgi.
imply	nozīmēt	Viņa klusēšana var nozīmēt piekrišanu.
impose	uzlikt	Tiesa uzlika naudas sodu.
impress	iespaidot	Viņas drosme iespaidoja visus.
impressed	iespaidots	Mani iespaidoja viņas darbs.
inch	colla	Pārbīdi to vienu collu pa kreisi.
incident	incidents	Incidents radīja bažas.
income	ienākumi	Viņu ienākumi lēnām pieauga.
increasingly	arvien vairāk	Mājokļi kļūst arvien dārgāki.
industrial	rūpniecisks	Pilsētai ir rūpnieciskas saknes.
infection	infekcija	Infekcija ātri izplatījās.
inform	informēt	Lūdzu, informē vadītāju.
initial	sākotnējs	Sākotnējās izmaksas bija augstas.
initially	sākotnēji	Sākotnēji neviens viņam neticēja.
initiative	iniciatīva	Viņa uzsāka jaunu iniciatīvu.
inner	iekšējais	Iekšējās durvis bija aizslēgtas.
insight	ieskats	Ziņojums piedāvā noderīgu ieskatu.
insist	uzstāt	Viņi uzstāj uz drošības pārbaudēm.
inspire	iedvesmot	Viņas stāsts var iedvesmot citus.
install	uzstādīt	Viņi uzstādīja jaunu sildītāju.
instance	gadījums	Tas ir viens skaidrs gadījums.
