simplified	SI	example_SI
保密	රහසිගතව තබා ගැනීම	රැස්වීමේ අන්තර්ගතය රහසිගතව තබා ගත යුතුය.
保姆	ගෘහ සේවිකාව	ඔවුන් ගෘහ සේවිකාවක් බඳවා ගත්හ.
保守	සම්ප්‍රදායික	ඔහුගේ අදහස් සාපේක්ෂව සම්ප්‍රදායිකය.
保卫	ආරක්ෂා කිරීම	සෙබළුන් දේශසීමාව ආරක්ෂා කරති.
保养	නඩත්තු කිරීම	මෙම රථයට නියමිත කාලයට නඩත්තු අවශ්‍යය.
保障	සුරක්ෂිත කිරීම	නීතිය පුරවැසි අයිතිවාසිකම් සුරක්ෂිත කරයි.
保重	තමන් ගැන සැලකිලිමත් වීම	නිවසින් පිට සිටින විට කරුණාකර ඔබ ගැන හොඳින් සැලකිලිමත් වන්න.
饱和	සන්තෘප්ත	මෙම වෙළඳපොළ දැනටමත් සන්තෘප්ත වීමට ආසන්නය.
饱经沧桑	ජීවිතයේ බොහෝ වෙනස්කම් අත්විඳ ඇති	මෙම මහලු පුද්ගලයා ජීවිතයේ බොහෝ වෙනස්කම් අත්විඳ ඇත.
报酬	ප්‍රතිලාභ	ඔහුට සාධාරණ ප්‍රතිලාභයක් ලැබුණි.
报仇	පලිගැනීම	ඔහුට පලිගැනීමට නොව නැවත ආරම්භ කිරීමට පමණක් අවශ්‍යය.
报答	ප්‍රතිඋපකාර කිරීම	ඔබගේ උදව්වට මම ක්‍රියාවෙන් ප්‍රතිඋපකාර කරමි.
报复	පළිගැනීම	පළිගැනීමෙන් ගැටුම තවත් ගැඹුරු වේ.
报警	පොලිසියට දැනුම් දීම	ගින්නක් දුටු පසු වහාම පොලිසියට දැනුම් දිය යුතුය.
报销	වියදම් ප්‍රතිපූරණය කිරීම	ගමන් වියදම් ප්‍රතිපූරණය කළ හැක.
抱负	අභිලාෂය	ඔහුට කුඩා කල සිටම විශාල අභිලාෂ තිබුණි.
暴力	ප්‍රචණ්ඩත්වය	අපි ඕනෑම ආකාරයක ප්‍රචණ්ඩත්වයට විරුද්ධ වෙමු.
暴露	හෙළි වීම	මෙම ගැටලුව ක්‍රමයෙන් හෙළි විය.
曝光	ප්‍රසිද්ධියට පත් වීම	මෙම ඡායාරූපය ප්‍රසිද්ධියට පත් වූ පසු අවධානය ලැබුණි.
爆发	හදිසියේ පුපුරා යාම	ගිනිකන්ද හදිසියේ පුපුරා ගියේය.
爆炸	පිපිරීම	පරීක්ෂණාගාරයේ පිපිරීමක් සිදු විය.
卑鄙	නින්දිත	මෙවැනි නින්දිත ක්‍රමය ජනතාව කෝපයට පත් කරයි.
悲哀	දුක්බර	මෙම පුවත අසා ඔහු ඉතා දුක්බර විය.
悲惨	ඛේදජනක	එය ඉතිහාසයේ ඛේදජනක කාලයක් විය.
北极	උත්තර ධ්‍රැව ප්‍රදේශය	විද්‍යාඥයන් උත්තර ධ්‍රැව ප්‍රදේශයේ පර්යේෂණ කරති.
备份	උපස්ථ පිටපත	කරුණාකර මුලින් වැදගත් ගොනු උපස්ථ කරන්න.
备忘录	මතක සටහන	ඇය මතක සටහනේ ප්‍රධාන කරුණු ලියා තැබුවාය.
背叛	ද්‍රෝහී වීම	ඔහුට මිතුරාගේ ද්‍රෝහී වීම පිළිගත නොහැකි විය.
背诵	කටපාඩමින් කියවීම	සිසුන් පාඩම කටපාඩමින් කියවමින් සිටිති.
被动	නිෂ්ක්‍රිය	සාකච්ඡාවේදී අපි ඉතා නිෂ්ක්‍රිය විය නොහැක.
被告	විත්තිකරු	විත්තිකරු සියලු චෝදනා ප්‍රතික්ෂේප කළේය.
贝壳	ශංකු කවචය	දරුවා මුහුදු වෙරළේ ශංකු කවච එකතු කළේය.
奔波	තැන් තැන්වල දුවදුවා යාම	ඔහු රැකියාව වෙනුවෙන් තැන් තැන්වල දුවදුවා යයි.
奔驰	වේගයෙන් ධාවනය වීම	රථය අධිවේගී මාර්ගයේ වේගයෙන් ධාවනය විය.
本能	සහජ ප්‍රවෘත්තිය	දරුවන් ආරක්ෂා කිරීම දෙමාපියන්ගේ සහජ ප්‍රවෘත්තියකි.
本钱	මුල්ධනය	ව්‍යාපාරයක් කිරීමට මුල්ධනය අවශ්‍යය.
本人	මා විසින්ම	මෙම වගකීම මා විසින්ම භාර ගන්නා කැමැත්ත ඇත.
本身	තමන් තුළම	මෙම සැලැස්ම තමන් තුළම ගැටලුවක් නොදරයි.
本事	හැකියාව	ඔහුට හොඳ හැකියාවක් ඇත.
笨拙	අකාර්යක්ෂම	ඔහුගේ චලන ටිකක් අකාර්යක්ෂමය.
崩溃	බිඳ වැටීම	පද්ධතිය හදිසියේ බිඳ වැටුණි.
甭	අවශ්‍ය නැත	මේ ගැන ඔබට කරදර වීමට අවශ්‍ය නැත.
蹦	ඉහළ පැනීම	කුඩා බල්ලා තණබිම මත ඉහළ පැන පැන සිටියේය.
迸发	එක්වර පිට වීම	අත්පොළසන් හඬ ජනතාව අතරින් එක්වර පිට විය.
逼迫	බල කිරීම	ඔවුන් ඔහුට ගිවිසුමට අත්සන් කිරීමට බල කළහ.
鼻涕	නහයේ සෙම	දරුවාට සෙම්ප්‍රතිශ්‍යාව ඇති නිසා නහයේ සෙම නිතර ගලා යයි.
比方	උදාහරණය	උදාහරණයක් ලෙස අපට මුලින් මාසයක් උත්සාහ කළ හැක.
比喻	රූපකය	මෙම රූපකය ඉතා ජීවන්තය.
比重	අනුපාතය	සේවා කර්මාන්තයේ අනුපාතය ක්‍රමයෙන් ඉහළ යයි.
鄙视	අවඥා කිරීම	අන් අයගේ උත්සාහය අවඥා නොකරන්න.
弊病	අඩුපාඩුව	මෙම පද්ධතියට අඩුපාඩු බොහෝ ඇත.
弊端	ව්‍යුහමය අඩුපාඩුව	නව සැලැස්ම පැරණි පද්ධතියේ ව්‍යුහමය අඩුපාඩු විසඳීය.
臂	බාහුව	ඔහුගේ දකුණු බාහුව තුවාල විය.
闭塞	හුදකලා	මෙම කඳු ගමේ ගමනාගමනය අතීතයේ ඉතා හුදකලා විය.
编织	ගෙතීම	ආච්චි ස්වෙටරයක් ගෙතමින් සිටී.
边疆	දේශසීමා ප්‍රදේශය	බොහෝ සෙබළුන් රටේ දේශසීමා ප්‍රදේශය ආරක්ෂා කරති.
边界	සීමාව	රටවල් දෙක නැවත සීමාව ලකුණු කළහ.
边境	දේශසීමාව	දේශසීමා ප්‍රදේශවල ආරක්ෂක පරීක්ෂා ශක්තිමත් කෙරිණි.
边缘	අද්දර	කෝප්පය මේසයේ අද්දර තබා ඇත.
鞭策	උත්තේජනය කිරීම	ගුරුවරයාගේ වචන නිතරම මාව උත්තේජනය කළේය.
扁	පැතලි	මෙම පෙට්ටිය පළලත් පැතලිත් වේ.
贬低	තක්සේරු අඩු කිරීම	අන් අයගේ උත්සාහය අහිතකර ලෙස තක්සේරු අඩු නොකරන්න.
贬义	අහිතකර අර්ථය	මෙම වචනයට මෙහි අහිතකර අර්ථයක් ඇත.
便利	පහසු	භූගත දුම්රිය ගමන් කිරීම තවත් පහසු කරයි.
便条	කෙටි සටහන	ඔහු මේසය මත කෙටි සටහනක් තබා ගියේය.
便于	භාවිතයට පහසු	මෙම සැලසුම මහලු අයට භාවිතයට පහසුය.
变故	අනපේක්ෂිත විපත	ගෙදර හදිසියේ අනපේක්ෂිත විපතක් සිදු විය.
变迁	වෙනස්කම්	නගරයේ වෙනස්කම් ඔහුට බොහෝ හැඟීම් ඇති කළේය.
变质	නරක් වීම	කිරි දිගු කාලයක් තැබුවහොත් නරක් වේ.
辨认	හඳුනා ගැනීම	පොලිසිය ඔහුට ඡායාරූපයේ පුද්ගලයා හඳුනා ගැනීමට කිව්වේය.
辩护	ආරක්ෂා කිරීම	නීතිඥයා විත්තිකරු ආරක්ෂා කළේය.
辩解	සාධාරණීකරණය කිරීම	ඔහු තම වැරැද්ද සාධාරණීකරණය කිරීමට උත්සාහ කළේය.
辩证	ද්විවාදීව	අපි මෙම ගැටලුව ද්විවාදීව බැලිය යුතුය.
辫子	කෙස් ගෙත්තම	කුඩා දැරියට කෙස් ගෙත්තම් දෙකක් ඇත.
遍布	සෑම තැනම පැතිරී තිබීම	මෙම ශාකය රට පුරා සෑම තැනම පැතිරී ඇත.
标本	නියැදිය	කෞතුකාගාරයේ සතුන්ගේ නියැදි ප්‍රදර්ශනය කර ඇත.
标记	සලකුණ	කරුණාකර වැදගත් ඡේද අසල සලකුණු කරන්න.
标题	මාතෘකාව	මෙම ලිපියේ මාතෘකාව ඉතා ආකර්ෂණීයය.
表决	ඡන්ද විමසීම	නියෝජිතයන් යෝජනාව පිළිබඳ ඡන්ද විමසීමක් කරනු ඇත.
表态	ස්ථාවරය ප්‍රකාශ කිරීම	ඔහු තවමත් ප්‍රසිද්ධියේ ස්ථාවරය ප්‍රකාශ කර නැත.
表彰	ප්‍රශංසා කිරීම	සමාගම විශිෂ්ට සේවකයන් ප්‍රශංසා කළේය.
憋	වැළැක්වී තබා ගැනීම	ඔහු සිනහව වැළැක්වී කිසිවක් නොකීවේය.
别墅	සුඛෝපභෝගී නිවස	ඔවුන් උපනගරයේ සුඛෝපභෝගී නිවසක් මිලදී ගත්හ.
别致	අද්විතීය	මෙම කෝපිහලේ අලංකරණය ඉතා අද්විතීයය.
别扭	අමුතු	මෙම වාක්‍යය ටිකක් අමුතු ලෙස ඇසේ.
濒临	අද්දරට පැමිණීම	මෙම සත්වයා වඳ වී යාමේ අද්දරට පැමිණ ඇත.
冰雹	හිම කැට	ඊයේ සවස විශාල හිම කැට වැටුණි.
丙	තුන්වන කාණ්ඩය	තුන්වන කාණ්ඩයේ තරගය සවස ආරම්භ වේ.
并非	එසේ නොවේ	කාරණය ඔබ සිතන පරිදි නොවේ.
并列	සම තැනට පත්වීම	මෙම ව්‍යාපෘති දෙක පළමු ස්ථානයට සමව සිටී.
剥削	සූරාකෑම	පැරණි සමාජයේ දරුණු සූරාකෑමක් තිබුණි.
拨	අංකය ඇමතීම	කරුණාකර මෙම දුරකථන අංකය අමතන්න.
播种	බීජ වැපිරීම	ගොවීන් වසන්තයේදී බීජ වැපිරීම ආරම්භ කරති.
波浪	රළ	මුහුද මත විශාල රළ නැගුණි.
波涛	මහා රළ	නෞකාව මහා රළ අතරින් ඉදිරියට ගමන් කළාය.
伯母	නැන්දා	මම සති අන්තයේ නැන්දා බැලීමට යමි.
博大精深	පුළුල් හා ගැඹුරු	චීන සංස්කෘතිය පුළුල් හා ගැඹුරුය.
博览会	ප්‍රදර්ශනය	ජාත්‍යන්තර ප්‍රදර්ශනය බොහෝ සමාගම් ආකර්ෂණය කළේය.
搏斗	සටන් කිරීම	පොලිසිය අපරාධකරු සමඟ සටන් කළේය.
薄弱	දුර්වල	ඔහුගේ ව්‍යාකරණ පදනම සාපේක්ෂව දුර්වලය.
不顾	නොසලකා	ඔහු අනතුර නොසලකා ඇතුළට දිව ගියේය.
不愧	සැබවින්ම සුදුසු	ඔහු සැබවින්ම අත්දැකීම් බහුල විශේෂඥයෙකු ලෙස හැඳින්වීමට සුදුසුය.
不料	අනපේක්ෂිත ලෙස	අනපේක්ෂිත ලෙස රැස්වීම හදිසියේ අවලංගු විය.
不像话	අසාධාරණ	ඔබ අමුත්තන්ට මෙසේ සැලකීම ඉතා අසාධාරණය.
不屑一顾	අවඥාවෙන් බැහැර කිරීම	ඔහු මෙම කතාබහ අවඥාවෙන් බැහැර කළේය.
哺乳	මව්කිරි දීම	මව ළදරුවාට මව්කිරි දෙමින් සිටී.
捕捉	අල්ලා ගැනීම	ඡායාරූප ශිල්පියා අලංකාර මොහොතක් අල්ලා ගත්තේය.
补偿	වන්දි ගෙවීම	සමාගම ඔබේ පාඩුවට වන්දි ගෙවනු ඇත.
补救	නිවැරදි කිරීම	අපට තවමත් මෙය නිවැරදි කිරීමට කාලය ඇත.
补贴	සහනාධාරය	රජය අඩු ආදායම්ලාභී පවුල්වලට සහනාධාර ලබා දෙයි.
不得已	විකල්පයක් නැතිව	ඔහු විකල්පයක් නැතිව තම ගම හැර ගියේය.
不妨	හානියක් නැත	ඔබ මුලින් ඔහුගේ පැහැදිලි කිරීම ඇසුවත් හානියක් නැත.
不敢当	එතරම් ප්‍රශංසාවට සුදුසු නොවේ	ඔබ මෙතරම් මාව ප්‍රශංසා කිරීම මට ඇත්තෙන්ම සුදුසු නැත.
不禁	නොවැළැක්වී	පුවත අසා ඔහු නොවැළැක්වී සිනාසුණේය.
不堪	ඉවසිය නොහැකි	මෙහි ශබ්දය ඉවසිය නොහැක.
不可思议	විශ්වාස කළ නොහැකි	මෙම ප්‍රතිඵලය ඇත්තෙන්ම විශ්වාස කළ නොහැක.
不免	වැළැක්විය නොහැකි	පළමු වරට වේදිකාවට යන විට ඔහු ටිකක් කනස්සල්ලට පත්වීම වැළැක්විය නොහැකි විය.
不时	වරින් වර	ඔහු වරින් වර ඔරලෝසුව දෙස බැලුවේය.
不惜	මැලි නොවීම	කෙනෙකු බේරා ගැනීමට ඔහු අවදානම ගැනීමට මැලි නොවීය.
不相上下	සමාන මට්ටමේ	කණ්ඩායම් දෙකේ ශක්තිය සමාන මට්ටමේය.
不言而喻	කියා නොකළත් පැහැදිලි	අවංකත්වයේ වැදගත්කම කියා නොකළත් පැහැදිලිය.
不由得	නොවැළැක්වී	පරණ ඡායාරූපය දැක මට නොවැළැක්වී ළමා කාලය මතක් විය.
不择手段	ඕනෑම මාර්ගයක් භාවිතා කිරීම	මුදල් උපයා ගැනීමට ඔහු ඕනෑම මාර්ගයක් භාවිතා කරයි.
不止	වඩා වැඩි	රැස්වීමට සහභාගී වූවන් සියයකට වඩා වැඩිය.
布告	දැන්වීම	පාසල් දොරටුවේ දැන්වීමක් අලවා තිබුණි.
布局	සැලැස්ම	මෙම මහල් නිවසේ සැලැස්ම ඉතා සාධාරණය.
布置	පැවරීම	ගුරුවරයා නව ගෙදර වැඩ පැවරුවේය.
步伐	පියවර	කණ්ඩායම සමාන පියවරකින් ඉදිරියට ගමන් කළේය.
部署	ක්‍රියාත්මක සැලසුම් කිරීම	සමාගම නව විකුණුම් සැලැස්ම ක්‍රියාත්මක කිරීමට සූදානම් වේ.
部位	කොටස	වෛද්‍යවරයා තුවාල වූ කොටස පරීක්ෂා කළේය.
才干	දක්ෂතාව	ඇයට කළමනාකරණයේ විශාල දක්ෂතාවක් ඇත.
裁缝	දර්ජි	මෙම දර්ජිගේ කුසලතාව ඉතා හොඳය.
裁判	විනිසුරු	විනිසුරු තරගය තාවකාලිකව නතර කළ බව ප්‍රකාශ කළේය.
裁员	සේවකයන් ඉවත් කිරීම	පාඩු නිසා සමාගම සේවකයන් ඉවත් කිරීමට තීරණය කළේය.
财富	ධනය	දැනුමද එක් ආකාරයක ධනයකි.
财务	මුදල් කටයුතු	මුදල් අංශය ගිණුම් පරීක්ෂා කරමින් සිටී.
财政	රාජ්‍ය මුදල්	මෙම වසරේ රාජ්‍ය මුදල් ආදායම යම් ප්‍රමාණයකින් වැඩි වී ඇත.
彩票	ලොතරැයි ටිකට්පත	ඔහු විටින් විට ලොතරැයි ටිකට්පතක් මිලදී ගනී.
采购	මිලදී ගැනීම	සමාගම උපකරණ මිලදී ගැනීමට කෙනෙකු යැව්වේය.
采集	එකතු කිරීම	පර්යේෂකයන් වනාන්තරයේ නියැදි එකතු කළහ.
采纳	පිළිගැනීම	නායකයා අපගේ යෝජනාව පිළිගත්තේය.
参谋	උපදෙස් දීම	ඔහු කළමනාකරුට නිතර උපදෙස් දෙයි.
参照	අනුව	කරුණාකර මෙම ආකෘතිය අනුව පෝරමය පුරවන්න.
残疾	ආබාධිත	මෙම ස්ථානය ආබාධිත මගීන්ට උදව් සපයයි.
残酷	කුරිරු	යුද්ධය ඉතා කුරිරුය.
残留	ඉතිරි වීම	කෝප්පය තුළ කෝපි සුවඳ තවමත් ඉතිරි වී ඇත.
残忍	නිර්දය	සතුන්ට හිංසා කිරීම නිර්දය ක්‍රියාවකි.
灿烂	දීප්තිමත්	ඇය දීප්තිමත් සිනහවක් පෙන්වූවාය.
仓促	ඉක්මන්	මෙම තීරණය ඉතා ඉක්මන් ලෙස ගෙන ඇත.
仓库	ගබඩාව	භාණ්ඩ දැනටමත් ගබඩාවට යවා ඇත.
舱	කැබින්	මගීන් ගුවන් යානයේ කැබින්ට ඇතුළු වෙමින් සිටිති.
苍白	පැහැපත්	ඔහුගේ මුහුණ ඉතා පැහැපත් ලෙස පෙනුණි.
操劳	මහන්සි වී වැඩ කිරීම	අම්මා මෙම පවුල වෙනුවෙන් අවුරුදු ගණනාවක් මහන්සි වී වැඩ කළාය.
操练	අභ්‍යාස කිරීම	සෙබළුන් සෑම උදෑසනකම අභ්‍යාස කරති.
操纵	පාලනය කිරීම	මෙම යන්ත්‍රය පරිගණකයෙන් පාලනය කෙරේ.
操作	ක්‍රියාත්මක කිරීම	කරුණාකර උපදෙස් අනුව උපකරණය ක්‍රියාත්මක කරන්න.
嘈杂	ඝෝෂාකාරී	දුම්රිය ස්ථානය තුළ ශබ්දය ඉතා ඝෝෂාකාරී විය.
草案	කෙටුම්පත	කමිටුව මේ වන විට කෙටුම්පත සාකච්ඡා කරමින් සිටී.
草率	අවිචාරශීලී	මෙතරම් වැදගත් තීරණයක් අවිචාරශීලීව ගත නොහැක.
侧面	පැත්ත	පැත්තෙන් බලන විට මෙම ගොඩනැගිල්ල තවත් උසින් පෙනේ.
测量	මැනීම	ඉංජිනේරුවරයා පාලමේ දිග මැනමින් සිටී.
策划	සැලසුම් කිරීම	ඔවුන් විශාල උත්සවයක් සැලසුම් කළහ.
策略	උපායමාර්ගය	මෙම උපායමාර්ගය සමාගමේ පිරිවැය අඩු කිරීමට උපකාර විය.
层出不穷	නිරන්තරයෙන් මතුවීම	නව ගැටලු නිරන්තරයෙන් මතුවෙමින් තිබේ.
层次	ව්‍යුහය	මෙම ලිපියේ ව්‍යුහය ඉතා පැහැදිලිය.
差别	වෙනස	මෙම ක්‍රම දෙක අතර වෙනස වැඩි නැත.
插座	විදුලි සොකට්ටුව	මෙම කාමරයේ විදුලි සොකට්ටු ප්‍රමාණවත් නොවේ.
查获	සොයා අත්අඩංගුවට ගැනීම	රේගුව ව්‍යාජ භාණ්ඩ කණ්ඩායමක් සොයා අත්අඩංගුවට ගත්තේය.
刹那	ක්ෂණය	එක් ක්ෂණයකින් සියලු විදුලි බල්බ නිවී ගියේය.
岔	බෙදී යාම	වාහනය ඉදිරි මංසන්ධියේදී වෙනත් මඟකට බෙදී ගියේය.
诧异	පුදුමයට පත්	ඔහුගේ තීරණය සියලුදෙනාම ඉතා පුදුමයට පත් කළේය.
柴油	ඩීසල් ඉන්ධන	මෙම ලොරිය ඩීසල් ඉන්ධන භාවිත කරයි.
搀	අත අල්ලා සහාය දීම	හෙදිය මහලු පුද්ගලයාගේ අත අල්ලා රෝහලට ඇතුළු කළාය.
缠绕	වටා එතීම	වැල් ගස් ශාඛා වටා එතී තිබේ.
馋	කෑමට ලොල්	කේක් දැක දරුවාට කෑමට ලොල් බවක් ඇති විය.
产业	කර්මාන්තය	සංචාරක කර්මාන්තය මෙහි වැදගත් කර්මාන්තයකි.
阐述	විස්තරාත්මකව පැහැදිලි කිරීම	මහාචාර්යවරයා තම අදහස විස්තරාත්මකව පැහැදිලි කළේය.
颤抖	වෙව්ලීම	ඇය සීතලෙන් මුළු ශරීරයම වෙව්ලමින් සිටියාය.
昌盛	සමෘද්ධිමත්	අපි රට සමෘද්ධිමත් වීමට බලාපොරොත්තු වෙමු.
偿还	ආපසු ගෙවීම	ඔහු ණය නියමිත වේලාවට ආපසු ගෙවීය.
尝试	උත්සාහ කිරීම	අපට නව ක්‍රමයක් උත්සාහ කළ හැක.
场合	අවස්ථාව	මෙවැනි අවස්ථාවක විහිළු කිරීම සුදුසු නැත.
场面	දර්ශනය	විවාහ උත්සවයේ දර්ශනය ඉතා සජීවී විය.
场所	ස්ථානය	මෙය පොදු ස්ථානයකි, කරුණාකර දුම්පානය නොකරන්න.
敞开	විවෘත කර තැබීම	කරුණාකර ජනේලය ටික වේලාවක් විවෘත කර තබන්න.
倡导	ප්‍රවර්ධනය කිරීම	පාසල සෞඛ්‍ය සම්පන්න ජීවන රටාවක් ප්‍රවර්ධනය කරයි.
倡议	යෝජනාව	මෙම පරිසර හිතකාමී යෝජනාවට සහාය ලැබුණි.
畅通	බාධාවකින් තොර	වැස්ස නතර වූ පසු මාර්ගය නැවත බාධාවකින් තොර විය.
畅销	බాగా අලෙවි වන	මෙම නවකතාව ඉතා බాగా අලෙවි වේ.
超越	අභිබවා යාම	ඔහු අවසානයේ තමම වාර්තාව අභිබවා ගියේය.
钞票	මුදල් නෝට්ටුව	මුදල් පසුම්බියේ ඉතිරි වී ඇත්තේ මුදල් නෝට්ටු කිහිපයක් පමණි.
嘲笑	උපහාස කිරීම	අන් අයගේ දුර්වලතා උපහාස නොකරන්න.
巢穴	වාසගුහාව	දඩයක්කාරයා සත්වයාගේ වාසගුහාව සොයා ගත්තේය.
朝代	රාජවංශය	එය ඉතිහාසයේ වැදගත් රාජවංශයකි.
潮流	ප්‍රවණතාව	තරුණයන් විලාසිතා ප්‍රවණතාව ගැන බොහෝ අවධානය යොමු කරති.
撤退	පසුබැසීම	නියෝගය ලැබුණු පසු හමුදාව පසුබැසීය.
撤销	අවලංගු කිරීම	අධිකරණය මුල් තීන්දුව අවලංගු කළේය.
沉淀	තැන්පත් වීම	මඩ සහ වැලි සෙමින් පහළට තැන්පත් වේ.
沉闷	බර හා අපහසු	අද කාලගුණය උණුසුම් මෙන්ම බර හා අපහසු ය.
沉思	ගැඹුරු සිතීම	ඔහු ජනේලය අසල හිඳ ගැඹුරු සිතීමක නිරත විය.
沉重	බරපතළ	මෙම පුවත නිසා සියලුදෙනාගේ සිත් බරපතළ විය.
沉着	සන්සුන්	අනතුරක් ඇති විට සන්සුන්ව සිටිය යුතුය.
陈旧	පැරණි	මෙම යන්ත්‍රය දැන් ඉතා පැරණි වී ඇත.
陈列	ප්‍රදර්ශනය කිරීම	ප්‍රදර්ශනාගාරයේ පුරාවස්තු රැසක් ප්‍රදර්ශනය කර ඇත.
陈述	ප්‍රකාශ කිරීම	කරුණාකර කරුණු පැහැදිලිව ප්‍රකාශ කරන්න.
称心如意	හිතට ගැළපෙන	මෙම රැකියාව ඔහුට ඉතා හිතට ගැළපෙන එකකි.
衬托	ඉස්මතු කර පෙන්වීම	සුදු බිත්ති මල්වල වර්ණය ඉස්මතු කර පෙන්වයි.
