source_headword	HI	example_HI
dark	अंधेरा; गहरा	कमरा अंधेरा है।
date	तारीख; मुलाकात	आज कौन-सी तारीख है?
daughter	बेटी	उसकी बेटी छह साल की है।
day	दिन	तुम्हारा दिन अच्छा हो।
dear	प्रिय; प्यारा	प्रिय मित्र, धन्यवाद।
December	दिसंबर	मेरा जन्मदिन दिसंबर में है।
decide	निर्णय लेना	कृपया अभी निर्णय लो।
delicious	स्वादिष्ट	यह सूप स्वादिष्ट है।
describe	वर्णन करना	अपने कमरे का वर्णन करो।
description	विवरण	छोटा विवरण पढ़ो।
design	डिज़ाइन; डिज़ाइन करना	मैं सरल कार्ड डिज़ाइन करता हूँ।
desk	मेज़; लिखने की मेज़	किताब मेरी मेज़ पर है।
detail	विवरण; बारीकी	एक विवरण गायब है।
dialogue	संवाद	अब संवाद पढ़ो।
dictionary	शब्दकोश	कक्षा में शब्दकोश इस्तेमाल करो।
die	मरना	पानी के बिना फूल मर जाते हैं।
diet	आहार; डाइट	मेरे आहार में फल हैं।
difference	अंतर	एक अंतर है।
different	अलग; भिन्न	हमारे नाम अलग हैं।
difficult	कठिन	यह सवाल कठिन है।
dinner	रात का खाना	रात का खाना तैयार है।
dirty	गंदा	मेरे जूते गंदे हैं।
discuss	चर्चा करना	हम योजना पर चर्चा करते हैं।
dish	थाली; पकवान	यह थाली गर्म है।
do1	करना	तुम क्या कर रहे हो?
doctor	डॉक्टर	डॉक्टर व्यस्त है।
dog	कुत्ता	कुत्ता बाहर दौड़ता है।
dollar	डॉलर	यह एक डॉलर का है।
door	दरवाज़ा	कृपया दरवाज़ा बंद करो।
down	नीचे	यहाँ नीचे बैठो।
downstairs	नीचे की मंज़िल	रसोई नीचे है।
draw	चित्र बनाना	एक छोटा घर बनाओ।
dress	पोशाक; कपड़े पहनना	वह लाल पोशाक पहनती है।
drink	पेय; पीना	मैं पानी पीता हूँ।
drive	गाड़ी चलाना	मैं कार से काम पर जाता हूँ।
driver	चालक	चालक यहाँ रुकता है।
during	के दौरान	मैं उड़ान के दौरान सोता हूँ।
DVD	डीवीडी	यह डीवीडी पुरानी है।
each	प्रत्येक; हर	हर बच्चे के पास किताब है।
ear	कान	मेरे कान में दर्द है।
early	जल्दी; शुरुआती	मैं जल्दी उठता हूँ।
east	पूर्व	सूरज पूर्व में उगता है।
easy	आसान	यह परीक्षा आसान है।
eat	खाना	हम साथ में दोपहर का खाना खाते हैं।
egg	अंडा	मैं एक अंडा खाता हूँ।
eight	आठ	मेरे पास आठ कार्ड हैं।
eighteen	अठारह	वह अठारह साल की है।
eighty	अस्सी	मेरे दादाजी अस्सी साल के हैं।
elephant	हाथी	हाथी बड़ा है।
eleven	ग्यारह	कक्षा ग्यारह बजे शुरू होती है।
else	और; दूसरा	तुम्हें और क्या चाहिए?
email	ईमेल	मुझे ईमेल भेजो।
end	अंत; समाप्त करना	यह अंत है।
enjoy	आनंद लेना; पसंद करना	मुझे यह गीत पसंद है।
enough	काफ़ी	हमारे पास काफ़ी समय है।
euro	यूरो	यह एक यूरो का है।
even	भी; यहाँ तक कि	मेरे भाई को भी पता है।
evening	शाम	हम आज शाम मिलते हैं।
event	कार्यक्रम; घटना	कार्यक्रम आज शुरू होता है।
ever	कभी	क्या तुम कभी खाना पकाते हो?
every	हर	मैं हर दिन पढ़ता हूँ।
everybody	सब लोग	सब लोग यहाँ हैं।
everyone	हर कोई	हर किसी को संगीत पसंद है।
everything	सब कुछ	सब कुछ तैयार है।
exam	परीक्षा	परीक्षा जल्द शुरू होगी।
example	उदाहरण	यह अच्छा उदाहरण है।
excited	उत्साहित	मैं आज उत्साहित हूँ।
exciting	रोमांचक	खेल रोमांचक है।
exercise	व्यायाम; अभ्यास	मैं नाश्ते से पहले व्यायाम करता हूँ।
expensive	महंगा	यह कोट महंगा है।
explain	समझाना	कृपया यह शब्द समझाओ।
extra	अतिरिक्त	मुझे अतिरिक्त समय चाहिए।
eye	आँख	मेरी आँख लाल है।
face	चेहरा	अपना चेहरा धोओ।
fact	तथ्य	यह तथ्य महत्वपूर्ण है।
fall	गिरना; पतझड़	पतझड़ में पत्ते गिरते हैं।
false	गलत; झूठा	वह उत्तर गलत है।
family	परिवार	मेरा परिवार छोटा है।
famous	प्रसिद्ध	वह प्रसिद्ध गायिका है।
fantastic	शानदार	संगीत कार्यक्रम शानदार था।
far	दूर	स्कूल दूर है।
farm	खेत	वे खेत में रहते हैं।
farmer	किसान	किसान खाना उगाता है।
fast	तेज़	यह ट्रेन तेज़ है।
fat	मोटा	बिल्ली मोटी है।
father	पिता	मेरे पिता लंबे हैं।
favourite	पसंदीदा	यह मेरा पसंदीदा गीत है।
February	फ़रवरी	फ़रवरी में यहाँ ठंड होती है।
feel	महसूस करना	मैं खुश महसूस करता हूँ।
feeling	भावना	मैं उस भावना को जानता हूँ।
festival	त्योहार; उत्सव	त्योहार कल शुरू होता है।
few	कुछ	यहाँ कुछ छात्र हैं।
fifteen	पंद्रह	मैं पंद्रह साल का हूँ।
fifth	पाँचवाँ	यह पाँचवीं कक्षा है।
fifty	पचास	मेरी माँ पचास साल की हैं।
fill	भरना	कप में पानी भरो।
film	फ़िल्म	हम फ़िल्म देखते हैं।
final	अंतिम	यह अंतिम प्रश्न है।
find	ढूँढ़ना	मैं अपनी चाबियाँ ढूँढ़ता हूँ।
fine	ठीक	अब मैं ठीक महसूस करता हूँ।
finish	समाप्त करना	अपना होमवर्क पूरा करो।
fire	आग	आग गर्म है।
first	पहला	वह पंक्ति में पहली है।
fish	मछली	मैं रात के खाने में मछली खाता हूँ।
five	पाँच	मेरे पास पाँच किताबें हैं।
flat	फ़्लैट; अपार्टमेंट	मेरा फ़्लैट छोटा है।
flight	उड़ान	उड़ान देर से है।
floor	फ़र्श; मंज़िल	बैग फ़र्श पर है।
flower	फूल	यह फूल पीला है।
fly	उड़ना	पक्षी आकाश में उड़ते हैं।
follow	पीछे आना; पालन करना	कृपया मेरे पीछे आओ।
food	खाना	खाना तैयार है।
foot	पैर	मेरे पैर में दर्द है।
football	फ़ुटबॉल	आज हम फ़ुटबॉल खेलते हैं।
for	के लिए	यह उपहार तुम्हारे लिए है।
forget	भूलना	चाबियाँ मत भूलना।
form	फ़ॉर्म	फ़ॉर्म भरो।
forty	चालीस	मेरे पिता चालीस साल के हैं।
four	चार	मैं चार पक्षी देखता हूँ।
fourteen	चौदह	वह चौदह साल की है।
fourth	चौथा	यह चौथी मंज़िल है।
free	मुफ़्त; खाली	टिकट मुफ़्त है।
Friday	शुक्रवार	हम शुक्रवार को मिलते हैं।
friend	दोस्त	मेरा दोस्त यहाँ है।
friendly	दोस्ताना	शिक्षक दोस्ताना है।
from	से	मैं यहीं से हूँ।
front	सामने; आगे	सामने खड़े हो।
fruit	फल	मैं हर दिन फल खाता हूँ।
full	भरा हुआ	बोतल भरी हुई है।
fun	मज़ा; मज़ेदार	यह खेल मज़ेदार है।
funny	मज़ेदार; हास्यास्पद	फ़िल्म मज़ेदार है।
future	भविष्य	अपने भविष्य के बारे में सोचो।
game	खेल	खेल अब शुरू होता है।
garden	बगीचा	बगीचा सुंदर है।
geography	भूगोल	मैं स्कूल में भूगोल पढ़ता हूँ।
get	पाना; पहुँचना	मैं छह बजे घर पहुँचता हूँ।
girl	लड़की	लड़की मुस्कुराती है।
girlfriend	प्रेमिका	उसकी प्रेमिका अच्छी है।
give	देना	मुझे किताब दो।
glass	गिलास; काँच	मैं गिलास से पीता हूँ।
go	जाना	अब हम घर जाते हैं।
good	अच्छा	यह कॉफ़ी अच्छी है।
goodbye	अलविदा	अलविदा, कल मिलते हैं।
grandfather	दादा; नाना	मेरे दादा बूढ़े हैं।
grandmother	दादी; नानी	मेरी दादी सूप बनाती हैं।
grandparent	दादा-दादी; नाना-नानी	दादी हमारे साथ रहती हैं।
great	बहुत अच्छा; शानदार	यह शानदार विचार है।
green	हरा	दरवाज़ा हरा है।
grey	धूसर; ग्रे	आसमान धूसर है।
group	समूह	छोटे समूह में काम करो।
grow	बढ़ना; उगाना	पौधे बगीचे में बढ़ते हैं।
guess	अनुमान लगाना	उत्तर का अनुमान लगाओ।
guitar	गिटार	वह गिटार बजाता है।
gym	जिम; व्यायामशाला	मैं जिम जाता हूँ।
hair	बाल	उसके बाल लंबे हैं।
half	आधा	केक को आधा काटो।
hand	हाथ	अपना हाथ उठाओ।
happen	होना	आगे क्या होगा?
happy	खुश	मैं आज खुश हूँ।
hard	कठिन; सख़्त	यह कुर्सी सख़्त है।
hat	टोपी	मेरी टोपी काली है।
hate	नफ़रत करना	मुझे ठंडी चाय से नफ़रत है।
have	होना; रखना	मेरे पास कार है।
have to modal	पड़ना; ज़रूरी होना	मुझे पढ़ना पड़ता है।
he	वह	वह मेरा भाई है।
head	सिर	मेरे सिर में दर्द है।
health	स्वास्थ्य	अच्छा खाना स्वास्थ्य में मदद करता है।
healthy	स्वस्थ; पौष्टिक	यह भोजन पौष्टिक है।
hear	सुनना	मैं संगीत सुनता हूँ।
hello	नमस्ते	नमस्ते, मिलकर खुशी हुई।
help	मदद; मदद करना	कृपया मेरी मदद करो।
her	उसकी; उसे	यह उसका बैग है।
here	यहाँ	अब यहाँ आओ।
hey	अरे	अरे, मेरा इंतज़ार करो।
hi	नमस्ते	नमस्ते, कैसे हो?
high	ऊँचा	दीवार ऊँची है।
him	उसे	मैं उसे जानता हूँ।
his	उसका	उसका कोट नीला है।
history	इतिहास	मैं इतिहास पढ़ता हूँ।
hobby	शौक	पढ़ना मेरा शौक है।
holiday	छुट्टी	जुलाई में हम छुट्टी पर जाते हैं।
home	घर	मैं घर पर हूँ।
homework	होमवर्क	आज शाम होमवर्क करो।
hope	आशा करना	मुझे आशा है कि तुम आओगे।
horse	घोड़ा	घोड़ा तेज़ दौड़ता है।
hospital	अस्पताल	अस्पताल पास है।
hot	गर्म	सूप गर्म है।
hotel	होटल	होटल साफ़ है।
hour	घंटा	एक घंटा इंतज़ार करो।
house	घर	यह घर पुराना है।
how	कैसे	तुम कैसे हो?
however	हालाँकि	हालाँकि मैं यहाँ रह सकता हूँ।
hundred	सौ	सौ लोग आए।
hungry	भूखा	मैं भूखा हूँ।
husband	पति	उसका पति डॉक्टर है।
I	मैं	मुझे चाय पसंद है।
ice	बर्फ़	बर्फ़ ठंडी है।
ice cream	आइसक्रीम	मुझे आइसक्रीम चाहिए।
idea	विचार	यह अच्छा विचार है।
if	अगर	अगर मदद चाहिए तो मुझे फ़ोन करो।
imagine	कल्पना करना	एक छोटे घर की कल्पना करो।
important	महत्वपूर्ण	यह पाठ महत्वपूर्ण है।
improve	सुधारना	मैं अपनी अंग्रेज़ी सुधारना चाहता हूँ।
in	में; अंदर	चाबियाँ मेरे बैग में हैं।
include	शामिल करना	कृपया अपना नाम शामिल करो।
information	जानकारी	मुझे और जानकारी चाहिए।
interest	रुचि	उसे कला में रुचि है।
interested	रुचि रखने वाला	मुझे संगीत में रुचि है।
interesting	दिलचस्प	यह किताब दिलचस्प है।
internet	इंटरनेट	इंटरनेट धीमा है।
interview	साक्षात्कार	आज मेरा साक्षात्कार है।
into	में; अंदर	किताबें बैग में रखो।
introduce	परिचय कराना	अपने दोस्त का परिचय कराओ।
island	द्वीप	यह द्वीप छोटा है।
it	यह; वह	ठंड है।
its	उसका; इसकी	कुत्ता अपना बिस्तर पसंद करता है।
jacket	जैकेट	मेरी जैकेट नई है।
January	जनवरी	जनवरी पहला महीना है।
jeans	जीन्स	मेरी जीन्स नीली है।
job	नौकरी; काम	मुझे नई नौकरी चाहिए।
join	शामिल होना	आज हमारी कक्षा में शामिल हो।
journey	यात्रा	यात्रा लंबी है।
juice	रस	मैं संतरे का रस पीता हूँ।
July	जुलाई	जुलाई में हम यात्रा करते हैं।
June	जून	स्कूल जून में समाप्त होता है।
just	बस; अभी-अभी	मुझे बस पानी चाहिए।
keep	रखना; संभालना	यह चाबी संभालकर रखो।
key	चाबी	मैंने चाबी खो दी।
kilometre	किलोमीटर	एक किलोमीटर चलो।
kind (type)	प्रकार	तुम्हें किस प्रकार का संगीत पसंद है?
kitchen	रसोई	रसोई साफ़ है।
know	जानना	मुझे उत्तर पता है।
land	ज़मीन; भूमि	हवाई जहाज़ ज़मीन पर है।
language	भाषा	मैं अंग्रेज़ी भाषा सीखता हूँ।
large	बड़ा	यह कमरा बड़ा है।
last1 (final)	अंतिम	यह अंतिम पन्ना है।
late	देर; देर से	बस देर से है।
later	बाद में	बाद में मिलते हैं।
laugh	हँसना	हम साथ हँसते हैं।
learn	सीखना	मैं अंग्रेज़ी सीखता हूँ।
leave	जाना; छोड़ना	दरवाज़ा खुला छोड़ो।
left	बायाँ; बाएँ	यहाँ बाएँ मुड़ो।
leg	टांग	मेरी टांग में दर्द है।
lesson	पाठ; कक्षा	पाठ अब शुरू होता है।
let	देना; अनुमति देना	मुझे मदद करने दो।
letter	पत्र; अक्षर	मैं पत्र लिखता हूँ।
library	पुस्तकालय	पुस्तकालय नौ बजे खुलता है।
lie1	लेटना	बिस्तर पर लेट जाओ।
life	जीवन	शहर का जीवन व्यस्त है।
like (similar)	जैसा; समान	यह खेल जैसा है।
like (find sb/sth pleasant)	पसंद करना	मुझे यह गीत पसंद है।
line	कतार; रेखा	कतार में खड़े हो।
lion	शेर	शेर सो रहा है।
list	सूची	खरीदारी की सूची बनाओ।
listen	सुनना	शिक्षक की बात सुनो।
little	छोटा; थोड़ा	मेरे पास थोड़ा पैसा है।
live1	रहना	मैं स्कूल के पास रहता हूँ।
local	स्थानीय	यह स्थानीय दुकान है।
long1	लंबा	रास्ता लंबा है।
look	देखना; लगना	चित्र को देखो।
lose	खोना; हारना	टिकट मत खोना।
lot	बहुत	मेरे पास बहुत होमवर्क है।
love	प्यार करना; प्रेम	मैं अपने परिवार से प्यार करता हूँ।
lunch	दोपहर का खाना	दोपहर का खाना तैयार है।
