simplified	HI	example_HI	BN	example_BN	TL	example_TL
倍	गुना; दुगुना	हमारे स्कूल में विदेशी छात्रों की संख्या पिछले साल से दुगुनी हो गई है।	গুণ; দ্বিগুণ	আমাদের স্কুলে বিদেশি শিক্ষার্থীর সংখ্যা গত বছরের তুলনায় দ্বিগুণ হয়েছে।	beses; doble	Nadoble ang bilang ng mga dayuhang estudyante sa aming paaralan kumpara noong nakaraang taon.
本来	मूल रूप से; पहले तो	मैं असल में कार्यक्रम देखने जाने वाला था, लेकिन अचानक काम आ गया।	মূলত; আসলে	আমি আসলে অনুষ্ঠান দেখতে যেতে চেয়েছিলাম, কিন্তু হঠাৎ কাজ পড়ে গেল।	sana; orihinal na	Balák ko sanang manood ng pagtatanghal, pero biglang may nangyari.
笨	मूर्ख; बेवकूफ़	तुम बेवकूफ़ नहीं हो, बस और मेहनत करने की ज़रूरत है।	বোকা; মূর্খ	তুমি বোকা নও, শুধু আরও পরিশ্রম করতে হবে।	bobo; hangal	Hindi ka bobo, kailangan mo lang magsikap pa.
比如	उदाहरण के लिए; जैसे	मेरे कई शौक हैं, जैसे तैरना और पढ़ना।	যেমন; উদাহরণস্বরূপ	আমার অনেক শখ আছে, যেমন সাঁতার কাটা আর বই পড়া।	halimbawa; gaya ng	Marami akong libangan, halimbawa paglangoy at pagbabasa.
毕业	स्नातक होना; पढ़ाई पूरी करना	मैं इस साल तीसरे वर्ष में हूँ और अगले साल स्नातक होऊँगा।	স্নাতক হওয়া; পড়াশোনা শেষ করা	আমি এ বছর তৃতীয় বর্ষে পড়ি, আগামী বছর স্নাতক হব।	magtapos; pagtatapos	Nasa ikatlong taon ako ngayon at magtatapos sa susunod na taon.
遍	एक बार; दफ़ा	उसने बात फिर से एक बार कही।	একবার; দফা	সে ঘটনাটা আবার একবার বলল।	beses; ulit	Inulit niya ang bagay na iyon.
标准	मानक; सही	तुम्हारी मंदारिन बहुत मानक है।	মান; মানসম্মত	তোমার মান্দারিন খুব মানসম্মত।	pamantayan; wasto	Napakaayos ng Mandarin mo.
表格	फ़ॉर्म; तालिका	कृपया फ़ॉर्म में अपना नाम भरें।	ফর্ম; সারণি	দয়া করে ফর্মে আপনার নাম লিখুন।	pormularyo; talahanayan	Pakilagay ang pangalan ninyo sa pormularyo.
表示	व्यक्त करना; कहना	कृपया उसकी ओर आभार व्यक्त करें।	প্রকাশ করা; জানানো	দয়া করে তাকে ধন্যবাদ জানাও।	ipahayag; ipakita	Pakipahayag sa kaniya ang pasasalamat.
表演	प्रदर्शन करना; प्रस्तुति	तुम लोग कौन-सा कार्यक्रम प्रस्तुत करने वाले हो?	পরিবেশন করা; অভিনয়	তোমরা কী অনুষ্ঠান পরিবেশন করবে?	magtanghal; pagtatanghal	Anong palabas ang itatanghal ninyo?
表扬	प्रशंसा करना; सराहना	उसे अक्सर प्रधानाचार्य से प्रशंसा मिलती है।	প্রশংসা করা; বাহবা	সে প্রায়ই প্রধান শিক্ষকের প্রশংসা পায়।	purihin; papuri	Madalas siyang purihin ng punong-guro.
饼干	बिस्कुट; कुकी	मैं बिस्कुट लाया हूँ, थोड़ा खा लो।	বিস্কুট; কুকি	আমি বিস্কুট কিনেছি, একটু খাও।	biskwit; kuki	Bumili ako ng biskwit, kumain tayo ng kaunti.
并且	और भी; साथ ही	वह बहुत बुद्धिमान है और बहुत मेहनती भी है।	এবং; পাশাপাশি	সে খুব বুদ্ধিমান এবং খুব পরিশ্রমী।	at saka; bukod pa roon	Matalino siya at masipag din.
博士	डॉक्टर; पीएचडी	मैं परिचय करा दूँ, ये डॉक्टर ली हैं।	ডক্টর; পিএইচডি	আমি পরিচয় করিয়ে দিই, ইনি ডক্টর লি।	doktor; doktorado	Ipakikilala ko siya: ito si Doktor Li.
不过	लेकिन; हालांकि	वह बहुत उत्कृष्ट है, लेकिन कंपनी की भर्ती शर्तों पर खरा नहीं उतरता।	কিন্তু; তবে	সে খুবই ভালো, কিন্তু কোম্পানির নিয়োগের শর্ত পূরণ করে না।	ngunit; pero	Mahusay siya, pero hindi siya pasok sa mga kondisyon sa pagkuha ng empleyado ng kompanya.
不得不	मजबूर होना; करना ही पड़ना	बाहर तेज़ बारिश हो रही है, इसलिए मुझे घर पर ही रहना पड़ रहा है।	করতেই বাধ্য হওয়া; উপায় না থাকা	বাইরে খুব বৃষ্টি হচ্ছে, তাই আমাকে বাড়িতেই থাকতে হচ্ছে।	napipilitang; walang magawa kundi	Malakas ang ulan sa labas kaya napilitan akong manatili sa bahay.
不管	चाहे जो भी; परवाह किए बिना	मौसम जैसा भी हो, मुझे पहाड़ पर चढ़ना ही है।	যাই হোক না কেন; নির্বিশেষে	আবহাওয়া যেমনই হোক, আমি পাহাড়ে উঠবই।	kahit ano pa; kahit paano	Kahit ano pa ang panahon, aakyat pa rin ako sa bundok.
不仅	न केवल; सिर्फ़ नहीं	मैं उस शहर में न केवल गया हूँ, बल्कि कई बार गया हूँ।	শুধু নয়; কেবল নয়	আমি শুধু ওই শহরে গিয়েছি তা নয়, অনেকবার গিয়েছি।	hindi lamang; hindi lang	Hindi lamang ako nakapunta sa lungsod na iyon, maraming beses pa.
部分	भाग; हिस्सा	लेख का सबसे महत्वपूर्ण भाग तीसरा अनुच्छेद है।	অংশ; ভাগ	প্রবন্ধের সবচেয়ে গুরুত্বপূর্ণ অংশ হলো তৃতীয় অনুচ্ছেদ।	bahagi; seksiyon	Ang pinakamahalagang bahagi ng artikulo ay ang ikatlong talata.
擦	पोंछना; साफ़ करना	मैंने खिड़कियाँ साफ़ कर दी हैं।	মোছা; পরিষ্কার করা	আমি জানালাগুলো পরিষ্কার করে ফেলেছি।	punasan; linisin	Nalinis ko na ang mga bintana.
猜	अनुमान लगाना	ज़रा अनुमान लगाओ, मैंने तुम्हारे लिए जन्मदिन का कौन-सा उपहार तैयार किया है?	অনুমান করা	ধরো তো, তোমার জন্মদিনের জন্য আমি কী উপহার প্রস্তুত করেছি?	hulaan	Hulaan mo kung anong regalo sa kaarawan ang inihanda ko para sa iyo.
材料	सामग्री; कागज़ात	पंजीकरण के लिए किन कागज़ों की ज़रूरत है?	উপকরণ; কাগজপত্র	নিবন্ধনের জন্য কী কী কাগজপত্র দরকার?	materyal; dokumento	Anong mga dokumento ang kailangan para sa pagpaparehistro?
参观	देखने जाना; भ्रमण करना	मैं सप्ताहांत में ग्रेट वॉल देखने जाना चाहता हूँ।	পরিদর্শন করা; ঘুরে দেখা	আমি সপ্তাহান্তে গ্রেট ওয়াল দেখতে যেতে চাই।	bumisita; mamasyal	Gusto kong bisitahin ang Dakilang Pader sa katapusan ng linggo.
餐厅	रेस्तराँ; भोजन कक्ष	स्कूल के पास एक नया रेस्तराँ खुला है।	রেস্তোরাঁ; খাবার ঘর	স্কুলের কাছে একটি নতুন রেস্তোরাঁ খুলেছে।	restawran; silid-kainan	May bagong bukas na restawran malapit sa paaralan.
厕所	शौचालय	पुरुषों का शौचालय पहली मंज़िल पर है।	শৌচাগার; টয়লেট	পুরুষদের শৌচাগার প্রথম তলায়।	palikuran; banyo	Nasa unang palapag ang palikuran ng mga lalaki.
差不多	लगभग; क़रीब-क़रीब	मैं रोज़ लगभग सात बजे उठता हूँ।	প্রায়; মোটামুটি	আমি প্রতিদিন প্রায় সাতটায় উঠি।	halos; mga	Araw-araw akong gumigising nang mga alas-siyete.
尝	चखना; आज़माना	जल्दी आकर मेरे बनाए खाने को चखो, स्वाद कैसा है?	চেখে দেখা; স্বাদ নেওয়া	তাড়াতাড়ি এসে আমার রান্না করা খাবার চেখে দেখো, স্বাদ কেমন?	tikman; subukan	Halika at tikman ang niluto ko; kumusta ang lasa?
长城	ग्रेट वॉल	मैं सप्ताहांत में ग्रेट वॉल देखने जाना चाहता हूँ।	গ্রেট ওয়াল	আমি সপ্তাহান্তে গ্রেট ওয়াল দেখতে যেতে চাই।	Dakilang Pader	Gusto kong bisitahin ang Dakilang Pader sa katapusan ng linggo.
长江	यांग्त्से नदी	यांग्त्से नदी चीन की सबसे बड़ी नदी है।	ইয়াংজি নদী	ইয়াংজি নদী চীনের বৃহত্তম নদী।	Ilog Yangtze	Ang Ilog Yangtze ang pinakamalaking ilog sa Tsina.
场	घटनाओं के लिए गणक; मैदान	यह बारिश बिल्कुल समय पर हुई।	ঘটনার গণক; মাঠ	এই বৃষ্টি ঠিক সময়ে হয়েছে।	pangbilang sa pangyayari; lugar	Tamang-tama ang dating ng ulang ito.
超过	से ज़्यादा होना; पार करना	यहाँ रोज़ तीन सौ से ज़्यादा उड़ानें उड़ान भरती हैं।	ছাড়িয়ে যাওয়া; বেশি হওয়া	এখান থেকে প্রতিদিন তিন শতাধিক ফ্লাইট উড়ে যায়।	lumampas; higit sa	Mahigit tatlong daang biyahe ng eroplano ang umaalis dito araw-araw.
乘坐	सवारी करना; वाहन से जाना	इस उड़ान में आपका स्वागत है।	চড়া; যাত্রা করা	এই ফ্লাইটে আপনাকে স্বাগতম।	sumakay sa sasakyan	Maligayang pagdating sa biyaheng ito.
成功	सफलता; सफल होना	मेहनत सफलता पाने की गारंटी है।	সাফল্য; সফল হওয়া	পরিশ্রমই সাফল্য অর্জনের নিশ্চয়তা।	tagumpay; magtagumpay	Ang pagsisikap ang garantiya ng tagumpay.
成为	बनना	मैं बचपन से पुलिसकर्मी बनना चाहता था।	হওয়া; হয়ে ওঠা	ছোটবেলা থেকেই আমি পুলিশ হতে চেয়েছি।	maging; maging isa	Gusto ko nang maging pulis mula pagkabata.
诚实	ईमानदार; ईमानदारी	ईमानदार लोग हमारे सम्मान के योग्य हैं।	সৎ; সততা	সৎ মানুষ আমাদের সম্মানের যোগ্য।	tapat; katapatan	Karapat-dapat nating igalang ang mga tapat na tao.
吃惊	हैरान होना; चौंकना	यह ख़बर सुनकर वह बहुत हैरान हुआ।	অবাক হওয়া; চমকে ওঠা	এই খবর শুনে সে খুব অবাক হলো।	magulat	Nagulat siya nang marinig ang balitang ito.
重新	फिर से; दोबारा	उसने बात फिर से एक बार कही।	আবার; পুনরায়	সে ঘটনাটা আবার একবার বলল।	muli; ulit	Inulit niya ang bagay na iyon.
抽烟	धूम्रपान करना	माफ़ कीजिए, अस्पताल में धूम्रपान नहीं कर सकते।	ধূমপান করা	দুঃখিত, হাসপাতালে ধূমপান করা যায় না।	manigarilyo	Paumanhin, bawal manigarilyo sa ospital.
出差	व्यावसायिक यात्रा पर जाना	पापा को व्यावसायिक यात्रा पर गए एक महीने से ज़्यादा हो गया है।	ব্যবসায়িক সফরে যাওয়া	বাবা এক মাসেরও বেশি সময় ধরে ব্যবসায়িক সফরে আছেন।	bumiyahe para sa trabaho; biyaheng pangtrabaho	Mahigit isang buwan nang nasa biyaheng pangtrabaho si Papa.
出发	रवाना होना; निकलना	मैं बीजिंग से शंघाई के लिए रवाना हुआ।	রওনা হওয়া	আমি বেইজিং থেকে সাংহাইয়ের উদ্দেশে রওনা দিলাম।	umalis; maglakbay	Umalis ako mula Beijing papuntang Shanghai.
出生	जन्म लेना	मेरा जन्म एक छोटे शहर में हुआ था।	জন্ম নেওয়া	আমার জন্ম একটি ছোট শহরে।	ipanganak	Ipinanganak ako sa isang maliit na lungsod.
出现	दिखाई देना; पैदा होना	हमारे काम में कई समस्याएँ सामने आईं।	দেখা দেওয়া; উদ্ভূত হওয়া	আমাদের কাজে অনেক সমস্যা দেখা দিয়েছে।	lumitaw; magkaroon	Maraming problema ang lumitaw sa trabaho namin.
厨房	रसोई	फल काटने वाला चाकू रसोई में है।	রান্নাঘর	ফলের ছুরিটা রান্নাঘরে আছে।	kusina	Nasa kusina ang kutsilyong pangprutas.
传真	फ़ैक्स	कृपया मेरे लिए एक फ़ैक्स भेज दीजिए।	ফ্যাক্স	দয়া করে আমার জন্য একটি ফ্যাক্স পাঠান।	faks	Pakipadalhan ako ng isang faks.
窗户	खिड़की	मैंने खिड़कियाँ साफ़ कर दी हैं।	জানালা	আমি জানালাগুলো পরিষ্কার করে ফেলেছি।	bintana	Nalinis ko na ang mga bintana.
词语	शब्द; अभिव्यक्ति	कृपया इन शब्दों से कुछ वाक्य बनाइए।	শব্দ; পদ; অভিব্যক্তি	দয়া করে এই শব্দগুলো দিয়ে কয়েকটি বাক্য বলুন।	salita; parirala	Gamitin ang mga salitang ito para gumawa ng ilang pangungusap.
从来	हमेशा; कभी नहीं	मैंने उसे कभी नहीं देखा है।	সবসময়; কখনোই	আমি তাকে কখনো দেখিনি।	kailanman; mula noon	Hindi ko pa siya kailanman nakita.
粗心	लापरवाह; असावधान	तुम सचमुच बहुत लापरवाह हो।	অসাবধান; বেখেয়াল	তুমি সত্যিই খুব অসাবধান।	pabaya; hindi maingat	Napakapabaya mo talaga.
存	जमा करना; सँभालकर रखना	मैंने पैसे बैंक में जमा कर दिए।	জমা রাখা; সংরক্ষণ করা	আমি টাকা ব্যাংকে জমা করেছি।	magdeposito; mag-imbak	Inideposito ko ang pera sa bangko.
错误	ग़लती; त्रुटि	मेरी ग़लती बताने के लिए धन्यवाद।	ভুল; ত্রুটি	আমার ভুলটা দেখিয়ে দেওয়ার জন্য ধন্যবাদ।	mali; pagkakamali	Salamat sa pagtukoy sa pagkakamali ko.
答案	उत्तर; समाधान	तुम्हारा उत्तर सही है।	উত্তর; সমাধান	তোমার উত্তর সঠিক।	sagot; solusyon	Tama ang sagot mo.
打扮	सजना-सँवरना	वह थोड़ा-सा तैयार होकर बाहर चली गई।	সাজগোজ করা	সে একটু সাজগোজ করেই বেরিয়ে গেল।	mag-ayos; magbihis	Nag-ayos lang siya nang simple at lumabas.
打扰	परेशान करना; बाधा डालना	माफ़ कीजिए, ज़रा आपको परेशान कर रहा हूँ।	বিরক্ত করা; ব্যাঘাত ঘটানো	দুঃখিত, আপনাকে একটু বিরক্ত করছি।	istorbohin; abalahin	Pasensiya na, aabalahin lang kita sandali.
打印	छापना; प्रिंट करना	ये कागज़ात छप चुके हैं।	ছাপা; প্রিন্ট করা	এই কাগজপত্রগুলো ছাপা হয়ে গেছে।	ilimbag; magpalimbag	Nailimbag na ang mga dokumentong ito.
打招呼	अभिवादन करना	उसने मुस्कुराते हुए मुझे नमस्ते कहा।	অভিবাদন জানানো	সে হাসতে হাসতে আমাকে শুভেচ্ছা জানাল।	bumati	Ngumiti siya at bumati sa akin.
打折	छूट देना	वसंत त्योहार से पहले बाज़ारों में छूट चल रही है।	ছাড় দেওয়া	বসন্ত উৎসবের আগে শপিং মলগুলোতে ছাড় চলছে।	magbigay ng diskuwento	Nagbibigay ng diskuwento ang mga pamilihan bago ang Pista ng Tagsibol.
打针	इंजेक्शन लगाना; इंजेक्शन लगवाना	बेटा इंजेक्शन से बहुत डरता है।	ইনজেকশন দেওয়া; ইনজেকশন নেওয়া	ছেলে ইনজেকশন নিতে খুব ভয় পায়।	magpaturok; mag-iniksiyon	Takot na takot ang anak na lalaki sa iniksiyon.
大概	शायद; लगभग	वह शायद नहीं आएगा।	সম্ভবত; প্রায়	সে সম্ভবত আসবে না।	marahil; humigit-kumulang	Malamang hindi siya darating.
大使馆	दूतावास	मैं कल वीज़ा बनवाने दूतावास जाऊँगा।	দূতাবাস	আমি কাল ভিসার জন্য দূতাবাসে যাব।	embahada	Pupunta ako bukas sa embahada para asikasuhin ang bisa.
大约	लगभग; क़रीब	उसकी उम्र लगभग तीस से कुछ ज़्यादा है।	প্রায়; আনুমানিক	তার বয়স আনুমানিক ত্রিশের কিছু বেশি।	mga; humigit-kumulang	Mga tatlumpu pataas ang edad niya.
大夫	डॉक्टर	डॉक्टर ली, क्या आप कल सुबह अस्पताल में होंगे?	ডাক্তার	ডাক্তার লি, আপনি কি কাল সকালে হাসপাতালে থাকবেন?	doktor	Doktor Li, nasa ospital po ba kayo bukas ng umaga?
戴	पहनना; लगाना	उसने काले चश्मे की एक जोड़ी पहन रखी है।	পরা; লাগানো	সে এক জোড়া কালো চশমা পরে আছে।	magsuot; isuot	Nakasuot siya ng isang pares ng itim na salamin.
当	बनना; के रूप में काम करना	मैं डॉक्टर बनना चाहता हूँ।	হওয়া; হিসেবে কাজ করা	আমি ডাক্তার হতে চাই।	maging; magtrabaho bilang	Gusto kong maging doktor.
当时	उस समय; तब	मुझे उस समय की स्थिति ठीक से याद नहीं है।	তখন; সেই সময়	সেই সময়ের পরিস্থিতি আমার স্পষ্ট মনে নেই।	noon; nang panahong iyon	Hindi ko na malinaw na matandaan ang kalagayan noong panahong iyon.
刀	चाकू	फल काटने वाला चाकू रसोई में है।	ছুরি	ফলের ছুরিটা রান্নাঘরে আছে।	kutsilyo	Nasa kusina ang kutsilyong pangprutas.
导游	पर्यटक गाइड; मार्गदर्शक	मेरी बड़ी बहन एक पर्यटक गाइड है।	ট্যুর গাইড; পথপ্রদর্শক	আমার দিদি একজন ট্যুর গাইড।	gabay sa paglalakbay	Gabay sa paglalakbay ang ate ko.
倒	गिरना; गिरा देना	तेज़ हवा ने पेड़ को गिरा दिया।	পড়ে যাওয়া; ফেলে দেওয়া	জোর হাওয়ায় গাছটা পড়ে গেল।	matumba; ibagsak	Ibinagsak ng malakas na hangin ang puno.
到处	हर जगह; चारों ओर	पार्क में हर जगह फूल हैं।	সব জায়গায়; সর্বত্র	পার্কে সর্বত্র ফুল।	kahit saan; saanman	May mga bulaklak kahit saan sa parke.
到底	आख़िर; ठीक-ठीक	इस वाक्य का आख़िर मतलब क्या है?	আসলে; ঠিক	এই বাক্যটার আসলে অর্থ কী?	talaga; eksakto	Ano ba talaga ang ibig sabihin ng pangungusap na ito?
道歉	माफ़ी माँगना	मैं उससे पहले ही माफ़ी माँग चुका हूँ।	ক্ষমা চাওয়া	আমি ইতিমধ্যে তার কাছে ক্ষমা চেয়েছি।	humingi ng tawad	Humingi na ako ng tawad sa kaniya.
得	करना पड़ना; ज़रूरी होना	कल परीक्षा है, मुझे जल्दी सोना होगा।	করতে হবে; দরকার	কাল পরীক্ষা, তাই আমাকে তাড়াতাড়ি ঘুমাতে হবে।	kailangan; dapat	May pagsusulit ako bukas, kaya kailangan kong matulog nang maaga.
得意	गर्वित; प्रसन्न	काम सफल हुआ, सब बहुत गर्वित हैं।	গর্বিত; সন্তুষ্ট	কাজে সাফল্য এসেছে, সবাই খুব গর্বিত।	ipagmalaki; masiyahan	Naging matagumpay ang trabaho, kaya ipinagmamalaki ito ng lahat.
登机牌	बोर्डिंग पास	कृपया अपना बोर्डिंग पास सँभालकर रखें और विमान में चढ़ने की तैयारी करें।	বোর্ডিং পাস	দয়া করে বোর্ডিং পাসটি ভালো করে রাখুন এবং বিমানে ওঠার প্রস্তুতি নিন।	pase sa pagsakay	Pakihawakan nang mabuti ang inyong pase sa pagsakay at maghanda nang sumakay sa eroplano.
等	आदि; वगैरह	मेज़ पर सेब, केले आदि फल हैं।	ইত্যাদি	টেবিলে আপেল, কলা ইত্যাদি ফল আছে।	at iba pa	May mga prutas sa mesa, tulad ng mansanas, saging, at iba pa.
低	नीचा; कम	थोड़ा और ऊपर, अभी बहुत नीचा है।	নিচু; কম	আরও একটু উঁচু করো, এখন খুব নিচু।	mababa	Itaas pa nang kaunti; masyadong mababa ngayon.
底	तल; निचला भाग	कप का तल बहुत साफ़ है।	তলা; ভিত্তি	কাপের তলাটা খুব পরিষ্কার।	ilalim; pinakailalim	Malinis ang ilalim ng tasa.
地点	स्थान; जगह	बैठक की जगह तीसरी मंज़िल के सभाकक्ष में है।	স্থান; জায়গা	মিটিংয়ের স্থান তৃতীয় তলার সভাকক্ষে।	lugar; lokasyon	Ang lugar ng pulong ay nasa silid-pulong sa ikatlong palapag.
地球	पृथ्वी	पृथ्वी की सतह का बड़ा हिस्सा समुद्र है।	পৃথিবী	পৃথিবীর পৃষ্ঠের বেশির ভাগই সমুদ্র।	Daigdig; mundo	Karamihan sa ibabaw ng Daigdig ay karagatan.
地址	पता	कृपया अपना पता लिख दें।	ঠিকানা	দয়া করে আপনার ঠিকানা লিখে দিন।	tirahan; adres	Pakisulat ang inyong tirahan.
掉	गिरना; गिरा देना	चाबी ज़मीन पर गिर गई।	পড়ে যাওয়া; ফেলে দেওয়া	চাবিটা মাটিতে পড়ে গেছে।	mahulog	Nahulog sa lupa ang susi.
调查	जाँच; जाँच करना	पुलिस जाँच कर रही है।	তদন্ত; তদন্ত করা	পুলিশ তদন্ত করছে।	imbestigasyon; magsiyasat	Nagsasagawa ng imbestigasyon ang pulis.
丢	खोना	क्या तुम्हारा स्कूल बैग खो गया?	হারানো	তোমার স্কুলব্যাগ হারিয়েছে?	mawala	Nawala ba ang bag mo sa paaralan?
动作	हरकत; क्रिया	मैं तुम्हें नाचना सिखाता हूँ, हरकतें बहुत आसान हैं।	ভঙ্গি; নড়াচড়া	আমি তোমাকে নাচ শেখাই, ভঙ্গিগুলো খুব সহজ।	galaw; kilos	Tuturuan kitang sumayaw; napakasimple ng mga galaw.
堵车	ट्रैफ़िक जाम	मैं रास्ते में हूँ, फिर ट्रैफ़िक जाम है।	যানজট	আমি রাস্তায় আছি, আবার যানজট হয়েছে।	trapiko; pagsisikip ng daan	Nasa daan ako, naipit na naman sa trapiko.
肚子	पेट	मेरे पेट में दर्द है।	পেট	আমার পেট ব্যথা করছে।	tiyan; sikmura	Masakit ang tiyan ko.
短信	मोबाइल संदेश; छोटा संदेश	कोई बात हो तो कृपया मुझे संदेश भेजिए या फ़ोन कीजिए।	খুদে বার্তা; মোবাইল বার্তা	কিছু হলে আমাকে বার্তা পাঠান অথবা ফোন করুন।	mensahe sa telepono	Kung may kailangan, padalhan mo ako ng mensahe o tawagan mo ako.
对话	संवाद	यह संवाद अपेक्षाकृत आसान है, मैं समझ सकता हूँ।	সংলাপ	এই সংলাপটি তুলনামূলক সহজ, আমি বুঝতে পারি।	diyalogo	Medyo madali ang diyalogong ito; naiintindihan ko.
对面	सामने; उस पार	मैं स्कूल के ठीक सामने रहता हूँ।	সামনে; বিপরীতে	আমি স্কুলের ঠিক বিপরীতে থাকি।	katapat; kabila	Nakatira ako sa tapat mismo ng paaralan.
对于	के बारे में; के संबंध में	इस सवाल के बारे में मेरी राय अलग है।	সম্পর্কে; বিষয়ে	এই প্রশ্ন সম্পর্কে আমার ভিন্ন মত আছে।	tungkol sa; para sa	Tungkol sa tanong na ito, iba ang pananaw ko.
儿童	बच्चा; बच्चे	एक दशमलव दो मीटर से कम कद वाले बच्चे बाल टिकट खरीद सकते हैं।	শিশু; বাচ্চা	এক দশমিক দুই মিটারের কম উচ্চতার শিশুরা শিশু-টিকিট কিনতে পারে।	bata; mga bata	Ang mga batang mas mababa sa isang punto dalawang metro ang taas ay maaaring bumili ng pambatang tiket.
而	और; लेकिन	यह कपड़ा सस्ता और सुंदर है।	এবং; অথচ	এই পোশাকটি সস্তা এবং সুন্দর।	at; ngunit	Mura at maganda ang damit na ito.
发生	होना; घटित होना	स्थिति में बहुत बड़ा बदलाव हुआ है।	ঘটা; সংঘটিত হওয়া	পরিস্থিতিতে বড় পরিবর্তন ঘটেছে।	mangyari; maganap	Malaki ang naging pagbabago sa sitwasyon.
发展	विकास; विकसित होना	इन वर्षों में अर्थव्यवस्था तेज़ी से विकसित हुई है।	উন্নয়ন; বিকাশ	এই কয়েক বছরে অর্থনীতি দ্রুত উন্নত হয়েছে।	umunlad; pag-unlad	Mabilis umunlad ang ekonomiya nitong mga taon.
法律	कानून	मैं विश्वविद्यालय में कानून पढ़ रहा हूँ।	আইন	আমি বিশ্ববিদ্যালয়ে আইন পড়ছি।	batas	Nag-aaral ako ng batas sa unibersidad.
翻译	अनुवाद करना; दुभाषिया	कृपया इस लेख का चीनी में अनुवाद करें।	অনুবাদ করা; দোভাষী	দয়া করে এই প্রবন্ধটি চীনা ভাষায় অনুবাদ করুন।	magsalin; tagasalin	Pakisalin ang artikulong ito sa wikang Tsino.
烦恼	चिंता; परेशानी	अब इस बात की चिंता मत करो।	চিন্তা; বিরক্তি	এই বিষয় নিয়ে আর চিন্তা কোরো না।	alala; pagkabalisa	Huwag ka nang mag-alala tungkol dito.
反对	विरोध करना	इस योजना का सब लोग विरोध करते हैं।	বিরোধিতা করা	এই পরিকল্পনার সবাই বিরোধিতা করে।	tumutol; salungatin	Tumututol ang lahat sa planong ito.
