source_headword	VI	example_VI
apart	cách nhau	Những ngôi nhà cách nhau hai mét.
apologize	xin lỗi	Tôi xin lỗi vì đến muộn.
application	đơn đăng ký; ứng dụng	Vui lòng hoàn thành đơn đăng ký trực tuyến.
appointment	cuộc hẹn	Ngày mai tôi có cuộc hẹn với nha sĩ.
appreciate	trân trọng	Tôi trân trọng sự giúp đỡ của bạn.
approximately	khoảng	Chuyến đi bộ mất khoảng hai mươi phút.
arrest	bắt giữ; vụ bắt giữ	Cảnh sát đã bắt giữ người lái xe.
arrival	sự đến nơi	Việc chúng tôi đến nơi muộn hơn dự kiến.
assignment	bài tập	Bài tập phải nộp vào thứ Sáu.
assist	hỗ trợ	Các y tá hỗ trợ bác sĩ.
atmosphere	bầu không khí	Quán cà phê có bầu không khí thư giãn.
attach	đính kèm	Hãy đính kèm tệp vào email của bạn.
attitude	thái độ	Thái độ của cô ấy thay đổi sau cuộc họp.
attract	thu hút	Những bông hoa rực rỡ thu hút ong.
attraction	điểm thu hút; điểm tham quan	Lâu đài là một điểm tham quan nổi tiếng.
authority	chính quyền	Chính quyền địa phương đã sửa con đường.
aware	nhận thức	Cô ấy nhận thức được rủi ro.
backwards	lùi lại; về phía sau	Anh ấy đi lùi lại một cách cẩn thận.
bake	nướng	Tôi nướng bánh mì vào mỗi Chủ nhật.
balance	sự cân bằng; thăng bằng	Giày tốt giúp bạn giữ thăng bằng.
ban	cấm; lệnh cấm	Thành phố sẽ cấm xe hơi.
bank (river)	bờ sông	Chúng tôi ngồi trên bờ sông.
base	căn cứ; cơ sở	Đội đã quay lại căn cứ.
basic	cơ bản	Mọi người cần kỹ năng máy tính cơ bản.
basis	nền tảng; cơ sở	Sự tin tưởng là nền tảng của tình bạn.
battery	pin điện	Pin điện thoại của tôi sắp hết.
battle	trận chiến	Trận chiến kéo dài suốt đêm.
beauty	vẻ đẹp	Chúng tôi ngắm vẻ đẹp của những ngọn núi.
bee	ong mật	Một con ong đậu trên bông hoa.
belief	niềm tin	Niềm tin của anh ấy cho anh ấy lòng can đảm.
bell	chuông	Chuông trường reo rất to.
bend	uốn cong; cúi	Hãy gập đầu gối khi bạn nâng đồ.
bite	cắn; vết cắn	Con chó có thể cắn người lạ.
block	chặn; khối	Một cây đổ đã chặn con đường.
bomb	quả bom	Quả bom làm hư hại vài tòa nhà.
border	biên giới	Họ băng qua biên giới vào ban đêm.
bother	làm phiền	Xin đừng làm phiền em gái bạn.
branch	cành cây; chi nhánh	Một cành cây gãy trong cơn bão.
brand	thương hiệu	Thương hiệu này phổ biến với học sinh.
brave	dũng cảm	Người đàn ông dũng cảm đã cứu đứa trẻ.
breath	hơi thở	Hãy hít một hơi thở sâu.
breathe	thở	Tôi không thể thở trong làn khói này.
breathing	nhịp thở	Nhịp thở của cô ấy chậm.
bride	cô dâu	Cô dâu mặc một chiếc váy trắng.
bubble	bong bóng	Một bong bóng nổi phía trên ly.
bury	chôn	Họ chôn chiếc hộp trong cát.
calm	bình tĩnh; làm dịu	Hãy giữ bình tĩnh trong kỳ thi.
campaign	chiến dịch	Chiến dịch đã gây quỹ cho các trường học.
campus	khuôn viên trường	Sinh viên sống gần khuôn viên trường.
candidate	ứng viên	Mỗi ứng viên trả lời ba câu hỏi.
cap	mũ lưỡi trai	Anh ấy đội một chiếc mũ bóng chày.
captain	đội trưởng; thuyền trưởng	Đội trưởng nói chuyện với cả đội.
careless	bất cẩn	Một lỗi bất cẩn làm chúng tôi mất thời gian.
category	danh mục; loại	Hãy chọn đúng danh mục.
ceiling	trần nhà	Trần nhà được sơn màu trắng.
celebration	buổi ăn mừng; lễ kỷ niệm	Buổi ăn mừng kéo dài suốt buổi tối.
central	trung tâm	Khách sạn có vị trí trung tâm.
ceremony	buổi lễ	Buổi lễ bắt đầu lúc giữa trưa.
chain	dây chuyền; chuỗi	Cô ấy đeo một dây chuyền bạc.
challenge	thử thách	Dự án này là một thử thách thật sự.
champion	nhà vô địch	Nhà vô địch cảm ơn huấn luyện viên của cô ấy.
channel	kênh	Hãy đổi kênh, làm ơn.
chapter	chương	Hãy đọc chương tiếp theo tối nay.
charge	phí; tính phí	Trẻ em không phải trả phí.
cheat	gian lận	Đừng gian lận trong bài kiểm tra.
cheerful	vui vẻ	Sáng nay cô ấy nghe có vẻ vui vẻ.
chemical	hóa chất; thuộc hóa học	Mùi hóa chất rất mạnh.
chest	ngực	Ngực anh ấy đau sau khi chạy.
childhood	tuổi thơ	Tôi nhớ ngôi nhà thời thơ ấu của mình.
claim	tuyên bố; khẳng định	Họ khẳng định sản phẩm này an toàn.
clause	mệnh đề; điều khoản	Điều khoản này thay đổi ý nghĩa.
click	nhấp	Hãy nhấp vào nút màu xanh.
client	khách hàng	Khách hàng yêu cầu thêm chi tiết.
cloth	vải; khăn vải	Hãy lau bàn bằng chiếc khăn vải này.
clue	manh mối	Manh mối đã giúp chúng tôi giải quyết việc đó.
coal	than đá	Chiếc tàu cũ dùng than đá.
coin	đồng xu	Anh ấy tìm thấy một đồng xu trên sàn.
collection	bộ sưu tập	Bộ sưu tập tem của cô ấy rất lớn.
coloured	có màu	Cô ấy đeo một chiếc khăn choàng có màu.
combine	kết hợp; trộn	Hãy trộn bột mì và nước.
commercial	quảng cáo; thương mại	Thời gian quảng cáo kéo dài năm phút.
commit	cam kết	Chúng ta phải cam kết với kế hoạch.
communication	giao tiếp; truyền thông	Giao tiếp tốt giúp tránh sai lầm.
comparison	sự so sánh	Sự so sánh này rất hữu ích.
competitive	cạnh tranh	Thị trường rất cạnh tranh.
competitor	đối thủ cạnh tranh	Đối thủ cạnh tranh chính của chúng tôi đã giảm giá.
complaint	lời phàn nàn; khiếu nại	Cô ấy đã khiếu nại về tiếng ồn.
complex	phức tạp	Hướng dẫn quá phức tạp.
concentrate	tập trung	Tôi không thể tập trung khi có nhạc.
conclude	kết luận; kết thúc	Bây giờ chúng ta kết thúc cuộc họp.
conclusion	kết luận	Kết luận của anh ấy có vẻ hợp lý.
confident	tự tin	Cô ấy cảm thấy tự tin trước buổi phỏng vấn.
confirm	xác nhận	Vui lòng xác nhận địa chỉ email của bạn.
confuse	làm bối rối; nhầm lẫn	Hai cái tên này làm tôi bối rối.
confused	bối rối	Tôi cảm thấy bối rối vì bản đồ.
connection	kết nối	Kết nối internet chậm.
consequence	hậu quả	Thiếu ngủ có hậu quả.
consist	bao gồm	Bữa ăn gồm ba món.
consume	tiêu thụ	Xe lớn tiêu thụ nhiều nhiên liệu hơn.
consumer	người tiêu dùng	Người tiêu dùng muốn thông tin rõ ràng.
contact	liên hệ; sự liên lạc	Hãy liên hệ với tôi sau bữa trưa.
container	hộp đựng; thùng chứa	Hãy cho súp vào một hộp đựng.
content1	nội dung	Nội dung của khóa học rất hữu ích.
continuous	liên tục	Chiếc máy tạo ra tiếng ồn liên tục.
contrast	sự tương phản	Sự tương phản giữa họ rất rõ ràng.
convenient	thuận tiện	Nhà ga rất thuận tiện.
convince	thuyết phục	Cô ấy thuyết phục anh ấy thử lại.
costume	trang phục hóa trang	Anh ấy mặc trang phục cướp biển.
cottage	nhà nhỏ ở quê	Họ thuê một ngôi nhà nhỏ ở quê.
cotton	bông; vải cotton	Chiếc áo này được làm bằng bông.
countryside	vùng quê; nông thôn	Chúng tôi đi bộ qua vùng nông thôn.
court	tòa án; sân	Vụ án được đưa ra tòa.
covered	được phủ; phủ đầy	Chiếc bàn phủ đầy giấy tờ.
cruel	tàn nhẫn	Cười nhạo như vậy thật tàn nhẫn.
cultural	văn hóa	Bảo tàng tổ chức các sự kiện văn hóa.
currency	tiền tệ	Đồng tiền địa phương là euro.
current	hiện tại; dòng chảy	Tình hình hiện tại rất khó khăn.
currently	hiện nay	Cô ấy hiện đang du học.
curtain	rèm cửa	Hãy đóng rèm cửa vào ban đêm.
custom	phong tục	Phong tục này rất lâu đời.
damage	thiệt hại; làm hỏng	Cơn bão gây thiệt hại nghiêm trọng.
decade	thập kỷ	Họ đã sống ở đó trong một thập kỷ.
decorate	trang trí	Chúng tôi cùng nhau trang trí căn phòng.
define	định nghĩa	Bạn có thể định nghĩa thuật ngữ này không?
definite	rõ ràng; xác định	Chúng tôi cần một câu trả lời rõ ràng.
definition	định nghĩa	Hãy viết định nghĩa vào vở của bạn.
deliver	giao; phân phát	Họ giao đồ ăn đến nhà chúng tôi.
departure	sự khởi hành	Thời gian khởi hành đã thay đổi.
despite	mặc dù	Mặc dù trời mưa, chúng tôi vẫn đi bộ.
destination	điểm đến	Paris là điểm đến cuối cùng của họ.
determine	xác định	Các bài kiểm tra xác định trình độ của bạn.
determined	quyết tâm	Cô ấy quyết tâm thành công.
development	sự phát triển	Sự phát triển của thị trấn rất nhanh.
diagram	sơ đồ	Hãy vẽ một sơ đồ đơn giản.
diamond	kim cương	Chiếc nhẫn có một viên kim cương nhỏ.
difficulty	khó khăn	Anh ấy gặp khó khăn khi mở cửa.
directly	trực tiếp	Vui lòng nói trực tiếp với tôi.
dirt	bụi bẩn	Giày của anh ấy phủ đầy bụi bẩn.
disadvantage	bất lợi	Chuyến đi dài là một bất lợi.
disappointed	thất vọng	Cô ấy cảm thấy thất vọng vì kết quả.
disappointing	đáng thất vọng	Cái kết thật đáng thất vọng.
discount	giảm giá	Sinh viên được giảm giá ở đây.
dislike	không thích	Tôi không thích nhạc quá lớn.
divide	chia nhỏ	Hãy chia chiếc bánh thành nhiều miếng.
documentary	phim tài liệu	Chúng tôi xem một phim tài liệu về không gian.
donate	quyên góp	Nhiều người quyên góp quần áo cũ.
doubt	nghi ngờ; sự nghi ngờ	Tôi không có nghi ngờ gì về việc đó.
dressed	mặc đồ	Anh ấy mặc đồ màu đen.
drum	trống	Tiếng trống vang khắp căn phòng.
drunk	say rượu	Người lái xe đã say rượu.
due	đến hạn	Báo cáo đến hạn vào ngày mai.
dust	bụi	Bụi phủ lên những cuốn sách cũ.
duty	nhiệm vụ; trách nhiệm	Giúp đỡ là nhiệm vụ của tôi.
earthquake	động đất	Trận động đất làm hư hại cây cầu.
eastern	phía đông	Bờ biển phía đông có gió.
economic	kinh tế	Đất nước đối mặt với các vấn đề kinh tế.
economy	nền kinh tế	Nền kinh tế tăng trưởng trong năm nay.
edge	mép; rìa	Hãy đứng cách xa mép đó.
editor	biên tập viên	Biên tập viên đã kiểm tra bài viết.
educate	giáo dục	Trường học giáo dục người trẻ.
educated	có học	Cô ấy có trình độ học vấn cao.
educational	giáo dục	Trò chơi này mang tính giáo dục.
effective	hiệu quả	Loại thuốc này có hiệu quả.
effectively	một cách hiệu quả	Cô ấy giải thích quy tắc một cách hiệu quả.
effort	nỗ lực	Nỗ lực của bạn đã tạo ra khác biệt.
election	cuộc bầu cử	Kết quả cuộc bầu cử rất sít sao.
element	yếu tố	Sự tin tưởng là một yếu tố quan trọng.
embarrassed	xấu hổ; ngượng	Anh ấy cảm thấy xấu hổ sau khi ngã.
embarrassing	đáng xấu hổ	Đó là một lỗi đáng xấu hổ.
emergency	trường hợp khẩn cấp	Hãy gọi số này trong trường hợp khẩn cấp.
emotion	cảm xúc	Sợ hãi là một cảm xúc mạnh.
employment	việc làm	Việc làm tăng trong tháng này.
encourage	khuyến khích	Giáo viên khuyến khích học sinh đọc sách.
enemy	kẻ thù	Hai quốc gia từng là kẻ thù.
engaged	đính hôn	Họ đã đính hôn vào mùa xuân năm ngoái.
engineering	kỹ thuật	Cô ấy học kỹ thuật ở trường đại học.
entertain	giải trí	Ca sĩ sẽ giải trí cho khách mời.
entertainment	sự giải trí	Thành phố có nhiều hoạt động giải trí buổi tối.
entrance	lối vào	Hãy gặp tôi ở lối vào.
entry	vé vào; sự vào	Trẻ em được vào miễn phí.
environmental	thuộc môi trường	Chúng tôi thảo luận về các vấn đề môi trường.
episode	tập phim	Tập cuối rất thú vị.
equal	bằng nhau; bình đẳng	Họ nhận mức lương bằng nhau.
equally	ngang nhau; bình đẳng	Công việc được chia đều.
escape	trốn thoát; sự thoát	Các tù nhân cố gắng trốn thoát.
essential	thiết yếu	Nước là thiết yếu cho sự sống.
eventually	cuối cùng	Cuối cùng, chúng tôi tìm thấy khách sạn.
examine	khám; kiểm tra	Bác sĩ đã khám cánh tay của tôi.
exchange	trao đổi	Chúng tôi đã đổi hàng ở cửa hàng.
excitement	sự phấn khích	Trận đấu đầy sự phấn khích.
exhibition	triển lãm	Triển lãm nghệ thuật mở cửa vào ngày mai.
expand	mở rộng	Công ty dự định mở rộng.
expected	dự kiến	Chi phí dự kiến rất cao.
expedition	chuyến thám hiểm	Chuyến thám hiểm băng qua sa mạc.
experienced	có kinh nghiệm	Cô ấy là một y tá có kinh nghiệm.
explode	nổ	Chai có thể nổ dưới sức nóng.
explore	khám phá	Chúng tôi khám phá khu phố cổ.
explosion	vụ nổ	Vụ nổ làm vỡ vài cửa sổ.
export	hàng xuất khẩu; xuất khẩu	Cà phê là một mặt hàng xuất khẩu quan trọng.
fairly	khá	Bài kiểm tra khá dễ.
familiar	quen thuộc	Khuôn mặt của cô ấy trông quen thuộc.
fancy	muốn; sang trọng	Bạn có muốn uống một ly cà phê không?
fascinating	hấp dẫn	Câu chuyện rất hấp dẫn.
fashionable	thời trang	Đôi giày đó rất thời trang.
fasten	thắt; buộc	Hãy thắt dây an toàn của bạn.
favour	ân huệ; sự giúp đỡ	Bạn có thể giúp tôi một việc không?
fence	hàng rào	Hàng rào bao quanh khu vườn.
fighting	cuộc chiến; sự đánh nhau	Cuộc chiến dừng lại lúc bình minh.
file	tệp; hồ sơ	Hãy lưu tệp trước khi đóng.
financial	tài chính	Cô ấy cần lời khuyên tài chính.
fitness	thể lực	Chạy bộ cải thiện thể lực của bạn.
fixed	cố định	Giá đã được cố định.
flag	lá cờ	Lá cờ bay trên trường học.
flood	lũ lụt; làm ngập	Trận lũ làm hư hại nhiều ngôi nhà.
flour	bột mì	Thêm bột mì vào bát.
flow	chảy; dòng chảy	Dòng sông chảy qua thị trấn.
fold	gấp; nếp gấp	Hãy gấp tờ giấy làm đôi.
folk	dân gian; dân ca	Nhạc dân gian vang khắp hội trường.
force	lực; ép buộc	Gió có lực rất mạnh.
forever	mãi mãi	Tôi sẽ nhớ điều này mãi mãi.
frame	khung ảnh	Bức ảnh cần một cái khung.
freeze	đóng băng	Nước sẽ đóng băng qua đêm.
frequently	thường xuyên	Anh ấy thường xuyên thăm bố mẹ.
friendship	tình bạn	Tình bạn của họ kéo dài nhiều năm.
frighten	làm sợ	Tiếng ồn lớn làm em bé sợ.
frightened	sợ hãi	Đứa trẻ trông sợ hãi.
frightening	đáng sợ	Cơn bão thật đáng sợ.
frozen	đông lạnh; đóng băng	Cái hồ đã đóng băng.
fry	chiên; rán	Chiên hành trong năm phút.
fuel	nhiên liệu	Chiếc xe cần thêm nhiên liệu.
function	chức năng; hoạt động	Nút này có một chức năng.
fur	lông thú	Con mèo có bộ lông mềm.
garage	nhà để xe	Chiếc xe ở trong nhà để xe.
gather	tụ tập; thu thập	Chúng tôi tụ tập quanh bàn.
generally	thường; nói chung	Cô ấy thường đến sớm.
generation	thế hệ	Mỗi thế hệ đối mặt với vấn đề mới.
generous	hào phóng	Anh ấy hào phóng với thời gian của mình.
gentle	dịu dàng; nhẹ nhàng	Hãy dùng giọng nói nhẹ nhàng.
gentleman	quý ông	Quý ông đó mở cửa.
ghost	hồn ma	Câu chuyện nhắc đến một con ma.
giant	khổng lồ	Một màn hình khổng lồ phủ kín sân khấu.
glad	vui mừng	Tôi vui mừng vì bạn đã đến.
global	toàn cầu	Biến đổi khí hậu là vấn đề toàn cầu.
glove	găng tay	Tôi làm mất một chiếc găng tay.
goods	hàng hóa	Hàng hóa đến muộn.
grade	điểm; lớp	Cô ấy đạt điểm cao.
graduate	sinh viên tốt nghiệp; tốt nghiệp	Anh ấy là một sinh viên mới tốt nghiệp.
grain	hạt	Một hạt gạo rơi xuống.
grateful	biết ơn	Tôi biết ơn sự hỗ trợ của bạn.
growth	sự tăng trưởng; sự phát triển	Cây cho thấy sự tăng trưởng ổn định.
guard	người bảo vệ; canh giữ	Người bảo vệ kiểm tra vé của chúng tôi.
guilty	có tội; áy náy	Anh ấy cảm thấy áy náy vì nói dối.
hang	treo lên	Hãy treo áo khoác của bạn ở đây.
happiness	hạnh phúc	Tiền không thể mua hạnh phúc.
hardly	hầu như không	Tôi hầu như không nghe thấy bạn.
headline	tiêu đề	Tiêu đề thu hút sự chú ý của tôi.
heating	hệ thống sưởi	Hệ thống sưởi ngừng hoạt động.
heavily	nặng nề; rất nhiều	Trời mưa rất to suốt đêm.
helicopter	trực thăng	Một chiếc trực thăng hạ cánh gần đó.
highlight	làm nổi bật; điểm nổi bật	Vui lòng làm nổi bật ý chính.
highly	rất; được đánh giá cao	Cô ấy được rất nhiều người kính trọng.
hire	thuê	Chúng tôi cần thuê một chiếc xe.
historic	có tính lịch sử	Chúng tôi đã thăm một tòa nhà có tính lịch sử.
historical	thuộc lịch sử	Cô ấy yêu thích tiểu thuyết lịch sử.
honest	trung thực	Vui lòng đưa ra một câu trả lời trung thực.
horrible	kinh khủng	Mùi đó thật kinh khủng.
horror	kinh dị; nỗi kinh hoàng	Anh ấy thích phim kinh dị.
host	chủ nhà; người dẫn chương trình	Chủ nhà chào đón mọi vị khách.
