simplified	RU	example_RU
老师	учитель	Учитель в школе.
了	показатель завершенного действия	Я съел рис.
冷	холодный	Сегодня холодно.
里	внутри; в	В чашке есть вода.
零	ноль	Ноль - не один.
六	шесть	Сейчас шесть часов.
妈妈	мама	Мама пьет чай.
吗	вопросительная частица	Ты студент?
买	покупать	Я покупаю яблоки.
猫	кошка	Кошка на стуле.
没	не иметь; не	У меня нет денег.
没关系	ничего страшного; неважно	Ничего страшного.
米饭	вареный рис	Я ем рис.
名字	имя	Как тебя зовут?
明天	завтра	Завтра я еду в Пекин.
哪	какой; какая; какое; какие; где; куда	Куда ты идешь?
那	тот; та; то; те	Это мой учитель.
呢	вопросительная частица; а ...	А ты?
能	мочь; быть способным	Я могу пойти?
你	ты	Как у тебя дела?
年	год	В году двенадцать месяцев.
女儿	дочь	Ее дочь очень красивая.
朋友	друг	Он мой друг.
漂亮	красивый	Она очень красивая.
苹果	яблоко	Я люблю яблоки.
七	семь	Сейчас семь часов.
前面	впереди; перед	Ресторан перед магазином.
钱	деньги	У меня нет денег.
请	пожалуйста; приглашать; просить	Пожалуйста, пейте чай.
去	идти; ехать	Я иду в школу.
热	горячий; жаркий	Сегодня жарко.
人	человек; люди	В школе много людей.
认识	знать; узнавать	Я его знаю.
日	день; дата	Сегодня первое марта.
三	три	У меня есть три чашки.
商店	магазин	Магазин перед школой.
上	сверху; на; вверх	Книга на столе.
上午	утро; до полудня	Утром я изучаю китайский язык.
少	мало; немного	Студентов мало.
什么	что	Что это?
十	десять	У меня есть десять книг.
时候	время; момент	Когда ты придешь?
是	быть; являться; да	Я студент.
书	книга	Я читаю книгу.
谁	кто	Кто он?
水	вода	Я пью воду.
水果	фрукты	Я покупаю фрукты.
睡觉	спать; ложиться спать	Я иду спать.
说话	говорить; разговаривать	Учитель говорит.
四	четыре	У меня четыре друга.
岁	лет (о возрасте)	Мне десять лет.
他	он; его	Он учитель.
她	она; ее	Она студентка.
太	слишком; очень	Эта чашка слишком большая.
天气	погода	Сегодня хорошая погода.
听	слушать; слышать	Я слушаю, как говорит учитель.
同学	одноклассник; однокурсник	Он мой одноклассник.
喂	алло	Алло?
我	я; меня	Я врач.
我们	мы; нас	Мы идем в школу.
五	пять	У меня пять яблок.
喜欢	любить; нравиться	Мне нравится пить чай.
下	вниз; под; следующий	Книга под столом.
下午	день; после полудня	Днем я иду в магазин.
下雨	идет дождь	Сегодня идет дождь.
先生	господин; сэр; муж	Здравствуйте, сэр.
现在	сейчас	Сейчас я в школе.
想	хотеть; думать; скучать	Я хочу пить воду.
小	маленький	Эта чашка маленькая.
小姐	девушка; мисс	Девушка, здравствуйте.
些	несколько; немного	У меня есть несколько книг.
写	писать	Я пишу иероглифы.
谢谢	спасибо; благодарить	Спасибо.
星期	неделя; день недели	Сегодня понедельник.
学生	ученик; студент	Я студент.
学习	учиться; изучать	Я изучаю китайский язык.
学校	школа	Школа большая.
一	один	У меня есть одна чашка.
衣服	одежда	Я покупаю одежду.
医生	врач	Она врач.
医院	больница	Больница перед школой.
椅子	стул	Стул за столом.
有	иметь; есть	У меня есть друзья.
月	месяц; луна	Сегодня четвертое мая.
再见	до свидания	До свидания, учитель.
在	находиться; в; на	Я дома.
怎么	как	Как читается этот иероглиф?
怎么样	как; как насчет	Как у тебя сегодня дела?
这	этот; эта; это; эти	Это моя книга.
中国	Китай	Я еду в Китай.
中午	полдень	В полдень я ем рис.
住	жить; проживать	Я живу в Пекине.
桌子	стол	Книга на столе.
字	иероглиф; слово	Этот иероглиф маленький.
昨天	вчера	Вчера я смотрел фильм.
坐	сидеть; ехать на транспорте	Я лечу в Пекин на самолете.
做	делать; готовить	Я готовлю.
