source_headword	ZH	example_ZH
bullet	子弹	子弹击中了墙。
bunch	一串	她拿着一串钥匙。
bush	灌木	一只鸟藏在灌木里。
cable	电缆	电缆坏了。
calculate	计算	计算总费用。
cancel	取消	他们取消了会议。
cancer	癌症	癌症治疗可能很困难。
capable	有能力的	她有能力做得更多。
capacity	容量	大厅达到了容量上限。
capture	捕捉	照片捕捉到了气氛。
cast	演员阵容	演员阵容准备好了。
cell	单元格	每个单元格包含数据。
chairman	主席	主席宣布会议开始。
characteristic	特点	耐心是她的主要特点。
chief	首席的	首席工程师迟到了。
circumstance	情况	仔细考虑每种情况。
cite	引用	请引用你的来源。
citizen	公民	每个公民都可以投票。
civil	文明的	抗议保持了和平。
classic	经典的	这部电影是经典。
closely	密切地	密切观察这个过程。
collapse	倒塌	旧桥可能倒塌。
combination	组合	这个组合效果很好。
comfort	安慰	她的话带来了安慰。
command	命令	军官下达了命令。
commission	委员会	委员会审查了案件。
commitment	承诺	这份工作需要投入。
committee	委员会	委员会每周开会。
commonly	通常	这种植物通常被种植。
complicated	复杂的	说明很复杂。
component	部件	一个部件坏了。
concentration	专注	噪音打断了我的专注。
concept	概念	这个概念很简单。
concern	担忧	安全是我们的主要担忧。
concerned	担心的	父母们非常担心。
conduct	进行	他们在当地进行研究。
confidence	信心	练习建立信心。
conflict	冲突	冲突持续了多年。
confusing	令人困惑的	地图令人困惑。
conscious	有意识的	她仍然有意识。
conservative	保守的	他的观点很保守。
consideration	考虑因素	成本是重要的考虑因素。
consistent	一致的	她的结果很一致。
constant	持续的	持续的噪音让我们疲惫。
constantly	不断地	他不断查看手机。
construct	建造	工人建造了一座新桥。
construction	施工	施工下个月开始。
contemporary	当代的	画廊展示当代艺术。
contest	比赛	她参加了比赛。
contract	合同	仔细阅读合同。
contribute	贡献	每个人都可以贡献想法。
contribution	贡献	她的贡献很有价值。
convert	改造	他们改造了车库。
convinced	确信的	我确信他说谎了。
core	核心	信任是核心问题。
corporate	公司的	公司规定又变了。
council	委员会	委员会批准了计划。
county	县	该县修好了道路。
courage	勇气	她表现出真正的勇气。
crash	撞车	撞车堵住了交通。
creation	创造	创造过程用了六个月。
creature	生物	这个生物悄悄移动。
crew	船员; 工作人员	船员准备好了船。
crisis	危机	危机改变了一切。
criterion	标准	价格是一个标准。
critic	评论家	评论家称赞了这部剧。
critical	危急的	他的情况很危急。
criticism	批评	她平静地接受了批评。
criticize	批评	不要批评每个错误。
crop	庄稼	今年庄稼歉收。
crucial	关键的	时机在这里很关键。
cure	治疗方法	医生找到了治疗方法。
curve	弯道	道路沿着弯道延伸。
curved	弯曲的	墙稍微弯曲。
debate	辩论	辩论持续了几个小时。
debt	债务	他还清了债务。
decent	体面的	他们找到了一套体面的公寓。
declare	宣布	他们宣布了结果。
decline	下降	销售继续下降。
decoration	装饰	装饰看起来很贵。
decrease	减少	价格可能很快下降。
deeply	深深地	她深切关心正义。
defeat	失败	失败震惊了团队。
defence	辩护	辩方质疑了证据。
defend	保护; 辩护	他试图为自己辩护。
delay	延误	坏天气造成了延误。
deliberate	故意的	这是一个故意的选择。
deliberately	故意地	她故意忽视了警告。
delight	使高兴	这个消息让大家高兴。
delighted	高兴的	我们对礼物很高兴。
delivery	交付	送货很早就到了。
demand	要求	工人要求更好的工资。
demonstrate	展示	他展示了新软件。
deny	否认	她否认了指控。
depressed	沮丧的	失败后他感到沮丧。
depressing	令人沮丧的	这部电影令人沮丧。
depth	深度	这个游泳池很深。
deserve	值得	你值得休息一下。
desire	愿望	她表达了旅行的愿望。
desperate	绝望的	他们打了一个绝望的电话。
detailed	详细的	指南非常详细。
detect	发现	狗能发现烟味。
dig	挖	他们夏天挖井。
disc	光盘	光盘被刮花了。
discipline	纪律	纪律帮助运动员进步。
dishonest	不诚实的	他的回答听起来不诚实。
dismiss	驳回	经理驳回了投诉。
display	显示	屏幕显示比分。
distribute	分发	志愿者分发干净的水。
distribution	分发	分发在日出后开始。
district	地区	该地区选出了一位市长。
division	部门	该部门处理法律案件。
domestic	国内的	国内航班更便宜。
dominate	支配	一家公司可能支配市场。
downwards	向下	小路向下倾斜。
dozen	一打	她买了一打鸡蛋。
draft	草稿	请审阅草稿。
drag	拖	不要拖桌子。
dramatic	巨大的	结果变化巨大。
edit	编辑	她编辑了文章。
edition	版本	这个版本包括新照片。
efficient	高效的	系统很高效。
elderly	年长的	年长居民需要支持。
elect	选举	选民选出新委员会。
elsewhere	在别处	我们在别处寻找帮助。
emerge	出现	细节在午夜后出现。
emotional	情绪化的	演讲很有感情。
emphasis	强调	强调安全。
emphasize	强调	老师强调每日练习。
enable	使能够	这个应用可以快速付款。
encounter	遇到	我们遇到了严重交通堵塞。
engage	吸引	课程吸引成年学习者。
enhance	提高	照明可以改善房间。
enquiry	调查	调查持续了三个月。
ensure	确保	检查两次以确保准确。
enthusiasm	热情	她的热情鼓励了团队。
enthusiastic	热情的	志愿者们很热情。
entire	整个的	整个村庄停电了。
entirely	完全地	这个故事完全是假的。
establish	建立	他们建立了明确规则。
estate	庄园	庄园包括几个农场。
estimate	估计	我们估计有一万名游客。
ethical	伦理的	这个决定引发了伦理问题。
evaluate	评估	专家将评估设计。
evil	邪恶的	国王害怕邪恶的灵魂。
examination	检查	检查持续了一小时。
excuse	借口	那个借口听起来很弱。
executive	主管	主管批准了交易。
existence	存在	他们的存在不为人知。
expectation	期待	发布前期待很高。
expense	费用	旅行是我们最大的费用。
exploration	探索	太空探索激励孩子们。
expose	揭露	文章揭露了腐败。
extend	延长	他们延长了截止日期。
extent	程度	我们后来才知道程度。
external	外部的	外部压力影响了他们。
extraordinary	非凡的	她的康复非常非凡。
facility	设施	该设施在六月开放。
failure	失败	失败教会了他耐心。
faith	信任; 信念	她保持了对他的信任。
fault	过错	事故是我的错。
feather	羽毛	一根羽毛从枕头上掉下。
fee	费用	费用包括午餐。
feedback	反馈	反馈帮助改进了课程。
fellow	同事	同事们支持了她。
finance	资助	银行将资助扩建。
finding	发现	这个发现让研究人员吃惊。
firm	公司	公司雇用了新员工。
flame	火焰	出现了一小团火焰。
flash	闪光	一道闪光照亮天空。
flexible	灵活的	时间表很灵活。
float	漂浮	叶子漂浮在水上。
folding	折叠的	他带着一把折叠椅。
forgive	原谅	你能原谅他吗？
former	前任的	前市长回来了。
fortune	财富	他们失去了一大笔财富。
found	创立	他们创立了一家小慈善机构。
freedom	自由	自由需要责任。
frequency	频率	冬天频率增加了。
fully	完全地	酒店已经完全订满。
fund	基金	该基金支持当地学校。
fundamental	基本的	尊重在这里是基本的。
funding	资金	资金去年结束了。
furthermore	此外	此外，成本正在上升。
gain	获得	学生很快获得信心。
gang	帮派	一个帮派控制了街道。
generate	产生	太阳能板产生电力。
genre	类型	喜剧是她最喜欢的类型。
govern	管理	法律管理公共支出。
grab	抓住	他抓住了我的胳膊。
gradually	逐渐地	疼痛逐渐消失了。
grand	宏伟的	酒店有宏伟的入口。
grant	补助金	补助金支付了设备费用。
guarantee	保证	票保证入场。
handle	处理	她冷静地处理了投诉。
harm	伤害	吸烟会伤害健康。
harmful	有害的	那种化学物质有害。
hearing	听力	她的听力改善了。
heaven	天堂	他们想象天堂在上方。
heel	脚后跟	他的脚后跟很疼。
hell	地狱	这次旅行像地狱一样。
hesitate	犹豫	不要犹豫提问。
hollow	空心的	这棵树里面是空的。
holy	神圣的	他们参观了一个神圣的地方。
honour	荣誉	他们为荣誉而战。
household	家庭	每个家庭都收到了水。
housing	住房	住房成本继续上涨。
humorous	幽默的	他的故事很幽默。
humour	幽默	幽默帮助减少紧张。
hunting	狩猎	这里禁止狩猎。
illustrate	说明	例子说明了规则。
illustration	插图	插图显示了过程。
imagination	想象力	孩子们自由使用想象力。
impatient	不耐烦的	司机们变得不耐烦。
imply	暗示	他的沉默可能暗示同意。
impose	强加	法院处以罚款。
impress	给……留下印象	她的勇气给大家留下深刻印象。
impressed	印象深刻的	她的工作让我印象深刻。
inch	英寸	把它向左移动一英寸。
incident	事件	事件引起了担忧。
income	收入	他们的收入慢慢增加。
increasingly	越来越	住房越来越贵。
industrial	工业的	这个城镇有工业根基。
infection	感染	感染迅速扩散。
inform	通知	请通知经理。
initial	最初的	最初费用很高。
initially	最初	最初没有人相信他。
initiative	倡议	她发起了一项新倡议。
inner	内部的	里面的门锁上了。
insight	洞察	报告提供了有用洞察。
insist	坚持	他们坚持安全检查。
inspire	激励	她的故事可能激励他人。
install	安装	他们安装了新的取暖器。
instance	例子	这是一个清楚的例子。
