simplified	SR	example_SR
弊端	недостатак	Нови план је решио недостатке старог система.
臂	рука	Његова десна рука је повређена.
闭塞	забачен; затворен	Ово планинско село је раније било саобраћајно веома забачено.
编织	плести; ткати	Бака плете џемпер.
边疆	погранично подручје	Многи војници чувају погранична подручја домовине.
边界	граница	Две земље су поново одредиле границу.
边境	граница; пограничје	У пограничном подручју појачане су безбедносне провере.
边缘	ивица	Чаша стоји на ивици стола.
鞭策	подстицати	Речи наставника ме стално подстичу.
扁	пљоснат	Ова кутија је широка и пљосната.
贬低	омаловажавати	Не омаловажавај труд других људи.
贬义	погрдно значење	Ова реч овде има погрдно значење.
便利	погодан	Метро чини путовање погоднијим.
便条	цедуља	Оставио је цедуљу на столу.
便于	погодан за	Овај дизајн је погодан за старије људе.
变故	неочекиван догађај	У породици се изненада догодио неочекиван догађај.
变迁	промене	Промене у граду су га дубоко погодиле.
变质	покварити се	Млеко ће се покварити ако дуго стоји.
辨认	препознати	Полиција га је замолила да препозна особу на фотографији.
辩护	бранити	Адвокат брани оптуженог.
辩解	правдати се	Покушао је да се оправда за своју грешку.
辩证	дијалектички	Морамо дијалектички посматрати овај проблем.
辫子	плетеница	Девојчица има две плетенице.
遍布	бити распрострањен	Ова биљка је распрострањена по целој земљи.
标本	примерак	У музеју су изложени примерци животиња.
标记	ознака	Молим те, стави ознаку поред важног пасуса.
标题	наслов	Наслов овог чланка је веома привлачан.
表决	гласати	Представници ће гласати о предлогу.
表态	изјаснити се	Он се још није јавно изјаснио.
表彰	похвалити; наградити	Компанија је похвалила одличне запослене.
憋	задржавати	Задржавао је смех и није ништа рекао.
别墅	вила	Купили су вилу у предграђу.
别致	посебан	Уређење овог кафића је веома посебно.
别扭	незгодан; неприродан	Ова реченица звучи помало неприродно.
濒临	бити на ивици	Ова животиња је на ивици изумирања.
冰雹	град	Јуче поподне падао је јак град.
丙	трећи	Такмичење треће групе почиње поподне.
并非	није	Ствар није онаква како мислиш.
并列	делити место	Ова два пројекта деле прво место.
剥削	експлоатисати	У старом друштву постојала је озбиљна експлоатација.
拨	бирати; доделити	Молим те, позови овај број телефона.
播种	сејати	Пољопривредници почињу да сеју у пролеће.
波浪	талас	На мору су се подигли огромни таласи.
波涛	велики таласи	Брод је напредовао кроз велике таласе.
伯母	тетка	За викенд идем да посетим тетку.
博大精深	широк и дубок	Кинеска култура је широка и дубока.
博览会	сајам	Међународни сајам је привукао многе компаније.
搏斗	борити се	Полицајац се борио са злочинцем.
薄弱	слаб	Његова граматичка основа је прилично слаба.
不顾	без обзира на	Он је без обзира на опасност улетео унутра.
不愧	достојан	Он је заиста достојан назива искусног стручњака.
不料	неочекивано	Неочекивано, састанак је изненада отказан.
不像话	непримерен	Тако се понашати према гостима заиста је непримерено.
不屑一顾	презриво игнорисати	Он је презриво игнорисао те гласине.
哺乳	дојење	Мајка доји бебу.
捕捉	ухватити	Фотограф је ухватио диван тренутак.
补偿	надокнадити	Компанија ће надокнадити твој губитак.
补救	поправити	Још увек имамо времена да поправимо ситуацију.
补贴	субвенција	Влада исплаћује субвенције породицама са ниским приходима.
不得已	бити принуђен	Био је принуђен да напусти родни крај.
不妨	можда би требало	Можда би требало прво да саслушаш његово објашњење.
不敢当	не заслужујем похвалу	Када ме тако хвалите, стварно мислим да то не заслужујем.
不禁	не моћи да се уздржи	Када је чуо вест, није могао да се не насмеје.
不堪	неподношљив	Бука овде је неподношљива.
不可思议	невероватан	Овај резултат је заиста невероватан.
不免	неизбежно	Када први пут излази на сцену, неизбежно је мало нервозан.
不时	повремено	Повремено подиже поглед ка сату.
不惜	не жалити	Да би спасао човека, није жалио да ризикује.
不相上下	изједначен	Снага два тима је изједначена.
不言而喻	само по себи јасно	Важност поштења је сама по себи јасна.
不由得	не моћи а да не	Када сам видео старе фотографије, нисам могао а да не помислим на детињство.
不择手段	не бирати средства	Он не бира средства да заради новац.
不止	више од	На састанку је било више од сто људи.
布告	објава	На улазу у школу залепљена је објава.
布局	распоред	Распоред овог стана је веома разуман.
布置	задати; уредити	Наставник је задао нови домаћи задатак.
步伐	корак	Колона је напредовала уједначеним кораком.
部署	распоредити; планирати	Компанија планира нови продајни план.
部位	место	Лекар је прегледао повређено место.
才干	способност	Она има велику способност у управљању.
裁缝	кројач	Овај кројач има веома добру вештину.
裁判	судија	Судија је објавио прекид утакмице.
裁员	отпустити раднике	Компанија је због губитака одлучила да отпусти раднике.
财富	богатство	Знање је такође врста богатства.
财务	финансије	Финансијско одељење проверава рачуне.
财政	јавне финансије	Јавни приходи су ове године порасли.
彩票	лутријски листић	Повремено купи лутријски листић.
采购	набавити	Компанија је послала људе да набаве опрему.
采集	прикупити	Истраживачи су у шуми прикупљали узорке.
采纳	усвојити	Руководство је усвојило наш предлог.
参谋	саветник	Он често служи као саветник менаџеру.
参照	позвати се на	Молим те, попуни образац према овом формату.
残疾	инвалидитет	Ова станица пружа помоћ путницима са инвалидитетом.
残酷	суров	Рат је веома суров.
残留	преостати	У шољи је још преостао мирис кафе.
残忍	окрутан	Злостављање животиња је окрутно понашање.
灿烂	блистав	На лицу јој се појавио блистав осмех.
仓促	ужурбан	Ова одлука је донета сувише ужурбано.
仓库	складиште	Роба је већ послата у складиште.
舱	кабина	Путници улазе у авионску кабину.
苍白	блед	Његово лице изгледа веома бледо.
操劳	мучити се око	Мајка се годинама мучила око ове породице.
操练	увежбавати	Војници сваког јутра увежбавају.
操纵	управљати	Овом машином управља рачунар.
操作	руковати	Молим те, рукуј опремом према упутству.
嘈杂	бучан	На станици је било веома бучно.
草案	нацрт	Одбор расправља о нацрту.
草率	непромишљен	Тако важна одлука не сме бити непромишљена.
侧面	бочна страна	Гледано са стране, ова зграда изгледа виша.
测量	измерити	Инжењер мери дужину моста.
策划	планирати	Они су планирали велику активност.
策略	стратегија	Ова стратегија је помогла компанији да смањи трошкове.
层出不穷	појављивати се један за другим	Нови проблеми се појављују један за другим.
层次	ниво; структура	Структура овог чланка је веома јасна.
差别	разлика	Између две методе нема велике разлике.
插座	утичница	У овој соби нема довољно утичница.
查获	запленити	Царина је запленила серију фалсификоване робе.
刹那	тренутак	У тренутку су се сва светла угасила.
岔	рачвање	Пут се напред рачва.
诧异	изненађен	Његова одлука је све веома изненадила.
柴油	дизел	Овај камион користи дизел.
搀	придржати	Медицинска сестра је придржала старца док је улазио у болничку собу.
缠绕	обмотати	Лоза се обмотала око грана.
馋	жудети за храном	Када је видео торту, дете је пожелело да је поједе.
产业	индустрија	Туризам је важна индустрија овог места.
阐述	изложити	Професор је детаљно изложио своје гледиште.
颤抖	дрхтати	Толико јој је било хладно да је цела дрхтала.
昌盛	процветати	Надамо се да ће земља процветати.
偿还	отплатити	Он је на време отплатио кредит.
尝试	покушати	Можемо покушати нову методу.
场合	прилика	У таквој прилици није прикладно шалити се.
场面	призор	Призор на венчању био је веома жив.
场所	место	Ово је јавно место, молимо не пушите.
敞开	широм отворити	Молим те, отвори прозор широм на кратко.
倡导	заговарати	Школа заговара здрав начин живота.
倡议	иницијатива	Ова еколошка иницијатива добила је подршку.
畅通	проходан	После кише пут је поново постао проходан.
畅销	добро се продавати	Овај роман се веома добро продаје.
超越	превазићи	Коначно је превазишао сопствени рекорд.
钞票	новчаница	У новчанику је остало само неколико новчаница.
嘲笑	исмевати	Не исмевај мане других људи.
巢穴	гнездо; јазбина	Ловац је открио јазбину животиње.
朝代	династија	Династија Танг је једна династија у кинеској историји.
潮流	тренд	Млади веома прате модне трендове.
撤退	повући се	Војска се повукла након што је добила наређење.
撤销	поништити	Суд је поништио првобитну пресуду.
沉淀	таложити се	Песак и муљ ће се полако таложити.
沉闷	тежак; загушљив	Данас је време вруће и загушљиво.
沉思	размишљати	Седео је поред прозора и дубоко размишљао.
沉重	тежак	Ова вест је свима тешко пала.
沉着	прибран	Када наиђе опасност, треба остати прибран.
陈旧	застарео	Ова машина је већ веома застарела.
陈列	изложити	У изложбеној сали изложено је много културних реликвија.
陈述	изложити чињенице	Молим те, јасно изложи чињенице.
称心如意	бити по вољи	Овај посао му је потпуно по вољи.
衬托	истицати	Бели зидови истичу боју цвећа.
称号	звање	Добио је звање одличног наставника.
乘	возити се	Сваког дана се возим метроом на посао.
呈现	попримити	Небо је попримило бледоцрвену боју.
城堡	замак	На врху планине налази се стари замак.
惩罚	казнити	Школа ће казнити ученике који преписују.
成本	трошак	Поскупљење сировина је повећало трошкове.
成交	закључити посао	Овај посао је коначно закључен.
成天	по цео дан	Он по цео дан седи испред рачунара.
成效	резултат	Нови начин управљања брзо је дао резултат.
成心	намерно	Он није намерно хтео да те доведе у непријатан положај.
成员	члан	Сваки члан мора да присуствује састанку.
承办	преузети организацију	Ова компанија је преузела организацију изложбе.
承包	уговорити извођење	Они су уговорили извођење овог пројекта.
承诺	обећати	Обећао је да ће задатак завршити на време.
橙	поморанџа	Купио сам неколико свежих поморанџи.
澄清	разјаснити	Менаџер је изашао да разјасни неспоразум.
盛	сипати	Сипала је госту чинију супе.
诚挚	искрен	Молим вас, примите моју искрену захвалност.
秤	вага	Ова вага није баш тачна.
吃苦	подносити тешкоће	Млади треба да науче да подносе тешкоће.
吃力	напорно	Ношење ове кутије је веома напорно.
持久	трајан	Успех захтева трајан труд.
迟钝	спор	У последње време реагује помало споро.
迟缓	успорен	После кише саобраћај је постао успорен.
迟疑	оклевати	Оклевала је тренутак пре него што је одговорила.
赤道	екватор	У близини екватора је топло током целе године.
赤字	дефицит	Компанија је ове године имала дефицит.
充当	служити као	Он у пројекту служи као координатор.
充沛	обилан	Деца имају веома обилну енергију.
充实	испуњен	Ово искуство је учинило мој живот испуњенијим.
充足	довољан	Пре путовања треба припремити довољно воде.
冲动	импулс	Не доноси одлуку због тренутног импулса.
冲击	удар	Нова технологија је задала удар традиционалној индустрији.
冲突	сукоб	Обе стране настоје да избегну сукоб.
崇拜	дивити се	Многи млади се диве овом научнику.
崇高	узвишен	Дужност лекара је узвишена.
崇敬	поштовати	Ученици веома поштују овог наставника.
重叠	преклапати се	Ова два задатка се делимично преклапају.
稠密	густ	Овде је становништво веома густо.
筹备	припремати	Они припремају венчање.
丑恶	ружан; одвратан	Он је разоткрио ружну истину иза тог догађаја.
出路	излаз	Учење младима може дати више излаза.
出卖	издати	Он неће издати пријатеља.
出身	порекло	Потиче из обичне породице.
出神	занесен	Слушала је музику занесено.
出息	перспектива	Ово дете ће у будућности имати перспективу.
初步	почетни	Већ смо постигли почетни договор.
除	осим; уклонити	Осим њега, сви су стигли.
储备	резерве	Компанија треба да обезбеди више финансијских резерви.
储存	чувати	Ови подаци ће се аутоматски чувати.
储蓄	штедети	Сваког месеца штеди део плате.
处分	дисциплинска казна	Школа му је изрекла тешку дисциплинску казну.
处境	положај	Њихов садашњи положај је веома тежак.
处置	поступати са	Ову стару опрему треба правилно збринути.
触犯	прекршити	Такво поступање ће прекршити закон.
川流不息	непрекидно тећи	Возила на улици непрекидно пролазе.
穿越	проћи кроз	Воз је прошао кроз дугачак тунел.
传达	пренети	Молим те, пренеси ову вест свима.
传单	летак	Волонтери деле летке на улици.
传授	пренети знање	Наставник преноси искуство ученицима.
船舶	бродови	У луци је усидрено много бродова.
喘气	дисати задихано	После трчања је непрестано дисао задихано.
串	нанизати	Нанизала је перле у огрлицу.
床单	чаршав	Молим те, промени чаршав.
创立	основати	Заједно су основали ову компанију.
创新	иновирати	Развој предузећа захтева сталне иновације.
创业	покренути посао	Многи млади бирају да покрену посао.
创作	стварати	Писац ствара дугачак роман.
吹牛	хвалисати се	Не хвалиши се, покажи доказе.
吹捧	претерано хвалити	Медији су претерано хвалили овај производ.
炊烟	дим из кухиње	У сумрак се из села подигао дим из кухиња.
垂直	усправан	Ове две линије су међусобно усправне.
锤	чекић	Радник чекићем удара гвоздену плочу.
纯粹	чисто	Његова помоћ је чисто из добре намере.
纯洁	чист	Дечје срце је веома чисто.
慈善	добротворан	Ова компанија често учествује у добротворним активностима.
慈祥	благ	Бакин осмех је веома благ.
磁带	магнетна трака	Ова стара магнетна трака још може да се пусти.
雌雄	мужјак и женка	Боје мужјака и женке ове птице су различите.
伺候	неговати	Медицинска сестра пажљиво негује пацијента.
刺	трн	На гранама руже има много трнова.
次品	роба са маном	Ова роба са маном не може се продавати.
次序	редослед	Молим вас, станите у ред по редоследу.
丛	жбун; скуп	Поред пута је жбун дивљег цвећа.
从容	смирен	Смирено је одговорила на питање.
凑合	сналазити се	Соба није велика, али може да се живи некако.
粗鲁	груб	Он говори превише грубо.
窜	јурнути	Та мачка је одједном јурнула у кућу.
摧残	уништавати	Дуготрајно загађење ће уништити ову шуму.
脆弱	крхак	Стаклени производи су веома крхки.
搓	трљати	Протрљао је хладне руке.
磋商	преговарати	Обе стране ће наставити преговоре.
挫折	неуспех	Свако ће наићи на неуспехе.
搭	ићи превозом; изградити	Идемо аутобусом на аеродром.
搭档	партнер	Он је мој дугогодишњи радни партнер.
搭配	уклопити	Ова јакна и панталоне добро се уклапају.
答辩	одбрана	Постдипломац се припрема за одбрану рада.
答复	одговор	Молим те, дај ми одговор што пре.
达成	постићи	Обе стране су коначно постигле договор.
打包	спаковати	Конобар нам је спаковао преосталу храну.
打官司	водити спор	Они воде спор због проблема са уговором.
打击	ударац	Овај неуспех му је задао велики ударац.
打架	тући се	Ученици који се туку у школи биће кажњени.
打量	одмерити погледом	Одмерила ме је погледом од главе до пете.
打猎	ловити	Овде је лов забрањен.
打仗	ратовати	Нико не жели да ратује.
大不了	у најгорем случају	У најгорем случају, пробаћемо поново сутра.
大臣	министар	Краљ је примио неколико министара.
大伙儿	сви	Сви чекају твоју одлуку.
大肆	без мере	Трговци без мере рекламирају нови производ.
大体	углавном	Са планом углавном нема проблема.
大意	главна идеја	Молим те, прво реци главну идеју овог чланка.
大致	отприлике	Отприлике сам разумео ток догађаја.
歹徒	злочинац	Полиција је брзо ухватила злочинца.
代价	цена	Успех често захтева да се плати цена.
代理	заступати	Он привремено заступа менаџера.
带领	водити	Наставник води ученике у обилазак музеја.
怠慢	занемарити	Не смемо занемарити госте.
逮捕	ухапсити	Полиција је ухапсила главног осумњиченог.
担保	гарантовати	Банка тражи да неко гарантује.
胆怯	плашљив	При првом говору био је помало плашљив.
淡季	вансезона	Авио-карте су јефтиније у туристичкој вансезони.
淡水	слатка вода	Ова риба може да живи само у слаткој води.
蛋白质	протеин	Јаја садрже много протеина.
诞辰	годишњица рођења	Данас је годишњица рођења овог писца.
诞生	родити се	Ова идеја се родила током расправе.
当场	на лицу места	На лицу места је признао грешку.
当初	у почетку	У почетку смо сви подржали ову одлуку.
当代	савремено доба	Савремено друштво се брзо мења.
当面	лицем у лице	Ако има проблема, најбоље је разјаснити их лицем у лице.
当前	тренутан	Тренутно је најважније обезбедити безбедност.
当事人	учесник у случају	Полиција испитује учеснике у случају.
当务之急	хитан приоритет	Решавање стамбеног питања је хитан приоритет.
当选	бити изабран	Она је успешно изабрана за председницу.
党	странка	Ова странка је предложила нову политику.
档案	досије	Школа чува досијее ученика.
档次	ниво	Овај хотел је високог нивоа.
倒闭	банкротирати	Та мала продавница је прошле године банкротирала.
导弹	ракета	Вести су известиле о тестирању ракете.
导航	навигација	Молим те, укључи навигацију на телефону.
导向	усмерење	Образовна политика треба да буде усмерена ка праведности.
捣乱	правити неред	Молим те, не прави неред на часу.
盗窃	крађа	Тржни центар је појачао мере за спречавање крађе.
稻谷	пиринач у класу	Пољопривредници жању пиринач у класу.
得不偿失	не исплатити се	Куповина лошег материјала ради уштеде не исплати се.
得力	способан	Он је способан помоћник менаџера.
得天独厚	имати изузетну предност	Овај град има изузетну географску предност.
得罪	увредити	Не желим да због ситнице увредим колегу.
灯笼	фењер	Током Пролећног фестивала на улазу висе црвени фењери.
登录	пријавити се	Молим те, прво се пријави на свој налог.
登陆	искрцати се	Тајфун би вечерас могао да стигне на обалу.
蹬	одгурнути ногом	Снажно се одгурнуо ногом и бицикл је кренуо.
等候	чекати	Путници чекају укрцавање у сали.
等级	ниво	Овај софтвер има различите нивое чланства.
瞪	зурити	Љутито је зурио у мене.
堤坝	брана	После јаке кише брану треба пажљиво проверити.
敌视	непријатељски гледати	Не треба непријатељски гледати на различита мишљења.
抵达	стићи	Авион је на време стигао у Пекинг.
抵抗	одупрети се	Сељани су се заједно одупрли поплави.
抵制	бојкотовати	Потрошачи су почели да бојкотују неквалитетне производе.
地步	степен	Ствар још није дошла до тако озбиљног степена.
地势	терен	Терен је овде виши, па се вода не задржава лако.
地质	геологија	Стручњаци истражују локалне геолошке услове.
递增	постепено расти	Продаја расте три месеца заредом.
颠簸	труцкати се	Планински пут је веома нераван, вози пажљиво.
颠倒	обрнути	Обрнуо си редослед ова два броја.
典礼	церемонија	Церемонија дипломирања одржаће се у сали.
典型	типичан	Ово је типичан пример успеха.
点缀	украсити	Неколико малих цветова украшава трпезаријски сто.
垫	подметач	Молим те, стави овај папир као подметач испод чаше.
奠定	поставити основу	Ова сарадња је поставила основу за дугорочан однос.
惦记	бринути за	Мајка стално брине за дете које је далеко.
电源	извор струје	Молим те, искључи струју пре изласка.
叼	држати у устима	Тај пас држи кост у устима.
雕刻	резбарити	Воли да резбари шаре у дрвету.
雕塑	скулптура	У средини трга налази се скулптура.
吊	подигнути	Радници машином подижу челичну греду.
调动	преместити	Компанија га је преместила на рад у Шангај.
跌	пасти	Цена акција је данас поново пала.
丁	коцкица	У рецепту пише да кромпир треба исећи на коцкице.
叮嘱	више пута упозорити	Наставник нас је више пута упозорио да пазимо на безбедност.
盯	нетремице гледати	Молим те, немој стално нетремице гледати друге.
定期	редовно	Лекар му саветује да редовно проверава здравље.
定义	дефиниција	Молим те, прво објасни дефиницију овог појма.
丢人	осрамотити се	Лагати пред свима заиста је срамотно.
丢三落四	забораван	Он је увек забораван и често заборави кључеве када изађе.
东道主	домаћин	Као домаћини, треба добро да се побринемо за госте.
东张西望	гледати около	Не гледај около током часа.
董事长	председник управног одбора	Председник управног одбора је данас присуствовао састанку.
冻结	замрзнути	Банка је привремено замрзнула овај рачун.
动荡	немири	Рат је дуго држао овај регион у немирима.
动机	мотив	Полиција истражује његов мотив.
动静	звук активности	У соби није било никаквог звука.
动力	покретачка снага	Интересовање је покретачка снага учења.
动脉	артерија	Лекар је прегледао његову артерију.
动身	кренути на пут	Сутра рано крећемо на аеродром.
动手	започети; ударити	Ствар још није разјашњена, нико не сме да започне тучу.
动态	развој	Молим те, стално прати развој пројекта.
动员	мобилисати	Школа је мобилисала ученике да учествују у волонтерским активностима.
栋	зграда	Ова зграда има двадесет спратова.
兜	џеп	Ставио је кључеве у џеп капута.
陡峭	стрм	Овај планински пут је веома стрм.
斗争	борба	Они се боре за заштиту животне средине.
督促	подстицати	Менаџер подстиче све да заврше задатак на време.
毒品	дрога	Царина је запленила серију дроге.
独裁	диктатура	Људи се противе диктаторској владавини.
堵塞	запушити	Смеће је запушило канализацију.
赌博	коцкати се	Коцкање може донети озбиљне последице.
杜绝	искоренити	Компанија захтева да се искорени расипање.
