source_headword	SV	example_SV
education	utbildning; undervisning	Utbildning är viktig.
effect	en effekt	Effekten var liten.
either	antingen; inte heller	Jag vill inte det heller.
electric	elektrisk	Det här är en elbil.
electrical	elektrisk	Den elektriska kabeln är säker.
electricity	el; elektricitet	El är dyr här.
electronic	elektronisk	Jag köpte en elektronisk biljett.
employ	anställa	Företaget anställer många människor.
employee	en anställd	Den anställde är borta i dag.
employer	en arbetsgivare	Arbetsgivaren erbjöd ett jobb.
empty	tom	Flaskan är tom.
ending	ett slut	Slutet på berättelsen är fint.
energy	energi	Jag har lite energi i dag.
engine	en motor	Motorn låter mycket.
engineer	en ingenjör	Ingenjören kontrollerade bron.
enormous	enorm	Byggnaden är enorm.
enter	gå in; ange	Ange ditt namn.
environment	miljö; omgivning	Skydda miljön.
equipment	utrustning	Utrustningen är ny.
error	ett fel	Det finns ett fel i meningen.
especially	särskilt; speciellt	Jag gillar särskilt te.
essay	en uppsats	Skriv en kort uppsats.
everyday	vardaglig; daglig	Det här är vardagligt språk.
everywhere	överallt	Böcker låg överallt.
evidence	bevis	Beviset är tydligt.
exact	exakt	Ge det exakta svaret.
exactly	exakt	Det är exakt rätt.
excellent	utmärkt	Ditt arbete är utmärkt.
except	förutom	Alla kom förutom Tom.
exist	finnas	Finns det gamla kort här?
expect	förvänta sig	Jag väntar ett brev i morgon.
experience	en erfarenhet; uppleva	Erfarenheten var användbar.
experiment	ett experiment	Experimentet började klockan tio.
expert	en expert; sakkunnig	Experten gav råd.
explanation	en förklaring	Förklaringen var tydlig.
express	uttrycka; express	Hon kan uttrycka sin åsikt.
expression	ett uttryck	Han använde ett nytt uttryck.
extreme	extrem	Extremt väder kan vara farligt.
extremely	extremt; mycket	Det var extremt kallt.
factor	en faktor	Tid är en viktig faktor.
factory	en fabrik	Fabriken ligger utanför staden.
fail	misslyckas; bli underkänd	Jag vill inte bli underkänd på provet.
fair	rättvis; rimlig	Priset är rimligt.
fan	ett fan; en fläkt	Fansen jublade högt.
farming	jordbruk	Jordbruk är viktigt här.
fashion	mode	Hon följer modet.
fear	en rädsla; frukta	Hans största rädsla är att flyga.
feature	en funktion; ett kännetecken	Appen har en ny funktion.
feed	mata	Ge katten mat nu.
female	kvinnlig; en hona	Den kvinnliga idrottaren vann.
fiction	skönlitteratur; fiktion	Jag gillar att läsa skönlitteratur.
field	ett fält; ett område	Barnen leker på fältet.
fight	ett slagsmål; slåss	De två pojkarna slogs.
figure	en figur; en siffra	Skriv siffran här.
finally	äntligen; till slut	Äntligen är vi klara.
finger	ett finger	Mitt finger gör ont.
firstly	för det första	För det första behöver vi vatten.
fishing	fiske	Fiske är populärt här.
fit	passa; vara i form	Jackan passar bra.
fix	reparera; fixa	Reparera cykeln i dag.
flu	influensa	Hon har influensa.
flying	flygning; flygande	Att flyga gör honom nervös.
focus	fokus; fokusera	Fokusera på den här frågan.
following	följande; nästa	Läs följande mening.
foreign	utländsk	Jag lär mig ett främmande språk.
forest	en skog	Skogen är mörk.
fork	en gaffel	Lägg gaffeln på bordet.
formal	formell	Skriv ett formellt brev.
fortunately	som tur är	Som tur är kom bussen snabbt.
forward	framåt; fram	Stig lite framåt.
fresh	färsk	Brödet är färskt.
