simplified	KA	example_KA	HY	example_HY	TR	example_TR
弟弟	უმცროსი ძმა	ჩემი უმცროსი ძმა სახლშია.	կրտսեր եղբայր	Իմ կրտսեր եղբայրը տանն է։	erkek kardeş; küçük erkek kardeş	Erkek kardeşim evde.
第一	პირველი	ის პირველია.	առաջին	Նա առաջինն է։	birinci	O birinci.
懂	გაგება	ახლა მესმის.	հասկանալ	Հիմա հասկանում եմ։	anlamak	Şimdi anlıyorum.
对	სწორი; -კენ	შენი ნათქვამი სწორია.	ճիշտ; դեպի	Քո ասածը ճիշտ է։	doğru; -e doğru	Söylediğin doğru.
房间	ოთახი	ეს ოთახი დიდია.	սենյակ	Այս սենյակը մեծ է։	oda	Bu oda büyük.
非常	ძალიან	დღეს ძალიან ცივა.	շատ; չափազանց	Այսօր շատ ցուրտ է։	çok; son derece	Bugün çok soğuk.
服务员	ოფიციანტი; მომსახურე თანამშრომელი	ოფიციანტი რესტორანშია.	մատուցող; սպասարկող աշխատող	Մատուցողը ռեստորանում է։	garson; görevli	Garson restoranda.
高	მაღალი	ის მაღალია.	բարձր; բարձրահասակ	Նա բարձրահասակ է։	yüksek; uzun	O uzun boylu.
告诉	თქმა; შეტყობინება	გთხოვ, მითხარი.	ասել; հայտնել	Խնդրում եմ, ասա ինձ։	söylemek; anlatmak	Lütfen bana söyle.
哥哥	უფროსი ძმა	ჩემი უფროსი ძმა მუშაობს.	ավագ եղբայր	Իմ ավագ եղբայրը աշխատում է։	abi; ağabey	Abim çalışıyor.
给	მიცემა; -ს	ერთ წიგნს გაძლევ.	տալ; -ին	Ես քեզ մեկ գիրք եմ տալիս։	vermek; -e	Sana bir kitap veriyorum.
公共汽车	ავტობუსი	სამსახურში ავტობუსით მივდივარ.	ավտոբուս	Ես աշխատանքի ավտոբուսով եմ գնում։	otobüs	İşe otobüsle gidiyorum.
公斤	კილოგრამი	ერთ კილოგრამ ვაშლს ვყიდულობ.	կիլոգրամ	Ես մեկ կիլոգրամ խնձոր եմ գնում։	kilogram; kilo	Bir kilogram elma alıyorum.
公司	კომპანია	კომპანიაში ვმუშაობ.	ընկերություն	Ես ընկերությունում եմ աշխատում։	şirket	Şirkette çalışıyorum.
贵	ძვირი	ეს მაჯის საათი ძვირია.	թանկ	Այս ձեռքի ժամացույցը թանկ է։	pahalı	Bu saat pahalı.
过	გამოცდილების ნაწილაკი	ჩინეთში ვარ ნამყოფი.	փորձի մասնիկ	Ես Չինաստան եմ գնացել։	deneyim parçacığı	Çin'e gittim.
还	ჯერ კიდევ; ასევე	ის ჯერ კიდევ სკოლაშია.	դեռ; նաև	Նա դեռ դպրոցում է։	hâlâ; de	O hâlâ okulda.
孩子	ბავშვი	ეს ბავშვი ძალიან ბედნიერია.	երեխա	Այս երեխան շատ ուրախ է։	çocuk	Bu çocuk çok mutlu.
好吃	გემრიელი	ეს კერძი გემრიელია.	համեղ	Այս ուտեստը համեղ է։	lezzetli	Bu yemek lezzetli.
号	ნომერი; თარიღი	დღეს რვა რიცხვია.	համար; ամսաթիվ	Այսօր ամսի ութն է։	numara; tarih	Bugün ayın sekizi.
黑	შავი	ეს კატა შავია.	սև	Այս կատուն սև է։	siyah	Bu kedi siyah.
红	წითელი	წითელი ვაშლი მომწონს.	կարմիր	Ես կարմիր խնձոր եմ սիրում։	kırmızı	Kırmızı elmayı severim.
欢迎	მოგესალმებით; მიღება	კეთილი იყოს თქვენი მობრძანება პეკინში.	բարի գալուստ; ողջունել	Բարի գալուստ Պեկին։	hoş geldiniz; karşılamak	Pekin'e hoş geldiniz.
回答	პასუხის გაცემა	გთხოვ, ამ კითხვას უპასუხე.	պատասխանել	Խնդրում եմ, պատասխանիր այս հարցին։	cevap vermek	Lütfen bu soruya cevap ver.
机场	აეროპორტი	აეროპორტი აქედან შორსაა.	օդանավակայան	Օդանավակայանը այստեղից հեռու է։	havaalanı	Havaalanı buradan uzak.
鸡蛋	კვერცხი	კვერცხს ვჭამ.	ձու	Ես ձու եմ ուտում։	yumurta	Yumurta yiyorum.
件	ტანსაცმლისა და ნივთების სათვლელი სიტყვა	ტანსაცმლის ერთი ნივთი ვიყიდე.	հաշվական բառ հագուստի և իրերի համար	Ես հագուստի մեկ կտոր գնեցի։	giysi ve eşyalar için ölçü sözü	Bir giysi aldım.
教室	საკლასო ოთახი	მოსწავლეები საკლასო ოთახში არიან.	դասասենյակ	Աշակերտները դասասենյակում են։	sınıf; derslik	Öğrenciler sınıfta.
姐姐	უფროსი და	ჩემი უფროსი და ექიმია.	ավագ քույր	Իմ ավագ քույրը բժիշկ է։	abla	Ablam doktor.
介绍	გაცნობა; წარდგენა	ჩემს მეგობარს წარმოგიდგენ.	ներկայացնել; ծանոթացնել	Ես քեզ ծանոթացնում եմ իմ ընկերոջ հետ։	tanıtmak	Arkadaşımı tanıtıyorum.
进	შესვლა	გთხოვ, შემოდი.	մտնել	Խնդրում եմ, ներս արի։	girmek	Lütfen içeri gir.
近	ახლოს	სკოლა სახლთან ახლოსაა.	մոտ	Դպրոցը տան մոտ է։	yakın	Okul eve yakın.
就	მაშინ; ახლავე	ახლა წავალ.	հենց; ապա	Ես հիմա կգնամ։	hemen; o zaman	Şimdi gideceğim.
觉得	ფიქრი; შეგრძნება	მგონია, ეს კერძი გემრიელია.	կարծել; զգալ	Կարծում եմ՝ այս ուտեստը համեղ է։	düşünmek; hissetmek	Bence bu yemek lezzetli.
咖啡	ყავა	ყავას ვსვამ.	սուրճ	Ես սուրճ եմ խմում։	kahve	Kahve içiyorum.
开始	დაწყება	გამოცდა დაიწყო.	սկսել; սկիզբ	Քննությունը սկսվել է։	başlamak; başlangıç	Sınav başladı.
考试	გამოცდა	ხვალ გამოცდაა.	քննություն	Վաղը քննություն կա։	sınav	Yarın sınav var.
可能	შესაძლოა; შესაძლებელი	შესაძლოა, ის სახლში იყოს.	գուցե; հնարավոր	Նա գուցե տանն է։	belki; mümkün	O evde olabilir.
可以	შეიძლება; შეძლება	შეიძლება წავიდე?	կարողանալ; թույլատրվել	Կարո՞ղ եմ գնալ։	yapabilmek; izinli olmak	Gidebilir miyim?
课	გაკვეთილი; კლასი	დღეს ჩინურის გაკვეთილია.	դաս	Այսօր չինարենի դաս կա։	ders	Bugün Çince dersi var.
快	სწრაფი; მალე	ის სწრაფად დადის.	արագ; շուտով	Նա արագ է քայլում։	hızlı; yakında	O hızlı yürüyor.
快乐	ბედნიერი; მხიარული	გილოცავ დაბადების დღეს.	ուրախ; երջանիկ	Ծնունդդ շնորհավոր։	mutlu	Doğum günün kutlu olsun.
累	დაღლილი	დავიღალე.	հոգնած	Ես հոգնել եմ։	yorgun	Yorgunum.
离	-დან შორს; -დან	სკოლა სახლიდან შორს არ არის.	-ից հեռու	Դպրոցը տնից հեռու չէ։	-den uzak	Okul evden uzak değil.
两	ორი	ორი შვილი მყავს.	երկու	Ես երկու երեխա ունեմ։	iki	İki çocuğum var.
路	გზა	ეს გზა გრძელია.	ճանապարհ	Այս ճանապարհը երկար է։	yol	Bu yol uzun.
旅游	მოგზაურობა	ჩინეთში მოგზაურობა მინდა.	ճանապարհորդել; ճանապարհորդություն	Ես ուզում եմ Չինաստան ճանապարհորդել։	seyahat etmek; seyahat	Çin'e seyahat etmek istiyorum.
卖	გაყიდვა	ეს მაღაზია ვაშლს ყიდის.	վաճառել	Այս խանութը խնձոր է վաճառում։	satmak	Bu dükkân elma satıyor.
慢	ნელი; ნელა	გთხოვ, ცოტა ნელა იარე.	դանդաղ	Խնդրում եմ, մի քիչ դանդաղ գնա։	yavaş	Lütfen biraz yavaş git.
忙	დაკავებული	დღეს დაკავებული ვარ.	զբաղված	Այսօր զբաղված եմ։	meşgul	Bugün meşgulüm.
每	ყოველი; თითოეული	ყოველდღე ჩინურს ვსწავლობ.	ամեն; յուրաքանչյուր	Ես ամեն օր չինարեն եմ սովորում։	her	Her gün Çince öğreniyorum.
妹妹	უმცროსი და	ჩემი უმცროსი და ტელევიზორს უყურებს.	կրտսեր քույր	Իմ կրտսեր քույրը հեռուստացույց է դիտում։	kız kardeş; küçük kız kardeş	Kız kardeşim televizyon izliyor.
门	კარი; ჭიშკარი	კარი გაიღო.	դուռ; դարպաս	Դուռը բացվեց։	kapı	Kapı açıldı.
男人	კაცი; მამაკაცი	ეს კაცი მასწავლებელია.	տղամարդ	Այս տղամարդը ուսուցիչ է։	erkek; adam	Bu adam öğretmen.
您	თქვენ	გამარჯობა.	դուք	Բարև ձեզ։	siz	Merhaba.
牛奶	რძე	რძეს ვსვამ.	կաթ	Ես կաթ եմ խմում։	süt	Süt içiyorum.
女人	ქალი	ის ქალი ექიმია.	կին	Այն կինը բժիշկ է։	kadın	O kadın doktor.
旁边	გვერდით; ახლოს	სკოლის გვერდით ერთი მაღაზიაა.	կողքին	Դպրոցի կողքին մի խանութ կա։	yanında	Okulun yanında bir dükkân var.
跑步	სირბილი	დილით დავრბივარ.	վազել	Առավոտյան վազում եմ։	koşmak	Sabah koşuyorum.
便宜	იაფი	ეს ვაშლი იაფია.	էժան	Այս խնձորն էժան է։	ucuz	Bu elma ucuz.
票	ბილეთი	ბილეთს ვყიდულობ.	տոմս	Ես տոմս եմ գնում։	bilet	Bilet alıyorum.
妻子	ცოლი; მეუღლე	ჩემი ცოლი მასწავლებელია.	կին; կողակից	Իմ կինը ուսուցչուհի է։	eş; kadın eş	Eşim öğretmen.
起床	ადგომა; გაღვიძება	დილით ექვს საათზე ვდგები.	արթնանալ; վեր կենալ	Ես առավոտյան ժամը վեցին եմ վեր կենում։	kalkmak; uyanmak	Sabah saat altıda kalkıyorum.
千	ათასი	ეს ველოსიპედი ათასი იუანი ღირს.	հազար	Այս հեծանիվը հազար յուան արժե։	bin	Bu bisiklet bin yuan.
晴	მზიანი; ნათელი	დღეს მზიანი ამინდია.	արևոտ; պարզ	Այսօր արևոտ է։	güneşli; açık	Bugün hava güneşli.
去年	შარშან	შარშან პეკინში ვიყავი.	անցյալ տարի	Անցյալ տարի Պեկինում էի։	geçen yıl	Geçen yıl Pekin'deydim.
让	ნება დართვა; გაკეთებინება	დედა სწავლის ნებას მაძლევს.	թույլ տալ; անել տալ	Մայրիկը թույլ է տալիս, որ սովորեմ։	izin vermek; yaptırmak	Annem ders çalışmama izin veriyor.
上班	სამსახურში წასვლა	რვა საათზე სამსახურში მივდივარ.	աշխատանքի գնալ	Ես ժամը ութին աշխատանքի եմ գնում։	işe gitmek	Saat sekizde işe gidiyorum.
身体	სხეული; ჯანმრთელობა	მისი ჯანმრთელობა კარგია.	մարմին; առողջություն	Նրա առողջությունը լավ է։	vücut; sağlık	Onun sağlığı iyi.
生病	ავად გახდომა	ის ავად გახდა.	հիվանդանալ	Նա հիվանդացավ։	hastalanmak	O hastalandı.
生日	დაბადების დღე	დღეს ჩემი დაბადების დღეა.	ծննդյան օր	Այսօր իմ ծննդյան օրն է։	doğum günü	Bugün benim doğum günüm.
时间	დრო	დრო არ მაქვს.	ժամանակ	Ժամանակ չունեմ։	zaman; vakit	Zamanım yok.
事情	საქმე; საკითხი	გასაკეთებელი საქმე მაქვს.	գործ; բան	Ես անելիք ունեմ։	iş; mesele	Yapacak işim var.
手表	მაჯის საათი	ეს მაჯის საათი ახალია.	ձեռքի ժամացույց	Այս ձեռքի ժամացույցը նոր է։	saat; kol saati	Bu saat yeni.
手机	მობილური ტელეფონი	ჩემი მობილური მაგიდაზეა.	բջջային հեռախոս	Իմ հեռախոսը սեղանի վրա է։	cep telefonu	Telefonum masanın üzerinde.
送	გაგზავნა; ჩუქება	ერთ წიგნს გაჩუქებ.	ուղարկել; նվիրել	Ես քեզ մեկ գիրք եմ նվիրում։	göndermek; hediye etmek	Sana bir kitap hediye ediyorum.
所以	ამიტომ	დღეს წვიმს, ამიტომ არ მივდივარ.	ուստի; դրա համար	Այսօր անձրև է գալիս, դրա համար չեմ գնում։	bu yüzden; onun için	Bugün yağmur yağıyor, bu yüzden gitmiyorum.
它	ის; ეს	ეს ჩემი კატაა.	այն	Դա իմ կատուն է։	o	Bu benim kedim.
踢足球	ფეხბურთის თამაში	ისინი ფეხბურთს თამაშობენ.	ֆուտբոլ խաղալ	Նրանք ֆուտբոլ են խաղում։	futbol oynamak	Onlar futbol oynuyor.
题	კითხვა; თემა	ეს კითხვა სწორი არ არის.	հարց; թեմա	Այս հարցը ճիշտ չէ։	soru; konu	Bu soru doğru değil.
跳舞	ცეკვა	მას ცეკვა უყვარს.	պարել	Նա սիրում է պարել։	dans etmek	O dans etmeyi sever.
外	გარეთ; გარე	ის კარის გარეთაა.	դուրս; արտաքին	Նա դռան դրսում է։	dış; dışarı	O kapının dışında.
完	დასრულება	დავასრულე.	ավարտել; վերջացնել	Ես ավարտեցի։	bitirmek; bitmek	Bitirdim.
玩	თამაში; გართობა	ბავშვი თამაშობს.	խաղալ	Երեխան խաղում է։	oynamak	Çocuk oynuyor.
晚上	საღამო; ღამე	საღამოს ფილმს ვუყურებ.	երեկո; գիշեր	Երեկոյան ֆիլմ եմ դիտում։	akşam; gece	Akşam film izlerim.
为什么	რატომ	რატომ არ მიდიხარ?	ինչու	Ինչո՞ւ չես գնում։	neden; niçin	Neden gitmiyorsun?
问	კითხვა	მასწავლებელს ვეკითხები.	հարցնել	Ես ուսուցչին եմ հարցնում։	sormak	Öğretmene soruyorum.
问题	კითხვა; პრობლემა	ერთი კითხვა მაქვს.	հարց; խնդիր	Ես մեկ հարց ունեմ։	soru; sorun	Bir sorum var.
西瓜	საზამთრო	საზამთროს ვჭამ.	ձմերուկ	Ես ձմերուկ եմ ուտում։	karpuz	Karpuz yiyorum.
希望	იმედის ქონა; იმედი	იმედი მაქვს, მოხვალ.	հուսալ; հույս	Հույս ունեմ, որ կգաս։	ummak; umut	Gelmeni umuyorum.
洗	რეცხვა; დაბანა	ტანსაცმელს ვრეცხავ.	լվանալ	Ես հագուստ եմ լվանում։	yıkamak	Çamaşır yıkıyorum.
向	მიმართ; -კენ	ის ჩემკენ მოდის.	դեպի	Նա դեպի ինձ է քայլում։	-e doğru	O bana doğru yürüyor.
小时	საათი	ორი საათი ვსწავლობ.	ժամ	Ես երկու ժամ եմ սովորում։	saat	İki saat ders çalışıyorum.
笑	ღიმილი; სიცილი	მან გაიღიმა.	ժպտալ; ծիծաղել	Նա ժպտաց։	gülmek; gülümsemek	O gülümsedi.
新	ახალი	ეს ახალი წიგნია.	նոր	Սա նոր գիրք է։	yeni	Bu yeni bir kitap.
姓	გვარი	თქვენი გვარი რა არის?	ազգանուն	Ձեր ազգանունն ի՞նչ է։	soyadı	Soyadınız ne?
休息	დასვენება	დასვენება მინდა.	հանգստանալ	Ես ուզում եմ հանգստանալ։	dinlenmek	Dinlenmek istiyorum.
雪	თოვლი	დღეს თოვს.	ձյուն	Այսօր ձյուն է գալիս։	kar	Bugün kar yağıyor.
颜色	ფერი	ეს ფერი მომწონს.	գույն	Այս գույնը ինձ դուր է գալիս։	renk	Bu rengi seviyorum.
眼睛	თვალი	მისი თვალები დიდია.	աչք	Նրա աչքերը մեծ են։	göz	Onun gözleri büyük.
羊肉	ცხვრის ხორცი	ცხვრის ხორცს არ ვჭამ.	ոչխարի միս	Ես ոչխարի միս չեմ ուտում։	koyun eti	Koyun eti yemiyorum.
药	წამალი	ის წამალს სვამს.	դեղ	Նա դեղ է խմում։	ilaç	O ilaç içiyor.
要	სურვილი; საჭიროება	წყლის დალევა მინდა.	ուզել; պետք լինել	Ես ուզում եմ ջուր խմել։	istemek; gerekmek	Su içmek istiyorum.
也	ასევე	მეც მივდივარ.	նաև; էլ	Ես էլ եմ գնում։	de; da	Ben de gidiyorum.
已经	უკვე	უკვე მივედი.	արդեն	Ես արդեն հասել եմ։	zaten; çoktan	Çoktan vardım.
一起	ერთად	ერთად მივდივართ.	միասին	Մենք միասին ենք գնում։	birlikte	Birlikte gidiyoruz.
意思	მნიშვნელობა; აზრი	ეს იეროგლიფი რას ნიშნავს?	իմաստ; միտք	Այս նշանի իմաստն ի՞նչ է։	anlam; fikir	Bu karakterin anlamı ne?
阴	მოღრუბლული	დღეს მოღრუბლულია.	ամպամած	Այսօր ամպամած է։	kapalı; bulutlu	Bugün hava kapalı.
因为	რადგან	რადგან წვიმს, არ მივდივარ.	որովհետև	Քանի որ անձրև է գալիս, չեմ գնում։	çünkü	Yağmur yağdığı için gitmiyorum.
游泳	ცურვა	ცურვა შემიძლია.	լողալ	Ես լողալ գիտեմ։	yüzmek	Yüzebilirim.
右边	მარჯვენა მხარე	მაღაზია მარჯვნივაა.	աջ կողմ	Խանութը աջ կողմում է։	sağ taraf	Dükkân sağda.
鱼	თევზი	თევზს ვჭამ.	ձուկ	Ես ձուկ եմ ուտում։	balık	Balık yiyorum.
元	იუანი; ფულის ერთეული	ეს ჭიქა ათი იუანი ღირს.	յուան; դրամական միավոր	Այս բաժակը տասը յուան արժե։	yuan; para birimi	Bu bardak on yuan.
远	შორს	აეროპორტი შორსაა.	հեռու	Օդանավակայանը հեռու է։	uzak	Havaalanı uzak.
运动	სპორტი; ვარჯიში	ვარჯიში მომწონს.	սպորտ; վարժություն	Ես սիրում եմ մարզվել։	spor; egzersiz	Egzersiz yapmayı severim.
再	კიდევ; კვლავ	ხვალ კიდევ მოვალ.	կրկին; հետո	Վաղը կրկին կգամ։	yine; tekrar	Yarın yine geleceğim.
早上	დილა	დილით ჩაის ვსვამ.	առավոտ	Առավոտյան թեյ եմ խմում։	sabah	Sabah çay içerim.
张	ბრტყელი ნივთების სათვლელი სიტყვა	ერთი ბილეთი ვიყიდე.	հաշվական բառ հարթ առարկաների համար	Ես մեկ տոմս գնեցի։	düz nesneler için ölçü sözü	Bir bilet aldım.
丈夫	ქმარი; მეუღლე	მისი ქმარი ექიმია.	ամուսին	Նրա ամուսինը բժիշկ է։	koca; eş	Eşi doktor.
找	ძებნა	ერთ მეგობარს ვეძებ.	փնտրել	Ես մեկ ընկեր եմ փնտրում։	aramak	Bir arkadaş arıyorum.
着	მიმდინარე მდგომარეობის ნაწილაკი	კარი ღიაა.	շարունակական վիճակի մասնիկ	Դուռը բաց է։	süreklilik parçacığı	Kapı açık.
真	მართლა; ნამდვილი	ეს წიგნი მართლა კარგია.	իսկապես; իրական	Այս գիրքն իսկապես լավն է։	gerçekten; gerçek	Bu kitap gerçekten iyi.
正在	ახლა მიმდინარე მოქმედება	ის ტელევიზორს უყურებს.	այժմ ընթացող գործողություն	Նա հեռուստացույց է դիտում։	şu anda; yapmakta olmak	O televizyon izliyor.
知道	ცოდნა	არ ვიცი.	իմանալ	Ես չգիտեմ։	bilmek	Bilmiyorum.
准备	მომზადება	გამოცდისთვის ვემზადები.	պատրաստել; պատրաստություն	Ես պատրաստվում եմ քննությանը։	hazırlamak; hazırlık	Sınava hazırlanıyorum.
自行车	ველოსიპედი	ჩემი ველოსიპედი ახალია.	հեծանիվ	Իմ հեծանիվը նոր է։	bisiklet	Bisikletim yeni.
走	სიარული; წასვლა	სახლში ფეხით მივდივარ.	քայլել; գնալ	Ես տուն եմ գնում ոտքով։	yürümek; gitmek	Eve yürüyerek gidiyorum.
最	ყველაზე	ის ყველაზე მაღალია.	ամենա-; ամենից	Նա ամենաբարձրն է։	en	O en uzun boylu.
左边	მარცხენა მხარე	სკოლა მარცხნივაა.	ձախ կողմ	Դպրոցը ձախ կողմում է։	sol taraf	Okul solda.
