source_headword	TA	example_TA
rural	கிராமப்புற	பல கிராமப்புறப் பள்ளிகளுக்கு ஆதரவு தேவை.
rush	அவசரப்படு	இந்த முடிவில் அவசரப்பட வேண்டாம்.
satellite	செயற்கைக்கோள்	செயற்கைக்கோள் புதிய படங்களை அனுப்பியது.
satisfied	திருப்தி	வாடிக்கையாளர் திருப்தியடைந்ததாகத் தோன்றியது.
satisfy	திருப்திப்படுத்து	அந்தப் பதில் அவருக்குத் திருப்தியளிக்கவில்லை.
saving	சேமிப்பு	ஆற்றல் சேமிப்பு மாதாந்திரச் செலவுகளைக் குறைக்கிறது.
scale	அளவு	சேதத்தின் அளவு பெரியதாக இருந்தது.
scheme	திட்டம்	இந்தத் திட்டம் இளம் தொழிலாளர்களுக்கு உதவுகிறது.
scream	அலறல்	வெளியே ஒரு அலறல் சத்தத்தை அவர்கள் கேட்டனர்.
sector	துறை	தொழில்நுட்பத் துறை வளர்ந்து வருகிறது.
secure	பாதுகாப்பாக்கு	கதவைப் பாதுகாப்பாகப் பூட்டவும்.
seek	தேடு	அவர்கள் நிபுணர்களிடமிருந்து ஆலோசனையைத் தேடுகிறார்கள்.
select	தேர்ந்தெடு	சிறந்த விருப்பத்தைத் தேர்ந்தெடுக்கவும்.
selection	தேர்வு	கடை பல தேர்வுகளை வழங்குகிறது.
self	சுய	அவள் தன் உண்மையான சுயத்தைக் காட்டினாள்.
senior	மூத்த	ஒரு மூத்த மருத்துவர் நோயாளியைப் பரிசோதித்தார்.
sensitive	உணர்திறன் மிக்க	இந்தத் தலைப்பு மிகவும் உணர்திறன் மிக்கது.
sequence	வரிசை	படிகளின் வரிசையைப் பின்பற்றவும்.
session	அமர்வு	பயிற்சி அமர்வு நண்பகலில் தொடங்குகிறது.
settle	தீர்த்து வை	அவர்கள் விவாதத்தை விரைவாகத் தீர்த்து வைக்கிறார்கள்.
severe	கடுமையான	புயல் கடுமையான வெள்ளத்தை ஏற்படுத்தியது.
shade	நிழல்	நிழலில் உட்காருங்கள்.
shadow	நிழல்	ஜன்னல் வழியாக ஒரு நிழல் சென்றது.
shallow	ஆழமற்ற	இங்கு ஏரி ஆழமற்றதாக உள்ளது.
shame	அவமானம்	பொய் சொன்ன பிறகு அவன் அவமானப்பட்டான்.
shelter	தங்குமிடம்	பள்ளி அவசரகாலத் தங்குமிடத்தை வழங்கியது.
shock	அதிர்ச்சி	அந்த முடிவு ஒரு அதிர்ச்சியாக இருந்தது.
shocked	அதிர்ச்சியடைந்த	செய்தியைக் கேட்டு அவள் அதிர்ச்சியடைந்ததாகத் தெரிந்தது.
shooting	துப்பாக்கிச் சூடு	நிலையத்திற்கு அருகே துப்பாக்கிச் சூடு நடந்தது.
shot	அடி	வெற்றி பெற்ற அடி அனைவரையும் ஆச்சரியப்படுத்தியது.
significant	குறிப்பிடத்தக்க	அந்தக் கண்டுபிடிப்பு குறிப்பிடத்தக்கதாக இருந்தது.
significantly	குறிப்பிடத்தக்க அளவில்	கடந்த ஆண்டு செலவுகள் குறிப்பிடத்தக்க அளவில் அதிகரித்தன.
silence	அமைதி	அறை அமைதியானது.
silk	பட்டு	அந்த ஆடை பட்டால் ஆனது.
sincere	உண்மையான	எனது உண்மையான நன்றியை ஏற்றுக்கொள்ளுங்கள்.
slave	அடிமை	சட்டம் ஒவ்வொரு அடிமையையும் விடுவித்தது.
slide	சறுக்குமரம்	குழந்தை சறுக்குமரத்தில் சறுக்கி விளையாடியது.
slight	சிறிய	ஒரு சிறிய தாமதம் ஏற்பட்டது.
slip	வழுக்கு	ஈரமான தரையில் வழுக்கி விழ வேண்டாம்.
slope	சாய்வு	பாதை ஒரு செங்குத்தான சாய்வாக செல்கிறது.
solar	சூரிய	வீடு சூரிய ஆற்றலைப் பயன்படுத்துகிறது.
somewhat	ஓரளவு	அறிவுறுத்தல்கள் ஓரளவு குழப்பமாக இருந்தன.
soul	ஆன்மா	இசை அவள் ஆன்மாவை உயர்த்தியது.
specialist	நிபுணர்	நிபுணர் நோயாளியைப் பரிசோதித்தார்.
species	இனம்	இந்த இனம் நதிகளுக்கு அருகில் வாழ்கிறது.
spiritual	ஆன்மீக	அவர் ஒரு ஆன்மீக அனுபவத்தை விவரித்தார்.
split	பிரி	அவர்கள் பில்லை சமமாகப் பிரித்துக்கொண்டனர்.
sponsor	ஆதரவளி	நிறுவனம் நிகழ்வுக்கு ஆதரவளிக்கும்.
stable	நிலையான	நோயாளி நிலையான நிலையில் உள்ளார்.
stare	முறைத்துப்பார்	அறிமுகமில்லாதவர்களை முறைத்து பார்க்க வேண்டாம்.
status	நிலை	அவனது நிலை ஒரே இரவில் மாறியது.
steady	சீரான	சீரான வேகத்தை பராமரிக்கவும்.
steel	எஃகு	பாலம் எஃகால் ஆனது.
steep	செங்குத்தான	குன்று செங்குத்தானது.
sticky	ஒட்டும் தன்மை	தரை ஒட்டும் தன்மையுடன் இருக்கிறது.
stiff	விறைப்பான	அவனது தோள்பட்டை விறைப்பாக இருந்தது.
stock	இருப்பு	கடையில் எந்த இருப்பும் இல்லை.
stream	நீரோடை	ஒரு சிறிய நீரோடை வயலைக் கடக்கிறது.
stretch	நீட்டு	விமான பயணத்திற்குப் பிறகு உங்கள் கால்களை நீட்டவும்.
strict	கடுமையான	பள்ளி கடுமையான விதிகளைக் கொண்டுள்ளது.
strike	வேலைநிறுத்தம்	தொழிலாளர்கள் நாளை வேலைநிறுத்தம் செய்யலாம்.
struggle	போராடு	பல குடும்பங்கள் வாடகை கொடுக்க போராடுகின்றன.
submit	சமர்ப்பி	வெள்ளிக்கிழமைக்குள் படிவத்தை சமர்ப்பிக்கவும்.
sum	தொகை	தொகை எதிர்பார்த்ததை விட அதிகமாக இருந்தது.
surgery	அறுவை சிகிச்சை	அறுவை சிகிச்சை இரண்டு மணி நேரம் நீடித்தது.
surround	சூழ்ந்திரு	உயரமான மரங்கள் வீட்டைச் சூழ்ந்துள்ளன.
surrounding	சுற்றியுள்ள	சுற்றியுள்ள பகுதி அமைதியாக உள்ளது.
suspect	சந்தேகி	போலீசார் ஒரு உள்ளூர் நபரை சந்தேகிக்கின்றனர்.
swear	கெட்ட வார்த்தை பேசு	வகுப்பில் கெட்ட வார்த்தைகள் பேச வேண்டாம்.
sweep	பெருக்கு	விருந்தினர்கள் வருவதற்கு முன்பு தரையைப் பெருக்கவும்.
sympathy	அனுதாபம்	அவர் பாதிக்கப்பட்டவர்களுக்காக அனுதாபத்தை வெளிப்படுத்தினார்.
tale	கதை	பாட்டி ஒரு விசித்திரமான கதையைச் சொன்னார்.
tank	தொட்டி	தொட்டியில் சுத்தமான தண்ணீர் உள்ளது.
tear1	கிழி	ஆவணத்தை கிழிக்க வேண்டாம்.
tear2	கண்ணீர்	அவள் கன்னத்தில் ஒரு கண்ணீர் துளி உருண்டது.
temporary	தற்காலிக	அலுவலகம் ஒரு தற்காலிக புகலிடமாகும்.
therapy	சிகிச்சை	உடல் சிகிச்சை அவரது மீட்புக்கு உதவியது.
threat	அச்சுறுத்தல்	செய்தியில் ஒரு அச்சுறுத்தல் இருந்தது.
threaten	அச்சுறுத்து	புயல் பயிர்களை அச்சுறுத்தக்கூடும்.
thus	எனவே	சாலை மூடப்பட்டது; எனவே, நாங்கள் காத்திருந்தோம்.
tone	குரல் தொனி	அவரது குரல் தொனி அமைதியாகத் தெரிந்தது.
tough	கடினமான	நேர்காணல் கடினமாக இருந்தது.
transfer	இடமாற்றம் செய்	அவர்கள் ஒவ்வொரு இரவும் தரவை இடமாற்றம் செய்கிறார்கள்.
transform	உருமாற்று	புதிய கொள்கை சேவைகளை உருமாற்றும்.
transition	மாற்றம்	மாற்றம் ஏற்பட பல மாதங்கள் ஆனது.
trial	விசாரணை	விசாரணை அடுத்த வாரம் தொடங்குகிறது.
tropical	வெப்பமண்டல	வெப்பமண்டல புயல்கள் இங்கு பொதுவானவை.
truly	உண்மையாக	உங்கள் உதவிக்கு நான் உண்மையாகவே நன்றி கூறுகிறேன்.
trust	நம்பிக்கை	நம்பிக்கையை உருவாக்க நேரம் எடுக்கும்.
tune	டியூன்	இசைக்குழு ஒரு மகிழ்ச்சியான டியூனை வாசித்தது.
tunnel	சுரங்கப்பாதை	ஆற்றின் கீழ் சுரங்கப்பாதை செல்கிறது.
ultimately	இறுதியில்	இறுதியில், திட்டம் வெற்றி பெற்றது.
unconscious	மயக்கமான	நோயாளி மயக்க நிலையில் இருந்தார்.
unexpected	எதிர்பாராத	இந்த தாமதம் எதிர்பாராதது.
unique	தனித்துவமான	ஒவ்வொரு வடிவமைப்பும் தனித்துவமானது.
universe	பிரபஞ்சம்	பிரபஞ்சம் விரிவடைந்து வருகிறது.
unknown	அறியப்படாத	பெயர் அறியப்படாமலேயே உள்ளது.
upper	மேல்	மேல் அலமாரி காலியாக உள்ளது.
upwards	மேல்நோக்கி	புகை மேல்நோக்கி நகர்ந்தது.
urban	நகர்ப்புற	நகர்ப்புறங்களுக்கு சிறந்த போக்குவரத்து தேவை.
urge	வலியுறுத்து	மருத்துவர்கள் மக்களை உடற்பயிற்சி செய்யுமாறு வலியுறுத்துகின்றனர்.
vary	மாறுபடும்	விலைகள் பகுதிக்கு பகுதி மாறுபடும்.
vast	பரந்த	பாலைவனம் ஒரு பரந்த பகுதியை உள்ளடக்கியது.
venue	இடம்	இந்த இடத்தில் ஐநூறு பேர் இருக்கலாம்.
via	வழியாக	மின்னஞ்சல் வழியாக ஆவணத்தை அனுப்பவும்.
victory	வெற்றி	அணி தனது வெற்றியைக் கொண்டாடியது.
violence	வன்முறை	நகரம் அரசியல் வன்முறையால் பாதிக்கப்பட்டது.
virtual	மெய்நிகர்	இந்த சந்திப்பு மெய்நிகரானது.
vision	பார்வை	அவளது பார்வை நிறுவனத்தை வடிவமைத்தது.
visual	காட்சி	அறிக்கையில் காட்சி எடுத்துக்காட்டுகள் உள்ளன.
vital	முக்கிய	வாழ்க்கைக்கு தண்ணீர் முக்கியமானது.
vitamin	வைட்டமின்	ஆரஞ்சுகளில் வைட்டமின் சி உள்ளது.
volume	சத்தம்	சத்தத்தை குறைக்கவும்.
wage	கூலி	தொழிலாளர்கள் அதிக கூலி கேட்டனர்.
weakness	பலவீனம்	திட்டத்தில் ஒரு பலவீனம் உள்ளது.
wealth	செல்வம்	அவரது செல்வம் வியாபாரத்திலிருந்து வந்தது.
wealthy	செல்வந்த	செல்வந்த குடும்பம் அருங்காட்சியகத்திற்கு நிதியளித்தது.
whereas	அதேசமயம்	அவளுக்கு தேநீர் பிடிக்கும், அதேசமயம் எனக்கு காபி பிடிக்கும்.
wherever	எங்கு வேண்டுமானாலும்	உங்களுக்கு வசதியாக எங்கு வேண்டுமானாலும் உட்காருங்கள்.
whisper	கிசுகிசு	விழாவின் போது கிசுகிசுக்கவும்.
whom	யாரை	நீங்கள் யாரை அழைத்தீர்கள்?
widely	பரவலாக	புத்தகம் பரவலாக படிக்கப்படுகிறது.
wildlife	வனவிலங்கு	பூங்கா உள்ளூர் வனவிலங்குகளைப் பாதுகாக்கிறது.
willing	விருப்பமுள்ள	அவள் உதவ விருப்பமாக இருக்கிறாள்.
wind2	சுற்று	ரீலைச் சுற்றி கேபிளைச் சுற்றவும்.
wire	கம்பி	கம்பி இரண்டு சாதனங்களை இணைக்கிறது.
wise	புத்திசாலித்தனமான	அது ஒரு புத்திசாலித்தனமான தேர்வு.
witness	சாட்சி	ஒரு சாட்சி விபத்தை விவரித்தார்.
wound	காயம்	காயத்தை கவனமாக சுத்தம் செய்யவும்.
wrap	மடி	பரிசை காகிதத்தில் மடிக்கவும்.
zone	பகுதி	இப்பகுதி போக்குவரத்துக்கு மூடப்பட்டுள்ளது.
