simplified	SW	example_SW
上网	kuingia mtandaoni	Jioni ninaingia mtandaoni kuangalia ramani.
声音	sauti	Sauti yako inasikika vizuri.
生气	kukasirika	Usikasirike, sikukusudia.
世界	dunia	Dunia ni kubwa sana.
试	kujaribu	Ninataka kujaribu jozi hili la viatu vya ngozi.
瘦	mwembamba	Ameonekana mwembamba kuliko zamani.
叔叔	mjomba; baba mdogo	Mjomba ananipeleka shuleni kwa gari.
舒服	starehe; vizuri	Kiti hiki ni cha starehe.
数学	hisabati	Darasa la hisabati linavutia.
树	mti	Kuna mti mmoja mbele ya nyumba.
刷牙	kuswaki meno	Kila asubuhi naswaki meno.
双	jozi; mbili	Nimenunua jozi moja ya viatu vya ngozi.
水平	kiwango	Kiwango chake cha Kichina ni cha juu.
司机	dereva	Dereva anatungojea mlangoni.
太阳	jua	Leo jua ni kali.
特别	maalum; hasa	Kipindi hiki kinavutia hasa.
疼	kuuma	Mguu wangu unauma sana.
提高	kuboresha; kuongeza	Mazoezi mengi yanaweza kuboresha kiwango cha Kichina.
体育	michezo; elimu ya viungo	Ninapenda darasa la elimu ya viungo.
甜	tamu	Kinywaji hiki ni kitamu kupita kiasi.
条	kihesabio cha vitu virefu	Nimenunua sketi moja.
同事	mfanyakazi mwenzangu	Mfanyakazi mwenzangu ana kazi nyingi.
同意	kukubali	Ninakubaliana na uamuzi wako.
头发	nywele	Nywele zake ni ndefu.
突然	ghafla	Aliondoka ghafla.
图书馆	maktaba	Maktaba haifungui leo.
腿	mguu; miguu	Baada ya kupanda mlima, miguu yangu inauma sana.
完成	kukamilisha; kumaliza	Nimekamilisha kazi ya nyumbani tayari.
碗	bakuli	Kuna mabakuli mawili juu ya meza.
万	elfu kumi	Mji huu una watu elfu kumi.
忘记	kusahau	Usisahau kuleta pasipoti.
为	kwa ajili ya; kwa sababu ya	Ninafurahi kwa ajili yako.
为了	ili; kwa ajili ya	Kwa ajili ya mtihani, anarudia masomo kila siku.
位	kihesabio cha heshima kwa watu	Mwalimu huyu ni maarufu sana.
文化	utamaduni	Ninataka kuelewa utamaduni wa China.
西	magharibi	Benki iko magharibi mwa shule.
习惯	mazoea; kuzoea	Nimezoea kufanya mazoezi asubuhi.
洗手间	choo; bafu	Choo kiko upande wa kulia.
洗澡	kuoga	Ninaoga jioni.
夏	majira ya joto	Majira ya joto huwa na joto sana.
先	kwanza	Kula kwanza.
相信	kuamini	Ninaamini kuwa atakuja.
香蕉	ndizi	Nimenunua ndizi tatu.
像	kufanana na; kama	Wingu hili linafanana na ndege.
向	kuelekea; upande	Tafadhali tembea kuelekea kushoto.
小心	kuwa mwangalifu	Mvua inanyesha, kuwa mwangalifu njiani.
校长	mkuu wa shule	Mkuu wa shule yuko ofisini.
新闻	habari	Baba hutazama habari kila siku.
新鲜	safi; mbichi	Matunda haya ni safi sana.
信用卡	kadi ya mkopo	Naweza kulipa kwa kadi ya mkopo?
行李箱	sanduku la safari	Sanduku langu la safari ni zito sana.
熊猫	dubu wa China	Watoto wanapenda kuangalia dubu wa China.
需要	kuhitaji	Ninahitaji msaada wako.
选择	kuchagua; chaguo	Unachagua shati gani?
要求	kuomba; kudai	Mwalimu anatutaka tufanye kazi ya nyumbani kwa makini.
爷爷	babu	Babu huenda bustanini kila siku.
一直	daima; mfululizo	Amekuwa akikungojea muda wote.
一定	hakika; bila shaka	Hakika nitakuja.
一共	jumla	Vitabu hivi vinagharimu kiasi gani jumla?
一会儿	muda mfupi	Tafadhali ningoje kidogo.
一样	sawa; kufanana	Vikombe hivi viwili vina ukubwa sawa.
以前	zamani	Zamani niliishi Beijing.
一般	kawaida	Chakula cha mgahawa huu ni cha kawaida.
一边	upande mmoja; huku...huku...	Anasikiliza muziki huku akifanya kazi ya nyumbani.
音乐	muziki	Ninapenda muziki wa China.
银行	benki	Benki iko karibu na duka kubwa.
饮料	kinywaji	Kinywaji hiki ni kitamu.
应该	inapaswa; lazima	Unapaswa kupumzika zaidi.
影响	athari; kuathiri	Hali ya hewa itaathiri mashindano.
用	kutumia	Ninatumia kompyuta kufanya kazi ya nyumbani.
游戏	mchezo	Watoto wanacheza mchezo.
有名	maarufu	Mgahawa huu ni maarufu sana.
又	tena	Leo amechelewa tena.
遇到	kukutana na; kukutana kwa bahati	Nilikutana na mwalimu barabarani.
元	yuan; kitengo cha fedha	Kamusi hii inagharimu yuan hamsini.
愿意	kuwa tayari; kutaka	Uko tayari kushiriki?
月亮	mwezi	Mwezi wa usiku huu unang'aa sana.
越	kadiri... ndivyo...	Kadiri ninavyojifunza Kichina, ndivyo kinavyovutia zaidi.
站	kituo; kusimama	Amesimama mlangoni.
张	kihesabio cha vitu bapa	Tafadhali nipe ramani moja.
长	kukua	Watoto hukua haraka.
着急	kuwa na wasiwasi; kuharakisha	Usiwe na wasiwasi, lifti itakuja mara moja.
照顾	kutunza	Anamtunza bibi yake mgonjwa.
照片	picha	Picha hii inaonekana nzuri.
照相机	kamera	Ninatumia kamera kupiga picha.
283:只	tu; pekee	Ninakunywa kikombe kimoja tu cha chai.
284:只	kihesabio cha wanyama	Kuna paka mmoja chini ya meza.
只有…才…	ikiwa tu... ndipo...	Ikiwa tu utarudia masomo kwa makini ndipo utafanya vizuri kwenye mtihani.
中间	katikati	Meza iko katikati ya chumba.
中文	Kichina	Kila siku ninajifunza Kichina.
终于	hatimaye	Hatimaye tumefika.
种	aina	Unapenda aina gani ya kinywaji?
重要	muhimu	Pasipoti ni muhimu sana.
周末	mwisho wa wiki	Mwishoni mwa wiki ninataka kwenda bustanini.
主要	kuu; muhimu	Hobi yake kuu ni muziki.
注意	kutilia maanani; kuwa makini	Tafadhali msikilize mwalimu kwa makini.
自己	mwenyewe	Ninataka kufanya kazi ya nyumbani mwenyewe.
自行车	baiskeli	Baiskeli yangu iko ghorofa ya chini.
总是	daima; kila mara	Daima hufika ofisini mapema.
嘴	kinywa	Tafadhali fungua kinywa.
最后	mwisho; hatimaye	Mwishowe, sote tulikubali.
最近	hivi karibuni; siku hizi	Siku hizi nina kazi nyingi.
作业	kazi ya nyumbani; kazi	Bado sijamaliza kazi ya nyumbani.
