source_headword	HY	example_HY
photographer	լուսանկարիչ	Լուսանկարիչը շատ նկարներ արեց։
photography	լուսանկարչություն	Լուսանկարչությունը նրա սիրելի զբաղմունքն է։
pin	քորոց	Քարտեզի վրա քորոց դիր։
pipe	խողովակ	Խողովակը ջուր է տեղափոխում։
planning	պլանավորում	Պլանավորումը ժամանակ է պահանջում։
pleasant	հաճելի	Մենք հաճելի երեկո ունեցանք։
pleasure	հաճույք	Քեզ հանդիպելը հաճույք էր։
plenty	շատ	Մենք շատ ժամանակ ունենք։
plot	սյուժե	Սյուժեն հեշտ էր հետևելու համար։
plus1	գումարած	Երկու գումարած երեք հավասար է հինգի։
poem	բանաստեղծություն	Նա կարճ բանաստեղծություն գրեց։
poet	բանաստեղծ	Բանաստեղծը բարձրաձայն կարդաց։
poetry	պոեզիա	Նա սիրում է ժամանակակից պոեզիա։
poison	թույն	Թույնը հեռու պահիր երեխաներից։
poisonous	թունավոր	Որոշ սունկեր թունավոր են։
policy	քաղաքականություն	Ընկերությունը փոխեց իր քաղաքականությունը։
political	քաղաքական	Ելույթը քաղաքական էր։
politician	քաղաքական գործիչ	Քաղաքական գործիչը պատասխանեց հարցերին։
politics	քաղաքականություն	Քաղաքականությունը կարող է բարդ լինել։
port	նավահանգիստ	Նավը մտավ նավահանգիստ։
portrait	դիմանկար	Դիմանկարը կախված է սրահում։
possibly	հնարավոր է	Նա հնարավոր է ուշ հասնի։
pot	ծաղկաման	Բույսին ավելի մեծ ծաղկաման է պետք։
pour	լցնել	Կաթը դանդաղ լցրու։
poverty	աղքատություն	Շատ ընտանիքներ ապրում են աղքատության մեջ։
powder	փոշի	Փոշին ավելացրու ջրին։
powerful	հզոր	Շարժիչը հզոր է։
practical	գործնական	Սա գործնական լուծում է։
pray	աղոթել	Նրանք ամեն առավոտ աղոթում են։
prayer	աղոթք	Նա հանգիստ աղոթք ասաց։
prediction	կանխատեսում	Նրա կանխատեսումը ճիշտ էր։
prepared	պատրաստ	Ես պատրաստ եմ քննությանը։
presentation	ներկայացում	Նրա ներկայացումը պարզ էր։
press	սեղմել	Սեղմիր կոճակը մեկ անգամ։
pressure	ճնշում	Ճնշումը կարող է ազդել առողջության վրա։
pretend	ձևացնել	Մի ձևացրու, թե քնած ես։
previous	նախորդ	Նախորդ դասը ավելի հեշտ էր։
previously	նախկինում	Մենք նախկինում ապրում էինք Հռոմում։
priest	քահանա	Քահանան մեղմ խոսեց։
primary	հիմնական	Առողջությունը մեր հիմնական մտահոգությունն է։
prince	արքայազն	Արքայազնը այցելեց դպրոց։
princess	արքայադուստր	Արքայադուստրը կապույտ զգեստ էր հագել։
printing	տպագրություն	Զեկույցի տպագրությունը տևեց մի քանի րոպե։
prisoner	բանտարկյալ	Բանտարկյալը փախավ գիշերը։
private	մասնավոր	Սա մասնավոր խոսակցություն է։
producer	պրոդյուսեր	Պրոդյուսերին ֆիլմը դուր եկավ։
production	արտադրություն	Արտադրությունը սկսվում է հաջորդ շաբաթ։
profession	մասնագիտություն	Ուսուցչությունը հարգված մասնագիտություն է։
profit	շահույթ	Խանութը շահույթ ստացավ։
promote	խթանել	Նրանք խթանում են առողջ սնունդը։
proper	պատշաճ	Արշավի համար պատշաճ կոշիկներ հագիր։
properly	ճիշտ	Դուռը ճիշտ փակիր։
property	անշարժ գույք	Նրանք գետի մոտ անշարժ գույք գնեցին։
protest	բողոք	Բողոքը ավարտվեց խաղաղ։
proud	հպարտ	Նա հպարտ էր իր որդով։
prove	ապացուցել	Կարո՞ղ ես ապացուցել քո պատասխանը։
punish	պատժել	Ուսուցիչը նրան չպատժեց։
punishment	պատիժ	Պատիժը արդար էր թվում։
qualification	որակավորում	Այս աշխատանքի համար որակավորում է պետք։
qualified	որակավորված	Նա որակավորված բուժքույր է։
qualify	որակավորվել	Մեր թիմը կարող է որակավորվել։
queue	հերթ	Մենք սպասեցինք երկար հերթում։
quit	թողնել	Նա որոշեց թողնել ծխելը։
quotation	մեջբերում	Շարադրությունը սկսվում է մեջբերումով։
quote	մեջբերել	Կարո՞ղ եմ մեջբերել քո խոսքերը։
race (people)	ռասա	Ձևաթուղթը հարցնում է ռասայի մասին։
racing	ձիարշավ	Ձիարշավն այնտեղ հայտնի է։
range	տեսականի	Խանութը վաճառում է լայն տեսականի։
rare	հազվագյուտ	Այս թռչունը հազվագյուտ է։
rarely	հազվադեպ	Մենք հազվադեպ ենք դրսում ուտում։
reaction	արձագանք	Նրա արձագանքը զարմացրեց ինձ։
reality	իրականություն	Իրականությունը տարբերվում էր նրա երազից։
receipt	անդորրագիր	Պահիր անդորրագիրը։
recommendation	խորհուրդ	Շնորհակալություն խորհրդի համար։
reference	հղում	Վերջում հղում ավելացրու։
reflect	արտացոլել	Հայելին կարող է լույս արտացոլել։
regularly	կանոնավոր	Նա կանոնավոր մարզվում է։
reject	մերժել	Նրանք կարող են մերժել առաջարկը։
relate	կապ հասկանալ	Ես կարող եմ հասկանալ այդ պատմության հետ կապը։
related	կապված	Երկու խնդիրները կապված են։
relation	կապ	Նրանց միջև կապ կա։
relative	հարաբերական	Արագությունը հարաբերական է։
relaxed	հանգիստ	Ընթրիքից հետո նա իրեն հանգիստ զգաց։
relaxing	հանգստացնող	Երաժշտությունը հանգստացնող էր։
release	թողարկել	Նրանք շուտով կթողարկեն ֆիլմը։
reliable	վստահելի	Այս ավտոբուսը սովորաբար վստահելի է։
religion	կրոն	Կրոնը կարևոր է նրա համար։
religious	կրոնական	Նրանք այցելեցին կրոնական շենք։
remain	մնալ	Խնդրում եմ մնա հանգիստ։
remind	հիշեցնել	Վաղը հիշեցրու ինձ։
remote	հեռավոր	Նրանք ապրում են հեռավոր գյուղում։
rent	վարձ	Վարձը պետք է վճարել այսօր։
repeated	կրկնվող	Կրկնվող սխալները դանդաղեցրին աշխատանքը։
represent	ներկայացնել	Աստղը ներկայացնում է հույսը։
require	պահանջել	Այս աշխատանքը ուսուցում կպահանջի։
reservation	ամրագրում	Ես ամրագրում արեցի։
resource	ռեսուրս	Գրադարանը օգտակար ռեսուրս է։
respect	հարգանք	Հարգիր քո դասընկերներին։
responsibility	պատասխանատվություն	Երեխայի խնամքը մեծ պատասխանատվություն է։
responsible	պատասխանատու	Նա պատասխանատու է տոմսերի համար։
retire	թոշակի անցնել	Իմ հայրը շուտով թոշակի կանցնի։
retired	թոշակառու	Նա թոշակառու ուսուցիչ է։
revise	վերանայել	Այս երեկո վերանայիր շարադրությունդ։
risk	ռիսկ	Անձրևի ռիսկ կա։
robot	ռոբոտ	Ռոբոտը մաքրեց հատակը։
roll	գլորել	Գնդակը գլորիր դեպի ինձ։
romantic	ռոմանտիկ	Նրանք ռոմանտիկ ընթրիք ունեցան։
rope	պարան	Պարանը ամուր կապիր։
rough	անհարթ	Ճանապարհը անհարթ էր։
row1	շարք	Նստիր առաջին շարքում։
royal	արքայական	Արքայական ընտանիքը ժամանեց։
rugby	ռեգբի	Մենք հեռուստացույցով ռեգբի դիտեցինք։
safety	անվտանգություն	Անվտանգությունը կարևոր է աշխատանքի վայրում։
sailor	նավաստի	Նավաստին նորոգեց նավակը։
sample	նմուշ	Բուժքույրը վերցրեց արյան նմուշ։
sand	ավազ	Ավազը ծածկեց իմ կոշիկները։
scan	սկանավորել	Նախ սկանավորիր փաստաթուղթը։
scientific	գիտական	Սա գիտական մեթոդ է։
script	սցենար	Դերասանը կարդաց սցենարը։
sculpture	քանդակ	Քանդակը կանգնած է դրսում։
secondary	երկրորդական	Սա երկրորդական խնդիր է։
security	անվտանգություն	Անվտանգության աշխատակիցները ստուգեցին մեր պայուսակները։
seed	սերմ	Սերմը տնկիր հողի մեջ։
sensible	խելամիտ	Դա խելամիտ գաղափար է։
seriously	լրջորեն	Այս խնդրին լրջորեն վերաբերվիր։
servant	ծառա	Ծառան բացեց դուռը։
set (put)	դնել	Բաժակը դիր սեղանի վրա։
set (group)	հավաքածու	Այս հավաքածուն ներառում է վեց բաժակ։
setting	միջավայր	Պատմությունը ունի քաղաքային միջավայր։
sex	սեռ	Ձևաթուղթը հարցնում է տարիքի և սեռի մասին։
sexual	սեռական	Դասարանում քննարկեցին սեռական առողջությունը։
sharp	սուր	Այս դանակը սուր է։
shelf	դարակ	Գիրքը դիր դարակի վրա։
shell	պատյան	Պատյանը դատարկ էր։
shift	հերթափոխ	Իմ հերթափոխը սկսվում է ութին։
shine	փայլել	Աստղերը փայլում են գիշերը։
shiny	փայլուն	Նրա կոշիկները փայլուն են։
shoot	նկարահանել	Լուսանկարիչը կնկարահանի տեսարանը։
shy	ամաչկոտ	Նա ամաչկոտ է անծանոթների հետ։
sight	տեսարան	Լեռը գեղեցիկ տեսարան էր։
signal	ազդանշան	Ազդանշանը թույլ էր։
silent	լուռ	Սենյակը դարձավ լուռ։
silly	անմիտ	Դա անմիտ սխալ էր։
similarity	նմանություն	Կա հստակ նմանություն։
similarly	նմանապես	Երկրորդ պլանը նմանապես աշխատում է։
simply	պարզապես	Պարզապես սեղմիր այս կոճակը։
sink	սուզվել	Ծանր քարերը արագ սուզվում են։
slice	շերտ	Ես կերա տորթի մի շերտ։
slightly	մի փոքր	Սենյակը մի փոքր ավելի տաք է։
smart	նորաձև	Նա նորաձև բաճկոն էր հագել։
smooth	հարթ	Ճանապարհը հարթ է։
software	ծրագրակազմ	Ծրագրակազմը թարմացման կարիք ունի։
soil	հող	Հողը չոր է։
solid	պինդ	Պատը պինդ է։
southern	հարավային	Նրանք ապրում են հարավային ափին։
specifically	հատկապես	Ես հատկապես թեյ խնդրեցի։
spending	ծախսեր	Կառավարության ծախսերը աճեցին։
spicy	կծու	Այս կարին կծու է։
spirit	ոգի	Թիմը մեծ ոգի ցույց տվեց։
spoken	խոսակցական	Խոսակցական անգլերենը բարելավվում է փորձով։
spot	տեղ	Այս տեղը կատարյալ է։
spread	քսել	Կարագ քսիր հացի վրա։
stadium	մարզադաշտ	Մարզադաշտը լիքն էր։
staff	անձնակազմ	Անձնակազմը օգտակար էր։
standard	չափանիշ	Չափանիշը բարձր էր։
statistic	վիճակագրություն	Այս վիճակագրությունը զարմանալի է։
statue	արձան	Արձանը կանգնած է հրապարակում։
stick (push into/attach)	կպցնել	Պիտակը կպցրու տուփի վրա։
stick (piece of wood)	փայտ	Նա վերցրեց մի փայտ։
