source_headword	JA	example_JA
angel	天使	子供は天使の衣装を着ていました。
anonymous	匿名の	その苦情は匿名でした。
apparatus	器具	実験室の器具は掃除が必要です。
appealing	魅力的な	そのオファーは学生にとって魅力的に見えます。
appetite	食欲	運動により彼の食欲は増しました。
applaud	拍手する	観客は大きな声で拍手し始めました。
applicable	適用される	その割引は今日適用されます。
appoint	任命する	役員会は取締役を任命する予定です。
appreciation	感謝	彼女は彼らの助けに対して感謝の意を表しました。
arbitrary	恣意的な	その締め切りはスタッフにとって恣意的なものに思えました。
architectural	建築の	その都市は建築遺産を保護しています。
archive	アーカイブ	そのアーカイブには古い写真が保管されています。
arena	アリーナ	討論は公共のアリーナへと移りました。
arguably	ほぼ間違いなく	これはほぼ間違いなく彼の最高の小説です。
arm	武装させる	警備員は車列を武装させる予定です。
array	多数	その店は多数のツールを提供しています。
articulate	はっきりと表現する	彼女は複雑なアイデアをはっきりと表現することができます。
ash	灰	火事の後、灰が車を覆いました。
aspiration	願望	彼女の願望は外科医になることです。
aspire	熱望する	多くの学生が留学を熱望しています。
assassination	暗殺	その暗殺は国の政治を変えました。
assault	暴行	その暴行は駅の近くで起きました。
assemble	組み立てる	作業員は手作業で家具を組み立てます。
assembly	集会	学校の集会は9時に始まります。
assert	主張する	彼は自分の権威を主張しようとしました。
assertion	主張	彼女の主張は審査員を驚かせました。
assurance	保証	マネージャーはサポートの保証をしました。
asylum	亡命	その家族は国境で亡命を求めました。
atrocity	残虐行為	その映画は戦時の残虐行為について描いていました。
attain	到達する	その速度に到達するランナーはほとんどいません。
attendance	出席率	発表の後、出席率が向上しました。
attorney	弁護士	弁護士は証人を尋問しました。
attribute	帰する	科学者たちはその上昇を汚染に帰しています。
audit	監査	監査によりいくつかのエラーが見つかりました。
authentic	本格的な	そのレストランでは本格的な郷土料理を提供しています。
authorize	承認する	マネージャーだけが返金を承認できます。
auto	自動車	自動車産業は急速に変化した。
autonomy	自治	その地域はより大きな自治権を求めている。
availability	利用できること	座席の空き状況には限りがある。
await	待つ	いくつかのメッセージがあなたの返信を待っている。
backdrop	背景	山々が劇的な背景を形成した。
backing	支援	その提案は有権者からの支援を得た。
backup	バックアップ	システムは毎日バックアップを作成する。
bail	保釈金	裁判官は正午に保釈金を設定した。
ballot	投票用紙	各有権者は投票用紙を受け取った。
banner	横断幕	横断幕が入り口の上に掛けられていた。
bare	むき出しの	その部屋には何もない壁があった。
barrel	樽	樽は水でいっぱいだった。
bass1	低音	低音が深く温かみのある響きだった。
battlefield	戦場	古い戦場は記念碑になった。
bay	湾	その村は静かな湾のそばにある。
beam	梁	鋼鉄の梁が屋根を支えている。
beast	野獣	その物語は凶暴な野獣を描写している。
behalf	代理	彼女はチームを代表して話した。
beloved	愛される	その愛される教師は今日退職した。
bench	ベンチ	彼らは木製のベンチに座った。
benchmark	基準	そのテストは業界の基準となった。
beneath	～の下に	書類はフォルダーの下にあった。
beneficiary	受取人	彼女の息子が主な受取人だった。
betray	裏切る	友達の信頼を裏切ってはいけない。
bind	拘束する	その合意は両社を拘束する。
biography	伝記	彼の伝記は多くの部数を売り上げた。
bishop	司教	司教は村の教会を訪れた。
bizarre	奇妙な	その映画は奇妙な結末だった。
blade	刃	刃がロープを切った。
blast	爆発	爆発で近くの窓が割れた。
bleed	出血する	切り傷からひどく出血し始めた。
blend	混ぜる	なめらかになるまでソースを混ぜる。
bless	祝福する	司祭はその家を祝福する。
blessing	恵み	支援があったことは恵みだった。
boast	自慢する	彼はよくお金のことを自慢する。
bonus	ボーナス	従業員は休暇のボーナスを受け取った。
boom	ブーム	その都市は建設ブームを経験した。
bounce	弾む	そのボールはとても高く弾むことができる。
boundary	境界	川が境界を示している。
bow1	お辞儀	俳優は深くお辞儀をした。
breach	流出	その流出により個人データがさらされた。
breakdown	内訳	報告書には費用の内訳が含まれている。
breakthrough	飛躍的進歩	その発見は大きな飛躍的進歩だった。
breed	繁殖する	これらの鳥は春に繁殖する。
broadband	ブロードバンド	オフィスにはより高速なブロードバンドが必要だ。
browser	ブラウザ	ログインする前にブラウザを更新してください。
brutal	残酷な	その攻撃は残酷で突然だった。
buck	ドル	チケットは10ドルだ。
buddy	相棒	彼の相棒は外で待っていた。
buffer	緩衝材	木々が騒音の緩衝材となっている。
bulk	大量	彼らは米を大量に買った。
burden	負担	借金は重い負担となった。
bureaucracy	官僚主義	官僚主義が許可を遅らせた。
burial	埋葬	埋葬は夜明けに行われた。
burst	破裂する	配管は圧力で破裂するかもしれない。
cabinet	内閣	内閣はその計画を承認した。
calculation	計算	計算には数分かかった。
canvas	キャンバス	その芸術家は大きなキャンバスに絵を描いた。
capability	機能	そのデバイスにはワイヤレス機能がある。
capitalism	資本主義	資本主義が現代経済を形成した。
capitalist	資本主義の	資本主義体制は民間投資に報いる。
cargo	貨物	その船は医療貨物を運んでいた。
carriage	車両	列車の車両はほとんど空だった。
carve	彫る	彼は慎重に木を彫るつもりだ。
casino	カジノ	ホテルの近くにカジノがオープンした。
casualty	死傷者	衝突事故により死傷者が1名出た。
catalogue	カタログ	カタログにはすべての製品が載っている。
cater	料理を提供する	そのレストランは大規模なイベントに料理を提供できる。
cattle	牛	牛は川の近くで草を食べていた。
caution	注意	凍結した道路では注意してください。
cautious	慎重な	投資家は今週も慎重な姿勢を崩していない。
cease	中止する	その工場はまもなく生産を中止する。
cemetery	墓地	その墓地は海を見下ろしている。
chamber	会議場	投票中、議場は静かだった。
chaos	混乱	遅延により空港で混乱が生じた。
characterize	特徴づける	専門家はその計画を危険だと特徴づけている。
charm	魅力	その町には昔ながらの魅力がある。
charter	憲章	その憲章は基本的人権を保護している。
chronic	慢性の	彼は慢性の背中の痛みに苦しんでいる。
chunk	塊	チーズを塊に切る。
circulate	回覧する	今日、議題を回覧してください。
circulation	発行部数	その新聞の発行部数は急激に落ち込んだ。
citizenship	市民権	彼女はフランスの市民権を申請した。
civic	市民の	市民の指導者たちが会議に出席した。
civilian	民間人	いくつかの民間人の家屋が被害を受けた。
clarity	明確さ	その図は報告書に明確さを加えた。
clash	衝突	その衝突はデモ行進の後に始まった。
classification	分類	分類はサイズによって異なる。
cling	まとわりつく	濡れた服は肌にまとわりつく。
clinical	臨床の	臨床試験は来月始まる。
closure	終結	その家族は事件後の終結を求めていた。
cluster	群れ	近くに家々の集まりがあった。
coalition	連立	連立政権は過半数を失った。
coastal	沿岸の	沿岸の村々は洪水に備えた。
cocktail	カクテル	彼女はフルーツカクテルを注文した。
cognitive	認知の	認知能力は練習によって向上する。
coincide	同時に起こる	その祭りは卒業式と重なる。
collaborate	協力する	チームはソフトウェア開発で協力する。
collaboration	共同作業	彼らの共同作業は強力な結果を生み出した。
collective	集団の	その決定は集団による努力の賜物だった。
collision	衝突	衝突事故で高速道路が塞がれた。
colonial	植民地の	その建物は植民地時代の建築様式をしている。
columnist	コラムニスト	コラムニストはその政策を批判した。
combat	戦闘	兵士たちは戦闘の訓練を受けた。
commence	始まる	式典は正午に始まる。
commentary	実況解説	試合の実況解説は活気があった。
commentator	解説者	解説者はその判定について説明した。
commerce	商業	オンラインの商業が急速に成長した。
commissioner	委員	委員は新しい規則を発表した。
commodity	商品	小麦は重要な商品だ。
communist	共産主義の	共産党が会議を開いた。
companion	仲間	彼女の犬は忠実な仲間だ。
comparable	匹敵する	その2つの都市は大きさがほぼ同じだ。
compassion	思いやり	その看護師は大きな思いやりを示した。
compel	強いる	証拠があれば返答を余儀なくされるだろう。
compelling	説得力のある	そのドキュメンタリーは説得力のある主張をした。
compensate	補償する	会社は影響を受けた顧客に補償する予定だ。
compensation	補償	労働者たちは公正な補償を求めた。
competence	能力	そのテストは専門的な能力を測定する。
competent	有能な	彼女は有能なエンジニアだ。
compile	まとめる	研究者たちは病院からデータを収集してまとめた。
complement	引き立てる	そのワインは食事を引き立てるだろう。
complexity	複雑さ	そのプロジェクトは予期せぬ複雑さを持っている。
compliance	遵守	監査は法的な遵守状況を確認した。
complication	合併症	手術には合併症が1つあった。
comply	従う	企業は規制に従わなければならない。
composition	作曲	その楽曲にはバイオリンとピアノが含まれている。
compromise	妥協	その妥協案は双方を満足させた。
compute	計算する	そのプログラムは合計を計算することができる。
conceal	隠す	彼は被害を隠そうとした。
concede	認める	大臣は敗北を認めることを拒否した。
conceive	思いつく	彼らはより良い計画を思いつくことができなかった。
conception	概念	その映画は私の歴史に対する概念を変えた。
concession	譲歩	会社は1つ譲歩を申し出た。
condemn	非難する	指導者たちはその攻撃を公に非難している。
confer	授与する	その賞は名声をもたらすだろう。
confession	自白	彼の自白は法廷を驚かせた。
configuration	設定	その設定がネットワークアクセスを制御する。
confine	制限する	規則により犬はこのエリアに限定されている。
confirmation	確認	私たちはメールで確認を受け取った。
confront	立ち向かう	彼女はその問題に立ち向かうことを決心した。
confrontation	対立	対立は暴力なしで終わった。
congratulate	祝う	私は妹に祝いの電話をかけた。
congregation	会衆	会衆は一緒に歌を歌った。
congressional	議会の	議会の公聴会は何時間も続いた。
conquer	征服する	そのチームは市場を制覇することを望んでいる。
conscience	良心	彼の良心は嘘を許さなかった。
consciousness	意識	事故は彼の意識に影響を与えた。
consecutive	連続した	彼女は3試合連続で勝った。
consensus	意見の一致	委員会はすぐに合意に達した。
consent	同意	書面による同意が必要だ。
conserve	節約する	私たちは干ばつの間は水を節約する。
consistency	一貫性	言語学習では継続性が重要だ。
consolidate	統合する	その会社は2つのオフィスを統合する予定だ。
constituency	選挙区	候補者はすべての選挙区を訪問した。
constitute	構成する	女性が委員会の半分を占めている。
constitution	憲法	憲法は言論の自由を保証している。
constitutional	憲法の	裁判所は憲法上の権利を見直した。
constraint	制約	予算の制約がプロジェクトを制限した。
consultation	相談	相談は2週間に及んだ。
contemplate	熟考する	彼女は立ち止まってその申し出について考えた。
contempt	軽蔑	彼は規則に対する軽蔑を示した。
contend	競う	複数の企業がその契約を争っている。
contender	競争相手	彼女は強力な競争相手だ。
content2	満足して	彼は結果に満足した。
contention	論争	主な論争の的は資金調達に関するものだ。
continually	絶えず	システムは絶えずエラーをチェックしている。
contractor	請負業者	請負業者が屋根を修理した。
contradiction	矛盾	彼の発言には矛盾が含まれていた。
contrary	反対の	相反する証拠が事件を変えた。
contributor	寄稿者	彼女は定期的な寄稿者だ。
conversion	変換	その両替でドルがユーロに変換された。
convict	有罪を宣告する	陪審員は容疑者に有罪を宣告するかもしれない。
conviction	有罪判決	彼の有罪判決は世間を驚かせた。
cooperate	協力する	捜査に協力してください。
cooperative	協力的な	スタッフは協力的で落ち着いていた。
coordinate	調整する	彼らは毎朝配達の調整をしている。
coordination	連携	優れた連携によって時間を節約できた。
coordinator	コーディネーター	コーディネーターがそれぞれの任務を割り当てた。
cop	警官	警官が署の外に立っていた。
copper	銅	そのパイプは銅で作られている。
copyright	著作権	その画像は著作権で保護されている。
correction	訂正	先生は1つ訂正をした。
correlate	相関する	高いストレスは病気と相関する可能性がある。
correlation	相関関係	その研究は強い相関関係を発見した。
correspond	一致する	これらの数字はラベルと対応している。
correspondence	文通	彼らの文通は何年も続いた。
correspondent	特派員	特派員はカイロから報道した。
corresponding	対応する	各ボタンには対応するライトがある。
corrupt	腐敗した	その腐敗した役人は金銭を受け取った。
corruption	汚職	汚職により国民の信頼が弱まった。
costly	犠牲の大きい	そのミスはチームにとって高くついた。
councillor	議員	議員は住民たちの質問に答えた。
counselling	カウンセリング	彼女は事故の後にカウンセリングを受けた。
counsellor	カウンセラー	カウンセラーは新入生を助けた。
counter (argue against)	反論する	彼女は彼の主張に反論しようとした。
counterpart	相手役	彼は日本のカウンターパートと面会した。
countless	数え切れないほどの	数え切れないほどのボランティアが捜索に加わった。
coup	クーデター	クーデターにより大統領は解任された。
courtesy	礼儀	彼女は彼らの礼儀正しさに感謝した。
