source_headword	KK	example_KK
mysterious	жұмбақ	Сыртта жұмбақ жарық пайда болды.
neat	ұқыпты	Оның үстелі әрқашан ұқыпты.
nerve	жүйке	Жарақат жүйкені зақымдады.
nevertheless	дегенмен	Тапсырма қиын болды; дегенмен, біз оны аяқтадық.
nightmare	қорқынышты түс	Саяхат қорқынышты түске айналды.
notion	түсінік	Өзгеріс мүмкін емес деген түсініктен бас тартыңыз.
numerous	көптеген	Көптеген зерттеулер бұл идеяны қолдайды.
obey	бағыну	Жүргізушілер белгілерге бағынуы керек.
objective	мақсат	Біздің мақсатымыз – қалдықтарды азайту.
obligation	міндет	Ата-аналардың балаларды қорғауға міндеті бар.
observation	бақылау	Оның бақылауы талқылауды өзгертті.
observe	бақылау	Ғалымдар әр көктемде құстарды бақылайды.
obtain	алу	Сіз жазбаша рұқсат алуыңыз керек.
occasionally	кейде	Ол кейде үйден жұмыс істейді.
offence	реніш	Бұл пікір ауыр реніш тудырды.
offend	ренжіту	Мен ешкімді ренжіткім келген жоқ.
offensive	қорлайтын	Плакатта қорлайтын сөздер болды.
opening	бос жұмыс орны	Бос жұмыс орны көптеген үміткерлерді тартты.
operate	жұмыс істеу	Машина автоматты түрде жұмыс істей алады.
opponent	қарсылас	Оның қарсыласы саясатты сынға алды.
oppose	қарсы болу	Көптеген тұрғындар жоспарға қарсы.
opposed	қарама-қайшы	Топтардың көзқарастары қарама-қайшы болды.
opposition	қарсылық	Ұсыныс қатты қарсылыққа тап болды.
organ	мүше	Жүрек – маңызды мүше.
origin	шығу тегі	Өрттің шығу тегі белгісіз.
otherwise	әйтпесе	Қазір кетіңіз; әйтпесе, сіз кешігесіз.
outcome	нәтиже	Нәтиже барлығын таң қалдырды.
outer	сыртқы	Сыртқы қабырғаны жөндеу керек.
outline	қысқаша мазмұндау	Негізгі дәлеліңізді қысқаша мазмұндаңыз.
overall	жалпы	Жалпы нәтиже оң болды.
owe	қарыз болу	Мен сізден кешірім сұрауға қарызбын.
pace	қарқын	Бірқалыпты қарқынмен жүріңіз.
panel	панель	Панель климат саясатын талқылады.
parliament	парламент	Парламент жаңа заңды бекітті.
participant	қатысушы	Әрбір қатысушы формаға қол қойды.
partly	ішінара	Кешігу ішінара біздің кінәміз болды.
passage	мәтін үзіндісі	Жауап бермес бұрын мәтін үзіндісін оқыңыз.
pension1	зейнетақы	Оның зейнетақысы зейнетке шыққаннан кейін оны қамтамасыз етеді.
permanent	тұрақты	Оларға тұрақты шешім қажет.
permit	рұқсат ету	Ережелер қысқа келулерге рұқсат етеді.
perspective	көзқарас	Оның көзқарасын түсінуге тырысыңыз.
phase	кезең	Жоба өзінің соңғы кезеңіне аяқ басты.
phenomenon	құбылыс	Бұл құбылыс көптеген мәдениеттерде кездеседі.
philosophy	философия	Оның философиясы практикалық әрекетті бағалайды.
pile	үйінді	Үстел үстін бір үйінді қағаз жауып қалды.
pitch	алаң	Команда алаңды мұқият дайындады.
plain	түсінікті	Нұсқаулар түсінікті әрі нақты болды.
pointed	өткір	Ол өткір ескерту жасады.
popularity	танымалдылық	Әнші интернетте танымалдылыққа ие болды.
pose	тудыру	Бұл сұрақ мәселе тудыруы мүмкін.
possess	ие болу	Аз ғана студенттер бұл дағдыға ие.
potential	әлеует	Бұл идеяның нағыз әлеуеті бар.
praise	мақтау	Мұғалім шынайы мақтау айтты.
pregnant	жүкті	Оның жүкті болғанына алты ай болды.
preparation	дайындық	Жақсы дайындық күйзелісті азайтады.
presence	қатысу	Оның қатысуы көңіл-күйді өзгертті.
preserve	сақтап қалу	Біз бұл тарихи ғимаратты сақтап қалуымыз керек.
prime	негізгі	Негізгі себеп нашар жоспарлау болды.
principle	қағида	Шешім нақты қағидаға негізделді.
priority	басымдық	Қауіпсіздік біздің бірінші басымдығымыз.
privacy	құпиялылық	Тұтынушылар интернетте құпиялылықты күтеді.
procedure	рәсім	Рәсім отыз минутты алады.
proof	дәлел	Әрекет етпес бұрын бізге дәлел қажет.
proposal	ұсыныс	Ұсынысқа көбірек мәлімет қажет.
propose	ұсыну	Мен басқа шешімді ұсынамын.
prospect	ықтималдық	Сәтсіздік ықтималдығы оларды алаңдатты.
protection	қорғаныс	Дулыға негізгі қорғанысты қамтамасыз етеді.
psychologist	психолог	Психолог тест нәтижелерін түсіндірді.
psychology	психология	Ол университетте психологияны оқиды.
publication	жарияланым	Жарияланым жұртшылықтың назарын аударды.
pupil	оқушы	Әр оқушы жаңа оқулық алды.
purchase	сатып алу	Олар ай сайын қорларды сатып алады.
pure	таза	Су таза әрі салқын болды.
pursue	жалғастыру	Ол медициналық мансабын жалғастырады.
rank	дәреже	Ол жоғары дәрежеге ие.
rapid	қарқынды	Елде қарқынды өсу байқалды.
rapidly	тез	Биыл бағалар тез өсті.
raw	шикі	Аспаз шикі көкөністерді дайындады.
realistic	шынайы	Шынайы мерзімді белгілеңіз.
reasonable	орынды	Бұл орынды өтініш сияқты.
recall	еске түсіру	Мен оның нақты сөздерін есіме түсіремін.
recover	сауығу	Ол емделгеннен кейін сауығып кетеді.
reduction	азайту	Азайту ақшаны үнемдеді.
regard	есептеу	Көптеген адамдар оны адал деп санайды.
regional	аймақтық	Аймақтық кеңсе бүгін жабылды.
register	тіркелу	Конференция алдында тіркеліңіз.
regret	өкіну	Мен бұрынғы шешіміме өкінемін.
regulation	ереже	Жаңа ереже барлық жүргізушілерге әсер етеді.
relatively	салыстырмалы түрде	Емтихан салыстырмалы түрде оңай болды.
relevant	сәйкес	Тек сәйкес мәліметтерді таңдаңыз.
relief	жеңілдік	Жаңалық үлкен жеңілдік әкелді.
rely	сүйену	Балалар ересектердің қолдауына сүйенеді.
remark	пікір	Оның пікірі талқылауды аяқтады.
representative	өкіл	Өкіл жергілікті жұмысшылармен кездесті.
reputation	бедел	Қонақ үйдің жақсы беделі бар.
requirement	талап	Тәжірибе негізгі талап болып табылады.
rescue	құтқару	Олар адамдарды су тасқынынан құтқарады.
reserve	броньдау	Біз қонақтар үшін орындарды броньдаймыз.
resident	тұрғын	Әрбір тұрғынға хабарлама берілді.
resist	қарсы тұру	Қысымға қарсы тұруға тырысыңыз.
resolve	шешу	Олар дауды бейбіт жолмен шешті.
resort	курорт	Аралдағы курорт мамыр айында ашылды.
retain	сақтап қалу	Компания қызметкерлерді сақтап қалғысы келеді.
reveal	ашу	Есеп шындықты ашады.
revolution	революция	Революция елді өзгертті.
reward	сыйлық	Қажырлы еңбек сыйлыққа лайық.
rhythm	ырғақ	Өлеңнің тұрақты ырғағы бар.
rid	құтылу	Сол ескі файлдардан құтылыңыз.
root	түбір	Мәселенің түбірі ақшада.
rub	ысқылау	Бетті шүберекпен ысқылаңыз.
rubber	резеңке	Резеңке тығыздағыш ағып кетуді болдырмайды.
rural	ауылдық	Көптеген ауыл мектептері қолдауды қажет етеді.
rush	асығу	Бұл шешімге асықпаңыз.
satellite	жерсерік	Жерсерік жаңа суреттер жіберді.
satisfied	қанағаттанған	Тұтынушы қанағаттанған сияқты көрінді.
satisfy	қанағаттандыру	Жауап оны қанағаттандырмады.
saving	үнемдеу	Энергияны үнемдеу ай сайынғы шығындарды азайтады.
scale	ауқым	Зақым ауқымы үлкен болды.
scheme	бағдарлама	Бағдарлама жас жұмысшыларға көмектеседі.
scream	айқай	Олар далада айқай естіді.
sector	сектор	Технология секторы өсіп келеді.
secure	қауіпсіздендіру	Оны қауіпсіздендіру үшін есікті құлыптаңыз.
seek	іздеу	Олар сарапшылардан кеңес іздейді.
select	таңдау	Ең жақсы нұсқаны таңдаңыз.
selection	таңдау	Дүкен кең таңдауды ұсынады.
self	өзін	Ол өзінің шынайы болмысын көрсетті.
senior	аға	Аға дәрігер науқасты тексерді.
sensitive	нәзік	Бұл тақырып өте нәзік.
sequence	тізбек	Қадамдар тізбегін орындаңыз.
session	сессия	Оқу сессиясы түсте басталады.
settle	шешу	Олар дауды тез шешті.
severe	қатты	Дауыл қатты су тасқынын тудырды.
shade	көлеңке	Көлеңкеде отырыңыз.
shadow	көлеңке	Терезеден көлеңке өтті.
shallow	таяз	Мұнда көл таяз.
shame	ұят	Ол өтірік айтқаннан кейін ұяты сезінді.
shelter	баспана	Мектеп төтенше баспана берді.
shock	шок	Шешім шок болды.
shocked	таңғалған	Ол жаңалыққа таңғалған сияқты болды.
shooting	атыс	Атыс станцияның жанында болды.
shot	соққы	Жеңіс соққысы барлығын таңғалдырды.
significant	маңызды	Жаңалық маңызды болды.
significantly	айтарлықтай	Былтыр шығындар айтарлықтай өсті.
silence	тыныштық	Бөлмеге тыныштық орнады.
silk	жібек	Көйлек жібектен тігілген.
sincere	шынайы	Шынайы алғысымды қабыл алыңыз.
slave	құл	Заң барлық құлдарды босатты.
slide	сырғанау	Бала сырғанақтан төмен сырғанады.
slight	аздаған	Аздаған кешігу болды.
slip	тайып кету	Су еденде тайып кетпеңіз.
slope	беткей	Жол тік беткеймен өтеді.
solar	күн	Үй күн энергиясын пайдаланады.
somewhat	аздап	Нұсқаулар аздап түсініксіз болды.
soul	жан	Музыка оның жанын жадыратты.
specialist	маман	Маман науқасты тексерді.
species	түр	Бұл түр өзен жағасында мекендейді.
spiritual	рухани	Ол рухани тәжірибесі туралы айтып берді.
split	бөлісу	Олар шотты тең бөлісті.
sponsor	демеушілік ету	Компания іс-шараға демеушілік етеді.
stable	тұрақты	Науқастың жағдайы тұрақты.
stare	қадала қарау	Бейтаныс адамдарға қадала қарамаңыз.
status	мәртебе	Оның мәртебесі бір түнде өзгерді.
steady	тұрақты	Тұрақты жылдамдықты сақтаңыз.
steel	болат	Көпір болаттан жасалған.
steep	тік	Төбе тік екен.
sticky	жабысқақ	Еден жабысқақ сияқты.
stiff	сірескен	Оның иығы қатып қалды.
stock	қор	Дүкенде қор қалмады.
stream	бұлақ	Даладан кішкентай бұлақ ағып өтеді.
stretch	созу	Ұшудан кейін аяғыңызды созыңыз.
strict	қатаң	Мектепте қатаң ережелер бар.
strike	ереуілге шығу	Жұмысшылар ертең ереуілге шығуы мүмкін.
struggle	қиналу	Көптеген отбасылар пәтерақы төлеуге қиналады.
submit	тапсыру	Форманы жұмаға дейін тапсырыңыз.
sum	сома	Сома күткеннен жоғары болды.
surgery	ота	Ота екі сағатқа созылды.
surround	қоршау	Үйді биік ағаштар қоршап тұр.
surrounding	айналадағы	Айналадағы аймақ тыныш.
suspect	күдіктену	Полиция жергілікті тұрғыннан күдіктенеді.
swear	боқтау	Сыныпта боқтамаңыз.
sweep	сыпыру	Қонақтар келмес бұрын еденді сыпырыңыз.
sympathy	жанашырлық	Ол құрбандарға жанашырлық білдірді.
tale	ертегі	Әжем біртүрлі ертегі айтып берді.
tank	бак	Бакта таза су бар.
tear1	жырту	Құжатты жыртпаңыз.
tear2	көз жасы	Оның бетінен көз жасы домалап түсті.
temporary	уақытша	Кеңсе уақытша баспана болып табылады.
therapy	терапия	Физикалық терапия оның сауығып кетуіне көмектесті.
threat	қауіп	Хабарламада қауіп болды.
threaten	қауіп төндіру	Дауыл егінге қауіп төндіруі мүмкін.
thus	осылайша	Жол жабық болды; осылайша, біз күттік.
tone	үн	Оның үні сабырлы естілді.
tough	қиын	Сұхбат қиын болды.
transfer	аудару	Олар әр түн сайын деректерді аударады.
transform	өзгерту	Жаңа саясат қызметтерді өзгертеді.
transition	ауысу	Ауысу бірнеше айға созылды.
trial	сот	Сот келесі аптада басталады.
tropical	тропикалық	Бұл жерде тропикалық дауылдар жиі болады.
truly	шынымен	Мен сіздің көмегіңізді шынымен бағалаймын.
trust	сенім	Сенім орнату үшін уақыт қажет.
tune	әуен	Топ көңілді әуен ойнады.
tunnel	тоннель	Тоннель өзеннің астынан өтеді.
ultimately	түптеп келгенде	Түптеп келгенде, жоспар сәтті болды.
unconscious	ес-түссіз	Науқас ес-түссіз жатты.
unexpected	күтпеген	Кешігу күтпеген жағдай болды.
unique	бірегей	Әрбір дизайн бірегей.
universe	ғалам	Ғалам кеңейіп жатыр.
unknown	белгісіз	Аты белгісіз күйде қалды.
upper	жоғарғы	Жоғарғы сөре бос.
upwards	жоғары	Түтін жоғары көтерілді.
urban	қалалық	Қалалық аймақтарға жақсырақ көлік қажет.
urge	шақыру	Дәрігерлер адамдарды жаттығу жасауға шақырады.
vary	өзгеру	Бағалар аймаққа байланысты өзгереді.
vast	кең	Шөл кең аумақты алып жатыр.
venue	өтетін орын	Өтетін орынға бес жүз адам сыяды.
via	арқылы	Құжатты электрондық пошта арқылы жіберіңіз.
victory	жеңіс	Команда өз жеңісін атап өтті.
violence	зорлық-зомбылық	Қала саяси зорлық-зомбылықтан зардап шекті.
virtual	виртуалды	Жиналыс виртуалды түрде өтеді.
vision	көзқарас	Оның көзқарасы компанияны қалыптастырды.
visual	визуалды	Есепте визуалды мысалдар бар.
vital	өмірлік маңызды	Су өмір үшін өте маңызды.
vitamin	дәрумен	Апельсинде С дәрумені бар.
volume	дыбыс көлемі	Дыбысты азайтыңыз.
wage	жалақы	Жұмысшылар жоғары жалақы талап етті.
weakness	әлсіздік	Жоспардың бір әлсіз тұсы бар.
wealth	байлық	Оның байлығы саудадан келді.
wealthy	дәулетті	Дәулетті отбасы мұражайды қаржыландырды.
whereas	ал	Ол шайды жақсы көреді, ал мен кофе ішкенді қалаймын.
wherever	қай жерде болса да	Ыңғайлы жерге отырыңыз.
whisper	сыбырлау	Рәсім кезінде сыбырлап сөйлеңіз.
whom	кімді	Сіз кімді шақырдыңыз?
widely	кеңінен	Бұл кітап кеңінен оқылады.
wildlife	жабайы табиғат	Саябақ жергілікті жабайы табиғатты қорғайды.
willing	дайын	Ол көмектесуге дайын.
wind2	орау	Кабельді катушкаға ораңыз.
wire	сым	Сым екі құрылғыны қосады.
wise	ақылды	Бұл ақылды таңдау болды.
witness	куәгер	Куәгер жол апатын сипаттап берді.
wound	жара	Жараны мұқият тазалаңыз.
wrap	орау	Сыйлықты қағазға ораңыз.
zone	аймақ	Бұл аймақ көлік қозғалысы үшін жабық.
