hsk_key	source_word	simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
327:打1	打1	打	電話をかける	父に電話をかけます。	전화하다	저는 아버지께 전화해요.	gọi điện	Tôi gọi điện cho bố.	โทร	ฉันโทรหาพ่อ	telefon; membuat panggilan	Saya telefon ayah saya.	menelepon	Saya menelepon ayah.
328:打车	打车	打车	タクシーに乗る	私たちはタクシーで空港へ行きます。	택시를 타다	우리는 택시를 타고 공항에 가요.	bắt taxi	Chúng tôi bắt taxi đi sân bay.	เรียกแท็กซี่; นั่งแท็กซี่	พวกเราไปสนามบินด้วยแท็กซี่	naik teksi	Kami naik teksi ke lapangan terbang.	naik taksi	Kami naik taksi ke bandara.
329:打开	打开	打开	開ける	本を開いてください。	열다	책을 펴 주세요.	mở	Làm ơn mở sách ra.	เปิด	กรุณาเปิดหนังสือ	buka	Sila buka buku.	membuka	Tolong buka bukunya.
330:但	但	但	しかし; でも	私は忙しいですが、うれしいです。	하지만; 그러나	저는 바쁘지만 기뻐요.	nhưng	Tôi rất bận, nhưng tôi vui.	แต่	ฉันยุ่งมาก แต่ฉันดีใจ	tetapi; namun	Saya sibuk, tetapi saya gembira.	tetapi; namun	Saya sibuk, tetapi saya senang.
338:动	动	动	動く	動かないでください。	움직이다	움직이지 마세요.	động; di chuyển	Đừng cử động.	ขยับ; เคลื่อนไหว	อย่าขยับ	bergerak	Jangan bergerak.	bergerak	Jangan bergerak.
340:飞	飞	飞	飛ぶ	鳥が空を飛んでいます。	날다	새가 하늘을 날고 있어요.	bay	Con chim đang bay trên trời.	บิน	นกบินอยู่บนท้องฟ้า	terbang	Burung itu terbang di langit.	terbang	Burung terbang di langit.
342:高中	高中	高中	高校	兄は高校で勉強しています。	고등학교	형은 고등학교에서 공부해요.	trường trung học phổ thông	Anh trai tôi học ở trường trung học phổ thông.	โรงเรียนมัธยมปลาย	พี่ชายของฉันเรียนอยู่มัธยมปลาย	sekolah menengah atas	Abang saya belajar di sekolah menengah atas.	sekolah menengah atas	Kakak laki-laki saya belajar di SMA.
346:公交车	公交车	公交车	バス	私はバスで学校へ行きます。	버스	저는 버스를 타고 학교에 가요.	xe buýt	Tôi đi xe buýt đến trường.	รถเมล์; รถประจำทาง	ฉันนั่งรถเมล์ไปโรงเรียน	bas	Saya naik bas ke sekolah.	bus kota	Saya naik bus kota ke sekolah.
348:过来	过来	过来	こちらへ来る	ちょっとこちらへ来てください。	오다; 이리 오다	잠깐 이리 와 주세요.	lại đây; đi tới	Làm ơn lại đây một lát.	มาทางนี้	กรุณามาทางนี้สักครู่	datang ke sini	Tolong datang ke sini sebentar.	datang ke sini	Tolong datang ke sini sebentar.
349:过年	过年	过年	新年を祝う	私たちは新年を祝うために家へ帰ります。	새해를 보내다; 설을 쇠다	우리는 새해를 보내러 집에 가요.	ăn Tết; đón năm mới	Chúng tôi về nhà ăn Tết.	ฉลองปีใหม่	พวกเรากลับบ้านไปฉลองปีใหม่	menyambut Tahun Baru	Kami pulang ke rumah untuk menyambut Tahun Baru.	merayakan Tahun Baru	Kami pulang untuk merayakan Tahun Baru.
353:黑色	黑色	黑色	黒色; 黒い色	黒い通学かばんはベッドの上にあります。	검은색; 까만색	검은 책가방이 침대 위에 있어요.	màu đen	Cặp sách màu đen ở trên giường.	สีดำ	กระเป๋านักเรียนสีดำอยู่บนเตียง	warna hitam	Beg sekolah hitam itu ada di atas katil.	warna hitam	Tas sekolah hitam ada di atas tempat tidur.
354:红茶	红茶	红茶	紅茶	母は紅茶を飲むのが好きです。	홍차	엄마는 홍차 마시는 것을 좋아해요.	trà đen; hồng trà	Mẹ thích uống trà đen.	ชาดำ	แม่ชอบดื่มชาดำ	teh hitam	Ibu suka minum teh hitam.	teh hitam	Ibu suka minum teh hitam.
355:红色	红色	红色	赤色; 赤い色	私は赤い服を一着持っています。	빨간색; 붉은색	저는 빨간 옷이 한 벌 있어요.	màu đỏ	Tôi có một bộ quần áo màu đỏ.	สีแดง	ฉันมีเสื้อผ้าสีแดงหนึ่งตัว	warna merah	Saya ada sehelai pakaian merah.	warna merah	Saya punya satu pakaian merah.
361:回来	回来	回来	帰ってくる	彼は夜に帰ってきます。	돌아오다	그는 저녁에 돌아와요.	quay lại; trở về	Anh ấy buổi tối sẽ về.	กลับมา	เขาจะกลับมาตอนเย็น	kembali; pulang	Dia pulang pada waktu malam.	kembali; pulang	Dia pulang pada malam hari.
362:回去	回去	回去	戻って行く; 帰る	授業のあと、私は戻ります。	돌아가다	저는 수업이 끝난 뒤 돌아가요.	quay về; trở lại	Sau giờ học tôi quay về.	กลับไป	หลังเลิกเรียนฉันกลับไป	kembali; pulang	Saya kembali selepas kelas.	kembali; pulang	Setelah kelas, saya kembali.
364:机票	机票	机票	航空券	航空券を一枚買いました。	비행기표; 항공권	저는 비행기표를 한 장 샀어요.	vé máy bay	Tôi đã mua một vé máy bay.	ตั๋วเครื่องบิน	ฉันซื้อตั๋วเครื่องบินหนึ่งใบ	tiket kapal terbang	Saya membeli sekeping tiket kapal terbang.	tiket pesawat	Saya membeli satu tiket pesawat.
366:间	间	间	部屋を数える量詞	これは一つの教室です。	방을 세는 의존명사	이것은 교실 한 칸이에요.	lượng từ cho phòng	Đây là một phòng học.	ลักษณนามสำหรับห้อง	นี่คือห้องเรียนหนึ่งห้อง	penjodoh bilangan untuk bilik	Ini sebuah bilik darjah.	kata bantu bilangan untuk ruangan	Ini satu ruang kelas.
372:进来	进来	进来	入ってくる	入ってください。	들어오다	들어오세요.	đi vào; vào trong	Xin mời vào.	เข้ามา	เชิญเข้ามา	masuk ke dalam	Sila masuk.	masuk ke dalam	Silakan masuk.
373:进去	进去	进去	入って行く	入りましょう。	들어가다	우리 들어가요.	đi vào	Chúng ta vào đi.	เข้าไป	เข้าไปกันเถอะ	masuk	Mari masuk.	masuk	Ayo masuk.
375:酒店	酒店	酒店	ホテル	ホテルは空港にとても近いです。	호텔; 숙소	호텔은 공항과 아주 가까워요.	khách sạn	Khách sạn rất gần sân bay.	โรงแรม	โรงแรมอยู่ใกล้สนามบินมาก	hotel; tempat penginapan	Hotel itu sangat dekat dengan lapangan terbang.	hotel; penginapan	Hotel itu sangat dekat dengan bandara.
379:开学	开学	开学	新学期が始まる	明日から学校が始まります。	개학하다	내일 개학해요.	khai giảng; bắt đầu năm học	Ngày mai bắt đầu năm học.	เปิดเทอม	พรุ่งนี้เปิดเทอม	mula sekolah	Sekolah bermula esok.	mulai sekolah	Besok mulai sekolah.
380:考	考	考	試験を受ける; テストする	明日、中国語の試験があります。	시험을 보다; 시험하다	저는 내일 중국어 시험을 봐요.	thi; kiểm tra	Ngày mai tôi thi tiếng Trung.	สอบ; ทดสอบ	พรุ่งนี้ฉันสอบภาษาจีน	mengambil peperiksaan; menguji	Esok saya ada peperiksaan bahasa Cina.	mengikuti ujian; menguji	Besok saya ujian bahasa Mandarin.
386:快要	快要	快要	もうすぐ; まもなく	電車がもうすぐ着きます。	곧; 거의	기차가 곧 도착해요.	sắp; gần như	Tàu sắp đến rồi.	ใกล้จะ; กำลังจะ	รถไฟใกล้จะมาถึงแล้ว	hampir; tidak lama lagi	Kereta api hampir tiba.	segera; hampir	Kereta hampir tiba.
387:篮球	篮球	篮球	バスケットボール	私はバスケットボールをするのが好きです。	농구	저는 농구하는 것을 좋아해요.	bóng rổ	Tôi thích chơi bóng rổ.	บาสเกตบอล	ฉันชอบเล่นบาสเกตบอล	bola keranjang	Saya suka bermain bola keranjang.	bola basket	Saya suka bermain bola basket.
390:里面	里面	里面	中; 内側	本は通学かばんの中にあります。	안; 안쪽	책은 책가방 안에 있어요.	bên trong	Quyển sách ở trong cặp sách.	ข้างใน	หนังสืออยู่ข้างในกระเป๋านักเรียน	dalam; bahagian dalam	Buku itu ada di dalam beg sekolah.	di dalam	Buku itu ada di dalam tas sekolah.
393:路上	路上	路上	道中; 途中	私は途中にいます。	길 위; 가는 길	저는 가는 길이에요.	trên đường; đang trên đường	Tôi đang trên đường.	ระหว่างทาง	ฉันกำลังอยู่ระหว่างทาง	dalam perjalanan	Saya sedang dalam perjalanan.	di jalan; dalam perjalanan	Saya sedang dalam perjalanan.
395:绿茶	绿茶	绿茶	緑茶	父は緑茶を飲むのが好きです。	녹차	아빠는 녹차 마시는 것을 좋아해요.	trà xanh	Bố thích uống trà xanh.	ชาเขียว	พ่อชอบดื่มชาเขียว	teh hijau	Ayah suka minum teh hijau.	teh hijau	Ayah suka minum teh hijau.
396:绿色	绿色	绿色	緑色; 緑の色	このカップは緑色です。	초록색; 녹색	이 컵은 초록색이에요.	màu xanh lá	Chiếc cốc này màu xanh lá.	สีเขียว	แก้วใบนี้สีเขียว	warna hijau	Cawan ini berwarna hijau.	warna hijau	Cangkir ini berwarna hijau.
398:没意思	没意思	没意思	つまらない; 面白くない	この映画はつまらないです。	재미없다	이 영화는 재미없어요.	chán; không thú vị	Bộ phim này chán.	น่าเบื่อ; ไม่น่าสนใจ	หนังเรื่องนี้น่าเบื่อ	membosankan; tidak menarik	Filem ini membosankan.	membosankan; tidak menarik	Film ini membosankan.
401:门口	门口	门口	入口; 門のところ	学校の入口であなたを待っています。	입구; 문 앞	저는 학교 입구에서 당신을 기다려요.	cửa ra vào; lối vào	Tôi đợi bạn ở cổng trường.	หน้าประตู; ทางเข้า	ฉันรอเธออยู่ที่หน้าประตูโรงเรียน	pintu masuk; depan pintu	Saya tunggu kamu di pintu masuk sekolah.	pintu masuk; depan pintu	Saya menunggumu di pintu masuk sekolah.
402:门票	门票	门票	入場券	入場券は高くありません。	입장권	입장권은 비싸지 않아요.	vé vào cửa	Vé vào cửa không đắt.	ตั๋วเข้าชม	ตั๋วเข้าชมไม่แพง	tiket masuk	Tiket masuk itu tidak mahal.	tiket masuk	Tiket masuknya tidak mahal.
403:面1	面1	面	側; 表面; 場所を表す接尾語	外では雨が降っています。	쪽; 면; 장소 접미사	밖에 비가 와요.	mặt; bề mặt; hậu tố chỉ nơi chốn	Bên ngoài đang mưa.	ด้าน; พื้นผิว; ปัจจัยบอกตำแหน่ง	ข้างนอกฝนตก	sisi; permukaan; akhiran tempat	Di luar sedang hujan.	sisi; permukaan; akhiran tempat	Di luar sedang hujan.
404:名	名	名	人を数える量詞	これは一人の先生です。	사람을 세는 말	이분은 선생님 한 분이에요.	lượng từ cho người	Đây là một giáo viên.	ลักษณนามสำหรับคน	นี่คือครูหนึ่งคน	penjodoh bilangan untuk orang	Ini seorang guru.	kata bantu bilangan untuk orang	Ini seorang guru.
406:那么	那么	那么	そんなに; そのように	彼はそんなに忙しくありません。	그렇게; 그토록	그는 그렇게 바쁘지 않아요.	như vậy; đến thế	Anh ấy không bận đến thế.	อย่างนั้น; ขนาดนั้น	เขาไม่ได้ยุ่งขนาดนั้น	begitu; sebegitu	Dia tidak begitu sibuk.	begitu; sedemikian	Dia tidak begitu sibuk.
407:那样	那样	那样	そのように; あんなふうに	そのように言わないでください。	그렇게; 그런 식으로	그렇게 말하지 마세요.	như thế; kiểu đó	Đừng nói như thế.	อย่างนั้น	อย่าพูดอย่างนั้น	begitu; cara itu	Jangan cakap begitu.	begitu; seperti itu	Jangan berkata seperti itu.
408:奶茶	奶茶	奶茶	ミルクティー	ミルクティーを飲みたいです。	밀크티	저는 밀크티를 마시고 싶어요.	trà sữa	Tôi muốn uống trà sữa.	ชานม	ฉันอยากดื่มชานม	teh susu	Saya mahu minum teh susu.	teh susu	Saya ingin minum teh susu.
410:男孩儿	男孩儿	男孩儿	男の子	あの男の子は走っています。	남자아이; 소년	그 남자아이가 뛰고 있어요.	cậu bé	Cậu bé đó đang chạy.	เด็กผู้ชาย	เด็กผู้ชายคนนั้นกำลังวิ่ง	budak lelaki	Budak lelaki itu sedang berlari.	anak laki-laki	Anak laki-laki itu sedang berlari.
412:女孩儿	女孩儿	女孩儿	女の子	あの女の子は踊るのが好きです。	여자아이; 소녀	그 여자아이는 춤추는 것을 좋아해요.	cô bé	Cô bé đó thích nhảy múa.	เด็กผู้หญิง	เด็กผู้หญิงคนนั้นชอบเต้น	budak perempuan	Budak perempuan itu suka menari.	anak perempuan	Anak perempuan itu suka menari.
414:跑	跑	跑	走る	彼はとても速く走ります。	뛰다; 달리다	그는 아주 빨리 뛰어요.	chạy	Anh ấy chạy rất nhanh.	วิ่ง	เขาวิ่งเร็วมาก	berlari	Dia berlari sangat laju.	berlari	Dia berlari sangat cepat.
421:球	球	球	ボール	このボールは赤いです。	공	이 공은 빨간색이에요.	quả bóng	Quả bóng này màu đỏ.	ลูกบอล	ลูกบอลลูกนี้สีแดง	bola	Bola ini berwarna merah.	bola	Bola ini berwarna merah.
423:肉	肉	肉	肉; にく	私は肉を食べません。	고기	저는 고기를 먹지 않아요.	thịt	Tôi không ăn thịt.	เนื้อสัตว์	ฉันไม่กินเนื้อสัตว์	daging	Saya tidak makan daging.	daging	Saya tidak makan daging.
424:商场	商场	商场	ショッピングモール	ショッピングモールには人がたくさんいます。	쇼핑몰; 상가	쇼핑몰 안에 사람이 많아요.	trung tâm thương mại	Trong trung tâm thương mại có rất nhiều người.	ห้างสรรพสินค้า	ในห้างมีคนมากมาย	pusat beli-belah	Ada ramai orang di pusat beli-belah.	pusat perbelanjaan	Ada banyak orang di pusat perbelanjaan.
425:上来	上来	上来	上がってくる	上がってきてください。	올라오다	올라오세요.	đi lên đây	Làm ơn lên đây.	ขึ้นมา	กรุณาขึ้นมา	naik ke sini	Sila naik ke sini.	naik ke sini	Tolong naik ke sini.
426:上面	上面	上面	上; 上側	本は机の上にあります。	위; 위쪽	책은 책상 위에 있어요.	phía trên; bên trên	Quyển sách ở trên bàn.	ข้างบน; ด้านบน	หนังสืออยู่บนโต๊ะ	atas; bahagian atas	Buku itu ada di atas meja.	di atas; bagian atas	Buku itu ada di atas meja.
427:上去	上去	上去	上がって行く	上へ行って見てみましょう。	올라가다	우리 올라가서 봐요.	đi lên	Chúng ta lên xem nhé.	ขึ้นไป	พวกเราขึ้นไปดูกันเถอะ	naik ke atas	Mari naik untuk melihat.	naik ke atas	Ayo naik dan melihat-lihat.
431:时	时	时	時; その時	その時、私は学校にいました。	때; 시간	그때 저는 학교에 있었어요.	thời gian; lúc	Khi đó tôi ở trường.	เวลา; ตอนนั้น	ตอนนั้นฉันอยู่ที่โรงเรียน	masa; ketika itu	Pada masa itu saya berada di sekolah.	waktu; saat	Pada waktu itu saya berada di sekolah.
433:手	手	手	手; て	私の手は冷たいです。	손	제 손이 차가워요.	tay	Tay tôi lạnh.	มือ	มือของฉันเย็น	tangan	Tangan saya sejuk.	tangan	Tangan saya dingin.
435:书包	书包	书包	通学かばん; リュック	私の通学かばんは大きいです。	책가방	제 책가방은 커요.	cặp sách	Cặp sách của tôi rất to.	กระเป๋านักเรียน	กระเป๋านักเรียนของฉันใบใหญ่	beg sekolah	Beg sekolah saya besar.	tas sekolah	Tas sekolah saya besar.
438:虽然	虽然	虽然	けれども; とはいえ	雨が降っていますが、私はまだ出かけなければなりません。	비록; 하지만	비가 오지만 저는 그래도 나가야 해요.	mặc dù	Mặc dù trời mưa, tôi vẫn phải ra ngoài.	แม้ว่า	แม้ว่าฝนตก ฉันยังต้องออกไป	walaupun	Walaupun hujan, saya masih perlu keluar.	meskipun	Meskipun hujan, saya tetap harus keluar.
441:踢	踢	踢	蹴る	彼はサッカーをするのが好きです。	차다	그는 축구하는 것을 좋아해요.	đá	Anh ấy thích chơi bóng đá.	เตะ	เขาชอบเตะฟุตบอล	tendang; menyepak	Dia suka bermain bola sepak.	menendang	Dia suka bermain sepak bola.
445:头	头	头	頭	頭が痛いです。	머리	제 머리가 아파요.	đầu	Tôi đau đầu.	ศีรษะ; หัว	ฉันปวดหัว	kepala	Kepala saya sakit.	kepala	Kepala saya sakit.
446:外国	外国	外国	外国; がいこく	彼は外国で働いています。	외국	그는 외국에서 일해요.	nước ngoài	Anh ấy làm việc ở nước ngoài.	ต่างประเทศ	เขาทำงานอยู่ต่างประเทศ	negara asing; luar negara	Dia bekerja di luar negara.	negara asing; luar negeri	Dia bekerja di luar negeri.
447:外面	外面	外面	外	外は寒いです。	밖; 바깥	밖은 추워요.	bên ngoài	Bên ngoài rất lạnh.	ข้างนอก	ข้างนอกหนาวมาก	luar; di luar	Di luar sejuk.	di luar	Di luar dingin.
450:往	往	往	...へ; ...の方へ	前へ進んでください。	...쪽으로; 향해	앞쪽으로 가 주세요.	hướng về; đi về phía	Làm ơn đi về phía trước.	ไปทาง; มุ่งไปทาง	กรุณาเดินไปข้างหน้า	ke arah; menuju	Sila berjalan ke hadapan.	ke arah; menuju	Tolong berjalan ke depan.
451:网上	网上	网上	オンラインで; インターネット上で	私はオンラインで本を買います。	온라인; 인터넷에서	저는 인터넷에서 책을 사요.	trên mạng; trên internet	Tôi mua sách trên mạng.	ออนไลน์; บนอินเทอร์เน็ต	ฉันซื้อหนังสือออนไลน์	dalam talian; di internet	Saya beli buku dalam talian.	online; di internet	Saya membeli buku secara online.
452:忘	忘	忘	忘れる	彼の名前を忘れました。	잊다	저는 그의 이름을 잊었어요.	quên	Tôi quên tên anh ấy rồi.	ลืม	ฉันลืมชื่อของเขา	lupa	Saya lupa namanya.	lupa	Saya lupa namanya.
458:下来	下来	下来	下りてくる	下りてきてください。	내려오다	내려오세요.	đi xuống đây	Làm ơn xuống đây.	ลงมา	กรุณาลงมา	turun ke sini	Sila turun ke sini.	turun ke sini	Tolong turun ke sini.
459:下面	下面	下面	下; 下側	猫は机の下にいます。	아래; 밑	고양이는 책상 아래에 있어요.	bên dưới; phía dưới	Con mèo ở dưới bàn.	ข้างล่าง; ใต้	แมวอยู่ใต้โต๊ะ	bawah; di bawah	Kucing itu ada di bawah meja.	di bawah; bagian bawah	Kucing ada di bawah meja.
460:下去	下去	下去	下りて行く	下りましょう。	내려가다	우리 내려가요.	đi xuống	Chúng ta xuống nhé.	ลงไป	ลงไปกันเถอะ	turun; pergi ke bawah	Mari turun.	turun ke bawah	Ayo turun.
461:小孩儿	小孩儿	小孩儿	子ども	子どもがボールで遊んでいます。	아이; 어린이	아이가 공을 가지고 놀고 있어요.	trẻ con; em bé	Đứa trẻ đang chơi bóng.	เด็ก	เด็กกำลังเล่นลูกบอล	kanak-kanak	Kanak-kanak itu sedang bermain bola.	anak kecil	Anak itu sedang bermain bola.
462:小时候	小时候	小时候	子どものころ	子どものころ、私は北京に住んでいました。	어릴 때	저는 어릴 때 베이징에 살았어요.	hồi nhỏ; thời thơ ấu	Hồi nhỏ tôi sống ở Bắc Kinh.	ตอนเด็ก; สมัยเด็ก	ตอนเด็กฉันอาศัยอยู่ที่ปักกิ่ง	semasa kecil	Semasa kecil saya tinggal di Beijing.	waktu kecil; masa kecil	Waktu kecil saya tinggal di Beijing.
465:姓名	姓名	姓名	氏名; フルネーム	氏名を書いてください。	성명; 전체 이름	성명을 써 주세요.	họ tên; tên đầy đủ	Xin hãy viết họ tên của bạn.	ชื่อและนามสกุล	กรุณาเขียนชื่อและนามสกุลของคุณ	nama penuh	Sila tulis nama penuh anda.	nama lengkap	Tolong tulis nama lengkap Anda.
469:药店	药店	药店	薬局	薬局は病院の隣にあります。	약국	약국은 병원 옆에 있어요.	hiệu thuốc	Hiệu thuốc ở bên cạnh bệnh viện.	ร้านขายยา	ร้านขายยาอยู่ข้างโรงพยาบาล	farmasi	Farmasi itu terletak di sebelah hospital.	apotek	Apotek ada di sebelah rumah sakit.
477:游	游	游	泳ぐ	魚が水の中で泳いでいます。	헤엄치다; 수영하다	물고기가 물속에서 헤엄쳐요.	bơi	Con cá bơi trong nước.	ว่ายน้ำ	ปลาว่ายอยู่ในน้ำ	berenang	Ikan itu berenang di dalam air.	berenang	Ikan berenang di air.
479:有意思	有意思	有意思	面白い; 興味深い	この本はとても面白いです。	재미있다; 흥미롭다	이 책은 아주 재미있어요.	thú vị; hay	Quyển sách này rất thú vị.	น่าสนใจ; สนุก	หนังสือเล่มนี้น่าสนใจมาก	menarik	Buku ini sangat menarik.	menarik; seru	Buku ini sangat menarik.
480:有时	有时	有时	時々	私は時々バスで学校へ行きます。	가끔; 때때로	저는 가끔 버스를 타고 학교에 가요.	thỉnh thoảng; có lúc	Thỉnh thoảng tôi đi xe buýt đến trường.	บางครั้ง	บางครั้งฉันนั่งรถเมล์ไปโรงเรียน	kadang-kadang	Kadang-kadang saya naik bas ke sekolah.	kadang-kadang	Kadang-kadang saya naik bus ke sekolah.
481:右	右	右	右; 右側	右を見てください。	오른쪽	오른쪽을 봐 주세요.	bên phải	Xin hãy nhìn sang bên phải.	ขวา; ด้านขวา	กรุณามองไปทางขวา	kanan; sebelah kanan	Sila lihat ke kanan.	kanan; sisi kanan	Tolong lihat ke kanan.
488:这么	这么	这么	こんなに; これほど	この本はこんなに高いです。	이렇게; 이만큼	이 책은 이렇게 비싸요.	như thế này; đến vậy	Quyển sách này đắt đến vậy.	ขนาดนี้; อย่างนี้	หนังสือเล่มนี้แพงขนาดนี้	begini; sebegini	Buku ini begitu mahal.	sebegini; begitu	Buku ini begitu mahal.
489:这样	这样	这样	このように; こう	このようにするのはなかなかいいです。	이렇게; 이런 식으로	이렇게 하는 것은 꽤 괜찮아요.	như thế này; cách này	Làm như thế này khá tốt.	อย่างนี้; แบบนี้	ทำแบบนี้ก็ดีทีเดียว	begini; cara ini	Membuatnya begini agak bagus.	begini; seperti ini	Melakukan seperti ini cukup bagus.
492:周	周	周	週	来週、北京へ行きます。	주; 주간	다음 주에 저는 베이징에 가요.	tuần	Tuần sau tôi đi Bắc Kinh.	สัปดาห์	สัปดาห์หน้าฉันจะไปปักกิ่ง	minggu	Minggu depan saya pergi ke Beijing.	minggu	Minggu depan saya pergi ke Beijing.
496:走路	走路	走路	歩く; 徒歩で行く	私は毎日歩いて学校へ行きます。	걷다	저는 매일 걸어서 학교에 가요.	đi bộ	Mỗi ngày tôi đi bộ đến trường.	เดิน	ฉันเดินไปโรงเรียนทุกวัน	berjalan kaki	Setiap hari saya berjalan kaki ke sekolah.	berjalan kaki	Setiap hari saya berjalan kaki ke sekolah.
497:足球	足球	足球	サッカー; サッカーボール	彼はサッカーをしています。	축구; 축구공	그는 축구를 하고 있어요.	bóng đá; quả bóng đá	Anh ấy đang chơi bóng đá.	ฟุตบอล; ลูกฟุตบอล	เขากำลังเล่นฟุตบอล	bola sepak	Dia sedang bermain bola sepak.	sepak bola; bola sepak	Dia sedang bermain sepak bola.
499:左	左	左	左; 左側	左へ曲がってください。	왼쪽	왼쪽으로 가 주세요.	bên trái	Xin hãy rẽ sang trái.	ซ้าย; ด้านซ้าย	กรุณาเลี้ยวซ้าย	kiri; sebelah kiri	Sila belok ke kiri.	kiri; sisi kiri	Tolong belok ke kiri.
