source_headword	HU	example_HU
pollution	szennyezés	A szennyezés árt az óceánnak.
pop	popzene	Szeretem a popzenét.
population	népesség	A népesség növekszik.
position	helyzet	Változtasd meg a helyzetedet.
possession	tulajdon	Ez a gyűrű az én tulajdonom.
possibility	lehetőség	Esőre van lehetőség.
poster	poszter	Tedd a posztert a falra.
power	áram	A számítógépnek áramra van szüksége.
predict	megjósolni	Nem tudjuk megjósolni az időjárást.
president	elnök	Az elnök beszédet mondott.
prevent	megelőzni	Moss kezet, hogy megelőzd a betegséget.
print	kinyomtatni	Nyomtasd ki a dokumentumot.
printer	nyomtató	A nyomtató elromlott.
prison	börtön	Börtönbe került.
prize	díj	Díjat nyert.
process	folyamat	A folyamat időt vesz igénybe.
produce	termelni	A gazdaságok élelmiszert termelnek.
professional	hivatásos	Ő hivatásos táncos.
professor	professzor	A professzor válaszolt a kérdésekre.
profile	profil	Frissítsd a profilodat.
program	program	A program most kezdődik.
progress	haladás	Ma haladást értünk el.
promise	ígéret	Tartsd be az ígéretedet.
pronounce	kiejteni	Kérlek, ejtsd ki ezt a szót.
protect	védeni	Védd a szemedet.
provide	biztosítani	Ingyen vizet biztosítanak.
pub	kocsma	A kocsmában találkoztunk.
public	nyilvános	A park nyilvános.
publish	kiadni	Magazint adnak ki.
pull	húzni	Húzd meg az ajtót.
purpose	cél	Mi a cél?
push	nyomni	Nyomd meg a gombot.
quality	minőség	A minőség magas.
quantity	mennyiség	Ellenőrizd a mennyiséget.
queen	királynő	A királynő integetett.
quietly	halkan	Beszélj halkan.
race (competition)	verseny	A verseny hamarosan kezdődik.
railway	vasút	A vasút zárva van.
raise	felemelni	Emeld fel a kezed.
rate	díj	A szálloda díja magas.
rather	elég	Elég fáradt vagyok.
reach	elérni	Eléred a polcot?
react	reagálni	Hogyan reagált?
realize	rájönni	Rájöttem a hibámra.
receive	kapni	Megkaptad az üzenetemet?
recent	friss	Ez egy friss fénykép.
recently	nemrég	Nemrég ideköltöztem.
reception	fogadás	A fogadás hétfőn lesz.
recipe	recept	Ez a recept könnyű.
recognize	felismerni	Felismerem azt a dalt.
recommend	ajánlani	Ajánlom ezt a könyvet.
record	nyilvántartás	Vezess nyilvántartást a fizetésekről.
recording	felvétel	A felvétel tisztán szól.
recycle	újrahasznosítani	Hasznosítsd újra a papírt és a műanyagot.
reduce	csökkenteni	Csökkentsd a hőt.
refer	hivatkozni	Hivatkozz a második oldalra.
refuse1	megtagadni	Nem vagyok hajlandó hazudni.
region	régió	Ez a régió hideg.
regular	rendszeres	Ő rendszeres vásárló.
relationship	kapcsolat	A kapcsolatuk erős.
remove	levenni	Vedd le a cipődet.
repair	megjavítani	Javítsd meg ma a biciklit.
replace	kicserélni	Cseréld ki a régi elemet.
reply	válaszolni	Kérlek, válaszolj hamar.
reporter	riporter	A riporter jegyzetelt.
request	kérés	Kérést tettem.
research	kutatni	A helyi történelmet kutatjuk.
researcher	kutató	A kutató ellenőrizte az adatokat.
respond	válaszolni	Kérlek, válaszolj ma.
response	válasz	A válasza gyors volt.
rest (remaining part)	maradék	A maradékot edd meg később.
rest (sleep/relax)	pihenni	Pihenned kell.
review	átismételni	Ma este ismételd át a jegyzeteidet.
ring1	gyűrű	Aranygyűrűt viselt.
ring2	felhívni	Hívj fel ebéd után.
rise	emelkedni	Az árak minden évben emelkednek.
rock (stone)	kő	A kő nehéz.
