source_headword	SI	example_SI
league	ලීගය	අපේ සමාජය ප්‍රාදේශීය ලීගයකට සම්බන්ධ විය.
lean	හේත්තු වෙනවා	තෙත් බිත්තියට හේත්තු නොවන්න.
licence	බලපත්‍රය	බලපත්‍රය ලබන මාසයේ කල් ඉකුත් වේ.
limited	සීමිත	අපට අද ඇත්තේ සීමිත කාලයකි.
lively	සජීවී	දිවා ආහාරයෙන් පසු රැස්වීම සජීවී විය.
load	බර	ට්‍රක් රථය අධික බරක් ගෙන ගියේය.
loan	ණය	බැංකුව ණය අනුමත කළේය.
logical	තර්කානුකූල	ඇයගේ තර්කය පැහැදිලි සහ තර්කානුකූල විය.
long-term	දිගු කාලීන	මෙය දිගු කාලීන විසඳුමකි.
loose	බුරුල්	මිට බුරුල් බවක් දැනේ.
lord	ස්වාමියා	ස්වාමියාට ගම් කිහිපයක් අයත් විය.
lower	අඩු කරනවා	ඔවුන් ශීත කාලයේදී මිල අඩු කරයි.
lung	පෙනහල්ල	දුම්පානයෙන් පෙනහල්ලකට හානි සිදුවිය හැකිය.
maintain	පවත්වාගෙන යනවා	අපි නිතිපතා සම්බන්ධතා පවත්වාගෙන යන්නෙමු.
majority	බහුතරය	බහුතරය යෝජනාවට සහාය දුන්හ.
mass	ස්කන්ධය	වලාකුළු සමූහයක් අහස ආවරණය කළේය.
massive	දැවැන්ත	භූමිකම්පාව දැවැන්ත හානියක් සිදු කළේය.
master	ප්‍රවීණයා	ඇය සාකච්ඡා කිරීමේ ප්‍රවීණයෙකු වූවාය.
matching	ගැලපෙන	ඔහු ගැලපෙන සපත්තු සහ පටියක් පැළඳ සිටියේය.
maximum	උපරිම	කාමරය එහි උපරිම ධාරිතාවට ළඟා විය.
means	මාධ්‍යය	ඊමේල් යනු අපගේ ප්‍රධාන සම්බන්ධතා මාධ්‍යයයි.
measurement	මිනුම	මිනුම තරමක් වැරදියි.
melt	දිය වෙනවා	මධ්‍යහ්නය වන විට හිම දිය වනු ඇත.
military	හමුදා	හමුදා කඳවුර පසුගිය වසරේ වැසී ගියේය.
mineral	ඛනිජ	යකඩ වැදගත් ඛනිජයකි.
minimum	අවම	අවම වයස අවුරුදු දහඅටකි.
minister	ඇමතිවරයා	ඇමතිවරයා දුෂ්කර ප්‍රශ්නවලට පිළිතුරු දුන්නේය.
minor	සුළු	අනතුරින් සුළු හානියක් සිදුවිය.
minority	සුළුතරය	සුළුතරයක් නව නීතියට විරුද්ධ වූහ.
mission	මෙහෙයුම	ඔවුන්ගේ මෙහෙයුම ආරක්ෂිතව අවසන් විය.
mixed	මිශ්‍ර	ප්‍රවෘත්තියට මිශ්‍ර ප්‍රතිචාර ලැබුණි.
modify	වෙනස් කරනවා	අපට පසුව නිර්මාණය වෙනස් කළ හැක.
monitor	නිරීක්ෂණය කරනවා	හෙදිය ඔහුගේ තත්වය නිරීක්ෂණය කරනු ඇත.
moral	සදාචාරාත්මක	කතාවේ සදාචාරාත්මක පාඩමක් ඇත.
motor	මෝටරය	මෝටරය අනතුරු ඇඟවීමකින් තොරව නතර විය.
mount	සවි කරනවා	ඔවුන් පිවිසුම අසල කැමරා සවි කරති.
multiple	බහුවිධ	බහුවිධ සාධක ප්‍රමාදයට හේතු විය.
multiply	ගුණ කරනවා	සංඛ්‍යාව දහයෙන් ගුණ කරන්න.
mysterious	අද්භූත	අද්භූත ආලෝකයක් පිටතින් දර්ශනය විය.
neat	පිළිවෙළකට	ඇගේ මේසය සැමවිටම පිළිවෙළකට ඇත.
nerve	ස්නායුව	තුවාලය නිසා ස්නායුවකට හානි විය.
nevertheless	එසේ වුවද	කාර්යය දුෂ්කර විය; එසේ වුවද අපි එය අවසන් කළෙමු.
nightmare	බියකරු සිහිනයක්	ගමන බියකරු සිහිනයක් බවට පත් විය.
notion	මතය	වෙනසක් කළ නොහැකි ය යන මතය ප්‍රතික්ෂේප කරන්න.
numerous	ගණනාවක්	අධ්‍යයන ගණනාවක් මෙම අදහසට සහාය දක්වයි.
obey	කීකරු වෙනවා	රියදුරන් සංඥා වලට කීකරු විය යුතුය.
objective	අරමුණ	අපගේ අරමුණ වන්නේ නාස්තිය අඩු කිරීමයි.
obligation	යුතුකම	දරුවන් ආරක්ෂා කිරීමේ යුතුකමක් දෙමාපියන්ට ඇත.
observation	නිරීක්ෂණය	ඔහුගේ නිරීක්ෂණය නිසා සාකච්ඡාව වෙනස් විය.
observe	නිරීක්ෂණය කරනවා	විද්‍යාඥයින් සෑම වසන්තයකම පක්ෂීන් නිරීක්ෂණය කරති.
obtain	ලබා ගන්නවා	ඔබ ලිඛිත අවසරයක් ලබා ගත යුතුය.
occasionally	ඉඳහිට	ඇය ඉඳහිට නිවසේ සිට වැඩ කරයි.
offence	වරද	එම ප්‍රකාශය බරපතල අමනාපයක් ඇති කළේය.
offend	සිත් රිදවනවා	මම කිසිවෙකුගේ සිත් රිදවීමට අදහස් කළේ නැත.
offensive	අපහාසාත්මක	පෝස්ටරයේ අපහාසාත්මක භාෂාවක් අඩංගු විය.
opening	පුරප්පාඩුව	රැකියා පුරප්පාඩුව සඳහා බොහෝ අයදුම්කරුවන් ආකර්ෂණය විය.
operate	ක්‍රියාත්මක වෙනවා	යන්ත්‍රය ස්වයංක්‍රීයව ක්‍රියාත්මක විය හැක.
opponent	ප්‍රතිවාදියා	ඇගේ ප්‍රතිවාදියා ප්‍රතිපත්තිය විවේචනය කළේය.
oppose	විරුද්ධ වෙනවා	බොහෝ පදිංචිකරුවන් සැලසුමට විරුද්ධ වෙති.
opposed	විරුද්ධ	කණ්ඩායම් වලට එකිනෙකට විරුද්ධ අදහස් තිබුණි.
opposition	විරුද්ධත්වය	යෝජනාවට දැඩි විරුද්ධත්වයක් එල්ල විය.
organ	අවයවය	හදවත වැදගත් අවයවයකි.
origin	ආරම්භය	ගින්නෙහි ආරම්භය නොදන්නා කරුණකි.
otherwise	එසේ නොමැති නම්	දැන්ම පිටත් වන්න; එසේ නොමැති නම් ඔබ ප්‍රමාද වනු ඇත.
outcome	ප්‍රතිඵලය	ප්‍රතිඵලය සියලු දෙනා පුදුමයට පත් කළේය.
outer	පිටත	පිටත බිත්තිය අලුත්වැඩියා කළ යුතුය.
outline	දළ සටහන	කරුණාකර ඔබගේ ප්‍රධාන තර්කයෙහි දළ සටහනක් ඉදිරිපත් කරන්න.
overall	සමස්ත	සමස්ත ප්‍රතිඵලය ධනාත්මක විය.
owe	ණයගැති වෙනවා	මම ඔබට සමාවක් දිය යුතුයි.
pace	වේගය	ස්ථාවර වේගයකින් ඇවිදින්න.
panel	මණ්ඩලය	මණ්ඩලය දේශගුණික ප්‍රතිපත්ති සාකච්ඡා කළේය.
parliament	පාර්ලිමේන්තුව	පාර්ලිමේන්තුව නව නීතිය අනුමත කළේය.
participant	සහභාගිවන්නා	සෑම සහභාගිවන්නෙකුම පෝරමය අත්සන් කළේය.
partly	අර්ධ වශයෙන්	ප්‍රමාදය අර්ධ වශයෙන් අපේ වරදක් විය.
passage	ඡේදය	පිළිතුරු දීමට පෙර ඡේදය කියවන්න.
pension1	විශ්‍රාම වැටුප	ඔහුගේ විශ්‍රාම වැටුප විශ්‍රාම ගැනීමෙන් පසු ඔහුට උපකාරී වේ.
permanent	ස්ථිර	ඔවුන්ට ස්ථිර විසඳුමක් අවශ්‍යයි.
permit	අවසර දෙනවා	නීති මගින් කෙටි සංචාර සඳහා අවසර ලබා දේ.
perspective	දෘෂ්ටිකෝණය	ඇගේ දෘෂ්ටිකෝණය තේරුම් ගැනීමට උත්සාහ කරන්න.
phase	අදියර	ව්‍යාපෘතිය එහි අවසාන අදියරට පිවිසියේය.
phenomenon	සංසිද්ධිය	මෙම සංසිද්ධිය බොහෝ සංස්කෘතීන් තුළ දක්නට ලැබේ.
philosophy	දර්ශනය	ඇගේ දර්ශනය ප්‍රායෝගික ක්‍රියාව අගය කරයි.
pile	ගොඩ	කඩදාසි ගොඩකින් මේසය වැසී තිබුණි.
pitch	පිටිය	කණ්ඩායම පිටිය ප්‍රවේශමෙන් සූදානම් කළේය.
plain	පැහැදිලි	උපදෙස් පැහැදිලි සහ සෘජු විය.
pointed	තියුණු	ඔහු තියුණු ප්‍රකාශයක් කළේය.
popularity	ජනප්‍රියත්වය	ගායකයා අන්තර්ජාලය හරහා ජනප්‍රියත්වය ලබා ගත්තේය.
pose	මතු කරනවා	ප්‍රශ්නය ගැටලුවක් මතු කළ හැකිය.
possess	හිමි	සිසුන් ස්වල්ප දෙනෙකුට එම කුසලතාව ඇත.
potential	විභවය	අදහසට සැබෑ විභවයක් ඇත.
praise	ප්‍රශංසාව	ගුරුවරයා අවංක ප්‍රශංසාවක් කළේය.
pregnant	ගර්භණී	ඇය මාස හයක ගර්භණීව සිටී.
preparation	සූදානම් වීම	හොඳ සූදානම් වීමක් ආතතිය අඩු කරයි.
presence	පැමිණ සිටීම	ඔහුගේ පැමිණීම මනෝභාවය වෙනස් කළේය.
preserve	සංරක්ෂණය කරනවා	අපි මෙම ඓතිහාසික ගොඩනැගිල්ල සංරක්ෂණය කළ යුතුයි.
prime	ප්‍රධාන	ප්‍රධාන හේතුව දුර්වල සැලසුම් කිරීමයි.
principle	ප්‍රතිපත්තිය	තීරණය පැහැදිලි ප්‍රතිපත්තියක් අනුගමනය කළේය.
priority	ප්‍රමුඛතාවය	ආරක්ෂාව අපගේ පළමු ප්‍රමුඛතාවයයි.
privacy	පෞද්ගලිකත්වය	ගනුදෙනුකරුවන් අන්තර්ජාලය හරහා පෞද්ගලිකත්වය අපේක්ෂා කරයි.
procedure	ක්‍රියා පටිපාටිය	ක්‍රියා පටිපාටියට විනාඩි තිහක් ගතවේ.
proof	සාක්ෂි	ක්‍රියා කිරීමට පෙර අපට සාක්ෂි අවශ්‍යයි.
proposal	යෝජනාව	යෝජනාවට තවත් විස්තර අවශ්‍යයි.
propose	යෝජනා කරනවා	මම වෙනත් විසඳුමක් යෝජනා කරනවා.
prospect	අපේක්ෂාව	අසාර්ථක වීමේ අපේක්ෂාව ඔවුන්ව කනස්සල්ලට පත් කළේය.
protection	ආරක්ෂාව	හිස්වැස්ම මූලික ආරක්ෂාව ලබා දෙයි.
psychologist	මනෝ විද්‍යාඥයා	මනෝ විද්‍යාඥයා පරීක්ෂණයේ ප්‍රතිඵල පැහැදිලි කළේය.
psychology	මනෝ විද්‍යාව	ඇය විශ්වවිද්‍යාලයේ මනෝ විද්‍යාව හදාරයි.
publication	ප්‍රකාශනය	ප්‍රකාශනය මහජන අවධානය දිනා ගත්තේය.
pupil	ශිෂ්‍යයා	සෑම ශිෂ්‍යයෙකුටම නව පෙළපොතක් ලැබුණි.
purchase	මිලදී ගන්නවා	ඔවුන් සෑම මසකම සැපයුම් මිලදී ගන්නවා.
pure	පිරිසිදු	ජලය පිරිසිදු හා සීතල විය.
pursue	ලුහුබඳිනවා	ඔහු වෛද්‍ය වෘත්තියක නිරත වනු ඇත.
rank	නිලය	ඇයට ජ්‍යෙෂ්ඨ නිලයක් ඇත.
rapid	වේගවත්	රට වේගවත් වර්ධනයක් දුටුවේය.
rapidly	වේගයෙන්	මේ වසරේ මිල වේගයෙන් ඉහළ ගියේය.
raw	අමු	අරක්කැමියා අමු එළවළු සූදානම් කළේය.
realistic	යථාර්ථවාදී	යථාර්ථවාදී කාල සීමාවක් නියම කරන්න.
reasonable	සාධාරණ	එය සාධාරණ ඉල්ලීමක් ලෙස පෙනේ.
recall	මතකයට නගනවා	මට ඔහුගේ නිශ්චිත වචන මතකයි.
recover	සුව වෙනවා	ප්‍රතිකාරයෙන් පසු ඇය සුවය ලබනු ඇත.
reduction	අඩු කිරීම	අඩු කිරීම මුදල් ඉතිරි කළේය.
regard	සලකනවා	බොහෝ අය ඇයව අවංක කෙනෙකු ලෙස සලකති.
regional	ප්‍රාදේශීය	ප්‍රාදේශීය කාර්යාලය අද වැසී ගියේය.
register	ලියාපදිංචි වෙනවා	කරුණාකර සමුළුවට පෙර ලියාපදිංචි වන්න.
regret	කනගාටු වෙනවා	මගේ පෙර තීරණය ගැන මම කනගාටු වෙනවා.
regulation	රෙගුලාසිය	නව රෙගුලාසිය සියලුම රියදුරන්ට බලපායි.
relatively	සාපේක්ෂව	විභාගය සාපේක්ෂව පහසු විය.
relevant	අදාළ	අදාළ තොරතුරු පමණක් තෝරන්න.
relief	සහනය	ආරංචිය විශාල සහනයක් ගෙන දුන්නේය.
rely	රඳා පවතිනවා	ළමයින් වැඩිහිටියන්ගේ සහාය මත රඳා පවතී.
remark	ප්‍රකාශය	ඔහුගේ ප්‍රකාශය සාකච්ඡාව අවසන් කළේය.
representative	නියෝජිතයා	නියෝජිතයා ප්‍රාදේශීය කම්කරුවන් මුණගැසුණි.
reputation	කීර්තිය	හෝටලයට හොඳ කීර්තියක් ඇත.
requirement	අවශ්‍යතාවය	පළපුරුද්ද මූලික අවශ්‍යතාවයකි.
rescue	බේරා ගැනීම	ඔවුන් ගංවතුරෙන් මිනිසුන් බේරා ගනී.
reserve	වෙන්කර තැබීම	අපි අමුත්තන් සඳහා ආසන වෙන් කරමු.
resident	පදිංචිකරු	සෑම පදිංචිකරුවෙකුටම නිවේදනයක් ලැබුණි.
resist	විරුද්ධ වීම	පීඩනයට විරුද්ධ වීමට උත්සාහ කරන්න.
resolve	විසඳීම	ඔවුන් ආරවුල සාමකාමීව විසඳා ගත්හ.
resort	නිවාඩු නිකේතනය	දිවයිනේ නිවාඩු නිකේතනය මැයි මාසයේදී විවෘත කරන ලදී.
retain	රඳවා ගැනීම	සමාගමට කාර්ය මණ්ඩලය රඳවා ගැනීමට අවශ්‍යයි.
reveal	හෙළි කිරීම	වාර්තාව සත්‍යය හෙළි කරනු ඇත.
revolution	විප්ලවය	විප්ලවය රට වෙනස් කළේය.
reward	ත්‍යාගය	වෙහෙස මහන්සි වී වැඩ කිරීම ත්‍යාගයක් ලැබිය යුතුය.
rhythm	රිද්මය	ගීතයට ස්ථාවර රිද්මයක් ඇත.
rid	ඉවත් කිරීම	එම පැරණි ලිපිගොනු ඉවත් කරන්න.
root	මුල	ගැටලුවේ මුල මුදල් ය.
rub	අතුල්ලනවා	රෙදි කඩකින් මතුපිට අතුල්ලන්න.
rubber	රබර්	රබර් මුද්‍රාව කාන්දුවීම් වළක්වයි.
rural	ග්‍රාමීය	බොහෝ ග්‍රාමීය පාසල්වලට සහාය අවශ්‍ය වේ.
rush	ඉක්මන් වීම	මෙම තීරණයට ඉක්මන් නොවන්න.
satellite	චන්ද්‍රිකාව	චන්ද්‍රිකාව නව පින්තූර යැවීය.
satisfied	තෘප්තිමත්	පාරිභෝගිකයා තෘප්තිමත් බවක් පෙනෙන්නට තිබුණි.
satisfy	සෑහීමකට පත්වීම	පිළිතුර ඔහුව සෑහීමකට පත් කළේ නැත.
saving	ඉතිරි කිරීම	බලශක්ති ඉතිරි කිරීම මාසික පිරිවැය අඩු කරයි.
scale	පරිමාණය	හානියේ පරිමාණය විශාල විය.
scheme	යෝජනා ක්‍රමය	මෙම යෝජනා ක්‍රමය තරුණ කම්කරුවන්ට උපකාර කරයි.
scream	කෑගැසීම	ඔවුන්ට පිටතින් කෑගැසීමක් ඇසුණි.
sector	අංශය	තාක්ෂණික අංශය වර්ධනය වෙමින් පවතී.
secure	ආරක්ෂා කිරීම	එය ආරක්ෂා කිරීම සඳහා දොර අගුළු දමන්න.
seek	සෙවීම	ඔවුන් විශේෂඥයින්ගෙන් උපදෙස් ලබා ගනී.
select	තෝරා ගැනීම	හොඳම විකල්පය තෝරා ගන්න.
selection	තේරීම	ගබඩාව පුළුල් තේරීමක් ලබා දෙයි.
self	ස්වයං	ඇය ඇගේ සැබෑ ස්වභාවය පෙන්නුම් කළාය.
senior	ජ්‍යෙෂ්ඨ	ජ්‍යෙෂ්ඨ වෛද්‍යවරයකු රෝගියා පරීක්ෂා කළේය.
sensitive	සංවේදී	මෙම මාතෘකාව ඉතා සංවේදී ය.
sequence	අනුක්‍රමය	පියවරවල අනුක්‍රමය අනුගමනය කරන්න.
session	සැසිය	පුහුණු සැසිය මධ්‍යහ්නයේ ආරම්භ වේ.
settle	සමථයකට පත් කිරීම	ඔවුන් තර්කය ඉක්මනින් සමථයකට පත් කරයි.
severe	දරුණු	කුණාටුව දරුණු ගංවතුරක් ඇති කළේය.
shade	සෙවන	සෙවණෙහි වාඩි වන්න.
shadow	සෙවනැල්ල	සෙවනැල්ලක් ජනේලය හරහා ගියේය.
shallow	නොගැඹුරු	මෙහි විල නොගැඹුරු ය.
shame	ලැජ්ජාව	බොරු කීමෙන් පසු ඔහුට ලැජ්ජාවක් දැනුනි.
shelter	නවාතැන	පාසල හදිසි නවාතැන් ලබා දුන්නේය.
shock	කම්පනය	එම තීරණය කම්පනයක් විය.
shocked	කම්පනයට පත්	ප්‍රවෘත්තියෙන් ඇය කම්පනයට පත් වූ බවක් පෙනුණි.
shooting	වෙඩි තැබීම	දුම්රිය ස්ථානය අසල වෙඩි තැබීම සිදු විය.
shot	පහර	ජයග්‍රාහී පහර සෑම දෙනාම පුදුමයට පත් කළේය.
significant	සැලකිය යුතු	සොයාගැනීම සැලකිය යුතු විය.
significantly	සැලකිය යුතු ලෙස	පසුගිය වසරේ වියදම් සැලකිය යුතු ලෙස වැඩි විය.
silence	නිශ්ශබ්දතාව	කාමරය නිශ්ශබ්දතාවයට පත් විය.
silk	සේද	ඇඳුම සේද වලින් සාදා තිබුණි.
sincere	අවංක	කරුණාකර මගේ අවංක ස්තූතිය පිළිගන්න.
slave	වහලා	නීතිය මගින් සෑම වහලෙකුම නිදහස් කරන ලදී.
slide	ලිස්සන පීල්ල	දරුවා ලිස්සන පීල්ලෙන් පහළට ගියේය.
slight	සුළු	සුළු ප්‍රමාදයක් සිදු විය.
slip	ලිස්සා යාම	තෙත බිමෙහි ලිස්සා නොයන්න.
slope	බෑවුම	මාර්ගය තද බෑවුමක් අනුගමනය කරයි.
solar	සූර්ය	නිවස සූර්ය බලශක්තිය භාවිතා කරයි.
somewhat	තරමක් දුරට	උපදෙස් තරමක් දුරට ව්‍යාකූල විය.
soul	ආත්මය	සංගීතය ඇගේ ආත්මය ඔසවා තැබීය.
specialist	විශේෂඥයා	විශේෂඥයා රෝගියාව පරීක්ෂා කළේය.
species	විශේෂය	මෙම විශේෂය ගංගා ආසන්නයේ ජීවත් වේ.
spiritual	අධ්‍යාත්මික	ඇය අධ්‍යාත්මික අත්දැකීමක් විස්තර කළාය.
split	බෙදීම	ඔවුන් බිල සමානව බෙදා ගත්තා.
sponsor	අනුග්‍රහය දක්වනවා	සමාගම මෙම උත්සවයට අනුග්‍රහය දක්වනු ඇත.
stable	ස්ථාවර	රෝගියා ස්ථාවරව සිටී.
stare	රවා බැලීම	නාඳුනන අය දෙස රවා බලන්න එපා.
status	තත්වය	ඔහුගේ තත්වය එක රැයකින් වෙනස් විය.
steady	නියත	නියත වේගයක් පවත්වා ගන්න.
steel	වානේ	පාලම වානේ වලින් සාදා ඇත.
steep	තද බෑවුම් සහිත	කන්ද තද බෑවුම් සහිතයි.
sticky	ඇලෙන සුළු	බිම ඇලෙන සුළු බවක් දැනේ.
stiff	තද	ඔහුගේ උරහිසට තද ගතියක් දැනුනි.
stock	තොගය	සාප්පුවේ කිසිදු තොගයක් ඉතිරිව නැත.
stream	දිය පහර	කුඩා දිය පහරක් කෙත හරහා ගලා යයි.
stretch	දිග හැරීම	ගුවන් ගමනෙන් පසු ඔබේ කකුල් දිග හරින්න.
strict	දැඩි	පාසලට දැඩි නීති තිබේ.
strike	වැඩ වර්ජනය	කම්කරුවන් හෙට වැඩ වර්ජනය කළ හැකිය.
struggle	අරගල කරනවා	බොහෝ පවුල් කුලිය ගෙවීමට අරගල කරති.
submit	භාර දීම	සිකුරාදා වන විට පෝරමය භාර දෙන්න.
sum	මුදල	මුදල බලාපොරොත්තු වූවාට වඩා වැඩි විය.
surgery	ශල්‍යකර්මය	ශල්‍යකර්මය පැය දෙකක් පැවතුනි.
surround	වට කිරීම	උස ගස් නිවස වට කර ඇත.
surrounding	අවට	අවට ප්‍රදේශය නිස්කලංකයි.
suspect	සැක කිරීම	පොලිසිය ප්‍රදේශයේ මිනිසෙකුට සැක කරයි.
swear	අසභ්‍ය වචන භාවිතා කරනවා	පන්තියේදී අසභ්‍ය වචන භාවිතා නොකරන්න.
sweep	අතුගානවා	අමුත්තන් පැමිණීමට පෙර බිම අතුගාන්න.
sympathy	අනුකම්පාව	ඇය වින්දිතයින් කෙරෙහි අනුකම්පාව ප්‍රකාශ කළාය.
tale	කතාව	ආච්චි අමුතු කතාවක් කීවාය.
tank	ටැංකිය	ටැංකියේ පිරිසිදු ජලය අඩංගු වේ.
tear1	ඉරනවා	ලියවිල්ල ඉරන්න එපා.
tear2	කඳුල	කඳුලක් ඇගේ කම්මුල දිගේ වැටුණි.
temporary	තාවකාලික	කාර්යාලය තාවකාලික නවාතැනකි.
therapy	ප්‍රතිකාරය	භෞත චිකිත්සාව ඔහුගේ සුවය සඳහා උපකාරී විය.
threat	තර්ජනය	පණිවිඩයේ තර්ජනයක් අඩංගු විය.
threaten	තර්ජනය කරනවා	කුණාටුවෙන් බෝග වලට තර්ජනයක් විය හැක.
thus	ඒ නිසා	මාර්ගය වසා තිබුණි; ඒ නිසා අපි බලා සිටියෙමු.
tone	හඬ	ඔහුගේ හඬ සන්සුන් බවක් පෙනුණි.
tough	අමාරු	සම්මුඛ පරීක්ෂණය අමාරු විය.
transfer	මාරු කරනවා	ඔවුන් සෑම රාත්‍රියකම දත්ත මාරු කරයි.
transform	පරිවර්තනය කරනවා	නව ප්‍රතිපත්තිය මගින් සේවා පරිවර්තනය කරනු ඇත.
transition	සංක්‍රාන්තිය	සංක්‍රාන්තියට මාස කිහිපයක් ගත විය.
trial	නඩු විභාගය	නඩු විභාගය ලබන සතියේ ආරම්භ වේ.
tropical	නිවර්තන	නිවර්තන කුණාටු මෙහි බහුලව පවතී.
truly	ඇත්තෙන්ම	ඔබගේ උදව් මම ඇත්තෙන්ම අගය කරමි.
trust	විශ්වාසය	විශ්වාසය ගොඩනැගීමට කාලය ගත වේ.
tune	තනුව	සංගීත කණ්ඩායම සතුටුදායක තනුවක් වැයුවේය.
tunnel	උමග	උමග ගඟ යටින් දිවෙයි.
ultimately	අවසානයේදී	අවසානයේදී සැලසුම සාර්ථක විය.
unconscious	සිහිසුන්	රෝගියා සිහිසුන්ව සිටියේය.
unexpected	අනපේක්ෂිත	ප්‍රමාදය අනපේක්ෂිත එකක් විය.
unique	සුවිශේෂී	සෑම සැලසුමක්ම සුවිශේෂීය.
universe	විශ්වය	විශ්වය ප්‍රසාරණය වෙමින් පවතී.
unknown	නොදන්නා	නම නොදන්නා ලෙස පවතී.
upper	ඉහළ	ඉහළ රාක්කය හිස් ය.
upwards	ඉහළට	දුම ඉහළට ගමන් කළේය.
urban	නාගරික	නාගරික ප්‍රදේශවලට වඩා හොඳ ප්‍රවාහනයක් අවශ්‍ය වේ.
urge	උනන්දු කරනවා	වෛද්‍යවරු මිනිසුන්ට ව්‍යායාම කිරීමට උනන්දු කරති.
vary	වෙනස් වෙනවා	කලාපය අනුව මිල ගණන් වෙනස් වේ.
vast	විශාල	කාන්තාරය විශාල ප්‍රදේශයක් ආවරණය කරයි.
venue	ස්ථානය	මෙම ස්ථානයේ පුද්ගලයින් පන්සියයකට සිටිය හැක.
via	හරහා	ලේඛනය විද්‍යුත් තැපෑල හරහා යවන්න.
victory	ජයග්‍රහණය	කණ්ඩායම සිය ජයග්‍රහණය සැමරීය.
violence	ප්‍රචණ්ඩත්වය	නගරය දේශපාලන ප්‍රචණ්ඩත්වයෙන් පීඩා වින්දේය.
virtual	අතථ්‍ය	රැස්වීම අතථ්‍ය වේ.
vision	දැක්ම	ඇගේ දැක්ම සමාගම හැඩගැස්වීය.
visual	දෘශ්‍ය	වාර්තාවට දෘශ්‍ය උදාහරණ ඇතුළත් වේ.
vital	අත්‍යවශ්‍ය	ජලය ජීවිතයට අත්‍යවශ්‍ය වේ.
vitamin	විටමින්	දොඩම් වල විටමින් සී අඩංගු වේ.
volume	ශබ්දය	ශබ්දය අඩු කරන්න.
wage	වැටුප	කම්කරුවන් වැඩි වැටුපක් ඉල්ලා සිටියහ.
weakness	දුර්වලකම	සැලැස්මට එක් දුර්වලකමක් ඇත.
wealth	ධනය	ඔහුගේ ධනය ලැබුණේ වෙළඳාමෙනි.
wealthy	ධනවත්	ධනවත් පවුල කෞතුකාගාරයට අරමුදල් සැපයීය.
whereas	නමුත්	ඇය තේ වලට කැමතියි, නමුත් මම කෝපි වලට කැමතියි.
wherever	කොහේ වුණත්	ඔබට පහසු කොහේ වුණත් වාඩි වෙන්න.
whisper	රහසින් කතා කරනවා	කරුණාකර උත්සවය අතරතුර රහසින් කතා කරන්න.
whom	කාටද	ඔබ කාටද ආරාධනා කළේ?
widely	පුළුල් ලෙස	පොත පුළුල් ලෙස කියවනු ලැබේ.
wildlife	වනජීවී	උද්‍යානය දේශීය වනජීවීන් ආරක්ෂා කරයි.
willing	කැමති	ඇය උදව් කිරීමට කැමතිය.
wind2	ඔතනවා	කේබලය රීලය වටා ඔතන්න.
wire	කම්බිය	කම්බිය උපාංග දෙක සම්බන්ධ කරයි.
wise	ඥානවන්ත	එය ඥානවන්ත තේරීමක් විය.
witness	සාක්ෂිකරුවෙක්	සාක්ෂිකරුවෙක් අනතුර විස්තර කළේය.
wound	තුවාලය	තුවාලය ප්‍රවේශමෙන් පිරිසිදු කරන්න.
