source_headword	VI	example_VI
ballet	ba lê	Cô ấy học múa ba lê sau giờ học.
balloon	quả bóng bay	Quả bóng bay lơ lửng phía trên chiếc bàn.
barely	hầu như không	Anh ấy hầu như không nghe thấy thông báo.
bargain	món hời	Chiếc áo khoác đó quả là một món hời.
basement	tầng hầm	Những chiếc hộp đang ở dưới tầng hầm.
basket	cái rổ	Cô ấy đã đặt những quả táo vào giỏ.
bat	con dơi / gậy	Con dơi đã bay ra khỏi hang.
beneficial	có ích	Tập thể dục thường xuyên rất có lợi cho sức khỏe.
beside	bên cạnh	Cây đèn đứng bên cạnh ghế sô pha.
besides	ngoài ra	Ngoài môn toán, anh ấy còn học hóa học.
bias	thành kiến	Bài báo đã thể hiện sự thành kiến rõ ràng.
bid	sự trả giá	Công ty đã đưa ra một mức giá cao hơn.
biological	(thuộc) sinh học	Thử nghiệm sinh học đã xác nhận kết quả.
blanket	cái chăn	Đứa trẻ ngủ dưới một cái chăn.
blow	cú đánh / cú sốc	Cú đập mạnh đã làm vỡ cửa sổ.
bold	táo bạo	Tiêu đề đã sử dụng các chữ cái in đậm.
bombing	vụ ném bom	Vụ đánh bom đã làm hư hại một số tòa nhà.
booking	sự đặt chỗ	Tôi đã xác nhận việc đặt phòng khách sạn.
boost	sự thúc đẩy	Chiến thắng đã thúc đẩy sự tự tin của đội.
bound	chắc chắn	Gói bưu kiện được buộc bằng dây thừng.
brick	viên gạch	Bức tường được làm bằng gạch.
briefly	ngắn gọn	Cô ấy đã nói chuyện ngắn gọn sau bữa trưa.
broadcaster	phát thanh viên	Phát thanh viên đã phỏng vấn thị trưởng.
broadly	một cách bao quát	Hai kế hoạch nói chung là giống nhau.
bug	con bọ / lỗi	Ứng dụng đã bị sập do một lỗi.
cabin	nhà gỗ / khoang máy bay	Chúng tôi đã ở trong một ngôi nhà gỗ nhỏ.
canal	kênh đào	Những chiếc thuyền di chuyển chầm chậm dọc theo kênh đào.
candle	cây nến	Ngọn nến cháy trên bàn.
carbon	các-bon	Cây xanh hấp thụ carbon từ không khí.
casual	bình thường / thông thường	Anh ấy mặc quần áo giản dị đi làm.
cave	hang động	Những người leo núi đã tiến vào trong hang động.
certainty	sự chắc chắn	Chúng tôi không thể biết với sự chắc chắn.
certificate	chứng chỉ	Cô ấy đã nhận được một chứng chỉ đào tạo.
challenging	đầy thử thách	Khóa học đầy thử thách nhưng rất hữu ích.
championship	giải vô địch	Đội của chúng tôi đã lọt vào trận chung kết của giải vô địch.
charming	quyến rũ / duyên dáng	Khu phố cổ trông thật quyến rũ.
chase	sự rượt đuổi	Con chó đã đuổi theo quả bóng.
cheek	má	Một giọt nước mắt lăn trên má cô ấy.
cheer	sự cổ vũ	Đám đông bắt đầu reo hò lớn.
choir	dàn hợp xướng	Dàn đồng ca đã hát rất hay.
chop	chặt / thái	Hãy thái hành tây thành những miếng nhỏ.
circuit	mạch / chu vi	Người chạy đã hoàn thành vòng đua.
civilization	nền văn minh	Nền văn minh cổ đại đã định hình khu vực này.
clarify	làm rõ	Vui lòng làm rõ điểm cuối cùng.
classify	phân loại	Các nhà khoa học phân loại động vật theo loài.
clerk	nhân viên văn phòng	Nhân viên đã in biên lai.
cliff	vách đá	Con đường kết thúc gần một vách đá.
clinic	phòng khám	Phòng khám mở cửa lúc tám giờ.
clip	cái kẹp / đoạn video	Cô ấy đã gắn chiếc kẹp vào tờ giấy.
coincidence	sự trùng hợp	Gặp anh ấy ở đó là một sự trùng hợp.
collector	nhà sưu tập	Nhà sưu tập đã mua những đồng xu hiếm.
colony	thuộc địa	Bầy kiến đã xây dựng một tổ lớn.
colourful	đầy màu sắc	Khu chợ rất sáng sủa và rực rỡ.
comic	truyện tranh	Cảnh hài hước đã làm chúng tôi bật cười.
commander	chỉ huy	Người chỉ huy đã đưa ra mệnh lệnh rõ ràng.
comparative	tương đối	Bài luận sử dụng dữ liệu mang tính so sánh.
completion	sự hoàn thành	Cây cầu sắp được hoàn thành.
compose	soạn thảo	Anh ấy sẽ sáng tác nhạc cho bộ phim.
composer	nhà soạn nhạc	Nhà soạn nhạc đã viết một bài hát mới.
compound	hợp chất	Hợp chất này chứa hai loại hóa chất.
comprehensive	toàn diện	Hướng dẫn cung cấp các chỉ dẫn toàn diện.
comprise	bao gồm	Nhóm bao gồm năm thành viên.
compulsory	bắt buộc	Việc điểm danh là bắt buộc đối với lớp học này.
concrete	bê tông	Sàn được làm bằng bê tông.
confess	thú nhận	Cậu bé đã thú nhận lỗi lầm với giáo viên của mình.
confusion	sự nhầm lẫn	Sự chậm trễ đã gây ra sự nhầm lẫn.
consequently	do đó	Trời mưa; do đó, trận đấu đã dừng lại.
conservation	sự bảo tồn	Sự bảo tồn giúp bảo vệ các loài động vật quý hiếm.
considerable	đáng kể	Việc sửa chữa mất một thời gian đáng kể.
considerably	đáng kể	Giá cả đã tăng đáng kể trong năm nay.
consistently	kiên định	Cô ấy luôn thể hiện tốt một cách nhất quán.
conspiracy	âm mưu	Cảnh sát đã điều tra âm mưu này.
consult	tham khảo	Hãy hỏi ý kiến bác sĩ trước khi dùng thuốc.
consultant	nhà tư vấn	Nhà tư vấn đã đề xuất một chiến lược mới.
consumption	sự tiêu thụ	Mức tiêu thụ năng lượng đã giảm vào tháng trước.
controversial	gây tranh cãi	Chính sách này vẫn còn gây tranh cãi.
controversy	cuộc tranh cãi	Quyết định này đã gây ra sự tranh cãi.
convenience	sự tiện lợi	Cửa hàng mang lại sự tiện lợi tuyệt vời.
convention	hội nghị	Hội nghị thường niên bắt đầu vào thứ Hai.
conventional	thông thường	Anh ấy đã chọn một thiết kế truyền thống.
convey	truyền đạt	Tin nhắn đã truyền đạt sự cảm thông.
convincing	có sức thuyết phục	Lời giải thích của cô ấy rất có sức thuyết phục.
cope	đối phó	Cô ấy đã học cách đối phó với căng thẳng.
corporation	tập đoàn	Tập đoàn đã mở một văn phòng mới.
corridor	hành lang	Hành lang thật chật hẹp và yên tĩnh.
counter (long flat surface)	quầy	Chìa khóa ở trên quầy bếp.
coverage	sự đưa tin	Việc đưa tin kéo dài suốt cả buổi tối.
crack	vết nứt	Một vết nứt xuất hiện trên tường.
craft	nghề thủ công	Cô ấy bán đồ thủ công làm bằng tay trên mạng.
creativity	sự sáng tạo	Sự sáng tạo giúp giải quyết các vấn đề.
critically	một cách chỉ trích	Bài báo này cực kỳ quan trọng.
cruise	chuyến du thuyền	Họ đã đặt một chuyến du thuyền đến Hy Lạp.
cue	gợi ý	Nam diễn viên đã lỡ mất dấu hiệu của mình.
curious	tò mò	Đứa trẻ rất tò mò về vũ trụ.
curriculum	chương trình giảng dạy	Ngôi trường đã cập nhật chương trình giảng dạy của mình.
cute	dễ thương	Chú chó con trông rất dễ thương.
dairy	sản phẩm từ sữa	Trang trại sản xuất các sản phẩm từ sữa.
dare	dám	Tôi thách bạn thử nó.
darkness	bóng tối	Căn phòng chìm trong bóng tối.
database	cơ sở dữ liệu	Cơ sở dữ liệu lưu trữ hồ sơ của khách hàng.
deadline	hạn chót	Hạn chót là vào thứ Sáu.
deadly	chí mạng	Con rắn có nọc độc chết người.
dealer	người buôn bán	Đại lý xe hơi đã đưa ra mức giảm giá.
deck	boong tàu	Những chiếc ghế đang ở trên hiên nhà.
defender	người bảo vệ	Hậu vệ đã chặn cú sút.
delete	xóa	Hãy xóa tin nhắn cũ.
democracy	nền dân chủ	Nền dân chủ phụ thuộc vào các cuộc bầu cử tự do.
democratic	dân chủ	Cuộc bỏ phiếu tuân theo các quy tắc dân chủ.
demonstration	cuộc biểu tình	Các sinh viên đã tham gia một cuộc biểu tình.
depart	khởi hành	Chuyến tàu sẽ khởi hành vào buổi trưa.
dependent	phụ thuộc	Đứa trẻ phụ thuộc vào người lớn.
deposit	tiền đặt cọc	Cô ấy đã trả tiền đặt cọc cho căn hộ.
depression	sự trầm cảm	Bệnh trầm cảm cần sự hỗ trợ chuyên môn.
derive	bắt nguồn	Nhiều từ vựng bắt nguồn từ tiếng Latinh.
desperately	tuyệt vọng	Anh ấy đang rất cần nước.
destruction	sự phá hủy	Cơn bão đã gây ra sự phá hủy trên diện rộng.
determination	sự quyết tâm	Sự quyết tâm của cô ấy đã gây ấn tượng với huấn luyện viên.
devote	cống hiến	Cô ấy dành những ngày cuối tuần để học tập.
differ	khác biệt	Ý kiến của họ khác nhau rõ rệt.
disability	sự khuyết tật	Tòa nhà có lối đi dành cho người khuyết tật.
disabled	bị vô hiệu hóa	Vận động viên khuyết tật đã giành được một huy chương.
disagreement	sự bất đồng	Cuộc họp đã kết thúc trong sự bất đồng.
disappoint	làm thất vọng	Kết quả này có thể làm người hâm mộ thất vọng.
disappointment	sự thất vọng	Anh ấy cảm thấy vô cùng thất vọng.
discourage	làm nản lòng	Đừng làm nản lòng những người học trẻ tuổi.
disorder	sự rối loạn	Bác sĩ đã chẩn đoán đó là chứng rối loạn giấc ngủ.
distant	xa xôi	Những ngọn núi trông rất xa xôi.
distinct	khác biệt	Hai âm thanh này rất khác biệt.
distinguish	phân biệt	Bạn có thể phân biệt những màu sắc này không?
distract	làm xao nhãng	Tiếng ồn có thể làm học sinh sao nhãng.
disturb	làm phiền	Xin đừng làm phiền bệnh nhân.
dive	lặn	Họ sẽ lặn gần rạn san hô.
diverse	đa dạng	Thành phố có những nền văn hóa đa dạng.
diversity	sự đa dạng	Chúng tôi tôn vinh sự đa dạng về văn hóa.
divorce	sự ly hôn	Việc ly hôn là điều khó khăn cho tất cả mọi người.
dominant	thống trị	Đội chiếm ưu thế đã kiểm soát trận đấu.
donation	sự quyên góp	Tổ chức từ thiện đã nhận được một khoản quyên góp.
dot	dấu chấm	Đặt một dấu chấm sau chữ số.
downtown	trung tâm thành phố	Chúng tôi đã gặp nhau ở trung tâm thành phố sau giờ làm.
dramatically	một cách đáng kể	Giá cả đã giảm đáng kể.
drought	hạn hán	Trận hạn hán đã phá hoại mùa màng.
dull	tẻ nhạt	Bài giảng rất tẻ nhạt.
dump	vứt bỏ	Đừng vứt rác ở đây.
duration	khoảng thời gian	Khoảng thời gian của chuyến bay là ba giờ.
dynamic	năng động	Lớp học cảm thấy rất năng động.
economics	kinh tế học	Cô ấy học kinh tế học ở trường đại học.
economist	nhà kinh tế học	Nhà kinh tế học đã dự đoán sự tăng trưởng chậm hơn.
editorial	thuộc về biên tập	Bài xã luận đã chỉ trích đạo luật.
efficiently	một cách hiệu quả	Đội ngũ đã làm việc hiệu quả.
elbow	khuỷu tay	Anh ấy làm đau khuỷu tay của mình.
electronics	đồ điện tử	Cửa hàng bán đồ điện tử.
elegant	thanh lịch	Chiếc váy trông thật thanh lịch.
elementary	cơ bản	Cuốn sách giải thích ngữ pháp cơ bản.
eliminate	loại bỏ	Nhóm đã loại bỏ một vài lỗi.
embrace	đón nhận	Cô ấy đã đón nhận ý tưởng mới.
emission	khí thải	Mức khí thải ô tô đã giảm.
emotionally	một cách cảm xúc	Anh ấy đã nói về gia đình mình một cách xúc động.
empire	đế chế	Đế chế đó đã tồn tại trong nhiều thế kỷ.
enjoyable	thú vị	Chuyến đi rất thú vị.
entertaining	mang tính giải trí	Buổi biểu diễn mang tính giải trí cao.
entrepreneur	doanh nhân	Doanh nhân này đã mở một quán cà phê.
envelope	phong bì	Hãy bỏ lá thư vào phong bì.
equip	trang bị	Trường sẽ trang bị cho phòng thí nghiệm.
equivalent	thứ tương đương	Một đô la không có giá trị tương đương ở đây.
era	kỷ nguyên	Khám phá đó đã mở ra một kỷ nguyên mới.
erupt	bùng nổ	Ngọn núi lửa có thể sớm phun trào.
essentially	về cơ bản	Hai phương pháp này về cơ bản là giống hệt nhau.
ethic	đạo đức	Đạo đức nghề nghiệp của anh ấy rất vững vàng.
ethnic	thuộc sắc tộc	Lễ hội tôn vinh các truyền thống dân tộc.
evaluation	sự đánh giá	Khóa học bao gồm một bài đánh giá cuối kỳ.
evident	hiển nhiên	Sự lo lắng của anh ấy rất rõ ràng.
evolution	sự tiến hóa	Sự tiến hóa giải thích nhiều sự thay đổi sinh học.
evolve	phát triển	Ngôn ngữ tiến hóa theo thời gian.
exceed	vượt quá	Nhu cầu có thể vượt quá nguồn cung.
exception	ngoại lệ	Có một ngoại lệ.
excessive	quá mức	Tiếng ồn quá mức làm phiền hàng xóm.
exclude	loại trừ	Danh sách này loại trừ nhân viên tạm thời.
exhibit	hiện vật	Bảo tàng sẽ trưng bày những bức ảnh quý hiếm.
exit	lối ra	Lối ra ở phía sau sân khấu.
exotic	ngoại lai	Cửa hàng bán trái cây kỳ lạ.
expansion	sự mở rộng	Công ty đã lên kế hoạch mở rộng.
expertise	chuyên môn	Chuyên môn của cô ấy đã cải thiện dự án.
exploit	khai thác	Bọn tội phạm khai thác các mật khẩu yếu.
exposure	sự phơi bày	Việc tiếp xúc với ánh nắng mặt trời có thể làm tổn thương da.
extension	sự gia hạn	Việc gia hạn thời hạn đã giúp ích cho mọi người.
extensive	rộng rãi	Thư viện có các tài nguyên phong phú.
extensively	một cách rộng rãi	Chủ đề này đã được nghiên cứu sâu rộng.
extract	đoạn trích	Chiết xuất vani mang lại hương vị.
fabric	vải	Vải có cảm giác mềm mại.
fabulous	tuyệt vời	Bữa ăn thật tuyệt vời.
failed	thất bại	Nỗ lực thất bại đã dạy cho chúng tôi một điều.
fake	giả mạo	Trang web đã bán vé giả mạo.
fame	danh tiếng	Danh tiếng đã thay đổi cuộc sống riêng tư của anh ấy.
fantasy	ảo tưởng	Cuốn tiểu thuyết đó là thể loại kỳ ảo.
fare	giá vé	Giá vé xe buýt đã tăng.
federal	thuộc liên bang	Chính phủ liên bang đã thông báo về việc tài trợ.
fever	cơn sốt	Đứa trẻ bị sốt.
firefighter	lính cứu hỏa	Người lính cứu hỏa đã cứu con chó.
firework	pháo hoa	Một quả pháo hoa nổ phía trên công viên.
firm	kiên quyết	Tấm nệm rất vững chắc.
firmly	vững chắc	Cô ấy đã đóng cửa một cách dứt khoát.
flavour	hương vị	Món súp có hương vị đậm đà.
fond	yêu thích	Anh ấy yêu thích nhạc jazz.
fool	kẻ ngốc	Đừng hành xử như một kẻ ngốc.
forbid	cấm	Luật pháp cấm hút thuốc ở đây.
forecast	dự báo	Dự báo dự đoán sẽ có mưa.
format	định dạng	Hãy sử dụng định dạng tệp chính xác.
formation	sự hình thành	Sự hình thành đám mây thay đổi một cách nhanh chóng.
formerly	trước đây	Tòa nhà này trước đây là một trường học.
fortunate	may mắn	Chúng tôi thật may mắn khi đến sớm.
forum	diễn đàn	Diễn đàn đã thảo luận về chính sách khí hậu.
fossil	hóa thạch	Hóa thạch được tìm thấy trong đá.
foundation	nền tảng	Ngôi nhà có nền móng vững chắc.
founder	người sáng lập	Người sáng lập đã chào đón các vị khách.
fraction	phần nhỏ	Chỉ có một phần nhỏ học sinh đến.
fragment	mảnh vỡ	Một mảnh kính vỡ nằm trên sàn.
framework	khuôn khổ	Luật pháp tạo ra một khuôn khổ rõ ràng.
fraud	sự gian lận	Ngân hàng đã phát hiện ra sự gian lận.
freely	tự do	Trẻ em chơi đùa tự do bên ngoài.
frequent	thường xuyên	Việc nghỉ ngơi thường xuyên giúp cải thiện sự tập trung.
fulfil	hoàn thành	Tôi hy vọng sẽ thực hiện được lời hứa của mình.
full-time	toàn thời gian	Cô ấy có một công việc toàn thời gian.
fundamentally	về cơ bản	Kế hoạch này về cơ bản là khác biệt.
furious	giận dữ	Anh ấy đã rất tức giận về sự chậm trễ.
gaming	trò chơi	Việc chơi game có thể cải thiện tốc độ phản ứng.
gay	đồng tính	Anh ấy ủng hộ quyền của người đồng tính.
gender	giới tính	Cuộc khảo sát đã hỏi về giới tính.
gene	gen	Gen ảnh hưởng đến màu mắt.
genetic	di truyền	Căn bệnh này có nguyên nhân di truyền.
genius	thiên tài	Nghệ sĩ dương cầm trẻ tuổi là một thiên tài.
genuine	chân thành	Nụ cười của cô ấy có vẻ chân thành.
genuinely	một cách chân thành	Anh ấy thực sự muốn giúp đỡ.
gesture	cử chỉ	Cô ấy đã làm một cử chỉ thân thiện.
gig	buổi biểu diễn	Ban nhạc đã chơi một buổi biểu diễn ở trung tâm thành phố.
globalization	toàn cầu hóa	Toàn cầu hóa ảnh hưởng đến các doanh nghiệp địa phương.
globe	quả địa cầu	Quả địa cầu hiển thị mọi lục địa.
golden	bằng vàng	Hoàng hôn chuyển sang màu vàng.
goodness	lòng tốt	Cô ấy tin vào lòng tốt của con người.
gorgeous	tuyệt đẹp	Khu vườn trông thật tuyệt đẹp.
governor	thống đốc	Thống đốc đã ký dự luật.
graphic	đồ họa	Hình ảnh đồ họa đã gây sốc cho người xem.
graphics	đồ họa	Trò chơi này có đồ họa đơn giản.
greatly	rất nhiều	Lời khuyên của bạn đã giúp ích rất nhiều.
greenhouse	nhà kính	Cà chua phát triển bên trong nhà kính.
grocery	cửa hàng tạp hóa	Cô ấy đã mua đồ tạp hóa sau giờ làm.
guideline	nguyên tắc chỉ đạo	Hướng dẫn giải thích cách thực hành an toàn.
habitat	môi trường sống	Khu rừng là môi trường sống của các loài chim.
harbour	bến cảng	Con thuyền đã đi vào bến cảng.
headquarters	trụ sở chính	Trụ sở chính của công ty đã chuyển đến trung tâm thành phố.
