simplified	SV	example_SV
保障	skydda	Lagen skyddar medborgarnas rättigheter
保重	ta hand om sig	Ta väl hand om dig när du är borta
饱和	mättnad	Den här marknaden är redan nära mättnad
饱经沧桑	ha gått igenom mycket	Den här äldre personen har gått igenom många svårigheter och förändringar
报酬	en ersättning	Han fick rimlig ersättning
报仇	hämnas	Han vill inte hämnas utan bara börja om
报答	återgälda	Jag ska återgälda din hjälp genom handling
报复	hämnd	Hämnd gör bara konflikten djupare
报警	larma	När man upptäcker brand ska man larma direkt
报销	få ersättning	Resekostnader kan ersättas
抱负	en ambition	Han har haft stora ambitioner sedan barndomen
暴力	våld	Vi motsätter oss alla former av våld
暴露	komma i dagen	Det här problemet kom gradvis i dagen
曝光	avslöjas	Efter att fotot avslöjades väckte det uppmärksamhet
爆发	bryta ut	Vulkanen fick plötsligt ett utbrott
爆炸	en explosion	En explosion inträffade i laboratoriet
卑鄙	avskyvärd	Det här avskyvärda sättet gör människor arga
悲哀	sorgsen	Efter att ha hört nyheten kände han sig mycket sorgsen
悲惨	tragisk	Det var en tragisk period i historien
北极	Arktis	Forskare bedriver forskning i Arktis
备份	en säkerhetskopia	Säkerhetskopiera viktiga filer först
备忘录	ett PM	Hon skrev ner huvudpunkterna i ett PM
背叛	ett svek	Han kunde inte acceptera sin väns svek
背诵	recitera	Eleverna reciterar texten
被动	passiv	Vi får inte vara för passiva i förhandlingen
被告	den åtalade	Den åtalade nekade till alla anklagelser
贝壳	ett snäckskal	Barnet plockade snäckskal vid havet
奔波	flänga runt	Han flänger runt överallt för arbetets skull
奔驰	susa fram	Bilen susade fram på motorvägen
本能	en instinkt	Att skydda barn är en förälders instinkt
本钱	ett kapital	Att göra affärer kräver kapital
本人	jag själv	Jag är själv villig att ta ansvar
本身	i sig	Det finns inget problem med själva planen
本事	en förmåga	Han är mycket kapabel
笨拙	klumpig	Hans rörelser är lite klumpiga
崩溃	kollapsa	Systemet kraschade plötsligt
甭	inte behöva	Du behöver inte oroa dig för den här saken
蹦	hoppa	Den lilla hunden hoppade runt på gräset
迸发	bryta ut	Applåder bröt ut ur folkmassan
逼迫	tvinga	De tvingade honom att skriva på kontraktet
鼻涕	snuva	Barnet är förkylt och snorar hela tiden
比方	till exempel	Till exempel kan vi först prova i en månad
比喻	en metafor	Den här metaforen är mycket levande
比重	en andel	Tjänstesektorns andel blir allt högre
鄙视	se ner på	Se inte ner på andras ansträngningar
弊病	ett problem	Det här systemet har ganska många problem
弊端	en nackdel	Den nya planen löste det gamla systemets nackdelar
臂	en arm	Hans högra arm skadades
闭塞	isolerad	Trafiken i den här bergsbyn brukade vara mycket isolerad
编织	sticka	Mormor stickar en tröja
边疆	en gränsregion	Många soldater vaktar landets gränsregion
边界	en gräns	De två länderna ritade om gränsen
边境	ett gränsområde	Gränsområdena skärpte säkerhetskontrollerna
边缘	en kant	Koppen står på bordets kant
鞭策	sporra	Lärarens ord har alltid sporrat mig
扁	platt	Den här lådan är bred och platt
贬低	förringa	Förringa inte andras ansträngningar hur som helst
贬义	en negativ klang	Det här ordet har en negativ klang här
便利	bekväm	Tunnelbanan gör resandet bekvämare
便条	en lapp	Han lämnade en lapp på bordet
便于	lätt för	Den här designen är lätt för äldre att använda
变故	en oväntad olycka	En oväntad olycka inträffade plötsligt i familjen
变迁	en förändring	Stadens förändringar gjorde honom mycket berörd
变质	bli dålig	Mjölk blir dålig om den står för länge
辨认	identifiera	Polisen bad honom identifiera personen på fotot
辩护	försvara	Advokaten försvarade den åtalade
辩解	rättfärdiga	Han försökte rättfärdiga sitt misstag
辩证	dialektisk	Vi bör se på det här problemet dialektiskt
辫子	en fläta	Den lilla flickan har två flätor
遍布	finnas överallt	Den här växten finns över hela landet
标本	ett exemplar	Djurexemplar visas på museet
标记	en markering	Gör markeringar bredvid de viktiga styckena
标题	en titel	Titeln på den här artikeln är mycket lockande
表决	rösta	Representanterna ska rösta om förslaget
表态	ta ställning	Han har ännu inte offentligt tagit ställning
表彰	hedra	Företaget hedrade framstående anställda
憋	hålla tillbaka	Han höll tillbaka skrattet och sa ingenting
别墅	en villa	De köpte en villa i förorten
别致	särpräglad	Inredningen på det här kafet är mycket särpräglad
别扭	klumpig	Den här meningen låter lite klumpig
濒临	vara nära	Det här djuret är nära utrotning
冰雹	hagel	Det föll kraftigt hagel i går eftermiddag
丙	grupp C	Grupp C:s match börjar på eftermiddagen
并非	inte alls	Saken är inte alls som du tror
并列	dela plats	De här två projekten delar förstaplatsen
剥削	exploatering	Det fanns allvarlig exploatering i det gamla samhället
拨	slå ett nummer	Slå det här telefonnumret
播种	så	Farmare börjar så på våren
波浪	en våg	Stora vågor reste sig på havet
波涛	böljor	Båten gick fram genom böljorna
伯母	en faster	Jag ska besöka min faster i helgen
博大精深	bred och djup	Kinesisk kultur är bred och djup
博览会	en mässa	Den internationella mässan lockade många företag
搏斗	slåss	Polisen slogs med brottslingen
薄弱	svag	Hans grammatikgrund är ganska svag
不顾	utan hänsyn till	Han rusade in utan hänsyn till faran
不愧	verkligen förtjäna	Han förtjänar verkligen att kallas en erfaren expert
不料	oväntat	Oväntat ställdes mötet plötsligt in
不像话	orimlig	Det är orimligt att behandla gäster så här
不屑一顾	avfärda med förakt	Han avfärdade dessa rykten med förakt
哺乳	amma	Mamman ammar barnet
捕捉	fånga	Fotografen fångade ett fantastiskt ögonblick
补偿	kompensera	Företaget kommer att kompensera din förlust
补救	rätta till	Vi hinner fortfarande rätta till det
补贴	ett bidrag	Regeringen ger bidrag till låginkomstfamiljer
不得已	inte ha något val	Han lämnade hemorten bara för att han inte hade något val
不妨	du kan lika gärna	Du kan lika gärna först lyssna på hans förklaring
不敢当	inte förtjäna beröm	Jag förtjänar verkligen inte att ni berömmer mig så
不禁	inte kunna låta bli	När han hörde nyheten kunde han inte låta bli att skratta
不堪	outhärdlig	Bullret här är outhärdligt
不可思议	otrolig	Det här resultatet är verkligen otroligt
不免	oundvikligen	Första gången på scenen var han oundvikligen lite nervös
不时	då och då	Han tittade då och då upp på klockan
不惜	inte tveka	För att rädda någon tvekade han inte att ta risker
不相上下	jämnstarka	De två lagen är jämnstarka
不言而喻	säger sig självt	Ärlighetens betydelse säger sig självt
不由得	inte kunna låta bli	När jag såg det gamla fotot kunde jag inte låta bli att tänka på barndomen
不择手段	utan skrupler	Han använder alla medel utan skrupler för att tjäna pengar
不止	mer än	Mer än hundra personer deltog i mötet
布告	ett anslag	Ett anslag sattes upp vid skolporten
布局	en planlösning	Den här lägenhetens planlösning är mycket rimlig
布置	ge	Läraren gav nya läxor
步伐	ett steg	Truppen gick fram med jämna steg
部署	införa	Företaget håller på att införa en ny försäljningsplan
部位	en del	Läkaren undersökte den skadade delen
才干	en förmåga	Hon har stor förmåga inom ledning
裁缝	en skräddare	Den här skräddaren är mycket skicklig
裁判	en domare	Domaren meddelade att matchen pausades
裁员	säga upp personal	Företaget beslutade att säga upp personal på grund av förluster
财富	en rikedom	Kunskap är också en sorts rikedom
财务	ekonomiavdelningen	Ekonomiavdelningen kontrollerar räkenskaperna
财政	statsfinanser	Skatteintäkterna har ökat något i år
彩票	en lott	Han köper ibland en lott
采购	köpa in	Företaget skickade någon för att köpa in utrustning
采集	samla in	Forskarna samlade in prover i skogen
采纳	anta	Ledaren antog vårt förslag
参谋	rådgivare	Han fungerar ofta som rådgivare åt chefen
参照	följa	Fyll i formuläret enligt det här formatet
残疾	funktionsnedsatt	Den här stationen ger hjälp till funktionsnedsatta passagerare
残酷	grym	Krig är mycket grymt
残留	finnas kvar	Det finns fortfarande kaffelukt kvar i koppen
残忍	grymt	Djurplågeri är ett grymt beteende
灿烂	strålande	Hon visade ett strålande leende
仓促	förhastad	Det här beslutet fattades alltför förhastat
仓库	ett lager	Varorna har redan levererats till lagret
舱	en kabin	Passagerarna går in i kabinen
苍白	blek	Hans ansikte såg mycket blekt ut
操劳	arbeta hårt	Mamman har arbetat hårt för den här familjen i många år
操练	drilla	Soldaterna drillar varje morgon
操纵	styra; kontrollera	Den här maskinen styrs av en dator
操作	använda; manövrera	Följ instruktionerna när du använder utrustningen
嘈杂	bullrig	Det är mycket bullrigt på stationen
草案	ett utkast	Kommittén diskuterar utkastet
草率	slarvig; förhastad	Ett så viktigt beslut får inte vara förhastat
侧面	en sida; en aspekt	Från sidan ser byggnaden högre ut
测量	mäta	Ingenjören mäter brons längd
策划	planera	De planerade ett stort evenemang
策略	en strategi	Den här strategin hjälpte företaget att sänka kostnaderna
层出不穷	dyka upp hela tiden	Nya problem dyker upp hela tiden
层次	en nivå; struktur	Strukturen i den här artikeln är mycket tydlig
差别	en skillnad	Skillnaden mellan de två metoderna är inte stor
插座	ett eluttag	Det finns inte tillräckligt med eluttag i rummet
查获	beslagta	Tullen beslagtog ett parti falska varor
刹那	ett ögonblick	På ett ögonblick slocknade alla lampor
岔	en förgrening	Bilarna svängde av vid korsningen längre fram
诧异	förvånad	Hans beslut gjorde alla mycket förvånade
柴油	diesel	Den här lastbilen går på diesel
搀	stödja med armen	Sjuksköterskan stödde den äldre mannen in på avdelningen
缠绕	slingra sig	Vinrankorna slingrar sig runt grenarna
馋	sugen	När barnet såg kakan blev det lite suget
产业	en industri; en näring	Turismen är en viktig näring här
阐述	förklara utförligt	Professorn förklarade sin ståndpunkt utförligt
颤抖	darra	Hon frös så mycket att hela kroppen darrade
昌盛	blomstrande	Vi hoppas att landet blir blomstrande och starkt
偿还	återbetala	Han återbetalade lånet i tid
尝试	prova; försöka	Vi kan prova en ny metod
场合	ett tillfälle	Det här tillfället passar inte för skämt
场面	en scen; en situation	Bröllopsscenen var mycket livlig
场所	en plats	Det här är en offentlig plats, rök inte här
敞开	öppna på vid gavel	Öppna fönstret på vid gavel en stund
倡导	förespråka	Skolan förespråkar en hälsosam livsstil
倡议	ett initiativ	Miljöinitiativet fick stöd
畅通	fri framkomlighet	Efter regnet blev vägen framkomlig igen
畅销	sälja mycket bra	Den här romanen säljer mycket bra
超越	överträffa	Han överträffade äntligen sitt eget rekord
钞票	en sedel	Det fanns bara några sedlar kvar i plånboken
嘲笑	håna	Skratta inte åt andras brister
巢穴	ett bo; ett gömställe	Jägaren upptäckte djurets bo
朝代	en dynasti	Tang är en dynasti i Kinas historia
潮流	en trend	Unga människor följer modetrender noga
撤退	retirera	Trupperna retirerade efter att ha fått ordern
撤销	upphäva	Domstolen upphävde den ursprungliga domen
沉淀	sjunka till botten	Slammet sjunker långsamt till botten
沉闷	tryckande	Vädret i dag är varmt och tryckande
沉思	fördjupa sig i tankar	Han satt vid fönstret försjunken i tankar
沉重	tung; allvarlig	Nyheten gjorde alla tunga till sinnes
沉着	lugn och samlad	Behåll lugnet när du möter fara
陈旧	föråldrad	Den här maskinen är redan mycket föråldrad
陈列	ställa ut	Många kulturföremål är utställda i hallen
陈述	redogöra för	Redogör tydligt för fakta
称心如意	tillfredsställande	Det här arbetet känns mycket tillfredsställande för honom
衬托	framhäva	Den vita väggen framhäver blommornas färger
称号	en titel	Han fick titeln utmärkt lärare
乘	åka; ta	Jag tar tunnelbanan till jobbet varje dag
呈现	visa; anta	Himlen antog en svagt röd färg
城堡	ett slott	Det finns ett gammalt slott på bergstoppen
惩罚	straffa	Skolan straffar elever som fuskar
成本	en kostnad	Stigande råvarupriser ökade kostnaden
成交	göra upp en affär	Affären blev till slut avslutad
成天	hela dagen	Han sitter framför datorn hela dagen
成效	en effekt	Den nya ledningsmetoden gav snart resultat
成心	avsiktligt	Han gjorde det inte avsiktligt för att genera dig
成员	en medlem	Varje medlem måste delta i mötet
承办	arrangera	Det här företaget arrangerade utställningen
承包	ta på entreprenad	De tog på sig projektet på entreprenad
承诺	lova	Han lovade att slutföra uppgiften i tid
橙	en apelsin	Jag köpte några färska apelsiner
澄清	förtydliga	Chefen kom ut och förtydligade missförståndet
盛	hälla upp	Hon hällde upp en skål soppa åt gästen
诚挚	uppriktig	Ta emot mitt uppriktiga tack
秤	en våg	Den här vågen är inte särskilt exakt
吃苦	uthärda svårigheter	Unga människor bör lära sig att uthärda svårigheter
吃力	ansträngande	Det är mycket ansträngande att flytta den här lådan
持久	varaktig	Framgång kräver varaktiga ansträngningar
迟钝	trög	Hans reaktioner har varit lite tröga på sistone
迟缓	långsam	Trafiken blev långsam efter regnet
迟疑	tveka	Hon tvekade ett ögonblick innan hon svarade
赤道	ekvatorn	Det är varmt året runt nära ekvatorn
赤字	ett underskott	Företaget gick med underskott i år
充当	fungera som	Han fungerade som samordnare i projektet
充沛	riklig; full av	Barnen är fulla av energi
充实	meningsfull; berikande	Den här erfarenheten gjorde mitt liv mer meningsfullt
充足	tillräcklig	Förbered tillräckligt med vatten före resan
冲动	en impuls	Fatta inte beslut på en plötslig impuls
冲击	påverka starkt	Ny teknik påverkade traditionella branscher starkt
冲突	en konflikt	Båda sidor försökte undvika konflikt
崇拜	beundra	Många unga människor beundrar den här forskaren
崇高	ädel	En läkares ansvar är ädelt
崇敬	hysa stor respekt för	Studenterna hyser stor respekt för den här läraren
重叠	överlappa	De två uppgifterna överlappar delvis
稠密	tät	Befolkningen här är mycket tät
筹备	förbereda	De förbereder bröllopet
丑恶	ful; avskyvärd	Han avslöjade den fula sanningen bakom händelsen
出路	en utväg	Utbildning kan ge unga fler vägar framåt
出卖	förråda	Han skulle inte förråda sina vänner
出身	en bakgrund	Han kommer från en vanlig familjebakgrund
出神	fördjupad	Hon var helt fördjupad i musiken
出息	framtidsutsikter	Det här barnet kommer att få goda framtidsutsikter
初步	preliminär	Vi har nått en preliminär överenskommelse
除	utom	Alla har kommit utom honom
储备	reservera; en reserv	Företaget behöver reservera mer kapital
储存	lagra	Dessa data lagras automatiskt
储蓄	spara	Han sparar en del av lönen varje månad
处分	en disciplinär åtgärd	Skolan gav honom en allvarlig disciplinär åtgärd
处境	en situation	Deras nuvarande situation är mycket svår
处置	hantera	Den gamla utrustningen måste hanteras ordentligt
触犯	bryta mot	Att göra så bryter mot lagen
川流不息	oavbruten trafik	Fordonstrafiken på gatan är oavbruten
穿越	passera genom	Tåget passerade genom den långa tunneln
传达	förmedla	Förmedla det här meddelandet till alla
传单	ett flygblad	Volontärer delade ut flygblad på gatan
传授	föra vidare	Läraren förde vidare erfarenhet till eleverna
船舶	ett fartyg	Många fartyg ligger i hamnen
喘气	flämta	Han flämtade hela tiden efter löpturen
串	trä upp	Hon trädde upp pärlorna till ett halsband
床单	ett lakan	Byt lakanet
创立	grunda	De grundade företaget tillsammans
创新	innovation; förnya sig	Företagsutveckling kräver ständig innovation
创业	starta företag	Många unga väljer att starta företag
创作	skapa	Författaren håller på att skapa en lång roman
吹牛	skryta	Skryt inte, visa bevisen
吹捧	hylla överdrivet	Medierna hyllade produkten överdrivet
炊烟	matos	På kvällen steg matos från byn
垂直	vinkelrät	De två linjerna är vinkelräta mot varandra
锤	en hammare	Arbetaren slog på järnplåten med en hammare
纯粹	ren; enbart	Hans hjälp kom enbart av god vilja
纯洁	ren	Ett barns hjärta är mycket rent
慈善	välgörenhet	Företaget deltar ofta i välgörenhetsaktiviteter
慈祥	vänlig	Farmors leende är mycket vänligt
磁带	en kassett	Den gamla kassetten går fortfarande att spela
雌雄	hona och hane	Honan och hanen hos den här fågeln har olika färger
伺候	ta hand om	Sjuksköterskan tog omsorgsfullt hand om patienten
刺	en tagg	Det finns många taggar på rosenkvisten
次品	en defekt vara	De här defekta varorna får inte säljas
次序	en ordning	Ställ er i kö i rätt ordning
丛	en klunga	Det finns en klunga vilda blommor vid vägkanten
从容	lugn	Hon svarade lugnt på frågan
凑合	duga	Rummet är inte stort, men det duger att bo i
粗鲁	oförskämd	Han talar alldeles för oförskämt
窜	rusa iväg	Katten rusade plötsligt in i huset
摧残	förstöra	Långvarig förorening förstör den här skogen
脆弱	ömtålig	Glasföremål är mycket ömtåliga
搓	gnugga	Han gnuggade sina kalla händer
磋商	förhandla	Båda sidor kommer att fortsätta förhandla
挫折	ett bakslag	Alla möter bakslag
搭	ta; bygga	Vi tar bussen till flygplatsen
搭档	en partner	Han har varit min arbetspartner i många år
搭配	matcha	Den här jackan och byxorna matchar bra
答辩	en disputation	Doktoranden förbereder sin disputation
答复	ett svar	Ge mig ett svar så snart som möjligt
达成	uppnå	De två sidorna uppnådde till slut en överenskommelse
打包	packa	Servitören packade ner resterna åt oss
打官司	gå till domstol	De gick till domstol på grund av avtalsfrågan
打击	ett slag	Misslyckandet blev ett stort slag för honom
打架	slåss	Elever som slåss på campus blir disciplinerade
打量	granska	Hon granskade mig uppifrån och ner
打猎	jaga	Jakt är förbjuden här
打仗	kriga	Ingen vill kriga
大不了	i värsta fall	I värsta fall försöker vi igen i morgon
大臣	en minister	Kungen kallade till sig flera ministrar
大伙儿	alla	Alla väntar på ditt beslut
大肆	i stor skala	Butiken marknadsförde den nya produkten i stor skala
大体	i huvudsak	Planen är i huvudsak utan problem
大意	huvudtanken	Berätta först huvudtanken i artikeln
大致	ungefär	Jag förstår ungefär vad som hände
歹徒	en brottsling	Polisen grep snabbt brottslingen
代价	ett pris	Framgång kräver ofta att man betalar ett pris
代理	agera som ställföreträdare	Han agerar tillfälligt som chef
带领	leda	Läraren ledde eleverna på besök till museet
怠慢	försumma	Vi får inte försumma gästerna
逮捕	gripa	Polisen grep den huvudmisstänkte
担保	garantera	Banken kräver att någon garanterar lånet
胆怯	blyg; rädd	Han var lite rädd under sitt första tal
淡季	lågsäsong	Flygbiljetter är billigare under turistlågsäsongen
淡水	sötvatten	Den här fisken kan bara leva i sötvatten
蛋白质	ett proteinämne	Ägg innehåller rikligt med proteinämnen
诞辰	en födelsedagshögtid	I dag är minnesdagen för författarens födelse
诞生	födas	Idén föddes under diskussionen
当场	på plats	Han erkände sitt misstag på plats
当初	från början	Från början stödde vi alla beslutet
当代	samtida	Det samtida samhället förändras snabbt
当面	ansikte mot ansikte	Det är bäst att förklara problemet ansikte mot ansikte
当前	för närvarande	Det viktigaste för närvarande är att garantera säkerheten
当事人	en berörd person	Polisen förhör den berörda personen
当务之急	en högsta prioritet	Att lösa bostadsproblemet är högsta prioritet
当选	bli vald	Hon blev utan problem vald till ordförande
党	ett parti	Det här partiet föreslog en ny politik
档案	en akt	Skolan sparade elevernas akter
档次	en klass; en nivå	Det här hotellet håller hög klass
倒闭	gå i konkurs	Den lilla butiken gick i konkurs förra året
导弹	en robot	Nyheterna rapporterade om robottestet
导航	navigering	Slå på navigeringen i mobilen
导向	inriktning	Utbildningspolitiken bör ha rättvisa som inriktning
捣乱	bråka	Bråka inte på lektionen
盗窃	stöld	Köpcentret skärpte åtgärderna för att förhindra stöld
稻谷	risgröda	Bönderna skördar risgrödan
得不偿失	inte vara värt förlusten	Att köpa dåligt material för att spara pengar är inte värt förlusten
得力	kompetent	Han är chefens kompetenta assistent
得天独厚	ha unika fördelar	Den här staden har unika geografiska fördelar
得罪	förolämpa	Jag vill inte förolämpa kollegor över en småsak
灯笼	en lykta	Under vårfesten hänger röda lyktor vid dörren
登录	logga in	Logga först in på ditt konto
登陆	gå i land; nå kusten	Tyfonen kan nå kusten i kväll
蹬	trampa till	Han trampade till hårt och cykeln började röra sig
等候	vänta	Passagerarna väntar i hallen på att gå ombord
等级	en nivå	Den här programvaran har olika medlemsnivåer
瞪	blänga	Han blängde argt på mig
堤坝	en fördämning	Fördämningen måste kontrolleras noggrant efter skyfallet
敌视	vara fientlig mot	Vi bör inte vara fientliga mot olika åsikter
抵达	anlända	Planet anlände till Peking i tid
抵抗	göra motstånd	Byborna gjorde tillsammans motstånd mot översvämningen
抵制	bojkotta	Konsumenterna började bojkotta varor av dålig kvalitet
地步	ett läge	Saken har ännu inte blivit så allvarlig
地势	terräng	Terrängen här är hög, så vatten samlas inte lätt
地质	geologi	Experter undersöker de lokala geologiska förhållandena
递增	öka gradvis	Försäljningen ökade gradvis tre månader i rad
颠簸	skumpig	Bergsvägen är mycket skumpig, så kör försiktigt
颠倒	vända om	Du har vänt om ordningen på de två siffrorna
典礼	en ceremoni	Examensceremonin hålls i aulan
典型	typisk	Det här är ett typiskt framgångsfall
点缀	dekorera	Några små blommor dekorerade matbordet
垫	ett underlägg	Lägg det här pappret som underlägg under koppen
奠定	lägga grunden	Samarbetet lade grunden för en långvarig relation
惦记	oroa sig för	Mamman oroar sig alltid för sitt barn långt borta
电源	strömmen	Stäng av strömmen innan du går ut
叼	hålla i munnen	Hunden höll ett ben i munnen
雕刻	snida	Han tycker om att snida mönster i trä
雕塑	en skulptur	Det finns en skulptur mitt på torget
吊	lyfta upp	Arbetarna lyfte upp stålbalken med en maskin
调动	förflytta	Företaget förflyttade honom till arbete i Shanghai
跌	falla	Aktiekursen föll igen i dag
丁	en tärning	Receptet säger att potatisen ska skäras i tärningar
叮嘱	påminna upprepade gånger	Läraren påminde oss upprepade gånger om säkerheten
盯	stirra	Stirra inte hela tiden på andra
定期	regelbundet	Läkaren rådde honom att kontrollera hälsan regelbundet
定义	en definition	Förklara först definitionen av det här begreppet
丢人	skamligt	Att ljuga offentligt är verkligen skamligt
丢三落四	glömsk	Han är alltid glömsk och glömmer ofta nycklarna när han går ut
东道主	en värd	Som värdar bör vi ta väl hand om gästerna
东张西望	se sig omkring	Se dig inte omkring under lektionen
董事长	en styrelseordförande	Styrelseordföranden deltog i mötet i dag
冻结	frysa	Banken frös tillfälligt kontot
动荡	orolig	Kriget gjorde regionen orolig under lång tid
动机	ett motiv	Polisen utreder hans motiv
动静	ljud och rörelse	Det fanns inte minsta ljud eller rörelse i rummet
动力	drivkraft	Intresse är drivkraften för lärande
动脉	en artär	Läkaren undersökte hans artär
动身	ge sig av	Vi ger oss av till flygplatsen tidigt i morgon
动手	börja slåss	Saken är inte klar än, så ingen ska börja slåss
动态	utveckling	Följ projektets utveckling löpande
动员	mobilisera	Skolan mobiliserade eleverna att delta i frivilligarbete
栋	byggnadsräkneord	Den här byggnaden har tjugo våningar
兜	en ficka	Han lade nycklarna i rockfickan
陡峭	brant	Den här bergsvägen är mycket brant
斗争	kamp	De kämpar för att skydda miljön
督促	driva på	Chefen drev på alla att slutföra uppgiften i tid
毒品	narkotika	Tullen beslagtog ett parti narkotika
独裁	diktatur	Människor motsätter sig diktatoriskt styre
堵塞	blockera	Sopor blockerade avloppet
赌博	spela om pengar	Spel om pengar kan få allvarliga följder
杜绝	sätta stopp för	Företaget kräver att slöseri ska stoppas
端	bära	Han kom in med en kopp varmt te
端午节	drakbåtsfestivalen	Under drakbåtsfestivalen äter vi zongzi
端正	rätta till	Elever bör rätta till sin inställning till studier
短促	kortvarig	Han gav ifrån sig en kort suck
断定	avgöra	Det går ännu inte att avgöra vem som har rätt eller fel
断绝	bryta av	Efter olyckan bröts byns kontakt med omvärlden
堆积	hopas	Snön hopades vid vägkanten
兑现	infria	Han infriade till slut sitt löfte
对策	en motåtgärd	Inför riskerna behöver vi motåtgärder
对称	symmetrisk	Byggnadens vänstra och högra sida är mycket symmetriska
对付	hantera	Det här problemet är inte lätt att hantera
对抗	möta varandra	De två lagen möter varandra i finalen
对立	stå emot varandra	De två sidornas ståndpunkter står helt emot varandra
对联	en nyårskuplett	Under vårfesten sätter de upp nyårskupletter vid dörren
对应	motsvara	Varje nummer motsvarar en plats
对照	jämföra	Jämför översättningen med originaltexten
队伍	en procession	Paraden rörde sig långsamt framåt
顿时	genast	När han hörde nyheten stelnade han genast till
哆嗦	darra	Det var så kallt att han darrade hela tiden
多元化	diversifiering	Företaget driver på diversifiering av verksamheten
堕落	förfalla	Han vill inte låta sig själv fortsätta förfalla
额外	extra	Den här tjänsten kräver en extra avgift
恶心	illamående	När jag kände lukten blev jag lite illamående
恶化	förvärras	Om det inte behandlas kan sjukdomen förvärras
遏制	hålla tillbaka	Regeringen vidtog åtgärder för att hålla tillbaka föroreningar
恩怨	en gammal konflikt	Den gamla konflikten mellan de två företagen går långt tillbaka
而已	det är allt	Jag sade det bara i förbigående, det är allt
二氧化碳	koldioxid	Växter absorberar koldioxid
发布	offentliggöra	Företaget offentliggör en ny produkt i morgon
发财	bli rik	Han hoppas bli rik genom hårt arbete
发呆	sitta i egna tankar	Hon satt vid fönstret i egna tankar
发动	mobilisera	Volontärer mobiliserade invånarna att städa gatan
发觉	märka	Jag märkte att han var lite nervös i dag
发射	skjuta upp	Raketen skjuts upp på kvällen
发誓	svära	Han svor att aldrig ljuga igen
发行	lansera	Filmen lanseras nästa månad
发炎	vara inflammerad	Såret är lite inflammerat
发扬	föra vidare	Vi bör föra vidare lagarbetets anda
发育	utveckling	Barns fysiska utveckling behöver tillräcklig näring
法人	en juridisk person	Det här företaget är en självständig juridisk person
番	dessa ord	Dessa ord gav mig mycket inspiration
凡是	alla som	Alla som anmäler sig måste delta i utbildningen
繁华	livlig	Den här gatan var tidigare mycket livlig
繁忙	fullt upp	Flygplatsen har särskilt mycket att göra under helger
繁体字	traditionella kinesiska tecken	I Taiwan används ofta traditionella kinesiska tecken
