source_headword	ET	example_ET
neglect	hooletusse jätma	Ärge jätke baasohutust hooletusse.
neighbouring	naaber	Naaberlinnad jagasid haiglat.
nest	pesa	Lind ehitas pesa.
net	neto	Netokasum tõusis järsult.
newsletter	uudiskiri	Uudiskiri saabub igal reedel.
niche	nišš	Ettevõte leidis kasumliku niši.
noble	õilis	Tema õilis žest avaldas kõigile muljet.
nod	noogutama	Palun noogutage, kui saate aru.
nominate	nimetama	Nad nimetavad uue esimehe.
nomination	nominatsioon	Tema nominatsioon üllatas komiteed.
nominee	kandidaat	Kandidaat vastas keerulistele küsimustele.
nonetheless	sellegipoolest	Sellegipoolest plaaniga jätkati.
non-profit	mittetulunduslik	Ta töötab mittetulunduslikus kliinikus.
nonsense	jama	See kuulujutt on täielik jama.
noon	keskpäev	Koosolek algab keskpäeval.
notable	märkimisväärne	Aruandes tehti märkimisväärseid edusamme.
notably	eriti	Eriti langesid kulud mais.
notify	teavitama	Palun teavitage personali enne lahkumist.
notorious	kurikuulus	Tee on kurikuulus õnnetuste poolest.
novel	uudne	Nad pakkusid välja uudse lahenduse.
nursery	sõim	Sõim hoolitseb imikute eest.
objection	vastuväide	Advokaat esitas vastuväite.
oblige	kohustama	Reeglid kohustavad juhte peatuma.
obsess	kinnisideeks tegema	Ära muuda väikeseid vigu kinnisideeks.
obsession	kinnisidee	Tema kinnisidee kahjustas ta tööd.
occasional	juhuslik	Oodata on juhuslikke viivitusi.
occurrence	juhtum	Selline juhtum on haruldane.
odds	tõenäosus	Edulootused paranesid.
offering	pakkumine	Ülikool laiendas oma pakkumist.
offspring	järglased	Rebane kaitses oma järglasi.
operational	töökorras	Uus süsteem on töökorras.
opt	valima	Paljud õpilased valivad veebitunnid.
optical	optiline	Optiline lääts vajab puhastamist.
optimism	optimism	Pärast teadaannet naasis optimism.
oral	suuline	Suuline eksam algab homme.
organizational	organisatoorne	Organisatoorsed muutused algasid kohe.
orientation	sisseelamiskoolitus	Töötuba hõlmas töötajate sisseelamiskoolitust.
originate	pärinema	Paljud traditsioonid pärinevad maapiirkondadest.
outbreak	puhang	Puhang levis üle linna.
outing	väljasõit	Klass nautis muuseumi väljasõitu.
outlet	müügikoht	Müügikoht müüb soodushinnaga riideid.
outlook	väljavaade	Majanduslik väljavaade on endiselt ebakindel.
outrage	pahameel	Otsus põhjustas avalikku pahameelt.
outsider	kõrvalseisja	Kõrvalseisjana märkas ta probleeme.
overlook	kahe silma vahele jätma	Ära jäta väikeseid detaile kahe silma vahele.
overly	liigselt	Juhised olid liigselt keerulised.
oversee	järelevalvet teostama	Ta teeb projektile järelevalvet.
overturn	tühistama	Kohus võib otsuse tühistada.
overwhelm	üle koormama	Liiga palju teavet võib õppijaid üle koormata.
overwhelming	ülekaalukas	Tõendid olid ülekaalukad.
pad	polster	Kasuta põlvede kaitsmiseks polstrit.
parameter	parameeter	Reguleeri ühte parameetrit korraga.
parental	vanemlik	Vanemate toetus parandas kohalkäimist.
parish	kogudus	Kogudus korraldas heategevusliku õhtusöögi.
parliamentary	parlamentaarne	Parlamentaarne arutelu kestis tunde.
partial	osaline	Aruanne andis osalise vastuse.
partially	osaliselt	Aken oli osaliselt avatud.
passing	lahkumine	Tema lahkumine oli ootamatu.
passive	passiivne	Passiivsed investorid leppisid stabiilse tuluga.
pastor	pastor	Pastor külastas perekonda.
patch	paik	Jakk vajab väikest paika.
patent	patent	Ettevõte esitas patenditaotluse.
pathway	rada	Rada viib sertifitseerimiseni.
patrol	patrullima	Politsei patrullib piirkonnas öösiti.
patron	toetaja	Muuseum tänas oma toetajat.
peak	tipp	Nõudlus saavutas talvise tipu.
peasant	talupoeg	Talupojal oli vähe maad.
peculiar	kummaline	Toas oli kummaline lõhn.
persist	püsima	Sümptomid võivad püsida mitu päeva.
persistent	püsiv	Püsiv köha vajab tähelepanu.
personnel	personal	Personaliandmed on konfidentsiaalsed.
petition	petitsioon	Petitsioon kogus tuhandeid allkirju.
philosopher	filosoof	Filosoof seadis kahtluse alla levinud eeldused.
philosophical	filosoofiline	Arutelu muutus filosoofiliseks.
physician	arst	Arst määras vereanalüüsid.
pioneer	pioneer	Temast sai meditsiini pioneer.
pipeline	torujuhe	Torujuhe juhib gaasi maa all.
pirate	piraat	Piraadilaev ilmus ranniku lähedale.
pit	süvend	Töölised kaevasid sügava augu.
plea	palve	Tema abipalvet eirati.
plead	tunnistama	Kahtlusalune tunnistab end süüdi.
pledge	tõotama	Nad tõotavad toetada reforme.
plug	ühendama	Ühendage kaabel pistikupessa.
plunge	langema	Hinnad võivad pärast skandaali järsult langeda.
pole	post	Lipp rippus posti küljes.
poll	küsitlus	Küsitlus näitas arvamuste muutumist.
pond	tiik	Pardid ületasid külmunud tiigi.
pop	lõhkema	Õhupallid lõhkevad teravate esemete läheduses.
portfolio	portfell	Tema portfell sisaldab mitmeid idufirmasid.
portray	kujutama	Film kujutab maaelu.
postpone	edasi lükkama	Nad otsustasid istungi edasi lükata.
post-war	sõjajärgne	Sõjajärgseid eluasemeid oli hädasti vaja.
practitioner	praktik	Praktik selgitas ravi.
preach	jutlustama	Kirikuõpetaja jutlustab pühapäeval.
precedent	pretsedent	Otsus lõi olulise pretsedendi.
precision	täpsus	Masin lõikab täpsusega.
predator	kiskja	Kiskja ootas jõe ääres.
predecessor	eelkäija	Tema eelkäija jättis üksikasjalikud märkmed.
predominantly	valdavalt	Piirkond on valdavalt elamurajoon.
pregnancy	rasedus	Rasedus nõuab regulaarset arstiabi.
prejudice	eelarvamus	Kampaania esitas väljakutse rassilistele eelarvamustele.
preliminary	esialgne	Esialgsed tulemused tunduvad paljulubavad.
premier	peaminister	Peaminister esines täna parlamendis.
premise	eeldus	Argument tugineb valele eeldusele.
premium	lisatasu	Kliendid maksid kiiruse eest lisatasu.
prescribe	välja kirjutama	Arstid kirjutavad antibiootikume välja ettevaatlikult.
prescription	retsept	Retsept aegub järgmisel kuul.
presently	praegu	Ta on praegu kättesaamatu.
preservation	säilitamine	Säilitamine kaitseb ajaloolisi hooneid.
preside	eesistujaks olema	Kohtunik juhib kohtuistungit.
presidency	presidentuur	Tema presidentuur kestis kaheksa aastat.
presidential	presidendi-	Presidendivalimised tõmbasid tähelepanu.
prestigious	mainekas	Ta võitis maineka stipendiumi.
presumably	arvatavasti	Kontor on täna arvatavasti suletud.
presume	eeldama	Me eeldame, et dokumendid on ehtsad.
prevail	peale jääma	Kaine mõistus peaks peale jääma.
prevalence	levimus	Astma levimus suurenes.
prevention	ennetamine	Ennetamine on odavam kui parandamine.
