source_headword	LV	example_LV
desk	rakstāmgalds	Grāmata ir uz mana rakstāmgalda.
detail	detaļa	Trūkst vienas detaļas.
dialogue	dialogs	Izlasi dialogu tagad.
dictionary	vārdnīca	Stundā izmanto vārdnīcu.
die	mirt	Puķes mirst bez ūdens.
diet	uzturs; diēta	Manā uzturā ir augļi.
difference	atšķirība	Ir viena atšķirība.
different	dažāds; atšķirīgs	Mūsu vārdi ir atšķirīgi.
difficult	grūts	Šis jautājums ir grūts.
dinner	vakariņas	Vakariņas ir gatavas.
dirty	netīrs	Mani apavi ir netīri.
discuss	apspriest; diskutēt	Mēs apspriežam plānu.
dish	šķīvis; ēdiens	Šis šķīvis ir karsts.
do1	darīt	Ko tu dari?
doctor	ārsts	Ārsts ir aizņemts.
dog	suns	Suns skrien ārā.
dollar	dolārs	Tas maksā vienu dolāru.
door	durvis	Aizver durvis, lūdzu.
down	lejā; uz leju	Apsēdies šeit lejā.
downstairs	lejā; pirmajā stāvā	Virtuve ir lejā.
draw	zīmēt	Uzzīmē mazu māju.
dress	kleita; ģērbties	Viņai mugurā ir sarkana kleita.
drink	dzēriens; dzert	Es dzeru ūdeni.
drive	vadīt; braukt	Es braucu uz darbu ar mašīnu.
driver	vadītājs	Autovadītājs šeit apstājas.
during	laikā	Es guļu lidojuma laikā.
DVD	DVD	Šis DVD ir vecs.
each	katrs	Katram bērnam ir grāmata.
ear	auss	Man sāp auss.
early	agri; agrs	Es ceļos agri.
east	austrumi	Saule lec austrumos.
easy	viegls	Šis tests ir viegls.
eat	ēst	Mēs kopā ēdam pusdienas.
egg	ola	Es ēdu vienu olu.
eight	astoņi	Man ir astoņas kartītes.
eighteen	astoņpadsmit	Viņai ir astoņpadsmit gadi.
eighty	astoņdesmit	Manam vectēvam ir astoņdesmit gadi.
elephant	zilonis	Zilonis ir liels.
eleven	vienpadsmit	Stunda sākas vienpadsmitos.
else	cits; vēl	Ko vēl tev vajag?
email	e-pasts; elektroniska vēstule	Atsūti man e-pastu.
end	beigas; beigt	Tās ir beigas.
enjoy	baudīt; patikt	Man patīk šī dziesma.
enough	pietiekami	Mums ir pietiekami laika.
euro	eiro	Tas maksā vienu eiro.
even	pat	Pat mans brālis zina.
evening	vakars	Mēs tiekamies šovakar.
event	pasākums	Pasākums sākas šodien.
ever	kādreiz	Vai tu kādreiz gatavo?
every	katrs; ikviens	Es mācos katru dienu.
everybody	visi	Visi ir šeit.
everyone	ikviens	Ikvienam patīk mūzika.
everything	viss	Viss ir gatavs.
exam	eksāmens	Eksāmens drīz sāksies.
example	piemērs	Tas ir labs piemērs.
excited	satraukts; priecīgs	Šodien es esmu satraukts.
exciting	aizraujošs	Spēle ir aizraujoša.
exercise	vingrinājums; vingrot	Pirms brokastīm es vingroju.
expensive	dārgs	Šis mētelis ir dārgs.
explain	paskaidrot	Paskaidro šo vārdu, lūdzu.
extra	papildu; vēl	Man vajag papildu laiku.
eye	acs	Mana acs ir sarkana.
face	seja	Nomazgā seju.
fact	fakts	Šis fakts ir svarīgs.
fall	krist; rudens	Lapas krīt rudenī.
false	nepareizs; viltus	Tā atbilde ir nepareiza.
family	ģimene	Mana ģimene ir maza.
famous	slavens	Viņa ir slavena dziedātāja.
fantastic	fantastisks	Koncerts bija fantastisks.
far	tālu	Skola ir tālu.
farm	saimniecība; ferma	Viņi dzīvo lauku saimniecībā.
farmer	zemnieks	Zemnieks audzē pārtiku.
fast	ātrs	Šis vilciens ir ātrs.
fat	resns	Kaķis ir resns.
father	tēvs	Mans tēvs ir garš.
favourite	mīļākais; iecienīts	Tā ir mana mīļākā dziesma.
February	februāris	Februārī šeit ir auksti.
feel	just	Es jūtos laimīgs.
feeling	sajūta	Es pazīstu šo sajūtu.
festival	festivāls	Festivāls sākas rīt.
few	daži	Šeit ir daži skolēni.
fifteen	piecpadsmit	Man ir piecpadsmit gadi.
fifth	piektais	Tā ir piektā stunda.
fifty	piecdesmit	Manai mammai ir piecdesmit gadi.
fill	piepildīt; aizpildīt	Piepildi krūzi ar ūdeni.
film	filma	Mēs skatāmies filmu.
final	pēdējais; galīgais	Tas ir pēdējais jautājums.
find	atrast	Es atrodu savas atslēgas.
fine	labi	Tagad es jūtos labi.
finish	pabeigt	Pabeidz mājasdarbu.
fire	uguns	Uguns ir karsta.
first	pirmais	Viņa ir pirmā rindā.
fish	zivs; zivis	Vakariņās es ēdu zivi.
five	pieci	Man ir piecas grāmatas.
flat	dzīvoklis	Mans dzīvoklis ir mazs.
flight	lidojums	Lidojums kavējas.
floor	grīda; stāvs	Soma ir uz grīdas.
flower	puķe	Šī puķe ir dzeltena.
fly	lidot	Putni lido pa debesīm.
follow	sekot	Seko man, lūdzu.
food	ēdiens	Ēdiens ir gatavs.
foot	pēda	Man sāp pēda.
football	futbols	Šodien mēs spēlējam futbolu.
for	par; priekš; dēļ	Šī dāvana ir tev.
forget	aizmirst	Neaizmirsti atslēgas.
form	veidlapa	Aizpildi veidlapu.
forty	četrdesmit	Manam tēvam ir četrdesmit gadi.
four	četri	Es redzu četrus putnus.
fourteen	četrpadsmit	Viņai ir četrpadsmit gadi.
fourth	ceturtais	Tas ir ceturtais stāvs.
free	bezmaksas; brīvs	Biļete ir bezmaksas.
Friday	piektdiena	Mēs tiekamies piektdien.
friend	draugs	Mans draugs ir šeit.
friendly	draudzīgs	Skolotājs ir draudzīgs.
from	no; iz	Es esmu no šejienes.
front	priekšpuse; priekšā	Stāvi priekšā.
fruit	augļi	Es katru dienu ēdu augļus.
full	pilns	Pudele ir pilna.
fun	jautrība; jautrs	Šī spēle ir jautra.
funny	smieklīgs	Filma ir smieklīga.
future	nākotne	Padomā par savu nākotni.
game	spēle	Spēle sākas tagad.
garden	dārzs	Dārzs ir skaists.
geography	ģeogrāfija	Skolā es mācos ģeogrāfiju.
get	saņemt; dabūt	Es atnāku mājās sešos.
girl	meitene	Meitene smaida.
girlfriend	draudzene	Viņa draudzene ir jauka.
give	dot	Dod man grāmatu.
glass	glāze; stikls	Es dzeru no glāzes.
go	iet	Tagad mēs ejam mājās.
good	labs	Šī kafija ir laba.
goodbye	uz redzēšanos	Uz redzēšanos, līdz rītdienai.
grandfather	vectēvs	Mans vectēvs ir vecs.
grandmother	vecmāmiņa	Mana vecmāmiņa vāra zupu.
grandparent	vecvecāks	Vecmāmiņa dzīvo kopā ar mums.
great	lielisks	Tā ir lieliska ideja.
green	zaļš	Durvis ir zaļas.
grey	pelēks	Debesis ir pelēkas.
group	grupa	Strādājiet mazā grupā.
grow	augt; audzēt	Augi aug dārzā.
guess	uzminēt	Uzmini atbildi.
guitar	ģitāra	Viņš spēlē ģitāru.
gym	sporta zāle	Es eju uz sporta zāli.
hair	mati	Viņas mati ir gari.
half	puse	Sagriez kūku uz pusēm.
hand	roka	Pacel roku.
happen	notikt	Kas notiks tālāk?
happy	laimīgs	Šodien es esmu laimīgs.
hard	grūts; ciets	Šis krēsls ir ciets.
hat	cepure	Mana cepure ir melna.
hate	ienīst	Es ienīstu aukstu tēju.
have	būt; piederēt	Man ir mašīna.
have to modal	vajadzēt; būt jādara	Man jāmācās.
he	viņš	Viņš ir mans brālis.
head	galva	Man sāp galva.
health	veselība	Labs ēdiens palīdz veselībai.
healthy	veselīgs	Šī maltīte ir veselīga.
hear	dzirdēt	Es dzirdu mūziku.
hello	sveiki	Sveiki, prieks iepazīties.
help	palīdzība; palīdzēt	Lūdzu, palīdzi man.
her	viņas; viņu	Tā ir viņas soma.
here	šeit	Nāc šeit tagad.
hey	ei	Ei, pagaidi mani.
hi	sveiki	Sveiki, kā klājas?
high	augsts	Siena ir augsta.
him	viņu	Es viņu pazīstu.
his	viņa	Viņa mētelis ir zils.
history	vēsture	Es mācos vēsturi.
hobby	vaļasprieks	Lasīšana ir mans vaļasprieks.
holiday	brīvdiena; atvaļinājums	Jūlijā mēs dodamies atvaļinājumā.
home	mājas; mājās	Es esmu mājās.
homework	mājasdarbs	Šovakar izdari mājasdarbu.
hope	cerēt	Es ceru, ka tu atnāksi.
horse	zirgs	Zirgs skrien ātri.
hospital	slimnīca	Slimnīca ir netālu.
hot	karsts	Zupa ir karsta.
hotel	viesnīca	Viesnīca ir tīra.
hour	stunda	Pagaidi vienu stundu.
house	māja	Šī māja ir veca.
how	kā	Kā tev klājas?
however	tomēr	Tomēr es varu palikt šeit.
hundred	simts	Atnāca simts cilvēku.
hungry	izsalcis	Es esmu izsalcis.
husband	vīrs	Viņas vīrs ir ārsts.
I	es	Man patīk tēja.
ice	ledus	Ledus ir auksts.
ice cream	saldējums	Es gribu saldējumu.
idea	ideja	Tā ir laba ideja.
if	ja	Piezvani man, ja vajag palīdzību.
imagine	iedomāties	Iedomājies mazu māju.
important	svarīgs	Šī stunda ir svarīga.
improve	uzlabot	Es gribu uzlabot savu angļu valodu.
in	iekšā; uz; pie	Atslēgas ir manā somā.
include	iekļaut	Iekļauj savu vārdu, lūdzu.
information	informācija	Man vajag vairāk informācijas.
interest	interese	Viņai ir interese par mākslu.
interested	ieinteresēts	Mani interesē mūzika.
interesting	interesants	Šī grāmata ir interesanta.
internet	internets	Internets ir lēns.
interview	intervija; pārrunas	Šodien man ir intervija.
into	iekšā; uz	Ieliec grāmatas somā.
introduce	iepazīstināt	Iepazīstini ar savu draugu.
island	sala	Šī sala ir maza.
it	tas; tā	Ir auksti.
its	tā; tās; savs	Suns mīl savu guļvietu.
jacket	jaka	Mana jaka ir jauna.
January	janvāris	Janvāris ir pirmais mēnesis.
jeans	džinsi	Mani džinsi ir zili.
job	darbs	Man vajag jaunu darbu.
join	pievienoties	Pievienojies mūsu klasei šodien.
journey	ceļojums	Ceļojums ir garš.
juice	sula	Es dzeru apelsīnu sulu.
July	jūlijs	Jūlijā mēs ceļojam.
June	jūnijs	Skola beidzas jūnijā.
just	tikko; tikai	Man vajag tikai ūdeni.
keep	turēt; paturēt	Paturi šo atslēgu.
key	atslēga	Es pazaudēju atslēgu.
kilometre	kilometrs	Ej vienu kilometru.
kind (type)	veids	Kāda veida mūzika tev patīk?
kitchen	virtuve	Virtuve ir tīra.
know	zināt; pazīt	Es zinu atbildi.
land	zeme; sauszemē	Lidmašīna ir uz zemes.
language	valoda	Es mācos angļu valodu.
large	liels	Šī istaba ir liela.
last1 (final)	pēdējais	Tā ir pēdējā lapa.
late	vēls; vēlu	Autobuss kavējas.
later	vēlāk	Tiksimies vēlāk.
laugh	smieties	Mēs smejamies kopā.
learn	mācīties	Es mācos angļu valodu.
leave	aiziet; atstāt	Atstāj durvis vaļā.
left	kreisais; pa kreisi	Šeit pagriezies pa kreisi.
leg	kāja	Man sāp kāja.
lesson	stunda	Stunda sākas tagad.
let	ļaut	Ļauj man palīdzēt.
letter	vēstule; burts	Es rakstu vēstuli.
library	bibliotēka	Bibliotēka atveras deviņos.
lie1	gulēt	Apgulies uz gultas.
life	dzīve	Pilsētas dzīve ir rosīga.
like (similar)	kā; līdzīgs	Tas ir kā spēle.
like (find sb/sth pleasant)	patikt	Man patīk šī dziesma.
line	rinda; līnija	Stāvi rindā.
lion	lauva	Lauva guļ.
list	saraksts	Izveido iepirkumu sarakstu.
listen	klausīties	Klausies skolotāju.
little	mazs; maz	Man ir maz naudas.
live1	dzīvot	Es dzīvoju netālu no skolas.
local	vietējais	Tas ir vietējais veikals.
long1	garš	Ceļš ir garš.
look	skatīties; izskatīties	Paskaties uz attēlu.
lose	pazaudēt; zaudēt	Nepazaudē biļeti.
lot	daudz	Man ir daudz mājasdarbu.
love	mīlēt; mīlestība	Es mīlu savu ģimeni.
lunch	pusdienas	Pusdienas ir gatavas.
