source_headword	TE	example_TE
bury	పాతిపెట్టు	వారు పెట్టెను ఇసుకలో పాతిపెట్టారు.
calm	శాంతమైన	పరీక్ష సమయంలో శాంతంగా ఉండు.
campaign	ప్రచారం	ప్రచారం పాఠశాలల కోసం డబ్బు సేకరించింది.
campus	ప్రాంగణం	విద్యార్థులు ప్రాంగణానికి దగ్గరగా ఉంటారు.
candidate	అభ్యర్థి	ప్రతి అభ్యర్థి మూడు ప్రశ్నలకు జవాబు ఇచ్చాడు.
cap	టోపీ	అతను బేస్‌బాల్ టోపీ ధరించాడు.
captain	నాయకుడు	నాయకుడు జట్టుతో మాట్లాడాడు.
careless	నిర్లక్ష్యమైన	నిర్లక్ష్యమైన తప్పు మా సమయాన్ని వృథా చేసింది.
category	వర్గం	సరైన వర్గాన్ని ఎంచుకో.
ceiling	పైకప్పు	పైకప్పు తెల్లగా రంగు వేయబడింది.
celebration	వేడుక	వేడుక మొత్తం సాయంత్రం కొనసాగింది.
central	కేంద్ర	హోటల్‌కు కేంద్ర స్థానం ఉంది.
ceremony	వేడుక	వేడుక మధ్యాహ్నం ప్రారంభమైంది.
chain	గొలుసు	ఆమె వెండి గొలుసు ధరించింది.
challenge	సవాలు	ఈ ప్రాజెక్ట్ నిజమైన సవాలు.
champion	విజేత	విజేత తన కోచ్‌కు ధన్యవాదాలు చెప్పింది.
channel	ఛానల్	దయచేసి ఛానల్ మార్చండి.
chapter	అధ్యాయం	ఈ రాత్రి తదుపరి అధ్యాయం చదువు.
charge	రుసుము	పిల్లలకు రుసుము లేదు.
cheat	మోసం చేయు	పరీక్షలో మోసం చేయవద్దు.
cheerful	ఆనందంగా ఉన్న	ఆమె ఈ ఉదయం ఆనందంగా వినిపించింది.
chemical	రసాయన	రసాయన వాసన బలంగా ఉంది.
chest	ఛాతీ	పరిగెత్తిన తర్వాత అతని ఛాతీ నొప్పించింది.
childhood	బాల్యం	నాకు నా బాల్యపు ఇల్లు గుర్తుంది.
claim	దావా చేయు	వారు ఉత్పత్తి సురక్షితమని దావా చేస్తున్నారు.
clause	ఉపవాక్యం	ఈ ఉపవాక్యం అర్థాన్ని మార్చుతుంది.
click	క్లిక్ చేయు	నీలి బటన్‌ను క్లిక్ చేయు.
client	ఖాతాదారు	ఖాతాదారు మరిన్ని వివరాలు అడిగాడు.
cloth	బట్ట	ఈ బట్టతో బల్లను తుడువు.
clue	సూచన	సూచన దాన్ని పరిష్కరించడానికి మాకు సహాయపడింది.
coal	బొగ్గు	పాత రైలు బొగ్గును ఉపయోగించింది.
coin	నాణెం	అతను నేలపై ఒక నాణెం కనుగొన్నాడు.
collection	సేకరణ	ఆమె స్టాంపుల సేకరణ పెద్దది.
coloured	రంగుల	ఆమె రంగుల దుపట్టా ధరించింది.
combine	కలపి	పిండి మరియు నీటిని కలపి పెట్టు.
commercial	వాణిజ్య	వాణిజ్య విరామం ఐదు నిమిషాలు కొనసాగింది.
commit	కట్టుబడు	మనం ప్రణాళికకు కట్టుబడాలి.
communication	సంప్రదింపు	మంచి సంప్రదింపు తప్పులను నివారిస్తుంది.
comparison	పోలిక	ఈ పోలిక ఉపయోగకరంగా ఉంది.
competitive	పోటీతో కూడిన	మార్కెట్ చాలా పోటీతో కూడినది.
competitor	పోటీదారు	మా ప్రధాన పోటీదారు ధర తగ్గించాడు.
complaint	ఫిర్యాదు	ఆమె శబ్దం గురించి ఫిర్యాదు చేసింది.
complex	సంక్లిష్టమైన	సూచనలు చాలా సంక్లిష్టంగా ఉన్నాయి.
concentrate	దృష్టి పెట్టు	సంగీతం వినిపించినప్పుడు నేను దృష్టి పెట్టలేను.
conclude	ముగించు	మనం సమావేశాన్ని ఇప్పుడు ముగిద్దాం.
conclusion	నిష్కర్ష	అతని నిష్కర్ష సమంజసంగా కనిపించింది.
confident	నమ్మకంతో ఉన్న	ఇంటర్వ్యూకు ముందు ఆమె నమ్మకంతో ఉంది.
confirm	నిర్ధారించు	దయచేసి మీ ఇమెయిల్ చిరునామాను నిర్ధారించండి.
confuse	గందరగోళపరచు	ఈ రెండు పేర్లు నన్ను గందరగోళపరుస్తాయి.
confused	గందరగోళంలో ఉన్న	నక్షత్రం వల్ల నేను గందరగోళంలో పడ్డాను.
connection	సంబంధం	ఇంటర్నెట్ సంబంధం నెమ్మదిగా ఉంది.
consequence	పరిణామం	తక్కువ నిద్రకు పరిణామం ఉంటుంది.
consist	కలిగి ఉండు	భోజనం మూడు భాగాలను కలిగి ఉంటుంది.
consume	వినియోగించు	పెద్ద కార్లు ఎక్కువ ఇంధనం వినియోగిస్తాయి.
consumer	వినియోగదారు	వినియోగదారు స్పష్టమైన సమాచారాన్ని కోరుకుంటాడు.
contact	సంప్రదించు	మధ్యాహ్న భోజనం తర్వాత నన్ను సంప్రదించు.
container	పాత్ర	సూప్‌ను పాత్రలో పెట్టు.
content1	విషయం	కోర్సు విషయం ఉపయోగకరంగా ఉంది.
continuous	నిరంతర	యంత్రం నిరంతర శబ్దం చేసింది.
contrast	తేడా	వారి మధ్య తేడా స్పష్టంగా ఉంది.
convenient	సౌకర్యమైన	స్థలం చాలా సౌకర్యంగా ఉంది.
convince	నమ్మించు	ఆమె అతన్ని మళ్లీ ప్రయత్నించడానికి నమ్మించింది.
costume	వేషధారణ	అతను సముద్ర దొంగ వేషధారణ ధరించాడు.
cottage	చిన్న ఇల్లు	వారు చిన్న ఇల్లు అద్దెకు తీసుకున్నారు.
cotton	పత్తి	ఈ చొక్కా పత్తితో తయారైంది.
countryside	గ్రామీణ ప్రాంతం	మేము గ్రామీణ ప్రాంతం గుండా నడిచాము.
court	న్యాయస్థానం	కేసు న్యాయస్థానానికి వెళ్లింది.
covered	కప్పబడ్డ	బల్ల కాగితాలతో కప్పబడి ఉంది.
cruel	క్రూరమైన	నవ్వడం క్రూరంగా ఉంది.
cultural	సాంస్కృతిక	మ్యూజియం సాంస్కృతిక కార్యక్రమాలు అందిస్తుంది.
currency	కరెన్సీ	స్థానిక కరెన్సీ యూరో.
current	ప్రస్తుత	ప్రస్తుత పరిస్థితి కష్టంగా ఉంది.
currently	ప్రస్తుతం	ఆమె ప్రస్తుతం విదేశంలో చదువుతోంది.
curtain	తెర	రాత్రి తెరను మూసివేయు.
custom	ఆచారం	ఈ ఆచారం చాలా పాతది.
damage	నష్టం	తుఫాను తీవ్రమైన నష్టం చేసింది.
decade	దశాబ్దం	వారు అక్కడ ఒక దశాబ్దం జీవించారు.
decorate	అలంకరించు	మనం గదిని కలిసి అలంకరిద్దాం.
define	నిర్వచించు	నీవు ఈ పదాన్ని నిర్వచించగలవా?
definite	నిశ్చితమైన	మాకు నిశ్చితమైన సమాధానం అవసరం.
definition	నిర్వచనం	నిర్వచనాన్ని నీ నోట్‌బుక్‌లో వ్రాయి.
deliver	అందించు	వారు మా ఇంటికి ఆహారం అందిస్తారు.
departure	నిష్క్రమణ	నిష్క్రమణ సమయం మారింది.
despite	ఉన్నప్పటికీ	వర్షం ఉన్నప్పటికీ మేము నడిచాము.
destination	గమ్యం	పారిస్ వారి చివరి గమ్యం.
determine	నిర్ణయించు	పరీక్షలు మీ స్థాయిని నిర్ణయిస్తాయి.
determined	దృఢసంకల్పంతో ఉన్న	ఆమె విజయానికి దృఢసంకల్పంతో ఉంది.
development	అభివృద్ధి	నగర అభివృద్ధి వేగంగా ఉంది.
diagram	చిత్రం	సరళమైన చిత్రాన్ని గీయు.
diamond	వజ్రం	ఉంగరంలో చిన్న వజ్రం ఉంది.
difficulty	కష్టం	అతనికి తలుపు తెరవడంలో కష్టం ఉంది.
directly	నేరుగా	దయచేసి నాతో నేరుగా మాట్లాడు.
dirt	మురికి	అతని బూట్లు మురికితో కప్పబడ్డాయి.
disadvantage	లోపం	పొడవైన ప్రయాణం ఒక లోపం.
disappointed	నిరాశ చెందిన	ఆమె ఫలితంతో నిరాశ చెందింది.
disappointing	నిరాశ కలిగించే	ముగింపు నిరాశ కలిగించింది.
discount	రాయితీ	విద్యార్థులకు ఇక్కడ రాయితీ లభిస్తుంది.
dislike	ఇష్టపడకపోవు	నాకు చాలా గట్టిగా ఉన్న సంగీతం ఇష్టం లేదు.
divide	విభజించు	కేక్‌ను ముక్కలుగా విభజించు.
documentary	డాక్యుమెంటరీ	మేము అంతరిక్షం గురించి డాక్యుమెంటరీ చూశాము.
donate	దానం చేయు	చాలా మంది పాత బట్టలను దానం చేస్తారు.
doubt	సందేహం	దానిపై నాకు ఎలాంటి సందేహం లేదు.
dressed	దుస్తులు ధరించిన	అతను నల్ల దుస్తులు ధరించాడు.
drum	డప్పు	డప్పు శబ్దం గది అంతా వినిపించింది.
drunk	మత్తులో ఉన్న	డ్రైవర్ మత్తులో ఉన్నాడు.
due	గడువు ఉన్న	నివేదికకు రేపు గడువు ఉంది.
dust	దుమ్ము	పాత పుస్తకాలు దుమ్ముతో కప్పబడ్డాయి.
duty	కర్తవ్యం	సహాయం చేయడం నా కర్తవ్యం.
earthquake	భూకంపం	భూకంపం వంతెనకు నష్టం చేసింది.
eastern	తూర్పు	తూర్పు తీరం గాలిగా ఉంది.
economic	ఆర్థిక	దేశం ఆర్థిక సమస్యలను ఎదుర్కొంటోంది.
economy	ఆర్థిక వ్యవస్థ	ఆర్థిక వ్యవస్థ ఈ సంవత్సరం పెరిగింది.
edge	అంచు	అంచు నుండి దూరంగా నిలుచు.
editor	సంపాదకుడు	సంపాదకుడు వ్యాసాన్ని తనిఖీ చేశాడు.
educate	విద్య ఇవ్వు	పాఠశాలలు యువకులకు విద్య ఇస్తాయి.
educated	విద్యావంతుడైన	ఆమె చాలా విద్యావంతురాలు.
educational	విద్యాసంబంధమైన	ఆట విద్యాసంబంధమైనది.
effective	ప్రభావవంతమైన	ఈ ఔషధం ప్రభావవంతమైనది.
effectively	ప్రభావవంతంగా	ఆమె నియమాన్ని ప్రభావవంతంగా వివరించింది.
effort	ప్రయత్నం	నీ ప్రయత్నం మార్పు తీసుకొచ్చింది.
election	ఎన్నిక	ఎన్నిక ఫలితం చాలా దగ్గరగా ఉంది.
element	అంశం	నమ్మకం ముఖ్యమైన అంశం.
embarrassed	సిగ్గుపడిన	పడిపోయిన తర్వాత అతను సిగ్గుపడ్డాడు.
embarrassing	సిగ్గుపడేలా చేసే	అది సిగ్గుపడేలా చేసే తప్పు.
emergency	అత్యవసర పరిస్థితి	అత్యవసర పరిస్థితిలో ఈ నంబర్‌కు కాల్ చేయు.
emotion	భావోద్వేగం	భయం బలమైన భావోద్వేగం.
employment	ఉపాధి	ఈ నెలలో ఉపాధి పెరిగింది.
encourage	ప్రోత్సహించు	ఉపాధ్యాయులు విద్యార్థులను చదవడానికి ప్రోత్సహిస్తారు.
enemy	శత్రువు	రెండు దేశాలు శత్రువులుగా ఉన్నాయి.
engaged	నిశ్చితార్థం అయిన	వారు గత వసంతంలో నిశ్చితార్థం అయ్యారు.
engineering	ఇంజనీరింగ్	ఆమె విశ్వవిద్యాలయంలో ఇంజనీరింగ్ చదువుతోంది.
entertain	వినోదపరచు	గాయకుడు అతిథులను వినోదపరుస్తాడు.
entertainment	వినోదం	నగరం సాయంత్రపు వినోదం అందిస్తుంది.
entrance	ప్రవేశద్వారం	ప్రవేశద్వారం దగ్గర నన్ను కలవు.
entry	ప్రవేశం	పిల్లలకు ప్రవేశం ఉచితం.
environmental	పర్యావరణ	మేము పర్యావరణ సమస్యలను చర్చించాము.
episode	భాగం	చివరి భాగం ఉత్కంఠభరితంగా ఉంది.
equal	సమానమైన	వారికి సమానమైన వేతనం లభిస్తుంది.
equally	సమానంగా	పని సమానంగా పంచబడింది.
escape	తప్పించుకో	ఖైదీలు తప్పించుకోవడానికి ప్రయత్నించారు.
essential	అత్యవసరమైన	నీరు జీవితానికి అత్యవసరమైనది.
eventually	చివరికి	చివరికి మేము హోటల్‌ను కనుగొన్నాము.
examine	పరిశీలించు	వైద్యుడు నా చేతిని పరిశీలించాడు.
exchange	మార్పిడి	మేము దుకాణంలో మార్పిడి చేశాము.
excitement	ఉత్సాహం	ఆట ఉత్సాహంతో నిండి ఉంది.
exhibition	ప్రదర్శన	కళా ప్రదర్శన రేపు తెరుచుకుంటుంది.
expand	విస్తరించు	కంపెనీ విస్తరించడానికి ప్రణాళిక చేస్తోంది.
expected	ఊహించిన	ఊహించిన ఖర్చు ఎక్కువగా ఉంది.
expedition	అన్వేషణ యాత్ర	అన్వేషణ యాత్ర ఎడారిని దాటింది.
experienced	అనుభవజ్ఞుడైన	ఆమె అనుభవజ్ఞురాలైన నర్సు.
explode	పేలిపోవు	వేడిలో సీసా పేలిపోవచ్చు.
explore	అన్వేషించు	మేము పాత నగరాన్ని అన్వేషించాము.
explosion	పేలుడు	పేలుడు కొన్ని కిటికీలను పగలగొట్టింది.
export	ఎగుమతి	కాఫీ ముఖ్యమైన ఎగుమతి.
fairly	చాలా	పరీక్ష చాలా సులభంగా ఉంది.
familiar	పరిచయమైన	ఆమె ముఖం పరిచయమైనట్టు కనిపించింది.
fancy	కోరుకో	నీకు ఒక కాఫీ కావాలా?
fascinating	మిక్కిలి ఆసక్తికరమైన	కథ మిక్కిలి ఆసక్తికరంగా ఉంది.
fashionable	ఫ్యాషన్ గల	ఆ చెప్పులు ఫ్యాషన్ గలవి.
fasten	బిగించు	నీ సీటు బెల్ట్‌ను బిగించు.
favour	సహాయం	నీవు నాకు ఒక సహాయం చేయగలవా?
fence	కంచె	కంచె తోటను చుట్టుకుంది.
fighting	పోరాటం	పోరాటం ఉదయం ఆగింది.
file	ఫైల్	మూసే ముందు ఫైల్‌ను సేవ్ చేయు.
financial	ఆర్థిక	ఆమెకు ఆర్థిక సలహా అవసరం.
fitness	దేహదారుఢ్యం	పరుగెత్తడం నీ దేహదారుఢ్యాన్ని మెరుగుపరుస్తుంది.
fixed	స్థిరమైన	ధర స్థిరమైనది.
flag	జెండా	జెండా పాఠశాలపై ఎగిరింది.
flood	వరద	వరద అనేక ఇళ్లకు నష్టం చేసింది.
flour	పిండి	గిన్నెలో పిండి వేయండి.
flow	ప్రవహించు	నది నగరం గుండా ప్రవహిస్తుంది.
fold	మడతపెట్టు	కాగితాన్ని సగానికి మడతపెట్టు.
folk	జానపద	జానపద సంగీతం మందిరాన్ని నింపింది.
force	బలం	గాలికి గొప్ప బలం ఉంది.
forever	ఎప్పటికీ	నేను దీన్ని ఎప్పటికీ గుర్తుంచుకుంటాను.
frame	ఫ్రేమ్	ఫోటోకు ఫ్రేమ్ అవసరం.
freeze	గడ్డకట్టు	రాత్రికి నీరు గడ్డకడుతుంది.
frequently	తరచుగా	అతను తరచుగా తన తల్లిదండ్రులను చూడడానికి వెళ్తాడు.
friendship	స్నేహం	వారి స్నేహం ఎన్నో సంవత్సరాలు కొనసాగింది.
frighten	భయపెట్టు	గట్టిగా ఉన్న శబ్దాలు పిల్లవాడిని భయపెడతాయి.
frightened	భయపడిన	పిల్లవాడు భయపడినట్టు కనిపించాడు.
frightening	భయపెట్టే	తుఫాను భయపెట్టింది.
frozen	గడ్డకట్టిన	చెరువు గడ్డకట్టింది.
fry	వేపు	ఉల్లిపాయలను ఐదు నిమిషాలు వేయించు.
fuel	ఇంధనం	కారుకు మరింత ఇంధనం అవసరం.
function	పని	ఈ బటన్‌కు ఒక పని ఉంది.
fur	రోమాలు	పిల్లికి మృదువైన రోమాలు ఉన్నాయి.
garage	గ్యారేజ్	కారు గ్యారేజ్‌లో ఉంది.
gather	చేరుకో	మేము బల్ల చుట్టూ చేరుకున్నాము.
generally	సాధారణంగా	ఆమె సాధారణంగా ముందే వస్తుంది.
generation	తరం	ప్రతి తరం కొత్త సమస్యలను ఎదుర్కొంటుంది.
generous	ఉదారమైన	అతను తన సమయంతో ఉదారంగా ఉంటాడు.
gentle	మృదువైన	మృదువైన స్వరాన్ని ఉపయోగించు.
gentleman	సభ్యుడు	సభ్యుడు తలుపు తెరిచాడు.
ghost	దెయ్యం	కథ ఒక దెయ్యం గురించి చెబుతుంది.
giant	విపరీతమైన	విపరీతమైన తెర వేదికను నింపింది.
glad	సంతోషంగా	నీవు వచ్చినందుకు నేను సంతోషంగా ఉన్నాను.
global	ప్రపంచవ్యాప్త	వాతావరణ మార్పు ప్రపంచవ్యాప్త సమస్య.
glove	చేతి తొడుగు	నేను ఒక చేతి తొడుగును కోల్పోయాను.
goods	సరుకులు	సరుకులు ఆలస్యంగా వచ్చాయి.
grade	గ్రేడ్	ఆమెకు ఉన్నత గ్రేడ్ వచ్చింది.
graduate	పట్టభద్రుడు	అతను కొత్త పట్టభద్రుడు.
grain	ధాన్యం	ఒక బియ్యం ధాన్యం పడిపోయింది.
grateful	కృతజ్ఞుడైన	మీ మద్దతుకు నేను కృతజ్ఞుడిని.
growth	వృద్ధి	మొక్క స్థిరమైన వృద్ధిని చూపించింది.
guard	కాపలాదారు	కాపలాదారు మా టికెట్లను తనిఖీ చేశాడు.
guilty	దోషిగా భావించే	అబద్ధం చెప్పినందుకు అతను దోషిగా భావించాడు.
hang	వేలాడదీయు	నీ కోటును ఇక్కడ వేలాడదీయు.
happiness	సంతోషం	డబ్బు సంతోషాన్ని కొనలేడు.
hardly	కష్టంగా	నేను నిన్ను కష్టంగా మాత్రమే విన్నాను.
headline	శీర్షిక	శీర్షిక నా దృష్టిని ఆకర్షించింది.
heating	వేడిచేయడం	వేడిచేయడం పని చేయడం ఆగిపోయింది.
heavily	భారీగా	మొత్తం రాత్రి భారీగా వర్షం పడింది.
helicopter	హెలికాప్టర్	ఒక హెలికాప్టర్ దగ్గర దిగింది.
highlight	ప్రధానంగా చూపు	దయచేసి ముఖ్య ఆలోచనను ప్రధానంగా చూపు.
highly	చాలా	ఆమె చాలా గౌరవించబడుతుంది.
hire	అద్దెకు తీసుకో	మాకు ఒక కారు అద్దెకు తీసుకోవాలి.
historic	చారిత్రాత్మక	మేము చారిత్రాత్మక భవనాన్ని చూశాము.
historical	చరిత్రసంబంధమైన	ఆమె చరిత్రసంబంధమైన నవలలను ఇష్టపడుతుంది.
honest	నిజాయితీగల	దయచేసి నిజాయితీగల సమాధానం ఇవ్వు.
horrible	భయంకరమైన	వాసన భయంకరంగా ఉంది.
horror	భయానకం	అతను భయానక సినిమాలను ఆస్వాదిస్తాడు.
host	ఆతిథేయుడు	ఆతిథేయుడు ప్రతి అతిథిని స్వాగతించాడు.
