source_headword	HR	example_HR
proof	dokaz	Treba nam dokaz prije djelovanja.
proposal	prijedlog	Prijedlog treba više detalja.
propose	predložiti	Predlažem drugačije rješenje.
prospect	mogućnost	Mogućnost neuspjeha ih je zabrinula.
protection	zaštita	Kaciga pruža osnovnu zaštitu.
psychologist	psiholog	Psiholog je objasnio rezultate testa.
psychology	psihologija	Ona studira psihologiju na sveučilištu.
publication	objava	Objava je privukla pozornost javnosti.
pupil	učenik	Svaki učenik dobio je novi udžbenik.
purchase	kupovati	Oni kupuju zalihe svaki mjesec.
pure	čist	Voda je bila čista i hladna.
pursue	baviti se	On će nastaviti medicinsku karijeru.
rank	čin	Ona ima visoki čin.
rapid	brz	Država je zabilježila brz rast.
rapidly	brzo	Cijene su ove godine brzo rasle.
raw	sirov	Kuhar je pripremio sirovo povrće.
realistic	realističan	Postavite realističan rok.
reasonable	razuman	To se čini kao razuman zahtjev.
recall	prisjećati se	Prisjećam se njegovih točnih riječi.
recover	oporaviti se	Oporavit će se nakon liječenja.
reduction	smanjenje	Smanjenje je uštedjelo novac.
regard	smatrati	Mnogi ljudi je smatraju poštenom.
regional	regionalan	Regionalni ured se danas zatvorio.
register	registrirati se	Molimo registrirajte se prije konferencije.
regret	žaliti	Žalim zbog svoje ranije odluke.
regulation	propis	Novi propis utječe na sve vozače.
relatively	relativno	Ispit je bio relativno lak.
relevant	relevantan	Odaberite samo relevantne detalje.
relief	olakšanje	Vijest je donijela veliko olakšanje.
rely	oslanjati se	Djeca se oslanjaju na podršku odraslih.
remark	primjedba	Njegova primjedba završila je raspravu.
representative	predstavnik	Predstavnik se susreo s lokalnim radnicima.
reputation	ugled	Hotel ima dobar ugled.
requirement	uvjet	Iskustvo je osnovni uvjet.
rescue	spasiti	Oni spašavaju ljude od poplava.
reserve	rezervirati	Rezerviramo mjesta za goste.
resident	stanovnik	Svaki stanovnik primio je obavijest.
resist	odoljeti	Pokušajte odoljeti pritisku.
resolve	riješiti	Mirno su riješili spor.
resort	odmaralište	Otočno odmaralište otvoreno je u svibnju.
retain	zadržati	Tvrtka želi zadržati osoblje.
reveal	otkriti	Izvješće će otkriti istinu.
revolution	revolucija	Revolucija je promijenila zemlju.
reward	nagrada	Naporan rad zaslužuje nagradu.
rhythm	ritam	Pjesma ima stalan ritam.
rid	riješiti se	Riješite se tih starih datoteka.
root	korijen	Korijen problema je novac.
rub	trljati	Trljajte površinu krpom.
rubber	guma	Gumena brtva sprječava curenje.
rural	ruralni	Mnogim ruralnim školama treba podrška.
rush	žuriti	Nemojte žuriti s ovom odlukom.
satellite	satelit	Satelit je poslao nove slike.
satisfied	zadovoljan	Kupac se činio zadovoljnim.
satisfy	zadovoljiti	Odgovor ga nije zadovoljio.
saving	štednja	Štednja energije smanjuje mjesečne troškove.
scale	razmjer	Razmjer štete bio je ogroman.
scheme	shema	Shema pomaže mladim radnicima.
scream	vrisak	Čuli su vrisak vani.
sector	sektor	Tehnološki sektor raste.
secure	osigurati	Zaključajte vrata da biste ih osigurali.
seek	tražiti	Oni traže savjet od stručnjaka.
select	odabrati	Odaberite najbolju opciju.
selection	izbor	Trgovina nudi širok izbor.
self	ja	Pokazala je svoje pravo ja.
senior	stariji	Stariji liječnik pregledao je pacijenta.
sensitive	osjetljiv	Ova je tema vrlo osjetljiva.
sequence	redoslijed	Slijedite redoslijed koraka.
session	sesija	Trening sesija počinje u podne.
settle	riješiti	Brzo su riješili svađu.
severe	ozbiljan	Oluja je izazvala ozbiljne poplave.
shade	hladovina	Sjednite u hladovinu.
shadow	sjena	Sjena je prešla preko prozora.
shallow	plitak	Jezero je ovdje plitko.
shame	sramota	Osjećao je sramotu nakon laganja.
shelter	sklonište	Škola je osigurala hitno sklonište.
shock	šok	Odluka je bila šok.
shocked	šokiran	Izgledala je šokirano viješću.
shooting	pucnjava	Pucnjava se dogodila u blizini kolodvora.
shot	hitac	Pobjednički hitac iznenadio je sve.
significant	značajan	Otkriće je bilo značajno.
significantly	znatno	Troškovi su se znatno povećali prošle godine.
silence	tišina	Soba je utihnula.
silk	svila	Haljina je bila od svile.
sincere	iskren	Molim vas, primite moju iskrenu zahvalu.
slave	rob	Zakon je oslobodio svakog roba.
slide	kliziti	Dijete se spustilo niz tobogan.
slight	neznatan	Došlo je do neznatnog kašnjenja.
slip	okliznuti se	Nemojte se okliznuti na mokrom podu.
slope	padina	Staza prati strmu padinu.
solar	solarni	Kuća koristi solarnu energiju.
somewhat	donekle	Upute su bile donekle zbunjujuće.
soul	duša	Glazba joj je uzdigla dušu.
specialist	specijalist	Specijalist je pregledao pacijenta.
species	vrsta	Ova vrsta živi blizu rijeka.
spiritual	duhovan	Opisala je duhovno iskustvo.
split	podijeliti	Podijelili su račun na jednake dijelove.
sponsor	sponzorirati	Tvrtka će sponzorirati događaj.
stable	stabilan	Pacijent je stabilan.
stare	buljiti	Nemojte buljiti u strance.
status	status	Njegov status promijenio se preko noći.
steady	postojan	Održavajte postojanu brzinu.
steel	čelik	Most je napravljen od čelika.
steep	strm	Brdo je strmo.
sticky	ljepljiv	Pod je ljepljiv.
stiff	ukočen	Rame mu je bilo ukočeno.
stock	zaliha	Trgovina više nema zaliha.
stream	potok	Mali potok presijeca polje.
stretch	rastegnuti	Protegnite noge nakon leta.
strict	strog	Škola ima stroga pravila.
strike	štrajkati	Radnici bi sutra mogli štrajkati.
struggle	mučiti se	Mnoge se obitelji muče sa stanarinom.
submit	predati	Predajte obrazac do petka.
sum	iznos	Iznos je bio veći od očekivanog.
surgery	operacija	Operacija je trajala dva sata.
surround	okruživati	Visoka stabla okružuju kuću.
surrounding	okolni	Okolno područje je tiho.
suspect	sumnjičiti	Policija sumnjiči lokalnog muškarca.
swear	psovati	Nemojte psovati u razredu.
sweep	pomesti	Pometite pod prije nego što gosti stignu.
sympathy	suosjećanje	Izrazila je suosjećanje sa žrtvama.
tale	priča	Baka je ispričala čudnu priču.
tank	spremnik	Spremnik sadrži čistu vodu.
tear1	podrapati	Nemojte podrapati dokument.
tear2	suza	Suza joj se skotrljala niz obraz.
temporary	privremen	Ured je privremeno sklonište.
therapy	terapija	Fizikalna terapija pomogla je njegovom oporavku.
threat	prijetnja	Poruka je sadržavala prijetnju.
threaten	ugroziti	Oluja bi mogla ugroziti usjeve.
thus	stoga	Cesta je bila zatvorena; stoga smo čekali.
tone	ton	Njegov je ton zvučao mirno.
tough	težak	Intervju je bio težak.
transfer	prenositi	Oni prenose podatke svake noći.
transform	transformirati	Nova politika će transformirati usluge.
transition	prijelaz	Prijelaz je trajao nekoliko mjeseci.
trial	suđenje	Suđenje počinje sljedeći tjedan.
tropical	tropski	Tropske oluje su ovdje česte.
truly	zaista	Zaista cijenim vašu pomoć.
trust	povjerenje	Za izgradnju povjerenja treba vremena.
tune	melodija	Bend je svirao veselu melodiju.
tunnel	tunel	Tunel prolazi ispod rijeke.
ultimately	konačno	Na kraju je plan uspio.
unconscious	bez svijesti	Pacijent je ostao bez svijesti.
unexpected	neočekivan	Kašnjenje je bilo neočekivano.
unique	jedinstven	Svaki dizajn je jedinstven.
universe	svemir	Svemir se širi.
unknown	nepoznat	Ime ostaje nepoznato.
upper	gornji	Gornja polica je prazna.
upwards	prema gore	Dim se kretao prema gore.
urban	urban	Urbana područja trebaju bolji prijevoz.
urge	poticati	Liječnici potiču ljude na vježbanje.
vary	varirati	Cijene variraju ovisno o regiji.
vast	ogroman	Pustinja pokriva ogromno područje.
venue	mjesto održavanja	Mjesto održavanja prima pet stotina ljudi.
via	putem	Pošaljite dokument putem e-maila.
victory	pobjeda	Tim je proslavio svoju pobjedu.
violence	nasilje	Grad je pretrpio političko nasilje.
virtual	virtualan	Sastanak je virtualan.
vision	vizija	Njezina vizija oblikovala je tvrtku.
visual	vizualan	Izvješće uključuje vizualne primjere.
vital	vitalan	Voda je od vitalnog značaja za život.
vitamin	vitamin	Naranče sadrže vitamin C.
volume	glasnoća	Smanjite glasnoću.
wage	plaća	Radnici su zahtijevali veću plaću.
weakness	slabost	Plan ima jednu slabost.
wealth	bogatstvo	Njegovo bogatstvo potječe od trgovine.
wealthy	bogat	Bogata obitelj financirala je muzej.
whereas	dok	Ona voli čaj, dok ja preferiram kavu.
wherever	gdje god	Sjednite gdje god se osjećate ugodno.
whisper	šaptati	Molimo šapćite tijekom ceremonije.
whom	koga	Koga ste pozvali?
widely	široko	Knjiga je široko čitana.
wildlife	divlje životinje	Park štiti lokalne divlje životinje.
willing	voljan	Ona je voljna pomoći.
wind2	namotati	Namotajte kabel oko koluta.
wire	žica	Žica povezuje dva uređaja.
wise	mudar	To je bio mudar izbor.
witness	svjedok	Svjedok je opisao nesreću.
wound	rana	Pažljivo očistite ranu.
wrap	zamotati	Zamotajte dar u papir.
zone	zona	Ova zona je zatvorena za promet.
