source_headword	SV	example_SV
array	ett utbud	Butiken erbjuder ett utbud av verktyg.
articulate	formulera	Hon kan formulera komplexa idéer tydligt.
ash	en aska	Aska täckte bilen efter branden.
aspiration	en strävan	Hennes strävan är att bli kirurg.
aspire	sträva	Många studenter strävar efter att studera utomlands.
assassination	ett lönnmord	Lönnmordet förändrade landets politik.
assault	ett överfall	Överfallet skedde nära stationen.
assemble	montera	Arbetarna monterar möblerna för hand.
assembly	en samling	Skolsamlingen börjar klockan nio.
assert	hävda	Han försökte hävda sin auktoritet.
assertion	ett påstående	Hennes påstående överraskade panelen.
assurance	en försäkran	Chefen gav en försäkran om stöd.
asylum	en asyl	Familjen ansökte om asyl vid gränsen.
atrocity	ett illdåd	Filmen beskrev ett illdåd under kriget.
attain	uppnå	Få löpare uppnår den hastigheten.
attendance	en närvaro	Närvaron förbättrades efter tillkännagivandet.
attorney	en advokat	Advokaten förhörde vittnet.
attribute	tillskriva	Forskare tillskriver ökningen till föroreningar.
audit	en revision	Revisionen hittade flera fel.
authentic	autentisk	Restaurangen serverar autentisk regional mat.
authorize	godkänna	Endast chefer kan godkänna återbetalningar.
auto	en bil	Bilindustrin förändrades snabbt.
autonomy	en autonomi	Regionen vill ha större autonomi.
availability	en tillgänglighet	Tillgängligheten på platser är begränsad.
await	vänta på	Flera meddelanden väntar på ditt svar.
backdrop	en bakgrund	Bergen utgjorde en dramatisk bakgrund.
backing	ett stöd	Förslaget fick stöd från väljarna.
backup	en säkerhetskopia	Systemet skapar en säkerhetskopia dagligen.
bail	en borgen	Domaren fastställde borgen vid middagstid.
ballot	en valsedel	Varje väljare fick en valsedel.
banner	en banderoll	Banderollen hängde ovanför entrén.
bare	kal	Rummet hade kala väggar.
barrel	en tunna	Tunnan var full med vatten.
bass1	en bas	Basen lät djup och varm.
battlefield	ett slagfält	Det gamla slagfältet blev ett minnesmärke.
bay	en vik	Byn ligger bredvid en lugn vik.
beam	en balk	En stålbalk stöder taket.
beast	ett odjur	Berättelsen beskriver ett grymt odjur.
behalf	en räkning	Hon talade för sitt teams räkning.
beloved	älskad	Den älskade läraren gick i pension i dag.
bench	en bänk	De satt på en träbänk.
benchmark	ett riktmärke	Testet blev ett riktmärke för branschen.
beneath	under	Dokumenten låg under mappen.
beneficiary	en förmånstagare	Hennes son var den huvudsakliga förmånstagaren.
betray	förråda	Förråd inte din väns förtroende.
bind	binda	Avtalet kommer att binda båda företagen.
biography	en biografi	Hans biografi sålde många exemplar.
bishop	en biskop	Biskopen besökte bykyrkan.
bizarre	bisarr	Filmen hade ett bisarrt slut.
blade	ett blad	Bladet skar av repet.
blast	en explosion	Explosionen krossade fönster i närheten.
bleed	blöda	Såret började blöda kraftigt.
blend	blanda	Blanda såsen tills den är slät.
bless	välsigna	Prästen kommer att välsigna huset.
blessing	en välsignelse	Att ha stöd var en välsignelse.
boast	skryta	Han gillar att skryta om pengar.
bonus	en bonus	De anställda fick en semesterbonus.
boom	en boom	Staden upplevde en byggboom.
bounce	studsa	Bollen kan studsa mycket högt.
boundary	en gräns	Floden utgör gränsen.
bow1	buga	Skådespelaren gjorde en djup bugning.
breach	ett intrång	Läckan avslöjade privat data.
breakdown	en specifikation	Rapporten innehåller en kostnadsspecifikation.
breakthrough	ett genombrott	Upptäckten var ett stort genombrott.
breed	häcka	Dessa fåglar häckar på våren.
broadband	ett bredband	Kontoret behöver snabbare bredband.
browser	en webbläsare	Uppdatera din webbläsare innan du loggar in.
brutal	brutal	Attacken var brutal och plötslig.
buck	en dollar	Biljetten kostar tio dollar.
buddy	en kompis	Hans kompis väntade utanför.
buffer	en buffert	Träden skapar en ljudbuffert.
bulk	en stor mängd	De köpte ris i lösvikt.
burden	en börda	Skulden blev en tung börda.
bureaucracy	en byråkrati	Byråkratin försenade tillståndet.
burial	en begravning	Begravningen ägde rum i gryningen.
burst	brista	Röret kan brista under tryck.
cabinet	ett kabinett	Regeringen godkände planen.
calculation	en beräkning	Beräkningen tog flera minuter.
canvas	en målarduk	Konstnären målade på en stor målarduk.
capability	en kapacitet	Enheten har trådlös kapacitet.
capitalism	en kapitalism	Kapitalismen formade den moderna ekonomin.
capitalist	kapitalistisk	Det kapitalistiska systemet belönar privata investeringar.
cargo	en last	Fartyget bar medicinsk last.
carriage	en vagn	Tågvagnen var nästan tom.
carve	snida	Han kommer att snida träet noggrant.
casino	ett kasino	Kasinot öppnade nära hotellet.
casualty	ett offer	Kraschen orsakade ett offer.
catalogue	en katalog	Katalogen listar varje produkt.
cater	ordna mat	Restaurangen kan ordna mat för stora evenemang.
cattle	en boskap	Boskapen betade nära floden.
caution	en försiktighet	Var försiktig på isiga vägar.
cautious	försiktig	Investerare förblir försiktiga den här veckan.
cease	upphöra	Fabriken kommer att upphöra med produktionen snart.
cemetery	en kyrkogård	Kyrkogården har utsikt över havet.
chamber	en kammare	Kammaren var tyst under omröstningen.
chaos	ett kaos	Förseningen orsakade kaos på flygplatsen.
characterize	karakterisera	Experter karakteriserar planen som riskabel.
charm	en charm	Staden har gammaldags charm.
charter	en stadga	Stadgan skyddar grundläggande rättigheter.
chronic	kronisk	Han lider av kronisk ryggsmärta.
chunk	en bit	Skär osten i en stor bit.
circulate	cirkulera	Vänligen cirkulera dagordningen i dag.
circulation	en upplaga	Tidningens upplaga sjönk kraftigt.
citizenship	ett medborgarskap	Hon ansökte om franskt medborgarskap.
civic	medborgerlig	Kommunala ledare närvarade vid mötet.
civilian	en civilist	Flera civila hem skadades.
clarity	en tydlighet	Diagrammet tillförde tydlighet till rapporten.
clash	en sammandrabbning	Sammandrabbningen började efter marschen.
classification	en klassificering	Klassificeringen beror på storleken.
cling	klibba fast	Våta kläder klibbar fast vid huden.
clinical	klinisk	Den kliniska prövningen börjar nästa månad.
closure	ett avslut	Familjen ville ha ett avslut efter fallet.
cluster	ett kluster	Ett kluster av hus stod i närheten.
coalition	en koalition	Koalitionen förlorade sin majoritet.
coastal	kustnära	Kustbyar förberedde sig för översvämning.
cocktail	en cocktail	Hon beställde en fruktcocktail.
cognitive	kognitiv	Kognitiva färdigheter förbättras med övning.
coincide	sammanfalla	Festivalen kommer att sammanfalla med examen.
collaborate	samarbeta	Teamen samarbetar kring programvara.
collaboration	ett samarbete	Deras samarbete gav starka resultat.
collective	kollektiv	Beslutet var en kollektiv ansträngning.
collision	en kollision	Kollisionen blockerade motorvägen.
colonial	kolonial	Byggnaden har kolonial arkitektur.
columnist	en krönikör	Krönikören kritiserade politiken.
combat	en strid	Soldater tränade för strid.
commence	börja	Ceremonin börjar vid lunchtid.
commentary	en kommentar	Matchkommentaren var livlig.
commentator	en kommentator	Kommentatorn förklarade beslutet.
commerce	en handel	E-handeln växte snabbt.
commissioner	en kommissionär	Kommissionären tillkännagav nya regler.
commodity	en råvara	Vete är en viktig råvara.
communist	kommunistisk	Det kommunistiska partiet höll ett möte.
companion	en följeslagare	Hennes hund är en lojal följeslagare.
comparable	jämförbar	De två städerna är jämförbara i storlek.
compassion	en medkänsla	Sjuksköterskan visade stor medkänsla.
compel	tvinga fram	Bevisen kan tvinga fram ett svar.
compelling	övertygande	Dokumentären lade fram ett övertygande argument.
compensate	kompensera	Företaget kommer att kompensera drabbade kunder.
compensation	en kompensation	Arbetarna krävde rättvis kompensation.
competence	en kompetens	Testet mäter yrkeskompetens.
competent	kompetent	Hon är en kompetent ingenjör.
compile	sammanställa	Forskare sammanställer data från sjukhus.
complement	komplettera	Vinet kommer att komplettera måltiden.
complexity	en komplexitet	Projektet har oväntad komplexitet.
compliance	en efterlevnad	Revisionen kontrollerade regelefterlevnad.
complication	en komplikation	Operationen hade en komplikation.
comply	följa	Företag måste följa reglerna.
composition	en komposition	Kompositionen inkluderar fiol och piano.
compromise	en kompromiss	Kompromissen tillfredsställde båda sidor.
compute	beräkna	Programmet kan beräkna totalen.
conceal	dölja	Han försökte dölja skadan.
concede	medge	Ministern vägrade medge nederlag.
conceive	komma på	De kunde inte komma på en bättre plan.
conception	en uppfattning	Filmen ändrade min uppfattning om historien.
concession	en eftergift	Företaget erbjöd en eftergift.
condemn	fördöma	Ledare fördömer attacken offentligt.
confer	förläna	Utmärkelsen kommer att förläna prestige.
confession	en bekännelse	Hans bekännelse överraskade rätten.
configuration	en konfiguration	Konfigurationen styr nätverksåtkomsten.
confine	begränsa	Reglerna begränsar hundar till detta område.
confirmation	en bekräftelse	Vi fick bekräftelse via e-post.
confront	konfrontera	Hon bestämde sig för att konfrontera problemet.
confrontation	en konfrontation	Konfrontationen slutade utan våld.
congratulate	gratulera	Jag ringde för att gratulera min syster.
congregation	en församling	Församlingen sjöng tillsammans.
congressional	kongress-	Kongressförhöret varade i timmar.
conquer	erövra	Teamet hoppas kunna erövra marknaden.
conscience	ett samvete	Hans samvete tillät inga lögner.
consciousness	ett medvetande	Olyckan påverkade hans medvetande.
consecutive	på varandra följande	Hon vann tre matcher i rad.
consensus	en konsensus	Kommittén nådde snabbt konsensus.
consent	ett samtycke	Skriftligt samtycke krävs.
conserve	spara	Vi sparar vatten under torka.
consistency	en konsekvens	Konsekvens spelar roll i språkstudier.
consolidate	slå ihop	Företaget kommer att slå ihop två kontor.
constituency	en valkrets	Kandidaten besökte varje valkrets.
constitute	utgöra	Kvinnor utgör hälften av kommittén.
constitution	en grundlag	Grundlagen garanterar yttrandefrihet.
constitutional	konstitutionell	Domstolen granskade konstitutionella rättigheter.
constraint	en begränsning	Budgetbegränsningen begränsade projektet.
consultation	ett samråd	Samrådet varade i två veckor.
contemplate	överväga	Hon pausade för att överväga erbjudandet.
contempt	ett förakt	Han visade förakt för reglerna.
contend	tävla	Flera företag tävlar om kontraktet.
contender	en utmanare	Hon är en stark utmanare.
content2	nöjd	Han kände sig nöjd med resultatet.
contention	en stridsfråga	Den huvudsakliga stridsfrågan rör finansiering.
continually	kontinuerligt	Systemet söker kontinuerligt efter fel.
contractor	en entreprenör	Entreprenören reparerade taket.
contradiction	en motsägelse	Hans uttalande innehöll en motsägelse.
contrary	motsatt	Det motsatta beviset ändrade fallet.
contributor	en medarbetare	Hon är en regelbunden medarbetare.
conversion	en omvandling	Omvandlingen bytte dollar mot euro.
convict	fälla	Juryn kan komma att fälla den misstänkte.
conviction	en fällande dom	Hans fällande dom chockade allmänheten.
cooperate	samarbeta	Vänligen samarbeta i utredningen.
cooperative	samarbetsvillig	Personalen var samarbetsvillig och lugn.
coordinate	samordna	De samordnar leveranser varje morgon.
coordination	en samordning	God samordning sparade tid.
coordinator	en samordnare	Samordnaren tilldelade varje uppgift.
cop	en polis	En polis stod utanför stationen.
copper	koppar	Röret är gjort av koppar.
copyright	en upphovsrätt	Bilden är skyddad av upphovsrätt.
correction	en rättelse	Läraren gjorde en rättelse.
correlate	korrelera	Hög stress kan korrelera med sjukdom.
correlation	en korrelation	Studien fann en stark korrelation.
correspond	motsvara	Dessa nummer motsvarar etiketterna.
correspondence	en brevväxling	Deras brevväxling pågick i flera år.
correspondent	en korrespondent	Korrespondenten rapporterade från Kairo.
corresponding	motsvarande	Varje knapp har ett motsvarande ljus.
corrupt	korrupt	Den korrupta tjänstemannen tog emot pengar.
corruption	en korruption	Korruption försvagade allmänhetens förtroende.
costly	kostsam	Misstaget var kostsamt för laget.
councillor	en fullmäktigeledamot	Fullmäktigeledamoten svarade på invånarnas frågor.
counselling	en rådgivning	Hon fick rådgivning efter olyckan.
counsellor	en kurator	Kuratorn hjälpte nya studenter.
counter (argue against)	bemöta	Hon försökte bemöta hans argument.
counterpart	en kollega	Han träffade sin japanska kollega.
countless	otalig	Otaliga volontärer anslöt sig till sökandet.
coup	en statskupp	Statskuppen avsatte presidenten.
courtesy	en artighet	Hon tackade dem för deras artighet.
