simplified	KM	example_KM
电梯	ជណ្តើរយន្ត	ជណ្តើរយន្តនៅខាងឆ្វេង។
电子邮件	អ៊ីមែល	ខ្ញុំផ្ញើអ៊ីមែលទៅគ្រូ។
东	ខាងកើត	ព្រះអាទិត្យរះពីខាងកើត។
冬	រដូវរងា	រដូវរងាខ្ញុំចូលចិត្តផឹកតែក្តៅ។
动物	សត្វ	ខ្លាឃ្មុំផេនដាជាសត្វល្បីរបស់ចិន។
短	ខ្លី	ខោនេះខ្លីពេកហើយ។
段	កថាខណ្ឌ; ផ្នែក	សូមអានកថាខណ្ឌនេះ។
锻炼	ហាត់ប្រាណ	ខ្ញុំហាត់ប្រាណរាល់ព្រឹក។
多么	ខ្លាំងណាស់; យ៉ាងណា	បរិស្ថាននៅទីនេះល្អខ្លាំងណាស់អា!
饿	ឃ្លាន	ខ្ញុំឃ្លានហើយ ចង់ញ៉ាំនំប៉័ង។
耳朵	ត្រចៀក	ត្រចៀកខ្ញុំឈឺបន្តិច។
发	ផ្ញើ; ចេញ	ខ្ញុំផ្ញើអ៊ីមែលពេលល្ងាច។
发烧	គ្រុនក្តៅ	គាត់គ្រុនក្តៅ ហើយមិនអាចទៅសាលារៀនបាន។
发现	រកឃើញ	ខ្ញុំរកឃើញថាវិធីនេះល្អ។
方便	ងាយស្រួល	ជិះរថភ្លើងក្រោមដីងាយស្រួលណាស់។
放	ដាក់; លែង	សូមដាក់សៀវភៅលើតុ។
放心	កុំបារម្ភ; ស្ងប់ចិត្ត	កុំបារម្ភ ខ្ញុំនឹងមកទាន់ពេល។
分	ចែក; បំបែក	សូមចែកនំខេកឱ្យអ្នកទាំងអស់គ្នា។
复习	ពិនិត្យមេរៀនឡើងវិញ	មុនប្រឡងខ្ញុំត្រូវពិនិត្យមេរៀនឡើងវិញ។
附近	ជិតនេះ; តំបន់ជិតៗ	ជិតនេះមានភោជនីយដ្ឋានមួយ។
干净	ស្អាត	បន្ទប់នេះស្អាតណាស់។
感冒	ផ្តាសាយ	ខ្ញុំផ្តាសាយហើយ ចង់សម្រាក។
感兴趣	ចាប់អារម្មណ៍	ខ្ញុំចាប់អារម្មណ៍ភាសាចិនណាស់។
刚才	មុននេះបន្តិច	មុននេះបន្តិចអ្នកណាទូរស័ព្ទមកអ្នក?
个子	កម្ពស់; រាងកាយ	គាត់មានកម្ពស់ខ្ពស់។
根据	យោងតាម; ផ្អែកលើ	យោងតាមផែនទី សាលារៀននៅខាងកើត។
跟	ជាមួយ; តាម	ខ្ញុំទៅឧទ្យានជាមួយមិត្តភក្តិ។
更	កាន់តែ	ថ្ងៃនេះត្រជាក់ជាងម្សិលមិញទៀត។
公斤	គីឡូក្រាម	ផ្លែប៉ោមទាំងនេះមានទម្ងន់មួយគីឡូក្រាម។
公园	ឧទ្យាន	ក្មេងៗកំពុងលេងហ្គេមនៅឧទ្យាន។
故事	រឿង	លោកតាប្រាប់រឿងឱ្យខ្ញុំស្តាប់។
刮风	មានខ្យល់បក់	ថ្ងៃនេះមានខ្យល់បក់ កុំជិះកង់។
关	បិទ	សូមបិទទ្វារ។
关系	ទំនាក់ទំនង	ទំនាក់ទំនងរបស់ខ្ញុំជាមួយមិត្តរួមការងារល្អណាស់។
关心	យកចិត្តទុកដាក់	ម៉ាក់យកចិត្តទុកដាក់ខ្លាំងចំពោះសុខភាពខ្ញុំ។
关于	អំពី; ទាក់ទងនឹង	សៀវភៅនេះអំពីវប្បធម៌ចិន។
国家	ប្រទេស; ជាតិ	ចិនជាប្រទេសធំមួយ។
过	ភាគល្អិតបទពិសោធន៍; ធ្លាប់	ខ្ញុំធ្លាប់ទៅប៉េកាំង។
过去	អតីតកាល; ពីមុន	ពីមុនទីនេះគ្មានរថភ្លើងក្រោមដីទេ។
还是	ឬ; នៅតែ	អ្នកផឹកតែឬកាហ្វេ?
害怕	ខ្លាច	ខ្ញុំមិនខ្លាចការប្រឡងទេ។
黑板	ក្តារខៀន	គ្រូសរសេរអក្សរនៅលើក្តារខៀន។
后来	បន្ទាប់មក; ក្រោយមក	ក្រោយមកយើងបានទៅឧទ្យាន។
护照	លិខិតឆ្លងដែន	សូមយកលិខិតឆ្លងដែនរបស់អ្នកតាម។
96:花	ចំណាយ; អស់ថ្លៃ	ទិញទូរស័ព្ទចំណាយពីរពាន់យ័ន។
97:花	ផ្កា	លើតុមានផ្កាមួយទង។
画	គូរ; រូបគំនូរ	ប្អូនស្រីចូលចិត្តគូរខ្លាឃ្មុំផេនដា។
坏	ខូច; អាក្រក់	កុំព្យូទ័ររបស់ខ្ញុំខូចហើយ។
欢迎	ស្វាគមន៍	សូមស្វាគមន៍អ្នកមកផ្ទះខ្ញុំ។
环境	បរិស្ថាន	បរិស្ថានរបស់សាលានេះល្អណាស់។
还	សង; ត្រឡប់ឱ្យវិញ	សូមសងសៀវភៅឱ្យខ្ញុំវិញស្អែក។
换	ប្តូរ; ផ្លាស់ប្តូរ	ខ្ញុំចង់ប្តូរអាវសឺមីមួយ។
黄河	ទន្លេលឿង	ទន្លេលឿងវែងណាស់។
回答	ឆ្លើយ	សូមឆ្លើយសំណួររបស់ខ្ញុំ។
会议	កិច្ចប្រជុំ; សន្និសីទ	កិច្ចប្រជុំចាប់ផ្តើមម៉ោងប្រាំបួន។
或者	ឬ; ប្រហែល	អ្នកអាចជិះរថភ្លើងក្រោមដីឬឡានក្រុង។
几乎	ស្ទើរតែ	គាត់ហាត់ប្រាណស្ទើរតែរាល់ថ្ងៃ។
机会	ឱកាស	នេះជាឱកាសល្អមួយ។
极	ខ្លាំងណាស់	នាងសប្បាយចិត្តខ្លាំងណាស់។
季节	រដូវ	រដូវស្លឹកឈើជ្រុះជារដូវដែលខ្ញុំចូលចិត្តបំផុត។
记得	ចងចាំ	អ្នកចងចាំយកប័ណ្ណឥណទានតាមទេ?
检查	ពិនិត្យ	វេជ្ជបណ្ឌិតពិនិត្យរាងកាយឱ្យខ្ញុំ។
简单	ងាយ; សាមញ្ញ	ប្រយោគនេះងាយណាស់។
健康	សុខភាព; មានសុខភាពល្អ	ហាត់ប្រាណល្អចំពោះសុខភាព។
见面	ជួបគ្នា	យើងនឹងជួបគ្នានៅសាលារៀនស្អែក។
讲	ពន្យល់; និយាយ	គ្រូពន្យល់បានច្បាស់ណាស់។
教	បង្រៀន	គាត់បង្រៀនខ្ញុំសរសេរអក្សរចិន។
脚	ជើង; បាតជើង	ជើងខ្ញុំឈឺបន្តិច។
角	ជ្រុង; មុំ	ហាងនៅជ្រុងផ្លូវ។
接	ទៅទទួល; ទទួល	ខ្ញុំទៅព្រលានយន្តហោះទទួលមិត្តភក្តិ។
街道	ផ្លូវ	ផ្លូវនេះស្អាតណាស់។
结婚	រៀបការ	ពួកគេនឹងរៀបការឆ្នាំក្រោយ។
结束	បញ្ចប់	ការប្រកួតបានបញ្ចប់ហើយ។
节目	កម្មវិធី	កម្មវិធីទូរទស្សន៍នេះមើលសប្បាយណាស់។
节日	ពិធីបុណ្យ; ថ្ងៃឈប់សម្រាក	បុណ្យចូលឆ្នាំចិនជាពិធីបុណ្យសំខាន់របស់ចិន។
解决	ដោះស្រាយ	បញ្ហានេះបានដោះស្រាយហើយ។
借	ខ្ចី; ឱ្យខ្ចី	ខ្ញុំចង់ខ្ចីវចនានុក្រមរបស់អ្នក។
经常	ជាញឹកញាប់	ខ្ញុំទៅបណ្ណាល័យជាញឹកញាប់។
经过	ឆ្លងកាត់	ខ្ញុំឆ្លងកាត់ឧទ្យាននេះរាល់ថ្ងៃ។
经理	អ្នកគ្រប់គ្រង	អ្នកគ្រប់គ្រងកំពុងប្រជុំ។
久	យូរ	ខ្ញុំរស់នៅទីនេះយូរហើយ។
旧	ចាស់; ប្រើរួច	សម្លៀកបំពាក់នេះចាស់ណាស់។
句子	ប្រយោគ	សូមសរសេរប្រយោគមួយ។
决定	សម្រេចចិត្ត; ការសម្រេចចិត្ត	ខ្ញុំសម្រេចចិត្តរៀនភាសាចិន។
可爱	គួរឱ្យស្រឡាញ់	ឆ្មានេះគួរឱ្យស្រឡាញ់ណាស់។
渴	ស្រេកទឹក	ខ្ញុំស្រេកទឹកណាស់ ចង់ផឹកទឹក។
刻	មួយភាគបួនម៉ោង; ខណៈ	ឥឡូវម៉ោងប្រាំបីនិងមួយភាគបួន។
客人	ភ្ញៀវ; អតិថិជន	ថ្ងៃនេះមានភ្ញៀវមកផ្ទះ។
空调	ម៉ាស៊ីនត្រជាក់	សូមបើកម៉ាស៊ីនត្រជាក់។
口	មាត់; មួយមាត់	គាត់ផឹកទឹកមួយមាត់។
哭	យំ	ហេតុអ្វីក្មេងយំ?
裤子	ខោ	ខោនេះថ្មី។
筷子	ចង្កឹះ	ខ្ញុំអាចប្រើចង្កឹះញ៉ាំបាយបាន។
蓝	ខៀវ	មេឃមានពណ៌ខៀវ។
老	ចាស់	គ្រូរបស់ខ្ញុំមិនចាស់ទេ។
离开	ចាកចេញ	គាត់នឹងចាកចេញពីប៉េកាំងស្អែក។
礼物	អំណោយ	នេះជាអំណោយសម្រាប់អ្នក។
历史	ប្រវត្តិសាស្ត្រ	ខ្ញុំចូលចិត្តប្រវត្តិសាស្ត្រចិន។
脸	មុខ	មុខរបស់នាងក្រហមណាស់។
练习	ហាត់; លំហាត់	សូមហាត់និយាយភាសាចិនឱ្យច្រើន។
辆	លក្ខណនាមសម្រាប់យានយន្ត	មុខទ្វារមានតាក់ស៊ីមួយគ្រឿង។
聊天	ជជែកគ្នា	ខ្ញុំជជែកគ្នាជាមួយមិត្តភក្តិ។
了解	យល់ដឹង; ស្គាល់	ខ្ញុំចង់យល់ដឹងអំពីវប្បធម៌ចិន។
邻居	អ្នកជិតខាង	អ្នកជិតខាងរបស់ខ្ញុំរួសរាយណាស់។
留学	ទៅរៀននៅបរទេស	នាងកំពុងរៀននៅចិន។
楼	អាគារ; ជាន់	ការិយាល័យនៅជាន់ទីបី។
绿	បៃតង	រដូវផ្ការីក ដើមឈើទាំងអស់បៃតងហើយ។
马	សេះ	សេះនោះរត់លឿនណាស់។
马上	ភ្លាមៗ	ខ្ញុំនឹងត្រឡប់មកភ្លាមៗ។
满意	ពេញចិត្ត	ខ្ញុំពេញចិត្តបន្ទប់នេះណាស់។
帽子	មួក	មួកនេះស្អាតណាស់។
米	ម៉ែត្រ; អង្ករ	តុនេះមានប្រវែងពីរម៉ែត្រ។
面包	នំប៉័ង	ពេលព្រឹកខ្ញុំញ៉ាំនំប៉័ង។
明白	យល់; ច្បាស់	ខ្ញុំយល់ន័យរបស់អ្នក។
拿	យក; កាន់	សូមយកសៀវភៅមួយក្បាលឱ្យខ្ញុំ។
奶奶	យាយខាងឪពុក; យាយ	យាយចូលចិត្តស្តាប់តន្ត្រី។
南	ខាងត្បូង	សាលារៀននៅភាគខាងត្បូងនៃទីក្រុង។
难	ពិបាក	សំណួរនេះមិនពិបាកទេ។
难过	សោកស្តាយ; ពិបាកចិត្ត	ថ្ងៃនេះនាងពិបាកចិត្តបន្តិច។
年级	ថ្នាក់ឆ្នាំ	ប្អូនស្រីខ្ញុំរៀនថ្នាក់ទីបី។
年轻	ក្មេង; វ័យក្មេង	អ្នកគ្រប់គ្រងនេះនៅវ័យក្មេងណាស់។
鸟	បក្សី	លើដើមឈើមានបក្សីមួយក្បាល។
努力	ខិតខំ	គាត់រៀនយ៉ាងខិតខំ។
爬山	ឡើងភ្នំ	ចុងសប្តាហ៍យើងទៅឡើងភ្នំ។
盘子	ចាន	លើតុមានចានបី។
胖	ធាត់	ឆ្កែនេះធាត់បន្តិច។
啤酒	ស្រាបៀរ	ប៉ាមិនផឹកស្រាបៀរទេ។
皮鞋	ស្បែកជើងស្បែក	ស្បែកជើងស្បែកមួយគូនេះថ្លៃណាស់។
瓶子	ដប	ក្នុងដបមានទឹក។
其实	តាមពិត	តាមពិតខ្ញុំមិនចូលចិត្តស្រាបៀរទេ។
其他	ផ្សេងទៀត	មិត្តរួមថ្នាក់ផ្សេងទៀតមកអស់ហើយ។
奇怪	ចម្លែក	សំឡេងនេះចម្លែកណាស់។
骑	ជិះ	គាត់ជិះកង់ទៅធ្វើការរាល់ថ្ងៃ។
起飞	ហោះឡើង	យន្តហោះនឹងហោះឡើងភ្លាមៗ។
起来	ក្រោកឡើង	សូមក្រោកឈរ។
清楚	ច្បាស់	អ្នកនិយាយបានច្បាស់ណាស់។
请假	សុំច្បាប់ឈប់	គាត់ផ្តាសាយហើយ ត្រូវសុំច្បាប់ឈប់។
秋	រដូវស្លឹកឈើជ្រុះ	អាកាសធាតុរដូវស្លឹកឈើជ្រុះស្រួលណាស់។
裙子	សំពត់	សំពត់នេះស្អាតណាស់។
然后	បន្ទាប់មក	ខ្ញុំញ៉ាំបាយជាមុន បន្ទាប់មកធ្វើកិច្ចការ។
热情	រួសរាយ; កក់ក្តៅ	មិត្តភក្តិចិនរួសរាយណាស់។
认为	គិតថា; យល់ថា	ខ្ញុំគិតថាវិធីនេះល្អណាស់។
认真	ម៉ត់ចត់; យកចិត្តទុកដាក់	សូមស្តាប់គ្រូនិយាយយ៉ាងយកចិត្តទុកដាក់។
容易	ងាយ	អក្សរចិននេះងាយសរសេរ។
如果	ប្រសិនបើ	ប្រសិនបើភ្លៀង យើងនឹងជិះរថភ្លើងក្រោមដី។
伞	ឆ័ត្រ	ភ្លៀងហើយ សូមយកឆ័ត្រតាម។
上网	ប្រើអ៊ីនធឺណិត	ពេលល្ងាចខ្ញុំប្រើអ៊ីនធឺណិតស្វែងរកផែនទី។
声音	សំឡេង	សំឡេងរបស់អ្នកស្តាប់ពីរោះណាស់។
生气	ខឹង	កុំខឹង ខ្ញុំមិនបានមានចេតនាទេ។
世界	ពិភពលោក	ពិភពលោកធំណាស់។
试	សាកល្បង	ខ្ញុំចង់សាកល្បងស្បែកជើងស្បែកមួយគូនេះ។
瘦	ស្គម	គាត់ស្គមជាងមុន។
叔叔	ពូ	ពូបើកឡានជូនខ្ញុំទៅសាលារៀន។
舒服	ស្រួល; មានផាសុខភាព	កៅអីនេះអង្គុយស្រួលណាស់។
数学	គណិតវិទ្យា	ថ្នាក់គណិតវិទ្យាគួរឱ្យចាប់អារម្មណ៍។
树	ដើមឈើ	មុខផ្ទះមានដើមឈើមួយដើម។
刷牙	ដុសធ្មេញ	ខ្ញុំដុសធ្មេញរាល់ព្រឹក។
双	គូ; ពីរ	ខ្ញុំបានទិញស្បែកជើងស្បែកមួយគូ។
水平	កម្រិត	កម្រិតភាសាចិនរបស់គាត់ខ្ពស់។
司机	អ្នកបើកបរ	អ្នកបើកបរកំពុងរង់ចាំយើងនៅមុខទ្វារ។
太阳	ព្រះអាទិត្យ	ថ្ងៃនេះព្រះអាទិត្យក្តៅខ្លាំង។
特别	ពិសេស; ជាពិសេស	កម្មវិធីនេះគួរឱ្យចាប់អារម្មណ៍ជាពិសេស។
疼	ឈឺ	ជើងខ្ញុំឈឺណាស់។
提高	បង្កើន; លើកកម្ពស់	ហាត់ច្រើនអាចបង្កើនកម្រិតភាសាចិន។
体育	កីឡា; អប់រំកាយ	ខ្ញុំចូលចិត្តថ្នាក់អប់រំកាយ។
甜	ផ្អែម	ភេសជ្ជៈនេះផ្អែមពេក។
条	លក្ខណនាមសម្រាប់វត្ថុវែង	ខ្ញុំបានទិញសំពត់មួយ។
同事	មិត្តរួមការងារ	មិត្តរួមការងាររបស់ខ្ញុំរវល់ណាស់។
同意	យល់ព្រម	ខ្ញុំយល់ព្រមនឹងការសម្រេចចិត្តរបស់អ្នក។
头发	សក់	សក់របស់នាងវែង។
突然	ភ្លាមៗ; យ៉ាងឆាប់	គាត់បានចាកចេញភ្លាមៗ។
图书馆	បណ្ណាល័យ	បណ្ណាល័យថ្ងៃនេះមិនបើកទ្វារទេ។
腿	ជើង	បន្ទាប់ពីឡើងភ្នំ ជើងខ្ញុំឈឺណាស់។
完成	បញ្ចប់; រួចរាល់	ខ្ញុំបានបញ្ចប់កិច្ចការហើយ។
碗	ចានគោម	លើតុមានចានគោមពីរ។
万	មួយម៉ឺន	ទីក្រុងនេះមានមនុស្សមួយម៉ឺននាក់។
忘记	ភ្លេច	កុំភ្លេចយកលិខិតឆ្លងដែនតាម។
为	សម្រាប់; ដោយសារ	ខ្ញុំសប្បាយចិត្តសម្រាប់អ្នក។
为了	ដើម្បី	ដើម្បីការប្រឡង គាត់ពិនិត្យមេរៀនរាល់ថ្ងៃ។
位	លក្ខណនាមគោរពសម្រាប់មនុស្ស	គ្រូម្នាក់នេះល្បីណាស់។
文化	វប្បធម៌	ខ្ញុំចង់យល់ដឹងអំពីវប្បធម៌ចិន។
西	ខាងលិច	ធនាគារនៅខាងលិចសាលារៀន។
习惯	ទម្លាប់; ស៊ាំ	ខ្ញុំស៊ាំហាត់ប្រាណពេលព្រឹក។
洗手间	បន្ទប់ទឹក; បង្គន់	បន្ទប់ទឹកនៅខាងស្តាំ។
洗澡	ងូតទឹក	ខ្ញុំងូតទឹកពេលល្ងាច។
夏	រដូវក្តៅ	រដូវក្តៅក្តៅណាស់។
先	មុន; ជាមុន	អ្នកញ៉ាំបាយមុនទៅ។
相信	ជឿ	ខ្ញុំជឿថាគាត់នឹងមក។
香蕉	ចេក	ខ្ញុំបានទិញចេកបីផ្លែ។
像	ដូច; មើលទៅដូច	ពពកនេះមើលទៅដូចបក្សីមួយ។
向	ទៅកាន់; ទិស	សូមដើរទៅខាងឆ្វេង។
小心	ប្រយ័ត្ន	ភ្លៀងហើយ សូមប្រយ័ត្នតាមផ្លូវ។
校长	នាយកសាលា	នាយកសាលានៅការិយាល័យ។
新闻	ព័ត៌មាន	ប៉ាមើលព័ត៌មានរាល់ថ្ងៃ។
新鲜	ស្រស់	ផ្លែឈើនេះស្រស់ណាស់។
信用卡	ប័ណ្ណឥណទាន	ខ្ញុំអាចបង់ប្រាក់ដោយប័ណ្ណឥណទានបានទេ?
行李箱	វ៉ាលី	វ៉ាលីរបស់ខ្ញុំធ្ងន់ណាស់។
熊猫	ខ្លាឃ្មុំផេនដា	ក្មេងៗចូលចិត្តមើលខ្លាឃ្មុំផេនដា។
需要	ត្រូវការ	ខ្ញុំត្រូវការជំនួយរបស់អ្នក។
选择	ជ្រើសរើស; ជម្រើស	អ្នកជ្រើសរើសអាវសឺមីមួយណា?
要求	ទាមទារ; ស្នើសុំ	គ្រូទាមទារឱ្យយើងធ្វើកិច្ចការយ៉ាងម៉ត់ចត់។
爷爷	តាខាងឪពុក; តា	តាទៅឧទ្យានរាល់ថ្ងៃ។
一直	រហូត; ជានិច្ច	គាត់បានរង់ចាំអ្នករហូត។
一定	ប្រាកដជា	ខ្ញុំប្រាកដជានឹងមក។
一共	សរុប	សៀវភៅទាំងនេះសរុបតម្លៃប៉ុន្មាន?
一会儿	មួយភ្លែត	សូមរង់ចាំខ្ញុំមួយភ្លែត។
一样	ដូចគ្នា	ពែងពីរនេះធំដូចគ្នា។
以前	ពីមុន	ពីមុនខ្ញុំរស់នៅប៉េកាំង។
一般	ធម្មតា; មធ្យម	ម្ហូបនៅភោជនីយដ្ឋាននេះធម្មតា។
一边	មួយចំហៀង; ខណៈដែល	គាត់ស្តាប់តន្ត្រីខណៈដែលធ្វើកិច្ចការ។
音乐	តន្ត្រី	ខ្ញុំចូលចិត្តតន្ត្រីចិន។
银行	ធនាគារ	ធនាគារនៅជិតផ្សារទំនើប។
饮料	ភេសជ្ជៈ	ភេសជ្ជៈនេះឆ្ងាញ់។
应该	គួរ; ត្រូវ	អ្នកគួរសម្រាកឱ្យច្រើន។
影响	ឥទ្ធិពល; ប៉ះពាល់	អាកាសធាតុនឹងប៉ះពាល់ដល់ការប្រកួត។
用	ប្រើ	ខ្ញុំប្រើកុំព្យូទ័រធ្វើកិច្ចការ។
游戏	ល្បែង; ហ្គេម	ក្មេងៗកំពុងលេងហ្គេម។
有名	ល្បី	ភោជនីយដ្ឋាននេះល្បីណាស់។
又	ម្តងទៀត; ក៏	ថ្ងៃនេះគាត់មកយឺតម្តងទៀត។
遇到	ជួបដោយចៃដន្យ	ខ្ញុំបានជួបគ្រូនៅលើផ្លូវ។
元	យ័ន; ឯកតារូបិយប័ណ្ណ	វចនានុក្រមនេះតម្លៃហាសិបយ័ន។
愿意	សុខចិត្ត; ចង់	អ្នកសុខចិត្តចូលរួមទេ?
月亮	ព្រះចន្ទ	ព្រះចន្ទយប់នេះភ្លឺណាស់។
越	កាន់តែ...កាន់តែ...	រៀនភាសាចិនកាន់តែច្រើន កាន់តែគួរឱ្យចាប់អារម្មណ៍។
站	ស្ថានីយ; ឈរ	គាត់ឈរនៅមុខទ្វារ។
张	លក្ខណនាមសម្រាប់វត្ថុរាបស្មើ	សូមផ្តល់ផែនទីមួយសន្លឹកឱ្យខ្ញុំ។
长	លូតលាស់	ក្មេងលូតលាស់លឿនណាស់។
着急	បារម្ភ; ប្រញាប់ប្រញាល់	កុំបារម្ភ ជណ្តើរយន្តនឹងមកភ្លាមៗ។
照顾	ថែទាំ	នាងថែទាំយាយដែលឈឺ។
照片	រូបថត	រូបថតនេះមើលស្អាតណាស់។
照相机	ម៉ាស៊ីនថតរូប	ខ្ញុំប្រើម៉ាស៊ីនថតរូបថតរូប។
283:只	តែប៉ុណ្ណោះ	ខ្ញុំផឹកតែតែមួយពែងប៉ុណ្ណោះ។
284:只	លក្ខណនាមសម្រាប់សត្វ	ក្រោមតុមានឆ្មាមួយក្បាល។
只有…才…	មានតែ...ទើប...	មានតែពិនិត្យមេរៀនយ៉ាងម៉ត់ចត់ ទើបប្រឡងបានល្អ។
中间	កណ្តាល	តុនៅកណ្តាលបន្ទប់។
中文	ភាសាចិន	ខ្ញុំរៀនភាសាចិនរាល់ថ្ងៃ។
终于	ចុងក្រោយ; ទីបំផុត	ទីបំផុតយើងមកដល់ហើយ។
种	ប្រភេទ	អ្នកចូលចិត្តភេសជ្ជៈប្រភេទណា?
重要	សំខាន់	លិខិតឆ្លងដែនសំខាន់ណាស់។
周末	ចុងសប្តាហ៍	ចុងសប្តាហ៍ខ្ញុំចង់ទៅឧទ្យាន។
主要	សំខាន់; ចម្បង	ចំណូលចិត្តចម្បងរបស់គាត់គឺតន្ត្រី។
注意	យកចិត្តទុកដាក់	សូមយកចិត្តទុកដាក់ស្តាប់គ្រូនិយាយ។
自己	ខ្លួនឯង	ខ្ញុំចង់ធ្វើកិច្ចការដោយខ្លួនឯង។
自行车	កង់	កង់របស់ខ្ញុំនៅជាន់ក្រោម។
总是	តែងតែ	គាត់តែងតែមកដល់ការិយាល័យពីព្រលឹម។
嘴	មាត់	សូមបើកមាត់។
最后	ចុងក្រោយ	ចុងក្រោយយើងទាំងអស់គ្នាយល់ព្រម។
最近	ថ្មីៗនេះ	ថ្មីៗនេះខ្ញុំរវល់ណាស់។
作业	កិច្ចការ; កិច្ចការផ្ទះ	ខ្ញុំនៅមិនទាន់បញ្ចប់កិច្ចការទេ។
