source_headword	IS	example_IS
encouraging	hvetjandi	Fyrstu niðurstöður líta vel út.
endeavour	viðleitni	Björgunin var erfið viðleitni.
endless	endalaus	Eyðimörkin virtist endalaus.
endorse	styðja	Verkalýðsfélagið neitaði að styðja frambjóðandann.
endorsement	stuðningur	Stuðningur hans efldi herferð hennar.
endure	þola	Plöntur þola harða vetur.
enforce	framfylgja	Lögreglan framfylgir hámarkshraða.
enforcement	framfylgd	Hertari framfylgd dró úr ólöglegri losun.
engagement	þátttaka	Þátttaka nemenda batnaði á þessari önn.
engaging	grípandi	Ræðumaðurinn flutti grípandi erindi.
enquire	spyrjast fyrir	Vinsamlegast spyrjist fyrir í afgreiðslunni.
enrich	auðga	Ferðalög geta auðgað skilning þinn.
enrol	innrita sig	Nemendur verða að innrita sig fyrir september.
ensue	fylgja í kjölfarið	Glundroði gæti fylgt í kjölfar tilkynningarinnar.
enterprise	fyrirtæki	Fyrirtækið ræður til sín staðbundna listamenn.
enthusiast	áhugamaður	Hver hjólaáhugamaður þekkir þessa leið.
entitle	veita rétt	Miðinn mun veita þér aðgang.
entity	eining	Fyrirtækið er aðskilin lögaðili.
epidemic	faraldur	Faraldurinn breiddist út yfir mörg svæði.
equality	jafnrétti	Hreyfingin barðist fyrir jafnrétti.
equation	jafna	Jafnan inniheldur tvær óþekktar stærðir.
erect	reisa	Verkamenn munu reisa nýja girðingu.
escalate	stigmagnast	Átökin gætu stigmagnast fljótt.
essence	kjarni	Ljóðið fangar kjarna æskunnar.
establishment	yfirstétt	Yfirstéttin var mótfallin umbótunum.
eternal	eilífur	Þau lofuðu eilífri vináttu.
evacuate	rýma	Slökkviliðsmenn hjálpuðu íbúum að rýma á öruggan hátt.
evoke	kalla fram	Lagið getur kallað fram sterkar minningar.
evolutionary	þróunar	Steingervingurinn sýnir þróunarlega breytingu.
exaggerate	ýkja	Ekki ýkja reynslu þína.
excellence	ágæti	Skólinn verðlaunar námsárangur.
exceptional	framúrskarandi	Hún sýndi framúrskarandi hæfileika.
excess	umfram	Umframvatnið flæddi yfir kjallarann.
exclusion	útilokun	Félagsleg útilokun skaðar ungt fólk.
exclusive	einkarekinn	Klúbburinn býður upp á einstakan aðgang.
exclusively	eingöngu	Þetta herbergi er eingöngu notað af starfsfólki.
execute	framkvæma	Liðið mun framkvæma áætlunina vandlega.
execution	framkvæmd	Framkvæmd stefnunnar tók marga mánuði.
exert	beita	Þú verður að beita meiri þrýstingi.
exile	útlegð	Rithöfundurinn bjó í útlegð.
expenditure	útgjöld	Opinber útgjöld jukust á síðasta ári.
experimental	tilrauna	Meðferðin er enn á tilraunastigi.
expire	renna út	Vegabréf mitt mun brátt renna út.
explicit	skýr	Leiðbeiningarnar voru skýrar.
explicitly	skýrt	Reglurnar banna reykingar skýrt.
exploitation	hagnýting	Skýrslan afhjúpaði misnotkun á starfsmönnum.
explosive	sprengiefni	Sprengjunni var fjarlægt á öruggan hátt.
extremist	öfgamaður	Öfgahópurinn missti stuðning.
facilitate	auðvelda	Forritið mun auðvelda fjarnám.
faction	flokksbrot	Einn hópur var á móti leiðtoganum.
faculty	deild	Deildin samþykkti tillöguna.
fade	dofna	Málningin mun dofna í sólarljósi.
fairness	sanngirni	Sanngirni skiptir máli í hverri keppni.
fatal	banvæn	Slysið olli banvænum meiðslum.
fate	örlög	Enginn þekkti örlög hans.
favourable	hagstæð	Umsögnin var hagstæð.
feat	afrek	Að klífa þennan tind var mikið afrek.
feminist	femínísk	Femínistahreyfingin breytti almennri umræðu.
fibre	trefjar	Þetta brauð inniheldur aukatrefjar.
fierce	grimm	Óveðrið skemmdi þök.
film-maker	kvikmyndagerðarmaður	Kvikmyndagerðarmaðurinn svaraði spurningum á eftir.
filter	sía	Sían fjarlægir ryk úr loftinu.
fine	sekt	Fyrirtækið greiddi sekt.
firearm	skotvopn	Lögreglumaðurinn endurheimti stolið skotvopn.
fit	pass	Nýju skórnir passa fullkomlega.
fixture	innrétting	Lampinn er fastur hlutur.
flaw	galli	Hönnunin hefur einn alvarlegan galla.
flawed	gallaður	Gallaða rannsóknin gaf falskar niðurstöður.
flee	flýja	Fjölskyldur þurftu að flýja átökin.
fleet	floti	Flugfélagið endurnýjaði flotann sinn.
flesh	hold	Þyrnirinn stakkst í hold hans.
flexibility	sveigjanleiki	Fjarvinna býður upp á meiri sveigjanleika.
flourish	blómstra	Lítil fyrirtæki geta blómstrað hér.
fluid	vökvi	Drekktu mikinn vökva eftir hreyfingu.
footage	myndefni	Myndefnið sýndi áreksturinn.
foreigner	útlendingur	Eyðublaðið spyr hvort þú sért útlendingur.
forge	mynda	Þeir reyndu að mynda nýtt bandalag.
formula	formúla	Formúlan leysti vandamálið.
formulate	setja fram	Vísindamenn setja fram nýja kenningu.
forth	áfram	Áin bar bátinn áfram.
forthcoming	væntanlegur	Væntanleg skýrsla mun útskýra allt.
foster	hlúa að	Forritið hjálpar til við að hlúa að sjálfstæði.
fragile	viðkvæmur	Viðkvæmi vasinn þarfnast varlegrar meðhöndlunar.
franchise	sérleyfi	Veitingastaðurinn varð að alþjóðlegu sérleyfi.
frankly	hreinskilnislega	Hreinskilnislega sagt þurfum við meiri tíma.
frustrated	pirraður	Verkamennirnir voru pirraðir yfir töfinni.
frustrating	svekkjandi	Hæga tengingin var svekkjandi.
frustration	gremja	Gremja jókst á meðan fundinum stóð.
functional	nothæfur	Gamla eldhúsið er enn nothæft.
fundraising	fjáröflun	Fjáröflun hefst í næstu viku.
funeral	jarðarför	Jarðarförin fór fram á föstudaginn.
gallon	gallón	Tankurinn tekur eina gallón.
gambling	fjárhættuspil	Fjárhættuspil eru takmörkuð með lögum.
gathering	samkoma	Samkoman endaði friðsamlega.
gaze	augnaráð	Hún hélt augnaráði hans stuttlega.
gear	búnaður	Pakkaðu öryggisbúnaðinum áður en þú klifrar.
generic	almennur	Almenna útgáfan kostar minna.
genocide	þjóðarmorð	Þjóðarmorðið skildi eftir sig djúp þjóðarárf.
glance	augnatillit	Hann leit snöggt við.
glimpse	svipstund	Ég sá glitta í sjóinn.
glorious	dýrlegur	Liðið naut dýrlegs sigurs.
glory	dýrð	Hún dreymdi um ólympíska dýrð.
governance	stjórnarhættir	Góðir stjórnarhættir krefjast gagnsæis.
grace	þokki	Hún tók ósigrinum með þokka.
grasp	skilja	Honum tókst ekki að skilja hugtakið.
grave (for dead person)	gröf	Gröfin var þakin blómum.
grave (serious)	alvarlegur	Ástandið er enn alvarlegt.
gravity	þyngdarafl	Þyngdaraflið togar hluti í átt að jörðinni.
grid	hnitanet	Kortið notar einfalt hnitanet.
grief	sorg	Sorgin breytti allri fjölskyldu hans.
grin	glott	Strákurinn gaf breitt glott.
grind	mala	Verkamenn mala baunirnar á hverjum morgni.
grip	grip	Haltu föstu gripi á reipinu.
gross	brúttó	Brúttótekjur jukust verulega.
guerrilla	skæruliði	Skæruliðar fólu sig í hæðunum.
guidance	leiðsögn	Leiðsögumaðurinn veitir hagnýta leiðsögn.
guilt	sekt	Hún fann fyrir sektarkennd eftir að hafa logið.
gut	innsæi	Treystu innsæinu í erfiðum ákvörðunum.
hail	fagna	Þorpsbúar fagna lækninum sem hetju.
halfway	hálfvegis	Við stoppuðum hálfvegis upp hæðina.
halt	stopp	Lestin kom að skyndilegu stoppi.
handful	handfylli	Handfylli sjálfboðaliða var eftir lengur.
handling	meðhöndlun	Rétt meðhöndlun kemur í veg fyrir skemmdir.
handy	handhægur	Þetta verkfæri er handhægt fyrir viðgerðir.
harassment	áreitni	Fyrirtækið rannsakaði kvartanir vegna áreitni.
hardware	vélbúnaður	Verslunin selur tölvuvélbúnað.
harmony	samhljómur	Kórinn söng í fullkomnum samhljómi.
harsh	harður	Dómarinn gaf harðan dóm.
harvest	uppskera	Uppskeran hefst í september.
haunt	ásækja	Minningin hélt áfram að ásækja hann.
hazard	hætta	Ís er alvarleg hætta á vegum.
heighten	auka	Ræðan gæti aukið spennu.
heritage	arfleifð	Kastalinn er hluti af staðbundinni arfleifð.
hierarchy	stigveldi	Stigveldi skrifstofunnar er skýrt skilgreint.
high-profile	áberandi	Hin áberandi réttarhöld laðaði að blaðamenn.
hint	vísbending	Hún gaf mér gagnlega vísbendingu.
homeland	heimaland	Hann sneri aftur til heimalands síns.
hopeful	vongóður	Læknar eru vongóðir um bata.
horizon	sjóndeildarhringur	Sólin hvarf niður fyrir sjóndeildarhringinn.
horn	flauta	Bílflautan vakti alla.
hostage	gísl	Gíslinn sneri aftur heim.
hostile	fjandsamlegur	Mannfjöldinn varð fjandsamlegur.
hostility	fjandskapur	Opinn fjandskapur batt enda á viðræðurnar.
humanitarian	mannúðar-	Mannúðarleiðangurinn afhenti matvæli.
humanity	mannkyn	Mannkynið stendur frammi fyrir sameiginlegum áskorunum.
humble	auðmjúkur	Hún varðveitti auðmýkt sína eftir velgengnina.
hydrogen	vetni	Vetni brennur mjög auðveldlega.
identification	skilríki	Skilríkja er krafist við innganginn.
ideological	hugmyndafræðilegur	Deilan átti sér hugmyndafræðilegar rætur.
ideology	hugmyndafræði	Hugmyndafræði hans mótaði hverja ræðu.
idiot	fáviti	Ekki kalla neinn fávita.
ignorance	fáfræði	Fáfræði getur dreift ótta.
imagery	myndmál	Ljóðið notar líflegt myndmál.
immense	gífurlegur	Verkefnið krafðist gífurlegrar áreynslu.
imminent	yfirvofandi	Stormur virtist yfirvofandi.
implementation	innleiðing	Innleiðing laganna gekk hægt.
imprison	fangelsa	Stjórnin reyndi að fangelsa gagnrýnendur.
imprisonment	fangelsisvist	Fangelsisvist hans stóð í fimm ár.
inability	vanhæfni	Vanhæfni hennar til að einbeita sér áhyggjur kennara.
inadequate	ófullnægjandi	Skýlið var með ófullnægjandi kyndingu.
inappropriate	óviðeigandi	Brandari hans var óviðeigandi.
incidence	tíðni	Tíðni flensu jókst.
inclined	tilhneiging	Hún hefur tilhneigingu til að vera sammála.
inclusion	inngilding	Skólinn stuðlar að inngildingu.
