source_headword	AZ	example_AZ
travel	səyahət etmək; səyahət	Biz qatarla səyahət edirik.
tree	ağac	Ağac hündürdür.
trip	səfər; səyahət	Səfər sabah başlayır.
trousers	şalvar	Şalvarım qaradır.
true	doğru; həqiqi	Bu hekayə doğrudur.
try	cəhd etmək; dadına baxmaq	Bu çayın dadına baxın.
T-shirt	futbolka	Mən futbolka geyinirəm.
Tuesday	çərşənbə axşamı	Biz çərşənbə axşamı görüşürük.
turn	dönmək; növbə	Burada sola dönün.
TV	televizor	Televizorun səsi yüksəkdir.
twelve	on iki	Məndə on iki qələm var.
twenty	iyirmi	Burada iyirmi tələbə var.
twice	iki dəfə	Mən həftədə iki dəfə üzürəm.
two	iki	İki nəfər gözləyir.
type	növ; yazmaq	Sizə hansı musiqi növü lazımdır?
umbrella	çətir	Çətir götürün.
uncle	əmi; dayı	Əmim mehribandır.
under	altında	Çanta masanın altındadır.
understand	başa düşmək	Mən sualı başa düşürəm.
university	universitet	Universitet yaxındadır.
until	qədər	Saat beşə qədər gözləyin.
up	yuxarı; qalxmaq	İndi ayağa qalxın.
upstairs	yuxarı mərtəbədə	Otağım yuxarı mərtəbədədir.
us	bizi; bizə	Zəhmət olmasa, bizə kömək edin.
use	istifadə etmək; istifadə	Bu qələmdən istifadə edin.
useful	faydalı	Bu xəritə faydalıdır.
usually	adətən	Mən adətən evə piyada gedirəm.
vacation	tətil	Tətilimiz sabah başlayır.
vegetable	tərəvəz	Kök tərəvəzdir.
very	çox	Otaq çox sakitdir.
video	video	Bu videoya baxın.
village	kənd	Kənd kiçikdir.
visit	ziyarət etmək; baş çəkmək	Biz xalamıza baş çəkirik.
visitor	qonaq; ziyarətçi	Qonaq çöldə gözləyir.
wait	gözləmək	Zəhmət olmasa, burada gözləyin.
waiter	ofisiant	Ofisiant çay gətirir.
wake	oyanmaq; oyatmaq	Mən səhər tezdən oyanıram.
walk	gəzmək; piyada getmək	Biz məktəbə piyada gedirik.
wall	divar	Divar ağdır.
want	istəmək; lazım olmaq	Mənə su lazımdır.
warm	isti; ilıq	Otaq ilıqdır.
wash	yumaq	Əllərinizi yuyun.
watch	baxmaq; saat	Mən televizora baxıram.
water	su; sulamaq	Biraz su için.
way	yol; üsul	Bu yol qısadır.
we	biz	Biz ingilis dilini öyrənirik.
wear	geyinmək	Mən gödəkçə geyinirəm.
weather	hava	Hava soyuqdur.
website	veb-sayt	Bu veb-sayt faydalıdır.
Wednesday	çərşənbə	Dərs çərşənbə günü başlayır.
week	həftə	Bu həftə məşğuldur.
weekend	həftəsonu	Həftəsonu sabah başlayır.
welcome	xoş gəlmisiniz; qarşılamaq	Sinifimizə xoş gəlmisiniz.
well	yaxşı	O, yaxşı mahnı oxuyur.
west	qərb	Günəş qərbdə batır.
what	nə	Bu nədir?
when	nə vaxt	Siz nə vaxt oxuyursunuz?
where	harada	Stansiya haradadır?
which	hansı	Hansı çanta sizindir?
white	ağ	Divar ağdır.
who	kim	Bu kimdir?
why	niyə	Niyə gecikdiniz?
wife	arvad; həyat yoldaşı	Onun arvadı müəllimdir.
will modal	gələcək zaman köməkçi sözü	Mən sizə kömək edəcəyəm.
win	qalib gəlmək	Bizim komanda qalib gələ bilər.
window	pəncərə	Pəncərəni açın.
wine	şərab; üzüm şərabı	Bu şərab qırmızıdır.
winter	qış	Burada qış soyuqdur.
with	ilə	Mənimlə gəlin.
without	-sız; olmadan	Şəkərsiz çay yaxşıdır.
woman	qadın	Qadın kitab oxuyur.
wonderful	möhtəşəm; əla	Mənzərə möhtəşəmdir.
word	söz	Bir söz yazın.
work	işləmək; iş	Mən evdə işləyirəm.
worker	işçi; əməkdaş	Əməkdaş məşğuldur.
world	dünya	Dünya böyükdür.
would modal	istərdim; edərdi	Mən çay istərdim.
write	yazmaq	Adınızı yazın.
writer	yazıçı	Yazıçı burada yaşayır.
writing	yazı; xətt	Onun xətti aydındır.
wrong	səhv	Bu cavab səhvdir.
yeah	bəli	Bəli, gələ bilərəm.
year	il	Bu il yaxşıdır.
yellow	sarı	Banan sarıdır.
yes	bəli	Bəli, başa düşdüm.
yesterday	dünən	Mən dünən zəng etdim.
you	sən; siz	Sən mənim dostumsan.
young	gənc; kiçik	Uşaq kiçikdir.
your	sənin; sizin	Sənin çantan buradadır.
yourself	özün; özünüz	Çayı özünüz götürün.
