source_headword	FI	example_FI
edge	reuna	Seiso kaukana reunasta.
editor	toimittaja	Toimittaja tarkisti artikkelin.
educate	kouluttaa	Koulut kouluttavat nuoria ihmisiä.
educated	koulutettu	Hän on korkeasti koulutettu.
educational	opettavainen	Peli on opettavainen.
effective	tehokas	Tämä lääke on tehokas.
effectively	tehokkaasti	Hän selitti säännön tehokkaasti.
effort	vaivannäkö	Vaivannäkösi vaikutti asiaan.
election	vaali	Vaalitulos oli tiukka.
element	osa	Luottamus on tärkeä osa.
embarrassed	nolostunut	Hän tunsi olonsa nolostuneeksi kaatumisen jälkeen.
embarrassing	nolo	Se oli nolo virhe.
emergency	hätätilanne	Soita tähän numeroon hätätilanteessa.
emotion	tunne	Pelko on voimakas tunne.
employment	työllisyys	Työllisyys kasvoi tässä kuussa.
encourage	kannustaa	Opettajat kannustavat opiskelijoita lukemaan.
enemy	vihollinen	Nämä kaksi maata olivat vihollisia.
engaged	kihloissa	He menivät kihloihin viime keväänä.
engineering	tekniikka	Hän opiskelee tekniikkaa yliopistossa.
entertain	viihdyttää	Laulaja viihdyttää vieraita.
entertainment	viihde	Kaupunki tarjoaa iltaviihdettä.
entrance	sisäänkäynti	Tapaa minut sisäänkäynnillä.
entry	sisäänpääsy	Sisäänpääsy on lapsille ilmainen.
environmental	ympäristöön liittyvä	Keskustelimme ympäristöongelmista.
episode	jakso	Viimeinen jakso oli jännittävä.
equal	yhtäläinen	He saavat yhtäläisen palkan.
equally	tasapuolisesti	Työ jaetaan tasapuolisesti.
escape	paeta	Vangit yrittivät paeta.
essential	välttämätön	Vesi on välttämätöntä elämälle.
eventually	lopulta	Lopulta löysimme hotellin.
examine	tutkia	Lääkäri tutki käsivarteni.
exchange	vaihto	Teimme vaihdon kaupassa.
excitement	jännitys	Peli oli täynnä jännitystä.
exhibition	näyttely	Taidenäyttely avautuu huomenna.
expand	laajentua	Yritys aikoo laajentua.
expected	odotettu	Odotettu hinta on korkea.
expedition	retkikunta	Retkikunta ylitti aavikon.
experienced	kokenut	Hän on kokenut sairaanhoitaja.
explode	räjähtää	Pullo voi räjähtää kuumuudessa.
explore	tutkia	Tutkimme vanhaa kaupunkia.
explosion	räjähdys	Räjähdys rikkoi useita ikkunoita.
export	vientituote	Kahvi on tärkeä vientituote.
fairly	melko	Koe oli melko helppo.
familiar	tuttu	Hänen kasvonsa näyttivät tutuilta.
fancy	haluta	Tekisikö mieli kahvia?
fascinating	kiehtova	Tarina oli kiehtova.
fashionable	muodikas	Nuo kengät ovat muodikkaat.
fasten	kiinnittää	Kiinnitä turvavyösi.
favour	palvelus	Voitko tehdä minulle palveluksen?
fence	aita	Aita ympäröi puutarhaa.
fighting	taistelu	Taistelu loppui aamunkoitteessa.
file	tiedosto	Tallenna tiedosto ennen sulkemista.
financial	taloudellinen	Hän tarvitsee taloudellista neuvontaa.
fitness	kunto	Juokseminen parantaa kuntoasi.
fixed	kiinteä	Hinta on kiinteä.
flag	lippu	Lippu liehui koulun yllä.
flood	tulva	Tulva vaurioitti monia koteja.
flour	jauho	Lisää jauhoa kulhoon.
flow	virrata	Joki virtaa kaupungin läpi.
fold	taittaa	Taita paperi kahtia.
folk	kansanmusiikki	Kansanmusiikki täytti salin.
force	voima	Tuulella oli suuri voima.
forever	ikuisesti	Muistan tämän ikuisesti.
frame	kehys	Valokuva tarvitsee kehyksen.
freeze	jäätyä	Vesi jäätyy yön aikana.
frequently	usein	Hän käy usein vanhempiensa luona.
friendship	ystävyys	Heidän ystävyytensä kesti vuosia.
frighten	pelottaa	Kovat äänet pelottavat vauvaa.
frightened	pelästynyt	Lapsi näytti pelästyneeltä.
frightening	pelottava	Myrsky oli pelottava.
frozen	jäätynyt	Järvi oli jäätynyt.
fry	paistaa	Paista sipuleita viisi minuuttia.
fuel	polttoaine	Auto tarvitsee lisää polttoainetta.
function	toiminto	Tällä painikkeella on yksi toiminto.
fur	turkki	Kissalla on pehmeä turkki.
garage	autotalli	Auto on autotallissa.
gather	kokoontua	Kokoonnuimme pöydän ympärille.
generally	yleensä	Hän saapuu yleensä aikaisin.
generation	sukupolvi	Jokainen sukupolvi kohtaa uusia ongelmia.
generous	antelias	Hän on antelias ajallaan.
gentle	lempeä	Käytä lempeää ääntä.
gentleman	herrasmies	Herrasmies avasi oven.
ghost	aave	Tarinassa mainitaan aave.
giant	jättimäinen	Jättimäinen näyttö täytti lavan.
glad	iloinen	Olen iloinen, että tulit.
global	maailmanlaajuinen	Ilmastonmuutos on maailmanlaajuinen kysymys.
glove	käsine	Kadotin yhden käsineen.
goods	tavarat	Tavarat saapuivat myöhässä.
grade	arvosana	Hän sai korkean arvosanan.
graduate	vastavalmistunut	Hän on vastavalmistunut.
grain	jyvä	Riisinjyvä putosi.
grateful	kiitollinen	Olen kiitollinen tuestasi.
growth	kasvu	Kasvi osoitti tasaista kasvua.
guard	vartija	Vartija tarkisti lippumme.
guilty	syyllinen	Hän tunsi syyllisyyttä valehtelusta.
hang	ripustaa	Ripusta takkisi tähän.
happiness	onnellisuus	Rahalla ei voi ostaa onnellisuutta.
hardly	tuskin	Tuskin kuulin sinua.
headline	otsikko	Otsikko kiinnitti huomioni.
heating	lämmitys	Lämmitys lakkasi toimimasta.
heavily	runsaasti	Satoi runsaasti koko yön.
helicopter	helikopteri	Helikopteri laskeutui lähelle.
highlight	korostaa	Korosta pääajatus.
highly	erittäin	Häntä arvostetaan erittäin paljon.
hire	vuokrata	Meidän täytyy vuokrata auto.
historic	historiallisesti merkittävä	Vierailimme historiallisesti merkittävässä rakennuksessa.
historical	historiallinen	Hän rakastaa historiallisia romaaneja.
honest	rehellinen	Anna rehellinen vastaus.
horrible	kauhea	Haju oli kauhea.
horror	kauhu	Hän pitää kauhuelokuvista.
host	isäntä	Isäntä toivotti jokaisen vieraan tervetulleeksi.
