simplified	IS	example_IS
报仇	hefna sín	Hann vill ekki hefna sín, aðeins byrja upp á nýtt.
报答	endurgjalda	Ég mun endurgjalda hjálp þína með verkum.
报复	hefnd	Hefnd gerir ágreininginn aðeins dýpri.
报警	hringja í lögregluna	Þegar eldur uppgötvast þarf strax að hringja í lögregluna.
报销	endurgreiða	Ferðakostnað má endurgreiða.
抱负	metnaður	Hann hafði mikinn metnað frá barnæsku.
暴力	ofbeldi	Við erum á móti hvers kyns ofbeldi.
暴露	koma í ljós	Þetta vandamál kom smám saman í ljós.
曝光	birting	Eftir birtingu myndarinnar vakti hún athygli.
爆发	brjótast út	Eldfjallið gaus skyndilega.
爆炸	sprenging	Sprenging varð á rannsóknarstofunni.
卑鄙	lágkúrulegur	Þessi lágkúrulega aðferð vekur reiði.
悲哀	sorgmæddur	Hann varð mjög sorgmæddur þegar hann heyrði fréttina.
悲惨	hörmulegur	Þetta var hörmulegt tímabil í sögunni.
北极	norðurskaut	Vísindamenn stunda rannsóknir á norðurskautinu.
备份	öryggisafrit	Taktu fyrst öryggisafrit af mikilvægum skrám.
备忘录	minnisblað	Hún skrifaði aðalatriðin í minnisblaðið.
背叛	svik	Hann gat ekki sætt sig við svik vinar síns.
背诵	læra utan að	Nemendur eru að læra textann utan að.
被动	óvirkur	Í samningaviðræðum megum við ekki vera of óvirk.
被告	sakborningur	Sakborningurinn neitaði öllum ásökunum.
贝壳	skel	Barnið tíndi skeljar við sjóinn.
奔波	hlaupa um	Hann hleypur um út um allt vegna vinnunnar.
奔驰	þjóta	Bíllinn þaut eftir hraðbrautinni.
本能	eðlishvöt	Að vernda börn er eðlishvöt foreldra.
本钱	fjármagn	Það þarf fjármagn til að reka viðskipti.
本人	sjálfur	Ég sjálfur er tilbúinn að bera ábyrgð.
本身	í sjálfu sér	Áætlunin er í sjálfu sér ekki vandamál.
本事	hæfileiki	Hann hefur mikla hæfileika.
笨拙	klaufalegur	Hreyfingar hans eru dálítið klaufalegar.
崩溃	hrun	Kerfið hrundi skyndilega.
甭	þurfa ekki	Þú þarft ekki að hafa áhyggjur af þessu.
蹦	hoppa	Litli hundurinn hoppaði fram og til baka á grasinu.
迸发	brjótast fram	Lófaklappið braust fram úr mannfjöldanum.
逼迫	neyða	Þeir neyddu hann til að skrifa undir samninginn.
鼻涕	hor	Barnið er kvefað og nefrennslið hættir ekki.
比方	til dæmis	Til dæmis getum við prófað fyrst í einn mánuð.
比喻	líking	Þessi líking er mjög myndræn.
比重	hlutfall	Hlutfall þjónustugreina verður sífellt hærra.
鄙视	fyrirlíta	Ekki fyrirlíta viðleitni annarra.
弊病	galli	Þetta kerfi hefur marga galla.
弊端	annmarki	Nýja tillagan leysti annmarka gamla kerfisins.
臂	armur	Hægri armur hans slasaðist.
闭塞	einangraður	Samgöngur í þessu fjallaþorpi voru áður mjög einangraðar.
编织	prjóna	Amma er að prjóna peysu.
边疆	landamærahérað	Margir hermenn verja landamærahéruð föðurlandsins.
边界	landamæri	Löndin tvö drógu landamærin upp á nýtt.
边境	landamærasvæði	Öryggiseftirlit var hert á landamærasvæðinu.
边缘	brún	Bollinn stóð á brún borðsins.
鞭策	hvetja	Orð kennarans hafa alltaf hvatt mig áfram.
扁	flatur	Þessi kassi er bæði breiður og flatur.
贬低	lítilsvirða	Ekki lítilsvirða viðleitni annarra að ástæðulausu.
贬义	neikvæð merking	Þetta orð hefur neikvæða merkingu hér.
便利	þægindi	Neðanjarðarlestin gerir ferðalög þægilegri.
便条	miði	Hann skildi eftir miða á borðinu.
便于	auðvelda	Þessi hönnun auðveldar öldruðum notkunina.
变故	óvænt atvik	Óvænt atvik gerðist skyndilega í fjölskyldunni.
变迁	breytingar	Breytingar borgarinnar vöktu hjá honum margar tilfinningar.
变质	skemmast	Mjólk skemmist ef hún stendur of lengi.
辨认	bera kennsl á	Lögreglan lét hann bera kennsl á manninn á myndinni.
辩护	verja	Lögfræðingurinn varði sakborninginn.
辩解	réttlæta sig	Hann reyndi að réttlæta mistök sín.
辩证	díalektískur	Við þurfum að líta á þetta vandamál á díalektískan hátt.
辫子	flétta	Litla stúlkan var með tvær fléttur.
遍布	útbreiddur	Þessi planta er útbreidd um allt land.
标本	sýni	Dýrasýni eru til sýnis í safninu.
标记	merki	Settu merki við mikilvægar málsgreinar.
标题	titill	Titill þessarar greinar er mjög aðlaðandi.
表决	atkvæðagreiðsla	Fulltrúarnir greiða atkvæði um tillöguna.
表态	lýsa afstöðu	Hann hefur ekki enn lýst afstöðu sinni opinberlega.
表彰	heiðra	Fyrirtækið heiðraði framúrskarandi starfsmenn.
憋	halda niðri	Hann hélt niðri hlátrinum og sagði ekkert.
别墅	einbýlishús	Þau keyptu einbýlishús í úthverfinu.
别致	sérstakur	Innrétting kaffihússins er mjög sérstök.
别扭	óþjáll	Þessi setning hljómar dálítið óþjál.
濒临	á barmi	Þetta dýr er á barmi útrýmingar.
冰雹	hagl	Það féll mikið hagl síðdegis í gær.
丙	C	Hópur C byrjar keppnina síðdegis.
并非	alls ekki	Málið er alls ekki eins og þú heldur.
并列	jafn	Þessi tvö verkefni eru jöfn í fyrsta sæti.
剥削	arðrán	Í gamla samfélaginu var alvarlegt arðrán.
拨	hringja	Vinsamlegast hringdu í þetta símanúmer.
播种	sá	Bændur byrja að sá á vorin.
波浪	alda	Stórar öldur risu á sjónum.
波涛	brim	Skipið hélt áfram í briminu.
伯母	frænka	Ég heimsæki frænku mína um helgina.
博大精深	víðfeðmur og djúpur	Kínversk menning er víðfeðm og djúp.
博览会	sýning	Alþjóðlega sýningin laðaði að mörg fyrirtæki.
搏斗	átök	Lögreglan lenti í átökum við glæpamennina.
薄弱	veikur	Málfræðigrunnur hans er frekar veikur.
不顾	án tillits til	Hann hljóp inn án tillits til hættunnar.
不愧	vera sannarlega	Hann er sannarlega reyndur sérfræðingur.
不料	óvænt	Óvænt var fundinum aflýst.
不像话	óviðeigandi	Það er mjög óviðeigandi að koma svona fram við gesti.
不屑一顾	hunsa af fyrirlitningu	Hann hunsaði þessar sögusagnir af fyrirlitningu.
哺乳	gefa brjóst	Móðirin er að gefa ungbarninu brjóst.
捕捉	fanga	Ljósmyndarinn fangaði frábært augnablik.
补偿	bæta	Fyrirtækið mun bæta þér tjónið.
补救	bjarga	Við höfum enn tíma til að bjarga þessu.
补贴	niðurgreiðsla	Ríkisstjórnin veitir lágtekjufjölskyldum niðurgreiðslur.
不得已	neyðast til	Hann fór aðeins frá heimabænum af því að hann neyddist til þess.
不妨	gæti alveg	Þú gætir alveg hlustað fyrst á skýringu hans.
不敢当	ekki verðskulda slíkt lof	Ég verðskulda sannarlega ekki svona lof frá þér.
不禁	geta ekki annað	Hann gat ekki annað en hlegið þegar hann heyrði fréttina.
不堪	óþolandi	Hávaðinn hér er óþolandi.
不可思议	ótrúlegur	Þessi niðurstaða er sannarlega ótrúleg.
不免	óhjákvæmilegt	Í fyrsta skipti á sviði var óhjákvæmilegt að hann væri dálítið taugaóstyrkur.
不时	af og til	Hann leit af og til upp á klukkuna.
不惜	ekki hika við	Til að bjarga manni hikaði hann ekki við að taka áhættu.
不相上下	jafnir að styrk	Liðin tvö eru jöfn að styrk.
不言而喻	augljóst	Mikilvægi heiðarleika er augljóst.
不由得	óhjákvæmilega	Þegar ég sá gömlu myndina rifjaðist bernskan óhjákvæmilega upp.
不择手段	með hvaða ráðum sem er	Hann notar hvaða ráð sem er til að græða peninga.
不止	meira en	Meira en hundrað manns tóku þátt í fundinum.
布告	tilkynning	Tilkynning var límd upp við skólahliðið.
布局	skipulag	Skipulag þessarar íbúðar er mjög skynsamlegt.
布置	leggja fyrir	Kennarinn lagði fyrir ný heimaverkefni.
步伐	skref	Hópurinn gekk áfram í jöfnum skrefum.
部署	koma fyrir	Fyrirtækið er að koma nýrri söluáætlun fyrir.
部位	staður	Læknirinn skoðaði slasaða staðinn.
才干	hæfni	Hún hefur mikla hæfni í stjórnun.
裁缝	klæðskeri	Þessi klæðskeri er mjög fær.
裁判	dómari	Dómarinn tilkynnti að leiknum væri frestað.
裁员	segja upp starfsfólki	Fyrirtækið ákvað að segja upp starfsfólki vegna taps.
财富	auður	Þekking er líka eins konar auður.
财务	fjármál	Fjármáladeildin er að yfirfara reikningana.
财政	ríkisfjármál	Tekjur ríkisfjármála jukust nokkuð á þessu ári.
彩票	happdrættismiði	Hann kaupir stundum happdrættismiða.
采购	innkaup	Fyrirtækið sendi fólk í innkaup á búnaði.
采集	safna	Rannsakendur söfnuðu sýnum í skóginum.
采纳	samþykkja	Forystan samþykkti tillögu okkar.
参谋	ráðgjafi	Hann er oft ráðgjafi framkvæmdastjórans.
参照	miða við	Vinsamlegast fylltu út eyðublaðið með þetta snið til viðmiðunar.
残疾	fötlun	Þessi stöð veitir fötluðum farþegum aðstoð.
残酷	grimmur	Stríð er mjög grimmt.
残留	leifar	Það eru enn leifar af kaffibragði í bollanum.
残忍	grimmileg	Það er grimmileg hegðun að misþyrma dýrum.
灿烂	skær	Hún brosti skæru brosi.
仓促	fljótfærnislegur	Þessi ákvörðun var tekin of fljótfærnislega.
仓库	vöruhús	Vörurnar hafa þegar verið sendar í vöruhúsið.
舱	farþegarými	Farþegar eru að ganga inn í farþegarýmið.
苍白	fölur	Andlit hans virtist mjög fölt.
操劳	streita	Móðirin hefur stritað fyrir þessa fjölskyldu í mörg ár.
操练	æfa	Soldatarnir æfa á hverjum morgni.
操纵	stjórna	Þessari vél er stjórnað með tölvu.
操作	nota	Vinsamlegast notaðu búnaðinn samkvæmt leiðbeiningunum.
嘈杂	hávaðasamur	Það var mjög hávaðasamt á lestarstöðinni.
草案	drög	Nefndin er að ræða drögin.
草率	fljótfærnislegur	Svona mikilvæg ákvörðun má ekki vera fljótfærnisleg.
侧面	hlið	Frá hliðinni séð virðist þessi bygging hærri.
测量	mæla	Verkfræðingurinn er að mæla lengd brúarinnar.
策划	skipuleggja	Þau skipulögðu stóran viðburð.
策略	stefna	Þessi stefna hjálpaði fyrirtækinu að lækka kostnað.
层出不穷	koma stöðugt fram	Ný vandamál koma stöðugt fram.
层次	skipulag	Skipulag greinarinnar er mjög skýrt.
差别	munur	Munurinn á aðferðunum tveimur er ekki mikill.
插座	innstunga	Það eru ekki nógu margar innstungur í þessu herbergi.
查获	gera upptækt	Tollurinn gerði upptæka sendingu af fölsuðum vörum.
刹那	augnablik	Á augabragði slokknuðu öll ljósin.
岔	skiljast	Að framan skiljast vegirnir.
诧异	undrandi	Ákvörðun hans gerði alla mjög undrandi.
柴油	dísilolía	Þessi vörubíll notar dísilolíu.
搀	styðja	Hjúkrunarfræðingurinn studdi gamla manninn inn á sjúkrastofuna.
缠绕	vinda sig	Vínviðurinn vafðist um greinarnar.
馋	langar í	Þegar barnið sá kökuna langaði það svolítið í hana.
产业	atvinnugrein	Ferðaþjónusta er mikilvæg atvinnugrein hér.
阐述	útskýra	Prófessorinn útskýrði sjónarmið sín ítarlega.
颤抖	skjálfa	Hún skalf um allan líkamann af kulda.
昌盛	blómlegur	Við vonum að landið verði blómlegt og farsælt.
偿还	endurgreiða	Hann endurgreiddi lánið á réttum tíma.
尝试	reyna	Við getum reynt nýja aðferð.
场合	tilefni	Það er ekki viðeigandi að grínast við slíkt tilefni.
场面	sena	Brúðkaupssenan var mjög lífleg.
场所	staður	Þetta er opinber staður, vinsamlegast reykið ekki.
敞开	opna upp á gátt	Vinsamlegast opnaðu gluggann upp á gátt í smástund.
倡导	mæla fyrir	Skólinn mælir fyrir heilbrigðum lífsstíl.
倡议	frumkvæði	Þetta umhverfisfrumkvæði fékk stuðning.
畅通	greiður	Eftir að rigningin hætti varð vegurinn greiður aftur.
畅销	seljast vel	Þessi skáldsaga selst mjög vel.
超越	fara fram úr	Hann fór loksins fram úr eigin meti.
钞票	seðill	Það voru aðeins nokkrir seðlar eftir í veskinu.
嘲笑	hæðast að	Ekki hæðast að göllum annarra.
巢穴	bæli	Veiðimaðurinn fann bæli dýrsins.
朝代	ættarveldi	Tang er eitt ættarveldi í kínverskri sögu.
潮流	tíska	Ungt fólk fylgist mikið með tískustraumum.
撤退	hörfa	Herinn hörfaði eftir að hann fékk skipun.
撤销	ógilda	Dómstóllinn ógilti fyrri úrskurðinn.
沉淀	setjast til	Leðjan og sandurinn setjast smám saman til.
沉闷	þunglamalegur	Veðrið í dag er bæði heitt og þunglamalegt.
沉思	íhuga	Hann sat við gluggann og íhugaði málið.
沉重	þungur	Þessar fréttir gerðu alla þunga í skapi.
沉着	rólegur	Í hættu þarf maður að halda ró sinni.
陈旧	úreltur	Þessi vél er orðin mjög úrelt.
陈列	sýna	Margir fornmunir eru sýndir í sýningarsalnum.
陈述	lýsa	Vinsamlegast lýstu staðreyndunum skýrt.
称心如意	eftir óskum	Þetta starf var honum mjög eftir óskum.
衬托	draga fram	Hvítu veggirnir draga lit blómanna fram.
称号	titill	Hann fékk titilinn framúrskarandi kennari.
乘	taka	Ég tek neðanjarðarlestina í vinnuna á hverjum degi.
呈现	birtast	Himinninn tók á sig ljósrauðan lit.
城堡	kastali	Á fjallstindinum er gamall kastali.
惩罚	refsa	Skólinn mun refsa nemendum sem svindla.
成本	kostnaður	Hækkun hráefnisverðs jók kostnaðinn.
成交	ganga frá samningi	Þessi viðskipti gengu loksins frá samningi.
成天	allan daginn	Hann situr allan daginn fyrir framan tölvuna.
成效	árangur	Nýja stjórnunaraðferðin sýndi fljótt árangur.
成心	viljandi	Hann gerði þér ekki viljandi erfitt fyrir.
成员	meðlimur	Hver meðlimur þarf að taka þátt í fundinum.
承办	taka að sér	Þetta fyrirtæki tók að sér sýninguna.
承包	taka að sér	Þau tóku að sér þetta verk.
承诺	lofa	Hann lofaði að ljúka verkefninu á réttum tíma.
橙	appelsína	Ég keypti nokkrar ferskar appelsínur.
澄清	skýra	Framkvæmdastjórinn kom fram og skýrði misskilninginn.
盛	ausa	Hún ausaði súpu í skál handa gestinum.
诚挚	einlægur	Vinsamlegast taktu við einlægu þakklæti mínu.
秤	vog	Þessi vog er ekki mjög nákvæm.
吃苦	þola erfiðleika	Ungt fólk ætti að læra að þola erfiðleika.
吃力	erfiður	Það er erfitt að flytja þennan kassa.
持久	varanlegur	Árangur krefst varanlegrar viðleitni.
迟钝	seinn	Hann hefur verið dálítið seinn að bregðast við undanfarið.
迟缓	hægur	Eftir rigninguna varð umferðin hægari.
迟疑	hika	Hún hikaði smástund áður en hún svaraði.
赤道	miðbaugur	Nálægt miðbaug er heitt allt árið.
赤字	halli	Fyrirtækið varð fyrir halla á þessu ári.
充当	gegna hlutverki	Hann gegnir hlutverki samræmingaraðila í verkefninu.
充沛	nægur	Börnin hafa mjög næga orku.
充实	innihaldsríkur	Þessi reynsla gerði líf mitt innihaldsríkara.
充足	nægilegur	Fyrir ferðina þarf að undirbúa nægilegt vatn.
冲动	hvatvísi	Ekki taka ákvörðun af augnabliks hvatvísi.
冲击	hafa áhrif á	Ný tækni hafði áhrif á hefðbundnar atvinnugreinar.
冲突	átök	Báðir aðilar reyndu að forðast átök.
崇拜	dást að	Margt ungt fólk dáist að þessum vísindamanni.
崇高	göfugur	Starf lækna er göfugt.
崇敬	bera virðingu fyrir	Nemendurnir bera allir mikla virðingu fyrir þessum kennara.
重叠	skörun	Þessi tvö verkefni hafa nokkra skörun.
稠密	þéttur	Íbúafjöldinn hér er mjög þéttur.
筹备	undirbúa	Þau eru að undirbúa brúðkaupið.
丑恶	ljótur	Hann afhjúpaði ljótan sannleikann á bak við málið.
出路	leið áfram	Nám getur gefið ungu fólki fleiri leiðir áfram.
出卖	svikja	Hann mun ekki svíkja vini sína.
出身	uppruni	Hann er af venjulegum fjölskylduuppruna.
出神	hugfanginn	Hún hlustaði svo hugfangin á tónlistina.
出息	framtíðarhorfur	Þetta barn á eftir að eiga góðar framtíðarhorfur.
初步	bráðabirgða	Við höfum þegar náð bráðabirgðasamkomulagi.
除	fyrir utan	Fyrir utan hann voru allir komnir.
储备	forði	Fyrirtækið þarf að safna meiri fjárforða.
储存	geyma	Þessi gögn verða geymd sjálfkrafa.
储蓄	spara	Hann sparar hluta af laununum sínum í hverjum mánuði.
处分	agaviðurlög	Skólinn veitti honum alvarleg agaviðurlög.
处境	staða	Staða þeirra er nú mjög erfið.
处置	meðhöndla	Þennan gamla búnað þarf að meðhöndla á réttan hátt.
触犯	brjóta gegn	Að gera þetta myndi brjóta gegn lögum.
川流不息	óslitinn straumur	Bílarnir á götunni voru í óslitnum straumi.
穿越	fara í gegnum	Lestin fór í gegnum langa göngin.
传达	koma á framfæri	Vinsamlegast komdu þessum fréttum á framfæri við alla.
传单	bæklingur	Sjálfboðaliðar dreifðu bæklingum á götunni.
传授	miðla	Kennarinn miðlaði reynslu sinni til nemendanna.
船舶	skip	Mörg skip lágu í höfninni.
喘气	anda mótt	Hann andaði mótt eftir hlaupið.
串	þræða	Hún þræddi perlurnar í hálsmen.
床单	rúmlak	Vinsamlegast skiptu um rúmlakið.
创立	stofna	Þau stofnuðu þetta fyrirtæki saman.
创新	nýsköpun	Þróun fyrirtækis krefst stöðugrar nýsköpunar.
创业	stofna fyrirtæki	Margt ungt fólk velur að stofna fyrirtæki.
创作	skapa	Rithöfundurinn er að skapa langa skáldsögu.
吹牛	gorta	Ekki gorta, sýndu sönnunargögn.
吹捧	hrósa óhóflega	Fjölmiðlarnir hrósuðu þessari vöru óhóflega.
炊烟	eldhúsreykur	Að kvöldi steig eldhúsreykur upp úr þorpinu.
垂直	lóðréttur	Þessar tvær línur eru lóðréttar hvor á aðra.
锤	hamar	Verkamaðurinn sló járnplötuna með hamri.
纯粹	hreinn	Hjálp hans var af hreinni velvild.
纯洁	hreinn	Hjarta barnsins er mjög hreint.
慈善	góðgerðarstarfsemi	Þetta fyrirtæki tekur oft þátt í góðgerðarstarfsemi.
慈祥	blíðlegur	Bros ömmu var mjög blíðlegt.
磁带	segulband	Enn er hægt að spila þetta gamla segulband.
雌雄	karl og kvendýr	Litir karl- og kvendýra þessarar fuglategundar eru ólíkir.
伺候	sinna	Hjúkrunarfræðingurinn sinnti sjúklingnum af alúð.
刺	þyrnir	Það eru margir þyrnar á rósagreininni.
次品	gölluð vara	Þessar gölluðu vörur má ekki selja.
次序	röð	Vinsamlegast stillið ykkur í röð eftir röðinni.
丛	klasi	Við veginn var klasi af villtum blómum.
从容	rólegur	Hún svaraði spurningunni rólega.
凑合	láta duga	Herbergið er ekki stórt, en það lætur duga til búsetu.
粗鲁	dónalegur	Hann talar of dónalega.
窜	skjóta sér	Kötturinn skaut sér skyndilega inn í húsið.
摧残	eyðileggja	Langvarandi mengun mun eyðileggja þennan skóg.
脆弱	viðkvæmur	Glerhlutir eru mjög viðkvæmir.
搓	nudda	Hann nuddaði kaldar hendurnar.
磋商	ræða	Áfram verður rætt milli beggja aðila.
挫折	áfall	Allir verða fyrir áföllum.
搭	taka	Við tökum strætó á flugvöllinn.
搭档	samstarfsmaður	Hann hefur verið samstarfsmaður minn í mörg ár.
搭配	passa saman	Þessi jakki og buxurnar passa vel saman.
答辩	vörn	Framhaldsneminn er að undirbúa ritgerðarvörnina.
答复	svar	Vinsamlegast gefðu mér svar sem fyrst.
达成	ná	Báðir aðilar náðu loksins samkomulagi.
打包	pakka	Þjónninn hjálpaði okkur að pakka afgangunum.
打官司	fara í mál	Þau fóru í mál vegna samningsvandans.
打击	áfall	Þessi mistök voru honum mikið áfall.
打架	slást	Nemendur sem slást á skólalóðinni fá agaviðurlög.
打量	mæla út	Hún mældi mig út frá toppi til táar.
打猎	veiða	Það er bannað að veiða hér.
打仗	berjast	Enginn vill fara í stríð.
大不了	í versta falli	Í versta falli reynum við aftur á morgun.
大臣	ráðherra	Konungurinn kallaði til sín nokkra ráðherra.
大伙儿	allir	Allir bíða eftir ákvörðun þinni.
大肆	óhóflega	Kaupmaðurinn auglýsti nýju vöruna óhóflega.
大体	í meginatriðum	Áætlunin er í meginatriðum í lagi.
大意	meginhugmynd	Vinsamlegast segðu fyrst meginhugmynd greinarinnar.
大致	í grófum dráttum	Ég skil atburðarásina í grófum dráttum.
歹徒	glæpamaður	Lögreglan handtók glæpamanninn fljótt.
代价	verð	Árangur krefst oft þess að greiða verð.
代理	staðgengill	Hann er tímabundið staðgengill framkvæmdastjórans.
带领	leiða	Kennarinn leiddi nemendur í heimsókn á safnið.
怠慢	vanrækja	Við megum ekki vanrækja gestina.
逮捕	handtaka	Lögreglan handtók aðalgrunaða manninn.
担保	ábyrgjast	Bankinn krafðist þess að einhver ábyrgðist lánið.
胆怯	huglaus	Hann var dálítið huglaus í fyrstu ræðunni.
淡季	lágönn	Flugmiðar eru ódýrari á lágönn ferðamanna.
淡水	ferskvatn	Þessi fiskur getur aðeins lifað í ferskvatni.
蛋白质	prótein	Egg innihalda mikið prótein.
诞辰	fæðingardagur	Í dag er fæðingardagur þessa rithöfundar.
诞生	fæðast	Þessi hugmynd fæddist í umræðunni.
当场	á staðnum	Hann viðurkenndi mistökin á staðnum.
当初	í upphafi	Í upphafi studdum við öll þessa ákvörðun.
当代	samtími	Samfélag samtímans breytist hratt.
当面	augliti til auglitis	Ef vandamál er til staðar er best að útskýra það augliti til auglitis.
当前	núverandi	Núverandi mikilvægasta verkefni er að tryggja öryggi.
当事人	aðili	Lögreglan er að yfirheyra aðilana.
当务之急	brýnasta verkefni	Að leysa húsnæðisvandann er brýnasta verkefnið.
当选	verða kjörinn	Hún var kjörin formaður án vandræða.
党	flokkur	Þessi flokkur lagði fram nýja stefnu.
档案	skrá	Skólinn geymir skrár nemenda.
档次	gæðaflokkur	Þetta hótel er í háum gæðaflokki.
倒闭	gjaldþrota	Litla búðin varð gjaldþrota í fyrra.
导弹	eldflaug	Fréttirnar fjölluðu um eldflaugatilraunina.
导航	leiðsögn	Vinsamlegast kveiktu á leiðsögninni í símanum.
导向	miðun	Menntastefna ætti að hafa réttlæti að miði.
捣乱	trufla	Vinsamlegast truflið ekki í kennslustundinni.
盗窃	þjófnaður	Verslunarmiðstöðin styrkti aðgerðir til að koma í veg fyrir þjófnað.
稻谷	hrísgrjón á akri	Bændurnir eru að uppskera hrísgrjón á akri.
得不偿失	borgar sig ekki	Að kaupa léleg efni til að spara peninga borgar sig ekki.
得力	hæfur	Hann er hæfur aðstoðarmaður framkvæmdastjórans.
得天独厚	sérstakur kostur	Þessi borg hefur sérstakan landfræðilegan kost.
得罪	móðga	Ég vil ekki móðga samstarfsmann vegna smámáls.
灯笼	lukt	Rauðar luktir hanga við dyrnar á vorhátíðinni.
登录	skrá sig inn	Vinsamlegast skráðu þig fyrst inn á reikninginn þinn.
登陆	ganga á land	Fellibylurinn gæti gengið á land við ströndina í kvöld.
蹬	stíga	Hann steig fast á pedalann og hjólið fór af stað.
等候	bíða	Farþegar bíða í salnum eftir að fara um borð.
等级	stig	Þessi hugbúnaður hefur mismunandi aðildarstig.
瞪	glenna augun	Hann glennti augun reiðilega í áttina að mér.
堤坝	stífla	Eftir úrhellið þarf að skoða stífluna vandlega.
敌视	fjandskapur	Við ættum ekki að sýna ólíkum skoðunum fjandskap.
抵达	koma	Flugvélin kom til Peking á réttum tíma.
抵抗	standast	Þorpsbúar stóðust flóðið saman.
抵制	sniðganga	Neytendur fóru að sniðganga lélegar vörur.
地步	stig	Málið er ekki orðið svo alvarlegt.
地势	landslag	Landslagið hér er hærra og vatn safnast síður fyrir.
地质	jarðfræði	Sérfræðingar eru að rannsaka jarðfræði svæðisins.
递增	aukast smám saman	Salan jókst smám saman þrjá mánuði í röð.
颠簸	hristast	Fjallvegurinn hristir mikið, svo keyrðu varlega.
颠倒	snúa við	Þú snerir röð talnanna tveggja við.
典礼	athöfn	Útskriftarathöfnin verður haldin í salnum.
典型	dæmigerður	Þetta er dæmigerð saga um árangur.
点缀	skreyta	Nokkur lítil blóm skreyttu matarborðið.
垫	undirlag	Vinsamlegast settu þetta blað undir bollann.
奠定	leggja grunn	Þetta samstarf lagði grunn að langtímasambandi.
惦记	hugsa til	Mamman hugsar alltaf til barnsins í fjarska.
电源	aflgjafi	Vinsamlegast slökktu á aflgjafanum áður en þú ferð út.
叼	halda í munni	Hundurinn hélt beini í munninum.
雕刻	skera út	Honum finnst gaman að skera mynstur út í tré.
