source_headword	DA	example_DA
demon	en dæmon	Historien beskriver en ældgammel dæmon.
denial	en benægtelse	Hans benægtelse vrede ofrene.
denounce	at fordømme	Ledere fordømmer vold på skoler.
dense	tæt	Den tætte skov blokerede for sollyset.
density	en tæthed	Befolkningstætheden er høj i centrum.
dependence	en afhængighed	Landets afhængighed af olie faldt.
depict	at skildre	Vægmaleriet skildrer landsbylivet.
deploy	at udsende	Hæren vil udsende ekstra personale.
deployment	en udsendelse	Udsendelsen af tropper begyndte mandag.
deprive	at berøve	Mangel på søvn kan berøve eleverne fokus.
deputy	en stedfortræder	Stedfortræderen underskrev aftalen.
descend	at stige ned	Stien begyndte at stige stejlt nedad.
descent	en nedstigning	Flyet startede sin nedstigning.
designate	at udpege	Byen vil udpege en ny park.
desirable	ønskelig	God belysning er ønskelig i klasseværelser.
desktop	et skrivebord	Filen ligger på mit skrivebord.
destructive	ødelæggende	Stormen havde en ødelæggende kraft.
detain	at tilbageholde	Politiet kan tilbageholde mistænkte natten over.
detection	en opdagelse	Tidlig opdagelse forbedrer kræftbehandling.
detention	en tilbageholdelse	Eleverne protesterede mod tilbageholdelsesforholdene.
deteriorate	at forværres	Hans helbred begyndte at forværres.
devastate	at ødelægge	Jordskælvet kan ødelægge kystbyer.
devil	en djævel	Barnet tegnede en smilende djævel.
devise	at udtænke	Ingeniører udtænker sikrere transportsystemer.
diagnose	at diagnosticere	Læger diagnosticerer sygdommen med blodprøver.
diagnosis	en diagnose	Diagnosen forklarede hendes symptomer.
dictate	at diktere	Kontrakten vil diktere betalingsbetingelser.
dictator	en diktator	Diktatoren kontrollerede medierne.
differentiate	at differentiere	Kan du differentiere fakta fra mening?
dignity	en værdighed	Alle fortjener værdighed på arbejdspladsen.
dilemma	et dilemma	Lederen stod over for et alvorligt dilemma.
dimension	en dimension	Problemet har en politisk dimension.
diminish	at mindske	Smerten bør mindskes langsomt.
dip	at dyppe	Temperaturerne kan dykke under frysepunktet.
diplomat	en diplomat	Diplomaten mødtes med udenlandske ledere.
diplomatic	en diplomatisk	De diplomatiske forhandlinger fortsatte natten over.
directory	en mappe	Søg i mappen efter hans nummer.
disastrous	katastrofal	Den katastrofale oversvømmelse ødelagde flere broer.
discard	at kassere	Kasser ikke nyttige optegnelser.
discharge	at udskrive	Hospitalet vil udskrive ham i morgen.
disclose	at afsløre	Embedsmænd nægtede at afsløre tallene.
disclosure	en afsløring	Afsløringen chokerede bestyrelsen.
discourse	en diskurs	Den offentlige diskurs blev mere høflig.
discretion	et skøn	Brug dit skøn i følsomme sager.
discrimination	en diskrimination	Loven forbyder diskrimination ved ansættelse.
dismissal	en afskedigelse	Hans afskedigelse vakte offentlig vrede.
displace	at fordrive	Krigen kan fordrive tusinder.
disposal	en bortskaffelse	Bortskaffelse af affald er fortsat et lokalt problem.
dispose	at skille sig af med	Virksomheden skal skille sig af med kemikalier på en sikker måde.
dispute	en tvist	Tvisten varede i månedsvis.
disrupt	at forstyrre	Støj kan forstyrre koncentrationen.
disruption	en forstyrrelse	Strejken forårsagede store forstyrrelser.
dissolve	at opløse	Sukker vil opløses i varm te.
distinction	en forskel	Forskellen mellem dem er vigtig.
distinctive	karakteristisk	Hun har en karakteristisk stemme.
distort	at forvrænge	Spejlet kan forvrænge din spejling.
distress	en nød	Opkaldet forårsagede alvorlig nød.
disturbing	foruroligende	Dokumentaren viste foruroligende scener.
divert	at omdirigere	Politiet måtte omdirigere trafikken.
divine	guddommelig	Kapellet har en guddommelig atmosfære.
doctrine	en doktrin	Partiet afviste den gamle doktrin.
documentation	en dokumentation	Udfyld dokumentationen før lancering.
domain	et domæne	Hjemmesiden bruger et sikkert domæne.
dominance	en dominans	Holdets dominans varede et årti.
donor	en donor	Donoren gav blod i dag.
dose	en dosis	Tag en dosis efter morgenmaden.
drain	at dræne	Vandet vil dræne ud i floden.
drift	at drive	Røgen begyndte at drive hen over vejen.
driving	drivende	Regn var den drivende faktor bag forsinkelserne.
drown	at drukne	Svøm aldrig der, hvor strømme kan drukne dig.
dual	dobbelt	Enheden har en dobbelt funktion.
dub	at kalde	Kritikere kalder byen en kulturhovedstad.
dumb	dum	Det var en dum fejl.
duo	en duo	Komedieduoen turnerede i Europa.
eager	ivrig	Studerende var ivrige efter at begynde.
earnings	en indtjening	Virksomhedens indtjening steg kraftigt.
ease	at lette	Den nye vej vil lette trafikken.
echo	at give ekko	Hendes stemme gav ekko i hallen.
ecological	økologisk	Den økologiske påvirkning forbliver usikker.
educator	en underviser	Underviseren designede et nyt kursus.
effectiveness	en effektivitet	Undersøgelsen målte vaccinens effektivitet.
efficiency	en effektivitet	Bedre software forbedrede effektiviteten.
ego	et ego	Hans ego forårsagede problemer på arbejdet.
elaborate	detaljeret	Det detaljerede kostume tog uger.
electoral	valgmæssig	Valgsystemet ændrede sig sidste år.
elevate	at løfte	Prisen vil løfte hendes profil.
eligible	berettiget	Kun beboere er berettiget til rabatter.
elite	en elite	Eliten trænede på et privat akademi.
embark	at begive sig ud	De vil begive sig ud på en lang rejse.
embarrassment	en forlegenhed	Han lo for at skjule sin forlegenhed.
embassy	en ambassade	Ambassaden udstedte nye rejsevejledninger.
embed	at indlejre	Journalisten vil indlejre sig med enheden.
embody	at legemliggøre	Statuen ser ud til at legemliggøre mod.
emergence	en fremkomst	Fremkomsten af telefoner ændrede dagligdagen.
empirical	empirisk	Artiklen bygger på empirisk bevis.
empower	at styrke	Uddannelse kan styrke lokalsamfund.
enact	at vedtage	Parlamentet stemte for at vedtage reformen.
encompass	at omfatte	Kurset vil omfatte moderne historie.
encouragement	en opmuntring	Hendes opmuntring hjalp ham med at fortsætte.
encouraging	opmuntrende	De tidlige resultater ser opmuntrende ud.
endeavour	en bestræbelse	Redningen var en vanskelig bestræbelse.
endless	uendelig	Ørkenen virkede uendelig.
endorse	at støtte	Fagforeningen nægtede at støtte kandidaten.
endorsement	en støtte	Hans støtte gav hendes kampagne et løft.
endure	at udholde	Planter kan udholde hårde vintre.
enforce	at håndhæve	Politiet håndhæver fartgrænsen.
enforcement	en håndhævelse	Strengere håndhævelse reducerede ulovlig dumpning.
engagement	et engagement	Studerendes engagement blev forbedret dette semester.
engaging	engagerende	Taleren gav en engagerende tale.
enquire	at forhøre sig	Forhør dig venligst i receptionen.
enrich	at berige	Rejser kan berige din forståelse.
enrol	at tilmelde sig	Studerende skal tilmelde sig inden september.
ensue	at følge	Kaos kan følge efter meddelelsen.
enterprise	en virksomhed	Virksomheden ansætter lokale kunstnere.
enthusiast	en entusiast	Enhver cykelentusiast kender denne rute.
entitle	at give ret til	Billetten vil give dig ret til adgang.
entity	en enhed	Virksomheden er en separat juridisk enhed.
epidemic	en epidemi	Epidemien spredte sig over flere regioner.
equality	en ligestilling	Bevægelsen kæmpede for ligestilling.
equation	en ligning	Ligningen indeholder to ubekendte.
erect	at opføre	Arbejderne vil opføre et nyt hegn.
escalate	at eskalere	Konflikten kunne eskalere hurtigt.
essence	en essens	Digtet fanger barndommens essens.
establishment	et etablissement	Etablissementet modsatte sig reformen.
eternal	evig	De lovede evigt venskab.
evacuate	at evakuere	Brandmænd hjalp beboerne med at evakuere sikkert.
evoke	at fremkalde	Sangen kan fremkalde stærke minder.
evolutionary	evolutionær	Fossilet viser en evolutionær ændring.
exaggerate	at overdrive	Overdriv ikke din erfaring.
excellence	en fremragende kvalitet	Skolen belønner akademisk ekspertise.
exceptional	enestående	Hun udviste enestående dygtighed.
excess	et overskud	Overskudsvandet oversvømmede kælderen.
exclusion	en eksklusion	Social eksklusion skader unge mennesker.
exclusive	eksklusiv	Klubben tilbyder eksklusiv adgang.
exclusively	udelukkende	Dette rum bruges udelukkende af personale.
execute	at udføre	Holdet vil udføre planen omhyggeligt.
execution	en udførelse	Udførelsen af strategien tog måneder.
exert	at udøve	Du skal udøve mere pres.
exile	et eksil	Forfatteren levede i eksil.
expenditure	en udgift	De offentlige udgifter steg sidste år.
experimental	eksperimentel	Behandlingen er stadig eksperimentel.
expire	at udløbe	Mit pas vil udløbe snart.
explicit	eksplicit	Instruktionerne var eksplicitte.
explicitly	eksplicit	Reglerne forbyder eksplicit rygning.
exploitation	en udnyttelse	Rapporten afslørede udnyttelse af arbejdere.
explosive	eksplosiv	Den eksplosive enhed blev fjernet sikkert.
extremist	en ekstremist	Ekstremistgruppen mistede støtte.
facilitate	at lette	Appen vil lette fjernundervisning.
faction	en fraktion	En fraktion modsatte sig lederen.
faculty	et fakultet	Fakultetet godkendte forslaget.
fade	at falme	Malingen vil falme i sollys.
fairness	en retfærdighed	Retfærdighed betyder noget i enhver konkurrence.
fatal	fatal	Ulykken forårsagede fatale kvæstelser.
fate	en skæbne	Ingen kendte hans skæbne.
favourable	gunstig	Anmeldelsen var gunstig.
feat	en bedrift	At bestige den top var en bedrift.
feminist	feministisk	Den feministiske bevægelse ændrede den offentlige debat.
fibre	en fiber	Dette brød indeholder ekstra fiber.
fierce	voldsom	Den voldsomme storm beskadigede tage.
film-maker	en filmskaber	Filmskaberen besvarede spørgsmål bagefter.
filter	et filter	Filteret fjerner støv fra luften.
fine	en bøde	Virksomheden betalte en bøde.
firearm	et skydevåben	Betjenten fandt et stjålet skydevåben.
fit	en pasform	De nye sko har en perfekt pasform.
fixture	et fast inventar	Lampen er et fast inventar.
flaw	en fejl	Designet har en alvorlig fejl.
flawed	mangelfuld	Det mangelfulde studie gav falske resultater.
flee	flygte	Familierne måtte flygte fra kampene.
fleet	en flåde	Flyselskabet fornyede sin flåde.
flesh	et kød	Tornen gennemborede hans kød.
flexibility	en fleksibilitet	Hjemmearbejde giver mere fleksibilitet.
flourish	blomstre	Små virksomheder kan blomstre her.
fluid	en væske	Drik rigeligt med væske efter træning.
footage	en optagelse	Optagelserne viste styrtet.
foreigner	en udlænding	Skemaet spørger, om du er en udlænding.
forge	indgå	De forsøgte at indgå en ny alliance.
formula	en formel	Formlen løste problemet.
formulate	formulere	Forskere formulerer en ny teori.
forth	frem	Floden førte båden frem.
forthcoming	kommende	Den kommende rapport vil forklare alt.
foster	fremme	Programmet bidrager til at fremme uafhængighed.
fragile	skrøbelig	Den skrøbelige vase kræver forsigtig håndtering.
franchise	en franchise	Restauranten blev en global franchise.
frankly	ærligt talt	Ærligt talt har vi brug for mere tid.
frustrated	frustreret	Arbejderne følte sig frustrerede over forsinkelsen.
frustrating	frustrerende	Den langsomme forbindelse var frustrerende.
frustration	en frustration	Frustrationen voksede under mødet.
functional	funktionel	Det gamle køkken er stadig funktionelt.
fundraising	en indsamling	Indsamlingen begynder i næste uge.
funeral	en begravelse	Begravelsen fandt sted i fredags.
gallon	en gallon	Tanken rummer en gallon.
gambling	et hasardspil	Hasardspil er begrænset ved lov.
gathering	en forsamling	Forsamlingen sluttede fredeligt.
gaze	et blik	Hun fastholdt hans blik kortvarigt.
gear	et udstyr	Pak sikkerhedsudstyret før klatring.
generic	generisk	Den generiske version koster mindre.
genocide	et folkedrab	Folkedrabet efterlod et dybt nationalt traume.
glance	et blik	Han kastede et hurtigt blik.
glimpse	et glimt	Jeg fik et glimt af havet.
glorious	strålende	Holdet nød en strålende sejr.
glory	en ære	Hun drømte om olympisk ære.
governance	en ledelse	God ledelse kræver gennemsigtighed.
grace	en værdighed	Hun accepterede nederlaget med værdighed.
grasp	forstå	Han formåede ikke at forstå konceptet.
grave (for dead person)	en grav	Graven var dækket med blomster.
grave (serious)	alvorlig	Situationen er fortsat alvorlig.
gravity	en tyngdekraft	Tyngdekraften trækker genstande mod jorden.
grid	et gitter	Kortet bruger et simpelt gitter.
grief	en sorg	Sorgen ændrede hele hans familie.
grin	et grin	Drengen gav et bredt grin.
grind	male	Arbejderne maler bønnerne hver morgen.
grip	et greb	Hold et fast greb om rebet.
gross	brutto	Bruttoindkomsten steg kraftigt.
guerrilla	en guerilla	Guerillakrigere gemte sig i bakkerne.
guidance	en vejledning	Guiden giver praktisk vejledning.
guilt	en skyldfølelse	Hun følte skyldfølelse efter at have løjet.
gut	en mavefornemmelse	Stol på din mavefornemmelse i svære valg.
hail	hylde	Landsbyboerne hylder lægen som en helt.
halfway	halvvejs	Vi stoppede halvvejs oppe ad bakken.
halt	et stop	Toget kom til et pludseligt stop.
handful	en håndfuld	En håndfuld frivillige blev længe.
handling	en håndtering	Korrekt håndtering forhindrer skader.
handy	praktisk	Dette værktøj er praktisk til reparationer.
harassment	en chikane	Virksomheden undersøgte klager over chikane.
hardware	en hardware	Butikken sælger computerhardware.
harmony	en harmoni	Koret sang i perfekt harmoni.
harsh	streng	Dommeren gav en streng straf.
harvest	en høst	Høsten begynder i september.
haunt	hjemsøge	Mindet fortsatte med at hjemsøge ham.
hazard	en fare	Is er en alvorlig fare på vejen.
heighten	øge	Talen kan øge spændingerne.
heritage	en arv	Slottet er en del af den lokale arv.
hierarchy	et hierarki	Kontorhierarkiet er klart defineret.
high-profile	højtprofileret	Den højtprofilerede retssag tiltrak journalister.
hint	et hint	Hun gav mig et nyttigt hint.
homeland	et hjemland	Han vendte tilbage til sit hjemland.
hopeful	forhåbningsfuld	Lægerne er forhåbningsfulde med hensyn til helbredelse.
horizon	en horisont	Solen forsvandt under horisonten.
horn	et horn	Bilhornet vækkede alle.
hostage	et gidsel	Gidslet vendte hjem.
hostile	fjendtlig	Mængden blev fjendtlig.
hostility	en fjendtlighed	Åben fjendtlighed afsluttede forhandlingerne.
humanitarian	humanitær	Den humanitære mission leverede mad.
humanity	en menneskehed	Menneskeheden står over for fælles udfordringer.
humble	ydmyg	Hun forblev ydmyg efter succesen.
hydrogen	et brint	Brint brænder meget let.
identification	en legitimation	Legitimation er påkrævet ved indgangen.
ideological	ideologisk	Striden havde ideologiske rødder.
ideology	en ideologi	Hans ideologi formede hver tale.
idiot	en idiot	Kald ikke nogen for en idiot.
ignorance	en uvidenhed	Uvidenhed kan sprede frygt.
imagery	et billedsprog	Digtet bruger levende billedsprog.
immense	enorm	Projektet krævede en enorm indsats.
imminent	forestående	En storm virkede forestående.
implementation	en implementering	Implementeringen af loven var langsom.
imprison	fængsle	Regimet forsøgte at fængsle kritikere.
imprisonment	en fængselsstraf	Hans fængselsstraf varede i fem år.
inability	en manglende evne	Hendes manglende evne til at fokusere bekymrede lærerne.
inadequate	utilstrækkelig	Krisecentret havde utilstrækkelig opvarmning.
inappropriate	upassende	Hans vittighed var upassende.
incidence	en forekomst	Forekomsten af influenza steg.
inclined	tilbøjelig	Hun er tilbøjelig til at være enig.
inclusion	en inklusion	Skolen fremmer inklusion.
